Gene name	FC	P-value	FDR %	ACCN	Description
IL1B	2.16	0	0	NM_000576	Interleukin 1, beta
LEPREL1	2.15	0	0.89	NM_018192	Leprecan-like 1
PROK1	2.12	0.52	2.05	NM_032414	Prokineticin 1
LOC388610	2.12	0	0	NM_001013642	Hypothetical LOC388610
RASGRP2	2.12	0.52	1.08	NM_005825	RAS guanyl-releasing protein 2 transcript variant 1
ADAMTS9	2.12	0.52	1.32	NM_182920	ADAM metallopeptidase with thrombospondin type 1 motif, 9
CADPS2	2.12	0.81	4.89	NM_017954	Ca2+-dependent activator protein for secretion 2 transcript variant 1
TOP2A	2.12	0.52	0.61	NM_001067	Topoisomerase
EDNRB	2.11	0.81	4.86	NM_003991	Endothelin receptor type B transcript variant 2
MGC33846	2.1	0.81	4.9	NM_175885	Hypothetical protein MGC33846
SLC22A5	2.08	0.52	2.61	NM_003060	Solute carrier family 22 member 5
GGTLA1	2.07	0.52	2.06	NM_004121	Gamma-glutamyltransferase-like activity 1
SPBC25	2.06	0	0.16	NM_020675	Spindle pole body component 25 homolog
TMEM45A	2.06	0	0	NM_018004	Transmembrane protein 45A
KRT86	2.05	0.52	3.65	NM_002284	Keratin 86
LHFP	2.04	0.52	0.93	NM_005780	Lipoma HMGIC fusion partner
MFNG	2.03	0	0	NM_002405	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
RGS1	2.02	0.52	3.78	NM_002922	Regulator of G-protein signalling 1
RPL22L1	2.02	0	0	BC049823	Ribosomal protein L22-like 1, (cDNA clone IMAGE:4865966)
ACTA2	2.02	0.52	1.13	NM_001613	Actin, alpha 2, smooth muscle, aorta
GAS1	2.01	0	0	NM_002048	Growth arrest-specific 1
SLC25A29	22.04	0	0.46	NM_001039355	Solute carrier family 25, member 29 transcript variant 1
CNDP2	22.04	0.76	2.88	NM_018235	CNDP dipeptidase 2
TLR5	22.04	0	0.71	NM_003268	Toll-like receptor 5
CBLC	22.05	0.76	3.89	NM_012116	Cas-Br-M
COL1A2	22.06	0	0	NM_000089	Collagen, type I, alpha 2
SH3RF2	22.08	0.76	2.9	NM_152550	SH3-domain containing ring finger 2
IFNGR1	22.13	0	0	NM_000416	Interferon gamma receptor 1
MAN2B2	22.13	0	0	NM_015274	Mannosidase, alpha, class 2B, member 2
TPD52L1	22.14	0	0	NM_001003395	Tumor protein D52-like 1 transcript variant 2
ANXA3	22.14	0	1.23	NM_005139	Annexin A3
TMEM139	22.15	0.76	2.89	NM_153345	Transmembrane protein 139
ABCG1	22.16	0	0	NM_207630	ATP-binding cassette, sub-family G member 1 transcript variant 1
RAB15	22.16	0	0.82	NM_198686	RAB15, member RAS onocogene family
SMAD9	22.17	0	0	NM_005905	SMAD family member 9
SORBS2	22.17	0	2.45	AF090937	Clone HQ0618 PRO0618, complete cds
KRTCAP3	22.18	0	0.01	AY358993	Clone DNA129535 MRV222 complete cds
ENST00000368025	22.22	0	0	ENST00000368025	Junctional adhesion molecule A precursor (JAM-A) (junctional adhesion molecule 1) (JAM-1) (Platelet adhesion molecule 1) (PAM-1) (platelet F11 receptor) (CD321 antigen)
TMEM142B	22.22	0	0	NM_032831	Transmembrane protein 142B
UCA1	22.23	0	1.93	DQ249310	Clone DU2 UCA1 protein complete cds
PPP1R1A	22.23	0	2.41	NM_006741	Protein phosphatase 1, regulatory
ATP1B1	22.23	0	0	NM_001677	ATPase, Na+/K+ transporting, beta 1 polypeptide transcript variant 1
EVA1	22.25	0	0.46	NM_144765	Epithelial V-like antigen 1 transcript variant 2
ABCB9	22.26	0	0	NM_019625	ATP-binding cassette, sub-family B member 9 transcript variant 1
SCNN1A	22.27	0	0	NM_001038	Sodium channel, non-voltage-gated 1 alpha
CRIP1	22.27	0	1.17	NM_001311	Cysteine-rich protein 1
ASRGL1	22.28	0	0	NM_025080	Asparaginase like 1
ANK3	22.28	0	0.33	NM_020987	Ankyrin 3, node of Ranvier transcript variant 1
KAZALD1	22.28	0.76	4.51	NM_030929	Kazal-type serine peptidase inhibitor domain 1
ECHDC2	22.29	0	0.3	NM_018281	Enoyl Co-enzyme A hydratase domain containing 2
AIM1L	22.29	0	1.5	NM_017977	Absent in melanoma 1-like
USP53	22.29	0.76	3.51	BC017382	Ubiquitin-specific peptidase 53, complete cds
PCCA	22.29	0	0.17	NM_000282	Propionyl Co-enzyme A carboxylase, alpha polypeptide
FAM110C	22.3	0	0.41	NM_001077710	Family with sequence similarity 110 member C
ENST00000370892	22.3	0	0.1	ENST00000370892	Leucine-rich repeat-containing protein 1 (LAP and no PDZ protein) (LANO adapter protein)
CLGN	22.32	0.76	4.58	NM_004362	Calmegin
TRPM4	22.33	0	0	NM_017636	Transient receptor potential cation channel, subfamily M, member 4
CHST4	22.37	0.76	3.9	NM_005769	Carbohydrate
PDE9A	22.39	0	0	NM_002606	Phosphodiesterase 9A transcript variant 1
FLJ37464	22.39	0	0	NM_173815	Hypothetical protein FLJ37464
RNASET2	22.4	0	1.45	NM_003730	Ribonuclease T2
NRXN3	22.4	0	0.27	NM_004796	Neurexin 3 transcript variant alpha
ZNF589	22.51	0	2.05	NM_016089	Zinc finger protein 589
SLAIN1	22.52	0	1.09	NM_001040153	SLAIN motif family, member 1 transcript variant 1
ALPL	22.56	0	0	NM_000478	Alkaline phosphatase, liver/bone/kidney
ANKRD35	22.58	0	1.23	NM_144698	Ankyrin repeat domain 35
SLC15A2	22.58	0	0	NM_021082	Solute carrier family 15 member 2
LOC388135	22.61	0.76	3.07	NM_001039614	Similar to RIKEN cDNA 6030419C18 gene
OCIAD2	22.64	0	0.46	NM_001014446	OCIA-domain containing 2 transcript variant 1
DGKD	22.64	0	0.88	NM_152879	Diacylglycerol kinase, delta 130kDa transcript variant 2
FLJ21511	22.64	0	0	NM_025087	Hypothetical protein FLJ21511
FLJ20366	22.66	0	0	NM_017786	Hypothetical protein FLJ20366
LRRC1	22.66	0	1.22	NM_018214	Leucine-rich repeat containing 1
GYLTL1B	22.66	0	3.08	NM_152312	Glycosyltransferase-like 1B
DDX43	22.67	0	1.27	NM_018665	DEAD
NDRG2	22.67	0.76	2.96	NM_201535	NDRG family member 2 transcript variant 1
KRT23	22.8	0	0	NM_015515	Keratin 23
LOC284422	22.85	0.76	3.83	ENST00000211092	HSPC323, partial cds
C10orf116	22.87	0	0.31	NM_006829	Chromosome 10 open reading frame 116
GMPR	22.95	0	1.06	NM_006877	Guanosine monophosphate reductase
HES5	23.04	0	1.09	NM_001010926	Hairy and enhancer of split 5
KRT8	23.07	0	0.14	NM_002273	Keratin 8
CAMK2B	23.12	0.76	4.35	NM_172082	Calcium/calmodulin-dependent protein kinase transcript variant 6
HGD	23.17	0	0.92	NM_000187	Homogentisate 1,2-dioxygenase
ZBED2	23.21	0	0.5	NM_024508	Zinc finger, BED-type containing 2
HSD11B2	23.35	0.76	2.91	NM_000196	Hydroxysteroid
ZDHHC11	23.46	0	2.26	NM_024786	zinc finger, DHHC-type containing 11
SFTPG	23.66	0	0	NM_205854	Surfactant-associated protein G
DUOX1	23.69	0	0.67	AL137592	mRNA; cDNA DKFZp434L0610 (from clone DKFZp434L0610); partial cds
FXYD4	23.72	0	1.56	NM_173160	FXYD-domain containing ion transport regulator 4
WFDC2	23.76	0.76	2.67	NM_080734	WAP four-disulfide core domain 2 transcript variant 4
SLC37A2	23.83	0	0	NM_198277	Solute carrier family 37 member 2
TFCP2L1	24.05	0	0.22	NM_014553	Transcription factor CP2-like 1
VTCN1	24.24	0.76	3.64	NM_024626	V-set domain containing T cell activation inhibitor 1
MOSC1	24.79	0	0	NM_022746	MOCO sulphurase C-terminal domain containing 1
SLC7A4	24.95	0	0	NM_004173	Solute carrier family 7 member 4
TNNC1	27.57	0	0.21	NM_003280	Troponin C type 1
