Gene Symbol	Probeset ID	p-value	Fold-Change
KIAA1199	1554685_a_at	1.23E-05	2.901
CXXC5	224516_s_at	0.000159566	2.8861
RDH5	210106_at	0.000822966	2.84676
MALL	209373_at	0.000804123	2.84608
WDR51B	226283_at	0.000120258	2.8403
ANKRD44	235778_s_at	9.18E-06	2.82615
C2orf65	1555148_a_at	1.49E-08	2.81037
EIF4EBP1	221539_at	0.000204939	2.80403
ITGB3	215240_at	0.000328442	2.80281
FAM20A	243221_at	0.000296237	2.80098
CXXC5	233955_x_at	0.000458459	2.78972
	231894_at	0.00023127	2.78493
IL12A	207160_at	8.20E-12	2.76641
PPM1E	205938_at	4.41E-07	2.74331
CEBPB	212501_at	2.27E-05	2.73047
	228471_at	2.97E-06	2.69887
SSX3	207666_x_at	4.37E-09	2.68215
KLF13	225390_s_at	0.000191476	2.68159
	1569727_at	8.66E-09	2.65579
GPR56	212070_at	4.20E-05	2.65443
ITGB3	204625_s_at	0.000994568	2.62016
PSPH	205194_at	0.000113708	2.61133
TAF9B	226037_s_at	4.61E-08	2.58392
ATP2B1	212930_at	0.000329951	2.57886
ANO4	229749_at	0.000210366	2.57562
	1561180_at	1.58E-05	2.55059
FLI1	210786_s_at	6.90E-05	2.53594
	214896_at	0.000510557	2.52479
INSIG1	201625_s_at	0.000237872	2.51628
SLC4A5	234976_x_at	2.84E-07	2.51035
INSIG1	201626_at	0.000800959	2.48274
C10orf122	244789_at	1.62E-13	2.46519
PLA2G3	220780_at	1.07E-11	2.46265
HMGA2	1558683_a_at	8.29E-10	2.46069
ALDH1L2	1559393_at	6.16E-09	2.45819
CHRM1	231783_at	6.02E-06	2.44808
PDLIM3	209621_s_at	0.000873326	2.44636
	226641_at	0.000518762	2.43505
TANC2	224952_at	0.000337426	2.43348
SYT13	226086_at	4.15E-06	2.43302
CD24	208650_s_at	3.67E-06	2.4293
TLX1	207179_at	5.99E-13	2.42834
FIP1L1	1554424_at	4.98E-05	2.40924
DOK1	211121_s_at	9.13E-06	2.40891
AGXT2L1	221008_s_at	0.000371809	2.40757
SETBP1	205933_at	0.000862661	2.40321
RAB7B	1553982_a_at	0.000643098	2.38338
STC2	203438_at	2.79E-05	2.37909
MRO	224324_at	1.24E-05	2.37812
CARS	240983_s_at	4.84E-07	2.36612
FGF1	1552721_a_at	0.000285243	2.34408
RTN4RL2	229345_at	2.32E-07	2.33301
PREX1	224909_s_at	0.000109207	2.33217
IL27RA	205926_at	0.00093148	2.32832
PDSS2	1555886_at	0.000872713	2.32626
CXorf38	230532_at	3.80E-06	2.32599
YARS	212048_s_at	5.04E-08	2.31294
MARS	201475_x_at	4.02E-09	2.31071
GPT2	224839_s_at	0.000153417	2.30872
SLC27A1	226728_at	0.000927999	2.30552
NOVA1	207437_at	1.19E-09	2.30068
LOC284561	232689_at	1.75E-10	2.2978
LOC284561	233737_s_at	8.78E-11	2.27648
NR0B1	206644_at	9.76E-05	2.2706
SSX4 /// SSX4B	210394_x_at	0.000228469	2.26831
CNTN6	207195_at	4.84E-08	2.261
	242888_at	7.39E-07	2.26029
PHC2	238131_at	4.48E-05	2.25539
CCNA1	205899_at	7.06E-05	2.24526
GARS	208693_s_at	5.29E-05	2.24389
TANC2	208425_s_at	2.10E-05	2.23739
MARS	213671_s_at	8.80E-07	2.219
SH2B3	203320_at	0.000474696	2.21676
LOC283352	1561757_a_at	2.62E-06	2.21634
SDC3	202898_at	0.000324936	2.20534
FAM184A	220150_s_at	2.11E-05	2.20435
CEBPG	225527_at	9.10E-08	2.1994
FLJ35024	1558212_at	8.64E-09	2.19919
GDF11	226232_at	0.000492147	2.18475
MAP3K1	225927_at	1.03E-08	2.18227
GABRA2	1554308_s_at	2.42E-06	2.17365
FGFR2	203639_s_at	4.62E-06	2.17254
NRTN	210683_at	0.000113393	2.17155
PPARG	208510_s_at	0.000156247	2.16893
KLF13	219878_s_at	0.000970744	2.16198
NIPSNAP3B	223764_x_at	2.64E-05	2.15796
ATF4	200779_at	0.000216584	2.15517
C3orf55	238969_at	0.000779646	2.14941
SLC10A4	239913_at	2.87E-14	2.13901
THRB	228716_at	5.19E-06	2.13469
PHKA2	1560358_at	3.78E-12	2.13371
	241452_at	2.03E-06	2.11855
MOSPD2	64883_at	1.56E-05	2.1142
ACTN2	203861_s_at	3.83E-06	2.11204
MOSPD2	221895_at	3.59E-08	2.10799
	230650_at	0.000261065	2.10248
PKHD1	241694_at	1.58E-07	2.09673
	1561037_a_at	2.75E-07	2.09308
SLC1A5	208916_at	1.89E-05	2.08887
	228700_at	0.000263636	2.08292
AKT2	203809_s_at	0.000314307	2.07801
GLT25D1	222644_s_at	7.54E-05	2.07189
SARS	200802_at	4.26E-07	2.07006
GRIA4	208464_at	5.46E-08	2.06431
PREX1	224925_at	0.000491728	2.06022
DUSP2	204794_at	0.000293625	2.05902
COL9A1	1555527_at	6.79E-08	2.05383
GLCCI1	1560316_s_at	0.000948786	2.05371
GSTO2	227163_at	9.35E-06	2.05063
LOC148189	235191_at	0.000343237	2.04867
C9orf89	223398_at	5.95E-05	2.0469
C9orf3	212848_s_at	7.84E-06	2.04338
DNAJC1	218409_s_at	0.000326364	2.03347
ANGPT1	1552939_at	2.44E-09	2.03289
	241505_at	1.67E-06	2.01861
ADORA1	205481_at	1.42E-08	2.01768
PCYOX1L	218953_s_at	0.00106147	2.00572
MAOA	204388_s_at	8.33E-05	2.00386
HRASLS5	231050_at	6.62E-07	2.0035
MRC2	209280_at	2.99E-05	2.00231
	1558847_at	3.09E-06	-2.00163
MPP4	1552489_s_at	0.000131481	-2.01485
CTTN	201059_at	8.98E-06	-2.02108
PRKAA2	238441_at	2.60E-05	-2.02198
APLP2	208248_x_at	0.000995769	-2.02258
COL18A1	209082_s_at	0.000768921	-2.02758
	233176_at	3.98E-05	-2.02796
VPS41	203106_s_at	4.77E-06	-2.03002
RBPMS /// SDHALP2	1557223_at	0.000428231	-2.0313
UBE2G2	1557053_s_at	1.66E-06	-2.03236
LOC439994 /// LOC642361	228839_s_at	7.08E-05	-2.03239
	229641_at	4.93E-05	-2.03452
MYST4	212462_at	0.000185019	-2.0353
NCOA5	225145_at	3.50E-05	-2.03854
TMEM201	227617_at	1.84E-06	-2.04137
	1557487_at	1.06E-05	-2.04162
JMJD1C	221763_at	0.000273679	-2.04416
HERC2	217902_s_at	0.000960934	-2.04559
LOXL2	202997_s_at	0.000733715	-2.0469
DMPK	37996_s_at	0.000106672	-2.05558
DGCR8	218650_at	6.09E-08	-2.05788
FAM160B1	226155_at	0.000116661	-2.06399
ZNF678	242923_at	0.000789086	-2.06687
CA10	220889_s_at	5.74E-08	-2.07073
	235875_at	0.000109287	-2.07595
	237083_at	7.29E-06	-2.09599
	244091_at	6.27E-09	-2.10426
PRSS35	235874_at	0.000132071	-2.10977
	1570155_at	6.14E-10	-2.11082
TGFB2	209908_s_at	1.49E-06	-2.11772
LOC339929	1556827_at	2.43E-05	-2.1193
	239154_at	0.000677162	-2.12544
	235581_at	1.70E-05	-2.1296
LOC100133660	230082_at	0.000602191	-2.12991
MARVELD1	223095_at	5.15E-05	-2.1318
TSPAN12	219274_at	0.000491538	-2.14257
	215128_at	0.000265592	-2.14501
	229384_at	0.000286638	-2.14859
EPM2AIP1	227847_at	0.000224163	-2.14945
C10orf114	1555923_a_at	2.71E-09	-2.15089
ANKH	229176_at	0.000810084	-2.17097
PTPN21	226380_at	7.88E-05	-2.17573
UBAP2L	214695_at	1.04E-07	-2.17671
TMEM171	240770_at	4.37E-05	-2.19654
DOCK3	213482_at	5.92E-05	-2.19721
ANGPTL1	224339_s_at	0.000294359	-2.20153
NUP50	213682_at	0.000139484	-2.21057
MNX1	214614_at	0.000206501	-2.21247
	222033_s_at	8.03E-06	-2.22099
TMEM171	1553559_at	6.37E-06	-2.22453
PHLDB1	212134_at	2.05E-06	-2.23507
FOXN3	205022_s_at	0.00069288	-2.23802
FOXN3	222494_at	0.000505439	-2.24855
NEDD4L	212448_at	0.000725327	-2.25532
NLRP1	218380_at	0.000734159	-2.25582
NF2	218915_at	0.000482157	-2.27031
CCND2	200952_s_at	3.43E-06	-2.27593
	242273_at	3.72E-05	-2.27667
	241833_at	1.26E-07	-2.27668
IGF1R	225330_at	0.000944235	-2.28085
TPCN2	229251_s_at	4.87E-05	-2.29792
SLC30A1	228181_at	4.44E-06	-2.30868
SLC30A1	212907_at	3.12E-06	-2.31884
SH3GL2	205751_at	0.000499528	-2.3273
LGI3	238061_at	0.000412753	-2.33477
SIVA1	222030_at	0.000956575	-2.33862
CHML	206079_at	0.000664108	-2.35353
PINX1	223907_s_at	1.65E-05	-2.3575
SLC25A45	1563498_s_at	4.07E-07	-2.37267
WNT16	224022_x_at	3.25E-09	-2.37491
	236229_at	0.000494013	-2.381
ANGPTL1	239183_at	8.47E-05	-2.38805
MAP1LC3C	221697_at	3.46E-07	-2.39038
FAM13C	1554547_at	1.37E-07	-2.40163
KLF12	227261_at	0.000579187	-2.40166
APBB2	212970_at	0.000209594	-2.40445
ICK	204569_at	0.000699417	-2.40695
	230053_at	0.000378081	-2.42325
SSH1	221752_at	8.05E-06	-2.43796
	1560498_at	7.34E-12	-2.45034
GIT2	225558_at	0.000114767	-2.45235
LRCH4	37796_at	0.000697669	-2.46023
VGLL4	214004_s_at	2.09E-05	-2.46765
SETD6	219751_at	9.68E-06	-2.47938
CSNK1E	226858_at	2.69E-05	-2.4921
RRAGB	205540_s_at	1.58E-05	-2.49678
CFH /// CFHR1	215388_s_at	0.000560417	-2.50038
AFAP1	203563_at	0.000847172	-2.5053
SOX7	228698_at	0.000647272	-2.50813
KLHL21	203068_at	3.32E-05	-2.51343
	228925_at	0.000293371	-2.52541
	240135_x_at	8.51E-05	-2.55648
IGF1R	203627_at	0.000166898	-2.57419
LOC645249	236967_at	2.03E-05	-2.58354
CD44	229221_at	0.000539276	-2.58825
VGLL4	212399_s_at	4.44E-07	-2.59776
TRNP1	227862_at	1.49E-05	-2.60817
PEX5L	222910_s_at	1.90E-09	-2.61769
IRS1	238933_at	2.84E-05	-2.62157
VAV2	226063_at	1.90E-09	-2.65222
IGF1R	203628_at	0.000506161	-2.66361
IL7	206693_at	0.000552509	-2.68931
LZTS1	47550_at	7.96E-05	-2.71855
	228710_at	1.62E-05	-2.71981
	230479_at	7.39E-07	-2.74432
PTGS2	1554997_a_at	0.000113385	-2.76555
	236330_at	0.000954872	-2.76663
ITIH3	205755_at	1.03E-09	-2.80192
	238284_at	3.68E-11	-2.80962
TUBB2A	204141_at	1.28E-07	-2.83773
	238032_at	0.000796232	-2.85178
	238559_at	1.38E-09	-2.85198
TP53INP2	224836_at	0.000538078	-2.86171
TIMP3	201147_s_at	0.000294812	-2.87807
SAMD4A	212845_at	0.000274151	-2.88892
ZNF385D	220117_at	5.79E-08	-2.895
MCC	206132_at	7.98E-06	-2.90881
PRRG4	207291_at	0.000726391	-2.913
TIMP3	201149_s_at	0.00029662	-2.92189
NTM	222020_s_at	0.000894261	-2.94484
MMP3	205828_at	9.08E-07	-2.94614
KIF13A	223520_s_at	7.19E-05	-2.96626
	237675_at	1.46E-17	-2.9766
FAM13B	218518_at	2.59E-05	-2.97751
TIMP3	201150_s_at	9.63E-05	-2.98897
KLF9	203542_s_at	0.000513857	-3.02773
LOC100133920 /// LOC286297	1564277_a_at	3.01E-05	-3.04493
EPAS1	200878_at	3.49E-07	-3.06318
CCND2	200951_s_at	1.62E-05	-3.10068
TPCN2	229250_at	3.81E-05	-3.10549
SKIL	217591_at	1.14E-07	-3.14196
TRAF3IP2	202987_at	3.13E-09	-3.14225
LONRF2	235977_at	1.63E-08	-3.16209
CHST11	219634_at	4.91E-05	-3.17218
VAT1L	226415_at	8.35E-06	-3.18242
ATOH8	228890_at	4.05E-05	-3.24625
ANGPTL1	231773_at	0.000128829	-3.26131
IGFBP1	205302_at	3.23E-12	-3.26145
IRS1	235392_at	1.16E-06	-3.26316
	225227_at	1.74E-05	-3.27413
C21orf7	221211_s_at	4.45E-05	-3.28368
NPFFR2	224169_at	3.42E-07	-3.41281
NRIP1	202599_s_at	9.76E-06	-3.43928
C3orf59	227599_at	3.98E-05	-3.44151
	233772_at	3.13E-16	-3.47485
TIMP3	201148_s_at	6.07E-06	-3.47967
APBB2	40148_at	3.56E-05	-3.51367
ALCAM	201951_at	0.000555324	-3.52657
TGFB2	220407_s_at	1.05E-06	-3.52692
	243036_at	2.51E-07	-3.55998
KLF9	203543_s_at	0.000281674	-3.58995
NBL1	37005_at	0.00087756	-3.63263
RARB	205080_at	0.000751775	-3.68224
C17orf91	214696_at	0.000216345	-3.68749
TFRC	208691_at	0.000370224	-3.69786
APBB2	213419_at	0.000109312	-3.74397
C10orf116	203571_s_at	9.57E-06	-3.74644
ODZ4	213273_at	0.000127668	-3.77509
DMKN	226926_at	1.32E-06	-3.77979
LOX	213640_s_at	1.16E-06	-3.83431
TFRC	207332_s_at	0.000455475	-3.84951
APBB2	212985_at	0.000210403	-3.9499
SMAD9	227719_at	1.21E-05	-3.96397
TGFB2	209909_s_at	6.56E-07	-4.08804
CYCS	244546_at	5.67E-06	-4.08833
	229201_at	4.04E-05	-4.0997
SETD6	1554555_a_at	6.67E-07	-4.10027
UCHL1	201387_s_at	0.00033461	-4.13064
CYCS	229415_at	2.17E-05	-4.24474
FERMT3	223303_at	0.000282527	-4.25354
	239503_at	9.48E-10	-4.34214
B3GALT2	210121_at	3.56E-08	-4.41537
MYADM	225673_at	0.000173679	-4.42858
TGFA	205016_at	9.36E-05	-4.44212
FXYD3	202488_s_at	1.60E-06	-4.5842
IL1RAPL1	222963_s_at	1.12E-05	-4.73326
TPM1	206117_at	0.000231557	-4.7518
EFEMP2	206580_s_at	0.000777586	-4.87545
LONRF2	225996_at	0.000276908	-4.93832
PTGS2	204748_at	0.000938613	-4.99529
STON1	213413_at	0.000462241	-5.00911
NAP1L3	204749_at	1.36E-05	-5.1907
B3GALT2	217452_s_at	2.91E-09	-5.24932
LOC653786 /// OTOA	1553432_s_at	4.63E-12	-5.37245
MCC	226225_at	2.74E-05	-5.58805
KDR	203934_at	5.71E-07	-5.599
AMPH	205257_s_at	0.000403094	-5.60224
CYBA	203028_s_at	1.80E-07	-5.65076
KIF5C	203130_s_at	0.000215954	-5.67496
LOC100133920 /// LOC286297	1556704_s_at	7.17E-07	-5.80385
BEX1	218332_at	0.000134704	-6.13303
GOLSYN	218692_at	2.73E-09	-6.21061
MRGPRF	227727_at	5.92E-06	-6.37531
IGFBP6	203851_at	0.00105405	-6.64104
IRS1	204686_at	0.00031725	-6.80759
GPX3	201348_at	0.000362534	-7.2106
TXK	206828_at	8.35E-13	-7.21073
SYTL2	225496_s_at	0.000104782	-7.24244
FAM5C	217562_at	1.06E-17	-7.44277
SYTL2	232914_s_at	3.48E-05	-7.48416
XG	1554062_at	0.000273971	-7.52823
IL1RAPL1	220663_at	1.24E-05	-7.55986
TPM1	206116_s_at	0.000913601	-7.92565
IFI27	202411_at	5.39E-05	-8.44698
HNMT	204112_s_at	7.46E-06	-8.62686
FAM19A2	241399_at	5.26E-17	-8.68
HTN3	206786_at	9.56E-05	-9.28209
	214078_at	1.19E-21	-9.30731
AKAP12	210517_s_at	0.000109774	-9.62746
HNMT	211732_x_at	2.50E-07	-9.79612
KIAA1210	232332_at	3.29E-20	-9.80583
RBPMS	207836_s_at	9.39E-09	-10.3835
SMAD1	210993_s_at	7.94E-10	-11.1975
MCAM	209086_x_at	4.09E-06	-11.877
SMAD1	227798_at	2.02E-08	-13.1772
RBPMS	209487_at	4.32E-09	-13.4713
LOXL2	202998_s_at	0.000230878	-13.7515
SLAMF7	222838_at	7.40E-05	-14.337
MCAM	211340_s_at	5.36E-08	-14.972
MCAM	209087_x_at	2.36E-07	-16.5547
CCND2	200953_s_at	4.38E-06	-18.2556
RBPMS	209488_s_at	9.77E-09	-20.2956
	236277_at	1.74E-13	-20.447
MCAM	210869_s_at	3.46E-07	-21.1802
GJA1	201667_at	9.47E-06	-22.7744
DHRS3	202481_at	2.07E-06	-24.7186
