Symbol	Name	ProbeId	Adult:Log2FC	Adult:adj_p-value
Baiap2l1	BAI1-associated protein 2-like 1	A_51_P195374	Adult:3.24052782808219	Adult:2.99067844220926e-11
Rnf152	ring finger protein 152	A_52_P392229	Adult:3.20001104455347	Adult:5.37767928767476e-05
4833427G06Rik	RIKEN cDNA 4833427G06 gene	A_51_P327983	Adult:3.14863579711032	Adult:0.00469617699101252
1810046K07Rik	RIKEN cDNA 1810046K07 gene	A_51_P173107	Adult:2.96931118247072	Adult:0.00482004071569378
Tmem8	transmembrane protein 8 (five membrane-spanning domains)	A_52_P196388	Adult:2.96457686245107	Adult:2.02128007498876e-05
D730039F16Rik	RIKEN cDNA D730039F16 gene	A_51_P286131	Adult:2.92035128459486	Adult:0.00134365110271951
Irf6	interferon regulatory factor 6	A_51_P363749	Adult:2.87417961920211	Adult:5.39806548186785e-06
Gng13	guanine nucleotide binding protein (G protein), gamma 13	A_51_P149422	Adult:2.86125155067978	Adult:0.00176224809527264
Pik3ip1	phosphoinositide-3-kinase interacting protein 1	A_52_P344152	Adult:2.85006854898492	Adult:0.000115687445631567
Tcf15	transcription factor 15	A_51_P508580	Adult:2.8259277566123	Adult:1.05224379859076e-06
D330022K07Rik	RIKEN cDNA D330022K07 gene	A_51_P252596	Adult:2.82456215674404	Adult:0.000297589965417199
Fut8	fucosyltransferase 8	A_52_P15877	Adult:2.81381151896702	Adult:0.00192123913888974
Slc2a4	solute carrier family 2 (facilitated glucose transporter), member 4	A_51_P217498	Adult:2.77955906616954	Adult:0.000641659252514655
Gpr160	G protein-coupled receptor 160	A_51_P264227	Adult:2.76948654115879	Adult:1.17212999017897e-08
Gm8995	predicted gene 8995	A_52_P666442	Adult:2.71793421319145	Adult:0.00535309550251393
1700042G07Rik	RIKEN cDNA 1700042G07 gene	A_52_P451830	Adult:2.70734556795989	Adult:1.80232165770911e-05
Clmn	calmin	A_51_P200667	Adult:2.70579561389001	Adult:7.00321243743697e-05
Tmem182	transmembrane protein 182	A_51_P412579	Adult:2.70227004196104	Adult:0.0010247731683482
P2ry14	purinergic receptor P2Y, G-protein coupled, 14	A_51_P120738	Adult:2.62640735985269	Adult:0.00110287328851833
Abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	A_51_P249118	Adult:2.58871683704406	Adult:3.38581337914296e-09
Gkn3	gastrokine 3	A_51_P267700	Adult:2.57738020969042	Adult:1.10384442099952e-08
D630042P16Rik	RIKEN cDNA D630042P16 gene	A_52_P62489	Adult:2.56443532597558	Adult:0.000955203984666748
Ano1	anoctamin 1, calcium activated chloride channel	A_51_P168894	Adult:2.55380895450087	Adult:0.00108981330663954
3830408C21Rik	RIKEN cDNA 3830408C21 gene	A_52_P156034	Adult:2.54161627434524	Adult:0.000909542649531337
Rasd1	RAS, dexamethasone-induced 1	A_52_P496726	Adult:2.54142396381626	Adult:0.000155958371207077
Gm106	predicted gene 106	A_52_P22611	Adult:2.54051998320861	Adult:0.000563409678773981
Aoc3	amine oxidase, copper containing 3	A_51_P378051	Adult:2.53710471702732	Adult:6.12489499374649e-05
Esyt2	extended synaptotagmin-like protein 2	A_52_P433137	Adult:2.5243029157038	Adult:0.000845184496086304
2700046A07Rik	RIKEN cDNA 2700046A07 gene	A_51_P371892	Adult:2.52416989965781	Adult:0.000350633610436463
Nav2	neuron navigator 2	A_51_P410813	Adult:2.51864865199835	Adult:0.0252330238102711
Xrcc2	X-ray repair complementing defective repair in Chinese hamster cells 2	A_52_P662752	Adult:2.50145631754812	Adult:0.000558995024902316
Dgkg	diacylglycerol kinase, gamma	A_51_P494037	Adult:2.49282503142193	Adult:0.0228071846644621
Ralgapa1	Ral GTPase activating protein, alpha subunit 1	A_52_P83363	Adult:2.49089426800504	Adult:1.63491844408195e-08
Kndc1	kinase non-catalytic C-lobe domain (KIND) containing 1	A_51_P176474	Adult:2.48921017859206	Adult:0.0027172027930355
Lcat	lecithin cholesterol acyltransferase	A_51_P336060	Adult:2.48311057974449	Adult:2.39010796855253e-05
Olfr630	olfactory receptor 630	A_51_P151234	Adult:2.48167534813579	Adult:7.8829789414575e-09
Tmem25	transmembrane protein 25	A_51_P142450	Adult:2.42602440411303	Adult:0.00514070966469266
Gpr62	G protein-coupled receptor 62	A_52_P630673	Adult:2.42283231495047	Adult:0.00472209319800749
Rab11fip5	RAB11 family interacting protein 5 (class I)	A_52_P529360	Adult:2.40393150638899	Adult:8.37776435501117e-11
Usp46	ubiquitin specific peptidase 46	A_52_P241819	Adult:2.39474472251777	Adult:0.00189622542493053
Gpr81	G protein-coupled receptor 81	A_51_P294059	Adult:2.3833472044208	Adult:2.30143708451451e-06
Xk	Kell blood group precursor (McLeod phenotype) homolog	A_52_P6828	Adult:2.37328877729232	Adult:8.38800005816688e-06
Grm7	glutamate receptor, metabotropic 7	A_52_P551129	Adult:2.36634658582877	Adult:1.66162500197552e-05
Plekhh2	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	A_51_P447614	Adult:2.33383866125832	Adult:0.00108229428394046
Fam59a	family with sequence similarity 59, member A	A_52_P76216	Adult:2.33371895750556	Adult:0.00223727936310757
2010007H06Rik	RIKEN cDNA 2010007H06 gene	A_52_P947	Adult:2.33363529238539	Adult:0.00144674829132181
C2cd4c	C2 calcium-dependent domain containing 4C	A_51_P174264	Adult:2.33076021972463	Adult:4.19319634665346e-12
Ppara	peroxisome proliferator activated receptor alpha	A_51_P348334	Adult:2.32333683344465	Adult:9.69350874628935e-05
Reck	reversion-inducing-cysteine-rich protein with kazal motifs	A_51_P271887	Adult:2.29841253116922	Adult:5.31324011835052e-05
Lynx1	Ly6/neurotoxin 1	A_51_P128667	Adult:2.28699405853455	Adult:5.21003000809714e-10
Polk	polymerase (DNA directed), kappa	A_52_P460095	Adult:2.25120217921082	Adult:0.000465778292494239
Aim1	absent in melanoma 1	A_51_P144052	Adult:2.2478018081266	Adult:8.65679220095741e-08
Zfp426	zinc finger protein 426	A_52_P475559	Adult:2.24648915879929	Adult:0.0027309749958579
Smox	spermine oxidase	A_52_P430194	Adult:2.23292719400706	Adult:0.00229779408064611
Cldn11	claudin 11	A_51_P409452	Adult:2.23057208029979	Adult:0.0244993780063284
Rasa2	RAS p21 protein activator 2	A_51_P447216	Adult:2.22969374511881	Adult:0.00092134147164646
Pkig	protein kinase inhibitor, gamma	A_51_P370874	Adult:2.22937433456109	Adult:4.99904658226964e-12
Ptprr	protein tyrosine phosphatase, receptor type, R	A_51_P443976	Adult:2.22488157440407	Adult:6.01938110794944e-06
Nr4a2	nuclear receptor subfamily 4, group A, member 2	A_52_P971150	Adult:2.22162141797218	Adult:5.75387951545072e-05
Klhdc8b	kelch domain containing 8B	A_52_P609334	Adult:2.21528690476498	Adult:6.70139385109559e-05
1700020C07Rik	RIKEN cDNA 1700020C07 gene	A_51_P484599	Adult:2.21283253486418	Adult:5.79752491298782e-06
Col4a3bp	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	A_52_P115638	Adult:2.21275687708849	Adult:0.000605249433491977
Tmem216	transmembrane protein 216	A_51_P243063	Adult:2.17656042500856	Adult:0.0215553967958142
Il1f10	interleukin 1 family, member 10	A_51_P494561	Adult:2.17655132584736	Adult:5.90537065025279e-05
9430013L17Rik	RIKEN cDNA 9430013L17 gene	A_52_P1083427	Adult:2.16319527806755	Adult:0.00651178827541586
Scube2	signal peptide, CUB domain, EGF-like 2	A_51_P192397	Adult:2.12511594448488	Adult:5.12673166551511e-08
Fntb	farnesyltransferase, CAAX box, beta	A_51_P517680	Adult:2.11962076026155	Adult:4.67089715793938e-06
Otud7a	OTU domain containing 7A	A_51_P126327	Adult:2.11239149361319	Adult:0.000217657873411635
Grin2c	glutamate receptor, ionotropic, NMDA2C (epsilon 3)	A_51_P436269	Adult:2.11207565776322	Adult:0.000147625192866362
Ssxb3	synovial sarcoma, X member B, breakpoint 3	A_52_P656448	Adult:2.09399140235415	Adult:4.48806810434974e-07
Gbe1	glucan (1,4-alpha-), branching enzyme 1	A_51_P273684	Adult:2.07800774117679	Adult:1.23620699767175e-07
Gm13111	predicted gene 13111	A_52_P1124229	Adult:2.0743115334388	Adult:0.00425897954387447
Mogat1	monoacylglycerol O-acyltransferase 1	A_51_P112151	Adult:2.07212166623291	Adult:0.0497773279356827
Gabpb2	GA repeat binding protein, beta 2	A_52_P509679	Adult:2.05636215271456	Adult:0.00868319023408243
Fndc5	fibronectin type III domain containing 5	A_52_P213696	Adult:2.05298576514	Adult:0.00998006602491884
Adra2a	adrenergic receptor, alpha 2a	A_52_P67493	Adult:2.03807593781611	Adult:0.0268318579407158
Gnb4	guanine nucleotide binding protein (G protein), beta 4	A_52_P980644	Adult:2.03603003897011	Adult:0.00603853330400271
Tgfb2	transforming growth factor, beta 2	A_51_P317640	Adult:2.03517273093668	Adult:2.37084335149049e-07
Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	A_51_P221062	Adult:2.02806226847144	Adult:3.94882793179399e-05
Ptgfr	prostaglandin F receptor	A_52_P707884	Adult:2.02152904053173	Adult:0.0248894422358621
E330037M01Rik	RIKEN cDNA E330037M01 gene	A_52_P672437	Adult:2.01812985434407	Adult:0.0258051099035461
Fxyd5	FXYD domain-containing ion transport regulator 5	A_51_P381260	Adult:2.01593327254889	Adult:1.10261502910786e-07
Tada2a	transcriptional adaptor 2A	A_52_P456994	Adult:1.98793841600281	Adult:3.21577824428257e-06
Tpsg1	tryptase gamma 1	A_51_P258721	Adult:1.98549201824606	Adult:0.000143740145137778
9530026P05Rik	RIKEN cDNA 9530026P05 gene	A_52_P271806	Adult:1.96922415151145	Adult:0.0162223411849448
Hrc	histidine rich calcium binding protein	A_51_P267751	Adult:1.96403794937818	Adult:0.00250898033294631
Gm684	predicted gene 684	A_52_P1135722	Adult:1.96332097058567	Adult:5.26132506076543e-09
Dcun1d3	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	A_51_P192979	Adult:1.95636009225799	Adult:1.02962694164043e-08
Ankdd1b	ankyrin repeat and death domain containing 1B	A_51_P185584	Adult:1.95283428474748	Adult:0.0424959168803377
9130230N09Rik	RIKEN cDNA 9130230N09 gene	A_52_P995381	Adult:1.9504747552517	Adult:2.31517101427386e-06
A930006K02Rik	RIKEN cDNA A930006K02 gene	A_52_P1149693	Adult:1.94886139011304	Adult:0.00154042546719358
Alas1	aminolevulinic acid synthase 1	A_51_P128929	Adult:1.94542786775104	Adult:1.21794953123264e-09
Gzmm	granzyme M (lymphocyte met-ase 1)	A_51_P337925	Adult:1.94527241819044	Adult:1.61917347359634e-06
Cryge	crystallin, gamma E	A_51_P289058	Adult:1.93679621997344	Adult:0.00190399858382263
Arhgef33	Rho guanine nucleotide exchange factor (GEF) 33	A_52_P228794	Adult:1.93638988370536	Adult:0.0015007304802806
Capg	capping protein (actin filament), gelsolin-like	A_51_P273921	Adult:1.93627271594357	Adult:5.93823238623587e-07
Fam72a	family with sequence similarity 72, member A	A_52_P144285	Adult:1.93595493612466	Adult:4.44542706224412e-11
Id1	inhibitor of DNA binding 1	A_52_P533809	Adult:1.92351827439508	Adult:5.10941306533711e-07
AW555464	expressed sequence AW555464	A_52_P446625	Adult:1.91671518847973	Adult:5.65277491135355e-05
Grhl1	grainyhead-like 1 (Drosophila)	A_52_P159276	Adult:1.91375295133036	Adult:0.0441962317382725
Fam120a	family with sequence similarity 120, member A	A_52_P415365	Adult:1.90237894793138	Adult:0.0246871540295038
Chka	choline kinase alpha	A_52_P329367	Adult:1.89857535394768	Adult:0.00866482382905629
6030442H21Rik	RIKEN cDNA 6030442H21 gene	A_51_P326449	Adult:1.89327969819411	Adult:0.00423361559767141
Ccr10	chemokine (C-C motif) receptor 10	A_51_P395877	Adult:1.89131778592931	Adult:0.00545854706192709
Cox7a1	cytochrome c oxidase, subunit VIIa 1	A_51_P148612	Adult:1.88913125727188	Adult:8.17797134448015e-05
Atp10d	ATPase, class V, type 10D	A_52_P616332	Adult:1.88654203920802	Adult:0.00433671287279923
Hlf	hepatic leukemia factor	A_51_P134228	Adult:1.88565193617511	Adult:5.48339838620023e-05
1700001L05Rik	RIKEN cDNA 1700001L05 gene	A_52_P820923	Adult:1.88345864945709	Adult:0.00549627432635971
Cd59b	CD59b antigen	A_52_P61691	Adult:1.88139370782211	Adult:5.74897314425121e-06
Hadh	hydroxyacyl-Coenzyme A dehydrogenase	A_52_P98452	Adult:1.8770845094392	Adult:0.0161678935581827
Utrn	utrophin	A_52_P557113	Adult:1.86097407710227	Adult:0.00264011786310405
Cables1	CDK5 and Abl enzyme substrate 1	A_51_P117581	Adult:1.84814714201543	Adult:1.97275785612763e-07
9230115E21Rik	RIKEN cDNA 9230115E21 gene	A_51_P288541	Adult:1.8400280728866	Adult:0.000221087889507321
Nes	nestin	A_51_P452323	Adult:1.83205957044916	Adult:8.72722344675581e-06
Slc16a2	solute carrier family 16 (monocarboxylic acid transporters), member 2	A_51_P352324	Adult:1.8229539061971	Adult:7.01898969442267e-06
Moxd1	monooxygenase, DBH-like 1	A_51_P493987	Adult:1.8143695910351	Adult:0.000306713262243908
Vmn1r181	vomeronasal 1 receptor 181	A_52_P457277	Adult:1.81297038235972	Adult:7.60573125778742e-08
Nbn	nibrin	A_52_P860172	Adult:1.80952337714527	Adult:0.0236348016030959
Fuca2	fucosidase, alpha-L- 2, plasma	A_51_P436957	Adult:1.80446440248549	Adult:2.70027611794128e-05
Tlr6	toll-like receptor 6	A_52_P117393	Adult:1.80250451818869	Adult:0.00363658169512362
Cypt3	cysteine-rich perinuclear theca 3	A_51_P212356	Adult:1.79339590062115	Adult:0.00962510191029709
Nr1d1	nuclear receptor subfamily 1, group D, member 1	A_51_P223776	Adult:1.78264174563524	Adult:0.00149069459065254
Tprn	taperin	A_51_P176661	Adult:1.7774212128392	Adult:1.00916395795987e-09
Amd2	S-adenosylmethionine decarboxylase 2	A_52_P337297	Adult:1.77479676646532	Adult:1.29250251869924e-06
Tmem57	transmembrane protein 57	A_52_P639025	Adult:1.7694594355952	Adult:0.00920136593810245
Trpv4	transient receptor potential cation channel, subfamily V, member 4	A_51_P269203	Adult:1.7655350683022	Adult:1.44483466639886e-05
Sh3rf1	SH3 domain containing ring finger 1	A_52_P1170840	Adult:1.75479198224513	Adult:0.0352536616155877
Stk38l	serine/threonine kinase 38 like	A_52_P320945	Adult:1.7531438654155	Adult:1.1302631174765e-07
Edar	ectodysplasin-A receptor	A_51_P161812	Adult:1.743949001905	Adult:0.00013196966095868
Mx2	myxovirus (influenza virus) resistance 2	A_51_P514085	Adult:1.73664340043125	Adult:0.000453040770334544
Fn3k	fructosamine 3 kinase	A_51_P398525	Adult:1.72378926093153	Adult:0.00249778887681975
6430527G18Rik	RIKEN cDNA 6430527G18 gene	A_51_P244577	Adult:1.72237586640725	Adult:0.000116808200917357
Palm	paralemmin	A_52_P325444	Adult:1.71299466755001	Adult:6.81679312921517e-06
Cryaa	crystallin, alpha A	A_51_P305956	Adult:1.71286860713625	Adult:0.0424671865568745
Lyrm1	LYR motif containing 1	A_52_P240610	Adult:1.70494252474495	Adult:5.33144162490363e-06
Cables2	CDK5 and Abl enzyme substrate 2	A_51_P141610	Adult:1.70451279995498	Adult:9.40156944434439e-08
Txlnb	taxilin beta	A_51_P315391	Adult:1.68583701565061	Adult:0.0277020515660877
Fa2h	fatty acid 2-hydroxylase	A_51_P477692	Adult:1.67671516835688	Adult:3.71634717673417e-06
Cnnm2	cyclin M2	A_51_P281586	Adult:1.67614346100458	Adult:5.68482069047028e-08
Vps11	vacuolar protein sorting 11 (yeast)	A_52_P239391	Adult:1.67320616712954	Adult:0.0228680006943065
Kdm3a	lysine (K)-specific demethylase 3A	A_51_P489406	Adult:1.67100387350739	Adult:0.00603765618010878
Sytl2	synaptotagmin-like 2	A_51_P290921	Adult:1.66711775439307	Adult:0.00417553700676124
Tmem174	transmembrane protein 174	A_51_P492346	Adult:1.66396324975957	Adult:6.35982670904049e-05
Astn1	astrotactin 1	A_51_P143951	Adult:1.66230821237171	Adult:0.0334385289888205
Dync2li1	dynein cytoplasmic 2 light intermediate chain 1	A_51_P472481	Adult:1.65761028976056	Adult:2.84519003074541e-05
Pbld1	phenazine biosynthesis-like protein domain containing 1	A_51_P499816	Adult:1.65629349223032	Adult:0.00102626092245413
Itpr3	inositol 1,4,5-triphosphate receptor 3	A_51_P104897	Adult:1.65365282511872	Adult:1.40570443474011e-05
Irf5	interferon regulatory factor 5	A_51_P346668	Adult:1.64893329223255	Adult:0.00262089727116556
Snph	syntaphilin	A_51_P221100	Adult:1.64508005023619	Adult:0.0409742118443706
Cab39	calcium binding protein 39	A_51_P230934	Adult:1.64484605985851	Adult:0.000928523448584123
Scara3	scavenger receptor class A, member 3	A_51_P115178	Adult:1.636213159418	Adult:0.000835394507851232
Rhpn2	rhophilin, Rho GTPase binding protein 2	A_51_P135012	Adult:1.63598093088662	Adult:5.12754888138181e-05
Dab2ip	disabled homolog 2 (Drosophila) interacting protein	A_52_P622471	Adult:1.63457983135279	Adult:1.70111001973402e-07
Lao1	L-amino acid oxidase 1	A_51_P349652	Adult:1.62579910935968	Adult:0.000154092896673519
Stx3	syntaxin 3	A_52_P526379	Adult:1.62486857701427	Adult:0.0365754077008727
Edn3	endothelin 3	A_52_P20753	Adult:1.62143859907016	Adult:0.000104126492292358
LOC100049077	hypothetical protein LOC100049077	A_51_P285906	Adult:1.61761413700373	Adult:0.00305069815978359
Amd1	S-adenosylmethionine decarboxylase 1	A_52_P484807	Adult:1.61461434551819	Adult:0.00137542235506179
Lin7b	lin-7 homolog B (C. elegans)	A_51_P325223	Adult:1.61431340197923	Adult:0.00471318991736325
Pomt1	protein-O-mannosyltransferase 1	A_52_P454123	Adult:1.60586318129219	Adult:0.0242097220488592
Arid5a	AT rich interactive domain 5A (MRF1-like)	A_51_P482990	Adult:1.60489960737461	Adult:0.00494448611204226
Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	A_52_P221824	Adult:1.60436118020923	Adult:0.00771530703063137
P2ry2	purinergic receptor P2Y, G-protein coupled 2	A_52_P587738	Adult:1.60229893167853	Adult:2.10598638853e-05
Cphx	cytoplasmic polyadenylated homeobox	A_51_P405659	Adult:1.60208389993661	Adult:0.0345421861851447
Trpt1	tRNA phosphotransferase 1	A_51_P337883	Adult:1.59717342531747	Adult:0.0289653064625028
Coro2a	coronin, actin binding protein 2A	A_51_P281033	Adult:1.59498641281278	Adult:0.000449296345702532
Ythdf2	YTH domain family 2	A_52_P679653	Adult:1.59384967432971	Adult:0.00311205263508824
Daglb	diacylglycerol lipase, beta	A_52_P277394	Adult:1.59362596760263	Adult:0.0048817036973864
Cp	ceruloplasmin	A_51_P493234	Adult:1.5911413288647	Adult:1.24116011863047e-06
Igdcc4	immunoglobulin superfamily, DCC subclass, member 4	A_52_P88878	Adult:1.58906664883735	Adult:0.0463647300152489
Spata2L	spermatogenesis associated 2-like	A_51_P250807	Adult:1.58756717850031	Adult:7.90448486412446e-05
Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent)	A_51_P402760	Adult:1.58589317508379	Adult:0.00331243382531378
Jrk	jerky	A_52_P505143	Adult:1.58429002973477	Adult:0.000918264775235757
Plekhg2	pleckstrin homology domain containing, family G (with RhoGef domain) member 2	A_51_P178022	Adult:1.58251076977742	Adult:2.45330554178316e-05
Lrp2bp	Lrp2 binding protein	A_52_P428735	Adult:1.57794200446212	Adult:0.0282632517379394
Maob	monoamine oxidase B	A_51_P302566	Adult:1.57780362977013	Adult:0.0281802067027705
Pkp4	plakophilin 4	A_51_P414762	Adult:1.57630639614688	Adult:1.62095561858643e-05
Adipor2	adiponectin receptor 2	A_52_P185044	Adult:1.57429337423339	Adult:8.01286933969138e-06
Rdh5	retinol dehydrogenase 5	A_51_P479618	Adult:1.57276713887456	Adult:0.003508008978535
Inf2	inverted formin, FH2 and WH2 domain containing	A_51_P281835	Adult:1.57091572739962	Adult:3.38702470932282e-06
Adam1a	a disintegrin and metallopeptidase domain 1a	A_51_P353606	Adult:1.56690509408688	Adult:0.0129273447418679
Fam63a	family with sequence similarity 63, member A	A_51_P476321	Adult:1.56612931066775	Adult:0.00104584610605629
Ing5	inhibitor of growth family, member 5	A_51_P110168	Adult:1.5625097839154	Adult:0.000138593909279291
Med9	mediator of RNA polymerase II transcription, subunit 9 homolog (yeast)	A_51_P496400	Adult:1.5621310745134	Adult:2.30128414291248e-07
Asb4	ankyrin repeat and SOCS box-containing 4	A_52_P594756	Adult:1.56096722586581	Adult:0.00017649340051555
Dck	deoxycytidine kinase	A_52_P602719	Adult:1.55884840900136	Adult:0.0235938702417821
Zfp784	zinc finger protein 784	A_51_P490955	Adult:1.55833270422463	Adult:1.75473163207713e-05
Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	A_51_P204053	Adult:1.55561720772075	Adult:0.000158319327525016
Sepw1	selenoprotein W, muscle 1	A_51_P474078	Adult:1.55335403045703	Adult:0.018721028333559
Zfp248	zinc finger protein 248	A_51_P150951	Adult:1.55216871507074	Adult:0.035471686576235
Ttn	titin	A_51_P401792	Adult:1.54845463241558	Adult:0.0101888561064404
Gpx6	glutathione peroxidase 6	A_51_P299149	Adult:1.54808460810962	Adult:0.00261018124152129
Nr3c1	nuclear receptor subfamily 3, group C, member 1	A_52_P254174	Adult:1.54784361272584	Adult:0.00736241982744436
6330503K22Rik	RIKEN cDNA 6330503K22 gene	A_52_P344160	Adult:1.54021212544253	Adult:0.00596332099278183
Stk16	serine/threonine kinase 16	A_52_P597608	Adult:1.53829760090011	Adult:0.000137419235863982
Cdk19	cyclin-dependent kinase 19	A_51_P479464	Adult:1.52990523693	Adult:8.17616305705317e-06
Mospd4	motile sperm domain containing 4	A_51_P492807	Adult:1.52385795967154	Adult:0.000187409937443917
Osbpl10	oxysterol binding protein-like 10	A_51_P461108	Adult:1.52383798433756	Adult:7.90448486412446e-05
Sdk1	sidekick homolog 1 (chicken)	A_51_P145360	Adult:1.52185778485756	Adult:0.0336600366724866
Lrrk1	leucine-rich repeat kinase 1	A_51_P398435	Adult:1.52122562596679	Adult:3.83048007085401e-05
Nrsn1	neurensin 1	A_51_P448784	Adult:1.52089265760452	Adult:0.00198662754375356
A330008L17Rik	RIKEN cDNA A330008L17 gene	A_52_P376103	Adult:1.51717890237102	Adult:0.0341919599402115
A030005L19Rik	RIKEN cDNA A030005L19 gene	A_51_P241213	Adult:1.51539818860721	Adult:0.000927747062137514
Cttnbp2	cortactin binding protein 2	A_51_P106779	Adult:1.51134005430883	Adult:0.0471422791520461
Cltb	clathrin, light polypeptide (Lcb)	A_51_P238217	Adult:1.50879139734957	Adult:3.08623639391218e-07
Fryl	furry homolog-like (Drosophila)	A_51_P394745	Adult:1.50847756365527	Adult:0.0306621593621185
Mpzl3	myelin protein zero-like 3	A_51_P383530	Adult:1.50291243856934	Adult:3.55291471257352e-07
Thnsl1	threonine synthase-like 1 (bacterial)	A_51_P263377	Adult:1.49804254886924	Adult:0.000174144880726176
Msx1	homeobox, msh-like 1	A_51_P218196	Adult:1.49576169193609	Adult:0.0216133216682296
Pls3	plastin 3 (T-isoform)	A_51_P271614	Adult:1.49487517718308	Adult:7.29754506446463e-05
1110008P14Rik	RIKEN cDNA 1110008P14 gene	A_51_P207153	Adult:1.49476536059523	Adult:1.09399673544171e-06
Flt1	FMS-like tyrosine kinase 1	A_51_P398723	Adult:1.49298080395774	Adult:0.00483014403299697
Gbp5	guanylate binding protein 5	A_52_P327664	Adult:1.49133271498735	Adult:5.40955946893166e-05
4933403G14Rik	RIKEN cDNA 4933403G14 gene	A_51_P446085	Adult:1.49109590047647	Adult:0.00407039605089532
Serhl	serine hydrolase-like	A_51_P200277	Adult:1.48901186801262	Adult:4.85307663854515e-05
Fdps	farnesyl diphosphate synthetase	A_52_P593965	Adult:1.48809848313466	Adult:0.0105054439081224
Ccdc109b	coiled-coil domain containing 109B	A_51_P317031	Adult:1.48423731802623	Adult:0.00186575253005506
Zfp933	zinc finger protein 933	A_52_P694988	Adult:1.48400277200102	Adult:0.0378202196664714
Rhot2	ras homolog gene family, member T2	A_52_P535346	Adult:1.4816635781897	Adult:0.0064570919385326
Mall	mal, T-cell differentiation protein-like	A_51_P221441	Adult:1.48120801704505	Adult:2.22233255593934e-05
Olfr806	olfactory receptor 806	A_51_P509109	Adult:1.47736709137289	Adult:0.0100452374327616
Gata5	GATA binding protein 5	A_51_P213260	Adult:1.47588161520156	Adult:0.00561842155077408
Tbx6	T-box 6	A_51_P105991	Adult:1.47565887340141	Adult:0.026068426675676
Atp8b3	ATPase, class I, type 8B, member 3	A_52_P357128	Adult:1.47502321006756	Adult:3.31328401974969e-05
Pir	pirin	A_51_P386612	Adult:1.47440586490129	Adult:5.06889542397754e-06
A630077J23Rik	RIKEN cDNA A630077J23 gene	A_52_P215207	Adult:1.47297081364096	Adult:0.00637699693946679
Gbp3	guanylate binding protein 3	A_51_P165244	Adult:1.47178203026603	Adult:2.35913847321997e-05
1700067K01Rik	RIKEN cDNA 1700067K01 gene	A_52_P425971	Adult:1.47073070453375	Adult:0.000867439517748752
Grasp	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	A_52_P59784	Adult:1.46213590512715	Adult:0.000577479135755652
