Gene Symbol	Name	Fold-Change (SOS vs. Control)	p-value (SOS vs. Control)	adjusted p-value (SOS vs. Control)
PPP1R3E	protein phosphatase 1, regulatory (inhibitor) subunit 3E	-1.54	0.0025	0.045
ABCC6 /// LOC100292715	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 /// hypothetical protein	-1.53	0.0018	0.0388
RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-1.53	0.0004	0.0227
ATP6AP1L	ATPase, H+ transporting, lysosomal accessory protein 1-like	-1.53	0.0014	0.036
DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	-1.53	0.0008	0.0295
ALAD	aminolevulinate, delta-, dehydratase	-1.53	0.0001	0.0168
ADCY10	adenylate cyclase 10 (soluble)	-1.53	0.0021	0.0417
ERMAP	erythroblast membrane-associated protein (Scianna blood group)	-1.53	0.0004	0.0234
SORD	sorbitol dehydrogenase	-1.53	0.0005	0.0247
SLC39A5	solute carrier family 39 (metal ion transporter), member 5	-1.53	0.0006	0.0263
ADHFE1	alcohol dehydrogenase, iron containing, 1	-1.53	0.001	0.0314
GARNL3	GTPase activating Rap/RanGAP domain-like 3	-1.53	0.0005	0.0258
PROX1	Prospero homeobox 1	-1.52	0.0029	0.0477
MXI1	MAX interactor 1	-1.52	0.0007	0.0283
UROC1	urocanase domain containing 1	-1.52	0.0014	0.0356
ANO1	anoctamin 1, calcium activated chloride channel	-1.52	0.0007	0.0287
COQ10A	coenzyme Q10 homolog A (S. cerevisiae)	-1.52	0.0005	0.0242
EBP	emopamil binding protein (sterol isomerase)	-1.52	0.0018	0.0398
ANKRD46	ankyrin repeat domain 46	-1.52	0	0.0127
ASXL3	additional sex combs like 3 (Drosophila)	-1.52	0.0015	0.0361
ZG16	zymogen granule protein 16 homolog (rat)	-1.52	0.0017	0.0384
MAVS	mitochondrial antiviral signaling protein	-1.52	0	0.013
TPCN2	Two pore segment channel 2	-1.52	0.0016	0.0372
CYP39A1	cytochrome P450, family 39, subfamily A, polypeptide 1	-1.51	0.001	0.0313
KLKB1	kallikrein B, plasma (Fletcher factor) 1	-1.51	0.0008	0.03
TTC18	tetratricopeptide repeat domain 18	-1.51	0.002	0.0412
C1orf21	chromosome 1 open reading frame 21	-1.51	0.0014	0.0355
LOC729970	similar to hCG2028352	-1.51	0.0024	0.0445
AGL	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase	-1.51	0.0001	0.0159
PCBD2	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuc	-1.51	0	0.0057
GRLF1	glucocorticoid receptor DNA binding factor 1	-1.51	0.0019	0.0398
GBA3	glucosidase, beta, acid 3 (cytosolic)	-1.51	0.0002	0.0171
GCDH	glutaryl-Coenzyme A dehydrogenase	-1.51	0.0001	0.013
RCOR3	REST corepressor 3	-1.51	0.0022	0.0427
BCHE	butyrylcholinesterase	-1.51	0.0004	0.0226
TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	-1.5	0.0002	0.0196
CACNA1H	calcium channel, voltage-dependent, T type, alpha 1H subunit	-1.5	0	0.0079
C10orf58	chromosome 10 open reading frame 58	-1.5	0.0001	0.0159
