Gene Symbol	Entrez ID	beta	Description
ID4	3400	-0.01626	inhibitor of DNA binding 4, dominant negative helix-loop-helix protein
IGSF6	10261	-0.01833	immunoglobulin superfamily, member 6
IL1B	3553	-0.00256	interleukin 1, beta
IRF1	3659	-0.00648	interferon regulatory factor 1
ITGAL	3683	-0.00731	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
KANK1	23189	0.00779	KN motif and ankyrin repeat domains 1
KATNB1	10300	-0.00699	katanin p80 (WD repeat containing) subunit B 1
KIF3C	3797	0.0424	kinesin family member 3C
KIFAP3	22920	0.00243	kinesin-associated protein 3
LAPTM4A	9741	0.02578	lysosomal protein transmembrane 4 alpha
LRP12	29967	-0.00465	low density lipoprotein-related protein 12
LRRC1	55227	0.00498	leucine rich repeat containing 1
LRRC59	55379	0.00372	leucine rich repeat containing 59
MCAT	27349	-0.01881	malonyl CoA:ACP acyltransferase (mitochondrial)
MMP11	4320	0.00748	matrix metallopeptidase 11 (stromelysin 3)
MPHOSPH8	54737	0.02791	M-phase phosphoprotein 8
MRPS27	23107	0.00173	mitochondrial ribosomal protein S27
MTRF1	9617	0.01224	mitochondrial translational release factor 1
MYST3	7994	-0.00531	MYST histone acetyltransferase (monocytic leukemia) 3
N4BP2L2	10443	0.01727	NEDD4 binding protein 2-like 2
NCKAP1L	3071	-0.01105	NCK-associated protein 1-like
NCOA1	8648	0.00937	nuclear receptor coactivator 1
NDFIP1	80762	0.00035	Nedd4 family interacting protein 1
NDUFA4	4697	0.00766	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa
NDUFB4	4710	0.00797	NDUFB4 NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa
NUCB2	4925	-0.00277	nucleobindin 2
NUP107	57122	0.00482	nucleoporin 107kDa
NUP210	23225	-0.01534	nucleoporin 210kDa
NUP98	4928	0.01535	nucleoporin 98kDa
OSR2	116039	0.00403	odd-skipped related 2 (Drosophila)
PARVA	55742	0.00441	parvin, alpha
PCYOX1L	78991	0.00031	prenylcysteine oxidase 1 like
PFDN2	5202	0.00117	prefoldin subunit 2
PGK1	5230	-0.00884	phosphoglycerate kinase 1
PPFIA1	8500	-0.00802	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
PRPF18	8559	0.00351	PRP18 pre-mRNA processing factor 18 homolog (S. cerevisiae)
PRSS8	5652	0.00315	protease
PTN	5764	-0.01206	pleiotrophin
RAB25	57111	0.00231	RAB25, member RAS oncogene family
RAB3GAP2	25782	0.00072	RAB3 GTPase activating protein subunit 2 (non-catalytic)
RAD17	5884	0.01982	RAD17 homolog (S. pombe)
RAF1	5894	-0.01744	v-raf-1 murine leukemia viral oncogene homolog 1
RASGRP1	10125	-0.00647	RAS guanyl releasing protein 1 (calcium and DAG-regulated)
RBX1	9978	-0.01436	ring-box 1
RCOR3	55758	0.00619	REST corepressor 3
RNASET2	8635	-0.00647	ribonuclease T2
RNF14	9604	0.0009	ring finger protein 14
RNF146	81847	0.00507	ring finger protein 146
RPL11	6135	0.02068	ribosomal protein L11
RPS21	6227	0.00756	ribosomal protein S21
RPS7	6201	0.02085	ribosomal protein S7
RTN2	6253	0.01561	reticulon 2
SACS	26278	0.00046	spastic ataxia of Charlevoix-Saguenay (sacsin)
SCRN1	9805	0.00296	secernin 1
SERPINA1	5265	-0.00591	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1
SKIL	6498	0.0101	SKI-like oncogene
SLC7A11	23657	-0.01056	solute carrier family 7 (anionic amino acid transporter light chain, xc-system), member 11
SMARCAL1	50485	0.00831	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
SMYD2	56950	0.00265	SET and MYND domain containing 2
SMYD3	64754	0.00859	SET and MYND domain containing 3
SNRPD2	6633	0.00076	small nuclear ribonucleoprotein D2 polypeptide 16.5kDa
SPDEF	25803	-0.00807	SAM pointed domain containing ets transcription factor
SPTLC1	10558	0.01217	serine palmitoyltransferase, long chain base subunit 1
SRPX	8406	0.00224	sushi-repeat containing protein, X-linked
TBCB	1155	0.0045	tubulin folding cofactor B
TEAD1	7003	0.00664	TEA domain family member 1 (SV40 transcriptional enhancer factor)
TEX264	51368	-0.00258	testis expressed 264
TNIK	23043	0.00744	TRAF2 and NCK interacting kinase
TREM2	54209	-0.00029	triggering receptor expressed on myeloid cells 2
UBE2L6	9246	-0.0045	ubiquitin-conjugating enzyme E2L 6
UBL3	5412	0.00754	ubiquitin-like 3
USP16	10600	0.02525	ubiquitin specific peptidase 16
WDR73	84942	-0.01578	WD repeat domain 73
WIPI2	26100	0.00061	WD repeat domain, phosphoinositide interacting 2
WSB2	55884	0.00703	WD repeat and SOCS box-containing 2
