Index	Mutated	Normal	FC	P value	FDR	Probe set	Description	Gene symbol
4	168	69,6	2,41	0,000011	0,099	203407_at	Periplakin	PPL
1198	49,1	20,3	2,41	0,007070	0,323	202037_s_at	Secreted frizzled-related protein 1	SFRP1
3864	30,6	12,7	2,41	0,028229	0,399	226884_at	Leucine rich repeat neuronal 1	LRRN1
2945	125	52,0	2,41	0,020642	0,383	203021_at	Secretory leukocyte peptidase inhibitor	SLPI
450	144	60,4	2,38	0,002404	0,288	203928_x_at	Microtubule-associated protein tau	MAPT
1985	561	236	2,37	0,012957	0,355	204320_at	Collagen, type XI, alpha 1	COL11A1
3267	738	312	2,37	0,023215	0,388	37892_at	Collagen, type XI, alpha 1	COL11A1
4326	257	109	2,37	0,032194	0,407	226034_at	cDNA clone IMAGE:3881549	-
101	108	45,5	2,36	0,000401	0,216	229518_at	Family with sequence similarity 46, member B	FAM46B
1352	56,7	24,0	2,36	0,008118	0,328	235651_at	-	-
1318	39,3	16,7	2,36	0,007843	0,325	213060_s_at	Chitinase 3-like 2	CHI3L2
1191	87,5	37,3	2,35	0,007032	0,322	203240_at	FC fragment of IgG binding protein	FCGBP
66	59,8	25,5	2,35	0,000251	0,201	241459_at	LIM and calponin homology domains 1	LIMCH1
2729	121	51,6	2,34	0,018795	0,377	225871_at	Six transmembrane epithelial antigen of the prostate 2	STEAP2
1053	74,8	32,0	2,34	0,006149	0,319	1555497_a_at	Cytochrome P450, family 4, subfamily B, polypeptide 1	CYP4B1
49	101	43,2	2,34	0,000195	0,201	212249_at	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1
1336	124	53,1	2,33	0,008019	0,328	228648_at	Leucine-rich alpha-2-glycoprotein 1	LRG1
1772	94,8	40,7	2,33	0,011296	0,348	218613_at	Pleckstrin and Sec7 domain containing 3	PSD3
154	251	108	2,32	0,000703	0,244	206385_s_at	Ankyrin 3, node of Ranvier (ankyrin G)	ANK3
1550	110	47,4	2,31	0,009560	0,337	204863_s_at	Interleukin 6 signal transducer (oncostatin M receptor)	IL6ST
1876	284	123	2,31	0,012131	0,354	204284_at	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	PPP1R3C
2291	11,7	5,10	2,30	0,015235	0,363	244623_at	Potassium voltage-gated channel, KQT-like subfamily, member 5	KCNQ5
631	261	114	2,30	0,003570	0,308	226597_at	Receptor accessory protein 6	REEP6
2117	101	44,3	2,29	0,013891	0,359	233123_at	Solute carrier family 40 (iron-regulated transporter), member 1	SLC40A1
5206	57,5	25,1	2,29	0,040172	0,422	203485_at	Reticulon 1	RTN1
857	26,6	11,7	2,28	0,004948	0,313	209900_s_at	Solute carrier family 16, member 1	SLC16A1
1366	338	149	2,27	0,008221	0,328	232458_at	Collagen, type III, alpha 1	COL3A1
2300	1064	468	2,27	0,015280	0,363	213693_s_at	Mucin 1, cell surface associated	MUC1
579	119	52,4	2,27	0,003176	0,300	203929_s_at	Microtubule-associated protein tau	MAPT
1376	307	136	2,27	0,008295	0,329	229218_at	Collagen, type I, alpha 2	COL1A2
745	141	62,3	2,27	0,004223	0,308	213110_s_at	Collagen, type IV, alpha 5	COL4A5
1138	991	438	2,26	0,006647	0,319	223044_at	Solute carrier family 40 (iron-regulated transporter), member 1	SLC40A1
933	257	114	2,25	0,005358	0,313	235371_at	Glycosyltransferase 8 domain containing 4	GLT8D4
5445	36,7	16,3	2,25	0,042949	0,431	222853_at	Fibronectin leucine rich transmembrane protein 3	FLRT3
3180	161	71,7	2,24	0,022552	0,387	203058_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2
835	376	168	2,24	0,004769	0,312	223343_at	Membrane-spanning 4-domains, subfamily A, member 7	MS4A7
431	29,8	13,3	2,24	0,002272	0,288	211828_s_at	TRAF2 and NCK interacting kinase	TNIK
93	27,7	12,4	2,23	0,000347	0,204	229994_at	Glyceronephosphate O-acyltransferase	GNPAT
563	122	54,9	2,23	0,003070	0,298	204365_s_at	Receptor accessory protein 1	REEP1
3763	189	84,7	2,23	0,027356	0,397	239435_x_at	Shroom family member 1	SHROOM1
1093	86,2	38,7	2,23	0,006408	0,319	226992_at	Nitric oxide synthase trafficker	NOSTRIN
4697	16,0	7,21	2,23	0,035470	0,413	235763_at	Solute carrier family 44, member 5	SLC44A5
203	442	199	2,22	0,000934	0,244	225464_at	FERM domain containing 6	FRMD6
18	439	199	2,21	0,000076	0,201	222450_at	Transmembrane, prostate androgen induced RNA	TMEPAI
1763	316	143	2,21	0,011236	0,348	209459_s_at	4-aminobutyrate aminotransferase	ABAT
134	105	47,9	2,20	0,000589	0,240	203887_s_at	Thrombomodulin	THBD
220	399	181	2,20	0,001017	0,250	225481_at	FERM domain containing 6	FRMD6
1431	32,4	14,7	2,20	0,008679	0,331	213680_at	Keratin 6B	KRT6B
890	287	131	2,20	0,005141	0,313	227811_at	FYVE, RhoGEF and PH domain containing 3	FGD3
3541	47,0	21,4	2,20	0,025480	0,393	229659_s_at	Polymeric immunoglobulin receptor	PIGR
85	182	83,0	2,19	0,000327	0,201	204446_s_at	Arachidonate 5-lipoxygenase	ALOX5
1937	43,7	19,9	2,19	0,012616	0,355	227019_at	Chromosome 1 open reading frame 226	C1orf226
4745	12,9	5,89	2,19	0,035948	0,414	213992_at	Collagen, type IV, alpha 6	COL4A6
199	14,0	6,40	2,19	0,000924	0,244	243952_at	TPTE pseudogene	psiTPTE22
44	49,0	22,4	2,18	0,000181	0,201	211965_at	Zinc finger protein 36, C3H type-like 1	ZFP36L1
10	66,8	30,6	2,18	0,000035	0,180	212762_s_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
343	17,2	7,89	2,18	0,001740	0,277	1558048_x_at	-	-
5803	89,3	41,0	2,18	0,046848	0,441	204864_s_at	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST
594	54,4	25,0	2,18	0,003271	0,301	1558686_at	cDNA clone YP99D02	-
3682	81,1	37,3	2,17	0,026584	0,395	205542_at	Six transmembrane epithelial antigen of the prostate 1	STEAP1
235	53,6	24,7	2,17	0,001089	0,250	210319_x_at	MSH homeobox 2	MSX2
732	429	198	2,17	0,004183	0,308	217771_at	Golgi membrane protein 1	GOLM1
5833	1106	510	2,17	0,047131	0,442	214440_at	N-acetyltransferase 1 (arylamine N-acetyltransferase)	NAT1
7	86,9	40,2	2,16	0,000014	0,099	216511_s_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
902	93,1	43,0	2,16	0,005222	0,313	213506_at	Coagulation factor II (thrombin) receptor-like 1	F2RL1
1696	311	144	2,15	0,010779	0,347	209460_at	4-aminobutyrate aminotransferase	ABAT
136	19,3	8,95	2,15	0,000608	0,244	244181_at	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1
3408	903	419	2,15	0,024308	0,390	214428_x_at	Complement component 4A (Rodgers blood groupComplement component 4B (Childo blood group)	C4AC4B
3093	164	76,2	2,15	0,021805	0,385	212551_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	CAP2
122	47,9	22,3	2,15	0,000566	0,240	219232_s_at	EGL nine homolog 3 (C. elegans)	EGLN3
2972	26,5	12,3	2,15	0,020878	0,384	226492_at	Semaphorin 6D	SEMA6D
412	63,4	29,6	2,15	0,002172	0,286	240690_at	Homolog of rat pragma of Rnd2	PRAGMIN
391	17,8	8,30	2,14	0,002028	0,284	214981_at	Periostin, osteoblast specific factor	POSTN
1850	712	334	2,14	0,011902	0,352	222453_at	Cytochrome b reductase 1	CYBRD1
258	19,2	8,98	2,13	0,001208	0,256	237839_at	Ankyrin 3, node of Ranvier (ankyrin G)	ANK3
441	6,14	2,88	2,13	0,002341	0,288	210738_s_at	Solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4
51	21,0	9,84	2,13	0,000198	0,201	209598_at	Paraneoplastic antigen MA2	PNMA2
463	15,4	7,24	2,13	0,002458	0,288	211494_s_at	Solute carrier family 4, sodium bicarbonate cotransporter, member 4	SLC4A4
92	251	118	2,13	0,000343	0,204	224975_at	Nuclear factor I/A	NFIA
725	83,5	39,3	2,13	0,004146	0,308	221958_s_at	G protein-coupled receptor 177	GPR177
1340	316	149	2,12	0,008051	0,328	223344_s_at	Membrane-spanning 4-domains, subfamily A, member 7	MS4A7
393	47,6	22,5	2,12	0,002074	0,285	230763_at	Spermatogenesis associated 17	SPATA17
325	14,5	6,85	2,12	0,001626	0,272	240024_at	SEC14-like 2 (S. cerevisiae)	SEC14L2
3988	93,1	44,0	2,12	0,029178	0,400	209706_at	NK3 homeobox 1	NKX3-1
439	14,6	6,90	2,12	0,002329	0,288	204933_s_at	Tumor necrosis factor receptor superfamily, member 11b	TNFRSF11B
205	7,77	3,67	2,12	0,000948	0,244	204932_at	Tumor necrosis factor receptor superfamily, member 11b	TNFRSF11B
4197	1672	791	2,11	0,031024	0,404	208451_s_at	Complement component 4A (Rodgers blood group)Complement component 4B (Childo blood group)	C4ACAB
435	207	98,1	2,11	0,002300	0,288	221584_s_at	Calcium-activated potassium channel subunit alpha-1	KCNMA1
2064	192	91,6	2,10	0,013476	0,356	224996_at	Aspartate beta-hydroxylase	ASPH
5766	95,5	45,6	2,10	0,046334	0,439	204400_at	Embryonal Fyn-associated substrate	EFS
866	512	245	2,09	0,005012	0,313	221666_s_at	PYD and CARD domain containing	PYCARD
5597	55,2	26,4	2,09	0,044640	0,436	206224_at	Cystatin SN	CST1
410	17,2	8,21	2,09	0,002158	0,286	227051_at	cDNA clone IMAGE:4393354	-
2670	15,2	7,27	2,09	0,018260	0,374	221933_at	Neuroligin 4, X-linked	NLGN4X
1077	117	56,0	2,08	0,006317	0,319	215073_s_at	Nuclear receptor subfamily 2, group F, member 2	NR2F2
5	121	58,3	2,08	0,000012	0,099	216035_x_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
2491	76,8	37,0	2,08	0,016787	0,367	211695_x_at	Mucin 1, cell surface associated	MUC1
2197	58,5	28,3	2,07	0,014525	0,361	219412_at	RAB38, member RAS oncogene family	RAB38
679	28,2	13,6	2,07	0,003899	0,308	231929_at	IKAROS family zinc finger 2 (Helios)	IKZF2
3566	24,6	11,9	2,07	0,025741	0,394	1564241_at	ATPase, Na+/K+ transporting, alpha 4 polypeptide	ATP1A4
1412	42,1	20,3	2,07	0,008532	0,330	205541_s_at	G1 to S phase transition 2	GSPT2
1543	22,6	11,0	2,06	0,009541	0,337	229510_at	Membrane-spanning 4-domains, subfamily A, member 14	MS4A14
323	132	64,1	2,05	0,001612	0,272	214761_at	Zinc finger protein 423	ZNF423
1226	9,02	4,39	2,05	0,007288	0,324	206522_at	Maltase-glucoamylase (alpha-glucosidase)	MGAM
909	66,2	32,3	2,05	0,005249	0,313	242874_at	cDNA FLJ37931 fis, clone CTONG2004397	-
297	46,5	22,7	2,05	0,001451	0,263	203780_at	Myelin protein zero-like 2	MPZL2
1332	27,6	13,5	2,05	0,008004	0,328	227444_at	Armadillo repeat containing, X-linked 4	ARMCX4
30	45,9	22,6	2,03	0,000138	0,201	222027_at	Nuclear casein kinase and cyclin-dependent kinase substrate 1	NUCKS1
184	33,8	16,7	2,03	0,000854	0,244	232968_at	Fibronectin type III and ankyrin repeat domains 1	FANK1
5840	56,5	27,9	2,03	0,047191	0,442	210222_s_at	Reticulon 1	RTN1
63	355	175	2,02	0,000237	0,201	222449_at	Transmembrane, prostate androgen induced RNA	TMEPAI
271	240	119	2,02	0,001298	0,261	235085_at	Homolog of rat pragma of Rnd2	PRAGMIN
3919	16,5	8,17	2,02	0,028625	0,399	220625_s_at	E74-like factor 5 (ets domain transcription factor)	ELF5
5086	68,5	33,9	2,02	0,039151	0,420	208228_s_at	Fibroblast growth factor receptor 2	FGFR2
130	360	179	2,02	0,000581	0,240	226806_s_at	Nuclear factor I/A	NFIA
2273	146	72,6	2,02	0,015097	0,363	204285_s_at	Phorbol-12-myristate-13-acetate-induced protein 1	PMAIP1
2318	75,1	37,3	2,01	0,015395	0,363	202236_s_at	Solute carrier family 16, member 1	SLC16A1
115	222	110	2,01	0,000512	0,240	212239_at	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	PIK3R1
888	69,3	34,4	2,01	0,005128	0,313	204463_s_at	Endothelin receptor type A	EDNRA
34	46,6	23,2	2,01	0,000146	0,201	201340_s_at	Ectodermal-neural cortex (with BTB-like domain)	ENC1
2665	17,9	8,91	2,01	0,018221	0,374	232124_at	Family with sequence similarity 198, member A	C3orf41
842	447	223	2,01	0,004825	0,313	223125_s_at	Chromosome 1 open reading frame 21	C1orf21
4412	321	160	2,01	0,032952	0,408	203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	PAPSS2
3319	98,2	48,9	2,01	0,023586	0,388	225123_at	Sestrin 3	SESN3
593	128	63,9	2,00	0,003271	0,301	227514_at	Inositol 1,4,5-triphosphate receptor interacting protein-like 2	ITPRIPL2
3074	84,4	42,2	2,00	0,021681	0,385	230364_at	Choline phosphotransferase 1	CHPT1
864	45,6	22,8	2,00	0,004994	0,313	204363_at	Coagulation factor III (thromboplastin, tissue factor)	F3
4951	14,7	7,35	1,99	0,037975	0,419	1552767_a_at	Heparan sulfate 6-O-sulfotransferase 2	HS6ST2
785	115	57,8	1,99	0,004493	0,311	212915_at	PDZ domain containing RING finger 3	PDZRN3
197	26,3	13,2	1,99	0,000911	0,244	242903_at	Interferon gamma receptor 1	IFNGR1
1802	15,1	7,55	1,99	0,011600	0,351	202234_s_at	Solute carrier family 16, member 1	SLC16A1
157	44,0	22,1	1,99	0,000708	0,244	222847_s_at	EGL nine homolog 3 (C. elegans)	EGLN3
5541	110	55,4	1,99	0,044049	0,435	223278_at	Gap junction protein, beta 2, 26kDa	GJB2
148	12,6	6,36	1,99	0,000682	0,244	235952_at	Transcribed locus	-
5819	36,2	18,2	1,98	0,047031	0,442	233814_at	Ephrin-A5	EFNA5
336	536	271	1,98	0,001715	0,277	209121_x_at	Nuclear receptor subfamily 2, group F, member 2	NR2F2
326	371	188	1,98	0,001629	0,272	230958_s_at	Glyceronephosphate O-acyltransferase	GNPAT
1007	51,4	26,0	1,97	0,005834	0,316	230788_at	I beta-1,6-N-acetylglucosaminyltransferase	GCNT2
574	40,4	20,5	1,97	0,003154	0,300	1569607_s_at	Ankyrin repeat domain 20 family, member A1Chromosome 21 open reading frame 81	ANKRD20A1C21orf81
206	278	141	1,97	0,000950	0,244	202709_at	Fibromodulin	FMOD
327	133	67,8	1,96	0,001630	0,272	226084_at	Microtubule-associated protein 1B	MAP1B
4066	254	129	1,96	0,029819	0,401	231766_s_at	Collagen, type XII, alpha 1	COL12A1
274	21,8	11,1	1,96	0,001313	0,262	244026_at	Elongation factor, RNA polymerase II, 2	ELL2
126	21,6	11,0	1,96	0,000574	0,240	226885_at	Transcribed locus	-
5995	83,6	42,7	1,96	0,048745	0,444	225008_at	Aspartate beta-hydroxylase	ASPH
638	162	82,8	1,96	0,003626	0,308	209522_s_at	Carnitine acetyltransferase	CRAT
2964	817	418	1,96	0,020824	0,384	209875_s_at	Secreted phosphoprotein 1	SPP1
4037	19,6	10,0	1,96	0,029579	0,401	1564358_at	cDNA FLJ22631 fis, clone HSI06451	-
1339	46,5	23,8	1,95	0,008044	0,328	213107_at	TRAF2 and NCK interacting kinase	TNIK
67	190	97,1	1,95	0,000252	0,201	224976_at	Nuclear factor I/A	NFIA
2711	13,9	7,09	1,95	0,018609	0,375	205044_at	Gamma-aminobutyric acid (GABA) A receptor, pi	GABRP
4813	273	140	1,95	0,036577	0,416	203917_at	Coxsackie virus and adenovirus receptor	CXADR
211	44,3	22,7	1,95	0,000957	0,244	203888_at	Thrombomodulin	THBD
756	160	82,1	1,94	0,004275	0,308	225379_at	Microtubule-associated protein tau	MAPT
706	46,6	24,0	1,94	0,004054	0,308	227082_at	cDNA DKFZp586K1922	-
3238	708	365	1,94	0,022982	0,388	212196_at	Interleukin 6 signal transducer (oncostatin M receptor)	IL6ST
3165	45,8	23,6	1,94	0,022459	0,387	228221_at	Solute carrier family 44, member 3	SLC44A3
4851	11,6	6,01	1,94	0,036961	0,417	204591_at	Cell adhesion molecule L1-like	CHL1
1765	23,4	12,1	1,94	0,011260	0,348	205157_s_at	Keratin 17	KRT17
162	408	211	1,93	0,000746	0,244	224970_at	Nuclear factor I/A	NFIA
556	22,1	11,4	1,93	0,003024	0,296	239768_x_at	G patch domain containing 2	GPATCH2
1280	63,7	33,0	1,93	0,007616	0,325	1556126_s_at	G patch domain containing 2	GPATCH2
353	49,4	25,6	1,93	0,001807	0,279	233442_at	PDZ domain containing ring finger 3	PDZRN3
4192	135	70,0	1,93	0,030967	0,404	212554_at	CAP, adenylate cyclase-associated protein, 2 (yeast)	CAP2
654	826	428	1,93	0,003769	0,308	228297_at	Calponin 3, acidic	CNN3
418	59,2	30,7	1,93	0,002193	0,286	214807_at	cDNA DKFZp564O0862	-
2379	63,4	32,9	1,93	0,015858	0,364	232113_at	Hypothetical protein LOC399959	LOC399959
193	43,0	22,3	1,93	0,000899	0,244	210021_s_at	Cyclin O	CCNO
537	12,0	6,22	1,93	0,002890	0,293	1569208_a_at	LIM and calponin homology domains 1	LIMCH1
1674	16,5	8,56	1,92	0,010559	0,345	219250_s_at	Fibronectin leucine rich transmembrane protein 3	FLRT3
17	364	190	1,92	0,000068	0,201	212761_at	Transcription factor 7-like 2 (T-cell specific, HMG-box)	TCF7L2
1044	38,3	20,0	1,92	0,006098	0,319	228949_at	G protein-coupled receptor 177	GPR177
3550	157	81,8	1,92	0,025564	0,394	221841_s_at	Kruppel-like factor 4 (gut)	KLF4
1792	8,09	4,23	1,91	0,011482	0,350	1569344_a_at	cDNA clone IMAGE:4044872	-
3614	6,01	3,16	1,90	0,026086	0,395	214601_at	Tryptophan hydroxylase 1 (tryptophan 5-monooxygenase)	TPH1
1028	61,6	32,4	1,90	0,005949	0,316	215856_at	Sialic acid binding Ig-like lectin 15	SIGLEC15
3961	101	53,5	1,90	0,028941	0,399	224221_s_at	Vav 3 guanine nucleotide exchange factor	VAV3
1467	48,6	25,7	1,90	0,008976	0,334	206483_at	Leucine rich repeat containing 6	LRRC6
68	66,6	35,2	1,90	0,000259	0,201	242829_x_at	F-box and leucine-rich repeat protein 3	FBXL3
245	55,1	29,1	1,89	0,001128	0,251	243963_at	Serologically defined colon cancer antigen 8	SDCCAG8
3417	65,9	34,8	1,89	0,024406	0,391	205948_at	Protein tyrosine phosphatase, receptor type, T	PTPRT
1418	22,2	11,7	1,89	0,008595	0,331	219890_at	C-type lectin domain family 5, member A	CLEC5A
