Symbol (HUGO)	Gene	Microarray data ratio  DMD/REF	Microarray data ratio AGING/REF	Domain
IL17	interleukin 17 (cytotoxic T-lymphocyte-associated serine esterase 8)	0.5243502	0.249828435	defense response
HRMT1L2	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	0.53707835	NS	defense response
AIF1	allograft inflammatory factor 1	0.5616585	NS	defense response
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	0.58149775	0.4435716	defense response
CLECSF2	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	0.629960075	NS	defense response
PPIA	peptidylprolyl isomerase A (cyclophilin A)	0.6570018	0.3434119	defense response
TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	0.6631518	NS	defense response
CXCL12	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	0.672657959	0.8216976	defense response
B2M	beta-2-microglobulin	0.9584029	0.5248585	defense response
CTSC	cathepsin C	1.0758393	NS	defense response
AGER	advanced glycosylation end product-specific receptor	NS	-0.3671864	defense response
ANXA11	annexin A11	NS	0.26802405	defense response
ATRN	attractin	NS	0.9057123	defense response
BCL2	B-cell CLL/lymphoma 2	NS	-0.21626675	defense response
SIVA	CD27-binding (Siva) protein	NS	-0.526794	defense response
CCL25	chemokine (C-C motif) ligand 25	NS	0.349402493	defense response
CCR9	chemokine (C-C motif) receptor 9	NS	0.2049102	defense response
F3	coagulation factor III (thromboplastin, tissue factor)	NS	0.4419606	defense response
CSF1R	colony stimulating factor 1 receptor, formerly McDonough feline sarcoma viral (v-fms) oncogene homolog	NS	-0.3776095	defense response
C1QB	complement component 1, q subcomponent, beta polypeptide	NS	0.227189	defense response
CRH	corticotropin releasing hormone	NS	-0.26754595	defense response
LOC51266	C-type lectin-like receptor-2	NS	-0.210372573	defense response
DF	D component of complement (adipsin)	NS	-0.296700538	defense response
HRH2	histamine receptor H2	NS	-0.28952724	defense response
HLXB9	homeo box HB9	NS	-0.86157915	defense response
IRF1	interferon regulatory factor 1	NS	-0.35137645	defense response
G1P3	interferon, alpha-inducible protein (clone IFI-6-16)	NS	-0.885799225	defense response
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	NS	-0.593123403	defense response
IFIT4	interferon-induced protein with tetratricopeptide repeats 4	NS	-0.63404185	defense response
IL1R1	interleukin 1 receptor, type I	NS	0.43139675	defense response
IL11	interleukin 11	NS	-0.3071514	defense response
IL24	interleukin 24	NS	-0.40837615	defense response
IL4R	interleukin 4 receptor	NS	0.5274383	defense response
PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	NS	0.54432255	defense response
S100B	S100 calcium binding protein, beta (neural)	NS	-0.7036549	defense response
FHL3	four and a half LIM domains 3	-1.124813	NS	development
PHKA1	phosphorylase kinase, alpha 1 (muscle)	-0.6929547	NS	development
VEGF	vascular endothelial growth factor	-0.6795128	NS	development
PTPRR	protein tyrosine phosphatase, receptor type, R	-0.649636	NS	development
DTR	diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)	-0.493490575	NS	development
TUFT1	tuftelin 1	-0.4727181	-1.076291725	development
SPOCK	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican)	-0.463904325	-0.795002225	development
GYPC	glycophorin C (Gerbich blood group)	-0.435101025	-0.259488	development
MITF	microphthalmia-associated transcription factor	-0.3690566	-0.533832	development
EVC	Ellis van Creveld syndrome	-0.35466705	NS	development
SIRT2	sirtuin silent mating type information regulation 2 homolog 2 (S. cerevisiae)	-0.352152475	-0.605342625	development
FGF5	fibroblast growth factor 5	-0.347531	0.2953275	development
PRM2	protamine 2	-0.334901875	-0.40900615	development
PKD1	polycystic kidney disease 1 (autosomal dominant)	-0.33127605	NS	development
DMP1	dentin matrix acidic phosphoprotein	-0.30128795	NS	development
DAG1	dystroglycan 1 (dystrophin-associated glycoprotein 1)	-0.29714785	NS	development
EVI5	ecotropic viral integration site 5	-0.2952247	NS	development
DGCR14	DiGeorge syndrome critical region gene 14	-0.29146645	-0.480663875	development
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	-0.28930105	-0.650743275	development
FGF3	fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	-0.221612605	NS	development
ARHI	ras homolog gene family, member I	-0.2161149	NS	development
PGF	placental growth factor, vascular endothelial growth factor-related protein	0.18243594	NS	development
TPRA40	seven transmembrane domain orphan receptor	0.23846215	0.34234295	development
DLL3	delta-like 3 (Drosophila)	0.24845205	0.43777215	development
PLXNB3	plexin B3	0.27959495	NS	development
SEMA6B	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B	0.35640985	NS	development
ANGPTL2	angiopoietin-like 2	0.369497025	NS	development
EMP3	epithelial membrane protein 3	0.423763872	0.300381338	development
PRDX1	peroxiredoxin 1	0.4331993	NS	development
GOLGA3	golgi autoantigen, golgin subfamily a, 3	0.436510675	NS	development
CCNA1	cyclin A1	0.4441748	NS	development
RFP	ret finger protein	0.478150525	NS	development
WIF1	WNT inhibitory factor 1	0.486182325	NS	development
NRCAM	neuronal cell adhesion molecule	0.5087407	NS	development
PCOLCE	procollagen C-endopeptidase enhancer	0.595558075	NS	development
ENG	endoglin (Osler-Rendu-Weber syndrome 1)	0.6060949	0.3539789	development
EPHB4	EphB4	0.6391734	-0.6580564	development
DNCL1	dynein, cytoplasmic, light polypeptide 1	0.7732482	0.40669095	development
MYL6	myosin, light polypeptide 6, alkali, smooth muscle and non-muscle	0.9392715	NS	development
GPX4	glutathione peroxidase 4 (phospholipid hydroperoxidase)	1.03525925	NS	development
LUM	lumican	1.37127275	1.15174235	development
AEBP1	AE binding protein 1	NS	0.646756825	development
ANXA13	annexin A13	NS	0.463833425	development
APOE	apolipoprotein E	NS	-0.394261365	development
BAX	BCL2-associated X protein	NS	0.366066375	development
CPZ	carboxypeptidase Z	NS	-0.571448525	development
CSNK2A2	casein kinase 2, alpha prime polypeptide	NS	0.33012195	development
CD9	CD9 antigen (p24)	NS	0.4254913	development
CDK5RAP2	CDK5 regulatory subunit associated protein 2	NS	-0.37807635	development
CSPG2	chondroitin sulfate proteoglycan 2 (versican)	NS	0.305511623	development
CYR61	cysteine-rich, angiogenic inducer, 61	NS	0.493129475	development
CYP17	cytochrome P450, subfamily XVII (steroid 17-alpha-hydroxylase), adrenal hyperplasia	NS	0.276054875	development
EBP	emopamil binding protein (sterol isomerase)	NS	0.3969591	development
FBN1	fibrillin 1 (Marfan syndrome)	NS	0.4678642	development
FRZB	frizzled-related protein	NS	-0.3074375	development
GSTM3	glutathione S-transferase M3 (brain)	NS	0.526044575	development
GPC1	glypican 1	NS	-0.670528875	development
LMNA	lamin A/C	NS	0.248357	development
NEUGRIN	mesenchymal stem cell protein DSC92	NS	-0.4240445	development
MID1	midline 1 (Opitz/BBB syndrome)	NS	0.1951913	development
MYF6	myogenic factor 6 (herculin)	NS	0.27822745	development
NUMBL	numb homolog (Drosophila)-like	NS	0.3153511	development
PES1	pescadillo homolog 1, containing BRCT domain (zebrafish)	NS	-0.68031045	development
PDCD8	programmed cell death 8 (apoptosis-inducing factor)	NS	-0.23252385	development
PRKCABP	protein kinase C, alpha binding protein	NS	-0.281547475	development
PRKAG1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit	NS	0.447722225	development
PPP2R5D	protein phosphatase 2, regulatory subunit B (B56), delta isoform	NS	-0.4946836	development
SEMA4G	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G	NS	0.26721455	development
SIRT1	sirtuin silent mating type information regulation 2 homolog 1 (S. cerevisiae)	NS	-0.6486936	development
TGFB2	transforming growth factor, beta 2	NS	0.5700183	development
VHL	von Hippel-Lindau syndrome	NS	-0.495536575	development
CYP46A1	ytochrome P450, family 46, subfamily A, polypeptide 1	NS	0.5143237	development
MCF2L	MCF.2 cell line derived transforming sequence-like	-0.9813598	NS	intracellular signaling cascade
ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	-0.77945725	-0.56405395	intracellular signaling cascade
DCDC2	doublecortin domain containing 2	-0.72635485	-0.801338325	intracellular signaling cascade
PLCL1	phospholipase C-like 1	-0.6246585	-0.8151088	intracellular signaling cascade
RGNEF	hypothetical protein FLJ21817 similar to Rhoip2	-0.60654655	NS	intracellular signaling cascade
PIK3R2	phosphoinositide-3-kinase, regulatory subunit, polypeptide 2 (p85 beta)	-0.5944317	-0.3620147	intracellular signaling cascade
PIK3C2A	phosphoinositide-3-kinase, class 2, alpha polypeptide	-0.570363675	NS	intracellular signaling cascade
DGKQ	diacylglycerol kinase, theta 110kDa	-0.556530075	-1.08130075	intracellular signaling cascade
ADCY9	adenylate cyclase 9	-0.542509774	NS	intracellular signaling cascade
PRKCQ	protein kinase C, theta	-0.535925075	NS	intracellular signaling cascade
ARHU	ras homolog gene family, member U	-0.535802275	NS	intracellular signaling cascade
PLCD1	phospholipase C, delta 1	-0.45162985	NS	intracellular signaling cascade
PRKCG	protein kinase C, gamma	-0.3721891	-0.40513555	intracellular signaling cascade
ADORA2A	adenosine A2a receptor	-0.369476725	NS	intracellular signaling cascade
RGS9	regulator of G-protein signalling 9	-0.3615295	-0.5734739	intracellular signaling cascade
FKBP8	FK506 binding protein 8, 38kDa	-0.359709375	-0.3910117	intracellular signaling cascade
TUSP	tubby super-family protein	-0.34839835	-0.971168	intracellular signaling cascade
RAB6B	RAB6B, member RAS oncogene family	-0.344329225	-0.4986548	intracellular signaling cascade
PIK3C2B	phosphoinositide-3-kinase, class 2, beta polypeptide	-0.3421961	NS	intracellular signaling cascade
MAPK8	mitogen-activated protein kinase 8	-0.3253751	-0.23154415	intracellular signaling cascade
PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)	-0.31588125	-0.4679188	intracellular signaling cascade
RBM9	RNA binding motif protein 9	-0.29992395	NS	intracellular signaling cascade
DSCR1L2	Down syndrome critical region gene 1-like 2	-0.265720575	NS	intracellular signaling cascade
MAPK11	mitogen-activated protein kinase 11	-0.259910875	NS	intracellular signaling cascade
DUSP22	dual specificity phosphatase 22	-0.2517973	-0.3382109	intracellular signaling cascade
MKNK1	MAP kinase-interacting serine/threonine kinase 1	-0.187263623	-0.28772405	intracellular signaling cascade
CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	0.219116	NS	intracellular signaling cascade
SNX9	sorting nexin 9	0.2192382	0.21297357	intracellular signaling cascade
PLCG1	phospholipase C, gamma 1 (formerly subtype 148)	0.273631275	NS	intracellular signaling cascade
CALCA	calcitonin/calcitonin-related polypeptide, alpha	0.308756475	NS	intracellular signaling cascade
ADCY3	adenylate cyclase 3	0.3208999	NS	intracellular signaling cascade
RGS4	regulator of G-protein signalling 4	0.33113065	0.3949629	intracellular signaling cascade
RRAS	related RAS viral (r-ras) oncogene homolog	0.354549525	NS	intracellular signaling cascade
PTHR1	parathyroid hormone receptor 1	0.359540675	0.43462825	intracellular signaling cascade
PDZK2	PDZ domain containing 2	0.363892175	0.349802125	intracellular signaling cascade
ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	0.364396075	0.7970477	intracellular signaling cascade
MGC16212	hypothetical protein MGC16212	0.3644617	NS	intracellular signaling cascade
BMX	BMX non-receptor tyrosine kinase	0.3664689	0.399029825	intracellular signaling cascade
RPL29	ribosomal protein L29	0.370511675	NS	intracellular signaling cascade
GPR51	G protein-coupled receptor 51	0.37139835	0.3044854	intracellular signaling cascade
ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1	0.3785736	-0.269868996	intracellular signaling cascade
RAN	RAN, member RAS oncogene family	0.405104875	NS	intracellular signaling cascade
SHC1	SHC (Src homology 2 domain containing) transforming protein 1	0.414281925	0.35466745	intracellular signaling cascade
MINK	Misshapen/NIK-related kinase	0.43624005	0.406477625	intracellular signaling cascade
LNK	lymphocyte adaptor protein	0.43784385	NS	intracellular signaling cascade
TSC1	tuberous sclerosis 1	0.439598475	NS	intracellular signaling cascade
ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	0.511899925	0.3079928	intracellular signaling cascade
PRKCSH	protein kinase C substrate 80K-H	0.643890425	NS	intracellular signaling cascade
ARHC	ras homolog gene family, member C	0.6483603	NS	intracellular signaling cascade
GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	0.760308475	NS	intracellular signaling cascade
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	0.7743212	0.5808701	intracellular signaling cascade
PRDX4	peroxiredoxin 4	0.84778435	0.596798375	intracellular signaling cascade
ADORA2B	adenosine A2b receptor	NS	-0.4292358	intracellular signaling cascade
ADCY6	adenylate cyclase 6	NS	-0.320463575	intracellular signaling cascade
BTK	Bruton agammaglobulinemia tyrosine kinase	NS	0.364252905	intracellular signaling cascade
CENTG2	centaurin, gamma 2	NS	-0.5514488	intracellular signaling cascade
CSK	c-src tyrosine kinase	NS	-0.6305165	intracellular signaling cascade
GRB2	growth factor receptor-bound protein 2	NS	0.346941895	intracellular signaling cascade
LOC51128	GTP-binding protein Sara	NS	-0.308280025	intracellular signaling cascade
FLJ22655	hypothetical protein FLJ22655	NS	-0.539703825	intracellular signaling cascade
PLD2	phospholipase D2	NS	0.57835795	intracellular signaling cascade
PRKCB1	protein kinase C, beta 1	NS	0.415320525	intracellular signaling cascade
PRKCD	protein kinase C, delta	NS	0.30240325	intracellular signaling cascade
PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	NS	-0.339514738	intracellular signaling cascade
PDK1	pyruvate dehydrogenase kinase, isoenzyme 1	NS	0.474586	intracellular signaling cascade
RAB27A	RAB27A, member RAS oncogene family	NS	-0.4768243	intracellular signaling cascade
ARHA	ras homolog gene family, member A	NS	-0.2540765	intracellular signaling cascade
S100A1	S100 calcium binding protein A1	NS	-0.5681594	intracellular signaling cascade
SLC9A3R2	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 2	NS	-0.364827375	intracellular signaling cascade
SNX15	sorting nexin 15	NS	-0.38532755	intracellular signaling cascade
KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	-0.980680725	-0.31510645	ion transport
SCN8A	sodium channel, voltage gated, type VIII, alpha polypeptide	-0.68904545	-0.70164005	ion transport
SCN2B	sodium channel, voltage-gated, type II, beta polypeptide	-0.5569988	-0.886332575	ion transport
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	-0.550486625	-0.68099905	ion transport
SCNN1B	sodium channel, nonvoltage-gated 1, beta (Liddle syndrome)	-0.531888975	NS	ion transport
SLC22A6	solute carrier family 22 (organic anion transporter), member 6	-0.5033307	-0.627033	ion transport
KCNK5	potassium channel, subfamily K, member 5	-0.499037275	-0.5581249	ion transport
KCNV1	potassium channel, subfamily V, member 1	-0.451545375	-0.63103045	ion transport
KCNK13	potassium channel, subfamily K, member 13	-0.45042965	-0.55592195	ion transport
SCN2A2	sodium channel, voltage-gated, type II, alpha 2 polypeptide	-0.426745325	NS	ion transport
SLC16A1	solute carrier family 16 (monocarboxylic acid transporters), member 1	-0.4254735	NS	ion transport
SLC22A5	solute carrier family 22 (organic cation transporter), member 5	-0.403980425	NS	ion transport
KCNJ3	potassium inwardly-rectifying channel, subfamily J, member 3	-0.40352835	-0.7651308	ion transport
SLC1A4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	-0.402843	-0.71152195	ion transport
SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5	-0.3971418	NS	ion transport
SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	-0.3955194	NS	ion transport
VDAC1	voltage-dependent anion channel 1	-0.383577825	NS	ion transport
KCNG1	potassium voltage-gated channel, subfamily G, member 1	-0.368937512	0.24676375	ion transport
KCND3	potassium voltage-gated channel, Shal-related subfamily, member 3	-0.356668925	NS	ion transport
KCNJ14	potassium inwardly-rectifying channel, subfamily J, member 14	-0.34760895	-1.081576175	ion transport
SLC4A3	solute carrier family 4, anion exchanger, member 3	-0.31014355	-0.2805276	ion transport
TRPM3	transient receptor potential cation channel, subfamily M, member 3	-0.301785275	-0.3562414	ion transport
KCND2	potassium voltage-gated channel, Shal-related subfamily, member 2	-0.272743873	NS	ion transport
PRO2086	PRO2086 protein	-0.263255	NS	ion transport
HCN2	hyperpolarization activated cyclic nucleotide-gated potassium channel 2	-0.250645685	-0.398881	ion transport
KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	-0.218278973	NS	ion transport
KCNH4	potassium voltage-gated channel, subfamily H (eag-related), member 4	0.195935625	NS	ion transport
KCNK3	potassium channel, subfamily K, member 3	0.239375675	NS	ion transport
TRPV4	transient receptor potential cation channel, subfamily V, member 4	0.256396483	NS	ion transport
KCNF1	potassium voltage-gated channel, subfamily F, member 1	0.296654153	NS	ion transport
GABRR2	gamma-aminobutyric acid (GABA) receptor, rho 2	0.3029671	0.60699725	ion transport
KCNMB3	potassium large conductance calcium-activated channel, subfamily M beta member 3	0.356233914	0.4247412	ion transport
SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	0.418536775	0.3479892	ion transport
KCNJ11	potassium inwardly-rectifying channel, subfamily J, member 11	0.474517025	0.469520325	ion transport
ACCN2	amiloride-sensitive cation channel 2, neuronal	NS	0.277708925	ion transport
ACCN3	amiloride-sensitive cation channel 3, testis	NS	0.2856322	ion transport
ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	NS	-0.260356325	ion transport
CLCN2	chloride channel 2	NS	0.210104475	ion transport
CLCN4	chloride channel 4	NS	0.245836275	ion transport
CLIC5	chloride intracellular channel 5	NS	-0.333611065	ion transport
MPST	mercaptopyruvate sulfurtransferase	NS	-0.41568615	ion transport
PKD2L2	polycystic kidney disease 2-like 2	NS	0.410621275	ion transport
PDIP1	polymerase delta-interacting protein 1	NS	-0.4643004	ion transport
KCNK1	potassium channel, subfamily K, member 1	NS	0.2316458	ion transport
KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	NS	0.3398968	ion transport
KCNJ9	potassium inwardly-rectifying channel, subfamily J, member 9	NS	0.327923875	ion transport
KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	NS	0.440707375	ion transport
KCNG2	potassium voltage-gated channel, subfamily G, member 2	NS	-0.4411859	ion transport
SCNN1D	sodium channel, nonvoltage-gated 1, delta	NS	0.2259887	ion transport
SCNN1G	sodium channel, nonvoltage-gated 1, gamma	NS	0.364332	ion transport
