Genes	Up or downregulated in relapse signature compared to diagnosis	Pt1	Pt2	Pt3	Reh	RS4:11	MV4:11
SSBP2	Downregulated	Y	N	N	N	N	Y
ZMIZ1	Downregulated	N	N	N	Y	Y	Y
KBTBD2	Downregulated	N	N	N	N	Y	N
ARID5B	Downregulated	Y	N	N	Y	Y	N
ZCCHC11	Downregulated	N	N	N	Y	Y	N
FEM1C	Downregulated	N	N	N	Y	Y	N
TDRD7	Downregulated	Y	Y	N	Y	Y	Y
RABEP1	Downregulated	Y	Y	Y	Y	N	N
YTHDC1	Downregulated	N	Y	N	Y	N	NA
MACF1	Downregulated	N	N	N	Y	Y	N
CHD7	Downregulated	Y	Y	N	Y	N	N
ATF7IP	Downregulated	Y	N	N	N	N	N
GRAMD1C	Downregulated	Y	Y	Y	Y	Y	Y
RPS27A	Downregulated	N	N	N	Y	N	N
ITPR1	Downregulated	Y	Y	N	N	Y	N
GRINL1A	Downregulated	N	N	N	N	N	N
TUG1	Downregulated	N	N	Y	Y	N	Y
TTC9	Downregulated	NA	N	NA	NA	N	NA
KLHL9	Downregulated	N	Y	NA	NA	N	NA
LBA1	Downregulated	N	N	N	NA	NA	NA
TMCC1	Downregulated	Y	Y	N	N	N	N
FUSIP1	Downregulated	N	N	N	N	N	N
CENTD1	Downregulated	Y	Y	N	NA	NA	NA
DIS3	Downregulated	N	N	N	Y	Y	N
SPTBN1	Downregulated	NA	NA	NA	NA	NA	NA
CCDC88C	Downregulated	Y	Y	Y	Y	Y	Y
SPTBN1	Downregulated	NA	NA	NA	NA	NA	NA
ZNF460	Downregulated	NA	NA	N	NA	NA	NA
SLC25A30	Downregulated	NA	NA	NA	NA	NA	Y
ITPR1	Downregulated	Y	Y	N	N	Y	N
WBP11	Downregulated	N	N	N	N	N	N
AFTPH	Downregulated	N	Y	N	Y	N	N
RBM7	Downregulated	Y	N	N	N	N	N
INTS6	Downregulated	N	N	N	Y	Y	N
ARID1A	Downregulated	N	N	N	N	N	N
CSGALNACT1	Downregulated	Y	N	N	NA	NA	Y
SRBD1	Downregulated	N	Y	N	NA	N	NA
ZBTB10	Downregulated	Y	N	N	Y	Y	N
B3GNT2	Downregulated	Y	Y	N	N	Y	N
VCPIP1	Downregulated	Y	N	N	N	N	N
CHD7	Downregulated	NA	NA	NA	NA	NA	NA
FCRL2	Downregulated	NA	NA	NA	NA	NA	NA
TECTA	Downregulated	NA	NA	NA	NA	NA	NA
EGLN1	Downregulated	N	N	N	Y	N	N
RAB9A	Downregulated	Y	Y	N	N	Y	N
Transcribedlocus	Downregulated	NA	NA	NA	NA	NA	NA
ALOX5	Downregulated	NA	N	Y	NA	NA	NA
CDS2	Downregulated	Y	N	N	N	N	N
SFRS10	Downregulated	N	N	N	N	Y	N
ABCD4	Downregulated	NA	N	N	NA	NA	NA
FRMD4B	Downregulated	Y	N	N	Y	Y	NA
