Gene symbol	Gene name	Fold change	Gene function
SIX4	SIX homeobox 4	2	Transcription factor/transcription factor regulation
SOX6	SRY (sex determining region Y)-box 6	1.1	Transcription factor/transcription factor regulation
SOX9	SRY (sex determining region Y)-box 9	2.3	Transcription factor/transcription factor regulation
SP1	Sp1 transcription factor	1.3	Transcription factor/transcription factor regulation
SP7	Sp7 transcription factor (Osterix)	2.7	Transcription factor/transcription factor regulation
SUFU	Suppressor of fused homolog (Drosophila)	1.3	Transcription factor/transcription factor regulation
TP63	Tumor protein p63	-1.4	Transcription factor/transcription factor regulation
TRAPPC2	Trafficking protein particle complex 2	1.6	Transcription factor/transcription factor regulation
TWIST1	Twist homolog 1 (Drosophila)	1.6	Transcription factor/transcription factor regulation
ATP6V1B1	ATPase, H þtransporting, lysosomal 56/58 kDa, V1 subunit B1	1.3	Receptor activity
CTSK	Cathepsin K	2.1	Receptor activity
ESRRA	Estrogen-related receptor alpha	-1.5	Receptor activity
GHR	Growth hormone receptor	2.1	Receptor activity
PTHR1	Parathyroid hormone 1 receptor	4.3	Receptor activity
SMO	Smoothened homolog (Drosophila)	1.4	Receptor activity
THRA	Thyroid hormone receptor, alpha	13.2	Receptor activity
IGF1	Insulin-like growth factor 1 (somatomedin C)	2.9	Growth factor activity/regulation
KAZALD1	Kazal-type serine peptidase inhibitor domain 1	3.5	Growth factor activity/regulation
KIAA1217	KIAA1217	2.6	Growth factor activity/regulation
PDGFRA	Platelet-derived growth factor receptor, alpha-polypeptide	2.4	Growth factor activity/regulation
PDLIM7	PDZ and LIM domain 7 (enigma)	-2	Growth factor activity/regulation
PRDX1	Peroxiredoxin 1	-1.4	Growth factor activity/regulation
PTN	Pleiotrophin	2	Growth factor activity/regulation
RYK	RYK receptor-like tyrosine kinase	1.4	Growth factor activity/regulation
TWSG1	Twisted gastrulation homolog 1 (Drosophila)	1.4	Growth factor activity/regulation
ACVR1	Activin A receptor, type I	1.6	TGF-beta/BMP signalling pathway
BAMBI	hypothetical LOC729590; BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	3.6	TGF-beta/BMP signalling pathway
BMP4	Bone morphogenetic protein 4	1.1	TGF-beta/BMP signalling pathway
BMPR1A	Bone morphogenetic protein receptor, type IA; similar to ALK-3	1.2	TGF-beta/BMP signalling pathway
CD36	CD36 molecule (thrombospondin receptor)	2.1	TGF-beta/BMP signalling pathway
CDKN2B	Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	1.4	TGF-beta/BMP signalling pathway
FKBP1A	FK506-binding protein 1A, 12 kDa	-2.6	TGF-beta/BMP signalling pathway
FSTL1	Follistatin-like 1	2	TGF-beta/BMP signalling pathway
GDF10	growth differentiation factor 10	1.6	TGF-beta/BMP signalling pathway
ID4	Inhibitor of DNA binding 4	2.3	TGF-beta/BMP signalling pathway
LTBP4	Latent transforming growth factor beta-binding protein 4	1.4	TGF-beta/BMP signalling pathway
MSX1	msh homeobox 1	2.4	TGF-beta/BMP signalling pathway
SMAD6	SMAD family member 6	2.1	TGF-beta/BMP signalling pathway
SP1	Sp1 transcription factor	1.3	TGF-beta/BMP signalling pathway
TGFBR2	transforming growth factor, beta-receptor II (70/80 kDa)	1.4	TGF-beta/BMP signalling pathway
TGFBR3	Transforming growth factor, beta receptor III	1.7	TGF-beta/BMP signalling pathway
TGFBRAP1	Transforming growth factor, beta receptor associated protein 1	1.2	TGF-beta/BMP signalling pathway
THBS2	Thrombospondin 2	2	TGF-beta/BMP signalling pathway
THBS3	Thrombospondin 3	2	TGF-beta/BMP signalling pathway
TWSG1	Twisted gastrulation homolog 1 (Drosophila)	1.4	TGF-beta/BMP signalling pathway
ZFYVE9	Zinc finger, FYVE domain containing 9	1.1	TGF-beta/BMP signalling pathway
FRZB	Frizzled-related protein	2.1	Wnt signalling pathway
FZD3	Frizzled homolog 3 (Drosophila)	1.8	Wnt signalling pathway
FZD8	Frizzled homolog 8 (Drosophila)	2.8	Wnt signalling pathway
RYK	RYK receptor-like tyrosine kinase	1.4	Wnt signalling pathway
APH1B	Anterior pharynx defective 1 homolog B (Caenorhabditis elegans)	-1.5	Notch signaling pathway
CFD	Complement factor D (adipsin)	4.4	Notch signaling pathway
DTX2	Deltex homolog 2 (Drosophila)	-1.6	Notch signaling pathway
FOXC1	Forkhead box C1	1.7	Notch signaling pathway
HEY1	Hairy/enhancer-of-split related with YRPW motif 1	2.2	Notch signaling pathway
MIB1	Mindbomb homolog 1 (Drosophila)	1.4	Notch signaling pathway
NOTCH2	Notch homolog 2 (Drosophila)	1.4	Notch signaling pathway
NRG1	Neuregulin 1	-1.8	Notch signaling pathway
POFUT1	Protein O-fucosyltransferase 1	1.3	Notch signaling pathway
PSEN2	Presenilin 2 (Alzheimer disease 4)	1.3	Notch signaling pathway
PSENEN	Presenilin enhancer 2 homolog (C. elegans)	-1.5	Notch signaling pathway
TP63	Tumor protein p63	-1.4	Notch signaling pathway
WDR12	WD repeat domain 12	-1.5	Notch signaling pathway
