Symbol	Entrez Gene ID	GSE12667	Bhattacharjee adenocarcinomas	Shedden Umich
EDF1	8721	0.18	NA	-0.041
RHOB	388	0.177	0.363	0.279
DDB1	1642	0.165	-0.341	-0.015
MYO1D	4642	0.165	0.052	0.077
GNA11	2767	0.165	-0.119	0.222
MLLT3	4300	0.16	0.031	0.201
NONO	4841	0.147	-0.172	0.116
GTF2H4	2968	0.143	-0.073	-0.024
PUM2	23369	0.143	-0.013	0.297
MLH1	4292	0.137	-0.022	-0.085
BRD4	23476	0.136	-0.255	0.004
UBP1	7342	0.132	NA	0.077
USP9X	8239	0.124	-0.015	0.098
ERO1LB	56605	0.123	NA	0.089
LONP2	83752	0.116	NA	NA
SPSB1	80176	0.115	NA	0.13
MFGE8	4240	0.114	0.051	0.138
CAMLG	819	0.113	0.042	0.382
ELAVL1	1994	0.112	-0.025	0.024
PARP16	54956	0.106	NA	-0.003
DDX51	317781	0.101	-0.022	0.129
PRPF38B	55119	0.099	NA	0.25
CAPZB	832	0.098	-0.138	-0.143
GBAS	2631	0.094	0.179	0.225
ERH	2079	0.092	-0.186	-0.2
DNAJC8	22826	0.088	-0.018	0.104
GORASP2	26003	0.086	0.139	0.095
DYNLL2	140735	0.086	NA	NA
PRDX6	9588	0.085	0.191	0.148
TBL3	10607	0.084	-0.04	0.222
HUWE1	10075	0.081	-0.272	-0.035
CSTF3	1479	0.078	-0.034	0.064
UPK3B	80761	0.078	NA	-0.226
TGFB2	7042	0.076	-0.082	-0.126
FBXW5	54461	0.075	NA	NA
TNPO2	30000	0.075	-0.085	0.08
VRK3	51231	0.072	NA	-0.078
BEX1	55859	0.064	NA	-0.29
FGFR3	2261	0.064	-0.257	-0.084
REST	5978	0.062	NA	-0.032
ARL2BP	23568	0.061	0.072	0.205
MYBBP1A	10514	0.06	NA	0.006
SMARCA5	8467	0.058	NA	-0.085
ENTPD4	9583	0.057	NA	-0.05
NEK6	10783	0.052	NA	NA
GPC3	2719	0.051	0.065	0.134
ANK1	286	0.046	0.026	-0.065
HMHA1	23526	0.046	0.343	0.236
PIGK	10026	0.044	-0.113	-0.172
DSCR3	10311	0.039	0.045	0.008
ACTG1	71	0.034	-0.119	0.033
GLTP	51228	0.032	NA	0.077
EIF4G1	1981	0.027	-0.241	-0.033
HERC2	8924	0.025	NA	0.103
LRRC8A	56262	0.024	NA	NA
HADHB	3032	0.024	-0.104	0.015
ASXL1	171023	0.024	-0.177	0.138
TCEB2	6923	0.023	-0.121	0.205
TSPAN6	7105	0.019	-0.079	0.064
LAPTM4A	9741	0.019	0.198	0.159
RAD50	10111	0.01	0.005	0.296
METAP1	23173	0.008	-0.087	0.169
FZD2	2535	0.007	0.07	-0.059
SARS	6301	0.007	0.002	0.168
HRAS	3265	0.007	-0.377	-0.205
NOTCH1	4851	0.006	NA	0.042
SFRS2	6427	0.004	-0.113	-0.027
SP3	6670	0.002	-0.126	0.143
PFTK1	5218	-0.005	-0.198	-0.192
ODC1	4953	-0.007	0.041	0.004
RPS11	6205	-0.008	-0.045	0.197
HRC	3270	-0.009	-0.117	0.026
CANT1	124583	-0.012	NA	-0.006
PLEC1	5339	-0.013	-0.226	-0.06
LIN7C	55327	-0.016	NA	-0.084
PPTC7	160760	-0.021	NA	NA
BAG1	573	-0.022	0.051	-0.007
NEDD8	4738	-0.023	0.09	-0.063
GPR37	2861	-0.025	0.061	-0.135
GUK1	2987	-0.026	0.095	0.046
ZKSCAN1	7586	-0.032	-0.354	-0.267
TCOF1	6949	-0.034	-0.231	-0.021
NUDT19	390916	-0.04	NA	NA
NR6A1	2649	-0.045	NA	0.012
CCDC52	152185	-0.045	-0.064	0.056
WNT10A	80326	-0.045	NA	NA
RAP2B	5912	-0.049	0.173	-0.09
TUBB	203068	-0.05	NA	-0.364
HDGF2	84717	-0.051	NA	NA
EI24	9538	-0.055	-0.133	-0.005
SLC39A6	25800	-0.057	-0.211	-0.048
ANKRD10	55608	-0.057	NA	0.169
SLC25A1	6576	-0.057	-0.212	-0.159
STT3A	3703	-0.058	0.127	-0.086
CHRAC1	54108	-0.059	NA	NA
ACVR2A	92	-0.061	-0.256	-0.145
RABL4	11020	-0.061	-0.151	-0.08
BCL2	596	-0.062	-0.017	0.083
SART3	9733	-0.064	-0.228	0.052
BCAP31	10134	-0.064	0.044	0.145
UPF3B	65109	-0.064	NA	-0.031
PPP2R2B	5521	-0.064	NA	-0.186
CHAF1B	8208	-0.065	-0.238	-0.325
MMP14	4323	-0.067	-0.241	-0.231
ARF6	382	-0.069	0.096	-0.104
EMP1	2012	-0.069	-0.028	0.071
SLC35B1	10237	-0.071	0.163	-0.126
DAG1	1605	-0.076	-0.042	-0.149
NSMCE1	197370	-0.077	NA	NA
IDE	3416	-0.077	0.049	-0.117
MAPK1	5594	-0.078	-0.012	-0.146
CCT3	7203	-0.081	-0.21	-0.085
MAP3K11	4296	-0.081	0.015	-0.155
FTSJ3	117246	-0.082	NA	-0.122
PDK3	5165	-0.082	-0.257	-0.17
NDUFAF1	51103	-0.083	-0.05	0.186
NFYB	4801	-0.086	-0.066	0.128
HSD17B12	51144	-0.089	NA	-0.017
AKR1A1	10327	-0.093	-0.03	-0.188
GNG12	55970	-0.094	0.124	0.255
PARD3	56288	-0.094	-0.108	-0.037
FURIN	5045	-0.094	0.193	-0.107
HELB	92797	-0.095	NA	NA
FXN	2395	-0.096	-0.138	-0.201
SOX2	6657	-0.098	-0.339	-0.132
DEK	7913	-0.098	-0.144	0.009
TEX261	113419	-0.102	-0.028	0.116
PAWR	5074	-0.102	-0.188	-0.165
TRNT1	51095	-0.103	NA	NA
ABCE1	6059	-0.109	-0.078	-0.138
PRPF19	27339	-0.11	-0.335	-0.308
ACAD9	28976	-0.112	NA	NA
HAX1	10456	-0.113	0.141	0.008
PXN	5829	-0.114	NA	-0.198
ARPC1B	10095	-0.121	0.126	-0.148
PKM2	5315	-0.121	-0.418	-0.327
MSH2	4436	-0.123	-0.244	-0.045
CLK3	1198	-0.124	NA	-0.126
CCDC80	151887	-0.124	NA	NA
RNASEH2B	79621	-0.124	-0.101	0.078
HN1	51155	-0.125	NA	-0.176
VPS35	55737	-0.125	NA	-0.047
ALK	238	-0.126	0.079	-0.118
CCKAR	886	-0.13	-0.013	-0.128
ARL4C	10123	-0.132	-0.013	-0.167
DAP3	7818	-0.134	0.141	0.09
SEMA4D	10507	-0.138	NA	-0.167
ORC2L	4999	-0.141	-0.229	-0.115
ATF1	466	-0.144	0.024	0.097
VBP1	7411	-0.144	-0.114	0.09
EIF2B5	8893	-0.145	-0.373	-0.037
RPIA	22934	-0.146	-0.039	0.103
TES	26136	-0.148	0.11	-0.138
EIF5	1983	-0.153	-0.251	-0.223
RBBP7	5931	-0.155	NA	-0.17
EFNB2	1948	-0.156	0.056	-0.129
PRDX1	5052	-0.158	-0.079	-0.247
WARS	7453	-0.16	0.026	-0.311
SLC38A2	54407	-0.16	NA	-0.222
WRN	7486	-0.162	-0.144	0.004
CLCN3	1182	-0.163	NA	-0.016
FDX1	2230	-0.165	-0.042	-0.157
RCL1	10171	-0.165	NA	-0.062
ILVBL	10994	-0.166	-0.214	0.046
SFXN1	94081	-0.169	NA	-0.075
PSMD9	5715	-0.169	-0.246	-0.077
ORMDL2	29095	-0.175	NA	-0.141
HMOX1	3162	-0.176	0.044	-0.303
DAD1	1603	-0.18	0.078	-0.233
AP3B1	8546	-0.181	0.128	-0.049
TCF4	6925	-0.182	-0.057	-0.091
SLC6A13	6540	-0.183	0.113	-0.035
BPGM	669	-0.184	-0.145	-0.124
MAP7	9053	-0.186	-0.233	0.042
IMMP1L	196294	-0.189	NA	NA
MRPL16	54948	-0.189	NA	-0.116
CDKN2C	1031	-0.192	-0.159	-0.134
SLC3A2	6520	-0.192	-0.333	-0.186
ATP5G2	517	-0.192	NA	-0.049
SSBP1	6742	-0.192	-0.283	-0.26
BAG2	9532	-0.194	-0.143	-0.206
TXNL1	9352	-0.196	-0.149	-0.224
GDI2	2665	-0.21	-0.092	-0.137
LIMS1	3987	-0.212	-0.162	-0.232
FLT3	2322	-0.213	-0.039	-0.117
COMMD2	51122	-0.215	NA	NA
PTPN9	5780	-0.216	-0.252	-0.269
ICT1	3396	-0.217	0.034	-0.041
NOL7	51406	-0.22	NA	-0.142
RAB7A	7879	-0.222	NA	-0.117
ACTN1	87	-0.228	-0.403	-0.39
SEL1L	6400	-0.234	-0.105	-0.324
LMNB1	4001	-0.235	-0.335	-0.098
MAFG	4097	-0.236	NA	-0.149
BACH1	571	-0.24	-0.023	-0.269
LAS1L	81887	-0.247	-0.165	0.134
BNIP2	663	-0.25	-0.065	-0.119
CSTF2T	23283	-0.252	0.028	0.023
MRPS18A	55168	-0.254	NA	-0.096
GPC1	2817	-0.254	-0.413	-0.206
RAE1	8480	-0.257	-0.366	-0.249
MCM2	4171	-0.258	-0.399	-0.332
COPB2	9276	-0.26	-0.088	-0.273
CACYBP	27101	-0.262	0.077	0.052
DNAJC10	54431	-0.263	NA	-0.428
SUCLA2	8803	-0.267	-0.171	-0.088
DDX47	51202	-0.267	NA	-0.261
B2M	567	-0.27	0.061	-0.135
GMNN	51053	-0.274	NA	-0.3
H2AFX	3014	-0.28	-0.326	-0.291
ARIH1	25820	-0.285	NA	-0.169
ASNS	440	-0.286	-0.266	-0.176
CPSF3	51692	-0.287	NA	NA
MRPL30	51263	-0.294	NA	NA
PSMC2	5701	-0.294	-0.145	-0.297
LAMB1	3912	-0.295	-0.239	-0.436
INPP1	3628	-0.297	-0.245	-0.143
DCTN5	84516	-0.297	0.053	-0.13
CD27	939	-0.299	0.054	-0.146
PSMD8	5714	-0.3	-0.227	-0.18
PIK3CA	5290	-0.307	NA	-0.085
KIF11	3832	-0.309	-0.343	-0.302
LBP	3929	-0.317	-0.089	-0.236
MRPS17	51373	-0.336	NA	-0.206
PFKM	5213	-0.348	-0.361	0.173
PTGES3	10728	-0.349	-0.221	-0.123
ANLN	54443	-0.35	NA	NA
FKBP1A	2280	-0.35	-0.021	-0.217
MRPL48	51642	-0.353	NA	-0.191
CNBP	7555	-0.362	-0.204	-0.061
DDX21	9188	-0.37	-0.082	-0.148
NDUFA8	4702	-0.37	NA	-0.208
DNAJC1	64215	-0.371	NA	-0.454
SMC2	10592	-0.379	-0.157	-0.315
KIF4A	24137	-0.381	NA	-0.378
PHLDB2	90102	-0.384	NA	NA
NEDD4	4734	-0.391	-0.088	-0.133
NDUFS3	4722	-0.395	-0.335	-0.202
CCNB1	891	-0.403	-0.297	-0.328
H2AFJ	55766	-0.406	NA	-0.018
UBE2C	11065	-0.409	-0.276	-0.201
ERO1L	30001	-0.41	NA	-0.325
R3HDM1	23518	-0.415	-0.45	-0.391
HSD17B10	3028	-0.418	-0.428	-0.317
CDC2	983	-0.424	-0.313	-0.356
MYO1E	4643	-0.427	-0.072	-0.229
H2AFZ	3015	-0.439	-0.304	-0.359
PSMA5	5686	-0.47	-0.159	-0.402
NCAPH	23397	-0.471	-0.173	-0.352
CYB5R4	51167	-0.481	NA	-0.208
DNAJB11	51726	-0.482	NA	NA
CCNB2	9133	-0.484	-0.433	-0.399
ATP5C1	509	-0.511	-0.276	-0.326
TFF1	7031	-0.518	-0.122	-0.416
RACGAP1	29127	-0.528	NA	-0.351
ADA	100	-0.534	-0.421	-0.409
COX7A2	1347	-0.591	-0.368	-0.195
CTSL2	1515	-0.61	-0.415	-0.547
UCK2	7371	-0.642	-0.639	-0.65
SLC34A2	10568	0.749	NA	0.608
WFDC2	10406	0.608	0.452	0.357
ARRB1	408	0.547	NA	0.431
RGL2	5863	0.52	0.164	0.11
VAPA	9218	0.464	0.267	0.177
ABR	29	0.436	0.058	0.437
NFKBIA	4792	0.422	0.426	0.245
PRKCZ	5590	0.413	0.331	0.21
RAB17	64284	0.405	NA	0.332
MRPS25	64432	0.402	NA	NA
SLC25A4	291	0.397	0.157	0.453
NRP1	8829	0.394	0.431	0.263
PKD1	5310	0.388	-0.13	0.109
SLC41A1	254428	0.366	NA	NA
REV3L	5980	0.357	0.024	0.316
LY6E	4061	0.357	0.081	0.24
GGA2	23062	0.349	0.173	0.377
LPL	4023	0.342	0.3	0.386
TOP1	7150	0.326	0.32	0.24
CLOCK	9575	0.319	-0.108	0.307
TCTA	6988	0.314	-0.077	0.212
PEX6	5190	0.312	-0.178	0.055
DHX40	79665	0.308	NA	0.311
ADCY7	113	0.295	0.336	0.259
ANK3	288	0.29	0.197	0.34
DPM2	8818	0.286	0.201	0.251
EXOC8	149371	0.282	NA	NA
S100A13	6284	0.268	0.5	0.395
LDB1	8861	0.267	0.051	-0.086
RASGRF1	5923	0.26	0.295	0.274
SERPINF2	5345	0.259	-0.031	0.008
CAT	847	0.259	0.179	0.253
IL1R1	3554	0.249	0.373	0.22
ATP1A1	476	0.247	0.077	0.32
ATP6AP1	537	0.246	-0.057	0.238
AQP1	358	0.229	0.419	0.355
ATM	472	0.218	0.021	-0.189
TSPYL4	23270	0.205	-0.295	0.124
RNASE4	6038	0.194	0.127	0.111
ZNF644	84146	0.194	NA	NA
PRPF4B	8899	0.193	-0.076	0.168
STARD10	10809	0.192	NA	NA
EPS8	2059	0.192	0.324	0.282
TOLLIP	54472	0.182	NA	-0.098
ADRB2	154	0.179	0.212	0.261
OSBPL9	114883	0.177	NA	0.205
PITPNA	5306	0.167	0.098	0.022
MYO1D	4642	0.165	0.052	0.077
GNA11	2767	0.165	-0.119	0.222
BAG3	9531	0.16	NA	0.227
YY1	7528	0.158	-0.064	-0.038
SLC7A2	6542	0.156	0.175	-0.037
FBXW2	26190	0.156	NA	0.262
ACTB	60	0.15	0.147	0.056
GPBP1	65056	0.143	NA	NA
ZNF263	10127	0.142	-0.08	0.319
DUS1L	64118	0.139	NA	0.115
RPL22	6146	0.136	NA	0.316
ARIH2	10425	0.135	0.131	0.131
MAX	4149	0.133	-0.096	-0.01
CRELD2	79174	0.126	NA	-0.179
ACOX1	51	0.118	0.104	-0.021
SCGB1A1	7356	0.107	0.188	0.056
BTD	686	0.1	0.078	0.073
SUMO3	6612	0.092	-0.121	0.021
PPP2R4	5524	0.089	-0.175	-0.15
CKM	1158	0.088	0.068	0.05
IARS2	55699	0.087	0.11	0.142
B4GALT3	8703	0.084	0.148	0.057
PIAS2	9063	0.081	-0.033	-0.109
HUWE1	10075	0.081	-0.272	-0.035
IRS1	3667	0.072	-0.01	0.032
TADA1L	117143	0.068	NA	NA
GLG1	2734	0.066	NA	-0.14
RDX	5962	0.06	0.084	-0.148
FARS2	10667	0.056	0.044	0.079
LAMP2	3920	0.051	-0.002	-0.043
RAB24	53917	0.048	NA	NA
SSRP1	6749	0.036	-0.353	-0.053
DPYSL3	1809	0.034	-0.01	0.073
RARRES2	5919	0.032	0.114	-0.179
SSPN	8082	0.021	0.002	0.016
TSPAN6	7105	0.019	-0.079	0.064
ENPP2	5168	0.016	0.165	-0.172
KCNJ8	3764	0.013	0.231	-0.023
ECH1	1891	0.012	-0.043	0.102
RAC1	5879	0.005	0.042	-0.099
PDZK1IP1	10158	-0.005	0.179	-0.063
PAFAH1B3	5050	-0.007	-0.147	-0.156
ANXA7	310	-0.01	0.015	-0.009
GADD45B	4616	-0.019	0.141	0.054
PTRF	284119	-0.02	0.018	-0.032
ZKSCAN1	7586	-0.032	-0.354	-0.267
TAF6	6878	-0.033	-0.228	-0.119
CCDC52	152185	-0.045	-0.064	0.056
COL1A1	1277	-0.052	-0.125	-0.175
PSMD4	5710	-0.054	0.014	-0.109
MEIS1	4211	-0.054	-0.175	-0.001
VLDLR	7436	-0.058	-0.227	-0.074
PTGIR	5739	-0.064	0.108	-0.027
ERCC5	2073	-0.068	-0.001	-0.05
COL6A2	1292	-0.068	-0.085	-0.161
TUBGCP3	10426	-0.069	0.07	-0.02
DAXX	1616	-0.071	-0.248	-0.277
ADAM17	6868	-0.071	-0.093	-0.148
PYGB	5834	-0.073	0.087	0.185
UBE2L3	7332	-0.077	-0.134	-0.076
DHX36	170506	-0.079	NA	NA
ANKH	56172	-0.081	NA	NA
PDCD4	27250	-0.081	-0.101	-0.129
PDGFRA	5156	-0.082	0.042	-0.035
TM9SF2	9375	-0.083	0.171	-0.173
PCTK1	5127	-0.087	-0.311	-0.196
ZSCAN21	7589	-0.089	NA	NA
XPO1	7514	-0.098	-0.324	0.004
GJA4	2701	-0.099	0.205	-0.185
GRID1	2894	-0.106	NA	NA
GPR12	2835	-0.109	0.017	-0.026
KPNB1	3837	-0.112	NA	-0.135
GARS	2617	-0.117	-0.183	-0.229
ARL6IP1	23204	-0.117	-0.118	-0.148
STAB1	23166	-0.125	0.056	-0.178
HAUS3	79441	-0.128	-0.131	-0.063
MTPN	136319	-0.133	NA	NA
IL4R	3566	-0.144	0.219	-0.081
OGFR	11054	-0.148	-0.183	-0.217
ALDH1A1	216	-0.152	-0.202	-0.275
EFNB2	1948	-0.156	0.056	-0.129
WARS	7453	-0.16	0.026	-0.311
GLUD1	2746	-0.174	-0.146	-0.08
F7	2155	-0.189	0.093	-0.172
HSPA4	3308	-0.192	-0.089	-0.034
MORC4	79710	-0.205	NA	-0.042
MPP1	4354	-0.209	-0.03	-0.149
ITM2A	9452	-0.215	0.193	-0.032
POSTN	10631	-0.217	-0.134	-0.255
HIATL1	84641	-0.22	NA	NA
LOX	4015	-0.22	NA	-0.301
TOMM70A	9868	-0.222	-0.277	-0.24
RB1	5925	-0.234	0.017	-0.174
LAPTM5	7805	-0.234	0.155	-0.225
EIF2A	83939	-0.254	NA	NA
CTSB	1508	-0.259	NA	-0.324
G6PD	2539	-0.263	NA	-0.252
DDX47	51202	-0.267	NA	-0.261
TLE1	7088	-0.269	-0.301	-0.232
COQ9	57017	-0.269	-0.24	-0.084
OAZ1	4946	-0.27	-0.074	0.022
UAP1	6675	-0.271	0.1	-0.06
DPEP1	1800	-0.272	-0.228	-0.197
ANAPC5	51433	-0.278	-0.467	-0.246
GRM8	2918	-0.279	-0.084	-0.048
IDH2	3418	-0.28	-0.143	-0.195
DNPEP	23549	-0.282	-0.198	-0.19
CHORDC1	26973	-0.29	NA	-0.098
INPP1	3628	-0.297	-0.245	-0.143
FIP1L1	81608	-0.298	NA	-0.183
PSMD8	5714	-0.3	-0.227	-0.18
TGFBI	7045	-0.318	-0.047	-0.162
GSS	2937	-0.32	-0.133	-0.417
DDX1	1653	-0.323	-0.312	-0.142
BLMH	642	-0.338	-0.325	-0.189
PDHA1	5160	-0.345	NA	-0.113
ANLN	54443	-0.35	NA	NA
IER3	8870	-0.353	-0.034	-0.026
ORC5L	5001	-0.358	-0.108	-0.17
SNAI2	6591	-0.361	-0.292	-0.282
IGFBP1	3484	-0.361	-0.151	-0.284
CASP3	836	-0.372	-0.2	-0.209
FRG1	2483	-0.41	-0.251	-0.223
COPZ1	22818	-0.418	NA	0.089
ZC3H15	55854	-0.422	-0.315	-0.27
FKBP4	2288	-0.438	-0.533	-0.229
CENPA	1058	-0.462	-0.443	-0.385
NCAPH	23397	-0.471	-0.173	-0.352
ADM	133	-0.493	-0.415	-0.413
RAB10	10890	-0.529	NA	NA
IDH3A	3419	-0.541	-0.152	-0.219
ITGA6	3655	-0.641	-0.539	-0.404
