Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
208859_s_at	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	ATRX	Xq13.1-q21.1	546
209318_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	6q24-q25	5325
209560_s_at	delta-like 1 homolog (Drosophila)	DLK1	14q32	8788
210094_s_at	par-3 partitioning defective 3 homolog (C. elegans)	PARD3	10p11.22-p11.21	56288
210180_s_at	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	SFRS10	3q26.2-q27	6434
210230_at	Chromodomain helicase DNA binding protein 3	LOC388388	17p13.3	388388
210479_s_at	RAR-related orphan receptor A	RORA	15q21-q22	6095
210794_s_at	maternally expressed 3	MEG3	14q32	55384
212036_s_at	pinin, desmosome associated protein	PNN	14q21.1	5411
212079_s_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)	MLL	11q23	4297
212185_x_at	metallothionein 2A	MT2A	16q13	4502
212732_at	maternally expressed 3	MEG3	14q32	55384
213182_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	11p15.5	1028
213380_x_at	macrophage stimulating, pseudogene 9	MSTP9	1p36.13	11223
213451_x_at	tenascin XB	TNXB	6p21.3	7148
213515_x_at	hemoglobin, gamma A /// hemoglobin, gamma A /// hemoglobin, gamma G /// hemoglobin, gamma G	HBG1 /// HBG2	11p15.5	3047 /// 3048
213675_at	CDNA FLJ46049 fis, clone SYNOV2020463
213791_at	proenkephalin	PENK	8q23-q24	5179
213998_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	DDX17	22q13.1	10521
214250_at	nuclear mitotic apparatus protein 1	NUMA1	11q13	4926
214428_x_at	complement component 4A /// complement component 4B /// complement component 4B, telomeric	C4A /// C4B	6p21.3	432395 /// 720 /// 721
214610_at	cytochrome P450, family 11, subfamily B, polypeptide 1	CYP11B1	8q21	1584
214622_at	cytochrome P450, family 21, subfamily A, polypeptide 2	CYP21A2	6p21.3	1589
215210_s_at	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) /// dihydrolipoamide S-succinyltransferase pseudogene (E2 component of 2-oxo-glutarate complex)	DLST /// DLSTP	14q24.3 /// 1p31	1743 /// 1744
216894_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	11p15.5	1028
217073_x_at	apolipoprotein A-I /// similar to Apolipoprotein A-I precursor (Apo-AI)	APOA1 /// LOC440837	11q23-q24 /// 22p13	335 /// 440837
218631_at	arginine vasopressin-induced 1	AVPI1	10q24.2	60370
219534_x_at	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	CDKN1C	11p15.5	1028
219714_s_at	calcium channel, voltage-dependent, alpha 2/delta 3 subunit	CACNA2D3	3p21.1	55799
221985_at	kelch-like 24 (Drosophila)	KLHL24	3q27.1	54800
40472_at	PLSC domain containing protein	LOC254531	15q14	254531
49452_at	acetyl-Coenzyme A carboxylase beta	ACACB	12q24.11	32
AFFX-HUMRGE/M10098_5_at
AFFX-HUMRGE/M10098_M_at
AFFX-r2-Hs18SrRNA-5_at
AFFX-r2-Hs18SrRNA-M_x_at
