Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.2587.1.S1_at	4.817391304	NOV	nephroblastoma overexpressed gene
GgaAffx.25229.1.S1_at	4.556015038	VWF	von Willebrand factor
Gga.10746.1.S1_at	4.484455959	LOC769486	Hypothetical protein LOC769486
Gga.12193.1.S1_a_at	4.393349554	C7orf16	chromosome 7 open reading frame 16
Gga.11824.1.S1_at	4.373848987	CST7	Cystatin F (leukocystatin)
GgaAffx.13038.1.S1_s_at	4.212848673	PRPS2	phosphoribosyl pyrophosphate synthetase 2
Gga.1789.1.S1_at	4.16925734	---	---
Gga.7766.1.S1_at	4.131367792	PRPS2	phosphoribosyl pyrophosphate synthetase 2
Gga.4981.1.S1_s_at	4.084587531	HBG1 /// HBG2	hemoglobin, gamma A /// hemoglobin, gamma G
Gga.239.1.S1_at	4.058087578	TLL1	tolloid-like 1
Gga.12544.1.S1_at	4.045596781	TMEM100	transmembrane protein 100
Gga.595.1.S1_at	4.029483365	NELL2	NEL-like 2 (chicken)
GgaAffx.3009.1.S1_s_at	4.005131338	SEMA6D	Sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D
Gga.3219.1.S1_at	3.915498598	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
Gga.10110.1.S1_at	3.906549521	---	---
GgaAffx.4019.4.S1_s_at	3.858608894	RCJMB04_25f22	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
Gga.3738.1.S1_at	3.818388195	BLNK	B-cell linker
Gga.566.1.S1_at	3.741219963	ITGA1	integrin, alpha 1
GgaAffx.21342.1.S1_at	3.704399212	---	---
Gga.5385.1.S1_s_at	3.694572217	RCJMB04_21j5	argininosuccinate synthetase 1
Gga.89.1.A1_x_at	3.683107275	CDH8	Cadherin 8, type 2
Gga.8359.1.S1_at	3.666226913	GSTA3	glutathione S-transferase A3
GgaAffx.24899.1.S1_s_at	3.647715736	RCJMB04_1d13	monoamine oxidase A
GgaAffx.12880.1.S1_s_at	3.58608871	RCJMB04_25f22	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
Gga.5589.1.S1_at	3.580776119	LOC408038	beta-keratin
GgaAffx.23678.1.S1_s_at	3.568345324	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1
Gga.4675.1.S2_at	3.526289652	SDC2	syndecan 2
Gga.7528.1.S1_at	3.524375256	KLF2	Kruppel-like factor 2 (lung)
Gga.3099.1.S1_at	3.518186861	---	---
GgaAffx.21246.1.S1_at	3.51009741	GUCY1A2	Guanylate cyclase 1, soluble, alpha 2
Gga.514.1.S1_at	3.501258293	F10	coagulation factor X
GgaAffx.4019.2.S1_s_at	3.481609195	RCJMB04_25f22	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
Gga.18451.1.S1_at	3.36712217	---	---
Gga.7228.1.S1_at	3.360861759	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)
Gga.5108.1.S1_at	3.267459138	MYLK	Myosin, light chain kinase
Gga.2550.1.S1_at	3.262903226	MAT1A	methionine adenosyltransferase I, alpha
GgaAffx.20643.1.S1_at	3.230798919	OLFML2B	Olfactomedin-like 2B
Gga.3323.1.S1_s_at	3.227238925	FABP5	fatty acid binding protein 5
Gga.16495.1.S1_at	3.210031348	---	---
Gga.14272.1.S1_at	3.182758621	MC5R	melanocortin 5 receptor
Gga.18811.1.S1_at	3.177033493	---	---
Gga.19409.1.S1_s_at	3.143034339	COL4A2	collagen, type IV, alpha 2
Gga.8470.1.S1_at	3.132110092	---	---
Gga.1846.1.S2_at	3.122406639	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Gga.18836.1.S1_at	3.118164436	---	---
Gga.12186.1.S1_at	3.107186571	LYVE1	lymphatic vessel endothelial hyaluronan receptor 1
Gga.483.1.S1_at	2.998213222	LOC395818	JTAP-1
Gga.17632.1.S1_at	2.993644068	---	---
Gga.1761.1.S1_at	2.991466253	GPR116	G protein-coupled receptor 116
GgaAffx.2235.1.S1_at	2.990358127	LOC425146	hypothetical LOC425146
Gga.6311.1.S1_at	2.974512744	HEY1	hairy/enhancer-of-split related with YRPW motif 1
Gga.19798.1.S1_at	2.971000326	---	---
Gga.19624.1.S1_at	2.963235294	---	---
Gga.17355.1.S1_at	2.960510328	NEBL	Nebulette
Gga.3175.1.S1_at	2.956799319	PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)
Gga.19065.1.S1_at	2.950418994	---	---
Gga.3350.1.S1_at	2.93204182	PTGDS	prostaglandin D2 synthase 21kDa (brain)
Gga.2827.2.S1_a_at	2.909626216	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
Gga.12924.1.S1_at	2.902109124	SGCE	Sarcoglycan, epsilon
Gga.1527.1.S1_at	2.887174834	METTL7A	methyltransferase like 7A
Gga.3104.1.S1_at	2.879542952	COL4A2	collagen, type IV, alpha 2
Gga.7246.1.S1_at	2.876627051	---	---
Gga.9003.1.S1_at	2.859835669	---	---
GgaAffx.8483.1.S1_s_at	2.859246172	TMEM16C	transmembrane protein 16C
Gga.4942.1.S1_at	2.851631439	HSP70	heat shock protein 70
Gga.969.1.S1_at	2.821513167	MOXD1	monooxygenase, DBH-like 1
Gga.13585.1.S1_s_at	2.790915645	FAM20A	family with sequence similarity 20, member A
Gga.7272.1.S1_at	2.786421111	---	---
GgaAffx.21078.1.S1_at	2.785727664	---	---
Gga.7708.1.S1_at	2.742349169	RCJMB04_1d13	monoamine oxidase A
Gga.9574.1.S1_at	2.736342468	LOC419390	similar to enhancer of split related protein-7
Gga.10818.1.S1_at	2.735074627	LOC429567	Similar to protease
Gga.1939.1.S1_at	2.727194579	EMP1	Epithelial membrane protein 1
Gga.7442.1.S1_at	2.703646833	PTGER3	prostaglandin E receptor 3 (subtype EP3)
Gga.16727.1.S1_at	2.690140845	LOC429030	similar to myosin 10
Gga.2301.1.S1_at	2.636845203	APCDD1	adenomatosis polyposis coli down-regulated 1
GgaAffx.8887.1.S1_s_at	2.621669627	RCJMB04_35g11 /// VNN1	vanin 2 /// vanin 1
GgaAffx.11009.3.S1_s_at	2.602311353	GUCY1A2	guanylate cyclase 1, soluble, alpha 2
Gga.3209.3.S1_at	2.594567587	IPMK	inositol polyphosphate multikinase
GgaAffx.8765.2.S1_at	2.585660117	GFPT2	glutamine-fructose-6-phosphate transaminase 2
Gga.7288.1.S1_at	2.574621485	---	---
Gga.19300.1.S1_at	2.566519824	SLC16A2	Solute carrier family 16, member 2 (monocarboxylic acid transporter 8)
Gga.3391.1.S1_at	2.562793547	KRT15	keratin 15
Gga.12978.1.S1_at	2.556760665	---	---
Gga.16169.1.S1_at	2.537303665	---	---
Gga.2533.1.S1_s_at	2.536562757	GSTA1	glutathione S-transferase A1
Gga.2967.1.S2_at	2.497474193	ITGA6	integrin, alpha 6
Gga.12856.1.S1_at	2.493983957	TDH	L-threonine dehydrogenase
Gga.4965.2.S1_at	2.488897113	COL12A1	Collagen, type XII, alpha 1
GgaAffx.4585.1.S1_at	2.476156584	LOC422293	hypothetical LOC422293
Gga.12930.1.S1_at	2.447261027	---	---
Gga.8774.1.S2_s_at	2.443040293	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10
Gga.5139.1.S1_at	2.436333699	FBP1	fructose-1,6-bisphosphatase 1
Gga.4965.1.S1_at	2.434636402	COL12A1	collagen, type XII, alpha 1
Gga.9239.1.S1_s_at	2.428467683	HLA-G /// LOC417056 /// LOC417083 /// YFV /// YFVI	HLA-G histocompatibility antigen, class I, G /// similar to MHC Rfp-Y class I alpha chain /// similar to class I alpha chain /// MHC Rfp-Y class I alpha chain /// MHC Rfp-Y class I alpha
Gga.7231.1.S1_at	2.417944155	SOX17	SRY (sex determining region Y)-box 17
Gga.6220.2.S1_a_at	2.403989324	---	---
GgaAffx.24123.1.S1_at	2.401597676	PDE3A	phosphodiesterase 3A, cGMP-inhibited
Gga.6277.1.S1_at	2.392127973	C8orf4	Chromosome 8 open reading frame 4
Gga.18524.1.S1_at	2.389281508	---	---
Gga.9334.1.S1_at	2.385625115	SGK1	serum/glucocorticoid regulated kinase 1
Gga.679.1.S1_at	2.375099549	VLDLR	very low density lipoprotein receptor
Gga.15955.1.S1_s_at	2.374895862	SLC16A2	Solute carrier family 16, member 2 (monocarboxylic acid transporter 8)
Gga.13519.1.S1_s_at	2.351197263	RCJMB04_25m5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5
GgaAffx.25881.1.S1_at	2.341342487	PECAM1	platelet/endothelial cell adhesion molecule (CD31 antigen)
Gga.17361.1.S1_s_at	2.339918002	RASGEF1A	RasGEF domain family, member 1A
Gga.6794.1.A1_s_at	2.316436824	---	---
Gga.639.1.S1_at	2.310438769	S100A11	S100 calcium binding protein A11
Gga.8319.1.S1_at	2.30781427	---	---
Gga.17183.1.S1_at	2.307800422	---	---
GgaAffx.4249.1.S1_at	2.293847039	WFDC2	WAP four-disulfide core domain 2
Gga.7779.1.S1_s_at	2.293436992	---	---
GgaAffx.8830.1.S1_at	2.286555787	LOC421049	similar to protein tyrosine phosphatase, receptor type, M
Gga.8078.1.S1_at	2.267705088	GAS6	growth arrest-specific 6
GgaAffx.20470.1.S1_at	2.237652812	---	---
GgaAffx.21109.1.S1_s_at	2.235679612	---	---
Gga.11781.1.S1_at	2.218309859	TM6SF1	transmembrane 6 superfamily member 1
Gga.18924.1.S1_at	2.187297172	---	---
Gga.5541.1.S1_at	2.18290335	PECAM1	platelet/endothelial cell adhesion molecule
Gga.3040.1.S1_at	2.142510565	COL5A2	collagen, type V, alpha 2
Gga.2520.1.S1_at	2.113674597	---	---
Gga.3053.1.S1_at	2.107836089	EPHB3	EPH receptor B3
Gga.16596.1.S1_at	2.105944607	PID1	phosphotyrosine interaction domain containing 1
Gga.4853.1.S1_at	2.092206966	LOC419245	hypothetical LOC419245
Gga.6220.1.S1_a_at	2.089601046	ICER	ICER protein
Gga.15805.1.S1_at	2.084313725	FLT4	fms-related tyrosine kinase 4
Gga.2990.1.S1_at	2.069690993	---	---
Gga.3908.1.S1_at	2.061329228	TAGLN	transgelin
Gga.1763.1.S1_at	2.059080326	WFDC1	WAP four-disulfide core domain 1
GgaAffx.8937.1.S1_at	2.052825902	SYTL2	synaptotagmin-like 2
GgaAffx.12711.1.S1_at	2.042993308	RCJMB04_21h11	hypothetical protein LOC768701
Gga.12104.1.S1_at	2.032861635	RAMP2	receptor (G protein-coupled) activity modifying protein 2
Gga.12534.1.S1_at	2.029842342	LXN	latexin
GgaAffx.20790.1.S1_s_at	2.019310345	---	---
Gga.12185.1.S1_at	2.016565869	MMP23B	matrix metallopeptidase 23B
Gga.9198.1.S1_at	2.015650741	RHCE /// RHD	Rh blood group, CcEe antigens /// Rh blood group, D antigen
Gga.14963.1.S1_at	2.008579272	---	---
Gga.9173.1.S1_at	2.006822058	---	---
GgaAffx.11375.1.S1_at	2.002152035	RCJMB04_1a13	metastasis suppressor 1
