Symbol	Entrez Gene Name	Affymetrix_ID	Fold Change	Fold Change	Location	Type
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	208972_s_at		1.434	Cytoplasm	transporter
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	208899_x_at	-1.637		Cytoplasm	transporter
AURKA	aurora kinase A	204092_s_at	-1.827	-1.312	Nucleus	kinase
AURKB	aurora kinase B	209464_at			Nucleus	kinase
AVPI1	arginine vasopressin-induced 1	218631_at	-1.020	-1.251	Unknown	other
BAG5	BCL2-associated athanogene 5	202985_s_at	-1.696		Unknown	other
BARD1	BRCA1 associated RING domain 1	205345_at	-1.755		Nucleus	transcription regulator
BAT3	HLA-B associated transcript 3	--		-1.020	Nucleus	enzyme
BAZ1A	bromodomain adjacent to zinc finger domain, 1A	217985_s_at	-1.244		Nucleus	other
BCAR3	breast cancer anti-estrogen resistance 3	204032_at	-1.157	-1.144	Unknown	other
BCCIP	BRCA2 and CDKN1A interacting protein	218264_at	-1.241	-2.046	Nucleus	other
BCLAF1	BCL2-associated transcription factor 1	--		-1.604	Nucleus	transcription regulator
BIRC5	baculoviral IAP repeat-containing 5	202095_s_at	1.502	-1.393	Cytoplasm	other
BMP2K (includes EG:55589)	BMP2 inducible kinase	59644_at	1.034		Nucleus	kinase
BRCC3	BRCA1/BRCA2-containing complex, subunit 3	221196_x_at	-1.292		Unknown	other
BRMS1	breast cancer metastasis suppressor 1	215631_s_at		-1.123	Unknown	other
BTG1	B-cell translocation gene 1, anti-proliferative	200921_s_at	-3.536	-2.019	Nucleus	transcription regulator
BUB1 (includes EG:699)	budding uninhibited by benzimidazoles 1 homolog (yeast)	209642_at		-1.366	Nucleus	kinase
BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	203755_at	-1.404	2.484	Nucleus	kinase
C14ORF130	ubiquitin protein ligase E3 component n-recognin 7 (putative)	218108_at	-1.084		Unknown	enzyme
C1D	C1D nuclear receptor co-repressor	200056_s_at		-2.136	Nucleus	transcription regulator
C21ORF45	chromosome 21 open reading frame 45	219004_s_at	-1.112	-1.240	Unknown	other
CABC1	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	218168_s_at	1.184	-1.024	Cytoplasm	kinase
CACYBP	calcyclin binding protein	201381_x_at	-1.389	1.767	Nucleus	other
CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	202715_at		-1.276	Cytoplasm	enzyme
CADM1	cell adhesion molecule 1	209030_s_at	-1.392		Plasma Membrane	other
CALM1	calmodulin 1 (phosphorylase kinase, delta)	211984_at	-1.254		Plasma Membrane	other
CAND1	cullin-associated and neddylation-dissociated 1	208839_s_at	1.225		Cytoplasm	transcription regulator
CANX	calnexin	--		1.003	Cytoplasm	other
CAPG	capping protein (actin filament), gelsolin-like	201850_at	-2.049		Nucleus	other
CAPN7	calpain 7	203357_s_at	-1.482	-1.325	Cytoplasm	peptidase
CAPZA2	capping protein (actin filament) muscle Z-line, alpha 2	201237_at	-1.591	1.189	Cytoplasm	other
CAST	calpastatin	212586_at	1.301		Cytoplasm	peptidase
CAV1	caveolin 1, caveolae protein, 22kDa	203065_s_at	-1.490		Plasma Membrane	other
CCDC99	coiled-coil domain containing 99	221685_s_at	2.384		Unknown	other
CCDC85B	coiled-coil domain containing 85B	204610_s_at	1.480		Unknown	other
CCNA2	cyclin A2	213226_at	-1.276	-2.712	Nucleus	other
CCNB1	cyclin B1	214710_s_at		-1.172	Nucleus	other
CCNB2	cyclin B2	202705_at	-1.540	-1.078	Cytoplasm	other
CCNC	cyclin C	201955_at	-1.092		Nucleus	other
CCND1	cyclin D1	208712_at	1.210		Nucleus	other
CCND3	cyclin D3	201700_at	-1.585		Nucleus	other
CD44	CD44 molecule (Indian blood group)	210916_s_at	1.130		Plasma Membrane	other
CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	201926_s_at	1.820		Plasma Membrane	other
CDC2	cell division cycle 2, G1 to S and G2 to M	203213_at	-1.414	-1.204	Nucleus	kinase
CDC6	cell division cycle 6 homolog (S. cerevisiae)	203968_s_at	1.435		Nucleus	other
CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	--		2.638	Cytoplasm	enzyme
CDC25A	cell division cycle 25 homolog A (S. pombe)	204695_at	-2.141		Nucleus	phosphatase
CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	204126_s_at	-1.026		Nucleus	other
CDCA3	cell division cycle associated 3	221436_s_at	-1.046	-1.292	Cytoplasm	other
CDCA4	cell division cycle associated 4	218399_s_at	1.105		Nucleus	other
CDCA8	cell division cycle associated 8	221520_s_at	-1.098	1.180	Nucleus	other
CDK2	cyclin-dependent kinase 2	204252_at	-1.266	-1.017	Nucleus	kinase
CDKN3	cyclin-dependent kinase inhibitor 3	209714_s_at		-1.280	Nucleus	phosphatase
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	202284_s_at		3.329	Nucleus	kinase
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	212501_at	-1.043	-1.284	Nucleus	transcription regulator
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	204203_at	1.261	2.631	Nucleus	transcription regulator
CENPA	centromere protein A	204962_s_at		-1.362	Nucleus	other
CENPE	centromere protein E, 312kDa	205046_at	-1.182		Nucleus	other
CEP55	centrosomal protein 55kDa	218542_at	-1.006	-1.087	Unknown	other
CEP170	centrosomal protein 170kDa	207719_x_at	1.267		Nucleus	other
CES2 (includes EG:8824)	carboxylesterase 2 (intestine, liver)	--		-1.277	Cytoplasm	enzyme
CHMP4A	chromatin modifying protein 4A	218571_s_at	1.999		Nucleus	other
CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	219182_at		-1.028	Extracellular Space	enzyme
CIZ1	CDKN1A interacting zinc finger protein 1	213977_s_at	1.255	-1.102	Nucleus	transporter
CKS2 (includes EG:1164)	CDC28 protein kinase regulatory subunit 2	204170_s_at	-1.215	-1.843	Unknown	kinase
CLCN3	chloride channel 3	201735_s_at	-1.129		Plasma Membrane	ion channel
CLEC2B	C-type lectin domain family 2, member B	209732_at	2.164		Plasma Membrane	other
CNN3	calponin 3, acidic	201445_at	-2.359	1.593	Cytoplasm	other
COPS3	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	202078_at	-2.476		Cytoplasm	other
CPSF1	cleavage and polyadenylation specific factor 1, 160kDa	--		1.383	Nucleus	other
CPSF6	cleavage and polyadenylation specific factor 6, 68kDa	202469_s_at	-1.475		Nucleus	other
CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	--		-1.230	Cytoplasm	other
CRTC3	CREB regulated transcription coactivator 3	218648_at	1.011		Unknown	other
CSDA	cold shock domain protein A	--		-1.262	Nucleus	transcription regulator
CSNK1A1	casein kinase 1, alpha 1	208866_at	1.505	-1.152	Cytoplasm	kinase
CSNK2A2	casein kinase 2, alpha prime polypeptide	203575_at		-1.151	Cytoplasm	kinase
CTGF	connective tissue growth factor	209101_at	-1.064		Extracellular Space	growth factor
CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	202468_s_at	-1.199		Plasma Membrane	other
CTSC	cathepsin C	201487_at	-1.411		Cytoplasm	peptidase
CUL4B	cullin 4B	202213_s_at	-1.169		Unknown	other
CXCL2	chemokine (C-X-C motif) ligand 2	209774_x_at	1.157		Extracellular Space	cytokine
CXCL3	chemokine (C-X-C motif) ligand 3	207850_at	-1.155		Extracellular Space	cytokine
CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	201634_s_at	-1.303		Cytoplasm	enzyme
CYFIP2	cytoplasmic FMR1 interacting protein 2	215785_s_at		-1.257	Cytoplasm	other
DBF4	DBF4 homolog (S. cerevisiae)	204244_s_at	1.528	-1.144	Nucleus	kinase
DCXR	dicarbonyl/L-xylulose reductase	217973_at	-1.091		Cytoplasm	enzyme
DDB2	damage-specific DNA binding protein 2, 48kDa	203409_at		-1.595	Nucleus	other
DDIT3	DNA-damage-inducible transcript 3	209383_at	-1.163	1.404	Nucleus	transcription regulator
DDX39	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	201584_s_at	-1.276		Nucleus	enzyme
DDX19A	DEAD (Asp-Glu-Ala-As) box polypeptide 19A	202578_s_at	-1.615		Nucleus	enzyme
DDX3X	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked	201211_s_at	-2.179		Nucleus	enzyme
DEGS1	degenerative spermatocyte homolog 1, lipid desaturase (Drosophila)	209250_at	1.036		Plasma Membrane	enzyme
DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	203277_at	-1.883	-1.782	Nucleus	enzyme
DHFR	dihydrofolate reductase	202534_x_at	-1.310	-1.422	Unknown	enzyme
DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	202420_s_at	-1.454		Nucleus	enzyme
DIAPH1	diaphanous homolog 1 (Drosophila)	209190_s_at	-1.077		Cytoplasm	other
DLG7	discs, large (Drosophila) homolog-associated protein 5	203764_at	1.274	-1.235	Nucleus	phosphatase
DNAJA1	DnaJ (Hsp40) homolog, subfamily A, member 1	200881_s_at	-2.574	-1.195	Nucleus	other
DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	200666_s_at	-1.927		Nucleus	other
DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	208811_s_at	-1.374		Nucleus	transcription regulator
DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	202866_at		1.134	Cytoplasm	other
DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	213092_x_at	1.168	-1.240	Unknown	other
DNMT1	DNA (cytosine-5-)-methyltransferase 1	201697_s_at	1.433		Nucleus	enzyme
DONSON	downstream neighbor of SON	221677_s_at	1.176	1.134	Unknown	other
DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	202673_at		-1.236	Cytoplasm	enzyme
DPP3	dipeptidyl-peptidase 3	218567_x_at	-1.416	1.156	Cytoplasm	peptidase
DPYD	dihydropyrimidine dehydrogenase	204646_at		1.475	Cytoplasm	enzyme
DPYSL2	dihydropyrimidinase-like 2	200762_at	-4.419		Cytoplasm	enzyme
DTL	denticleless homolog (Drosophila)	218585_s_at	-1.102		Nucleus	other
DTYMK	deoxythymidylate kinase (thymidylate kinase)	203270_at	-1.625	-2.147	Unknown	kinase
DUSP1	dual specificity phosphatase 1	201041_s_at	-1.777	-4.613	Nucleus	phosphatase
DUT (includes EG:1854)	deoxyuridine triphosphatase	208955_at	-1.585	1.529	Nucleus	enzyme
DYNC1H1	dynein, cytoplasmic 1, heavy chain 1	211928_at		-1.346	Cytoplasm	peptidase
EBNA1BP2	EBNA1 binding protein 2	201323_at	-2.217		Nucleus	other
EBP	emopamil binding protein (sterol isomerase)	202735_at	-2.312		Cytoplasm	enzyme
ECT2	epithelial cell transforming sequence 2 oncogene	219787_s_at	-1.224	-1.351	Nucleus	other
EDG2	lysophosphatidic acid receptor 1	--		1.456	Plasma Membrane	G-protein coupled receptor
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	204905_s_at	-1.468		Cytoplasm	translation regulator
EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	201984_s_at	-1.531		Plasma Membrane	kinase
EID1	EP300 interacting inhibitor of differentiation 1	208670_s_at	-1.246		Nucleus	transcription regulator
EIF5	eukaryotic translation initiation factor 5	208706_s_at	-1.580		Cytoplasm	translation regulator
EIF1AX	eukaryotic translation initiation factor 1A, X-linked	201018_at	-1.697	-1.233	Cytoplasm	translation regulator
EIF1AY	eukaryotic translation initiation factor 1A, Y-linked	204409_s_at	-1.302		Cytoplasm	translation regulator
EIF2S1	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	201143_s_at	-1.814		Cytoplasm	translation regulator
EIF3J	eukaryotic translation initiation factor 3, subunit J	208264_s_at	-1.083		Cytoplasm	translation regulator
EIF4A2	eukaryotic translation initiation factor 4A, isoform 2	200912_s_at	-2.159		Cytoplasm	translation regulator
EIF4B	eukaryotic translation initiation factor 4B	--		-1.436	Cytoplasm	translation regulator
EIF4E	eukaryotic translation initiation factor 4E	201437_s_at	-2.988	-1.828	Cytoplasm	translation regulator
EIF4E2	eukaryotic translation initiation factor 4E family member 2	209393_s_at	-1.176		Cytoplasm	translation regulator
EIF5B	eukaryotic translation initiation factor 5B	201024_x_at	-2.010	-1.355	Cytoplasm	translation regulator
EPAS1	endothelial PAS domain protein 1	200878_at	-2.200		Nucleus	transcription regulator
EPB41L2	erythrocyte membrane protein band 4.1-like 2	201719_s_at	-2.462	-1.435	Plasma Membrane	other
ESM1	endothelial cell-specific molecule 1	208394_x_at	-1.178	1.055	Extracellular Space	growth factor
EWSR1	Ewing sarcoma breakpoint region 1	210011_s_at	-1.055		Nucleus	other
EXOC3	exocyst complex component 3	212630_at		1.147	Plasma Membrane	transporter
EXOSC8	exosome component 8	215136_s_at		-1.485	Nucleus	enzyme
EXOSC9	exosome component 9	205061_s_at	-1.200		Nucleus	enzyme
EZH2	enhancer of zeste homolog 2 (Drosophila)	203358_s_at	-1.588		Nucleus	transcription regulator
F8A1	coagulation factor VIII-associated (intronic transcript) 1	203274_at	-2.082		Extracellular Space	other
FAM111A	family with sequence similarity 111, member A	218248_at	1.195		Unknown	other
FAM129A	family with sequence similarity 129, member A	217967_s_at	-1.053		Unknown	other
FAM60A	family with sequence similarity 60, member A	220147_s_at		1.183	Unknown	other
FANCI	Fanconi anemia, complementation group I	213007_at	1.232		Unknown	other
FANCL	Fanconi anemia, complementation group L	218397_at	1.355		Nucleus	other
FBXO9	F-box protein 9	210638_s_at	1.336	-1.049	Cytoplasm	enzyme
FDFT1	farnesyl-diphosphate farnesyltransferase 1	208647_at	-1.104	-1.313	Cytoplasm	enzyme
FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	201275_at	-2.442		Cytoplasm	enzyme
FDXR	ferredoxin reductase	207813_s_at		-1.211	Cytoplasm	enzyme
FEN1	flap structure-specific endonuclease 1	204768_s_at	-1.203	1.899	Nucleus	enzyme
FGF2	fibroblast growth factor 2 (basic)	204421_s_at	-1.474	-1.201	Extracellular Space	growth factor
FLII	flightless I homolog (Drosophila)	--		-1.463	Nucleus	other
FLJ11259	DNA-damage regulated autophagy modulator 1	218627_at		-1.277	Unknown	other
FLNB	filamin B, beta	208614_s_at	-1.445		Cytoplasm	other
FOS	FBJ murine osteosarcoma viral oncogene homolog	--			Nucleus	transcription regulator
FOXM1	forkhead box M1	202580_x_at		-1.542	Nucleus	transcription regulator
FST	follistatin	207345_at	-1.619	-1.317	Extracellular Space	other
FUSIP1	FUS interacting protein (serine/arginine-rich) 1	206095_s_at	-2.203		Nucleus	other
FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	203988_s_at		1.296	Cytoplasm	enzyme
FYN	FYN oncogene related to SRC, FGR, YES	210105_s_at	-1.027		Plasma Membrane	kinase
GBL	MTOR associated protein, LST8 homolog (S. cerevisiae)	220587_s_at	-1.212	1.122	Unknown	other
GCSH	glycine cleavage system protein H (aminomethyl carrier)	213129_s_at	-1.186		Cytoplasm	enzyme
GDF15	growth differentiation factor 15	221577_x_at	-1.037	1.144	Extracellular Space	growth factor
GINS1	GINS complex subunit 1 (Psf1 homolog)	206102_at	-1.149	-1.380	Nucleus	other
GINS2	GINS complex subunit 2 (Psf2 homolog)	221521_s_at	-1.450	-1.075	Nucleus	other
GINS3	GINS complex subunit 3 (Psf3 homolog)	218719_s_at	1.211		Unknown	other
GLA	galactosidase, alpha	214430_at	-1.080		Cytoplasm	enzyme
GLIPR1	GLI pathogenesis-related 1	214085_x_at	-1.194		Extracellular Space	other
GM2A	GM2 ganglioside activator	212737_at		1.139	Cytoplasm	enzyme
GMNN	geminin, DNA replication inhibitor	218350_s_at	-1.074		Nucleus	other
GNG11	guanine nucleotide binding protein (G protein), gamma 11	204115_at	-1.291		Plasma Membrane	enzyme
GPAA1	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast)	--		1.397	Cytoplasm	enzyme
GPC1	glypican 1	202756_s_at		1.778	Plasma Membrane	transmembrane receptor
GRN	granulin	200678_x_at	-2.514	1.037	Extracellular Space	growth factor
GTF2IRD1	GTF2I repeat domain containing 1	218412_s_at	-1.383		Nucleus	transcription regulator
GULP1	GULP, engulfment adaptor PTB domain containing 1	204235_s_at		1.376	Cytoplasm	other
H2AFX	H2A histone family, member X	205436_s_at	-1.094		Nucleus	other
HAT1	histone acetyltransferase 1	203138_at	-1.300	-1.226	Nucleus	enzyme
HERC5	hect domain and RLD 5	219863_at	1.522	1.064	Cytoplasm	enzyme
HEXIM1	hexamethylene bis-acetamide inducible 1	202814_s_at	-1.583		Nucleus	transcription regulator
HIST1H4C	histone cluster 1, H4c	205967_at	-1.401	1.192	Nucleus	other
HLA-A	major histocompatibility complex, class I, A	--		1.040	Plasma Membrane	transmembrane receptor
HLA-C	major histocompatibility complex, class I, C	--		1.410	Plasma Membrane	transmembrane receptor
HLA-E	major histocompatibility complex, class I, E	200905_x_at	-2.722		Plasma Membrane	transmembrane receptor
HLA-G	major histocompatibility complex, class I, G	--		1.102	Plasma Membrane	transmembrane receptor
HMGA2	high mobility group AT-hook 2	208025_s_at		1.195	Nucleus	other
HMGB2	high-mobility group box 2	208808_s_at			Nucleus	transcription regulator
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	202539_s_at	-1.386		Cytoplasm	enzyme
HMGN3	high mobility group nucleosomal binding domain 3	209377_s_at	-1.349	-1.717	Nucleus	other
HMMR	hyaluronan-mediated motility receptor (RHAMM)	--		1.226	Plasma Membrane	other
HNRPA3	heterogeneous nuclear ribonucleoprotein A3	206809_s_at	-1.476	1.208	Nucleus	other
HNRPD	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	221480_at	-1.181	-1.050	Nucleus	transcription regulator
HNRPL	heterogeneous nuclear ribonucleoprotein L	35201_at		1.100	Nucleus	other
HOXA9	homeobox A9	209905_at	-2.252		Nucleus	transcription regulator
HRB	ArfGAP with FG repeats 1	218091_at	-1.262		Nucleus	other
HS2ST1	heparan sulfate 2-O-sulfotransferase 1	203285_s_at	-1.394	-1.240	Cytoplasm	enzyme
HSBP1	heat shock factor binding protein 1	200941_at	-1.907		Nucleus	transcription regulator
HSD17B11	hydroxysteroid (17-beta) dehydrogenase 11	217989_at		1.074	Cytoplasm	enzyme
HSPA9	heat shock 70kDa protein 9 (mortalin)	200690_at	-3.130		Cytoplasm	other
HSPA14	heat shock 70kDa protein 14	219212_at	1.043	-2.185	Cytoplasm	peptidase
HSPA1A	heat shock 70kDa protein 1A	200799_at	-2.479	-2.062	Cytoplasm	other
HSPA1B	heat shock 70kDa protein 1B	202581_at	-1.476	-2.001	Cytoplasm	other
HSPA4L	heat shock 70kDa protein 4-like	205543_at		1.378	Cytoplasm	other
HSPE1	heat shock 10kDa protein 1 (chaperonin 10)	205133_s_at	1.758	-1.192	Cytoplasm	enzyme
HSPH1	heat shock 105kDa/110kDa protein 1	208744_x_at	-1.145		Cytoplasm	other
IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	202070_s_at	-1.204		Cytoplasm	enzyme
IDI1	isopentenyl-diphosphate delta isomerase 1	208881_x_at	-1.508		Cytoplasm	enzyme
ILF3	interleukin enhancer binding factor 3, 90kDa	208931_s_at	-1.095		Nucleus	transcription regulator
INSIG1	insulin induced gene 1	201627_s_at	-1.507	-1.205	Cytoplasm	other
IPO7	importin 7	200995_at	-2.069	-1.735	Nucleus	transporter
IQCB1	IQ motif containing B1	211707_s_at	-1.086		Extracellular Space	other
IRS2	insulin receptor substrate 2	209185_s_at	-1.391		Cytoplasm	other
ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	205176_s_at	-1.191		Nucleus	other
JAG2	jagged 2	--		-1.483	Extracellular Space	growth factor
JMJD6	jumonji domain containing 6	212723_at	1.521		Plasma Membrane	other
JUND	jun D proto-oncogene	203752_s_at	-2.231		Nucleus	transcription regulator
KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	221584_s_at		1.188	Plasma Membrane	ion channel
KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	200699_at	-3.197		Cytoplasm	transporter
KIAA0101	KIAA0101	211713_x_at	-1.326		Nucleus	other
KIF11	kinesin family member 11	204444_at	-1.597	-1.141	Nucleus	other
KIF14	kinesin family member 14	206364_at	-1.380	-2.731	Cytoplasm	other
KIF23	kinesin family member 23	204709_s_at	-1.432	-1.435	Cytoplasm	other
KIF18A	kinesin family member 18A	221258_s_at	-1.115		Cytoplasm	other
KIF20A	kinesin family member 20A	218755_at	-1.208	1.086	Cytoplasm	transporter
KIF2C	kinesin family member 2C	209408_at	1.187		Nucleus	other
KIF4A	kinesin family member 4A	218355_at		1.023	Nucleus	other
KLF4	Kruppel-like factor 4 (gut)	221841_s_at		1.357	Nucleus	transcription regulator
KLHL21	kelch-like 21 (Drosophila)	203068_at		-1.095	Unknown	other
KPNA1	karyopherin alpha 1 (importin alpha 5)	202056_at	-2.377		Nucleus	transporter
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	211762_s_at	-1.564	-1.287	Nucleus	transporter
KPNB1	karyopherin (importin) beta 1	213574_s_at	-1.217	-1.160	Nucleus	transporter
KRR1	KRR1, small subunit (SSU) processome component, homolog (yeast)	203203_s_at	2.086		Nucleus	other
LAMC1	laminin, gamma 1 (formerly LAMB2)	200770_s_at	-2.129	2.147	Extracellular Space	other
LBR	lamin B receptor	201795_at	2.562	1.433	Nucleus	enzyme
LDLR	low density lipoprotein receptor	202068_s_at	-1.758	1.975	Plasma Membrane	transporter
LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	200923_at		-1.728	Plasma Membrane	transmembrane receptor
LHFPL2	lipoma HMGIC fusion partner-like 2	212658_at	1.327		Unknown	enzyme
LOC339047	hypothetical protein LOC339047	221501_x_at	1.188	1.051	Unknown	other
LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	212692_s_at		1.195	Cytoplasm	other
MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	203362_s_at	1.538		Nucleus	other
MAGOH	mago-nashi homolog, proliferation-associated (Drosophila)	210092_at	1.133		Nucleus	other
MARS (includes EG:4141)	methionyl-tRNA synthetase	201475_x_at	-2.921	1.670	Cytoplasm	enzyme
MCAM	melanoma cell adhesion molecule	211042_x_at	-1.210		Plasma Membrane	other
MCM3	minichromosome maintenance complex component 3	201555_at	-1.350		Nucleus	enzyme
MCM4	minichromosome maintenance complex component 4	212141_at	-1.240	1.176	Nucleus	enzyme
MCM5	minichromosome maintenance complex component 5	216237_s_at	1.303		Nucleus	enzyme
MCM6	minichromosome maintenance complex component 6	201930_at	-1.999		Nucleus	enzyme
MDK	midkine (neurite growth-promoting factor 2)	209035_at	1.487		Extracellular Space	growth factor
MED21	mediator complex subunit 21	209362_at	-1.275		Nucleus	transcription regulator
MED27	mediator complex subunit 27	--		-1.145	Nucleus	transcription regulator
MEIS2	Meis homeobox 2	207480_s_at	-1.015		Nucleus	transcription regulator
MEST	mesoderm specific transcript homolog (mouse)	202016_at	-1.489		Extracellular Space	peptidase
MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	203102_s_at	-1.140	1.432	Cytoplasm	enzyme
MINK1	misshapen-like kinase 1 (zebrafish)	214246_x_at	1.103	-1.005	Cytoplasm	kinase
MKI67	antigen identified by monoclonal antibody Ki-67	212021_s_at	-1.041		Nucleus	other
MLLT11	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	211071_s_at	-1.212		Unknown	other
MOBKL1B	MOB1, Mps One Binder kinase activator-like 1B (yeast)	214812_s_at	-1.338		Plasma Membrane	other
MRPL13	mitochondrial ribosomal protein L13	218049_s_at	-1.034		Cytoplasm	other
MRPL16	mitochondrial ribosomal protein L16	217980_s_at	-1.142		Unknown	other
MSH2	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	209421_at	-1.446		Nucleus	enzyme
MSH6	mutS homolog 6 (E. coli)	202911_at	-1.169		Nucleus	enzyme
MT1F	metallothionein 1F	217165_x_at	1.344		Cytoplasm	other
MT1X	metallothionein 1X	208581_x_at	-1.146		Unknown	other
MT2A	metallothionein 2A	212185_x_at	-1.214		Cytoplasm	other
MYCBP	c-myc binding protein	203359_s_at	-1.335	1.207	Nucleus	transcription regulator
NAB1	NGFI-A binding protein 1 (EGR1 binding protein 1)	209272_at	-1.035		Nucleus	transcription regulator
NAP1L1	nucleosome assembly protein 1-like 1	208754_s_at	1.280		Nucleus	other
NARG1	NMDA receptor regulated 1	219158_s_at	1.002		Nucleus	transcription regulator
NASP	nuclear autoantigenic sperm protein (histone-binding)	201970_s_at	-1.314		Nucleus	other
NBR1	neighbor of BRCA1 gene 1	201384_s_at	-2.189	1.084	Unknown	other
NCAPD3	non-SMC condensin II complex, subunit D3	212789_at	-1.211	1.209	Nucleus	other
NCAPG (includes EG:64151)	non-SMC condensin I complex, subunit G	218663_at	-1.350		Nucleus	other
