GeneSymbol	EntrezID	P.Value	adj.P.Val	FC
IL2RB	3560	3.64E-08	1.20E-05	1.57
JAKMIP2	9832	3.03E-06	3.06E-04	1.44
JOSD1	9929	3.92E-08	1.27E-05	1.39
KIAA1377	57562	7.29E-06	5.67E-04	1.37
KIF21A	55605	2.47E-08	9.15E-06	1.45
KIFAP3	22920	1.38E-05	8.55E-04	1.35
KIR2DL1	3802	6.65E-10	1.12E-06	1.84
KIR2DL2	3803	2.61E-09	2.18E-06	1.84
KIR2DL3	3804	1.93E-09	1.86E-06	1.83
KIR2DL4	3805	6.20E-09	3.58E-06	1.61
KIR2DS1	3806	1.16E-09	1.46E-06	1.79
KIR2DS2	100132285	3.34E-05	1.57E-03	1.56
KIR2DS4	3809	2.16E-10	5.68E-07	1.79
KIR2DS5	3810	6.36E-04	1.14E-02	1.34
KIR3DL1	3811	3.06E-10	7.36E-07	1.83
KIR3DL2	3812	3.92E-09	2.52E-06	1.7
KIR3DL3	115653	1.28E-08	5.83E-06	1.62
KIR3DS1	3813	1.19E-10	3.81E-07	1.89
KIR3DX1	90011	5.25E-05	2.10E-03	1.5
KLF12	11278	3.56E-08	1.20E-05	1.33
KLRB1	3820	1.87E-11	1.07E-07	1.95
KLRC1	3821	1.16E-07	2.79E-05	1.57
KLRC3	3823	1.31E-04	3.89E-03	1.65
KLRC4	8302	5.75E-04	1.06E-02	1.52
KLRD1	3824	3.53E-09	2.43E-06	1.64
KLRF1	51348	2.72E-09	2.18E-06	1.92
KLRG1	10219	1.56E-09	1.61E-06	1.4
KLRK1	22914	4.65E-07	7.56E-05	1.58
LARP4	113251	6.90E-07	9.96E-05	1.33
LGR6	59352	2.04E-04	5.23E-03	1.35
LINGO2	158038	9.00E-04	1.45E-02	1.36
LOC100128868	100128868	1.86E-07	4.08E-05	1.32
LOC85389	85389	6.98E-10	1.12E-06	2
LOC85391	85391	1.51E-15	4.36E-11	2.37
LPAL2	80350	2.24E-07	4.59E-05	1.47
LRCH1	23143	1.30E-08	5.83E-06	1.36
LTF	4057	2.25E-05	1.19E-03	1.39
MCM6	4175	1.13E-07	2.73E-05	1.34
MEX3C	51320	9.68E-09	4.90E-06	1.34
MGC24103	158295	6.79E-05	2.48E-03	1.54
MIER3	166968	8.06E-05	2.79E-03	1.31
MLC1	23209	1.98E-06	2.24E-04	1.31
MMP8	4317	3.24E-08	1.13E-05	1.87
MOP-1	643616	9.72E-13	1.40E-08	1.98
MTMR2	8898	5.82E-07	8.74E-05	1.32
MTSS1	9788	4.86E-07	7.78E-05	1.32
MYBL1	4603	5.25E-10	1.08E-06	1.95
MYO6	4646	1.83E-04	4.89E-03	1.34
NCALD	83988	2.79E-09	2.18E-06	1.46
NCAM1	4684	4.32E-09	2.55E-06	1.69
NCR1	9437	1.33E-08	5.83E-06	1.57
NCR3	259197	1.42E-05	8.64E-04	1.32
NEO1	4756	4.88E-07	7.78E-05	1.32
NFATC2	4773	2.19E-07	4.51E-05	1.36
NKG7	4818	5.58E-08	1.63E-05	1.43
NMUR1	10316	3.62E-07	6.38E-05	1.39
NPC1	4864	2.00E-07	4.22E-05	1.4
NR4A2	4929	2.22E-11	1.07E-07	2.12
OCC-1	387882	7.73E-06	5.88E-04	1.34
PARP15	165631	3.76E-07	6.50E-05	1.32
PDGFD	80310	4.92E-08	1.55E-05	1.61
PHLDB2	90102	3.98E-07	6.75E-05	1.36
PIGK	10026	5.91E-05	2.27E-03	1.31
PIK3R1	5295	9.09E-08	2.31E-05	1.36
PION	54103	6.81E-07	9.88E-05	1.41
PLEKHA1	59338	1.46E-08	6.31E-06	1.39
PPM1L	151742	4.10E-07	6.90E-05	1.44
PPP2R2B	5521	1.03E-07	2.57E-05	1.35
PRF1	5551	3.53E-08	1.20E-05	1.66
PRKACB	5567	3.98E-06	3.66E-04	1.4
PRKCH	5583	7.21E-09	3.85E-06	1.37
PRKCQ	5588	1.74E-07	3.89E-05	1.31
PRSS23	11098	9.39E-05	3.11E-03	1.36
PTCH1	5727	8.66E-06	6.40E-04	1.35
PTGDR	5729	1.52E-09	1.61E-06	1.59
PTGER2	5732	1.18E-07	2.79E-05	1.34
PTPN22	26191	8.84E-08	2.30E-05	1.52
PTPN4	5775	4.41E-07	7.27E-05	1.31
PYHIN1	149628	1.05E-09	1.38E-06	1.51
RAP2A	5911	2.07E-07	4.33E-05	1.34
RASGEF1B	153020	5.34E-08	1.59E-05	1.42
RGS9	8787	3.86E-06	3.59E-04	1.38
RHOBTB3	22836	5.13E-08	1.59E-05	1.43
RNF125	54941	5.98E-10	1.12E-06	1.4
RNF165	494470	3.97E-05	1.75E-03	1.34
RNU2-1	6066	3.22E-03	3.54E-02	1.45
RNU4-1	26835	1.24E-03	1.80E-02	1.34
RNU4-2	26834	9.88E-05	3.18E-03	1.89
RNU5E	26829	3.78E-06	3.53E-04	1.78
RORA	6095	1.07E-08	5.26E-06	1.34
RPL9	6133	3.44E-03	3.70E-02	1.42
RPS27	6232	4.11E-03	4.20E-02	1.33
RPS29	6235	3.36E-05	1.58E-03	1.35
RPS3A	6189	5.01E-03	4.82E-02	1.34
SAMD3	154075	3.09E-08	1.09E-05	1.54
SC5DL	6309	4.97E-05	2.03E-03	1.34
SCARNA10	692148	6.95E-06	5.48E-04	1.71
SCARNA13	677768	1.35E-03	1.92E-02	1.31
SCARNA5	677775	5.07E-06	4.33E-04	1.4
SCARNA6	677772	9.94E-06	7.02E-04	1.49
SCARNA7	677767	2.28E-04	5.66E-03	1.4
SH2D1A	4068	1.77E-05	1.02E-03	1.42
SH2D1B	117157	2.88E-12	2.77E-08	2
SH2D2A	9047	1.93E-07	4.17E-05	1.47
SLA2	84174	1.23E-06	1.58E-04	1.41
SLAMF6	114836	2.13E-06	2.35E-04	1.35
SLAMF7	57823	4.21E-08	1.35E-05	1.51
SLC20A1	6574	7.02E-09	3.82E-06	1.32
SLC25A30	253512	1.55E-06	1.86E-04	1.41
SLC35D1	23169	2.31E-06	2.48E-04	1.38
SLC4A10	57282	5.30E-07	8.22E-05	1.37
SLC4A4	8671	1.06E-05	7.29E-04	1.47
SLFN12L	342615	3.48E-06	3.35E-04	1.3
SLFN13	146857	2.70E-06	2.79E-04	1.42
SNORA1	677792	4.45E-06	4.00E-04	1.5
SNORA14A	677801	1.97E-04	5.13E-03	1.39
SNORA20	677806	1.56E-07	3.55E-05	2.21
SNORA21	619505	4.68E-05	1.95E-03	1.41
SNORA22	677807	2.70E-07	5.28E-05	1.62
SNORA23	677808	5.74E-05	2.22E-03	1.72
SNORA24	677809	2.15E-06	2.35E-04	1.51
SNORA28	677811	5.20E-05	2.09E-03	1.34
SNORA29	677812	3.79E-06	3.53E-04	1.49
SNORA3	619562	2.90E-04	6.60E-03	1.38
SNORA4	619568	6.32E-06	5.09E-04	1.54
SNORA40	677822	1.10E-05	7.34E-04	1.39
SNORA49	677829	2.02E-05	1.11E-03	1.57
SNORA61	677838	5.08E-07	7.97E-05	1.5
SNORA68	26780	2.01E-05	1.10E-03	1.49
SNORA8	654320	2.58E-07	5.13E-05	1.43
SNORD104	692227	4.06E-04	8.35E-03	1.38
SNORD15B	114599	9.81E-05	3.18E-03	1.45
SNORD26	9302	2.08E-06	2.31E-04	1.42
SNORD28	9300	4.64E-06	4.11E-04	1.53
SNORD29	9297	2.44E-04	5.88E-03	1.38
SNORD32A	26819	1.37E-04	4.01E-03	1.36
SNORD34	26817	1.63E-06	1.94E-04	1.46
SNORD35A	26816	9.80E-07	1.32E-04	1.33
SNORD41	26810	5.70E-06	4.73E-04	1.45
SNORD46	94161	2.47E-05	1.27E-03	1.37
SNORD49A	26800	4.97E-06	4.32E-04	1.39
SNORD4B	26772	5.35E-07	8.25E-05	1.51
SNORD5	692072	5.86E-07	8.77E-05	1.41
SNORD50A	26799	3.06E-03	3.43E-02	1.38
SNORD54	26795	1.59E-04	4.42E-03	1.37
SNORD57	26792	6.55E-06	5.20E-04	1.31
SNORD58A	26791	4.86E-05	2.00E-03	1.47
SNORD6	692075	1.50E-05	9.02E-04	1.31
SNORD60	26788	3.70E-06	3.48E-04	1.59
SNORD61	26787	2.42E-04	5.88E-03	1.32
SNORD63	26785	4.38E-06	3.95E-04	1.38
SNORD68	606500	4.87E-04	9.42E-03	1.32
SNORD74	619498	2.98E-07	5.67E-05	1.36
SNORD76	692196	1.01E-03	1.58E-02	1.41
SNORD78	692198	1.36E-03	1.93E-02	1.33
SNORD8	319103	5.67E-05	2.22E-03	1.44
SNORD80	26774	1.32E-03	1.88E-02	1.39
SNORD82	25826	1.47E-04	4.18E-03	1.47
SNORD94	692225	1.51E-04	4.25E-03	1.49
SNRPN	6638	3.96E-03	4.09E-02	1.4
SPN	6693	3.90E-06	3.61E-04	1.34
SPON2	10417	3.38E-07	6.11E-05	1.61
ST8SIA6	338596	1.34E-06	1.67E-04	1.67
STARD4	134429	2.43E-06	2.57E-04	1.36
STAT4	6775	6.59E-09	3.73E-06	1.42
STK39	27347	1.57E-07	3.55E-05	1.33
SYNE1	23345	2.64E-06	2.74E-04	1.36
SYT11	23208	5.05E-07	7.97E-05	1.37
SYTL2	54843	7.16E-08	1.98E-05	1.56
SYTL3	94120	2.54E-08	9.30E-06	1.39
TARP	445347	1.54E-08	6.49E-06	1.58
TBC1D19	55296	4.82E-06	4.23E-04	1.31
TBX21	30009	1.18E-07	2.79E-05	1.33
TERF1	7013	8.79E-05	2.96E-03	1.32
TFDP2	7029	5.42E-07	8.33E-05	1.45
TGFBR3	7049	1.46E-09	1.61E-06	1.67
TIGIT	201633	3.17E-07	5.91E-05	1.42
TIPARP	25976	2.95E-07	5.65E-05	1.32
TKTL1	8277	1.31E-06	1.65E-04	1.38
TLE1	7088	2.40E-06	2.56E-04	1.33
TLR3	7098	4.50E-05	1.91E-03	1.32
TM4SF19	116211	5.75E-04	1.06E-02	1.4
TMEM156	80008	1.21E-06	1.56E-04	1.38
TNFAIP3	7128	6.18E-07	9.14E-05	1.47
TOX	9760	2.08E-08	8.45E-06	1.44
TPT1	7178	1.05E-05	7.29E-04	1.33
TRGV7	6981	3.17E-09	2.34E-06	1.49
TRGV9	6983	6.07E-06	4.93E-04	1.53
TSPYL1	7259	3.36E-06	3.28E-04	1.4
TTC38	55020	2.52E-07	5.05E-05	1.33
TXK	7294	2.79E-08	9.95E-06	1.38
UCHL5	51377	7.59E-07	1.08E-04	1.31
USP28	57646	8.59E-10	1.24E-06	1.51
WDR67	93594	7.46E-07	1.07E-04	1.34
YES1	7525	3.22E-05	1.53E-03	1.36
YPEL1	29799	1.36E-09	1.61E-06	1.42
ZBTB38	253461	7.25E-08	1.98E-05	1.33
ZNF600	162966	3.41E-07	6.12E-05	1.33
ZNF721	170960	9.08E-04	1.46E-02	1.31
ZNF841	284371	1.06E-05	7.30E-04	1.31
ZNF91	7644	2.36E-04	5.80E-03	1.36
