Gene Symbol	Probeset ID	p-value	Fold-Change
KIAA0644	205151_s_at	1.61E-08	-3.48831
LOC649305	1568780_at	0.000158401	-3.48865
TFPI	213258_at	4.66E-07	-3.53174
HKDC1	220585_at	8.61E-05	-3.63227
LOC283352	1569454_a_at	3.40E-05	-3.68227
RFTN1	212646_at	0.000318251	-3.72943
GAL3ST1	205670_at	1.43E-06	-3.73638
WNT16	224022_x_at	9.42E-13	-3.76927
ELAVL4	206051_at	1.93E-13	-3.77398
TSPYL5	213122_at	0.00026392	-3.78297
EDN3	217154_s_at	6.85E-06	-3.81224
ITPR1	203710_at	6.72E-06	-3.81567
MCC	226225_at	0.000466376	-3.81897
PXDN	212013_at	9.85E-05	-3.86312
EOMES	231776_at	0.000401781	-3.86945
CCRL1	220351_at	1.13E-05	-3.87923
LONRF1	226038_at	0.000120423	-3.91133
PXDN	212012_at	6.59E-05	-3.93082
TGFB2	209909_s_at	8.48E-07	-3.9928
SOX9	202936_s_at	0.000268368	-4.00089
TFPI	210664_s_at	6.28E-10	-4.00258
SOX11	204913_s_at	4.14E-09	-4.02626
GAGE3	207663_x_at	0.000412958	-4.09203
UBE2E2	225651_at	2.69E-06	-4.13352
KCNT2	244455_at	2.79E-11	-4.14224
LOC148824	232452_at	6.03E-08	-4.26872
KIAA0644	205150_s_at	2.72E-08	-4.2916
C1orf115	218546_at	0.000471815	-4.32558
GAP43	204471_at	0.00013629	-4.39683
GIMAP2	232024_at	0.000127107	-4.41908
	233858_at	3.27E-05	-4.42363
CYBA	203028_s_at	1.50E-06	-4.52451
TDRD3	208089_s_at	0.000344358	-4.54026
	205728_at	0.000305817	-4.57493
LOC728084	1559595_at	2.79E-07	-4.58755
TBX3	225544_at	0.000118693	-4.59722
PDE1A	208396_s_at	2.49E-08	-4.6821
TCN1	205513_at	0.000509169	-4.76899
SOX11	204915_s_at	6.62E-08	-4.83332
C1QTNF5 /// MFRP	223499_at	0.000244824	-4.89774
ANGPTL7	206423_at	1.40E-05	-4.93943
	241299_at	1.60E-08	-4.97115
PROS1	207808_s_at	1.98E-06	-4.99135
SERPINB1	213572_s_at	2.04E-06	-4.99292
FAM5C	217562_at	1.14E-15	-4.9945
RBPMS	207836_s_at	3.49E-06	-5.01954
KIF5C	203129_s_at	1.84E-08	-5.06863
C21orf7	221211_s_at	5.52E-07	-5.11332
SOX11	204914_s_at	1.08E-08	-5.14261
ADAMTS1	222486_s_at	3.60E-08	-5.19758
SETD6	1554555_a_at	5.35E-08	-5.21933
	243339_at	2.54E-06	-5.27904
RBPMS	209488_s_at	4.96E-05	-5.48076
OLFML1	217525_at	0.000357441	-5.49118
C6orf114	1554486_a_at	6.71E-06	-5.57977
TGFB2	228121_at	3.25E-05	-5.60203
PRRG4	238513_at	0.000173135	-5.6919
BRD7P3	1569960_at	1.91E-09	-5.69334
	236277_at	6.17E-09	-5.72436
ADAMTS1	222162_s_at	1.94E-09	-6.11982
PCLO	210650_s_at	0.000381398	-6.27502
HNMT	211732_x_at	5.93E-06	-6.32528
	1561029_at	2.92E-18	-6.36941
SLC26A4	206529_x_at	1.98E-05	-6.62906
IQGAP2	203474_at	9.57E-05	-6.63021
TBX3	229576_s_at	0.000207354	-6.8348
NPFFR2	224169_at	1.34E-10	-6.86262
GPX3	201348_at	0.000429053	-6.98089
PLN	228202_at	2.51E-07	-6.99656
PNLIPRP3	1558846_at	4.83E-07	-7.14822
PLN	204939_s_at	1.36E-05	-7.24193
PLN	204940_at	2.71E-06	-7.24741
HPSE	219403_s_at	6.18E-05	-7.32176
PLN	204938_s_at	3.35E-05	-7.63438
PRRG4	207291_at	1.57E-07	-7.79203
FOXP2	235201_at	4.60E-06	-7.93761
VAT1L	226415_at	6.12E-10	-8.02013
KYNU	217388_s_at	0.000161188	-8.2384
HNMT	204112_s_at	9.75E-06	-8.27208
PAGE1	206897_at	9.51E-15	-8.5823
RBPMS	209487_at	5.45E-08	-9.43112
VCAM1	203868_s_at	2.19E-06	-9.715
XG	1554062_at	7.05E-05	-9.76287
GNAS	217057_s_at	6.28E-07	-9.90094
FOXP2	243278_at	1.21E-07	-10.1188
NLGN4X	221933_at	4.52E-07	-10.4705
TBX3	219682_s_at	0.000171006	-11.3995
PHLDB2	225688_s_at	6.06E-06	-11.4879
CFH	213800_at	6.96E-09	-12.3802
CCND2	200953_s_at	2.68E-05	-12.6435
FMN2	223618_at	1.83E-05	-13.9405
FMN2	1555471_a_at	2.74E-05	-14.1995
CFH /// CFHR1	215388_s_at	2.45E-11	-16.4176
IFI27	202411_at	5.24E-07	-19.7893
KIF5C	203130_s_at	8.73E-08	-21.5015
HTN1	206639_x_at	5.19E-07	-24.007
SPARCL1	200795_at	3.08E-09	-24.6484
F2RL2	230147_at	9.39E-05	-27.094
MMP1	204475_at	3.98E-08	-37.2777
HTN3	206786_at	4.37E-09	-78.442
