# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|AK012104|12974	mgi_symbol|Cs|Cs
entrezgene|AK006371|18113	mgi_symbol|Nnmt|Nnmt
refseq_dna|NM_007817|NM_007817	mgi_symbol|Cyp2f2|Cyp2f2
entrezgene|BC010197|12876	mgi_symbol|Cpe|Cpe
refseq_dna|NM_008872|NM_008872	mgi_symbol|Plat|Plat
refseq_dna|NM_011909|NM_011909	mgi_symbol|Usp18|Usp18
entrezgene|BC003851|76560	mgi_symbol|Prss8|Prss8
refseq_dna|NM_007585|NM_007585	mgi_symbol|Anxa2|Anxa2
refseq_dna|NM_019447|NM_019447	mgi_symbol|Hgfac|Hgfac
refseq_dna|NM_009175|NM_009175	mgi_symbol|Siat1|Siat1
entrezgene|AK014346|68054	mgi_symbol|Serpina12|Serpina12
entrezgene|BC021747|353172	mgi_symbol|Gars|Gars
refseq_dna|NM_015786|NM_015786	mgi_symbol|Hist1h1c|Hist1h1c
embl|AV303002|AV303002	mgi_symbol|Nupl1|Nupl1
refseq_dna|NM_026539|NM_026539	mgi_symbol|Chd1l|Chd1l
refseq_dna|NM_007607|NM_007607	mgi_symbol|Car4|Car4
refseq_dna|NM_009801|NM_009801	mgi_symbol|Car2|Car2
entrezgene|BC027279|233016	mgi_symbol|Blvrb|Blvrb
refseq_dna|NM_007437|NM_007437	mgi_symbol|Aldh3a2|Aldh3a2
entrezgene|BC020001|72535	mgi_symbol|Aldh1b1|Aldh1b1
refseq_dna|NM_009647|NM_009647	mgi_symbol|Ak4|Ak4
entrezgene|BB367779|14402	mgi_symbol|Gabrb3|Gabrb3
refseq_dna|NM_013869|NM_013869	mgi_symbol|Tnfrsf19|Tnfrsf19
refseq_dna|NM_016847|NM_016847	mgi_symbol|Avpr1a|Avpr1a
entrezgene|AF435926|110789	mgi_symbol|Mass1|Mass1
refseq_dna|NM_013464|NM_013464	mgi_symbol|Ahr|Ahr
entrezgene|AW558468|230103	mgi_symbol|Npr2|Npr2
entrezgene|BB751088|14160	mgi_symbol|Gpr49|Gpr49
entrezgene|AF321301|116701	mgi_symbol|Fgfrl1|Fgfrl1
entrezgene|AK018789|18212	mgi_symbol|Ntrk2|Ntrk2
refseq_dna|NM_011082|NM_011082	mgi_symbol|Pigr|Pigr
entrezgene|BC020038|71690	mgi_symbol|Esm1|Esm1
refseq_dna|NM_018884|NM_018884
entrezgene|AF068182|17060	mgi_symbol|Blnk|Blnk
entrezgene|AW986246|17161	mgi_symbol|Maoa|Maoa
refseq_dna|NM_008587|NM_008587	mgi_symbol|Mertk|Mertk
entrezgene|BC003487|53357	mgi_symbol|Pla2g6|Pla2g6
refseq_dna|NM_019671|NM_019671	mgi_symbol|Net1|Net1
refseq_dna|NM_019688|NM_019688	mgi_symbol|Cgef2-pending|Cgef2-pending
refseq_dna|NM_026268|NM_026268	mgi_symbol|Dusp6|Dusp6
entrezgene|BC019491|30924	mgi_symbol|Angptl3|Angptl3
refseq_dna|NM_013655|NM_013655	mgi_symbol|Cxcl12|Cxcl12
refseq_dna|NM_025658|NM_025658	mgi_symbol|Ms4a4d|Ms4a4d
entrezgene|AF128196|20308	mgi_symbol|Ccl9|Ccl9
entrezgene|AF440694|16000	mgi_symbol|Igf1|Igf1
refseq_dna|NM_008176|NM_008176	mgi_symbol|Cxcl1|Cxcl1
refseq_dna|NM_009016|NM_009016	mgi_symbol|Raet1a|Raet1a
refseq_dna|NM_009263|NM_009263	mgi_symbol|Spp1|Spp1
refseq_dna|NM_027280|NM_027280	mgi_symbol|Nkd1|Nkd1
entrezgene|BC004048|24117	mgi_symbol|Wif1|Wif1
entrezgene|BB398993|12006	mgi_symbol|Axin2|Axin2
entrezgene|AU035920|18099	mgi_symbol|Nlk|Nlk
entrezgene|AY061807|75600	mgi_symbol|Calml4|Calml4
entrezgene|AB061524|53901	mgi_symbol|Dscr1l1|Dscr1l1
entrezgene|BC021916|20195	mgi_symbol|S100a11|S100a11
embl|Transcriptional regulators|Transcriptionalregulators
entrezgene|AV025472|23849	mgi_symbol|Copeb|Copeb
embl|Cell division|Celldivision	embl|differentiation|differentiation	embl|apoptosis|apoptosis
refseq_dna|NM_009052|NM_009052	mgi_symbol|Rex3|Rex3
refseq_dna|NM_009770|NM_009770	mgi_symbol|Btg3|Btg3
entrezgene|BC010403|19165	mgi_symbol|Psen2|Psen2
refseq_dna|NM_008059|NM_008059	mgi_symbol|G0s2|G0s2
entrezgene|BC003475|22151	mgi_symbol|Tubb2|Tubb2
entrezgene|BC010581|16765	mgi_symbol|Stmn1|Stmn1
entrezgene|AV224521|227753	mgi_symbol|Gsn|Gsn
entrezgene|BC027056|212307	mgi_symbol|Mapre2|Mapre2
entrezgene|BC007140|14114	mgi_symbol|Fbln1|Fbln1
entrezgene|BC023060|216616	mgi_symbol|Efemp1|Efemp1
entrezgene|BC021946|234199	mgi_symbol|Fgl1|Fgl1
refseq_dna|NM_023160|NM_023160	mgi_symbol|Cml1|Cml1
refseq_dna|NM_007833|NM_007833	mgi_symbol|Dcn|Dcn
refseq_dna|NM_021319|NM_021319	mgi_symbol|Pglyrpl-pending|Pglyrpl-pending
refseq_dna|NM_007423|NM_007423	mgi_symbol|Afp|Afp
refseq_dna|NM_021375|NM_021375	mgi_symbol|Rhbg|Rhbg
entrezgene|U75372|20511	mgi_symbol|Slc1a2|Slc1a2
entrezgene|AI152800|18164	mgi_symbol|Nptx1|Nptx1
refseq_dna|NM_011395|NM_011395	mgi_symbol|Slc22a3|Slc22a3
refseq_dna|NM_054055|NM_054055	mgi_symbol|Slc13a3|Slc13a3
refseq_dna|NM_011391|NM_011391	mgi_symbol|Slc16a7|Slc16a7
entrezgene|BB277461|55963	mgi_symbol|Slc1a4|Slc1a4
refseq_dna|NM_009205|NM_009205	mgi_symbol|Slc3a1|Slc3a1
entrezgene|AK004616|24059	mgi_symbol|Slc21a2|Slc21a2
entrezgene|BC005743|14057	mgi_symbol|Sfxn1|Sfxn1
refseq_dna|NM_010742|NM_010742	mgi_symbol|Ly6d|Ly6d
refseq_dna|NM_010740|NM_010740	mgi_symbol|C1qr1|C1qr1
entrezgene|BC026782|545366	mgi_symbol|Cfh|Cfh
embl|M29881|M29881	mgi_symbol|H2-Q7|H2-Q7
refseq_dna|NM_013485|NM_013485	mgi_symbol|C9|C9
refseq_dna|NM_008935|NM_008935	mgi_symbol|Prom1|Prom1
refseq_dna|NM_007792|NM_007792	mgi_symbol|Csrp2|Csrp2
entrezgene|BC016215|229595	mgi_symbol|Tsrc1|Tsrc1
refseq_dna|NM_019686|NM_019686	mgi_symbol|Kip2-pending|Kip2-pending
embl|AV174022|AV174022	mgi_symbol|Kap|Kap
refseq_dna|NM_026768|NM_026768	mgi_symbol|Mrps18a|Mrps18a
refseq_dna|NM_019999|NM_019999	mgi_symbol|Brp17|Brp17
refseq_dna|NM_032541|NM_032541	mgi_symbol|Hamp|Hamp
entrezgene|AF442824|229759	mgi_symbol|Olfm3|Olfm3
entrezgene|BM119226|17263	mgi_symbol|Gtl2|Gtl2
embl|BB271021|BB271021	mgi_symbol|AB023957|AB023957
entrezgene|BC023470|98952	mgi_symbol|C230093N12Rik|C230093N12Rik
entrezgene|AK009207|76429	mgi_symbol|2310007H09Rik|2310007H09Rik
embl|BB093563|BB093563	mgi_symbol|Gtl2|Gtl2
entrezgene|AA543734|21386	mgi_symbol|D5Ertd189e|D5Ertd189e
entrezgene|BG063148|102371
entrezgene|BC027159|217410	mgi_symbol|AW319517|AW319517
entrezgene|BG963358|227620	mgi_symbol|5730445F03Rik|5730445F03Rik
entrezgene|BC018484|218820	mgi_symbol|B830002A16Rik|B830002A16Rik
entrezgene|AV291259|74182	mgi_symbol|2310032D16Rik|2310032D16Rik
entrezgene|BC004781|207742	mgi_symbol|4732452J19Rik|4732452J19Rik
entrezgene|BC011325|76650	mgi_symbol|1700127B04Rik|1700127B04Rik
entrezgene|AK008856|78255	mgi_symbol|2210408F11Rik|2210408F11Rik
refseq_dna|NM_025703|NM_025703	mgi_symbol|3930402F23Rik|3930402F23Rik
entrezgene|BB514333|76524
entrezgene|AI845177|98660
refseq_dna|NM_133237|NM_133237	mgi_symbol|AB023957|AB023957
entrezgene|AK014408|74315	mgi_symbol|3732413I11Rik|3732413I11Rik
embl|BB178770|BB178770	mgi_symbol|6330583M11Rik|6330583M11Rik
entrezgene|BQ174328|52250	mgi_symbol|D6Ertd253e|D6Ertd253e
entrezgene|BC021951|69861	mgi_symbol|2010003K11Rik|2010003K11Rik
embl|AW536702|AW536702	mgi_symbol|1700058O05Rik|1700058O05Rik
entrezgene|BC016562|69068	mgi_symbol|1810011O10Rik|1810011O10Rik
entrezgene|BF531708|104910	mgi_symbol|AI876593|AI876593
entrezgene|BG070689|110959	mgi_symbol|D7Rp2e|D7Rp2e
entrezgene|AF000969|320405	mgi_symbol|A230044C21Rik|A230044C21Rik
entrezgene|BC021842|96935	mgi_symbol|E430021N18Rik|E430021N18Rik
entrezgene|AV059397|74008	mgi_symbol|6330406P08Rik|6330406P08Rik
entrezgene|BC022133|243537	mgi_symbol|BC022133|BC022133
entrezgene|AV006463|66107	mgi_symbol|1100001G20Rik|1100001G20Rik
entrezgene|AV027632|18703
entrezgene|AV239350|227231	mgi_symbol|4732433M03|4732433M03
entrezgene|AK005066|71761	mgi_symbol|1300019J08Rik|1300019J08Rik
entrezgene|AW111083|226654
