Oligo_id	Entrez gene	Gene Symbol (Clone|gene ID converter)	Description (Clone|gene ID converter)	description	chromosome	RefSeq	gene_id	transcript_id	logFC	AveExpr	t	P.Value	adj.P.Value
H200011350	7083	TK1	Thymidine kinase 1, soluble	Thymidine kinase, cytosolic (EC 2.7.1.21). [Source:Uniprot/SWISSPROT;Acc:P04183]	17	NM_003258	ENSG00000167900	ENST00000301634	0.5017146	7.237932	4.731124	5.00E-06	0.000363854
H200006072	6241	RRM2	Ribonucleotide reductase M2 polypeptide	Ribonucleoside-diphosphate reductase M2 chain (EC 1.17.4.1) (Ribonucleotide reductase small chain). [Source:Uniprot/SWISSPROT;Acc:P31350]	2	NM_001034	ENSG00000171848	ENST00000304567	0.4862365	6.281649	5.053064	1.21E-06	0.0001305
H200011551	29128	UHRF1	Ubiquitin-like, containing PHD and RING finger domains, 1	ubiquitin-like, containing PHD and RING finger domains, 1; transcription factor ICBP90 [Homo sapiens]. [Source:RefSeq;Acc:NM_013282]	19	NM_013282	ENSG00000034063	ENST00000262952	0.4838566	6.090915	6.131239	6.97E-09	5.50E-06
H200007118	10809	STARD10	StAR-related lipid transfer (START) domain containing 10	PCTP-like protein (PCTP-L) (StAR-related lipid transfer protein 10) (StARD10) (START domain-containing protein 10) (CGI-52) (Serologically defined colon cancer antigen 28) (Antigen NY-CO-28). [Source:Uniprot/SWISSPROT;Acc:Q9Y365]	11	NM_006645	ENSG00000186712	ENST00000355507, ENST00000334805	0.4809395	8.147251	3.906358	0.000139701	0.003843725
H200006697	25803	SPDEF	SAM pointed domain containing ets transcription factor	SAM pointed domain containing ets transcription factor; prostate epithelium-specific Ets transcription factor [Homo sapiens]. [Source:RefSeq;Acc:NM_012391]	6	NM_012391	ENSG00000124664	ENST00000323803	0.4800988	6.604969	5.946902	1.76E-08	8.04E-06
H200013649	114822	RHPN1	Rhophilin, Rho GTPase binding protein 1	Rhophilin 1. [Source:Uniprot/SWISSPROT;Acc:Q8TCX5]	8	-	ENSG00000158106	ENST00000289013	0.4781691	6.77586	4.74818	4.64E-06	0.000363854
H200003654	55723	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	ASF1 anti-silencing function 1 homolog B; anti-silencing function 1B; CCG1-interacting factor A-II [Homo sapiens]. [Source:RefSeq;Acc:NM_018154]	19	NM_018154	ENSG00000105011	ENST00000263382	0.4677525	6.064644	5.913055	2.08E-08	8.04E-06
H200010277	7940	LST1	Leukocyte specific transcript 1	Leukocyte specific transcript 1 protein (B144 protein). [Source:Uniprot/SWISSPROT;Acc:O00453]	6	NM_205838,NM_205840,NM_205837,NM_205839,NM_007161	ENSG00000096224	ENST00000342999, ENST00000339530, ENST00000211921, ENST00000357458, ENST00000303757	0.4674432	9.467666	2.872632	0.004642973	0.04499613
H200010201	2886	GRB7	Growth factor receptor-bound protein 7	Growth factor receptor-bound protein 7 (GRB7 adapter protein) (Epidermal growth factor receptor GRB-7) (B47). [Source:Uniprot/SWISSPROT;Acc:Q14451]	17	NM_005310	ENSG00000141738	ENST00000309185, ENST00000309156	0.4671743	6.006972	4.735366	4.91E-06	0.000363854
H200002789	55876	GSDML	Gasdermin-like	gasdermin-like [Homo sapiens]. [Source:RefSeq;Acc:NM_018530]	17	NM_018530	ENSG00000073605	ENST00000360317, ENST00000354894, ENST00000309481	0.4593161	6.206049	4.501713	1.32E-05	0.000664473
H200008454	9212	AURKB	Aurora kinase B	Serine/threonine-protein kinase 12 (EC 2.7.1.37) (Aurora- and Ipl1- like midbody-associated protein 1) (AIM-1) (Aurora/IPL1-related kinase 2) (Aurora-related kinase 2) (STK-1) (Aurora-B). [Source:Uniprot/SWISSPROT;Acc:Q96GD4]	17	NM_004217	ENSG00000178999	ENST00000316199	0.4567523	6.194766	5.850105	2.83E-08	8.04E-06
H200007639	2264	FGFR4	Fibroblast growth factor receptor 4	Fibroblast growth factor receptor 4 precursor (EC 2.7.1.112) (FGFR-4). [Source:Uniprot/SWISSPROT;Acc:P22455]	5	NM_002011,NM_022963,NM_213647	ENSG00000160867	ENST00000292408, ENST00000292410	0.4532096	6.241608	4.425831	1.81E-05	0.000863659
H200012371	8912	CACNA1H	Calcium channel, voltage-dependent, T type, alpha 1H subunit	Voltage-dependent T-type calcium channel alpha-1H subunit (Voltage- gated calcium channel alpha subunit Cav3.2) (Low-voltage-activated calcium channel alpha1 3.2 subunit). [Source:Uniprot/SWISSPROT;Acc:O95180]	16	NM_001005407,NM_021098	ENSG00000196557	ENST00000358590, ENST00000356546	0.4527208	5.99489	4.060804	7.75E-05	0.002445589
H200008199	27338	UBE2S	Ubiquitin-conjugating enzyme E2S	Ubiquitin-conjugating enzyme E2S (EC 6.3.2.19) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-protein ligase) (Ubiquitin carrier protein) (E2-EPF5). [Source:Uniprot/SWISSPROT;Acc:Q16763]	19	NM_014501,XM_496186	ENSG00000108106, ENSG00000175091	ENST00000264552, ENST00000311926	0.4484266	7.121135	4.656732	6.87E-06	0.000428073
H200010558	11065	UBE2C	Ubiquitin-conjugating enzyme E2C	Ubiquitin-conjugating enzyme E2 C (EC 6.3.2.19) (Ubiquitin-protein ligase C) (Ubiquitin carrier protein C) (UbcH10). [Source:Uniprot/SWISSPROT;Acc:O00762]	20	NM_181803,NM_181801,NM_181800,NM_181799,NM_181802,NM_007019	ENSG00000175063	ENST00000243893, ENST00000343198, ENST00000335046, ENST00000352551, ENST00000356455	0.4465121	6.695092	5.392807	2.55E-07	4.64E-05
H200000653	1917	EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Elongation factor 1 A-2) (eEF1A-2) (Statin S1). [Source:Uniprot/SWISSPROT;Acc:Q05639]	20	NM_001958	ENSG00000101210	ENST00000217182	0.4396257	5.866096	5.320602	3.57E-07	6.04E-05
H200007911	5863	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like factor) (RAS-associated protein RAB2L). [Source:Uniprot/SWISSPROT;Acc:O15211]	6	NM_004761	ENSG00000056687	ENST00000323053, ENST00000323073, ENST00000299851	0.4361968	7.38257	4.727704	5.07E-06	0.000363854
H200008594	83451	ABHD11	Abhydrolase domain containing 11	Williams Beuren syndrome chromosome region 21 isoform 1 [Homo sapiens]. [Source:RefSeq;Acc:NM_148912]	7	NM_148913,NM_148915,NM_031295,NM_148912	ENSG00000106077	ENST00000222800	0.4328454	6.388367	5.843915	2.92E-08	8.04E-06
H200001048	1364	CLDN4	Claudin 4	Claudin-4 (Clostridium perfringens enterotoxin receptor) (CPE- receptor) (CPE-R) (Williams-Beuren syndrome chromosome region 8 protein). [Source:Uniprot/SWISSPROT;Acc:O14493]	7	NM_001305	ENSG00000189143	ENST00000360691, ENST00000340958	0.4309807	7.699468	4.355946	2.40E-05	0.001045958
H200017253	5364	PLXNB1	Plexin B1	Plexin B1 precursor (Semaphorin receptor SEP). [Source:Uniprot/SWISSPROT;Acc:O43157]	3	NM_002673	ENSG00000164050	ENST00000296440, ENST00000358459	0.4282993	6.687857	4.598115	8.81E-06	0.00050863
H200003347	891	CCNB1	Cyclin B1	G2/mitotic-specific cyclin B1. [Source:Uniprot/SWISSPROT;Acc:P14635]	5	NM_031966	ENSG00000134057	ENST00000256442	0.4279531	6.641957	4.622131	7.96E-06	0.000483093
H200005853	10112	KIF20A	Kinesin family member 20A	Kinesin family member 20A (Rabkinesin-6) (Rab6-interacting kinesin- like protein) (GG10_2). [Source:Uniprot/SWISSPROT;Acc:O95235]	5	NM_005733	ENSG00000112984	ENST00000230902	0.426312	5.867665	4.717803	5.29E-06	0.0003685
H200012276	259266	ASPM	Asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	Abnormal spindle-like microcephaly-associated protein (Abnormal spindle protein homolog) (Asp homolog). [Source:Uniprot/SWISSPROT;Acc:Q8IZT6]	1	NM_018136	ENSG00000066279	ENST00000318429, ENST00000294732	0.4252677	5.990123	4.776453	4.11E-06	0.000338071
H200001015	28969	BZW2	Basic leucine zipper and W2 domains 2	basic leucine zipper and W2 domains 2; HSPC028 protein [Homo sapiens]. [Source:RefSeq;Acc:NM_014038]	7	NM_014038	ENSG00000136261	ENST00000258761	0.422108	7.598685	4.144667	5.59E-05	0.001917163
H200012218	6319	SCD	Stearoyl-CoA desaturase (delta-9-desaturase)	Acyl-CoA desaturase (EC 1.14.19.1) (Stearoyl-CoA desaturase) (Fatty acid desaturase) (Delta(9)-desaturase). [Source:Uniprot/SWISSPROT;Acc:O00767]	10	NM_005063	ENSG00000099194	ENST00000266053	0.4208773	8.013336	3.852891	0.000170663	0.004343645
H200003671	828	CAPS	Calcyphosine	Calcyphosine. [Source:Uniprot/SWISSPROT;Acc:Q13938]	19	NM_004058	ENSG00000105519	ENST00000222125	0.4208502	6.132004	4.835594	3.18E-06	0.00028937
H200013972	4173	MCM4	Minichromosome maintenance complex component 4	DNA replication licensing factor MCM4 (CDC21 homolog) (P1-CDC21). [Source:Uniprot/SWISSPROT;Acc:P33991]	8	NM_005914,NM_182746	ENSG00000104738	ENST00000262105, ENST00000354057	0.4184175	6.87516	5.014069	1.44E-06	0.000148668
H200001767	22974	TPX2	TPX2, microtubule-associated, homolog (Xenopus laevis)	Targeting protein for Xklp2 (Restricted expression proliferation associated protein 100) (p100) (Differentially expressed in lung cells 2) (DIL-2) (Protein FLS353) (Hepatocellular carcinoma-associated antigen 519). [Source:Uniprot/SWISSPROT;Acc:Q9ULW0]	20	NM_012112	ENSG00000088325	ENST00000300403, ENST00000340513	0.4158834	6.167231	5.168502	7.19E-07	0.000100145
H200016565	79980	DSN1	DSN1, MIND kinetochore complex component, homolog (S. cerevisiae)	-	20	NM_024918	ENSG00000149636	ENST00000339439	0.4095999	6.298118	5.108786	9.43E-07	0.000117528
H200006789	1728	NQO1	NAD(P)H dehydrogenase, quinone 1	NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.99.2) (Quinone reductase 1) (QR1) (DT-diaphorase) (DTD) (Azoreductase) (Phylloquinone reductase) (Menadione reductase). [Source:Uniprot/SWISSPROT;Acc:P15559]	16	NM_000903	ENSG00000181019	ENST00000320623	0.4020408	6.952664	3.470971	0.000672373	0.01231869
H200019588	983	CDC2	Cell division cycle 2, G1 to S and G2 to M	Cell division control protein 2 homolog (EC 2.7.1.37) (p34 protein kinase) (Cyclin-dependent kinase 1) (CDK1). [Source:Uniprot/SWISSPROT;Acc:P06493]	10	NM_033379,NM_001786	ENSG00000170312	ENST00000316629, ENST00000307250	0.3946082	6.134492	4.413765	1.90E-05	0.000863659
H200001011	29089	UBE2T	Ubiquitin-conjugating enzyme E2T (putative)	-	1	NM_014176	ENSG00000077152	ENST00000171466	0.3935279	7.071253	3.972067	0.000108936	0.00318336
H200020421	29990	PILRB	Paired immunoglobin-like type 2 receptor beta	paired immunoglobulin-like type 2 receptor beta isoform b; paired immunoglobin-like receptor beta; paired immunoglobulin-like receptor beta; cell surface receptor FDFACT1; cell surface receptor FDFACT2; activating receptor PILRbeta [Homo sapiens]. [Source:RefSeq;Acc:NM_175047]	7	NM_013440,NM_178238,NM_175047	ENSG00000121716	ENST00000241094	0.3926183	7.859741	2.954794	0.003618619	0.03691927
H200007513	202	AIM1	Absent in melanoma 1	Absent in melanoma 1 protein. [Source:Uniprot/SWISSPROT;Acc:Q9Y4K1]	6	XM_166300	ENSG00000112297	ENST00000230041	0.3895993	6.347699	4.10322	6.57E-05	0.002150466
H200005758	1978	EIF4EBP1	Eukaryotic translation initiation factor 4E binding protein 1	Eukaryotic translation initiation factor 4E binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I). [Source:Uniprot/SWISSPROT;Acc:Q13541]	8	NM_004095	ENSG00000187840	ENST00000338825	0.3874846	5.828979	5.15387	7.69E-07	0.000101101
H200017074	114881	OSBPL7	Oxysterol binding protein-like 7	Oxysterol binding protein-related protein 7 (OSBP-related protein 7) (ORP-7). [Source:Uniprot/SWISSPROT;Acc:Q9BZF2]	17	NM_017731,NM_145798	ENSG00000006025	ENST00000007414, ENST00000358006	0.3866642	5.154066	3.828706	0.000186716	0.004701663
H200014659	9133	CCNB2	Cyclin B2	G2/mitotic-specific cyclin B2. [Source:Uniprot/SWISSPROT;Acc:O95067]	15	NM_004701	ENSG00000157456	ENST00000288207	0.3855713	6.326393	4.69277	5.89E-06	0.000387446
H200000302	6508	SLC4A3	Solute carrier family 4, anion exchanger, member 3	Anion exchange protein 3 (Neuronal band 3-like protein) (Cardiac/brain band 3-like protein) (CAE3/BAE3). [Source:Uniprot/SWISSPROT;Acc:P48751]	2	NM_005070,NM_201574	ENSG00000114923	ENST00000273063, ENST00000358055	0.3835635	6.247535	4.534774	1.15E-05	0.000618385
H200004003	9134	CCNE2	Cyclin E2	G1/S-Specific cyclin E2. [Source:Uniprot/SWISSPROT;Acc:O96020]	8	NM_057735,NM_004702,NM_057749	ENSG00000175305	ENST00000308108, ENST00000349537	0.3834994	6.033705	5.072384	1.11E-06	0.000125728
H200007709	2550	GABBR1	Gamma-aminobutyric acid (GABA) B receptor, 1	Gamma-aminobutyric acid type B receptor, subunit 1 precursor (GABA-B receptor 1) (GABA-B-R1) (Gb1). [Source:Uniprot/SWISSPROT;Acc:Q9UBS5]	6	NM_001470,NM_021904,NM_021903,NM_021905	ENSG00000197402	ENST00000350008, ENST00000306809, ENST00000321269	0.3826218	6.934047	3.212959	0.00159889	0.02150326
H200012382	51512	GTSE1	G-2 and S-phase expressed 1	G2 and S phase expressed protein 1 (B99 homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NYZ3]	22	NM_016426	ENSG00000075218	ENST00000160874, ENST00000362055, ENST00000361934	0.3815386	5.534201	5.631026	8.23E-08	1.70E-05
H200005673	11004	KIF2C	Kinesin family member 2C	Kinesin-like protein KIF2C (Mitotic centromere-associated kinesin) (MCAK) (Kinesin-like protein 6). [Source:Uniprot/SWISSPROT;Acc:Q99661]	1	NM_006845	ENSG00000142945	ENST00000271119	0.3811616	5.623217	5.621394	8.62E-08	1.70E-05
H200019824	55585	UBE2Q1	Ubiquitin-conjugating enzyme E2Q (putative) 1	ubiquitin-conjugating enzyme E2Q [Homo sapiens]. [Source:RefSeq;Acc:NM_017582]	1	NM_017582	ENSG00000160714	ENST00000292211	0.3793374	9.055531	3.140738	0.002019589	0.02542749
H200012996	9498	SLC4A8	Solute carrier family 4, sodium bicarbonate cotransporter, member 8	solute carrier family 4, sodium bicarbonate cotransporter, member 8 [Homo sapiens]. [Source:RefSeq;Acc:NM_004858]	12	NM_004858	ENSG00000050438	ENST00000319957, ENST00000358657	0.3785451	5.699295	4.046509	8.19E-05	0.00252193
H200013969	26039	SS18L1	Synovial sarcoma translocation gene on chromosome 18-like 1	SS18-like protein 1 (SYT homolog-1). [Source:Uniprot/SWISSPROT;Acc:O75177]	20	NM_015558,NM_198935	ENSG00000184402	ENST00000216863, ENST00000331758	0.3754048	6.805021	4.307217	2.93E-05	0.00115459
H200002675	57674	RNF213	Ring finger protein 213	-	17	NM_020914	ENSG00000173821	ENST00000336301	0.3707986	7.188314	4.159212	5.28E-05	0.001837267
H200017483	24137	KIF4A	Kinesin family member 4A	Chromosome-associated kinesin KIF4A (Chromokinesin). [Source:Uniprot/SWISSPROT;Acc:O95239]	X	NM_012310	ENSG00000090889	ENST00000342402	0.3705954	5.600571	5.211782	5.90E-07	8.73E-05
H200018198	81031	SLC2A10	Solute carrier family 2 (facilitated glucose transporter), member 10	Solute carrier family 2, facilitated glucose transporter, member 10 (Glucose transporter type 10). [Source:Uniprot/SWISSPROT;Acc:O95528]	20	NM_030777	ENSG00000197496	ENST00000359271	0.3689238	7.336166	3.38771	0.000894025	0.01431208
H200004242	51477	ISYNA1	Myo-inositol 1-phosphate synthase A1	myo-inositol 1-phosphate synthase A1 [Homo sapiens]. [Source:RefSeq;Acc:NM_016368]	19	NM_016368	ENSG00000105655	ENST00000357050, ENST00000317018	0.36692	6.82394	4.216835	4.20E-05	0.001530419
H200006980	6402	SELL	Selectin L (lymphocyte adhesion molecule 1)	L-selectin precursor (Lymph node homing receptor) (Leukocyte adhesion molecule-1) (LAM-1) (Leukocyte surface antigen Leu-8) (TQ1) (gp90-MEL) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (CD62L). [Source:Uniprot/SWISSPROT;Acc:P14151]	1	NM_000655	ENSG00000188404	ENST00000236147	0.3594716	6.537704	4.322541	2.75E-05	0.001142432
H200004431	79682	MLF1IP	MLF1 interacting protein	MLF1 interacting protein; KSHV latent nuclear antigen interacting protein 1 [Homo sapiens]. [Source:RefSeq;Acc:NM_024629]	4	NM_024629	ENSG00000151725	ENST00000281453	0.3581268	6.022889	4.862726	2.82E-06	0.000278407
H200016221	6603	SMARCD2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin d2; mammalian chromatin remodeling complex BRG1-associated factor 60B; Swp73-like protein; chromatin remodeling complex BAF60B subunit; SWI/SNF complex 60 kDa subunit B; Rsc6p [Homo sapiens]. [Source:RefSeq;Acc:NM_003077]	17	NM_003077	ENSG00000108604	ENST00000225742, ENST00000323347	0.3577473	6.550754	4.557343	1.05E-05	0.000589422
H200003253	4355	MPP2	Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)	MAGUK p55 subfamily member 2 (MPP2 protein) (Discs, large homolog 2). [Source:Uniprot/SWISSPROT;Acc:Q14168]	17	NM_005374	ENSG00000108852	ENST00000269095, ENST00000225995	0.3550249	6.725704	2.998685	0.003160747	0.03416205
H200002604	55287	TMEM40	Transmembrane protein 40	-	3	NM_018306	ENSG00000088726	ENST00000264728, ENST00000314124	0.3507789	5.206071	5.071683	1.12E-06	0.000125728
H200007788	8942	KYNU	Kynureninase (L-kynurenine hydrolase)	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase). [Source:Uniprot/SWISSPROT;Acc:Q16719]	2	NM_003937	ENSG00000115919	ENST00000264170	0.3492928	5.74671	2.945533	0.003722695	0.03772384
H200017334	3892	KRT86	Keratin 86	Keratin, type II cuticular HB6 (Hair keratin, type II HB6) (ghHb6). [Source:Uniprot/SWISSPROT;Acc:O43790]	12	NM_002284	ENSG00000170442	ENST00000293525	0.3424858	5.438258	3.399385	0.000859275	0.01410238
H200007146	3691	ITGB4	Integrin, beta 4	Integrin beta-4 precursor (GP150) (CD104 antigen). [Source:Uniprot/SWISSPROT;Acc:P16144]	17	NM_000213,NM_001005731,NM_001005619	ENSG00000132470	ENST00000356981, ENST00000200181	0.3405506	6.72862	3.137291	0.002042027	0.02557395
H200007139	890	CCNA2	Cyclin A2	Cyclin A2 (Cyclin A). [Source:Uniprot/SWISSPROT;Acc:P20248]	4	NM_001237	ENSG00000145386	ENST00000274026	0.3379322	5.79113	4.77469	4.14E-06	0.000338071
H200015043	79019	CENPM	Centromere protein M	Proliferation associated nuclear element protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9NSP4]	22	NM_024053,NM_001002876	ENSG00000100162	ENST00000215980	0.337452	6.087451	3.997851	9.87E-05	0.00292195
H200014300	8140	SLC7A5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	Large neutral amino acids transporter small subunit 1 (L-type amino acid transporter 1) (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (hLAT1). [Source:Uniprot/SWISSPROT;Acc:Q01650]	16	NM_003486	ENSG00000103257	ENST00000261622	0.3348921	6.308977	2.962357	0.003535607	0.036386
H200013409	81669	CCNL2	Cyclin L2	cyclin L2 [Homo sapiens]. [Source:RefSeq;Acc:NM_030937]	1_NT_079486	NM_030937	ENSG00000116148	ENST00000248352, ENST00000344606	0.3336785	6.940175	3.322008	0.001115394	0.01692396
H200013551	27132	CPNE7	Copine VII	Copine VII. [Source:Uniprot/SWISSPROT;Acc:Q9UBL6]	16	NM_153636,NM_014427	ENSG00000178773	ENST00000319518, ENST00000268720	0.3326774	6.8052	3.114347	0.002197381	0.02613668
H200000478	5225	PGC	Progastricsin (pepsinogen C)	Gastricsin precursor (EC 3.4.23.3) (Pepsinogen C). [Source:Uniprot/SWISSPROT;Acc:P20142]	6	NM_002630	ENSG00000096088	ENST00000211310	0.3321013	6.46136	3.544432	0.000520724	0.01035759
H200013679	3693	ITGB5	Integrin, beta 5	Integrin beta-5 precursor. [Source:Uniprot/SWISSPROT;Acc:P18084]	3	NM_002213	ENSG00000082781	ENST00000296181	0.3310939	7.703443	3.464668	0.000687156	0.01240898
H200016964	55695	NSUN5	NOL1/NOP2/Sun domain family, member 5	Williams Beuren syndrome critical region 20A isoform 2; NOL1/NOP2/sun gene family member; Williams-Beuren syndrome critical region protein 20 copy A [Homo sapiens]. [Source:RefSeq;Acc:NM_018044]	7	NM_018044	ENSG00000130305	ENST00000252594	0.3305461	6.830735	3.494061	0.000620731	0.01156906
H200004862	55592	GOLGA2L1	Golgi autoantigen, golgin subfamily a, 2-like 1	-	12	NM_017600	ENSG00000120853	ENST00000266746	0.3258215	7.162624	3.381845	0.000911975	0.01448593
H200015418	79949	C10orf81	Chromosome 10 open reading frame 81	-	10	-	ENSG00000148735	ENST00000354462	0.3232528	5.612793	3.523092	0.000561084	0.01097592
H200007088	1033	CDKN3	Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	Cyclin-dependent kinase inhibitor 3 (EC 3.1.3.48) (EC 3.1.3.16) (CDK2- associated dual specificity phosphatase) (Kinase associated phosphatase) (Cyclin-dependent kinase interacting protein 2) (Cyclin- dependent kinase interactor 1). [Source:Uniprot/SWISSPROT;Acc:Q16667]	14	NM_005192	ENSG00000100526	ENST00000336129, ENST00000335183	0.3226844	6.255077	3.497302	0.000613789	0.01156906
H200015552	79957	PAQR6	Progestin and adipoQ receptor family member VI	progestin and adipoQ receptor family member VI isoform 1 [Homo sapiens]. [Source:RefSeq;Acc:NM_024897]	1	NM_198406,NM_024897	ENSG00000160781	ENST00000356983, ENST00000292291, ENST00000335852, ENST00000360733	0.3218732	6.162807	2.901387	0.004257622	0.04216649
H200007670	8646	CHRD	Chordin	Chordin precursor. [Source:Uniprot/SWISSPROT;Acc:Q9H2X0]	3	NM_003741,NM_177979,NM_177978	ENSG00000090539	ENST00000342610, ENST00000204604, ENST00000348986	0.3167414	7.48764	3.401472	0.000853198	0.01410238
H200012689	3227	HOXC11	Homeobox C11	Homeobox protein Hox-C11. [Source:Uniprot/SWISSPROT;Acc:O43248]	12	NM_014212	ENSG00000123388	ENST00000243082	0.3139104	5.457507	3.967509	0.000110843	0.00319957
H200016992	5130	PCYT1A	Phosphate cytidylyltransferase 1, choline, alpha	Choline-phosphate cytidylyltransferase A (EC 2.7.7.15) (Phosphorylcholine transferase A) (CTP:phosphocholine cytidylyltransferase A) (CT A) (CCT A) (CCT-alpha). [Source:Uniprot/SWISSPROT;Acc:P49585]	3	NM_005017	ENSG00000161217	ENST00000337783, ENST00000292823	0.3129885	6.744402	3.294339	0.001223135	0.01776172
H200011342	8507	ENC1	Ectodermal-neural cortex (with BTB-like domain)	Ectoderm-neural cortex-1 protein (ENC-1) (P53-induced protein 10) (Nuclear matrix protein NRP/B). [Source:Uniprot/SWISSPROT;Acc:O14682]	5	NM_003633	ENSG00000171617	ENST00000302351	0.3106377	7.117377	3.210371	0.00161244	0.02156296
H200012301	55521	TRIM36	Tripartite motif-containing 36	tripartite motif protein 36; zinc-binding protein Rbcc728 [Homo sapiens]. [Source:RefSeq;Acc:NM_018700]	5	NM_018700	ENSG00000152503	ENST00000282369	0.3078162	6.502974	3.018953	0.002967862	0.03313646
H200013901	4751	NEK2	NIMA (never in mitosis gene a)-related kinase 2	Serine/threonine-protein kinase Nek2 (EC 2.7.1.37) (NimA-related protein kinase 2) (NimA-like protein kinase 1) (HSPK 21). [Source:Uniprot/SWISSPROT;Acc:P51955]	1	NM_002497	ENSG00000117650	ENST00000261456	0.3075904	5.550267	4.32552	2.72E-05	0.001142432
H200006647	5831	PYCR1	Pyrroline-5-carboxylate reductase 1	NAD-dependent deacetylase sirtuin 7 (EC 3.5.1.-) (SIR2-like protein 7). [Source:Uniprot/SWISSPROT;Acc:Q9NRC8]	17	NM_006907,NM_153824	ENSG00000183010	ENST00000337943, ENST00000329875	0.3042372	6.527052	3.666957	0.00033705	0.007526394
