Probeset ID	Genbank	Gene Symbol	Nevi-mean	Nevi-StdErr	Melanoma-mean	Melanoma-StdErr	NS-mean	NS-StdErr	P-value	Description
205051_s_at	NM_000222	KIT	101.07	32.17	1183.48	150.21	43.47	13.19	7.91E-16	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
205107_s_at	NM_005227	EFNA4	328.15	33.17	25.86	3.87	234	44.51	1.01E-12	ephrin-A4
205174_s_at	NM_012413	QPCT	799.03	133.43	2500.97	174.37	1161.87	170.89	3.53E-10	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
205209_at	BC000254	ACVR1B	599.78	28.25	242.72	28.33	799.8	61.99	5.06E-10	activin A receptor, type IB
205290_s_at	NM_001200	BMP2	482.26	105.4	29.41	6.52	561.93	152.55	4.80E-11	bone morphogenetic protein 2
205337_at	AL139318	DCT	133.53	41.39	1367.31	176.26	50.07	17.69	6.44E-14	dopachrome delta-isomerase, tyrosine-related protein 2
205338_s_at	NM_001922	DCT	245.29	80.38	1695.69	263.64	74.87	31.8	2.48E-10	dopachrome delta-isomerase, tyrosine-related protein 2
205471_s_at	AW772082	DACH1	68.71	7.53	6.24	0.4	23.13	3.91	2.76E-12	dachshund homolog 1 (Drosophila)
205694_at	NM_000550	TYRP1	378.79	112.17	3647.41	299.33	44.73	14.1	1.03E-17	tyrosinase-related protein 1
205730_s_at	NM_014945	ABLIM3	232.87	29.12	20.52	4.13	134.13	28.52	5.50E-09	actin binding LIM protein family, member 3
205816_at	NM_002214	ITGB8	71	10.98	10.79	1.2	105	16.99	2.90E-10	integrin, beta 8
206140_at	NM_004789	LHX2	3069.24	254.49	139.38	49	2048.2	315.25	6.06E-13	LIM homeobox 2
206332_s_at	NM_005531	IFI16	220.75	18.15	856.21	71.82	223.33	33.59	7.01E-12	interferon, gamma-inducible protein 16
206376_at	NM_018057	SLC6A15	14.01	3.99	131.86	26.81	6.13	0.52	6.32E-12	solute carrier family 6, member 15
206426_at	NM_005511	MLANA	94.28	33.13	619.76	83.31	11.8	1.71	7.66E-25	melan-A
206427_s_at	U06654	MLANA	386.21	125.46	3390.59	314.71	84.8	25.06	7.49E-17	melan-A
206453_s_at	NM_016250	NDRG2	4584.88	272.05	963.52	195.15	6539.67	480.7	2.47E-12	NDRG family member 2
206471_s_at	NM_005761	PLXNC1	70.57	13.46	209.76	25.95	29.47	7.91	6.26E-09	plexin C1
206479_at	NM_002420	TRPM1	46.54	18.38	362.24	58.49	8.6	0.64	1.04E-20	transient receptor potential cation channel, subfamily M, member 1
206630_at	NM_000372	TYR	131.46	50.33	1836.52	315.89	8.13	0.95	2.91E-27	tyrosinase (oculocutaneous albinism IA)
206696_at	NM_000273	GPR143	44.46	17.69	366.45	81.7	10.33	1.56	3.73E-16	G-protein-coupled receptor 143
206701_x_at	NM_003991	EDNRB	80.6	35.89	512.48	94.92	15.2	4.39	1.43E-16	endothelin receptor type B
206737_at	NM_004626	WNT11	88.12	21.35	17.24	4.27	136.53	24.37	5.42E-09	wingless-type MMTV integration site family, member 11
207030_s_at	NM_001321	CSRP2	17.46	4.37	234.21	57.2	7.73	0.57	7.85E-15	cysteine and glycine-rich protein 2
207065_at	NM_004693	K6HF	1189.97	159.13	14.41	3.73	1220.6	231.18	1.34E-21	cytokeratin type II
207275_s_at	NM_001995	ACSL1	159.31	17.89	77.66	11.77	308.2	28.01	9.50E-10	acyl-CoA synthetase long-chain family member 1
207279_s_at	NM_016365	NEBL	222.69	19.9	54.83	8.06	282.8	40.41	4.21E-10	nebulette
207469_s_at	NM_003662	PIR	48.82	5.49	187.45	25.37	25.53	3.02	5.92E-11	pirin (iron-binding nuclear protein)
207950_s_at	NM_001149	ANK3	415.65	29.64	91.24	20.12	510.8	63.48	9.74E-09	ankyrin 3, node of Ranvier (ankyrin G)
208073_x_at	NM_003316	TTC3	747.13	45.17	2602.14	258.89	1008.13	121.68	6.17E-09	tetratricopeptide repeat domain 3
208086_s_at	M92650	DMD	109.41	10.42	15.83	2.52	118.4	20.95	8.88E-10	dystrophin (muscular dystrophy, Duchenne and Becker types)
208633_s_at	W61052	MACF1	359.71	27.63	75.86	13.75	223.2	19.58	1.00E-08	microtubule-actin crosslinking factor 1
208637_x_at	BC003576	ACTN1	238.35	29.02	17.79	3.06	179.73	36.29	4.91E-11	actinin, alpha 1
208645_s_at	AF116710	RPS14	6353.66	463.77	2078	514.74	8869.93	1091.85	1.72E-09	ribosomal protein S14
208788_at	AL136939	ELOVL5	28.28	3.89	165.86	22.04	42.33	7.79	1.00E-11	ELOVL family member 5
208791_at	M25915	CLU	65.35	12.92	8.52	0.39	127.73	25.19	7.65E-10	clusterin
208792_s_at	M25915	CLU	165.97	25.71	18.86	2.81	278.47	58.45	9.65E-10	clusterin
208966_x_at	AF208043	IFI16	333.34	28.87	1362.34	128.62	314	47.29	4.52E-12	interferon, gamma-inducible protein 16
209120_at	AL037401	NR2F2	16.76	3.33	175.41	35.07	10.8	1.35	1.77E-09	nuclear receptor subfamily 2, group F, member 2
209167_at	AI419030	GPM6B	152.85	20.48	675.62	88.01	115.2	13.42	8.40E-10	glycoprotein M6B
209173_at	AF088867	AGR2	269	66.64	11.76	1.79	350.13	108.38	4.80E-10	anterior gradient 2 homolog (Xenopus laevis)
209230_s_at	AF135266	P8	1058.04	75.53	173.48	30.02	596.53	97.7	1.53E-11	p8 protein (candidate of metastasis 1)
209283_at	AF007162	CRYAB	1843.07	113.44	369.41	74.86	2529.87	195.53	1.47E-10	crystallin, alpha B
209289_at	AI700518	NFIB	586.07	59.62	70.48	10.28	443	67.22	4.48E-10	Nuclear factor I/B
209290_s_at	BC001283	NFIB	1262.04	110.18	181.03	24.5	1461.47	216.45	6.29E-13	nuclear factor I/B
209295_at	AF016266	TNFRSF10B	69.12	18.92	610.66	80.45	67.2	23.16	5.54E-12	tumor necrosis factor receptor superfamily, member 10b
209386_at	AI346835	TM4SF1	2357.63	270.73	485.07	107	3833.4	520.79	9.36E-10	transmembrane 4 L six family member 1
209387_s_at	M90657	TM4SF1	636.07	96.84	129.83	44.44	1345.8	223.31	8.39E-09	transmembrane 4 L six family member 1
209392_at	L35594	ENPP2	100.51	34.42	719.31	169.1	11	1.63	1.54E-12	ectonucleotide pyrophosphatase/phosphodiesterase 2
209487_at	D84109	RBPMS	82.4	11.32	371.28	53.54	18.2	3.69	2.49E-12	RNA binding protein with multiple splicing
209569_x_at	NM_014392	D4S234E	124.1	25.93	376.41	55.57	29.33	7.73	1.38E-12	DNA segment on chromosome 4, 234 expressed sequence
209570_s_at	BC001745	D4S234E	1490.32	263.89	5226.17	564.59	532.87	119.51	2.24E-12	DNA segment on chromosome 4, 234 expressed sequence
209617_s_at	AF035302	CTNND2	135.43	14.33	15.59	1.43	100.07	16.43	3.83E-11	catenin (cadherin-associated protein), delta 2
209842_at	AI367319	SOX10	49.97	15.64	334.97	54.62	7.33	0.94	6.89E-19	SRY (sex determining region Y)-box 10
209848_s_at	U01874	SILV	132.96	43.51	1276.59	253.74	16.67	3.19	9.42E-16	silver homolog (mouse)
209866_s_at	R50822	LPHN3	222.35	20.19	18.86	4.09	159.2	28.17	1.29E-12	latrophilin 3
209867_s_at	AF307080	LPHN3	248.19	28.85	19.66	4.03	152	26.44	1.34E-09	latrophilin 3
210064_s_at	NM_006952	UPK1B	83.69	37.11	5.86	0.5	189.07	59.64	2.38E-09	uroplakin 1B
210065_s_at	AB002155	UPK1B	71.57	18.69	7.1	0.24	156.27	45.93	4.49E-10	uroplakin 1B
210086_at	AF039196	HR	450.04	36.41	65.31	10.66	323.8	33	4.32E-13	hairless homolog (mouse)
210198_s_at	BC002665	PLP1	36.06	13.49	221.14	31.95	6.47	0.6	1.51E-20	proteolipid protein 1
210495_x_at	AF130095	FN1	7.84	1.8	193.07	95.35	5	0	8.36E-10	fibronectin 1
210582_s_at	AL117466	LIMK2	97.62	6.95	20.52	3.62	115.53	16.26	6.86E-12	LIM domain kinase 2
210592_s_at	M55580	SAT	566.19	97.55	3606.76	384.33	851.33	124.01	1.08E-12	spermidine/spermine N1-acetyltransferase
210645_s_at	D83077	TTC3	399.31	23.52	1312.21	128.08	487.33	65.89	3.97E-09	tetratricopeptide repeat domain 3
210880_s_at	AB001467	EFS	68.18	6.01	16.97	1.95	66.07	9.21	3.74E-09	embryonal Fyn-associated substrate
210944_s_at	BC003169	CAPN3	249.87	66.03	1112.86	218.75	63.67	14.77	2.69E-10	calpain 3, (p94)
210973_s_at	M63889	FGFR1	96	13.24	7.79	2.41	41.87	9.56	4.69E-10	fibroblast growth factor receptor 1
210980_s_at	U47674	ASAH1	301.25	29.49	900.48	80.32	230.2	31.85	3.97E-09	N-acylsphingosine amidohydrolase (acid ceramidase) 1
211105_s_at	U80918	NFATC1	108.37	11.04	14.38	1.79	121.27	16.54	4.78E-13	nuclear factor of activated T-cell cytoplasmic calcineurin-dependent 1
211219_s_at	U11701	LHX2	158.24	16.27	10.48	1.94	98.6	17.75	3.65E-12	LIM homeobox 2
211467_s_at	U70862	NFIB	786.85	79.99	51.66	11.28	627.93	100.35	1.24E-12	nuclear factor I/B
211538_s_at	U56725	HSPA2	1867.9	126.41	456.52	65.52	2058	218.5	1.42E-09	heat shock 70kDa protein 2
211596_s_at	AB050468	LRIG1	394.06	44.76	56.17	9.76	387.8	57.49	1.30E-10	leucine-rich repeats and immunoglobulin-like domains 1
211719_x_at	BC005858	FN1	10.74	3.67	295.62	128.45	5.6	0.53	2.29E-12	fibronectin 1 ; fibronectin 1
212144_at	AL021707	UNC84B	1137.28	153.63	155.79	23.76	781.47	143.83	8.53E-11	unc-84 homolog B (C. elegans)
212274_at	AV705559	LPIN1	205.25	26.96	240	53.38	552.33	57.52	5.82E-09	lipin 1
212276_at	D80010	LPIN1	71.31	11.25	84.9	13.41	272.07	42.01	8.37E-09	lipin 1
212382_at	BF433429	TCF4	784.12	91.19	88.72	13.74	467.87	51.1	8.45E-12	Transcription factor 4
212631_at	AI566082	STX7	356.74	33.77	1135.28	133.22	325.87	24.73	2.51E-10	Syntaxin 7
212664_at	AL567012	TUBB4	66.28	30.2	311.45	92.68	5.13	0.09	6.09E-15	tubulin, beta 4
212667_at	AL575922	SPARC	19.71	4.09	145.9	25.98	10.8	1.41	6.80E-09	secreted protein, acidic, cysteine-rich (osteonectin)
212776_s_at	AI978623	OBSL1	94.13	10.26	12.72	2.06	71.6	16.96	6.74E-09	obscurin-like 1
212813_at	AA149644	JAM3	38.09	7.53	106.45	14.92	15.47	2.28	2.69E-10	junctional adhesion molecule 3
212915_at	AL569804	PDZRN3	867.82	104.91	173.14	33.8	1121	178.32	6.74E-09	PDZ domain containing RING finger 3
212959_s_at	AK001821	GNPTAB	68.84	9.94	275.07	35.62	59.87	9.52	4.12E-09	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
213029_at	BG478428	NFIB	1270.84	117.37	158.1	25.96	1493.6	207.58	3.43E-13	Nuclear factor I/B
213032_at	AI186739	NFIB	3347.57	295.37	474	67.4	3639.8	404.63	2.57E-12	Nuclear factor I/B
213033_s_at	AI186739	NFIB	605.16	57.28	64.76	12.2	782.2	131.27	6.14E-12	Nuclear factor I/B
213217_at	AU149572	ADCY2	8.93	1.53	102.41	16.84	5.6	0.36	4.09E-13	adenylate cyclase 2 (brain)
213241_at	AF035307	PLXNC1	42.66	14.69	356	59.89	15.2	1.6	2.91E-19	plexin C1
213260_at	AU145890	FOXC1	434.24	45.04	50.69	8.56	652.87	100.92	1.89E-13	Forkhead box C1
213272_s_at	AF070596	LOC57146	104.19	7.92	17.72	2.47	71.6	18.2	1.19E-10	promethin
213456_at	AI927000	SOSTDC1	284.84	37.6	21.14	2.58	372.6	81.64	4.21E-10	sclerostin domain containing 1
213496_at	AW592563	LPPR4	23.74	8.24	89.79	21.72	5	0	2.90E-10	plasticity related gene 1
213692_s_at	AA904259	VDR	111.99	8.9	22.28	2.87	74	13.23	3.94E-09	VDR (vitamin D (1,25- dihydroxyvitamin D3) receptor
213702_x_at	AI934569	ASAH1	582.54	65.53	1943.69	188.46	463.73	71.05	1.22E-09	N-acylsphingosine amidohydrolase (acid ceramidase) 1
213789_at	N58493		188.87	23.32	37.59	6.39	197.93	26.64	5.44E-09	similar to hCG2042049 (LOC100292959), mRNA
213857_s_at	BG230614	CD47	539.99	81.09	1934.66	197.81	511.13	54.51	2.48E-10	CD47 antigen
214036_at	BE464799		484.94	47.65	29.03	2.95	369.6	51.53	3.32E-17	CDNA: FLJ22256 fis, clone HRC02860
214278_s_at	AI358939	NDRG2	580	47.18	103.69	20.51	964.47	97.81	9.50E-13	NDRG family member 2
214279_s_at	W74452	NDRG2	454.74	41.7	66.21	19.16	770	108.22	2.98E-12	NDRG family member 2
214321_at	BF440025	NOV	10.25	2.8	193.79	43.18	5.47	0.13	5.88E-10	nephroblastoma overexpressed gene
214410_at	N32151	TRPM1	23.51	12.55	149.28	26.7	5.07	0.07	2.06E-11	Transient receptor potential cation channel, subfamily M, member 1
214434_at	AB007877	HSPA12A	17	4.87	80.72	13.96	6.67	0.94	1.27E-09	heat shock 70kDa protein 12A
214453_s_at	NM_006417	IFI44	14.28	4.95	271.76	62.19	8.4	2.48	8.60E-13	interferon-induced protein 44
214598_at	AL049977	CLDN8	182.74	21.59	10.07	0.88	298.47	47.47	8.64E-15	claudin 8
214662_at	D26488	WDR43	225.88	20.34	525.41	51.86	163.2	18.43	4.70E-09	WD repeat domain 43
214681_at	AI830490	GK	31.44	7.69	155.97	17.03	37.13	6.94	5.84E-10	glycerol kinase
214721_x_at	AL162074	CDC42EP4	122.54	11.35	14.34	2.44	107.53	19.6	1.01E-12	CDC42 effector protein (Rho GTPase binding) 4
214894_x_at	AK023285	MACF1	498.63	32.93	134.28	17.28	290.33	22.99	9.11E-09	microtubule-actin crosslinking factor 1
215221_at	AK025064	FOXP1	56.57	5.52	10.07	0.77	62.47	12.24	1.64E-09	Forkhead box P1
215222_x_at	AK023406	MACF1	687.91	52.84	147.24	21.72	381.87	41.45	4.64E-10	microtubule-actin crosslinking factor 1
215695_s_at	U94357	GYG2	245.66	80.57	1986.48	340.16	46	14.44	2.36E-12	glycogenin 2
216442_x_at	AK026737	FN1	7.07	1.49	167.79	89.37	5	0	1.19E-09	fibronectin 1
216512_s_at	AL139318	DCT	151.12	47.12	944.28	168.2	38.07	14.11	4.29E-10	dopachrome delta-isomerase, tyrosine-related protein 2
216513_at	AL139318	DCT	43.5	13.1	397.41	62.78	8.53	1	5.46E-17	dopachrome delta-isomerase, tyrosine-related protein 2
216874_at	U80770		8.84	1.74	112.69	22.03	5.13	0.09	1.66E-13	Homo sapiens, clone IMAGE:5538654, mRNA
216877_at	U80770		18.32	4.01	195.9	36.27	11.6	3.05	1.83E-11	Homo sapiens, clone IMAGE:5538654, mRNA
217730_at	NM_022152	TMBIM1	557.99	38.41	146.52	19.76	762.93	98.57	2.26E-10	transmembrane BAX inhibitor motif containing 1
217738_at	BF575514	PBEF1	43.03	5.83	207.21	28.8	78.93	11.4	6.14E-10	pre-B-cell colony enhancing factor 1
217739_s_at	NM_005746	PBEF1	98.03	14.05	451.17	54.71	191.67	29.77	1.42E-09	pre-B-cell colony enhancing factor 1
217897_at	NM_022003	FXYD6	514.47	54.48	19.03	3.1	781.13	113.78	6.88E-26	FXYD domain containing ion transport regulator 6
217991_x_at	NM_018070	SSBP3	172.13	17.17	24.97	2.12	50.93	8.49	8.49E-10	single stranded DNA binding protein 3
218062_x_at	NM_012121	CDC42EP4	424.91	36.31	57.72	8.78	276.47	35.94	5.46E-11	CDC42 effector protein (Rho GTPase binding) 4
218196_at	NM_014028	OSTM1	79.5	15.8	425	70.92	51.27	5.17	2.99E-10	osteopetrosis associated transmembrane protein 1
218211_s_at	NM_024101	MLPH	57.47	17.6	834.83	143.64	12.73	2.5	6.06E-19	melanophilin
218236_s_at	NM_005813	PRKD3	27.01	5.87	173.17	27.44	18	2.62	5.76E-10	protein kinase D3
218417_s_at	NM_017842	FLJ20489	59.28	8.66	7.21	0.41	36.07	6.63	4.00E-11	hypothetical protein FLJ20489
218433_at	NM_024594	PANK3	58.21	5.93	17.45	2.45	65	8.12	8.36E-10	pantothenate kinase 3
218574_s_at	NM_014583	LMCD1	540.5	54.88	41.1	10.19	542.07	76.08	1.89E-13	LIM and cysteine-rich domains 1
218816_at	NM_018214	LRRC1	256.21	18.36	96.48	13.81	413.33	40.71	1.49E-09	leucine rich repeat containing 1
218966_at	NM_018728	MYO5C	80.85	13.38	13.21	2.58	141.8	21.09	7.01E-10	myosin VC
219142_at	NM_023940	RASL11B	211.06	21.71	20.34	2.35	262.47	44.04	1.42E-13	RAS-like, family 11, member B
219197_s_at	AI424243	SCUBE2	31.46	5.01	151.86	22.37	15.53	2.86	2.06E-12	signal peptide, CUB domain, EGF-like 2
219372_at	NM_014055	CDV1	29.96	5.69	116.24	18.09	19.07	2.49	7.01E-10	carnitine deficiency-associated, expressed in ventricle 1
219412_at	NM_022337	RAB38	63.79	8.62	252.59	32.91	48.47	6.66	9.25E-10	RAB38, member RAS oncogene family
219560_at	NM_024627	FLJ21125	185.04	17.53	45	6.56	167.73	23.98	4.51E-09	hypothetical protein FLJ21125
219561_at	NM_016429	COPZ2	605.79	60.44	91.79	10.84	586.4	92.51	2.16E-11	coatomer protein complex, subunit zeta 2
219806_s_at	NM_020179	FN5	63.4	6.19	13.86	1.76	90.27	12.83	3.08E-10	FN5 protein
219842_at	NM_019087	ARFRP2	244.31	31.17	56.38	5.11	194.47	26.73	1.67E-10	ADP-ribosylation factor related protein 2
220178_at	NM_021731	C19orf28	56.76	16.71	319.31	60.75	42.8	13.75	7.61E-10	chromosome 19 open reading frame 28
220911_s_at	NM_025081	KIAA1305	82.49	9.82	15.97	1.91	61.6	11.14	1.23E-09	KIAA1305
221524_s_at	AF272036	RRAGD	20.12	4.94	126.59	19.69	7.93	0.96	2.49E-12	Ras-related GTP binding D
221652_s_at	AF274950	C12orf11	35.76	3.26	104.69	11.52	28	4.77	8.06E-09	chromosome 12 open reading frame 11
221664_s_at	AF154005	F11R	115.31	10.1	28.45	3.98	90.27	9.12	3.31E-10	F11 receptor
222153_at	AK023133	MYEF2	20.68	7.77	147.48	28.85	5.07	0.07	7.43E-16	myelin expression factor 2
222294_s_at	AW971415	EIF2C2	116.91	18.7	626.38	80.42	72.2	17.01	4.80E-10	Eukaryotic translation initiation factor 2C, 2
222565_s_at	BF978541	PRKD3	179.35	34.51	580.69	68.27	106.4	22.6	1.65E-09	protein kinase D3
