Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P108459	Gpr65	G-protein coupled receptor 65	2.96718
AGI_MM_OLIGO_A_51_P109508	Havcr2	hepatitis A virus cellular receptor 2	2.94662
AGI_MM_OLIGO_A_51_P494597	BC013712	cDNA sequence BC013712	2.91198
AGI_MM_OLIGO_A_51_P359603	Itgb7	integrin beta 7	2.89622
AGI_MM_OLIGO_A_51_P468558	Treml4	triggering receptor expressed on myeloid cells-like 4	2.87864
AGI_MM_OLIGO_A_51_P401987	Tmem37	transmembrane protein 37	2.87366
AGI_MM_OLIGO_A_51_P364600	Fyb	FYN binding protein	2.86858
AGI_MM_OLIGO_A_51_P259773	Slc37a2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	2.86708
AGI_MM_OLIGO_A_51_P255699	Mmp3	matrix metallopeptidase 3	2.85486
AGI_MM_OLIGO_A_51_P423981	Ctss	cathepsin S	2.83802
AGI_MM_OLIGO_A_51_P303424	Itgax	integrin alpha X	2.83786
AGI_MM_OLIGO_A_51_P384398	Dll4	delta-like 4 (Drosophila)	2.83569
AGI_MM_OLIGO_A_51_P169061	Aytl1	acyltransferase like 1	2.80246
AGI_MM_OLIGO_A_51_P504337	Entpd1	ectonucleoside triphosphate diphosphohydrolase 1	2.79295
AGI_MM_OLIGO_A_51_P351860	C1qb	complement component 1, q subcomponent, beta polypeptide	2.76174
AGI_MM_OLIGO_A_51_P400543	Aif1	allograft inflammatory factor 1	2.75801
AGI_MM_OLIGO_A_51_P292745	Cd72	CD72 antigen	2.73136
AGI_MM_OLIGO_A_51_P253883	D12Ertd553e	DNA segment, Chr 12, ERATO Doi 553, expressed	2.71610
AGI_MM_OLIGO_A_51_P467798	Niban	niban protein	2.71088
AGI_MM_OLIGO_A_51_P497724	9130022K13Rik	RIKEN cDNA 9130022K13 gene	2.70037
AGI_MM_OLIGO_A_51_P452997	Ppap2b	phosphatidic acid phosphatase type 2B	2.69513
AGI_MM_OLIGO_A_51_P507509	Gimap1	GTPase, IMAP family member 1	2.66547
AGI_MM_OLIGO_A_51_P438057	Rpa3	replication protein A3	2.62034
AGI_MM_OLIGO_A_51_P438820	Pycard	PYD and CARD domain containing	2.61629
AGI_MM_OLIGO_A_51_P156218	Gpr116	G protein-coupled receptor 116	2.60897
AGI_MM_OLIGO_A_51_P322814	1700054O13Rik	RIKEN cDNA 1700054O13 gene	2.60678
AGI_MM_OLIGO_A_51_P222467	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1	2.58483
AGI_MM_OLIGO_A_51_P124254	Col4a1	procollagen, type IV, alpha 1	2.58087
AGI_MM_OLIGO_A_51_P264695	Crym	crystallin, mu	2.54516
AGI_MM_OLIGO_A_51_P316042	Card11	caspase recruitment domain family, member 11	2.53759
AGI_MM_OLIGO_A_51_P208931	C330016O10Rik	RIKEN cDNA C330016O10 gene	2.53220
AGI_MM_OLIGO_A_51_P209327	Apln	apelin	2.52607
AGI_MM_OLIGO_A_51_P165185	Cldn7	claudin 7	2.52165
AGI_MM_OLIGO_A_51_P374878	D330045A20Rik	RIKEN cDNA D330045A20 gene	2.52063
AGI_MM_OLIGO_A_51_P241262	Arhgap15	Rho GTPase activating protein 15	2.51678
AGI_MM_OLIGO_A_51_P175018	Apcdd1	adenomatosis polyposis coli down-regulated 1	2.50352
AGI_MM_OLIGO_A_51_P405478	Fcer1g	Fc receptor, IgE, high affinity I, gamma polypeptide	2.49164
AGI_MM_OLIGO_A_51_P250058			2.48267
AGI_MM_OLIGO_A_51_P432460	Ppp1r14a	protein phosphatase 1, regulatory (inhibitor) subunit 14A	2.48097
AGI_MM_OLIGO_A_51_P352875	Lcp2	lymphocyte cytosolic protein 2	2.47820
AGI_MM_OLIGO_A_51_P115575	Map3k8	mitogen activated protein kinase kinase kinase 8	2.43850
AGI_MM_OLIGO_A_51_P284608	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	2.43351
AGI_MM_OLIGO_A_51_P265026	Birc1b	baculoviral IAP repeat-containing 1b	2.41522
AGI_MM_OLIGO_A_51_P131800	Cyba	cytochrome b-245, alpha polypeptide	2.39262
AGI_MM_OLIGO_A_51_P326050			2.38361
AGI_MM_OLIGO_A_51_P176365	Gimap5	GTPase, IMAP family member 5	2.37671
AGI_MM_OLIGO_A_51_P213476	Pgr	progesterone receptor	2.35931
AGI_MM_OLIGO_A_51_P309917	Itga8	integrin alpha 8	2.34427
AGI_MM_OLIGO_A_51_P278550	Gpsn2	glycoprotein, synaptic 2	2.33552
AGI_MM_OLIGO_A_51_P400752	H2-Q5	histocompatibility 2, Q region locus 5	2.33443
AGI_MM_OLIGO_A_51_P390538	Mpeg1	macrophage expressed gene 1	2.33193
AGI_MM_OLIGO_A_51_P513560	Stx11	syntaxin 11	2.32857
AGI_MM_OLIGO_A_51_P208793	C1s	complement component 1, s subcomponent	2.31301
AGI_MM_OLIGO_A_51_P336161	Man2b1	mannosidase 2, alpha B1	2.29324
AGI_MM_OLIGO_A_51_P478672	Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit	2.28950
AGI_MM_OLIGO_A_51_P359636	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	2.28530
AGI_MM_OLIGO_A_51_P460460			2.26766
AGI_MM_OLIGO_A_51_P402435	Trap1	TNF receptor-associated protein 1	2.26637
AGI_MM_OLIGO_A_51_P260889	Cd3g	CD3 antigen, gamma polypeptide	2.26516
AGI_MM_OLIGO_A_51_P407227	Gimap6	GTPase, IMAP family member 6	2.25045
AGI_MM_OLIGO_A_51_P328850	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	2.24294
AGI_MM_OLIGO_A_51_P511102	Cttnbp2nl	CTTNBP2 N-terminal like	2.24172
AGI_MM_OLIGO_A_51_P374707	Tspan12	tetraspanin 12	2.23864
AGI_MM_OLIGO_A_51_P490509	Bub1b	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	2.23551
AGI_MM_OLIGO_A_51_P231308	Mfng	manic fringe homolog (Drosophila)	2.23315
AGI_MM_OLIGO_A_51_P187252	Irf8	interferon regulatory factor 8	2.23217
AGI_MM_OLIGO_A_51_P289912	Rapgef2	Rap guanine nucleotide exchange factor (GEF) 2	2.23080
AGI_MM_OLIGO_A_51_P185639	Ptprf	protein tyrosine phosphatase, receptor type, F	2.20461
AGI_MM_OLIGO_A_51_P410918	A830007P12Rik	RIKEN cDNA A830007P12 gene	2.19341
AGI_MM_OLIGO_A_51_P249909	Lect2	leukocyte cell-derived chemotaxin 2	2.18564
AGI_MM_OLIGO_A_51_P101460	Dsp	desmoplakin	2.18390
AGI_MM_OLIGO_A_51_P447835	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	2.17768
AGI_MM_OLIGO_A_51_P425288	Aldoc	aldolase 3, C isoform	2.17418
AGI_MM_OLIGO_A_51_P478353	Fer1l3	fer-1-like 3, myoferlin (C. elegans)	2.17195
AGI_MM_OLIGO_A_51_P262079	H2-Q7	histocompatibility 2, Q region locus 7	2.14503
AGI_MM_OLIGO_A_51_P108581	Adrbk2	adrenergic receptor kinase, beta 2	2.14135
AGI_MM_OLIGO_A_51_P221014	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	2.13679
AGI_MM_OLIGO_A_51_P200447	Pkib	protein kinase inhibitor beta, cAMP dependent, testis specific	2.13326
AGI_MM_OLIGO_A_51_P247184	Npr3	natriuretic peptide receptor 3	2.12936
AGI_MM_OLIGO_A_51_P233894	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	2.12209
AGI_MM_OLIGO_A_51_P416108			2.12054
AGI_MM_OLIGO_A_51_P498890	Degs1	degenerative spermatocyte homolog 1 (Drosophila)	2.12012
AGI_MM_OLIGO_A_51_P114826	Cdh13	cadherin 13	2.11117
AGI_MM_OLIGO_A_51_P120093	Snx10	sorting nexin 10	2.10920
AGI_MM_OLIGO_A_51_P224023	0910001A06Rik	RIKEN cDNA 0910001A06 gene	2.10335
AGI_MM_OLIGO_A_51_P228842	Fbxo6b	F-box only protein 6b	2.10315
AGI_MM_OLIGO_A_51_P394701	Fgd2	FYVE, RhoGEF and PH domain containing 2	2.09659
AGI_MM_OLIGO_A_51_P246653	Clec7a	C-type lectin domain family 7, member a	2.09644
AGI_MM_OLIGO_A_51_P168665	Prpf8	pre-mRNA processing factor 8	2.09093
AGI_MM_OLIGO_A_51_P300277	Coro1a	coronin, actin binding protein 1A	2.07985
AGI_MM_OLIGO_A_51_P490305	Ifi30	interferon gamma inducible protein 30	2.07912
AGI_MM_OLIGO_A_51_P502150	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulator 1	2.07524
AGI_MM_OLIGO_A_51_P192162			2.07052
AGI_MM_OLIGO_A_51_P384033	Psen2	presenilin 2	2.05969
AGI_MM_OLIGO_A_51_P116245	Styk1	serine/threonine/tyrosine kinase 1	2.05862
AGI_MM_OLIGO_A_51_P361099	Adss	adenylosuccinate synthetase, non muscle	2.05092
AGI_MM_OLIGO_A_51_P433611	Klhl6	kelch-like 6 (Drosophila)	2.03365
AGI_MM_OLIGO_A_51_P414548	Casp7	caspase 7	2.03268
AGI_MM_OLIGO_A_51_P433837	3110004L20Rik	RIKEN cDNA 3110004L20 gene	2.02754
AGI_MM_OLIGO_A_51_P338837	Lrba	LPS-responsive beige-like anchor	2.02724
AGI_MM_OLIGO_A_51_P328613	Fcgr3	Fc receptor, IgG, low affinity III	2.02678
AGI_MM_OLIGO_A_51_P479043	Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)	2.02391
AGI_MM_OLIGO_A_51_P331831	0610039P13Rik	RIKEN cDNA 0610039P13 gene	2.01536
AGI_MM_OLIGO_A_51_P233515			2.00561
AGI_MM_OLIGO_A_51_P225827	Ovol1	OVO homolog-like 1 (Drosophila)	2.00047
AGI_MM_OLIGO_A_51_P289341	5830467P10Rik	RIKEN cDNA 5830467P10 gene	1.99921
AGI_MM_OLIGO_A_51_P185902	Abi3	ABI gene family, member 3	1.99546
AGI_MM_OLIGO_A_51_P516095	Cyld	cylindromatosis (turban tumor syndrome)	1.99090
AGI_MM_OLIGO_A_51_P108935	Iars2	isoleucine-tRNA synthetase 2, mitochondrial	1.98378
AGI_MM_OLIGO_A_51_P492707	Ptpro	protein tyrosine phosphatase, receptor type, O	1.98275
AGI_MM_OLIGO_A_51_P228883	Htatip2	HIV-1 tat interactive protein 2, homolog (human)	1.98236
AGI_MM_OLIGO_A_51_P429087	Rp2h	retinitis pigmentosa 2 homolog (human)	1.98188
AGI_MM_OLIGO_A_51_P176377	Usp25	ubiquitin specific peptidase 25	1.98164
AGI_MM_OLIGO_A_51_P167322	Ankrd17	ankyrin repeat domain 17	1.98008
AGI_MM_OLIGO_A_51_P222092	Igbp1	immunoglobulin (CD79A) binding protein 1	1.97756
AGI_MM_OLIGO_A_51_P277376	Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1	1.97732
AGI_MM_OLIGO_A_51_P307063	BC056474	cDNA sequence BC056474	1.97507
AGI_MM_OLIGO_A_51_P457481	BC010462	cDNA sequence BC010462	1.96673
AGI_MM_OLIGO_A_51_P245368	Abcb1b	ATP-binding cassette, sub-family B (MDR/TAP), member 1B	1.96106
AGI_MM_OLIGO_A_51_P103107	Ptprg	protein tyrosine phosphatase, receptor type, G	1.95838
AGI_MM_OLIGO_A_51_P160754	Apobec1	apolipoprotein B editing complex 1	1.95654
AGI_MM_OLIGO_A_51_P170911	Ptpn9	protein tyrosine phosphatase, non-receptor type 9	1.95184
AGI_MM_OLIGO_A_51_P278519	Qscn6	quiescin Q6	1.94881
AGI_MM_OLIGO_A_51_P459070	2010301N04Rik	RIKEN cDNA 2010301N04 gene	1.94669
AGI_MM_OLIGO_A_51_P237303	Plekhg1	pleckstrin homology domain containing, family G (with RhoGef domain) member 1	1.93755
AGI_MM_OLIGO_A_51_P510849	Tmem50b	transmembrane protein 50B	1.93604
AGI_MM_OLIGO_A_51_P433562	Nme7	non-metastatic cells 7, protein expressed in	1.93523
AGI_MM_OLIGO_A_51_P351009	Nup37	nucleoporin 37	1.93267
AGI_MM_OLIGO_A_51_P369550	Cd84	CD84 antigen	1.92830
AGI_MM_OLIGO_A_51_P205863	Hbxip	hepatitis B virus x interacting protein	1.92182
AGI_MM_OLIGO_A_51_P260035	Sar1b	SAR1 gene homolog B (S. cerevisiae)	1.92152
AGI_MM_OLIGO_A_51_P220314	Cdca7l	cell division cycle associated 7 like	1.92077
AGI_MM_OLIGO_A_51_P133953			1.91779
AGI_MM_OLIGO_A_51_P512200	Unc13d	unc-13 homolog D (C. elegans)	1.91358
AGI_MM_OLIGO_A_51_P135012	Rhpn2	rhophilin, Rho GTPase binding protein 2	1.91263
AGI_MM_OLIGO_A_51_P262208	Itgb2	integrin beta 2	1.90932
AGI_MM_OLIGO_A_51_P159415	Sin3a	transcriptional regulator, SIN3A (yeast)	1.90700
AGI_MM_OLIGO_A_51_P372186	Zfp467	zinc finger protein 467	1.89920
AGI_MM_OLIGO_A_51_P317704	Ube1x	ubiquitin-activating enzyme E1, Chr X	1.89603
AGI_MM_OLIGO_A_51_P486155	Ocln	occludin	1.89598
AGI_MM_OLIGO_A_51_P305693	Rif1	Rap1 interacting factor 1 homolog (yeast)	1.89492
AGI_MM_OLIGO_A_51_P126437	Enc1	ectodermal-neural cortex 1	1.89083
AGI_MM_OLIGO_A_51_P304500	Tapbp	TAP binding protein	1.88438
AGI_MM_OLIGO_A_51_P152692	Atxn7l4	ataxin 7-like 4	1.88118
AGI_MM_OLIGO_A_51_P212491	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	1.88031
AGI_MM_OLIGO_A_51_P372702	Il16	interleukin 16	1.87390
AGI_MM_OLIGO_A_51_P516861	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	1.87181
AGI_MM_OLIGO_A_51_P373187	0610009I22Rik	RIKEN cDNA 0610009I22 gene	1.87031
AGI_MM_OLIGO_A_51_P197474	9130227C08Rik	RIKEN cDNA 9130227C08Rik gene	1.86898
AGI_MM_OLIGO_A_51_P496934	Hps3	Hermansky-Pudlak syndrome 3 homolog (human)	1.86361
AGI_MM_OLIGO_A_51_P403006	Cyfip1	cytoplasmic FMR1 interacting protein 1	1.86169
AGI_MM_OLIGO_A_51_P460418	Hbxap	hepatitis B virus x associated protein	1.85961
AGI_MM_OLIGO_A_51_P324572	Ctnna1	catenin (cadherin associated protein), alpha 1	1.85796
AGI_MM_OLIGO_A_51_P179953	D5Ertd585e	DNA segment, Chr 5, ERATO Doi 585, expressed	1.84411
AGI_MM_OLIGO_A_51_P404353	Gtf2e2	general transcription factor II E, polypeptide 2 (beta subunit)	1.83802
AGI_MM_OLIGO_A_51_P240453	Nusap1	nucleolar and spindle associated protein 1	1.82911
AGI_MM_OLIGO_A_51_P196695	Il7r	interleukin 7 receptor	1.82617
AGI_MM_OLIGO_A_51_P327322	Solt	SoxLZ/Sox6 leucine zipper binding protein in testis	1.82567
AGI_MM_OLIGO_A_51_P121252	2610034N24Rik	RIKEN cDNA 2610034N24 gene	1.82185
AGI_MM_OLIGO_A_51_P379801	Fdps	farnesyl diphosphate synthetase	1.82141
AGI_MM_OLIGO_A_51_P388125	Atxn10	ataxin 10	1.81774
AGI_MM_OLIGO_A_51_P175424	Car14	carbonic anhydrase 14	1.81497
AGI_MM_OLIGO_A_51_P195875	Notch4	Notch gene homolog 4 (Drosophila)	1.81133
AGI_MM_OLIGO_A_51_P440487	Fbxo8	F-box only protein 8	1.81063
AGI_MM_OLIGO_A_51_P209697	Atcay	ataxia, cerebellar, Cayman type homolog (human)	1.80232
AGI_MM_OLIGO_A_51_P492648			1.80131
AGI_MM_OLIGO_A_51_P204471	1200011M11Rik	RIKEN cDNA 1200011M11 gene	1.80057
AGI_MM_OLIGO_A_51_P135877	Gimap4	GTPase, IMAP family member 4	1.79699
AGI_MM_OLIGO_A_51_P439803			1.79625
AGI_MM_OLIGO_A_51_P483699	Dcbld1	discoidin, CUB and LCCL domain containing 1	1.79610
AGI_MM_OLIGO_A_51_P410381	9130218O11Rik	RIKEN cDNA 9130218O11 gene	1.79566
AGI_MM_OLIGO_A_51_P327181	Senp1	SUMO1/sentrin specific peptidase 1	1.79525
AGI_MM_OLIGO_A_51_P496448	Cul2	cullin 2	1.79219
AGI_MM_OLIGO_A_51_P309897	Fars2	phenylalanine-tRNA synthetase 2 (mitochondrial)	1.78723
AGI_MM_OLIGO_A_51_P503368	Vps35	vacuolar protein sorting 35	1.77037
AGI_MM_OLIGO_A_51_P197259	Cct7	chaperonin subunit 7 (eta)	1.76315
AGI_MM_OLIGO_A_51_P303906	Actr2	ARP2 actin-related protein 2 homolog (yeast)	1.76102
AGI_MM_OLIGO_A_51_P476711	Skiv2l2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	1.75803
AGI_MM_OLIGO_A_51_P323174	Hmgb2l1	high mobility group box 2-like 1	1.75722
AGI_MM_OLIGO_A_51_P492797	Lrrc61	leucine rich repeat containing 61	1.75514
AGI_MM_OLIGO_A_51_P327141	Zap70	zeta-chain (TCR) associated protein kinase	1.74989
AGI_MM_OLIGO_A_51_P342716	Ppp1cb	protein phosphatase 1, catalytic subunit, beta isoform	1.74673
AGI_MM_OLIGO_A_51_P203878	Dynll2	dynein light chain LC8-type 2	1.74071
AGI_MM_OLIGO_A_51_P353392	1200020A08Rik	RIKEN cDNA 1200020A08 gene	1.73266
AGI_MM_OLIGO_A_51_P233027	1200015F23Rik	RIKEN cDNA 1200015F23 gene	1.73241
AGI_MM_OLIGO_A_51_P221916	Cog5	component of oligomeric golgi complex 5	1.72773
AGI_MM_OLIGO_A_51_P268519	LOC67660	hypothetical LOC67660	1.72454
AGI_MM_OLIGO_A_51_P169173	Cdkn1b	cyclin-dependent kinase inhibitor 1B (P27)	1.72147
AGI_MM_OLIGO_A_51_P484510	Nek3	NIMA (never in mitosis gene a)-related expressed kinase 3	1.72083
AGI_MM_OLIGO_A_51_P440936	Cog1	component of oligomeric golgi complex 1	1.71995
AGI_MM_OLIGO_A_51_P274259	Ak5	adenylate kinase 5	1.71672
AGI_MM_OLIGO_A_51_P314192	Mrps10	mitochondrial ribosomal protein S10	1.71435
AGI_MM_OLIGO_A_51_P237575	6330407G11Rik	RIKEN cDNA 6330407G11 gene	1.71329
AGI_MM_OLIGO_A_51_P340013	Cdc42se2	CDC42 small effector 2	1.71303
AGI_MM_OLIGO_A_51_P262662	Arfrp1	ADP-ribosylation factor related protein 1	1.70694
AGI_MM_OLIGO_A_51_P367223	Rad50	RAD50 homolog (S. cerevisiae)	1.70621
AGI_MM_OLIGO_A_51_P185971	Calm2	calmodulin 2	1.70542
AGI_MM_OLIGO_A_51_P365521	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	1.70524
AGI_MM_OLIGO_A_51_P385099	Tnf	tumor necrosis factor	1.70430
AGI_MM_OLIGO_A_51_P428244	Nup54	nucleoporin 54	1.70248
AGI_MM_OLIGO_A_51_P465023	Calm1	calmodulin 1	1.70160
AGI_MM_OLIGO_A_51_P156158	Phlpp	PH domain and leucine rich repeat protein phosphatase	1.70102
AGI_MM_OLIGO_A_51_P246895	Mrrf	mitochondrial ribosome recycling factor	1.69625
AGI_MM_OLIGO_A_51_P266640	1700021I09Rik	RIKEN cDNA 1700021I09 gene	1.69483
AGI_MM_OLIGO_A_51_P438137	Sfi1	Sfi1 homolog, spindle assembly associated (yeast)	1.68796
AGI_MM_OLIGO_A_51_P308254	Surf2	surfeit gene 2	1.68182
AGI_MM_OLIGO_A_51_P297925	Zc3h12a	zinc finger CCCH type containing 12A	1.68118
AGI_MM_OLIGO_A_51_P123077	Nubp1	nucleotide binding protein 1	1.67783
AGI_MM_OLIGO_A_51_P148163	Cpsf3l	cleavage and polyadenylation specific factor 3-like	1.67547
AGI_MM_OLIGO_A_51_P420918	Ly6i	lymphocyte antigen 6 complex, locus I	1.67542
AGI_MM_OLIGO_A_51_P339273	Hnrpr	heterogeneous nuclear ribonucleoprotein R	1.67237
AGI_MM_OLIGO_A_51_P501429	4833418A01Rik	RIKEN cDNA 4833418A01 gene	1.67236
AGI_MM_OLIGO_A_51_P287272	Tlk1	tousled-like kinase 1	1.67208
AGI_MM_OLIGO_A_51_P204646	5730409G07Rik	RIKEN cDNA 5730409G07 gene	1.66978
AGI_MM_OLIGO_A_51_P141818	Mrpl32	mitochondrial ribosomal protein L32	1.66515
AGI_MM_OLIGO_A_51_P321580	Dazap2	DAZ associated protein 2	1.66242
AGI_MM_OLIGO_A_51_P475280	Snrpd2	small nuclear ribonucleoprotein D2	1.66178
AGI_MM_OLIGO_A_51_P515009	C130057N11Rik	RIKEN cDNA C130057N11 gene	1.66127
AGI_MM_OLIGO_A_51_P416408	Tmc4	transmembrane channel-like gene family 4	1.65860
AGI_MM_OLIGO_A_51_P389636	Kcnn4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	1.65686
AGI_MM_OLIGO_A_51_P119401			1.65441
AGI_MM_OLIGO_A_51_P154780	Vav1	vav 1 oncogene	1.65432
AGI_MM_OLIGO_A_51_P456699	Olfr812	olfactory receptor 812	1.65207
AGI_MM_OLIGO_A_51_P426754	Anxa5	annexin A5	1.64893
AGI_MM_OLIGO_A_51_P487345	Pdcd7	programmed cell death protein 7	1.64763
AGI_MM_OLIGO_A_51_P337691	Ube2g1	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	1.64731
AGI_MM_OLIGO_A_51_P304170	Rtp4	receptor transporter protein 4	1.64406
AGI_MM_OLIGO_A_51_P280434	Slc12a6	solute carrier family 12, member 6	1.63958
AGI_MM_OLIGO_A_51_P323845	1110019N10Rik	RIKEN cDNA 1110019N10 gene	1.63336
AGI_MM_OLIGO_A_51_P239673	Hprt1	hypoxanthine guanine phosphoribosyl transferase 1	1.62826
AGI_MM_OLIGO_A_51_P279163	Plcg2	phospholipase C, gamma 2	1.62270
AGI_MM_OLIGO_A_51_P138790	Plekhf2	pleckstrin homology domain containing, family F (with FYVE domain) member 2	1.62267
AGI_MM_OLIGO_A_51_P135394	Mtch2	mitochondrial carrier homolog 2 (C. elegans)	1.62172
AGI_MM_OLIGO_A_51_P323435	Gtf2h2	general transcription factor II H, polypeptide 2	1.61896
AGI_MM_OLIGO_A_51_P158598	Scrn2	secernin 2	1.61217
AGI_MM_OLIGO_A_51_P248067	Ezh2	enhancer of zeste homolog 2 (Drosophila)	1.61044
AGI_MM_OLIGO_A_51_P338563	Slc36a1	solute carrier family 36 (proton/amino acid symporter), member 1	1.60708
AGI_MM_OLIGO_A_51_P187018	2010012C16Rik	RIKEN cDNA 2010012C16 gene	1.60174
