Agilent ID	Symbol	Name	p-value	Expression
A_23_P123448	MMP16	matrix metallopeptidase 16 (membrane-inserted)	0.009896936	Up regulated probes
A_23_P210465	PI3	peptidase inhibitor 3, skin-derived	0.009896936	Up regulated probes
A_23_P78950	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	0.0069608158	Up regulated probes
A_23_P360213	#N/A	CYTOCHROME c OXIDASE III	0.007213599	Up regulated probes
A_23_P76350	GNB3	guanine nucleotide binding protein (G protein), beta polypeptide 3	0.008144644	Up regulated probes
A_23_P115215	VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)	0.008201426	Up regulated probes
A_23_P116110			0.009541341	Up regulated probes
A_23_P131252			0.009541341	Up regulated probes
A_23_P103315	LCE1A	LATE CORNIFIED ENVELOPE PROTEIN 1A	0.009929579	Up regulated probes
A_23_P161837	MRVI1	murine retrovirus integration site 1 homolog	0.009929579	Up regulated probes
A_23_P250951	SLC26A2	solute carrier family 26 (sulfate transporter), member 2	0.009929579	Up regulated probes
A_23_P212196	OGG1	8-oxoguanine DNA glycosylase	0.0097345095	Up regulated probes
A_23_P356088	SGMS1	sphingomyelin synthase 1	0.0097345095	DOWN regulated probes
A_23_P201655	MYCBP	c-myc binding protein	0.008315593	DOWN regulated probes
A_23_P366376	TDGF1	teratocarcinoma-derived growth factor 1	0.008229892	DOWN regulated probes
A_23_P28869	PTPRA	protein tyrosine phosphatase, receptor type, A	0.009962275	DOWN regulated probes
A_23_P31085	CCDC28A	coiled-coil domain containing 28A	0.009962275	DOWN regulated probes
A_23_P394276	RWDD4A	RWD domain containing 4A	0.007947501	DOWN regulated probes
A_23_P209946	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	0.007213599	DOWN regulated probes
A_23_P79692	ABI2	abl-interactor 2	0.007213599	DOWN regulated probes
A_23_P428992	LOC93622	hypothetical LOC93622	0.007213599	DOWN regulated probes
A_23_P413075	TC2N	tandem C2 domains, nuclear	0.007213599	DOWN regulated probes
A_23_P148372	CSTF2	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa	0.0071119163	DOWN regulated probes
A_23_P49015	WDR61	WD repeat domain 61	0.0071119163	DOWN regulated probes
A_23_P100250			0.0071119163	DOWN regulated probes
A_23_P157435	AZIN1	antizyme inhibitor 1	0.0071119163	DOWN regulated probes
A_23_P26704	MFSD11	major facilitator superfamily domain containing 11	0.0069608158	DOWN regulated probes
A_23_P88439	TC2N	tandem C2 domains, nuclear	0.009995023	DOWN regulated probes
A_23_P25964	GALC	galactosylceramidase	0.009995023	DOWN regulated probes
A_23_P101721	ZNF45	zinc finger protein 45	0.009896936	DOWN regulated probes
A_23_P104201	YME1L1	YME1-like 1 (S. cerevisiae)	0.009831807	DOWN regulated probes
A_23_P104541			0.009702182	DOWN regulated probes
A_23_P27048	TMEM199	transmembrane protein 199	0.009318395	DOWN regulated probes
A_23_P213893	MEGF10	multiple EGF-like-domains 10	0.0085173175	DOWN regulated probes
A_23_P79931	ATRN	attractin	0.0085173175	DOWN regulated probes
A_23_P31747	C8orf76	chromosome 8 open reading frame 76	0.00848835	DOWN regulated probes
A_23_P164459	TXNDC2	thioredoxin domain containing 2 (spermatozoa)	0.008459431	DOWN regulated probes
A_23_P117540	STYX	serine/threonine/tyrosine interacting protein	0.008430563	DOWN regulated probes
A_23_P388762	GPR107	G protein-coupled receptor 107	0.008401745	DOWN regulated probes
A_23_P17144	GPN1	GPN-loop GTPase 1	0.008372977	DOWN regulated probes
A_23_P14515	ACOT4	acyl-CoA thioesterase 4	0.00834426	DOWN regulated probes
A_23_P380724	LOC100134015	hypothetical LOC100134015	0.0072647245	DOWN regulated probes
A_23_P204333	ALG10	asparagine-linked glycosylation 10, alpha-1,2-glucosyltransferase homolog (S. pombe)	0.007239138	DOWN regulated probes
A_23_P80778	DIRC2	disrupted in renal carcinoma 2	0.007239138	DOWN regulated probes
A_23_P93954	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	0.0071881074	DOWN regulated probes
A_23_P57059	STAU1	staufen, RNA binding protein, homolog 1 (Drosophila)	0.0071626627	DOWN regulated probes
A_23_P81954	NEU1	sialidase 1 (lysosomal sialidase)	0.0071626627	DOWN regulated probes
A_23_P95189	SNUPN	snurportin 1	0.007137266	DOWN regulated probes
A_23_P6624	UMPS	uridine monophosphate synthetase	0.007137266	DOWN regulated probes
A_23_P62731	MRPS14	mitochondrial ribosomal protein S14	0.0070613595	DOWN regulated probes
A_23_P9145	UHRF2	ubiquitin-like with PHD and ring finger domains 2	0.0070109926	DOWN regulated probes
