Probe Set ID	Gene Title	Gene Symbol	1wk C57BL/6	1wk C3H/HeN	1wk IL-10	2 wk C57BL/6	2 wk C3H/HeN	2 wk IL-10	4wk C57BL/6	4wk C3H/HeN	4wk IL-10	Category
1424305_at	Ig joining chain	Igj	NC	NC	NC	NC	NC	NC	32	6	28	Adaptive immune response
1425519_a_at	Ia-associated invariant chain	Ii	NC	NC	NC	3.6	2.7	10	2.8	NC	13	Adaptive immune response
1422962_a_at	Proteosome (prosome, macropain) subunit,  type 8 (large multifunctional protease 7)	Psmb8	NC	7.4	2.2	6	9.4	43	2.6	4.5	46	Adaptive immune response
1450696_at	Proteosome (prosome, macropain) subunit  type 9 (large multifunctional protease 2)	Psmb9	NC	11	NC	6.5	7.9	40	2.4	3.6	45	Adaptive immune response
1417056_at	Proteasome (prosome, macropain) 28 subunit,  	Psme1	NC	2.2	NC	NC	2.6	5	NC	NC	4.2	Adaptive immune response
1416016_at	Transporter 1, ATP-binding cassette, subfamily B (MDR/TAP)	Tap1	NC	15	2	6.4	5.8	34	2.1	2.6	35	Adaptive immune response
1453913_a_at	Transporter 2, ATP-binding cassette, subfamily B (MDR/TAP)	Tap2	NC	4	NC	2.3	NC	12	NC	NC	12	Adaptive immune response
1417268_at	CD14 Ag	Cd14	NC	NC	NC	6.4	5.7	4.9	3.2	3.8	5.1	Cell surface receptors
1460251_at	Fas (TNF receptor superfamily member)	Fas	NC	NC	NC	NC	NC	2.4	NC	NC	3	Cell surface receptors
1418340_at	Fc receptor, IgE, high-affinity I,  polypeptide	Fcer1g	NC	NC	NC	5.4	6	9.5	2.5	3.3	8.4	Cell surface receptors
1417876_at	Fc receptor, IgG, high-affinity I	Fcgr1	NC	NC	2.2	14	8	48	3.3	3	51	Cell surface receptors
1451941_a_at	Fc receptor, IgG, low-affinity IIb	Fcgr2b	NC	3.0	NC	4.4	2.4	7.3	2.1	2.6	9.2	Cell surface receptors
1448620_at	Fc receptor, IgG, low-affinity III	Fcgr3	NC	NC	NC	4.9	5.7	6.9	2.7	3.2	7.4	Cell surface receptors
1422903_at	Lymphocyte Ag 86	Ly86	NC	NC	NC	6.3	8.7	11	3.8	4.1	12	Cell surface receptors
1449874_at	Lymphocyte Ag 96	Ly96	NC	NC	NC	NC	NC	3.5	NC	NC	4.3	Cell surface receptors
1449184_at	Peptidoglycan recognition protein 1	Pglyrp1	NC	NC	NC	NC	NC	3.2	NC	NC	NC	Cell surface receptors
1417860_a_at	Spondin 2, extracellular matrix protein	Spon2	NC	NC	NC	NC	NC	NC	NC	2.1	4.7	Cell surface receptors
1449049_at	TLR1	Tlr1	NC	NC	NC	13	NC	20	3.4	NC	23	Cell surface receptors
1419132_at	TLR2	Tlr2	NC	NC	NC	6.1	4.3	7.4	3.4	3.2	13	Cell surface receptors
1422781_at	TLR3	Tlr3	NC	NC	NC	NC	NC	2.7	NC	NC	4.6	Cell surface receptors
1418163_at	TLR4	Tlr4	NC	NC	NC	NC	NC	2.1	NC	NC	2.6	Cell surface receptors
1421352_at	TLR6	Tlr6	NC	NC	NC	2.1	NC	2.8	NC	NC	3.7	Cell surface receptors
1449473_s_at	TNF receptor superfamily, member 5	Tnfrsf5	NC	NC	NC	2.1	2.4	6.1	NC	NC	10	Cell surface receptors
1423048_a_at	Toll-interacting protein	Tollip	NC	NC	3.3	NC	NC	NC	NC	NC	2	Signaling molecules
1419272_at	Myeloid differentiation primary response gene 88	Myd88	NC	NC	NC	NC	NC	4.5	NC	NC	4.9	Signaling molecules
1417856_at	Avian reticuloendotheliosis viral (v-rel) oncogene-related B	Relb	NC	NC	NC	NC	NC	3.2	NC	NC	3.8	Signaling molecules
1418110_a_at	Inositol polyphosphate-5-phosphatase D	Inpp5d	NC	NC	NC	3.4	3.6	5.5	NC	NC	4.6	Signaling molecules
1422932_a_at	Vav 1 oncogene	Vav1	NC	NC	NC	7.4	2.4	5.9	2.2	NC	6.3	Signaling molecules
1422013_at	C-type lectin domain family 4, member a2	Clec4a2	NC	NC	NC	15	14	12	4.2	4.3	9.5	Cell-cell interactions/lectins
1420804_s_at	C-type lectin domain family 4, member d	Clec4d	NC	NC	NC	13	16	79	8	8.4	86	Cell-cell interactions/lectins
1420330_at	C-type lectin domain family 4, member e	Clec4e	NC	NC	NC	3.7	2.2	65	NC	NC	66	Cell-cell interactions/lectins
1425951_a_at	C-type lectin domain family 4, member n	Clec4n	NC	NC	NC	NC	NC	12	2.1	2.8	16	Cell-cell interactions/lectins
1419627_s_at	C-type lectin domain family 4, member n	Clec4n	NC	NC	NC	NC	4.7	7	2	5.2	10	Cell-cell interactions/lectins
1421366_at	C-type lectin domain family 5, member a	Clec5a	NC	NC	NC	2.1	NC	4.2	NC	NC	5.7	Cell-cell interactions/lectins
1419693_at	Collectin subfamily member 12	Colec12	NC	NC	NC	NC	NC	2.3	NC	NC	NC	Cell-cell interactions/lectins
1422133_at	Sialophorin	Spn	NC	NC	NC	2.1	NC	3.6	NC	NC	4.6	Cell-cell interactions/lectins
1417976_at	Adenosine deaminase	Ada	NC	NC	NC	NC	4.2	4.2	NC	2.5	4	Immune development
1424923_at	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	Serpina3g	NC	6.6	2.1	8.4	2.1	119	NC	NC	114	Immune development
1449361_at	T-box 21	Tbx21	NC	NC	NC	NC	NC	2.7	NC	NC	2.4	Immune development
