Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
CD83 molecule	Cd83	XM_341509	-2.127	0.036
CDC45 cell division cycle 45-like (S. cerevisiae)	Cdc45l	XM_213587	-0.786	0.037
CDC5 cell division cycle 5-like (S. pombe)	Cdc5l	NM_053527	-1.163	0.036
CDC-like kinase 3	Clk3	NM_134340	-0.647	0.046
CDP-diacylglycerol synthase 1	Cds1	NM_031242	-1.17	0.036
centaurin, delta 2	Centd2	BC088328	-0.944	0.036
centromere protein F	Cenpf	XM_223060	-1.603	0.045
chemokine (C-C motif) ligand 17	Ccl17	NM_057151	-1.945	0.041
chemokine (C-C motif) ligand 19	Ccl19	XM_342824	-2.732	0.047
chemokine (C-C motif) ligand 21b (serine)	Ccl21b	NM_001008513	-2.536	0.036
chromodomain helicase DNA binding protein 3	Chd3	XM_220602	-1.295	0.041
chromodomain helicase DNA binding protein 7	Chd7	XM_232671	-1.007	0.044
cleavage and polyadenylation specific factor 5	Cpsf5	XM_214640	-0.614	0.05
cleavage stimulation factor, 3 pre-RNA subunit 2	Cstf2	CB546636	-0.793	0.042
cleavage stimulation factor, 3 pre-RNA subunit 2, tau	Cstf2t	AW917690	-0.825	0.036
clusterin	Clu	NM_053021	-0.611	0.047
Cnksr family member 3	Cnksr3	NM_001012061	-0.998	0.037
coactosin-like 1 (Dictyostelium)	Cotl1	XM_341700	-1.49	0.045
coiled-coil domain containing 107	Ccdc107	CB544960	-1.087	0.036
coiled-coil domain containing 85B	Ccdc85b	XM_219510	-0.866	0.042
cold inducible RNA binding protein	Cirbp	NM_031147	-0.661	0.043
collagen, type II, alpha 1	Col2a1	NM_012929	-1.611	0.037
collagen, type XIV, alpha 1	Col14a1	XM_235308	-0.832	0.044
common salivary protein 1	LOC171161	NM_133622	-2.703	0.045
copine VI	Cpne6	XM_240182	-0.738	0.047
corepressor interacting with RBPJ, 1	Cir1	NM_001007799	-0.771	0.037
cornichon homolog 4 (Drosophila)	Cnih4	XM_213960	-0.885	0.037
crystallin, mu	Crym	NM_053955	-1.154	0.036
c-src tyrosine kinase	Csk	NM_001030039	-0.799	0.048
cut-like homeobox 1	Cux1	XM_347163	-1.366	0.036
cyclin-dependent kinase inhibitor 1B	Cdkn1b	NM_031762	-0.745	0.047
cysteine-rich, angiogenic inducer, 61	Cyr61	NM_031327	-1.34	0.049
cysteine-serine-rich nuclear protein 1	Csrnp1	AW916210	-0.87	0.037
D site of albumin promoter (albumin D-box) binding protein	Dbp	NM_012543	-1.461	0.038
dachsous 1 (Drosophila)	Dchs1	XM_219128	-1.164	0.037
DEK oncogene	Dek	CB545729	-0.708	0.048
DENN/MADD domain containing 2D	Dennd2d	XM_227570	-1.955	0.041
diacylglycerol kinase zeta	Dgkz	NM_031143	-0.667	0.049
dihydrouridine synthase 2-like, SMM1 homolog (S. cerevisiae)	Dus2l	XM_214665	-0.88	0.036
DNA cross-link repair 1C, PSO2 homolog (S. cerevisiae)	Dclre1c	NM_147145	-1.025	0.037
DnaJ (Hsp40) homolog, subfamily C, member 18	Dnajc18	NM_001013887	-0.661	0.048
DnaJ (Hsp40) homolog, subfamily C, member 5	Dnajc5	NM_024161	-1.003	0.045
docking protein 3	Dok3	XM_225170	-1.759	0.036
dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	Dpm2	NM_019252	-0.986	0.045
dual adaptor of phosphotyrosine and 3-phosphoinositides	Dapp1	XM_342348	-1.252	0.047
dual specificity phosphatase 2	Dusp2	NM_001012089	-1.543	0.036
dystrobrevin, beta	Dtnb	NM_001012191	-1.114	0.042
dystrophin	Dmd	NM_012698	-0.81	0.042
E1A binding protein p300	Ep300	CB547347	-1.106	0.042
E2F transcription factor 5	E2f5	XM_574892	-0.999	0.036
early growth response 1	Egr1	NM_012551	-2.258	0.044
EF-hand domain (C-terminal) containing 1	Efhc1	BF564803	-1.419	0.036
Enah/Vasp-like	Evl	NM_024147	-1.524	0.043
enhancer of zeste homolog 1 (Drosophila)	Ezh1	XM_220986	-0.839	0.046
epsin 3	Epn3	NM_001024791	-1.964	0.042
erythrocyte protein band 4.1-like 3	Epb4.1l3	NM_053927	-1.249	0.043
euchromatic histone lysine N-methyltransferase 2	Ehmt2	NM_212463	-1.363	0.036
eukaryotic translation initiation factor 1A domain containing	Eif1ad	NM_001008305	-0.802	0.041
eukaryotic translation initiation factor 2 alpha kinase 4	Eif2ak4	XM_230462	-0.868	0.036
eukaryotic translation initiation factor 2B, subunit 2 beta	Eif2b2	NM_032058	-0.829	0.036
eukaryotic translation initiation factor 2C, 1	Eif2c1	XM_233544	-0.86	0.04
eukaryotic translation initiation factor 3, subunit G	Eif3g	NM_001013095	-0.835	0.037
exosome component 8	Exosc8	XM_215566	-0.915	0.041
ezrin	Ezr	NM_019357	-1.454	0.038
family with sequence similarity 113, member A	Fam113a	XM_215835	-1.014	0.037
family with sequence similarity 117, member B	Fam117b	XM_343576	-0.634	0.038
family with sequence similarity 189, member B	Fam189b	XM_227412	-1.066	0.043
Fanconi anemia, complementation group C	Fancc	NM_012557	-0.709	0.037
FAT tumor suppressor homolog 1 (Drosophila)	Fat1	NM_031819	-0.643	0.047
fatty acid amide hydrolase	Faah	NM_024132	-1.006	0.047
F-box and leucine-rich repeat protein 19	Fbxl19	XM_219356	-1.254	0.045
Fc fragment of IgG, low affinity IIb, receptor (CD32)	Fcgr2b	NM_175756	-1.397	0.045
fetal Alzheimer antigen	Falz	XM_221050	-0.74	0.037
fibroblast growth factor (acidic) intracellular binding protein	Fibp	NM_172334	-0.83	0.042
fibroblast growth factor receptor 4	Fgfr4	M91599	-0.816	0.037
ficolin (collagen/fibrinogen domain containing) 1	Fcn1	NM_031348	-0.735	0.047
FK506 binding protein 1a	Fkbp1a	NM_013102	-0.682	0.037
forkhead box P1	Foxp1	XM_216227	-0.934	0.036
four and a half LIM domains 2	Fhl2	NM_031677	-0.925	0.042
G protein-coupled receptor 160	Gpr160	NM_001025147	-1.015	0.037
gamma-glutamyl hydrolase	Ggh	NM_012960	-0.775	0.049
Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	Fgr	NM_024145	-0.748	0.048
general transcription factor IIH, polypeptide 2	Gtf2h2	XM_215466	-0.739	0.048
glioma tumor suppressor candidate region gene 2	Gltscr2	NM_207591	-0.634	0.042
glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Gne	NM_053765	-1.313	0.036
glucosamine-phosphate N-acetyltransferase 1	Gnpnat1	AW915606	-0.724	0.037
glutamate decarboxylase 1	Gad1	NM_017007	-2.717	0.037
glutamate receptor, ionotrophic, AMPA 3	Gria3	NM_032990	-1.347	0.043
glycosylation dependent cell adhesion molecule 1	Glycam1	NM_012794	-2.402	0.037
glycosylphosphatidylinositol specific phospholipase D1	Gpld1	XM_214480	-1.16	0.043
golgi associated, gamma adaptin ear containing, ARF binding protein 3	Gga3	CB606450	-0.59	0.048
golgi phosphoprotein 2	Golph2	XM_225147	-1.363	0.036
G-protein signaling modulator 3 (AGS3-like, C. elegans)	Gpsm3	NM_001003974	-1.056	0.036
GRAM domain containing 1A	Gramd1a	NM_001014160	-1.152	0.036
growth arrest and DNA-damage-inducible, beta	Gadd45b	NM_001008321	-1.088	0.036
growth arrest specific 5	Gas5	U77829	-1.396	0.037
growth arrest specific 6	Gas6	BC070881	-1.178	0.036
guanine nucleotide binding protein (G protein), alpha z polypeptide	Gnaz	NM_013189	-0.958	0.046
guanine nucleotide binding protein, alpha 15	Gna15	NM_053542	-0.998	0.036
guanine nucleotide binding protein-like 1	Gnl1	NM_212500	-1.425	0.037
H2A histone family, member X	H2afx	XM_576399	-1.595	0.037
HCCA2 protein	Hcca2	XM_574587	-0.785	0.036
headcase homolog (Drosophila)	Heca	XM_218660	-0.996	0.036
heterogeneous nuclear ribonucleoprotein H1	Hnrph1	NM_080896	-0.928	0.048
heterogeneous nuclear ribonucleoprotein U-like 1	Hnrnpul1	XM_341807	-0.832	0.037
high mobility group box 1	Hmgb1	NM_012963	-0.839	0.046
HIRA interacting protein 3	Hirip3	NM_001025725	-0.841	0.037
histidine acid phosphatase domain containing 2A	Hisppd2a	XM_230503	-0.629	0.046
histone acetyltransferase 1	Hat1	NM_001009657	-0.867	0.043
histone deacetylase 2	Hdac2	XM_342149	-0.851	0.037
HLA-B associated transcript 1	Bat1	NM_133300	-1.19	0.037
HMG box domain containing 4	Hmgxb4	XM_226315	-0.803	0.046
homeodomain interacting protein kinase 4	Hipk4	NM_001024776	-1.315	0.048
homer homolog 1 (Drosophila)	Homer1	NM_031707	-1.099	0.047
hyaluronoglucosaminidase 2	Hyal2	NM_172040	-0.786	0.046
hydroxyacylglutathione hydrolase-like	Haghl	NM_001013114	-1.006	0.037
hydroxysteroid (17-beta) dehydrogenase 11	Hsd17b11	NM_001004209	-0.652	0.047
hypothetical protein LOC619574	LOC619574	BC079126	-0.608	0.044
hypothetical protein LOC691259	LOC691259	XM_213308	-0.712	0.038
immediate early response 3	Ier3	NM_212505	-0.969	0.043
immunoglobulin superfamily, member 8	Igsf8	NM_001014787	-1.21	0.036
IMP (inosine monophosphate) dehydrogenase 2	Impdh2	NM_199099	-1.327	0.036
inhibitor of growth family, member 1	Ing1	BC086336	-0.893	0.036
inositol 1,4,5-triphosphate receptor, type 3	Itpr3	NM_013138	-1.109	0.036
inositol hexakisphosphate kinase 2	Ip6k2	XM_576471	-0.808	0.044
inositol polyphosphate-5-phosphatase B	Inpp5b	XM_342909	-0.71	0.042
integral membrane protein 2C	Itm2c	NM_001009674	-0.801	0.039
integrator complex subunit 10	Ints10	XM_214334	-0.608	0.048
integrin, beta 6	Itgb6	NM_001004263	-2.267	0.049
integrin-linked kinase	Ilk	NM_133409	-0.648	0.047
interferon induced transmembrane protein 1	Ifitm1	XM_215117	-1.141	0.037
interferon regulatory factor 3	Irf3	NM_001006969	-0.614	0.045
interferon regulatory factor 6	Irf6	XM_344194	-1.806	0.037
interleukin 1 beta	Il1b	NM_031512	-2.225	0.036
interleukin 18	Il18	NM_019165	-2.231	0.037
interleukin 2 receptor, beta	Il2rb	NM_013195	-1.431	0.044
IQ motif containing B1	Iqcb1	XM_221420	-1.104	0.043
isoleucyl-tRNA synthetase	Iars	XM_225196	-0.98	0.047
Janus kinase 2	Jak2	NM_031514	-0.684	0.046
Jun oncogene	Jun	X17215	-0.656	0.047
junctional adhesion molecule 3	Jam3	NM_001004269	-0.967	0.038
karyopherin alpha 2	Kpna2	NM_053483	-1.099	0.04
katanin p60 (ATPase-containing) subunit A1	Katna1	NM_001004217	-0.705	0.044
kelch-like 5 (Drosophila)	Klhl5	XM_223418	-1.01	0.037
kelch-like 8 (Drosophila)	Klhl8	XM_213995	-1.002	0.042
kinectin 1	Ktn1	XM_341305	-0.802	0.046
kinesin family member 20B	Kif20b	CB545413	-0.859	0.044
KRAB-A domain containing 1	Krba1	XM_342681	-1.331	0.037
leucine rich repeat containing 42	Lrrc42	NM_001025653	-1.078	0.043
leukocyte receptor cluster (LRC) member 1	Leng1	XM_214797	-1.355	0.036
LIM domain binding 1	Ldb1	XM_219948	-0.921	0.037
lin-37 homolog (C. elegans)	Lin37	XM_214898	-0.755	0.043
linker for activation of T cells	Lat	NM_030853	-1.861	0.048
lymphocyte cytosolic protein 1	Lcp1	NM_001012044	-1.453	0.048
lymphocyte-specific protein tyrosine kinase	Lck	XM_232763	-2.821	0.048
lymphotoxin beta (TNF superfamily, member 3)	Ltb	NM_212507	-3.013	0.041
lysophosphatidic acid receptor 1	Lpar1	NM_053936	-1.119	0.046
lysosomal protein transmembrane 5	Laptm5	NM_053538	-1.657	0.042
major facilitator superfamily domain containing 4	Mfsd4	XM_573448	-1.938	0.036
major facilitator superfamily domain containing 6	Mfsd6	BG665267	-0.941	0.037
mammary cancer associated protein RMT-1	Rmt1	NM_145088	-0.902	0.036
mannose-6-phosphate receptor, cation dependent	M6pr	NM_001007700	-0.598	0.042
mannosidase, alpha, class 2A, member 1	Man2a1	H32368	-0.964	0.036
MAP-kinase activating death domain	Madd	NM_053585	-1.344	0.037
matrix metallopeptidase 2	Mmp2	U65656	-0.68	0.037
Mdm4 p53 binding protein homolog (mouse)	Mdm4	NM_001012026	-1.228	0.036
mediator complex subunit 13	Med13	XM_220813	-1.163	0.036
Mediterranean fever	Mefv	NM_031634	-1.035	0.037
membrane bound O-acyltransferase domain containing 1	Mboat1	XM_574019	-1.119	0.048
menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	Mnat1	NM_153472	-0.786	0.042
metal response element binding transcription factor 2	Mtf2	XM_341180	-0.851	0.041
metastasis associated 1	Mta1	NM_022588	-0.756	0.041
methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	Mthfd1l	XM_341750	-1.869	0.036
microtubule associated monoxygenase, calponin and LIM domain containing 1	Mical1	XM_215424	-0.784	0.047
microtubule-actin crosslinking factor 1	Macf1	XM_342906	-0.899	0.037
microtubule-associated protein 2	Map2	U30938	-1.584	0.042
microtubule-associated protein 7	Map7	XM_214968	-0.943	0.047
milk fat globule-EGF factor 8 protein	Mfge8	NM_012811	-1.37	0.037
minichromosome maintenance deficient 7 (S. cerevisiae)	Mcm7	NM_001004203	-0.932	0.037
mitochondrial ribosomal protein L9	mrpl9	NM_001007696	-0.629	0.046
mitogen activated protein kinase kinase kinase 2	Map3k2	XM_226073	-0.772	0.042
mitogen-activated protein kinase kinase 1 interacting protein 1	Map2k1ip1	NM_001008375	-0.586	0.048
mitogen-activated protein kinase kinase kinase 11	Map3k11	NM_001013150	-1.023	0.041
M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	Mphosph10	XM_238166	-1.218	0.036
myb-like, SWIRM and MPN domains 1	Mysm1	XM_216460	-0.756	0.037
myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	Mllt10	NM_001012162	-1.241	0.036
myeloid/lymphoid or mixed-lineage leukemia 1	Mll1	XM_236194	-1.361	0.039
myosin VC	Myo5c	CB544339	-2.213	0.036
MYST histone acetyltransferase 2	Myst2	NM_181081	-0.599	0.043
N-6 adenine-specific DNA methyltransferase 2 (putative)	N6amt2	XM_214202	-0.993	0.037
nascent-polypeptide-associated complex alpha polypeptide	Naca	XM_213821	-0.71	0.038
NCK adaptor protein 2	Nck2	XM_237115	-0.872	0.037
NCK associated protein 1 like	Nckap1l	XM_235709	-0.751	0.045
neuroguidin, EIF4E binding protein	Ngdn	XM_224181	-0.914	0.037
neutrophil cytosolic factor 4	Ncf4	BF565335	-1.603	0.041
nuclear mitotic apparatus protein 1	Numa1	XM_218972	-0.809	0.037
nuclear receptor binding SET domain protein 1	Nsd1	XM_225168	-0.604	0.046
nuclear receptor subfamily 2, group F, member 6	Nr2f6	NM_139113	-0.668	0.042
nuclear transcription factor, X-box binding 1	Nfx1	NM_001024784	-1.074	0.046
nuclear transcription factor-Y beta	Nfyb	NM_031553	-0.718	0.037
nucleolar and coiled-body phosphoprotein 1	Nolc1	NM_022869	-1.031	0.036
nucleoporin 107	Nup107	NM_053830	-1.148	0.036
nucleoporin 210	Nup210	NM_053322	-1.611	0.047
oral-facial-digital syndrome 1 gene homolog (human)	Ofd1	XM_217615	-0.748	0.04
oxidative stress induced growth inhibitor 1	Osgin1	NM_138504	-1.625	0.047
pan hematopoietic expression	Phemx	BC088266	-2.333	0.045
PAP associated domain containing 5	Papd5	XM_226334	-0.722	0.05
par-3 (partitioning defective 3) homolog (C. elegans)	Pard3	NM_031235	-1.156	0.043
parvin, alpha	Parva	NM_020656	-0.749	0.044
PC4 and SFRS1 interacting protein 1	Psip1	NM_175765	-0.989	0.036
peptidylprolyl isomerase (cyclophilin)-like 1	Ppil1	XM_228046	-0.843	0.038
peptidylprolyl isomerase C	Ppic	NM_001004215	-0.672	0.037
pescadillo homolog 1, containing BRCT domain (zebrafish)	Pes1	CB547305	-0.658	0.041
PHD finger protein 14	Phf14	XM_575385	-0.7	0.044
PHD finger protein 19	Phf19	XM_580016	-0.601	0.041
phosphatidylcholine transfer protein	Pctp	NM_017225	-0.814	0.04
phosphatidylethanolamine binding protein 1	Pebp1	NM_017236	-1.004	0.037
phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	Prex1	XM_230873	-1.293	0.037
phosphodiesterase 4B, cAMP specific	Pde4b	NM_017031	-1.012	0.037
phosphoenolpyruvate carboxykinase 2 (mitochondrial)	Pck2	XM_341319	-1.116	0.043
phosphofurin acidic cluster sorting protein 1	Pacs1	NM_134406	-0.644	0.047
phospholipase C, gamma 1	Plcg1	NM_013187	-0.632	0.049
phospholipase C, gamma 2	Plcg2	NM_017168	-0.798	0.042
phospholipase D family, member 3	Pld3	NM_001012167	-0.612	0.037
phospholipid scramblase 1	Plscr1	NM_057194	-1.209	0.036
phospholipid scramblase 2	Plscr2	NM_001014094	-1.178	0.036
phosphoribosyl pyrophosphate synthetase-associated protein 1	Prpsap1	NM_022545	-1.205	0.036
phosphorylase kinase, gamma 2 (testis)	Phkg2	NM_080584	-0.747	0.037
poly (ADP-ribose) polymerase family, member 8	Parp8	XM_215491	-0.948	0.037
poly(A) binding protein, cytoplasmic 1	Pabpc1	NM_134353	-0.772	0.042
polymerase (DNA directed), epsilon	Pole	XM_222255	-0.909	0.037
polymerase (DNA directed), gamma 2, accessory subunit	Polg2	XM_221047	-0.843	0.042
polymerase (DNA-directed), delta 3, accessory subunit	Pold3	NM_001024750	-0.911	0.041
polymerase (RNA) I polypeptide C	Polr1c	NM_001008330	-0.716	0.048
polymerase (RNA) II (DNA directed) polypeptide H-like	Polr2hl	XM_213574	-0.734	0.047
polynucleotide kinase 3-phosphatase	Pnkp	NM_001004259	-1.006	0.036
potassium channel tetramerisation domain containing 1	Kctd1	XM_214617	-1.525	0.036
potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	Kcnn4	NM_023021	-1.895	0.036
POU class 3 homeobox 3	Pou3f3	NM_138837	-1.562	0.037
proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	Psmb8	NM_080767	-1.051	0.036
proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	Psmb9	NM_012708	-0.93	0.042
proteasome maturation protein	Pomp	XM_213700	-1.025	0.036
protein arginine methyltransferase 1	Prmt1	NM_024363	-0.915	0.044
protein arginine methyltransferase 7	Prmt7	NM_001014153	-0.756	0.043
protein interacting with PRKCA 1	Pick1	NM_053460	-0.981	0.042
protein kinase C, delta	Prkcd	NM_133307	-0.888	0.046
protein kinase C, theta	Prkcq	XM_341553	-1.351	0.049
protein kinase D2	Prkd2	NM_001013895	-0.717	0.037
protein kinase, cAMP dependent regulatory, type I, alpha	Prkar1a	CF110967	-0.683	0.043
protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	Pomgnt1	NM_001007747	-0.805	0.036
protein regulator of cytokinesis 1	Prc1	XM_218820	-1.582	0.046
protein tyrosine phosphatase, non-receptor type 13	Ptpn13	XM_573554	-0.714	0.042
protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	Ptpn22	XM_215658	-3.063	0.047
protein tyrosine phosphatase, non-receptor type 6	Ptpn6	NM_053908	-1.566	0.036
protein tyrosine phosphatase, non-receptor type 7	Ptpn7	NM_145683	-1.519	0.044
NA (Prtpc-predicted)	NA	NA	-2.549	0.048
prothymosin alpha	Ptma	NM_021740	-0.907	0.042
pumilio homolog 1 (Drosophila)	Pum1	XM_342928	-0.669	0.042
R3H domain and coiled-coil containing 1	R3hcc1	XM_341347	-0.933	0.047
RAB, member of RAS oncogene family-like 2B	Rabl2b	NM_001013221	-0.665	0.042
RAB25, member RAS oncogene family	Rab25	XM_227404	-1.913	0.04
RAB4B, member RAS oncogene family	Rab4b	NM_017355	-0.94	0.04
RAD21 homolog (S. pombe)	Rad21	NM_001025701	-0.767	0.047
RAD52 homolog (S. cerevisiae)	Rad52	XM_216230	-1.102	0.036
Ral GEF with PH domain and SH3 binding motif 2	Ralgps2	XM_222773	-1.525	0.036
RALBP1 associated Eps domain containing 1	Reps1	XM_214954	-1.212	0.036
RanBP-type and C3HC4-type zinc finger containing 1	Rbck1	NM_021764	-1.165	0.037
Rap guanine nucleotide exchange factor (GEF) 6	Rapgef6	XM_220428	-0.685	0.043
RAP1 interacting factor homolog (yeast)	Rif1	BF287849	-1.128	0.037
Ras and Rab interactor 2	Rin2	XM_230647	-1.037	0.036
Ras homolog enriched in brain like 1	Rhebl1	NM_182825	-1.837	0.037
regenerating islet-derived 3 beta	Reg3b	NM_053289	-2.181	0.036
regenerating islet-derived 3 gamma	Reg3g	NM_173097	-0.898	0.042
regulator of G-protein signaling 1	Rgs1	U77698	-1.788	0.037
regulator of G-protein signaling 10	Rgs10	XM_341936	-1.166	0.036
regulatory factor X, 7	Rfx7	XM_236392	-1.097	0.036
remodeling and spacing factor 1	Rsf1	XM_218939	-0.799	0.037
renin binding protein	Renbp	NM_031095	-1.238	0.047
ret proto-oncogene	Ret	NM_012643	-1.901	0.042
reticulocalbin 1, EF-hand calcium binding domain	Rcn1	XM_342481	-1.2	0.037
reticulocalbin 3, EF-hand calcium binding domain	Rcn3	NM_001008694	-1.094	0.041
retinoblastoma binding protein 6	Rbbp6	XM_219296	-0.885	0.036
retinoic acid receptor responder (tazarotene induced) 1	Rarres1	NM_001014790	-0.884	0.039
REV1 homolog (S. cerevisiae)	Rev1	XM_237071	-0.948	0.038
Rho GTPase activating protein 11A	Arhgap11a	XM_230459	-1.216	0.036
rhomboid 5 homolog 1 (Drosophila)	Rhbdf1	NM_001030034	-0.617	0.045
rhophilin, Rho GTPase binding protein 1	Rhpn1	BM390495	-0.602	0.045
ribosomal protein L19	Rpl19	NM_031103	-0.815	0.042
ribosomal protein L24	Rpl24	NM_022515	-1.114	0.036
ribosomal protein L27	Rpl27	NM_022514	-0.948	0.037
ribosomal protein L28	Rpl28	X52619	-0.63	0.047
ribosomal protein L30	Rpl30	NM_022699	-1.281	0.036
ribosomal protein L36	Rpl36	NM_022504	-0.717	0.046
ribosomal protein L37	Rpl37	NM_031106	-0.73	0.048
ribosomal protein L38	Rpl38	X57007	-0.724	0.046
ribosomal protein L4	Rpl4	NM_022510	-0.918	0.036
ribosomal protein L41	Rpl41	NM_139083	-1.416	0.036
ribosomal protein S10	Rps10	NM_031109	-0.609	0.044
ribosomal protein S11	Rps11	NM_031110	-0.757	0.037
ribosomal protein S15	Rps15	NM_017151	-0.967	0.037
ribosomal protein S19	Rps19	XM_574391	-1.192	0.036
ribosomal protein S21	Rps21	NM_031111	-1.167	0.036
ribosomal protein s25	Rps25	NM_001005528	-0.783	0.037
ribosomal protein S3a	Rps3a	NM_017153	-1.05	0.036
