Symbol	probe set	Description	CP1	CP3	CP3 vs CP1
Spib	1460407_at	Spi-B transcription factor (Spi-1/PU.1 related)	139	63.2	-2.199367089
Spp1	1449254_at	secreted phosphoprotein 1	421.4	192.5	-2.189090909
Sprr2a	1439016_x_at	small proline-rich protein 2A	448.3	204.8	-2.188964844
Srl	1436867_at	sarcalumenin	903.9	413.4	-2.186502177
Tatdn1	1444644_x_at	TatD DNase domain containing 1	389.9	178.9	-2.179429849
Tatdn2	1454769_at	TatD DNase domain containing 2	570.6	264.4	-2.158093797
Tcap	1423145_a_at	titin-cap	386.8	179.7	-2.152476349
Tcfe2a	1427764_a_at	transcription factor E2a	898.2	418	-2.148803828
Tcrb-V13	1427849_a_at	T-cell receptor beta, variable 13	355.7	167.1	-2.12866547
Tm7sf3	1438504_x_at	transmembrane 7 superfamily member 3	346.2	162.8	-2.126535627
Tmem69	1446160_x_at	transmembrane protein 69	439.5	207.6	-2.117052023
Tmod4	1449969_at	tropomodulin 4	5026.3	2388.9	-2.104022772
Tnfrsf7	1452389_at	tumor necrosis factor receptor superfamily, member 7	475.9	227.3	-2.093708755
Tnnc2	1417464_at	troponin C2, fast	323.5	155.7	-2.077713552
Tnni2	1438609_x_at	troponin I, skeletal, fast 2	2257	1087.4	-2.075593158
Tnnt3	1450118_a_at	troponin T3, skeletal, fast	441.2	212.9	-2.072334429
Tph1	1419524_at	tryptophan hydroxylase 1	554.6	270.8	-2.048005908
Tpm2	1449577_x_at	tropomyosin 2, beta	562.7	274.9	-2.046926155
Trdn	1426143_at	triadin	336.8	164.8	-2.04368932
Ttn	1427445_a_at	titin	1147.8	565.2	-2.030785563
Ucp1	1418197_at	uncoupling protein 1 (mitochondrial, proton carrier)	431.1	214.6	-2.008853681
Zbtb16	1439163_at	zinc finger and BTB domain containing 16	463	230.5	-2.00867679
Zdhhc12	1448857_a_at	zinc finger, DHHC domain containing 12	252.4	126	-2.003174603
Zmat5	1419366_at	zinc finger, matrin type 5	382.3	193	-1.980829016
