Probe set	Symbol	Title	p value	Fold
218979_at	RMI1	RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae)	0.00003	1.99
221053_s_at	TDRKH	tudor and KH domain containing	0.00003	1.6
223005_s_at	C9orf5	chromosome 9 open reading frame 5	0.00003	3.29
223501_at	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	0.00003	0.4
223879_s_at	OXR1	oxidation resistance 1	0.00003	2.85
225106_s_at	OGFOD1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	0.00003	1.73
226084_at	MAP1B	microtubule-associated protein 1B	0.00003	0.37
235746_s_at	PLA2R1	phospholipase A2 receptor 1, 180kDa	0.000039	0.66
200786_at	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	0.000042	1.68
201792_at	AEBP1	AE binding protein 1	0.000042	0.34
204265_s_at	GPSM3	G-protein signaling modulator 3 (AGS3-like, C. elegans)	0.000042	0.57
205269_at	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	0.000042	0.43
208424_s_at	CIAPIN1	cytokine induced apoptosis inhibitor 1	0.000042	1.62
209191_at	TUBB6	tubulin, beta 6	0.000042	0.41
209520_s_at	NCBP1	nuclear cap binding protein subunit 1, 80kDa	0.000042	2.05
209524_at	HDGFRP3	hepatoma-derived growth factor, related protein 3	0.000042	0.46
210625_s_at	AKAP1	A kinase (PRKA) anchor protein 1	0.000042	2.06
211419_s_at	CHN2	chimerin (chimaerin) 2	0.000042	2.22
212428_at	KIAA0368	KIAA0368	0.000042	1.94
213253_at	SMC2	structural maintenance of chromosomes 2	0.000042	1.69
214628_at	NHLH1	nescient helix loop helix 1	0.000042	0.75
217666_at	217666_at	CDNA clone IMAGE:4797099	0.000042	1.44
217808_s_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	0.000042	1.62
218530_at	FHOD1	formin homology 2 domain containing 1	0.000042	0.66
220659_s_at	C7orf43	chromosome 7 open reading frame 43	0.000042	0.72
222218_s_at	PILRA	paired immunoglobin-like type 2 receptor alpha	0.000042	0.65
225476_at	BAT4	HLA-B associated transcript 4	0.000042	1.69
225634_at	ZC3HAV1	zinc finger CCCH-type, antiviral 1	0.000042	1.57
226311_at	226311_at	CDNA clone IMAGE:30924414	0.000042	0.28
226676_at	ZNF521	zinc finger protein 521	0.000042	0.54
227662_at	SYNPO2	synaptopodin 2	0.000042	0.3
232021_at	GLT8D3	glycosyltransferase 8 domain containing 3	0.000042	1.86
232333_at	232333_at	CDNA FLJ12284 fis, clone MAMMA1001757	0.000042	0.49
244276_at	KLB	klotho beta	0.000042	2.23
244414_at	244414_at	---	0.000042	0.39
37408_at	MRC2	mannose receptor, C type 2	0.000042	0.5
1556499_s_at	COL1A1	collagen, type I, alpha 1	0.000057	0.19
201163_s_at	IGFBP7	insulin-like growth factor binding protein 7	0.000057	0.48
202391_at	BASP1	brain abundant, membrane attached signal protein 1	0.000057	0.32
203083_at	THBS2	thrombospondin 2	0.000057	0.17
203685_at	BCL2	B-cell CLL/lymphoma 2	0.000057	0.46
203888_at	THBD	thrombomodulin	0.000057	0.56
204904_at	GJA4	gap junction protein, alpha 4, 37kDa	0.000057	0.59
205422_s_at	ITGBL1	integrin, beta-like 1 (with EGF-like repeat domains)	0.000057	0.2
206098_at	ZBTB6	zinc finger and BTB domain containing 6	0.000057	1.6
206346_at	PRLR	prolactin receptor	0.000057	1.82
207486_x_at	CHN2	chimerin (chimaerin) 2	0.000057	1.68
208490_x_at	HIST1H2BF	histone cluster 1, H2bf	0.000057	2.43
209085_x_at	RFC1	replication factor C (activator 1) 1, 145kDa	0.000057	1.73
209162_s_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	0.000057	2.04
212386_at	TCF4	transcription factor 4	0.000057	0.46
214507_s_at	EXOSC2	exosome component 2	0.000057	1.8
218850_s_at	LIMD1	LIM domains containing 1	0.000057	1.84
221136_at	GDF2	growth differentiation factor 2	0.000057	0.74
221428_s_at	TBL1XR1	transducin (beta)-like 1X-linked receptor 1	0.000057	3.03
221618_s_at	LOC728198 /// TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa /// similar to transcription associated factor 9B	0.000057	2.54
221814_at	GPR124	G protein-coupled receptor 124	0.000057	0.43
222683_at	RNF20	ring finger protein 20	0.000057	1.88
223219_s_at	CNOT10	CCR4-NOT transcription complex, subunit 10	0.000057	1.52
224618_at	ROD1	ROD1 regulator of differentiation 1 (S. pombe)	0.000057	1.54
229723_at	TAGAP	T-cell activation GTPase activating protein	0.000057	0.35
232543_x_at	ARHGAP9	Rho GTPase activating protein 9	0.000057	0.48
235917_at	235917_at	Transcribed locus	0.000057	1.34
201551_s_at	LAMP1	lysosomal-associated membrane protein 1	0.000077	2.27
203293_s_at	LMAN1	lectin, mannose-binding, 1	0.000077	2.55
204748_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.000077	0.61
205312_at	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	0.000077	0.66
208546_x_at	HIST1H2BH	histone cluster 1, H2bh	0.000077	2.57
209596_at	MXRA5	matrix-remodelling associated 5	0.000077	0.25
213130_at	ZNF473	zinc finger protein 473	0.000077	1.35
213352_at	TMCC1	transmembrane and coiled-coil domain family 1	0.000077	3.18
215794_x_at	GLUD2	glutamate dehydrogenase 2	0.000077	3.26
215984_s_at	ARFRP1	ADP-ribosylation factor related protein 1	0.000077	1.63
216598_s_at	CCL2	chemokine (C-C motif) ligand 2	0.000077	0.31
216638_s_at	PRLR	prolactin receptor	0.000077	1.33
220358_at	SNFT	Jun dimerization protein p21SNFT	0.000077	0.73
221698_s_at	CLEC7A	C-type lectin domain family 7, member A	0.000077	0.51
224283_x_at	IL18BP	interleukin 18 binding protein	0.000077	0.7
224600_at	CGGBP1	CGG triplet repeat binding protein 1	0.000077	1.67
224833_at	ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	0.000077	0.49
224929_at	TMEM173	transmembrane protein 173	0.000077	0.47
225303_at	KIRREL	kin of IRRE like (Drosophila)	0.000077	0.5
225720_at	SYNPO2	synaptopodin 2	0.000077	0.47
227008_at	HDDC3	HD domain containing 3	0.000077	1.54
227584_at	227584_at	CDNA FLJ34248 fis, clone FCBBF4000446	0.000077	0.73
228407_at	SCUBE3	signal peptide, CUB domain, EGF-like 3	0.000077	0.77
230797_s_at	LOC440900	hypothetical LOC440900	0.000077	0.82
235436_at	DDX31	DEAD (Asp-Glu-Ala-Asp) box polypeptide 31	0.000077	1.74
57715_at	FAM26B	family with sequence similarity 26, member B	0.000077	0.53
214631_at	ZBTB33	zinc finger and BTB domain containing 33	0.00008	1.3
235038_at	KRR1	KRR1, small subunit (SSU) processome component, homolog (yeast)	0.000081	1.39
230254_at	FAM26E	family with sequence similarity 26, member E	0.000096	0.73
201162_at	IGFBP7	insulin-like growth factor binding protein 7	0.000096	0.38
1561196_at	1561196_at	CDNA clone IMAGE:4827713	0.000103	1.14
200824_at	GSTP1	glutathione S-transferase pi	0.000103	0.59
202665_s_at	WIPF1	WAS/WASL interacting protein family, member 1	0.000103	0.65
202686_s_at	AXL	AXL receptor tyrosine kinase	0.000103	0.54
203220_s_at	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)	0.000103	1.49
203835_at	LRRC32	leucine rich repeat containing 32	0.000103	0.46
204472_at	GEM	GTP binding protein overexpressed in skeletal muscle	0.000103	0.23
204923_at	CXorf9	chromosome X open reading frame 9	0.000103	0.46
204939_s_at	PLN	phospholamban	0.000103	0.58
206943_at	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	0.000103	1.41
207314_x_at	KIR3DL2	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2	0.000103	0.71
208021_s_at	RFC1	replication factor C (activator 1) 1, 145kDa	0.000103	1.66
208579_x_at	H2BFS	H2B histone family, member S	0.000103	2.78
209161_at	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	0.000103	1.52
209279_s_at	NSDHL	NAD(P) dependent steroid dehydrogenase-like	0.000103	1.99
209527_at	EXOSC2	exosome component 2	0.000103	1.64
212488_at	COL5A1	collagen, type V, alpha 1	0.000103	0.27
214755_at	UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	0.000103	0.69
214869_x_at	GAPVD1	GTPase activating protein and VPS9 domains 1	0.000103	1.49
214895_s_at	ADAM10	ADAM metallopeptidase domain 10	0.000103	2.99
216061_x_at	PDGFB	platelet-derived growth factor beta polypeptide (simian sarcoma viral (v-sis) oncogene homolog)	0.000103	0.62
219278_at	MAP3K6	mitogen-activated protein kinase kinase kinase 6	0.000103	0.61
222387_s_at	VPS35	vacuolar protein sorting 35 homolog (S. cerevisiae)	0.000103	2.53
222555_s_at	MRPL44	mitochondrial ribosomal protein L44	0.000103	2.17
223007_s_at	C9orf5	chromosome 9 open reading frame 5	0.000103	2.26
223392_s_at	TSHZ3	teashirt zinc finger homeobox 3	0.000103	0.72
224772_at	NAV1	neuron navigator 1	0.000103	0.51
226824_at	CPXM2	carboxypeptidase X (M14 family), member 2	0.000103	0.63
227570_at	TMEM86A	transmembrane protein 86A	0.000103	0.76
227916_x_at	EXOSC3	exosome component 3	0.000103	1.97
233013_x_at	LOC220906	hypothetical protein LOC220906	0.000103	1.62
235685_at	235685_at	Transcribed locus	0.000103	2.02
235735_at	235735_at	Full length insert cDNA clone ZC64D04	0.000103	0.54
238443_at	TFAM	transcription factor A, mitochondrial	0.000103	1.78
238823_at	FMNL3	formin-like 3	0.000103	0.74
244220_at	244220_at	---	0.000103	0.5
244632_at	CNTN5	Contactin 5	0.000103	0.85
228263_at	GRASP	GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein	0.00011	0.72
228997_at	TRSPAP1	tRNA selenocysteine associated protein 1	0.000127	0.7
227850_x_at	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5	0.000128	0.55
242422_at	242422_at	Full-length cDNA clone CS0DL005YA15 of B cells (Ramos cell line) Cot 25-normalized of Homo sapiens (human)	0.000128	1.64
1566219_at	LOC338651	hypothetical protein LOC338651	0.000128	0.83
231411_at	LHFP	Lipoma HMGIC fusion partner	0.000128	0.58
220193_at	C1orf113	chromosome 1 open reading frame 113	0.000134	0.75
1555639_a_at	RBM14	RNA binding motif protein 14	0.000136	1.6
1557701_s_at	POLH	polymerase (DNA directed), eta	0.000136	1.45
1558028_x_at	LOC647979	hypothetical protein LOC647979	0.000136	2.59
201809_s_at	ENG	endoglin (Osler-Rendu-Weber syndrome 1)	0.000136	0.45
202157_s_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	0.000136	0.31
203416_at	CD53	CD53 molecule	0.000136	0.43
204192_at	CD37	CD37 molecule	0.000136	0.4
204570_at	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	0.000136	0.51
206174_s_at	PPP6C	protein phosphatase 6, catalytic subunit	0.000136	1.58
209619_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	0.000136	0.37
209906_at	C3AR1	complement component 3a receptor 1	0.000136	0.56
211505_s_at	STAU1	staufen, RNA binding protein, homolog 1 (Drosophila)	0.000136	1.86
212220_at	PSME4	proteasome (prosome, macropain) activator subunit 4	0.000136	2.25
212233_at	212233_at	3UTR of hypothetical protein (ORF1)	0.000136	0.45
212667_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0.000136	0.4
213562_s_at	SQLE	squalene epoxidase	0.000136	4.38
213592_at	AGTRL1	angiotensin II receptor-like 1	0.000136	0.51
214803_at	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)	0.000136	0.6
217777_s_at	LOC732402 /// PTPLAD1	protein tyrosine phosphatase-like A domain containing 1 /// similar to butyrate-induced transcript 1	0.000136	2.46
217897_at	FXYD6	FXYD domain containing ion transport regulator 6	0.000136	0.46
218185_s_at	ARMC1	armadillo repeat containing 1	0.000136	2.5
218223_s_at	PLEKHO1	pleckstrin homology domain containing, family O member 1	0.000136	0.52
218569_s_at	KBTBD4	kelch repeat and BTB (POZ) domain containing 4	0.000136	1.64
223562_at	PARVG	parvin, gamma	0.000136	0.67
223579_s_at	APOB	apolipoprotein B (including Ag(x) antigen)	0.000136	5.94
225710_at	GNB4	guanine nucleotide binding protein (G protein), beta polypeptide 4	0.000136	0.35
226743_at	SLFN11	schlafen family member 11	0.000136	0.57
226930_at	FNDC1	fibronectin type III domain containing 1	0.000136	0.42
227520_at	CXorf15	chromosome X open reading frame 15	0.000136	1.63
230201_at	230201_at	Transcribed locus	0.000136	1.8
231409_at	231409_at	Transcribed locus	0.000136	0.82
235071_at	WDR92	WD repeat domain 92	0.000136	1.79
235292_at	FLJ32255	hypothetical protein LOC643977	0.000136	0.59
235518_at	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	0.000136	0.54
235708_at	KLB	klotho beta	0.000136	2.63
235919_at	235919_at	Transcribed locus	0.000136	1.89
238561_s_at	238561_s_at	Full-length cDNA clone CS0DI039YF12 of Placenta Cot 25-normalized of Homo sapiens (human)	0.000136	1.78
244050_at	PTPLAD2	protein tyrosine phosphatase-like A domain containing 2	0.000136	0.47
32625_at	NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	0.000136	0.74
223553_s_at	DOK3	docking protein 3	0.000168	0.51
1554148_a_at	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1	0.000179	2.33
200008_s_at	GDI2	GDP dissociation inhibitor 2	0.000179	2.24
200671_s_at	SPTBN1	spectrin, beta, non-erythrocytic 1	0.000179	1.98
200672_x_at	SPTBN1	spectrin, beta, non-erythrocytic 1	0.000179	2.06
200806_s_at	HSPD1	heat shock 60kDa protein 1 (chaperonin)	0.000179	2.48
201288_at	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0.000179	0.45
201859_at	SRGN	serglycin	0.000179	0.44
203325_s_at	COL5A1	collagen, type V, alpha 1	0.000179	0.4
204440_at	CD83	CD83 molecule	0.000179	0.62
204563_at	SELL	selectin L (lymphocyte adhesion molecule 1)	0.000179	0.44
204575_s_at	LOC732415 /// MMP19	matrix metallopeptidase 19 /// similar to Matrix metalloproteinase-19 precursor (MMP-19) (Matrix metalloproteinase RASI) (MMP-18)	0.000179	0.49
205119_s_at	FPR1	formyl peptide receptor 1	0.000179	0.58
205732_s_at	NCOA2	nuclear receptor coactivator 2	0.000179	4.42
208770_s_at	EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.000179	2.05
208782_at	FSTL1	follistatin-like 1	0.000179	0.37
209519_at	NCBP1	nuclear cap binding protein subunit 1, 80kDa	0.000179	1.27
209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	0.000179	0.33
211161_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	0.000179	0.21
213361_at	TDRD7	tudor domain containing 7	0.000179	1.76
213451_x_at	TNXB	tenascin XB	0.000179	0.51
213746_s_at	FLNA	filamin A, alpha (actin binding protein 280)	0.000179	0.4
213891_s_at	TCF4	transcription factor 4	0.000179	0.48
215357_s_at	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	0.000179	1.77
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.000179	0.3
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	0.000179	0.42
218393_s_at	SMU1	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	0.000179	1.63
218521_s_at	UBE2W	ubiquitin-conjugating enzyme E2W (putative)	0.000179	2.03
218717_s_at	LEPREL1	leprecan-like 1	0.000179	0.65
218870_at	ARHGAP15	Rho GTPase activating protein 15	0.000179	0.41
219279_at	DOCK10	dedicator of cytokinesis 10	0.000179	0.5
219927_at	FCF1	FCF1 small subunit (SSU) processome component homolog (S. cerevisiae)	0.000179	1.52
220800_s_at	TMOD3	tropomodulin 3 (ubiquitous)	0.000179	2.2
224060_s_at	DPH5	DPH5 homolog (S. cerevisiae)	0.000179	2.17
226056_at	CDGAP	Cdc42 GTPase-activating protein	0.000179	0.6
226775_at	ENY2	enhancer of yellow 2 homolog (Drosophila)	0.000179	1.75
227112_at	TMCC1	transmembrane and coiled-coil domain family 1	0.000179	2.33
227426_at	227426_at	Transcribed locus	0.000179	1.45
227623_at	227623_at	CDNA FLJ30478 fis, clone BRAWH1000167	0.000179	0.44
228410_at	GAB3	GRB2-associated binding protein 3	0.000179	0.62
228642_at	HOXA2	Homeobox A2	0.000179	0.61
229793_at	ASAH2	N-acylsphingosine amidohydrolase (non-lysosomal ceramidase) 2	0.000179	1.93
230656_s_at	CIRH1A	cirrhosis, autosomal recessive 1A (cirhin)	0.000179	1.75
235486_at	C11orf41	chromosome 11 open reading frame 41	0.000179	0.85
235669_at	AGXT2L2	Alanine-glyoxylate aminotransferase 2-like 2	0.000179	0.79
238420_at	238420_at	CDNA clone IMAGE:5263531	0.000179	1.65
238963_at	238963_at	MRNA full length insert cDNA clone EUROIMAGE 1652049	0.000179	2.23
239019_at	KLF12	Kruppel-like factor 12	0.000179	1.44
239803_at	239803_at	Transcribed locus	0.000179	0.86
242342_at	242342_at	CDNA FLJ40823 fis, clone TRACH2011093	0.000179	0.7
243224_at	243224_at	CDNA FLJ34623 fis, clone KIDNE2015073	0.000179	1.59
38964_r_at	WAS	Wiskott-Aldrich syndrome (eczema-thrombocytopenia)	0.000179	0.7
210785_s_at	C1orf38	chromosome 1 open reading frame 38	0.00019	0.58
203471_s_at	PLEK	pleckstrin	0.00019	0.53
230224_at	LOC644353	hypothetical LOC644353	0.000218	0.85
207900_at	CCL17	chemokine (C-C motif) ligand 17	0.000219	0.82
215739_s_at	TUBGCP3	tubulin, gamma complex associated protein 3	0.000231	1.7
1558233_s_at	ATF1	activating transcription factor 1	0.000233	2.13
1559954_s_at	DDX42	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	0.000233	2.4
1560513_at	LOC400568	hypothetical LOC400568	0.000233	0.82
200859_x_at	FLNA	filamin A, alpha (actin binding protein 280)	0.000233	0.44
201043_s_at	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	0.000233	2.26
201220_x_at	CTBP2	C-terminal binding protein 2	0.000233	0.43
201647_s_at	SCARB2	scavenger receptor class B, member 2	0.000233	2.29
202310_s_at	COL1A1	collagen, type I, alpha 1	0.000233	0.15
202685_s_at	AXL	AXL receptor tyrosine kinase	0.000233	0.76
203146_s_at	GABBR1	gamma-aminobutyric acid (GABA) B receptor, 1	0.000233	0.64
203570_at	LOXL1	lysyl oxidase-like 1	0.000233	0.35
203886_s_at	FBLN2	fibulin 2	0.000233	0.55
205196_s_at	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	0.000233	2.18
207549_x_at	CD46	CD46 molecule, complement regulatory protein	0.000233	2.29
208044_s_at	PPARD	peroxisome proliferator-activated receptor delta	0.000233	0.67
208721_s_at	ANAPC5	anaphase promoting complex subunit 5	0.000233	1.92
209365_s_at	ECM1	extracellular matrix protein 1	0.000233	0.46
209391_at	DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	0.000233	1.66
209630_s_at	FBXW2	F-box and WD repeat domain containing 2	0.000233	1.94
211434_s_at	CCRL2 /// LOC727811	chemokine (C-C motif) receptor-like 2 /// similar to chemokine (C-C motif) receptor-like 2	0.000233	0.63
211654_x_at	HLA-DQB1 /// LOC650557	major histocompatibility complex, class II, DQ beta 1 /// similar to HLA class II histocompatibility antigen, DQ(W1.1) beta chain precursor (DQB10501)	0.000233	0.46
213715_s_at	ANKRD47	ankyrin repeat domain 47	0.000233	0.68
214041_x_at	RPL37A	Ribosomal protein L37a	0.000233	0.51
214173_x_at	C19orf2	chromosome 19 open reading frame 2	0.000233	1.89
214356_s_at	KIAA0368	KIAA0368	0.000233	1.57
217764_s_at	RAB31	RAB31, member RAS oncogene family	0.000233	0.46
218160_at	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	0.000233	1.77
218783_at	INTS7	integrator complex subunit 7	0.000233	2.18
219191_s_at	BIN2	bridging integrator 2	0.000233	0.61
220014_at	PRR16	proline rich 16	0.000233	0.67
220925_at	MAK10	MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae)	0.000233	2.01
220935_s_at	CDK5RAP2	CDK5 regulatory subunit associated protein 2	0.000233	1.64
222240_s_at	ISYNA1	myo-inositol 1-phosphate synthase A1	0.000233	0.53
222645_s_at	KCTD5	potassium channel tetramerisation domain containing 5	0.000233	1.63
222863_at	ZBTB10	zinc finger and BTB domain containing 10	0.000233	1.75
224694_at	ANTXR1	anthrax toxin receptor 1	0.000233	0.27
225426_at	PPP6C	protein phosphatase 6, catalytic subunit	0.000233	1.9
225895_at	SYNPO2	synaptopodin 2	0.000233	0.39
227183_at	227183_at	CDNA FLJ36638 fis, clone TRACH2018950	0.000233	0.73
228754_at	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	0.000233	0.4
229604_at	CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase)	0.000233	0.65
229883_at	GRIN2D	glutamate receptor, ionotropic, N-methyl D-aspartate 2D	0.000233	0.6
233070_at	ZNF197	zinc finger protein 197	0.000233	1.54
235295_at	235295_at	Transcribed locus	0.000233	1.83
235928_at	235928_at	Transcribed locus	0.000233	1.41
236901_at	236901_at	Transcribed locus	0.000233	0.59
238447_at	RBMS3	RNA binding motif, single stranded interacting protein	0.000233	0.29
241435_at	241435_at	---	0.000233	0.43
41387_r_at	JMJD3	jumonji domain containing 3	0.000233	0.69
47550_at	LZTS1	leucine zipper, putative tumor suppressor 1	0.000233	0.71
222426_at	MAPKAP1	mitogen-activated protein kinase associated protein 1	0.000245	1.73
209286_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	0.000248	0.41
230218_at	HIC1	hypermethylated in cancer 1	0.000282	0.46
206925_at	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4	0.000283	0.81
231213_at	PDE1A	phosphodiesterase 1A, calmodulin-dependent	0.000284	0.53
231113_at	231113_at	Transcribed locus	0.000291	0.8
1553689_s_at	METTL6	methyltransferase like 6	0.000301	1.88
1554740_a_at	IPP	intracisternal A particle-promoted polypeptide	0.000301	2.6
1554868_s_at	PCNP	PEST proteolytic signal containing nuclear protein	0.000301	1.87
