Affymetrix Probe Set ID	Gene Titles	Gene Symbol	Mean Expression† Drug-Resistant (SD)	Drug-Sensitive	Fold change‡	P§
211792_s_at	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C	907 (49)	302 (48)	3	0.003
218636_s_at	Mannosidase, alpha, class 1B, member 1	MAN1B1	257 (51)	86 (9)	3	0.013
218598_at	Rad50-interacting protein 1	RINT-1	645 (113)	228 (49)	2.8	0.018
203242_s_at	PDZ and LIM domain 5	PDLIM5	845 (153)	299 (24)	2.8	0.011
214278_s_at	NDRG family member 2	NDRG2	192 (8)	68 (22)	2.8	0.023
210075_at	Membrane-associated ring finger (C3HC4) 2	12:00 AM	461 (62)	164 (11)	2.8	0.004
213448_at	Metaxin 1	MTX1	876 (86)	314 (63)	2.8	0.01
218017_s_at	Hypothetical protein FLJ32731	FLJ32731	1144 (216)	411 (37)	2.8	0.01
202879_s_at	Pleckstrin homology, Sec7 and coiled-coil domains 1 (cytohesin 1)	PSCD1	557 (58)	204 (50)	2.7	0.015
219687_at	Hedgehog acyltransferase	HHAT	410 (56)	151 (10)	2.7	0.005
200075_s_at	Guanylate kinase 1	GUK1	3254 (710)	1205 (133)	2.7	0.021
210241_s_at¨U	TP53 activated protein 1	TP53AP1	268 (50)	105 (4)	2.6	0.01
218321_x_at	Dual specificity phosphatase 24 (putative)	DUSP24	793 (100)	312 (43)	2.5	0.008
218291_at	Mitogen-activated protein-binding protein-interacting protein	MAPBPIP	1800 (264)	740 (79)	2.4	0.011
219348_at	Uncharacterized hematopoietic stem/progenitor cells protein MDS032	MDS032	160 (18)	66 (11)	2.4	0.011
203227_s_at	Sarcoma amplified sequence	SAS	1738 (393)	725 (60)	2.4	0.022
203775_at	Solute carrier family 25, member 13 (citrin)	SLC25A13	2776 (317)	1174 (261)	2.4	0.02
212645_x_at	Brain and reproductive organ-expressed (TNFRSF1A modulator)	BRE	916 (138)	391 (21)	2.3	0.008
202366_at	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	ACADS	302 (22)	129 (28)	2.3	0.016
206106_at	Mitogen-activated protein kinase 12	MAPK12	553 (58)	238 (18)	2.3	0.005
205561_at	Potassium channel tetramerisation domain containing 17	KCTD17	191 (23)	83 (8)	2.3	0.008
208932_at	Protein phosphatase 4 (formerly X), catalytic subunit	PPP4C	2871 (222)	1248 (123)	2.3	0.004
218279_s_at	Histone 2, H2aa	HIST2H2AA	157 (17)	69 (9)	2.3	0.009
200837_at	B-cell receptor-associated protein 31	BCAP31	5711 (948)	2537 (93)	2.3	0.011
215269_at	Transmembrane protein 1	TMEM1	442 (43)	197 (4)	2.2	0.003
221334_s_at	Forkhead box P3	FOXP3	160 (15)	73 (13)	2.2	0.016
220646_s_at	Killer cell lectin-like receptor subfamily F, member 1	KLRF1	130 (24)	60 (3)	2.2	0.019
200929_at	Transmembrane trafficking protein	TMP21	3692 (401)	1732 (111)	2.1	0.007
217797_at	Ufm1-conjugating enzyme 1	Ufc1	6845 (965)	3279 (189)	2.1	0.013
219063_at	Chromosome 1 open reading frame 35	C1orf35	786 (133)	378 (41)	2.1	0.024
213804_at	Inositol polyphosphate-5-phosphatase, 75kDa	INPP5B	318 (32)	153 (22)	2.1	0.014
215721_at	Immunoglobulin heavy constant gamma 1 (G1m marker)	IGHG1	153 (6)	74 (10)	2.1	0.006
218175_at	Limkain beta 2	FLJ22471	3624 (518)	1769 (125)	2	0.016
201209_at	Histone deacetylase 1	HDAC1	1443 (134)	719 (129)	2	0.021
