Location	Fold Change	ProbeSet ID	UniGene ID	Gene Symbol	Gene Name
Extracellular Space	-131.1	220794_at	Hs.98206	GREM2	gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)
Plasma Membrane	-1.9	211026_s_at	Hs.277035	MGLL	monoglyceride lipase
Plasma Membrane	-2	218421_at	Hs.200668	CERK	ceramide kinase
Plasma Membrane	-2.1	202479_s_at	Hs.467751	TRIB2	tribbles homolog 2 (Drosophila)
Plasma Membrane	-2.1	1554428_s_at	Hs.26229	NLGN2	neuroligin 2
Plasma Membrane	-2.1	227411_at	Hs.585010	WTIP	Wilms tumor 1 interacting protein
Plasma Membrane	-2.1	202686_s_at	Hs.590970	AXL	AXL receptor tyrosine kinase
Plasma Membrane	-2.1	210220_at	Hs.142912	FZD2	frizzled homolog 2 (Drosophila)
Plasma Membrane	-2.1	201324_at	Hs.713606	EMP1	epithelial membrane protein 1
Plasma Membrane	-2.2	203735_x_at	Hs.172445	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1)
Plasma Membrane	-2.2	396_f_at	Hs.631624	EPOR	erythropoietin receptor
Plasma Membrane	-2.2	226545_at	Hs.399891	CD109	CD109 molecule
Plasma Membrane	-2.3	228660_x_at	Hs.25887	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F
Plasma Membrane	-2.3	215034_s_at	Hs.351316	TM4SF1	transmembrane 4 L six family member 1
Plasma Membrane	-2.3	203131_at	Hs.74615	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide
Plasma Membrane	-2.3	225078_at	Hs.531561	EMP2	epithelial membrane protein 2
Plasma Membrane	-2.4	227897_at	Hs.98643	RAP2B	RAP2B, member of RAS oncogene family
Plasma Membrane	-2.4	203017_s_at	Hs.22587	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein
Plasma Membrane	-2.4	219282_s_at	Hs.279746	TRPV2	transient receptor potential cation channel, subfamily V, member 2
Plasma Membrane	-2.5	226625_at	Hs.482390	TGFBR3	transforming growth factor, beta receptor III
Plasma Membrane	-2.5	226728_at	Hs.363138	SLC27A1	solute carrier family 27 (fatty acid transporter), member 1
Plasma Membrane	-2.5	204975_at	Hs.531561	EMP2	epithelial membrane protein 2
Plasma Membrane	-2.5	201325_s_at	Hs.713606	EMP1	epithelial membrane protein 1
Plasma Membrane	-2.5	202756_s_at	Hs.328232	GPC1	glypican 1
Plasma Membrane	-2.5	201951_at	Hs.591293	ALCAM	activated leukocyte cell adhesion molecule
Plasma Membrane	-2.5	225079_at	Hs.531561	EMP2	epithelial membrane protein 2
Plasma Membrane	-2.6	200623_s_at	Hs.643483	CALM3	calmodulin 3 (phosphorylase kinase, delta)
Plasma Membrane	-2.6	215783_s_at	Hs.75431	ALPL	alkaline phosphatase, liver/bone/kidney
Plasma Membrane	-2.6	201952_at	Hs.591293	ALCAM	activated leukocyte cell adhesion molecule
Plasma Membrane	-2.6	215305_at	Hs.74615	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide
Plasma Membrane	-2.6	201137_s_at	Hs.485130	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
Plasma Membrane	-2.6	230372_at	Hs.159226	HAS2	hyaluronan synthase 2
Plasma Membrane	-2.7	214708_at	Hs.655236	SNTB1	syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)
Plasma Membrane	-2.8	218902_at	Hs.495473	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)
Plasma Membrane	-2.8	210124_x_at	Hs.25887	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F
Plasma Membrane	-2.9	203065_s_at	Hs.74034	CAV1	caveolin 1, caveolae protein, 22kDa
Plasma Membrane	-2.9	225867_at	Hs.372579	VASN	vasorin
Plasma Membrane	-3	204451_at	Hs.94234	FZD1	frizzled homolog 1 (Drosophila)
Plasma Membrane	-3	204462_s_at	Hs.75317	SLC16A2	solute carrier family 16, member 2 (monocarboxylic acid transporter 8)
Plasma Membrane	-3.1	235518_at	Hs.31961	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
Plasma Membrane	-3.1	213002_at		MARCKS (includes	myristoylated alanine-rich protein kinase C substrate
Plasma Membrane	-3.1	239217_x_at	Hs.463421	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
Plasma Membrane	-3.1	225093_at	Hs.133135	UTRN	utrophin
Plasma Membrane	-3.2	212135_s_at	Hs.343522	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
Plasma Membrane	-3.2	212494_at	Hs.6147	TENC1	tensin like C1 domain containing phosphatase (tensin 2)
Plasma Membrane	-3.3	202037_s_at	Hs.713546	SFRP1	secreted frizzled-related protein 1
Plasma Membrane	-3.5	226571_s_at	Hs.712625	PTPRS (includes	EGprotein tyrosine phosphatase, receptor type, S
Plasma Membrane	-3.5	208749_x_at	Hs.179986	FLOT1	flotillin 1
Plasma Membrane	-3.5	210142_x_at	Hs.179986	FLOT1	flotillin 1
Plasma Membrane	-3.5	226189_at	Hs.592171	ITGB8	integrin, beta 8
Plasma Membrane	-3.6	211600_at	Hs.160871	PTPRO	protein tyrosine phosphatase, receptor type, O
Plasma Membrane	-3.6	201809_s_at	Hs.76753	ENG	endoglin
Plasma Membrane	-3.6	205532_s_at	Hs.171054	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)
Plasma Membrane	-3.6	38671_at	Hs.301685	PLXND1	plexin D1
Plasma Membrane	-3.7	213895_at	Hs.713606	EMP1	epithelial membrane protein 1
Plasma Membrane	-3.8	219250_s_at	Hs.41296	FLRT3	fibronectin leucine rich transmembrane protein 3
Plasma Membrane	-3.8	209972_s_at	Hs.301613	JTV1	JTV1 gene
Plasma Membrane	-4	203908_at	Hs.5462	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
Plasma Membrane	-4	212298_at	Hs.131704	NRP1	neuropilin 1
Plasma Membrane	-4.1	209815_at	Hs.494538	PTCH1	patched homolog 1 (Drosophila)
Plasma Membrane	-4.2	227955_s_at	Hs.288741	EFNA5	ephrin-A5
Plasma Membrane	-4.3	227481_at	Hs.16064	CNKSR3	CNKSR family member 3
Plasma Membrane	-4.4	223092_at	Hs.156727	ANKH	ankylosis, progressive homolog (mouse)
Plasma Membrane	-4.5	222853_at	Hs.41296	FLRT3	fibronectin leucine rich transmembrane protein 3
Plasma Membrane	-4.6	233814_at	Hs.288741	EFNA5	ephrin-A5
Plasma Membrane	-4.6	223093_at	Hs.156727	ANKH	ankylosis, progressive homolog (mouse)
Plasma Membrane	-4.9	212909_at	Hs.714802	LYPD1	LY6/PLAUR domain containing 1
Plasma Membrane	-4.9	211432_s_at	Hs.381282	TYRO3	TYRO3 protein tyrosine kinase
Plasma Membrane	-5	210602_s_at	Hs.171054	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)
Plasma Membrane	-5	212230_at	Hs.708050	PPAP2B	phosphatidic acid phosphatase type 2B
Plasma Membrane	-5	219025_at	Hs.195727	CD248	CD248 molecule, endosialin
Plasma Membrane	-5.1	210510_s_at	Hs.131704	NRP1	neuropilin 1
Plasma Membrane	-5.5	205533_s_at	Hs.171054	CDH6	cadherin 6, type 2, K-cadherin (fetal kidney)
Plasma Membrane	-5.5	204401_at	Hs.10082	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
Plasma Membrane	-5.7	203835_at	Hs.151641	LRRC32	leucine rich repeat containing 32
Plasma Membrane	-5.9	212226_s_at	Hs.405156	PPAP2B	phosphatidic acid phosphatase type 2B
Plasma Membrane	-6.1	208161_s_at	Hs.463421	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
Plasma Membrane	-6.4	230147_at	Hs.42502	F2RL2	coagulation factor II (thrombin) receptor-like 2
Plasma Membrane	-6.9	203989_x_at	Hs.482562	F2R	coagulation factor II (thrombin) receptor
Plasma Membrane	-7.3	219789_at	Hs.237028	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
Plasma Membrane	-7.7	223094_s_at	Hs.156727	ANKH	ankylosis, progressive homolog (mouse)
Plasma Membrane	-8	202478_at	Hs.467751	TRIB2	tribbles homolog 2 (Drosophila)
Plasma Membrane	-8	219416_at	Hs.128856	SCARA3	scavenger receptor class A, member 3
Plasma Membrane	-8.5	209355_s_at	Hs.405156	PPAP2B	phosphatidic acid phosphatase type 2B
Plasma Membrane	-8.6	227812_at	Hs.149168	TNFRSF19	tumor necrosis factor receptor superfamily, member 19
Plasma Membrane	-8.6	224762_at	Hs.479384	SERINC2	serine incorporator 2
Plasma Membrane	-8.7	219790_s_at	Hs.237028	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)
Plasma Membrane	-9	228407_at	Hs.12923	SCUBE3	signal peptide, CUB domain, EGF-like 3
Plasma Membrane	-9.1	201650_at	Hs.514174	JUP	junction plakoglobin
Plasma Membrane	-10	205066_s_at	Hs.527295	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1
Plasma Membrane	-11	206631_at	Hs.2090	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa
Plasma Membrane	-12.6	224321_at	Hs.144513	TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2
Plasma Membrane	-12.6	212558_at	Hs.436944	SPRY1	sprouty homolog 1, antagonist of FGF signaling (Drosophila)
Plasma Membrane	-14.7	219937_at	Hs.199814	TRHDE	thyrotropin-releasing hormone degrading enzyme
Plasma Membrane	-20	230290_at	Hs.12923	SCUBE3	signal peptide, CUB domain, EGF-like 3
Plasma Membrane	-46.6	221019_s_at	Hs.464422	COLEC12	collectin sub-family member 12
Plasma Membrane	-47.9	205856_at	Hs.101307	SLC14A1	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
Plasma Membrane	-67.6	206766_at	Hs.158237	ITGA10	integrin, alpha 10
Cytoplasm	-2	205006_s_at	Hs.60339	NMT2	N-myristoyltransferase 2
Cytoplasm	-2	222547_at	Hs.431550	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4
Cytoplasm	-2.1	210686_x_at	Hs.180408	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
Cytoplasm	-2.1	221660_at	Hs.247831	MYLC2PL	myosin light chain 2, precursor lymphocyte-specific
Cytoplasm	-2.1	1552619_a_at	Hs.62180	ANLN	anillin, actin binding protein
Cytoplasm	-2.1	202053_s_at	Hs.499886	ALDH3A2	aldehyde dehydrogenase 3 family, member A2
Cytoplasm	-2.2	202154_x_at	Hs.511743	TUBB3	tubulin, beta 3
Cytoplasm	-2.2	203386_at	Hs.210891	TBC1D4	TBC1 domain family, member 4
Cytoplasm	-2.2	209190_s_at	Hs.529451	DIAPH1	diaphanous homolog 1 (Drosophila)
Cytoplasm	-2.2	203756_at	Hs.533719	ARHGEF17	Rho guanine nucleotide exchange factor (GEF) 17
Cytoplasm	-2.2	228310_at	Hs.497893	ENAH	enabled homolog (Drosophila)
Cytoplasm	-2.2	225665_at	Hs.444451	ZAK	sterile alpha motif and leucine zipper containing kinase AZK
Cytoplasm	-2.2	203126_at	Hs.367992	IMPA2	inositol(myo)-1(or 4)-monophosphatase 2
Cytoplasm	-2.3	202389_s_at	Hs.518450	HTT	huntingtin
Cytoplasm	-2.3	222077_s_at	Hs.505469	RACGAP1	Rac GTPase activating protein 1
Cytoplasm	-2.3	208050_s_at	Hs.368982	CASP2	caspase 2, apoptosis-related cysteine peptidase
Cytoplasm	-2.3	209286_at	Hs.369574	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3
Cytoplasm	-2.3	218424_s_at	Hs.647822	STEAP3	STEAP family member 3
Cytoplasm	-2.3	222942_s_at	Hs.586279	TIAM2 (includes	EGT-cell lymphoma invasion and metastasis 2
Cytoplasm	-2.4	205125_at	Hs.80776	PLCD1	phospholipase C, delta 1
Cytoplasm	-2.4	227847_at	Hs.28020	EPM2AIP1	EPM2A (laforin) interacting protein 1
Cytoplasm	-2.4	205640_at	Hs.523841	ALDH3B1	aldehyde dehydrogenase 3 family, member B1
Cytoplasm	-2.4	222608_s_at	Hs.62180	ANLN	anillin, actin binding protein
Cytoplasm	-2.4	207876_s_at	Hs.58414	FLNC	filamin C, gamma (actin binding protein 280)
Cytoplasm	-2.4	211992_at	Hs.356604	WNK1	WNK lysine deficient protein kinase 1
Cytoplasm	-2.4	206298_at	Hs.655672	ARHGAP22	Rho GTPase activating protein 22
Cytoplasm	-2.4	212242_at	Hs.75318	TUBA4A	tubulin, alpha 4a
Cytoplasm	-2.5	226507_at	Hs.435714	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1
Cytoplasm	-2.5	32094_at	Hs.158304	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3
Cytoplasm	-2.5	222463_s_at	Hs.504003	BACE1	beta-site APP-cleaving enzyme 1
Cytoplasm	-2.6	225590_at	Hs.301804	SH3RF1	SH3 domain containing ring finger 1
Cytoplasm	-2.6	225496_s_at	Hs.369520	SYTL2	synaptotagmin-like 2
Cytoplasm	-2.6	209834_at	Hs.158304	CHST3	carbohydrate (chondroitin 6) sulfotransferase 3
Cytoplasm	-2.6	226495_at	Hs.570362	VISA	virus-induced signaling adapter
Cytoplasm	-2.6	224753_at	Hs.434886	CDCA5	cell division cycle associated 5
Cytoplasm	-2.7	203118_at	Hs.648612	PCSK7	proprotein convertase subtilisin/kexin type 7
Cytoplasm	-2.7	212233_at	Hs.637017	MAP1B	microtubule-associated protein 1B
Cytoplasm	-2.7	204729_s_at	Hs.647024	STX1A	syntaxin 1A (brain)
Cytoplasm	-2.7	210880_s_at	Hs.24587	EFS	embryonal Fyn-associated substrate
Cytoplasm	-2.7	218149_s_at	Hs.699209	ZNF395	zinc finger protein 395
Cytoplasm	-2.7	228674_s_at	Hs.593614	EML4	echinoderm microtubule associated protein like 4
Cytoplasm	-2.7	225942_at	Hs.247460	NLN	neurolysin (metallopeptidase M3 family)
Cytoplasm	-2.7	214433_s_at	Hs.632460	SELENBP1	selenium binding protein 1
Cytoplasm	-2.8	212838_at	Hs.500771	DNMBP	dynamin binding protein
Cytoplasm	-2.8	204955_at	Hs.15154	SRPX	sushi-repeat-containing protein, X-linked
Cytoplasm	-2.8	201205_at		RRBP1	ribosome binding protein 1 homolog 180kDa (dog)
Cytoplasm	-2.8	206364_at	Hs.3104	KIF14	kinesin family member 14
Cytoplasm	-2.9	224627_at	Hs.443134	GBA2	glucosidase, beta (bile acid) 2
Cytoplasm	-2.9	223652_at	Hs.709828	AS3MT	arsenic (+3 oxidation state) methyltransferase
Cytoplasm	-2.9	223307_at	Hs.524216	CDCA3	cell division cycle associated 3
Cytoplasm	-2.9	212372_at	Hs.16355	MYH10	myosin, heavy chain 10, non-muscle
Cytoplasm	-2.9	201087_at	Hs.446336	PXN	paxillin
Cytoplasm	-2.9	226084_at	Hs.637017	MAP1B	microtubule-associated protein 1B
Cytoplasm	-2.9	1553551_s_at		ND2	NADH dehydrogenase, subunit 2 (complex I)
Cytoplasm	-3	227697_at	Hs.527973	SOCS3	suppressor of cytokine signaling 3
Cytoplasm	-3	230100_x_at	Hs.435714	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1
Cytoplasm	-3	219599_at	Hs.648394	EIF4B	eukaryotic translation initiation factor 4B
Cytoplasm	-3.1	212801_at	Hs.119594	CIT	citron (rho-interacting, serine/threonine kinase 21)
Cytoplasm	-3.1	220935_s_at	Hs.269560	CDK5RAP2	CDK5 regulatory subunit associated protein 2
Cytoplasm	-3.1	227530_at	Hs.371240	AKAP12	A kinase (PRKA) anchor protein 12
Cytoplasm	-3.1	205752_s_at	Hs.75652	GSTM5	glutathione S-transferase mu 5
Cytoplasm	-3.1	202954_at	Hs.93002	UBE2C	ubiquitin-conjugating enzyme E2C
Cytoplasm	-3.2	204686_at	Hs.471508	IRS1	insulin receptor substrate 1
Cytoplasm	-3.2	218899_s_at	Hs.533446	BAALC	brain and acute leukemia, cytoplasmic
Cytoplasm	-3.3	204277_s_at	Hs.512619	TK2	thymidine kinase 2, mitochondrial
Cytoplasm	-3.3	229044_at	Hs.585066	NUDT17 (includes	Enudix (nucleoside diphosphate linked moiety X)-type motif 17
Cytoplasm	-3.3	218678_at	Hs.527971	NES	nestin
Cytoplasm	-3.3	219138_at	Hs.446522	RPL14	ribosomal protein L14
Cytoplasm	-3.4	233540_s_at	Hs.269560	CDK5RAP2	CDK5 regulatory subunit associated protein 2
Cytoplasm	-3.4	203633_at	Hs.503043	CPT1A	carnitine palmitoyltransferase 1A (liver)
Cytoplasm	-3.4	203680_at	Hs.433068	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta
Cytoplasm	-3.4	214001_x_at	Hs.406620	RPS10	ribosomal protein S10
Cytoplasm	-3.5	1554408_a_at	Hs.515122	TK1	thymidine kinase 1, soluble
Cytoplasm	-3.6	239218_at	Hs.655694	PDE1C	phosphodiesterase 1C, calmodulin-dependent 70kDa
Cytoplasm	-3.6	218755_at	Hs.73625	KIF20A	kinesin family member 20A
Cytoplasm	-3.7	212953_x_at	Hs.515162	CALR	calreticulin
Cytoplasm	-3.7	229354_at	Hs.50823	PDCD6	programmed cell death 6
Cytoplasm	-3.7	203151_at	Hs.194301	MAP1A	microtubule-associated protein 1A
Cytoplasm	-3.8	221436_s_at	Hs.524216	CDCA3	cell division cycle associated 3
Cytoplasm	-3.8	227529_s_at	Hs.371240	AKAP12	A kinase (PRKA) anchor protein 12
Cytoplasm	-3.9	202338_at	Hs.515122	TK1	thymidine kinase 1, soluble
Cytoplasm	-4	205211_s_at	Hs.1030	RIN1	Ras and Rab interactor 1
Cytoplasm	-4	228204_at	Hs.89545	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4
Cytoplasm	-4	236641_at	Hs.3104	KIF14	kinesin family member 14
Cytoplasm	-4.2	202575_at	Hs.405662	CRABP2	cellular retinoic acid binding protein 2
Cytoplasm	-4.5	210026_s_at	Hs.57973	CARD10	caspase recruitment domain family, member 10
Cytoplasm	-4.6	209811_at	Hs.368982	CASP2	caspase 2, apoptosis-related cysteine peptidase
Cytoplasm	-4.6	223216_x_at	Hs.695998	ZNF395	zinc finger protein 395
Cytoplasm	-4.7	202648_at		RPS19	ribosomal protein S19
Cytoplasm	-4.8	201171_at	Hs.484188	ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1
Cytoplasm	-5	225214_at	Hs.213470	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7
Cytoplasm	-5.1	214315_x_at	Hs.515162	CALR	calreticulin
Cytoplasm	-5.2	215116_s_at	Hs.522413	DNM1	dynamin 1
Cytoplasm	-5.3	242979_at	Hs.471508	IRS1	insulin receptor substrate 1
Cytoplasm	-5.4	230266_at	Hs.534612	RAB7B	RAB7B, member RAS oncogene family
Cytoplasm	-5.5	210106_at	Hs.600940	RDH5	retinol dehydrogenase 5 (11-cis/9-cis)
Cytoplasm	-5.9	213736_at	Hs.1342	COX5B	cytochrome c oxidase subunit Vb
Cytoplasm	-5.9	203217_s_at	Hs.415117	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
Cytoplasm	-6.1	202028_s_at	Hs.380953	RPL38 (includes	ribosomal protein L38
Cytoplasm	-6.3	221943_x_at	Hs.380953	RPL38 (includes	ribosomal protein L38
Cytoplasm	-7.3	222862_s_at	Hs.559718	AK5	adenylate kinase 5
Cytoplasm	-7.7	213642_at		RPL27	ribosomal protein L27
Cytoplasm	-7.7	214041_x_at	Hs.433701	RPL37A (includes	Eribosomal protein L37a
Cytoplasm	-7.9	226632_at	Hs.95120	CYGB	cytoglobin
Cytoplasm	-8.1	227123_at	Hs.123072	RAB3B	RAB3B, member RAS oncogene family
Cytoplasm	-8.1	205924_at	Hs.123072	RAB3B	RAB3B, member RAS oncogene family
Cytoplasm	-9	224925_at	Hs.153310	PREX1	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1
Cytoplasm	-9.5	200908_s_at	Hs.437594	RPLP2	ribosomal protein, large, P2
Cytoplasm	-9.6	227889_at	Hs.460857	LPCAT2	lysophosphatidylcholine acyltransferase 2
Cytoplasm	-10	219308_s_at	Hs.559718	AK5	adenylate kinase 5
Cytoplasm	-15.2	218211_s_at	Hs.102406	MLPH	melanophilin
Cytoplasm	-15.3	201042_at	Hs.517033	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
Cytoplasm	-17.2	213350_at	Hs.433529	RPS11	ribosomal protein S11
Nucleus	-2	223234_at	Hs.19400	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)
Nucleus	-2	202463_s_at	Hs.178728	MBD3 (includes	EGmethyl-CpG binding domain protein 3
Nucleus	-2	221350_at	Hs.664500	HOXC8	homeobox C8
Nucleus	-2	1554600_s_at	Hs.594444	LMNA	lamin A/C
Nucleus	-2.1	201046_s_at	Hs.643267	RAD23A	RAD23 homolog A (S. cerevisiae)
Nucleus	-2.1	222740_at	Hs.370834	ATAD2	ATPase family, AAA domain containing 2
Nucleus	-2.1	214426_x_at	Hs.79018	CHAF1A	chromatin assembly factor 1, subunit A (p150)
Nucleus	-2.1	201639_s_at	Hs.493202	CPSF1	cleavage and polyadenylation specific factor 1, 160kDa
Nucleus	-2.1	213253_at	Hs.119023	SMC2	structural maintenance of chromosomes 2
Nucleus	-2.1	41160_at	Hs.178728	MBD3 (includes	EGmethyl-CpG binding domain protein 3
Nucleus	-2.1	209053_s_at	Hs.113876	WHSC1	Wolf-Hirschhorn syndrome candidate 1
Nucleus	-2.1	203823_at	Hs.494875	RGS3	regulator of G-protein signaling 3
Nucleus	-2.1	213005_s_at	Hs.306764	KANK1	KN motif and ankyrin repeat domains 1
Nucleus	-2.1	201930_at	Hs.444118	MCM6	minichromosome maintenance complex component 6
Nucleus	-2.1	204162_at	Hs.414407	NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)
Nucleus	-2.1	208712_at	Hs.523852	CCND1	cyclin D1
Nucleus	-2.1	43544_at	Hs.365207	MED16	mediator complex subunit 16
Nucleus	-2.2	242138_at	Hs.407015	DLX1	distal-less homeobox 1
Nucleus	-2.2	201664_at	Hs.58992	SMC4	structural maintenance of chromosomes 4
Nucleus	-2.2	226695_at	Hs.283416	PRRX1	paired related homeobox 1
Nucleus	-2.2	201853_s_at	Hs.153752	CDC25B	cell division cycle 25 homolog B (S. pombe)
Nucleus	-2.2	203411_s_at	Hs.594444	LMNA	lamin A/C
Nucleus	-2.2	221938_x_at	Hs.365207	MED16	mediator complex subunit 16
Nucleus	-2.2	225532_at	Hs.11108	CABLES1	Cdk5 and Abl enzyme substrate 1
Nucleus	-2.2	222524_s_at	Hs.125037	ASB6	ankyrin repeat and SOCS box-containing 6
Nucleus	-2.2	204189_at	Hs.1497	RARG	retinoic acid receptor, gamma
Nucleus	-2.2	212086_x_at	Hs.594444	LMNA	lamin A/C
Nucleus	-2.2	209057_x_at	Hs.485471	CDC5L	CDC5 cell division cycle 5-like (S. pombe)
Nucleus	-2.3	234863_x_at	Hs.520506	FBXO5	F-box protein 5
Nucleus	-2.3	202426_s_at	Hs.590886	RXRA	retinoid X receptor, alpha
Nucleus	-2.3	201906_s_at	Hs.475963	CTDSPL	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
Nucleus	-2.3	205956_x_at	Hs.383019	PSMC3IP	PSMC3 interacting protein
Nucleus	-2.3	45714_at	Hs.423103	HCFC1R1	host cell factor C1 regulator 1 (XPO1 dependent)
Nucleus	-2.3	209283_at	Hs.408767	CRYAB	crystallin, alpha B
Nucleus	-2.3	228401_at	Hs.370834	ATAD2	ATPase family, AAA domain containing 2
Nucleus	-2.3	210231_x_at	Hs.436687	SET	SET nuclear oncogene
Nucleus	-2.3	210983_s_at	Hs.438720	MCM7	minichromosome maintenance complex component 7
Nucleus	-2.3	208795_s_at	Hs.438720	MCM7	minichromosome maintenance complex component 7
Nucleus	-2.3	213378_s_at	Hs.443960	DDX11	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 (CHL1-like helicase homolog, S. cerevisiae)
Nucleus	-2.3	201555_at	Hs.179565	MCM3	minichromosome maintenance complex component 3
Nucleus	-2.4	222440_s_at	Hs.160211	THRAP3	thyroid hormone receptor associated protein 3
Nucleus	-2.4	228433_at	Hs.709432	NFYA	nuclear transcription factor Y, alpha
Nucleus	-2.4	214986_x_at	Hs.438587	PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2
Nucleus	-2.4	221418_s_at	Hs.365207	MED16	mediator complex subunit 16
Nucleus	-2.4	204454_at	Hs.45231	LDOC1	leucine zipper, down-regulated in cancer 1
Nucleus	-2.4	222126_at	Hs.521083	AGFG2	ArfGAP with FG repeats 2
