Curated Gene Symbol	Gene class	Gene name	Abbrevation	Unigene	Gen BankID	Signal Intensity in spermatozoa	Density A/F
EIF4G3	Gene/protein expression	eukaryotic translation initiation factor 4 gamma, 3	EIF4G3	Hs.25732	NM_003760	2,180,144,691	2.86
ZNF259	Gene/protein expression	zinc finger protein 259	ZNF259	Hs.7165	NM_003904	1,936,208,916	2.9
GABPA	Gene/protein expression	GA binding protein transcription factor, alpha subunit	GABPA	Hs.78	NM_002040	1,825,329,113	2.08
DHX9	Gene/protein expression	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9	DDX9	Hs.74578	NM_001357	1,551,332,569	2.95
CSDE1	Gene/protein expression	NRAS-related gene	D1S155E	Hs.69855	NM_007158	1,519,300,842	3.71
WARS	Gene/protein expression	tryptophanyl-tRNA synthetase	WARS	Hs.82030	NM_004184	1,493,675,232	4.97
ZEB1	Gene/protein expression	transcription factor 8	TCF8	Hs.232068	NM_030751	1,476,427,126	2.22
TFAMP1	Gene/protein expression	transcription factor 6-like-1	TCF6L1	Hs.75133	NM_003201	1,456,222,534	4.58
PIP5K1A	Gene/protein expression	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha	PIP5K1A	Hs.149255	NM_003557	1,424,683,237	2.41
PDE1A	Gene/protein expression	phosphodiesterase 1A, calmodulin-dependent	PDE1A	Hs.41717	NM_005019	1,369,489,717	5.53
MRPS15	Gene/protein expression	mitochondrial ribosomal protein S15	MRPS15	Hs.107707	NM_031280	1,311,339,378	3.85
GTF2A1L	Gene/protein expression	TFIIA-alpha/beta-like factor, transcript variant 1	ALF	Hs.44385	NM_006872	1,306,411,266	4.48
PTBP2	Gene/protein expression	polypyrimidine tract binding protein 2	PTBP2	Hs.34956	NM_021190	1,294,584,084	41.13
SRPK2	Gene/protein expression	SFRS protein kinase 2	SRPK2	Hs.78353	NM_003138	1,280,785,847	2.05
ARID4B	Gene/protein expression	RBP1-like protein	BCAA	Hs.17428	NM_016374	1,251,710,606	2.6
DICER1	Gene/protein expression	helicase-MOI	helicase-MOI	Hs.87889	AB028449	1,239,390,421	3.78
UBR5	Gene/protein expression	progestin induced protein	DD5	Hs.278428	NM_015902	1,013,688,445	2.74
PDXK	Metabolism	pyridoxal kinase	PDXK	Hs.38041	NM_003681	1,492,295,303	4.95
GLUL	Metabolism	glutamate-ammonia ligase	GLUL	Hs.170171	NM_002065	1,415,960,693	3.11
USP32	Metabolism	ubiquitin specific protease	NY-REN-60	Hs.155787	AF350251	1,285,763,054	11.46
PGK2	Metabolism	phosphoglycerate kinase 2	PGK2	Hs.367727	NM_138733	1,281,672,859	12.55
ARL1	Metabolism	ADP-ribosylation factor-like 1	ARL1	Hs.242894	NM_001177	1,137,430,458	4.07
TPD52L3	Metabolism	protein kinase NYD-SP25	NYD-SP25	Hs.343593	AY032877	6,638,008,881	5.56
GSTM3	Metabolism	glutathione S-transferase M3 (brain)	GSTM3	Hs.2006	NM_000849	6,314,239,693	3.38
USP32P2	Metabolism	TL132 protein	TL132	Hs.234573	NM_145809	5,233,037,376	3.52
METTL3	Metabolism	methyltransferase like 3	METTL3	Hs.268149	NM_019852	4,879,207,611	2.02
GK2	Metabolism	glycerol kinase 2	GK2	Hs.98008	NM_033214	377,040,863	3.48
PSMC5	Metabolism	proteasome (prosome, macropain) 26S subunit, ATPase, 5	PSMC5	Hs.79387	NM_002805	2,987,843,132	3.84
LDHC	Metabolism	lactate dehydrogenase C, transcript variant 1	LDHC	Hs.99881	NM_002301	2,733,065,701	3.52
TSGA10	Metabolism	testis specific, 10	TSGA10	Hs.116116	AY014284	2,628,099,442	3.26
PDHA2	Metabolism	pyruvate dehydrogenase (lipoamide) alpha 2	PDHA2	Hs.131361	NM_005390	257,339,859	6.62
NOP56	Metabolism	nucleolar protein 5A	NOL5A	Hs.296585	NM_006392	2,489,129,925	2.51
ODC1	Metabolism	ornithine decarboxylase 1	ODC1	Hs.75212	NM_002539	2,275,747,871	3.2
MBTPS1	Metabolism	membrane-bound transcription factor protease, site 1	MBTPS1	Hs.75890	NM_003791	2,001,751,423	2.43
FBXO25	Metabolism	F-box only protein 25	FBXO25	Hs.81001	NM_012173	190,368,433	2.24
CPD	Metabolism	carboxypeptidase D	CPD	Hs.5057	NM_001304	1,782,455,826	5.33
SLC2A3	Metabolism	solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	Hs.7594	NM_006931	1,457,207,966	5.48
SLC2A14	Metabolism	solute carrier family 2 (facilitated glucose transporter), member 14	SLC2A14,	Hs.401274	NM_153449	1,457,207,966	5.48
SENP2	Metabolism	sentrin-specific protease	SENP2	Hs.401388	NM_021627	1,453,758,287	2.57
BTN3A2	Metabolism	butyrophilin, subfamily 3, member A2	BTN3A2	Hs.87497	NM_007047	1,343,864,107	2.38
PRKACG	Metabolism	protein kinase, cAMP-dependent, catalytic, gamma	PRKACG	Hs.158029	NM_002732	1,334,993,696	2.22
GPD2	Metabolism	glycerol-3-phosphate dehydrogenase 2	GPD2	Hs.93201	NM_000408	1,263,537,741	3.6
SNX16	Metabolism	sorting nexin 16 isoform a	SNX16	Hs.128645	NM_022133	1,261,566,567	2.83
ACSL1	Metabolism	fatty-acid-Coenzyme A ligase, long-chain 2	FACL2	Hs.154890	NM_021122	1,258,609,819	7.67
CRISP2	Unclassified	testis-specific protein 1	TPX1	Hs.2042	NM_003296	8,020,360,413	26.34
ARHGAP28	Unclassified	hypothetical protein FLJ10312	FLJ10312	Hs.132560	NM_030672	308,704,361	2.98
	Unclassified	cDNA FLJ23675 fis, clone HEP08462	FLJ23675fis	Hs.352657	AK074255	1,162,415,276	2.29
TTC29	Unclassified	NYD-SP14	NYD-SP14	Hs.98105	AF345910	1,094,064,064	5.9
HSF5	Unclassified	hypothetical protein FLJ40311	FLJ40311	Hs.380061	XM_064190	9,452,386,475	2.25
	Unclassified	hypothetical protein BC014311	LOC115548	Hs.356358	XM_291142	7,521,104,813	2.6
	Unclassified	protein kinase NYD-sp9	NYD-SP9	Hs.178121	AF327560	6,185,618,401	10.03
PAPD4	Unclassified	hypothetical protein FLJ38499	FLJ38499	Hs.220277	NM_173797	4,853,089,142	2.12
STAG3	Unclassified	stromal antigen 3	STAG3	Hs.20132	NM_012447	4,669,274,712	3.52
CABS1	Unclassified	testis development protein NYD-SP26	NYD-SP26	Hs.120316	AF380838	4,206,043,053	3.91
SPDL1	Unclassified	hypothetical protein FLJ20364	FLJ20364	Hs.32471	NM_017785	4,176,968,193	2.07
SPZ1	Unclassified	testis-specific protein NYD-TSP1	NYD-TSP1	Hs.98226	AF333098	4,049,825,668	5.96
FAM71F1	Unclassified	testes development-related NYD-SP18	NYD-SP18	Hs.125265	AF367470	38,610,838	7.24
	Unclassified	hypothetical protein FLJ35977	FLJ35977	Hs.96901	NM_024687	373,394,165	2.17
RTFDC1	Unclassified	chromosome 20 open reading frame 43	C20orf43	Hs.182281	NM_016407	3,346,108,341	2.25
C10orf68	Unclassified	hypothetical protein FLJ13031	FLJ13031	Hs.97757	NM_024688	3,248,041,153	6.3
ALMS1	Unclassified	alstrom syndrome 1	ALMS1	Hs.97393	NM_015120	2,576,355,648	5.11
C17orf80	Unclassified	hypothetical protein FLJ20721	FLJ20721	Hs.12929	NM_017941	2,376,771,545	2.62
SWT1	Unclassified	chromosome 1 open reading frame 26	C1orf26	Hs.22133	AF288392	2,317,142,963	5.14
RNFT1	Unclassified	PTD016 protein	LOC51136	Hs.30154	NM_016125	1,779,991,579	2.81
PALLD	Unclassified	KIAA0992 protein	KIAA0992	Hs.194431	AB023209	1,738,103,724	3.15
ANKAR	Unclassified	hypothetical protein FLJ25415	FLJ25415	Hs.99360	NM_144708	157,942,214	2.41
WAPAL	Unclassified	KIAA0261 protein	KIAA0261	Hs.154978	D87450	1,222,635,412	3.24
	Unclassified	hypothetical protein LOC157567	LOC157567	Hs.11506	AK095235	1,195,531,464	2.11
CNOT1	Unclassified	KIAA1007 protein	KIAA1007	Hs.279949	AB023224	1,162,021,112	5.55
C9orf84	Unclassified	hypothetical protein FLJ32779	FLJ32779	Hs.116292	NM_173521	1,121,611,595	2.17
ANKRD28	Unclassified	KIAA0379 protein	KIAA0379	Hs.32556	AB002377	1,120,625,925	5.7
LACTB2	Unclassified	CGI-83 protein	CGI-83	Hs.118554	NM_016027	1,088,593,864	5.2
ZNF451	Unclassified	KIAA1702 protein	KIAA1702	Hs.188662	AB051489	1,026,501,226	2.45
TNIK	Unclassified	KIAA0551 protein	KIAA0551	Hs.170204	XM_039796	1,004,325,247	4.61
