Curated Gene Symbol	Well ID	UG cluster	Gene Symbol	GeneBank	Fold-difference (eHCC/HGDN)	Parametric p-value
MSH2	1185650	Hs.156519	MSH2	4436	0.75	4.04E-04
AVL9	1187326	Hs.128056	KIAA0241	23080	1.63	4.13E-04
	1193466				0.74	4.15E-04
PPCS	1179343	Hs.473495	PPCS	79717	0.78	4.20E-04
UTP18	1174670	Hs.463465	UTP18	51096	1.98	4.22E-04
CDH15	1187257	Hs.148090	CDH15	1013	0.64	4.28E-04
SERPINF2	1181023	Hs.159509	SERPINF2	5345	0.59	4.30E-04
ICMT	1182232	Hs.562083	ICMT	23463	1.61	4.30E-04
PCNA	1180156	Hs.147433	PCNA	5111	2.28	4.32E-04
NOL6	1182234	Hs.493709	NOL6	65083	1.32	4.34E-04
TRIM15	1193526	Hs.591789	TRIM15	89870	0.76	4.37E-04
SNX15	1180297	Hs.80132	SNX15	29907	0.55	4.40E-04
LRRC8D	1178258	Hs.482087	LRRC8D	55144	1.62	4.42E-04
PSMA7	1298866	Hs.233952	PSMA7	5688	1.73	4.42E-04
CLDN23	1187841	Hs.183617	CLDN23	137075	0.67	4.44E-04
RPP21	1182233	Hs.183232	RPP21	79897	1.38	4.47E-04
MEF2D	1185354	Hs.314327	MEF2D	4209	0.76	4.52E-04
	1190971	Hs.634386			1.58	4.52E-04
BRD3	1193778	Hs.522472	BRD3	8019	0.72	4.52E-04
ASAP1	1175433	Hs.106015	DDEF1	50807	1.38	4.59E-04
PPP1R12B	1192423	Hs.444403	PPP1R12B	4660	0.72	4.61E-04
TUBA1B	1193400	Hs.524390	K-ALPHA-1	10376	1.9	4.62E-04
SPP1	1173573	Hs.313	SPP1	6696	2.86	4.62E-04
MAP2K2	1179334	Hs.465627	MAP2K2	5605	0.62	4.66E-04
WNK1	1194106	Hs.356604	WNK1	65125	0.78	4.66E-04
STT3A	1182781	Hs.504237	STT3A	3703	1.65	4.66E-04
	1194151	Hs.568844			0.76	4.70E-04
PSMD4	1187264	Hs.505059	PSMD4	5710	1.57	4.71E-04
PLXNA1	1193331		PLXNA1		0.73	4.73E-04
TMEM129	1193547	Hs.518562	TMEM129	92305	0.78	4.75E-04
	1194727	Hs.128258	RP11-301I17.1	55068	0.71	4.79E-04
SYVN1	1193388	Hs.321535	SYVN1	84447	0.77	4.79E-04
LTB4R2	1186536	Hs.642695	LTB4R2	56413	0.58	4.79E-04
TUFT1	1191305	Hs.489922	TUFT1	7286	1.32	4.81E-04
RTCA	1177259	Hs.552835	RTCD1	8634	1.58	4.81E-04
ATP5G1	1180369	Hs.80986	ATP5G1	516	1.61	4.83E-04
LRP5	1174708	Hs.6347	LRP5	4041	0.75	4.88E-04
ZFP3	1178445	Hs.48832	ZFP3	124961	0.8	4.91E-04
KRT3	1189566	Hs.533782	KRT3	3850	0.64	4.99E-04
SLC2A9	1184300	Hs.444612	SLC2A9	56606	0.62	5.01E-04
MBD5	1184230	Hs.458312	MBD5	55777	0.67	5.12E-04
DCST1	1194833	Hs.567717	DCST1	149095	0.71	5.15E-04
COPS6	1176010	Hs.15591	COPS6	10980	1.35	5.20E-04
HINT2	1179262	Hs.70573	HINT2	84681	0.62	5.38E-04
CKS2	1180621	Hs.83758	CKS2	1164	2.23	5.39E-04
TMEM245	1176574	Hs.308074	C9orf5	23731	0.75	5.40E-04
LINC00029	1188025	Hs.187773	C20orf51	63930	0.63	5.41E-04
ACTL6A	1190735	Hs.435326	ACTL6A	86	1.71	5.42E-04
RSL24D1	1182319	Hs.274772	C15orf15	51187	0.71	5.45E-04
FNBP1L	1189330	Hs.134060	FNBP1L	54874	1.97	5.48E-04
ATR	1183555	Hs.271791	ATR	545	1.45	5.55E-04
CYP1A2	1173848	Hs.1361	CYP1A2	1544	0.62	5.61E-04
ITGB1BP1	1181700	Hs.467662	ITGB1BP1	9270	1.62	5.61E-04
MOGAT2	1190615	Hs.288568	MOGAT2	80168	0.63	5.71E-04
ARPC1A	1184027	Hs.124126	ARPC1A	10552	1.6	5.73E-04
DCAF11	1182307	Hs.525251	WDR23	80344	0.72	5.75E-04
GSG1	1185739	Hs.240053	GSG1	83445	0.77	5.77E-04
PARP1	1181865	Hs.177766	PARP1	142	1.59	5.77E-04
OPRL1	1174187	Hs.2859	OPRL1	4987	0.73	5.89E-04
SERPING1	1187386	Hs.384598	SERPING1	710	0.61	5.90E-04
AKR1C6P	1190494	Hs.631812	tAKR	389932	0.81	5.98E-04
IGHMBP2	1173890	Hs.503048	IGHMBP2	3508	0.77	6.05E-04
SLC6A12	1180514	Hs.437174	SLC6A12	6539	0.75	6.09E-04
GPANK1	1189527	Hs.247478	BAT4	7918	1.36	6.11E-04
RIBC1	1194942	Hs.351743	RIBC1	158787	0.71	6.13E-04
HERC3	1177843	Hs.35804	HERC3	8916	0.79	6.19E-04
ASNSD1	1184725	Hs.101364	ASNSD1	54529	1.36	6.23E-04
MASP2	1185850	Hs.632369	MASP2	10747	0.48	6.26E-04
MAVS	1176001	Hs.570362	VISA	57506	1.57	6.27E-04
FAM167B	1176247	Hs.18449	C1orf90	84734	0.64	6.33E-04
SNRNP27	1178659	Hs.54649	RY1	11017	1.35	6.35E-04
SUZ12	1188416	Hs.462732	SUZ12	23512	2.15	6.38E-04
ENAM	1182299	Hs.381568	ENAM	10117	0.72	6.39E-04
PRRC2C	1179234	Hs.494614	BAT2D1	23215	1.58	6.51E-04
CYP4V2	1189251	Hs.237642	CYP4V2	285440	0.54	6.52E-04
IL4	1179439	Hs.73917	IL4	3565	0.78	6.53E-04
SLC27A5	1185363	Hs.292177	SLC27A5	10998	0.52	6.55E-04
FBXO17	1193802	Hs.531770	FBXO17	115290	0.77	6.57E-04
NT5C	1179180	Hs.67201	NT5C	30833	1.66	6.57E-04
TRIM68	1178611	Hs.523438	TRIM68	55128	1.58	6.61E-04
HSPA1A	1195045	Hs.520028	HSPA1A	3303	1.59	6.75E-04
THSD1	1192839	Hs.325667	THSD1	55901	0.78	6.83E-04
GSE1	1179785	Hs.461647	KIAA0182	23199	0.72	6.86E-04
	1182622				0.79	6.88E-04
TPRKB	1177201	Hs.157401	TPRKB	51002	1.71	6.89E-04
NAA38	1189434	Hs.592275	LSM8	51691	1.48	6.90E-04
SLC18B1	1193815	Hs.347144	C6orf192	116843	1.4	6.92E-04
UTP6	1177552	Hs.589862	UTP6	55813	1.59	6.93E-04
CTAGE1	1184427	Hs.406709	CTAGE1	64693	0.81	7.00E-04
S100A10	1185819	Hs.143873	S100A10	6281	1.78	7.05E-04
ASGR1	1175568	Hs.12056	ASGR1	432	0.62	7.08E-04
POLR2G	1175931	Hs.14839	POLR2G	5436	1.56	7.09E-04
RUNX1	1192329	Hs.149261	RUNX1	861	0.71	7.11E-04
ABHD6	1176408	Hs.476454	ABHD6	57406	0.53	7.13E-04
SNAPIN	1177672	Hs.32018	SNAPAP	23557	1.5	7.14E-04
ZCCHC24	1177354	Hs.523080	C10orf56	219654	0.77	7.25E-04
CHMP1B	1192953		C18orf2		0.75	7.29E-04
MRPS14	1189520	Hs.247324	MRPS14	63931	1.57	7.31E-04
SRPK1	1179744	Hs.443861	SRPK1	6732	1.47	7.32E-04
BUB1B	1177871	Hs.631699	BUB1B	701	1.52	7.33E-04
TSN	1179545	Hs.75066	TSN	7247	1.41	7.35E-04
TMEM222	1192647	Hs.469171	C1orf160	84065	0.76	7.56E-04
IDI1	1179798	Hs.283652	IDI1	3422	1.58	7.58E-04
FADS1	1186678	Hs.503546	FADS1	3992	2.72	7.59E-04
CAPN6	1181359	Hs.496593	CAPN6	827	0.71	7.59E-04
TMEM127	1188597	Hs.355708	TMEM127	55654	0.75	7.72E-04
SSR2	1179510	Hs.74564	SSR2	6746	1.93	7.75E-04
ZNF770	1174537	Hs.5327	FLJ20582	54989	0.76	7.77E-04
CRADD	1193907	Hs.591016	CRADD	8738	0.71	7.79E-04
KRT9	1174173	Hs.2785	KRT9	3857	0.7	7.81E-04
CEP192	1184700	Hs.100914	CEP192	55125	1.41	7.82E-04
ZDHHC15	1180842	Hs.253211	ZDHHC15	158866	0.72	7.85E-04
CEP170P1	1194138	Hs.408293	CEP170L	645455	0.78	7.89E-04
RPH3A	1176511	Hs.21239	RPH3A	22895	0.84	7.94E-04
HOGA1	1185945	Hs.180346	C10orf65	112817	0.48	7.96E-04
EPRS	1178735	Hs.497788	EPRS	2058	1.85	7.97E-04
NT5DC3	1174706	Hs.48428	NT5DC3	51559	1.79	7.97E-04
GHR	1186165	Hs.125180	GHR	2690	0.41	8.00E-04
SMS	1183983	Hs.288487	SMS	6611	1.52	8.06E-04
MRPL15	1176237	Hs.18349	MRPL15	29088	1.73	8.06E-04
COPB2	1179734	Hs.75724	COPB2	9276	1.44	8.10E-04
MPST	1189791	Hs.248267	MPST	4357	0.72	8.10E-04
DUS4L	1184422	Hs.97627	DUS4L	11062	1.54	8.10E-04
	1185434		DKFZp586I1420	222161	1.35	8.11E-04
MTPN	1176523	Hs.43297	MTPN	136319	1.54	8.16E-04
SNRPB2	1180519	Hs.280378	SNRPB2	6629	1.62	8.24E-04
PRKG1	1183365	Hs.584791	PRKG1	5592	0.67	8.27E-04
TCF3	1195245	Hs.371282	TCF3	6929	1.58	8.28E-04
MSRA	1177171	Hs.490981	MSRA	4482	0.68	8.52E-04
SHC2	1177587		SHC2	25759	0.68	8.66E-04
ID1	1179650	Hs.504609	ID1	3397	0.53	8.67E-04
TUSC3	1190043	Hs.591845	TUSC3	7991	0.76	8.67E-04
SNRPD2	1178599	Hs.515472	SNRPD2	6633	1.7	8.85E-04
C4orf27	1178236	Hs.406756	C4orf27	54969	1.55	8.95E-04
SARNP	1179078	Hs.505676	CIP29	84324	1.61	8.95E-04
	1192700				0.78	8.97E-04
PPBP	1174043	Hs.2164	PPBP	5473	0.75	8.99E-04
METTL6	1193483	Hs.149487	METTL6	131965	0.76	9.04E-04
FURIN	1178900	Hs.513153	FURIN	5045	0.7	9.08E-04
SUMO2	1181983	Hs.546298	SUMO2	6613	1.44	9.08E-04
ZNF570	1194587	Hs.350875	ZNF570	148268	0.64	9.16E-04
NCK1	1183323	Hs.477693	NCK1	4690	0.7	9.25E-04
CCDC59	1184039	Hs.582627	CCDC59	29080	1.54	9.26E-04
RAB5C	1173618	Hs.127764	RAB5C	5878	1.4	9.33E-04
TUBG1	1176575	Hs.279669	TUBG1	7283	1.49	9.33E-04
SPCS1	1175482	Hs.11125	SPCS1	28972	1.44	9.40E-04
GNA14	1178532	Hs.126715	GNA14	9630	0.75	9.40E-04
HSP90AA1	1183069	Hs.525600	HSP90AA1	3320	2.11	9.41E-04
KCTD17	1193646	Hs.517597	KCTD17	79734	0.69	9.43E-04
HCK	1183946	Hs.126521	HCK	3055	1.41	9.45E-04
TENC1	1174667	Hs.6147	TENC1	23371	0.67	9.55E-04
TMEM161A	1177188	Hs.631629	TMEM161A	54929	1.21	9.59E-04
EXOC1	1176664	Hs.269665	EXOC1	55763	1.37	9.59E-04
	1194369	Hs.516528			0.77	9.65E-04
CYP2C9	1181304	Hs.282624	CYP2C9	1559	0.52	9.71E-04
ILF2	1179562	Hs.75117	ILF2	3608	1.89	9.74E-04
GGH	1180094	Hs.78619	GGH	8836	2.36	9.79E-04
SYT8	1181083	Hs.161031	SYT8	90019	0.72	9.87E-04
PLXNA4	1181653	Hs.511454	PLXNA4A	57671	0.76	9.90E-04
SLC23A2	1180439	Hs.516866	SLC23A2	9962	0.76	9.96E-04
GLA	1179207	Hs.69089	GLA	2717	1.56	9.96E-04
ACADS	1194083	Hs.507076	ACADS	35	0.55	9.98E-04
	1186615		LOC113386	113386	1.38	9.99E-04
