Curated Gene Symbol	GeneSymbol	Gene Description	FoldChangeinExpression	NumberofPathwaysGeneInvolvedin	ChromosomeLocation
CALM3	CALM3	Calmodulin 3 (phosphorylase kinase, delta)	-2.31	7 (3,7,8,19,20,24,29)	19q13.2–q13.3
ITGB1	ITGB1	Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	2.26	6 (2,4,6,11,16,21)	10p11.2
ITPR1	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	-8.62	6 (3,7,8,10,19,22)	3p26–p25
ITPR2	ITPR2	Inositol 1,4,5-triphosphate receptor, type 2	5.42	6 (3,7,8,10,19,22)	12p11
ROCK1	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	2.42	6 (4,6,16,21,28,44)	18q11.1
NFKBIA	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2.17	6 (9,14,15,18,33,35)	14q13
ROCK2	ROCK2	Rho-associated, coiled-coil containing protein kinase 2	-2.4	6 (4,6,16,21,28,44)	2p24
CCND1	CCND1	Cyclin D1	3.77	5 (4,26,28,38,45)	11q13
CAMK2A	CAMK2A	Calcium/calmodulin–dependent protein kinase (CaM kinase) II alpha	-36.77	5 (7,8,19,20,28)	5q33.1
CAMK2B	CAMK2B	Calcium/calmodulin–dependent protein kinase (CaM kinase) II beta	-8.77	5 (7,8,19,20,28)	7p14.3–p14.1
GNAI3	GNAI3	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	2.72	5 (10,16,21,22,36)	3p21
TGFB1	TGFB1	Transforming growth factor, beta 1 (Camurati–Engelmann disease)	2.32	5 (5,26,38,44,47)	19q13.1
ACTN1	ACTN1	Actinin, alpha 1	2.26	5 (4,6,16,36,37)	14q22–q24
PAK2	PAK2	p21 (CDKN1A)–activated kinase 2	2.23	5 (4–6,21,33)	3q29
FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	5.1	5 (5,14,18,26,33)	14q24.3
ACTN2	ACTN2	Actinin, alpha 2	-2.52	5 (4,6,16,36,37)	1q42–q43
MAP2K4	MAP2K4	Mitogen-activated protein kinase kinase 4	-3.3	5 (5,8,14,15,41)	17p11.2
PLA2G6	PLA2G6	Phospholipase A2, group VI (cytosolic, calcium-independent)	-2.02	5 (5,8,2,39,41)	22q13.1
PTPN6	PTPN6	Protein tyrosine phosphatase, nonreceptor type 6	2.21	5 (17,18,33,37,45)	12p13
FAS	FAS	Fas (TNF receptor superfamily, member 6)	5.9	5 (5,9,13,17,47)	10q24.1
CCND2	CCND2	Cyclin D2	2.02	5 (4,26,28,38,45)	12p13
PLA2G12A	PLA2G12A	Phospholipase A2, group XIIA	3.99	5 (5,8,22,39,41)	4q25
GNAS	GNAS	GNAS complex locus	-4.93	5 (8,10,19,22,48)	20q13.3
GNAI1	GNAI1	Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	-2.25	5 (10,16,21,22,36)	7q21
CAMK2G	CAMK2G	Calcium/calmodulin–dependent protein kinase (CaM kinase) II gamma	-3.4	5 (7,8,19,20,28)	10q22
