Affymetrix Probe ID	Gene symbol	Gene name	p-value	PPDE (<p)	Fold Difference
222043_at	CLU	clusterin	0.00000242	0.9997738	19.45296848
201496_x_at	MYH11	myosin, heavy chain 11, smooth muscle	0.0000389	0.9986784	19.20066611
210095_s_at	IGFBP3	insulin-like growth factor binding protein 3	0.0000385	0.9986871	19.16998592
202920_at	ANK2	ankyrin 2, neuronal	0.000919	0.9902065	18.13568216
209087_x_at	MCAM	melanoma cell adhesion molecule	0.000024	0.9990276	18.08637663
212865_s_at	COL14A1	collagen, type XIV, alpha 1	0.00000433	0.9996725	17.98510494
210078_s_at	KCNAB1	potassium voltage-gated channel, shaker-related subfamily, beta member 1	0.0000481	0.9984877	17.39955357
213746_s_at	FLNA	filamin A, alpha (actin binding protein 280)	0.000336	0.9948126	17.31853117
205267_at	POU2AF1	POU class 2 associating factor 1	0.000142	0.996994	17.27742749
221667_s_at	HSPB8	heat shock 22kDa protein 8	0.0000132	0.9993349	17.00193266
213994_s_at	SPON1	spondin 1, extracellular matrix protein	0.00000685	0.9995617	16.5220567
205743_at	STAC	SH3 and cysteine rich domain	0.00000945	0.9994622	16.49206685
219935_at	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	0.00015	0.9968877	16.12063915
204396_s_at	GRK5	G protein-coupled receptor kinase 5	0.0000332	0.998805	15.93256262
218730_s_at	OGN	osteoglycin	0.0000764	0.9979713	15.37995751
212233_at	MAP1B	microtubule-associated protein 1B	0.00000204	0.9997971	15.26313904
220595_at	PDZRN4	PDZ domain containing ring finger 4	0.0000796	0.9979178	15.03256303
213888_s_at	LOC100133233	hypothetical protein LOC100133233 /// TRAF3 interacting protein 3	0.000215	0.99609	14.86025641
205475_at	SCRG1	scrapie responsive protein 1	0.0000134	0.9993285	14.8030722
204939_s_at	PLN	phospholamban	0.00000523	0.9996308	14.70469172
200931_s_at	VCL	vinculin	0.0000384	0.9986892	14.63051474
201058_s_at	MYL9	myosin, light chain 9, regulatory	0.00000649	0.9995765	14.28731926
212624_s_at	CHN1	chimerin (chimaerin) 1	0.000066	0.9981513	13.78922848
203065_s_at	CAV1	caveolin 1, caveolae protein, 22kDa	0.000506	0.9932796	13.7174359
204940_at	PLN	phospholamban	0.000344	0.9947347	13.70734063
217764_s_at	RAB31	RAB31, member RAS oncogene family	0.00000353	0.9997124	13.68193664
201243_s_at	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	0.0000322	0.998828	13.60086189
211985_s_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	0.000436	0.9938832	13.53092639
202222_s_at	DES	desmin	0.0000152	0.9992725	13.5132533
213139_at	SNAI2	snail homolog 2 (Drosophila)	0.000777	0.9911898	13.15462494
205304_s_at	KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	0.0000363	0.9987352	12.95258404
203903_s_at	HEPH	hephaestin	0.00000135	0.9998439	12.88514088
219525_at	SLC47A1	solute carrier family 47, member 1	0.000256	0.9956329	12.86687631
219505_at	CECR1	cat eye syndrome chromosome region, candidate 1	0.0000225	0.9990666	12.72384368
215870_s_at	PLA2G5	phospholipase A2, group V	0.0000315	0.9988442	12.36411757
201431_s_at	DPYSL3	dihydropyrimidinase-like 3	0.0000437	0.9985771	12.25070569
209763_at	CHRDL1	chordin-like 1	0.00000579	0.9996061	12.22407488
52837_at	KIAA1644	KIAA1644	0.0000197	0.9991422	12.21824397
214791_at	SP140L	SP140 nuclear body protein-like	0.000625	0.9923205	12.16935856
202274_at	ACTG2	actin, gamma 2, smooth muscle, enteric	0.000000979	0.9998728	11.91158754
203881_s_at	DMD	dystrophin	0.000465	0.9936291	11.90070147
218332_at	BEX1	brain expressed, X-linked 1	0.0000159	0.9992514	11.89046723
204069_at	MEIS1	Meis homeobox 1	0.0000174	0.9992073	11.76270102
202565_s_at	SVIL	supervillin	0.00000377	0.9997001	11.63909588
213258_at	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)	0.0000908	0.9977364	11.61695261
214043_at	PTPRD	protein tyrosine phosphatase, receptor type, D	0.00002	0.9991339	11.41224059
201719_s_at	EPB41L2	erythrocyte membrane protein band 4.1-like 2	0.000161	0.9967449	11.37215963
204083_s_at	TPM2	tropomyosin 2 (beta)	0.0000149	0.9992817	11.32268667
203186_s_at	S100A4	S100 calcium binding protein A4	0.0000212	0.9991013	11.30490124
212993_at	NACC2	NACC family member 2, BEN and BTB (POZ) domain containing	0.000013	0.9993413	11.2700326
218435_at	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	0.0000464	0.9985219	11.16105156
207030_s_at	CSRP2	cysteine and glycine-rich protein 2	0.0000227	0.9990614	11.10070704
201540_at	FHL1	four and a half LIM domains 1	0.0000136	0.9993222	10.96489705
203324_s_at	CAV2	caveolin 2	0.0000187	0.9991702	10.91061374
207016_s_at	ALDH1A2	aldehyde dehydrogenase 1 family, member A2	0.0000264	0.9989669	10.80216399
217028_at	CXCR4	chemokine (C-X-C motif) receptor 4	0.0000176	0.9992015	10.70774297
209496_at	RARRES2	retinoic acid receptor responder (tazarotene induced) 2	0.00021	0.9961478	10.62178002
222073_at	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	0.0000153	0.9992695	10.62022768
207836_s_at	RBPMS	RNA binding protein with multiple splicing	0.0000204	0.999123	10.53778191
203019_x_at	SSX2IP	synovial sarcoma, X breakpoint 2 interacting protein	0.000142	0.996994	10.51287996
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	0.000121	0.9972841	10.48288288
209723_at	SERPINB9	serpin peptidase inhibitor, clade B (ovalbumin), member 9	0.000454	0.9937248	10.45370033
204205_at	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	0.0000493	0.9984638	10.32850242
217762_s_at	RAB31	RAB31, member RAS oncogene family	0.000238	0.99583	10.31585678
205382_s_at	CFD	complement factor D (adipsin)	0.00000574	0.9996083	10.25793219
211980_at	COL4A1	collagen, type IV, alpha 1	0.0000387	0.9986828	10.19688476
205609_at	ANGPT1	angiopoietin 1	0.0000419	0.9986146	10.13260431
203695_s_at	DFNA5	deafness, autosomal dominant 5	0.000269	0.9954938	10.13077364
211990_at	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.000107	0.9974879	10.00972146
221505_at	ANP32E	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	0.0000545	0.9983629	9.985630244
202664_at	WIPF1	WAS/WASL interacting protein family, member 1	0.0000564	0.9983268	9.961590662
203323_at	CAV2	caveolin 2	0.0000735	0.9980205	9.954842321
213992_at	COL4A6	collagen, type IV, alpha 6	0.0000296	0.998889	9.938896627
201506_at	TGFBI	transforming growth factor, beta-induced, 68kDa	0.0000208	0.9991121	9.884378752
204114_at	NID2	nidogen 2 (osteonidogen)	0.0000641	0.9981852	9.824864499
205547_s_at	TAGLN	transgelin	0.0000908	0.9977364	9.795407098
218380_at	NLRP1	NLR family, pyrin domain containing 1	0.0000184	0.9991786	9.792924169
206101_at	ECM2	extracellular matrix protein 2, female organ and adipocyte specific	0.0000323	0.9988256	9.745158094
212588_at	PTPRC	protein tyrosine phosphatase, receptor type, C	0.00022	0.9960326	9.742667598
213982_s_at	RABGAP1L	RAB GTPase activating protein 1-like	0.0000268	0.998957	9.723402743
201957_at	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	0.0000507	0.9984363	9.55799766
209210_s_at	FERMT2	fermitin family homolog 2 (Drosophila)	0.0000117	0.999384	9.525010058
200953_s_at	CCND2	cyclin D2	0.0000706	0.9980705	9.452346674
219478_at	WFDC1	WAP four-disulfide core domain 1	0.0000651	0.9981673	9.369450102
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2	0.000145	0.9969539	9.312710438
219506_at	C1orf54	chromosome 1 open reading frame 54	0.000188	0.9964087	9.257541849
201312_s_at	SH3BGRL	SH3 domain binding glutamic acid-rich protein like	0.0000388	0.9986806	9.199809667
201105_at	LGALS1	lectin, galactoside-binding, soluble, 1	0.00000805	0.9995143	9.130732678
204613_at	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	0.000242	0.9957857	9.121780143
205898_at	CX3CR1	chemokine (C-X3-C motif) receptor 1	0.0000748	0.9979984	9.10480873
200795_at	SPARCL1	SPARC-like 1 (hevin)	0.0000407	0.9986399	9.093708588
213572_s_at	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	0.000307	0.9951006	9.075738307
209286_at	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	0.000285	0.9953259	9.007657205
209616_s_at	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	0.000137	0.9970615	8.99916051
217525_at	OLFML1	olfactomedin-like 1	0.000255	0.9956437	8.987669725
203766_s_at	LMOD1	leiomodin 1 (smooth muscle)	0.000117	0.9973414	8.978881787
203296_s_at	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	0.0000681	0.9981141	8.922299877
219985_at	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	0.000569	0.9927625	8.871017393
205431_s_at	BMP5	bone morphogenetic protein 5	0.000459	0.9936812	8.833541667
207302_at	SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	0.000458	0.9936899	8.812363834
201667_at	GJA1	gap junction protein, alpha 1, 43kDa	0.0000939	0.9976876	8.778780809
204400_at	EFS	embryonal Fyn-associated substrate	0.00000518	0.999633	8.740658878
213093_at	PRKCA	protein kinase C, alpha	0.0000305	0.9988676	8.726294158
209487_at	RBPMS	RNA binding protein with multiple splicing	0.0000496	0.9984579	8.712518519
212097_at	CAV1	caveolin 1, caveolae protein, 22kDa	0.0000187	0.9991702	8.69700013
212730_at	SYNM	synemin, intermediate filament protein	0.00000327	0.9997261	8.672717479
219654_at	PTPLA	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	0.000111	0.9974287	8.664678899
205269_at	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	0.000079	0.9979278	8.662297129
212764_at	ZEB1	zinc finger E-box binding homeobox 1	0.00000741	0.9995392	8.611279973
204730_at	RIMS3	regulating synaptic membrane exocytosis 3	0.000815	0.9909205	8.581424149
201842_s_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0.0000229	0.9990561	8.557364405
220817_at	TRPC4	transient receptor potential cation channel, subfamily C, member 4	0.000257	0.9956221	8.41305229
212509_s_at	MXRA7	matrix-remodelling associated 7	0.0000117	0.999384	8.4026833
203680_at	PRKAR2B	protein kinase, cAMP-dependent, regulatory, type II, beta	0.000348	0.9946961	8.398056905
210102_at	VWA5A	von Willebrand factor A domain containing 5A	0.000712	0.9916622	8.397792706
209685_s_at	PRKCB	protein kinase C, beta	0.000475	0.9935428	8.32371108
57588_at	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	0.0000559	0.9983363	8.276502045
211896_s_at	DCN	decorin	0.0000455	0.9985401	8.221500869
201060_x_at	STOM	stomatin	0.000261	0.9955791	8.175582501
212518_at	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	0.000607	0.9924609	8.046617396
218224_at	PNMA1	paraneoplastic antigen MA1	0.0000255	0.9989894	7.980298823
218980_at	FHOD3	formin homology 2 domain containing 3	0.000134	0.9971025	7.954238243
213134_x_at	BTG3	BTG family, member 3	0.000888	0.990416	7.865352582
212354_at	SULF1	sulfatase 1	0.00033	0.9948714	7.79352864
207876_s_at	FLNC	filamin C, gamma (actin binding protein 280)	0.00021	0.9961478	7.742694882
208848_at	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	0.000118	0.997327	7.681577274
202388_at	RGS2	regulator of G-protein signaling 2, 24kDa	0.0000888	0.9977681	7.644770219
209436_at	SPON1	spondin 1, extracellular matrix protein	0.000062	0.9982232	7.576998051
208792_s_at	CLU	clusterin	0.000807	0.9909768	7.566782522
202007_at	NID1	nidogen 1	0.000552	0.9928998	7.514567901
201798_s_at	MYOF	myoferlin	0.0000732	0.9980257	7.482815965
213371_at	LDB3	LIM domain binding 3	0.0000186	0.999173	7.464365565
204777_s_at	MAL	mal, T-cell differentiation protein	0.000263	0.9955577	7.402038655
213993_at	SPON1	spondin 1, extracellular matrix protein	0.000586	0.9926267	7.401780326
211984_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	0.000317	0.9950002	7.36177976
203066_at	GALNAC4S-6ST	B cell RAG associated protein	0.000393	0.994272	7.192041043
204464_s_at	EDNRA	endothelin receptor type A	0.0000165	0.9992336	7.17033867
209191_at	TUBB6	tubulin, beta 6	0.000435	0.9938921	7.150201744
207961_x_at	MYH11	myosin, heavy chain 11, smooth muscle	0.0000195	0.9991478	7.125125113
209540_at	IGF1	insulin-like growth factor 1 (somatomedin C)	0.000104	0.9975328	7.097882093
218087_s_at	SORBS1	sorbin and SH3 domain containing 1	0.000014	0.9993096	7.096004588
201438_at	COL6A3	collagen, type VI, alpha 3	0.0000116	0.9993874	7.074994195
205011_at	VWA5A	von Willebrand factor A domain containing 5A	0.000118	0.997327	7.063504356
201061_s_at	STOM	stomatin	0.0000295	0.9988914	7.062686206
200653_s_at	CALM1	calmodulin 1 (phosphorylase kinase, delta)	0.000945	0.9900328	7.060523939
200897_s_at	PALLD	palladin, cytoskeletal associated protein	0.0000112	0.9994009	6.999794357
218376_s_at	MICAL1	microtubule associated monoxygenase, calponin and LIM domain containing 1	0.000302	0.9951512	6.991742448
205430_at	BMP5	bone morphogenetic protein 5	0.000342	0.9947541	6.985390947
209542_x_at	IGF1	insulin-like growth factor 1 (somatomedin C)	0.000722	0.9915885	6.961643008
213071_at	DPT	dermatopontin	0.000168	0.9966558	6.922915731
212361_s_at	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	0.000124	0.9972416	6.871078921
202403_s_at	COL1A2	collagen, type I, alpha 2	0.000199	0.996277	6.848392287
211340_s_at	MCAM	melanoma cell adhesion molecule	0.00025	0.995698	6.830670638
210987_x_at	TPM1	tropomyosin 1 (alpha)	0.0000544	0.9983648	6.827220195
207480_s_at	MEIS2	Meis homeobox 2	0.0000198	0.9991395	6.745406921
221502_at	KPNA3	karyopherin alpha 3 (importin alpha 4)	0.000213	0.9961131	6.688878802
212992_at	AHNAK2	AHNAK nucleoprotein 2	0.000554	0.9928836	6.666968699
214306_at	OPA1	optic atrophy 1 (autosomal dominant)	0.000238	0.99583	6.663921338
205549_at	PCP4	Purkinje cell protein 4	0.0000116	0.9993874	6.653499366
213293_s_at	TRIM22	tripartite motif-containing 22	0.000908	0.9902805	6.633960467
202350_s_at	MATN2	matrilin 2	0.0000419	0.9986146	6.623136537
219295_s_at	PCOLCE2	procollagen C-endopeptidase enhancer 2	0.000287	0.9953051	6.605400499
212667_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0.0000882	0.9977777	6.555632416
47560_at	LPHN1	latrophilin 1	0.000803	0.991005	6.548066048
215076_s_at	COL3A1	collagen, type III, alpha 1	0.000132	0.99713	6.547575851
200907_s_at	PALLD	palladin, cytoskeletal associated protein	0.000819	0.9908924	6.544917258
204993_at	GNAZ	guanine nucleotide binding protein (G protein), alpha z polypeptide	0.000761	0.9913046	6.498306725
210517_s_at	AKAP12	A kinase (PRKA) anchor protein 12	0.000753	0.9913624	6.472256322
214660_at	PELO	Pelota homolog (Drosophila)	0.000777	0.9911898	6.391938998
201560_at	CLIC4	chloride intracellular channel 4	0.0000382	0.9986936	6.364803599
214027_x_at	DES	desmin /// family with sequence similarity 48, member A	0.000239	0.9958189	6.337257618
203498_at	RCAN2	regulator of calcineurin 2	0.000805	0.9909909	6.318023788
209787_s_at	HMGN4	high mobility group nucleosomal binding domain 4	0.000201	0.9962533	6.315024697
218418_s_at	KANK2	KN motif and ankyrin repeat domains 2	0.0000784	0.9979378	6.309376184
209786_at	HMGN4	high mobility group nucleosomal binding domain 4	0.000181	0.9964941	6.30569601
204979_s_at	SH3BGR	SH3 domain binding glutamic acid-rich protein	0.000715	0.99164	6.302595628
201505_at	LAMB1	laminin, beta 1	0.000249	0.9957089	6.27699422
209651_at	TGFB1I1	transforming growth factor beta 1 induced transcript 1	0.000106	0.9975028	6.260119203
208131_s_at	PTGIS	prostaglandin I2 (prostacyclin) synthase	0.000129	0.9971715	6.210039917
202283_at	SERPINF1	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	0.00022	0.9960326	6.209754053
213503_x_at	ANXA2	annexin A2	0.0000633	0.9981996	6.181295238
202202_s_at	LAMA4	laminin, alpha 4	0.0000401	0.9986527	6.152570906
215016_x_at	DST	dystonin	0.00029	0.9952741	6.151615609
212918_at	RECQL	RecQ protein-like (DNA helicase Q1-like)	0.000507	0.9932712	6.110148409
207761_s_at	METTL7A	methyltransferase like 7A	0.0000778	0.9979478	6.039311091
202157_s_at	CUGBP2	CUG triplet repeat, RNA binding protein 2	0.000163	0.9967193	6.030730749
211964_at	COL4A2	collagen, type IV, alpha 2	0.0000815	0.9978864	6.025125885
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	0.0000227	0.9990614	6.013858037
217767_at	C3	complement component 3	0.000236	0.9958522	5.985682178
214247_s_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	0.0000473	0.9985037	5.978671741
217890_s_at	PARVA	parvin, alpha	0.000648	0.9921433	5.978358046
202994_s_at	FBLN1	fibulin 1	0.0000673	0.9981282	5.940673122
201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	0.0000724	0.9980394	5.93713609
211719_x_at	FN1	fibronectin 1	0.0000807	0.9978996	5.921553855
201215_at	PLS3	plastin 3 (T isoform)	0.000432	0.9939188	5.877194364
212230_at	PPAP2B	phosphatidic acid phosphatase type 2B	0.000258	0.9956113	5.854805581
203961_at	NEBL	nebulette	0.000136	0.9970752	5.832286814
209505_at	NR2F1	Nuclear receptor subfamily 2, group F, member 1	0.000254	0.9956545	5.814843656
211161_s_at	COL3A1	collagen, type III, alpha 1	0.00032	0.9949703	5.743115621
202554_s_at	GSTM3	glutathione S-transferase mu 3 (brain)	0.000446	0.9937949	5.729922894
206116_s_at	TPM1	tropomyosin 1 (alpha)	0.000397	0.9942351	5.685986422
212288_at	FNBP1	formin binding protein 1	0.000199	0.996277	5.646656484
200621_at	CSRP1	cysteine and glycine-rich protein 1	0.000121	0.9972841	5.584477408
200878_at	EPAS1	endothelial PAS domain protein 1	0.0000744	0.9980052	5.554062426
201152_s_at	MBNL1	muscleblind-like (Drosophila)	0.000614	0.9924061	5.528431808
210427_x_at	ANXA2	annexin A2	0.00013	0.9971577	5.504423329
221584_s_at	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	0.000226	0.9959644	5.491038929
209199_s_at	MEF2C	myocyte enhancer factor 2C	0.000751	0.9913769	5.467810367
212464_s_at	FN1	fibronectin 1	0.0000798	0.9979145	5.437512676
217897_at	FXYD6	FXYD domain containing ion transport regulator 6	0.000185	0.9964451	5.423817461
202748_at	GBP2	guanylate binding protein 2, interferon-inducible	0.000137	0.9970615	5.376978974
209194_at	CETN2	centrin, EF-hand protein, 2	0.000142	0.996994	5.363231198
202291_s_at	MGP	matrix Gla protein	0.000407	0.9941437	5.331449547
202949_s_at	FHL2	four and a half LIM domains 2	0.000618	0.9923749	5.315627406
211962_s_at	ZFP36L1	zinc finger protein 36, C3H type-like 1	0.000552	0.9928998	5.310565135
204894_s_at	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	0.000328	0.9948911	5.259973056
204820_s_at	BTN3A2	butyrophilin, subfamily 3, member A2 /// butyrophilin, subfamily 3, member A3	0.000596	0.9925475	5.249882516
201893_x_at	DCN	decorin	0.000133	0.9971162	5.212248636
202992_at	C7	complement component 7	0.000181	0.9964941	5.182990624
217845_x_at	HIGD1A	HIG1 hypoxia inducible domain family, member 1A	0.000241	0.9957968	5.135857325
206117_at	TPM1	tropomyosin 1 (alpha)	0.000915	0.9902333	5.043117656
212887_at	SEC23A	Sec23 homolog A (S. cerevisiae)	0.000787	0.9911184	5.017451432
218285_s_at	BDH2	3-hydroxybutyrate dehydrogenase, type 2	0.000191	0.9963725	4.946128694
212195_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	0.000844	0.9907181	4.910231469
204030_s_at	SCHIP1	schwannomin interacting protein 1	0.000736	0.9914859	4.908220653
210139_s_at	PMP22	peripheral myelin protein 22	0.000415	0.9940712	4.892068981
200762_at	DPYSL2	dihydropyrimidinase-like 2	0.000187	0.9964208	4.835903217
212813_at	JAM3	junctional adhesion molecule 3 /// hypothetical protein LOC100133502	0.00039	0.9942996	4.822150326
204345_at	COL16A1	collagen, type XVI, alpha 1	0.000723	0.9915811	4.803921569
203640_at	MBNL2	muscleblind-like 2 (Drosophila)	0.000588	0.9926108	4.791740721
218204_s_at	FYCO1	FYVE and coiled-coil domain containing 1	0.000176	0.9965558	4.774780111
203774_at	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	0.000676	0.9919307	4.759322384
218694_at	ARMCX1	armadillo repeat containing, X-linked 1	0.000589	0.9926029	4.754327864
209242_at	PEG3	paternally expressed 3	0.000689	0.9918331	4.739156333
216442_x_at	FN1	fibronectin 1	0.000257	0.9956221	4.693741543
206874_s_at	N/A	N/A	0.000587	0.9926187	4.689360476
212419_at	ZCCHC24	zinc finger, CCHC domain containing 24	0.000346	0.9947154	4.677305489
212690_at	DDHD2	DDHD domain containing 2	0.000674	0.9919458	4.657734111
218718_at	PDGFC	platelet derived growth factor C	0.0004	0.9942076	4.630862667
203706_s_at	FZD7	frizzled homolog 7 (Drosophila)	0.000609	0.9924452	4.616904165
203710_at	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	0.000597	0.9925396	4.590520297
221127_s_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	0.000657	0.9920746	4.589841227
219230_at	TMEM100	transmembrane protein 100	0.0008	0.9910262	4.585403649
206580_s_at	EFEMP2	EGF-containing fibulin-like extracellular matrix protein 2	0.000283	0.9953467	4.557760835
212077_at	CALD1	caldesmon 1	0.00021	0.9961478	4.441785311
202074_s_at	OPTN	optineurin	0.000145	0.9969539	4.434118044
200665_s_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	0.000309	0.9950804	4.3596554
204793_at	GPRASP1	G protein-coupled receptor associated sorting protein 1	0.000579	0.9926824	4.344528302
201590_x_at	ANXA2	annexin A2	0.00058	0.9926744	4.339393939
213400_s_at	TBL1X	transducin (beta)-like 1X-linked	0.000445	0.9938037	4.322408957
212848_s_at	C9orf3	chromosome 9 open reading frame 3	0.000584	0.9926426	4.276661067
201425_at	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	0.000378	0.9944112	4.214470358
201603_at	PPP1R12A	protein phosphatase 1, regulatory (inhibitor) subunit 12A	0.000573	0.9927304	4.178528737
201375_s_at	PPP2CB	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	0.000295	0.9952227	4.155607926
208617_s_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	0.000302	0.9951512	4.118798405
202404_s_at	COL1A2	collagen, type I, alpha 2	0.000757	0.9913335	4.101211246
218773_s_at	MSRB2	methionine sulfoxide reductase B2	0.000203	0.9962297	4.062171629
219167_at	RASL12	RAS-like, family 12	0.000737	0.9914786	4.062030363
201030_x_at	LDHB	lactate dehydrogenase B	0.000413	0.9940893	4.039005215
35776_at	ITSN1	intersectin 1 (SH3 domain protein)	0.00016	0.9967577	4.013354796
213455_at	FAM114A1	family with sequence similarity 114, member A1	0.000725	0.9915664	3.909015852
208747_s_at	C1S	complement component 1, s subcomponent	0.000474	0.9935514	3.904192234
213564_x_at	LDHB	lactate dehydrogenase B	0.000891	0.9903956	3.56383271
208636_at	ACTN1	actinin, alpha 1	0.000458	0.9936899	3.543495035
200986_at	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1	0.000868	0.9905526	3.466907092
212408_at	TOR1AIP1	torsin A interacting protein 1	0.00067	0.991976	3.441961122
219460_s_at	TMEM127	transmembrane protein 127	0.000897	0.9903549	3.304730954
221748_s_at	TNS1	tensin 1	0.000652	0.9921127	3.16477262
