Currated Gene Symbol	UniGene ID	Symbol	Name	Tag per million	Cytoband
H3F3A	Hs.181307	H3F3A	H3 histone, family 3A	692	1q41
HLX	Hs.74870	HLX1	H2.0-like homeo box 1 (Drosophila)	46	1q41-q42.1
ARF1	Hs.74571	ARF1	ADP-ribosylation factor 1	107	1q42
EPHX1	Hs.89649	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	88	1q42.1
SUSD4	Hs.26244	FLJ10052	hypothetical protein FLJ10052	107	1q42.12
ADCK3	Hs.273186	CABC1	chaperone, ABC1 activity of bc1 complex like (S. pombe)	280	1q42.13
SRP9	Hs.75975	SRP9	signal recognition particle 9 kDa	263	1q42.13
ERO1LB	Hs.150763	ERO1LB	ERO1-like beta (S. cerevisiae)	420	1q42.2-q43
	Hs.117183		hypothetical protein LOC200169	92	1q42.3
GNG4	Hs.32976	GNG4	guanine nucleotide binding protein (G protein), gamma 4	69	1q42.3
NID1	Hs.356624	NID	nidogen (enactin)	46	1q43
SDCCAG8	Hs.300642	SDCCAG8	serologically-defined colon cancer antigen 8	107	1q44
HNRNPU	Hs.103804	HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	65	1q44
SH3BP5L	Hs.298573	KIAA1720	KIAA1720 protein	46	1q44
