Probeset	Symbol	Probes	Mean Diff (P<=0.5)	FC>=2.0	Fold Change	t-Value	Adj. P Value	Best Probeset	Sens/Spec
209875_s_at	SPP1	24	+	+	3.32	-4.46	4.55E-04	1070547-HuGene_st	70.33 (60.9-78.5)
202310_s_at	COL1A1	27	+	+	2.5	-4.23	1.82E-03	487433-HuGene_st	69.25 (59.8-77.6)
202311_s_at	COL1A1	27	+	+	2.5	-4.23	1.82E-03	487433-HuGene_st	69.25 (59.8-77.5)
209752_at	REG1A	23	+	+	10.93	-4.18	6.19E-04	657765-HuGene_st	69.23 (59.8-77.5)
225295_at	SLC39A10	25	+	-	1.93	-8.69	2.32E-11	238968_at	85.55 (77.6-91.3)
218796_at	FERMT1	1	+	-	1.96	-7.77	8.05E-15	218796_at	82.46 (74.1-88.9)
212353_at	SULF1	26	+	-	1.74	-7.32	9.70E-09	807443-HuGene_st	81.3 (72.9-87.9)
212344_at	SULF1	26	+	-	1.74	-7.32	9.70E-09	807443-HuGene_st	81.3 (72.7-88)
212354_at	SULF1	26	+	-	1.74	-7.32	9.70E-09	807443-HuGene_st	81.29 (72.9-88)
225806_at	JUB	1	+	-	1.19	-6.84	8.08E-12	225806_at	79.55 (70.8-86.5)
204885_s_at	MSLN	23	+	-	1.93	-5.83	3.78E-06	63302-HuGene_st	76.22 (67.2-83.7)
232151_at	7A5	1	+	-	1.52	-5.77	7.79E-09	232151_at	75.85 (66.8-83.4)
241031_at	FAM148A	1	+	-	1.25	-5.29	1.24E-07	241031_at	74.02 (64.8-81.8)
212190_at	SERPINE2	25	+	-	1.9	-4.66	2.23E-04	443903-HuGene_st	71.36 (62-79.5)
226237_at	COL8A1	26	+	-	1.43	-3.45	2.55E-02	713455-HuGene_st	66.14 (56.6-74.7)
204051_s_at	SFRP4	24	-	-	1.29	-2.83	8.29E-02	1011118-HuGene_st	63.67 (54.1-72.4)
202404_s_at	COL1A2	25	-	-	1.9	-2.75	1.89E-01	240155-HuGene_st	62.75 (53.2-71.6)
238021_s_at	hCG_1815491	1	-	-	1.07	-1.92	5.48E-02	238021_s_at	59.36 (49.8-68.4)
227140_at	NA	1	-	-	1.04	-1.28	2.01E-01	227140_at	56.29 (46.7-65.5)
203083_at	THBS2	23	-	-	1.26	-1.15	9.84E-01	565405-HuGene_st	55.54 (46-64.8)
