Gene Name	Probe	ANOVA p-value	ANOVA p-value Bonferroni-corrected	SAM Rank	SAM Score	PAM CV [%]	Mean F	Mean UF
STMN2	A_23_P399265	0.00000011	0.00003704	74	-5.6434	75	0.117231	-0.322558
TFAP2B	A_24_P20954	0.00000016	0.00005601	75	-5.5536	99	0.191783	-0.680328
DDX21	A_24_P146603	0.00000018	0.00006386	76	5.525	7	-0.041744	0.168784
TP53	A_23_P26810	0.00000024	0.00008294	77	5.4677	7	-0.098800	0.057831
cDNA FLJ35632 fis, clone SPLEN2011678	Hs.20591.1	0.00000041	0.00014169	78	5.3493	74	-0.196547	0.226888
MYCN	A_24_P94402	0.00000080	0.00027818	79	5.1979	98	-1.406272	-0.488810
CDC10	A_23_P8482	0.00000082	0.00028748	80	-5.1905	7	0.154332	-0.057990
PCLO	A_23_P70983	0.00000087	0.00030215	81	-5.1792	13	0.011731	-0.197412
EIF4E	A_23_P118643	0.00000106	0.00037021	82	5.133	13	-0.154900	0.115818
ADRBK2	A_23_P251686	0.00000116	0.00040482	83	-5.1126	53	0.117560	-0.339325
CASP9	A_23_P97309	0.00000122	0.00042690	84	-5.1005	10	0.139528	-0.081890
PRC1	A_23_P206059	0.00000139	0.00048423	85	5.0716	31	-0.230246	0.158341
APRIN	A_23_P205098	0.00000146	0.00050961	86	-5.0599	23	0.114130	-0.143001
GABARAP	A_23_P27075	0.00000178	0.00062029	87	-5.0146	13	0.133666	-0.077084
SNX1	A_23_P49033	0.00000200	0.00069825	88	4.9872	14	-0.248839	0.002299
PEX14	A_23_P160787	0.00000250	0.00087119	89	-4.9357	8	0.055144	-0.187938
STMN4	A_23_P31739	0.00000257	0.00089861	90	-4.9285	66	-0.133444	-0.510766
NDRG1	A_23_P20494	0.00000277	0.00096676	91	-4.9114	77	0.053726	-0.243502
ABCC1	A_24_P227831	0.00000348	0.00121463	92	4.8578	3	-0.090373	0.039968
TUBA3	A_23_P139547	0.00000414	0.00144567	93	-4.8167	12	-0.356631	-0.633702
GAL	A_23_P374844	0.00000464	0.00161803	94	4.79	93	-0.896254	0.027105
PCOLCE	A_23_P251499	0.00000519	0.00181175	95	4.7631	4	-0.327792	-0.087044
HCRT	A_23_P129989	0.00000672	0.00234501	96	-4.7013	3	-0.022971	-0.097110
MDK	A_23_P116235	0.00000770	0.00268698	97	4.6685	7	-0.140428	0.136965
DDX1	A_23_P108554	0.00000790	0.00275655	98	4.6623	28	-2.077180	-1.469827
BIRC5	A_32_P188921	0.00000855	0.00298478	99	4.6431	7	-0.103217	0.071450
ADM	A_23_P127948	0.00001114	0.00388712	100	4.5788	11	-0.362028	0.135671
TWIST1	A_23_P71067	0.00001206	0.00420735	101	4.5594	37	-0.457718	-0.034789
NGFRAP1	A_23_P45524	0.00001207	0.00421353	102	4.5591	15	-0.097148	0.109109
MMP9	A_23_P40174	0.00001229	0.00429024	103	-4.5546	29	-0.045385	-0.707945
ALK	A_23_P324304	0.00001266	0.00441855	104	4.5474	40	-0.699641	-0.122415
DBH	A_23_P112296	0.00001278	0.00446093	105	-4.5451	31	-0.136285	-0.781457
CLNS1A	A_23_P127995	0.00001372	0.00478974	106	4.5276	11	-0.141149	0.122077
NOS1	A_23_P204791	0.00001682	0.00587152	107	-4.4773	3	0.076633	-0.002113
A2BP1	A_24_P147242	0.00001695	0.00591707	108	-4.4753	10	0.096388	-0.255782
SRC	A_23_P308603	0.00002032	0.00709144	109	-4.4303	4	0.038357	-0.062138
BID	A_24_P187948	0.00002048	0.00714688	110	4.4284	7	-0.102941	0.168120
MSH2	A_23_P102471	0.00002402	0.00838340	111	4.3884	10	-0.080241	0.134162
HRAS	A_23_P98183	0.00002413	0.00842032	112	4.3873	10	-0.297928	-0.051442
PSMD10	A_23_P258570	0.00002479	0.00865175	113	4.3805	7	-0.076528	0.097661
NCAM1	A_23_P1740	0.00003308	0.01154502	114	-4.3075	3	0.079965	-0.023517
GLO1	A_23_P214411	0.00003646	0.01272462	115	4.2827	10	-0.225926	0.001512
TH	A_23_P258633	0.00003670	0.01280913	116	-4.2811	23	-0.307060	-0.715998
XAGE1	A_24_P271696	0.00004421	0.01542810	117	4.2334	90	-2.747058	-1.568759
PTEN	A_23_P98085	0.00005021	0.01752473	118	4.2005	9	-0.071120	0.111869
FES	A_23_P14769	0.00005215	0.01820042	119	4.1907	13	-0.198766	0.029132
CAP2	A_23_P421664	0.00005343	0.01864871	120	-4.1844	8	0.110005	-0.183029
GCH1	A_24_P167642	0.00006297	0.02197708	121	-4.1417	13	0.023581	-0.297705
RET	A_23_P202245	0.00006914	0.02413013	122	4.1173	15	-0.427064	0.120405
ELAVL2	A_23_P94571	0.00008259	0.02882557	123	-4.0705	10	0.077494	-0.134620
CD44	A_23_P24870	0.00009793	0.03417844	124	-4.0254	21	0.065001	-0.382775
GAGE7	A_24_P228796	0.00011540	0.04027561	125	3.9816	8	-0.773498	-0.578680
FREM1	A_23_P43337	0.00013202	0.04607520	126	-3.9454	23	0.000474	-0.476751
CORT	A_23_P258164	0.00014891	0.05196891	127	-3.9129	3	0.047840	-0.042828
CHD2	A_24_P184844	0.00014918	0.05206464	128	-3.9124	3	0.063490	0.014972
LGALS3	A_23_P128919	0.00015459	0.05395219	129	-3.9027	24	0.193468	-0.160959
TERT variants 1-4	A_23_P110851	0.00018309	0.06389836	130	3.8566	6	-0.155178	0.024487
MYBL2	A_23_P143190	0.00020371	0.07109363	131	3.8273	3	-0.065997	0.024138
CYB561	A_23_P218331	0.00022480	0.07845414	132	-3.8001	9	-0.221743	-0.718740
CDKN1B	A_24_P81841	0.00028022	0.09779769	133	-3.7388	11	0.126993	-0.043482
LCMT2	A_23_P106505	0.00028633	0.09993001	134	3.7327	16	-0.076251	0.090273
FOS	A_23_P106194	0.00030728	0.10724189	135	-3.7129	79	-0.087576	-0.809443
CDC25B	A_23_P210726	0.00034396	0.12004187	136	3.6811	3	-0.094325	-0.018456
PPM1D	A_32_P150030	0.00036731	0.12818997	137	3.6625	9	-0.182142	0.028291
ERBB2	A_23_P89249	0.00037103	0.12948970	138	-3.6597	6	0.112989	-0.106154
TNFSF13	A_23_P152620	0.00040782	0.14232824	139	-3.6328	3	-0.004321	-0.061893
CDC42	A_23_P200560	0.00040975	0.14300336	140	-3.6314	3	0.105312	-0.034006
NISCH	A_24_P405621	0.00042044	0.14673383	141	-3.624	3	-0.115469	-0.231520
PTPRN	A_23_P90722	0.00042346	0.14778820	142	-3.622	6	-0.159780	-0.314488
PRAME	A_23_P166360	0.00044730	0.15610660	143	3.6063	34	-1.500606	-0.427497
RAF1	A_23_P40952	0.00045979	0.16046597	144	3.5984	4	-0.165157	-0.028128
PFN2	A_24_P396980	0.00046376	0.16185090	145	3.5959	4	-0.352734	-0.160673
NTRK3	A_23_P205900	0.00049006	0.17103255	146	-3.5801	15	-0.011866	-0.428526
CCT6A	A_23_P158148	0.00051513	0.17978170	147	3.5656	3	-0.046989	0.107791
TCF4	A_23_P27332	0.00097845	0.34148059	148	-3.3766	9	0.048376	-0.170487
PCDHB9	A_23_P18798	0.00108717	0.37942292	149	-3.3449	32	0.030695	-0.298858
PPM1G	A_23_P209477	0.00120285	0.41979535	150	3.3142	3	-0.241626	-0.101943
HIRIP3	A_24_P142269	0.00122339	0.42696137	151	3.309	4	-0.236109	-0.089428
SSTR2	A_23_P318800	0.00124788	0.43550855	152	-3.303	7	-0.018831	-0.265411
DPP6	A_24_P6552	0.00125048	0.43641755	153	-3.3023	4	-0.135906	-0.304385
PDGFA	A_23_P113701	0.00128476	0.44838134	154	-3.2941	8	0.101044	-0.085692
ST8SIA4	A_23_P361984	0.00150164	0.52407205	155	3.2461	1	0.014017	0.111258
MLANA	A_23_P43350	0.00151523	0.52881660	156	-3.2433	3	0.055407	-0.009029
KDR	A_24_P71973	0.00153941	0.53725531	157	-3.2385	3	0.004919	-0.078790
KRAS2	A_23_P45140	0.00188801	0.65891518	158	-3.1748	9	0.189334	0.011339
TCEB1	A_23_P60028	0.00222100	0.77512823	159	3.1236	3	0.012626	0.161913
RPL4	A_23_P69431	0.00228567	0.79769729	160	3.1144	5	-0.433038	-0.203746
CNR1	A_24_P363259	0.00256256	0.89433372	161	-3.0779	3	0.033027	-0.021025
SOCS1	A_23_P420196	0.00274123	0.95668910	162	-3.0562	3	0.029711	-0.050741
MET	A_23_P145844	0.00304513	1.06275016	163	-3.0222	1	0.048231	0.002843
MAPK1	A_23_P257895	0.00316579	1.10485977	164	-3.0095	0	-0.017321	-0.094609
LRRN1	A_24_P240187	0.00316621	1.10500684			9	-0.343932	-0.026794
CASP2	A_23_P215701	0.00339897	1.18623906			3	-0.068998	0.009812
CD82	A_23_P1782	0.00349026	1.21809955	165	-2.9776	3	0.020464	-0.063720
NAG	A_23_P332509	0.00380077	1.32646719			9	-1.123735	-0.855937
IGF1R	A_23_P205986	0.00380689	1.32860437	166	-2.9489	2	0.046266	-0.025166
SLIT3	A_23_P58588	0.00479736	1.67428025			5	-0.156888	0.106108
CYB561	A_24_P87579	0.00530947	1.85300468			3	-0.318599	-0.551682
SORT1	A_23_P201587	0.00535368	1.86843572			3	0.037490	0.096882
ATF2	A_24_P246467	0.00569326	1.98694858			3	0.094242	0.018215
DFFA	A_23_P12189	0.00632283	2.20666781			3	-0.014725	-0.089672
TP73	A_23_P74081	0.00655933	2.28920701			3	0.065579	-0.000118
ST3GAL5	A_23_P136573	0.00664064	2.31758242			3	0.028145	-0.039538
PTMA	A_23_P434301	0.00713467	2.48999843			4	-0.218800	-0.033583
CDKN1A	A_23_P59210	0.00743316	2.59417319			4	0.012734	-0.117637
DLK1	A_24_P236251	0.00896754	3.12967181			5	-1.087464	-0.506757
CCL2	A_23_P89431	0.01047909	3.65720101			18	0.205482	-0.226162
TRIO	A_23_P425880	0.01068647	3.72957803			6	0.099523	-0.104816
CALR	A_23_P67288	0.01076711	3.75772174			3	0.020149	0.116174
NGFR	A_23_P389897	0.01262933	4.40763687			5	-0.136014	-0.285865
EPHB6	A_23_P145935	0.01273399	4.44416146			3	0.033302	-0.057456
CXCL12	A_24_P412156	0.01353385	4.72331505			4	-0.057145	-0.373637
CASP3	A_23_P92410	0.01373729	4.79431561			7	0.142273	-0.054272
UBC	A_23_P329740	0.01448698	5.05595462			3	0.076988	-0.018810
ARC	A_23_P365738	0.01501095	5.23881998			3	-0.299525	-0.099051
CSK	A_23_P152024	0.01504118	5.24937287			2	-0.039255	-0.073225
GATA2	A_23_P110022	0.01571069	5.48303116			2	-0.153630	-0.351999
CIRBP	A_23_P142322	0.01632770	5.69836835			5	-0.078165	-0.202445
POSTN	A_24_P347411	0.01786374	6.23444421			2	-0.377494	-0.016732
INSRR	A_23_P615	0.01849831	6.45590845			1	0.045205	-0.000164
ADMR	A_23_P64751	0.01912545	6.67478100			3	0.039637	-0.008947
MMP14	A_24_P82106	0.01973723	6.88829292			3	-0.030679	-0.223350
ST3GAL2	A_23_P77623	0.02030429	7.08619547			3	0.020826	-0.024220
CASP8	A_23_P209389	0.02073164	7.23534131			3	0.008114	-0.065488
K-ALPHA-1	A_23_P128147	0.02090402	7.29550228			3	-0.097272	0.026431
ROBO2	A_24_P180151	0.02179932	7.60796408			4	0.148215	-0.068868
CRMP1	A_23_P132889	0.02254759	7.86910751			3	-0.203194	-0.315413
UCP3	A_24_P292470	0.02324141	8.11125139			2	0.013845	-0.037067
NELL2	A_23_P10025	0.02358903	8.23257147			3	0.001988	-0.183033
SHOX2	A_24_P300021	0.02594845	9.05600835			8	-0.047558	-0.385805
RPL5	A_32_P185259	0.02636917	9.20284068			3	0.003359	0.116776
NTRK2	A_24_P343559	0.02804879	9.78902771			0	0.028635	-0.009834
CDKN2A	A_23_P43484	0.02822246	9.84963749			4	-0.269710	-0.051479
KIT	A_23_P110253	0.02873575	10.02877535			4	-0.449198	-0.169735
RAB6B	A_23_P109974	0.03013530	10.51722040			3	0.100278	0.015701
SENP6	A_23_P214156	0.03096018	10.80510142			3	0.177667	0.063270
MAGEA1	A_23_P96291	0.03224932	11.25501408			3	-2.033165	-1.340936
ABCB1	A_23_P82523	0.03267509	11.40360641			3	0.011619	-0.158965
C1GALT1C1	A_23_P159839	0.04185360	14.60690640			2	-0.086527	0.029074
ST8SIA1	A_23_P354705	0.04255822	14.85281878			0	0.092526	-0.064508
EWSR1	A_24_P384578	0.04349400	15.17940495			3	-0.044044	-0.136096
hTERT_truncated	hTERT-truncatedO3	0.04473566	15.61274639			1	0.074188	0.115465
SPOP	A_23_P107257	0.04523836	15.78818904			1	-0.258162	-0.334322
ATP1A1	A_23_P1072	0.04531886	15.81628214			3	-0.055359	-0.179981
APLP1	A_23_P27983	0.04559115	15.91131135			3	-0.094591	-0.152697
BCL2	A_23_P352266	0.05056454				6	0.048980	-0.163463
TEP1	A_23_P65481	0.05303486				3	0.059863	-0.029680
CHGB	A_23_P57155	0.05361681				8	-0.391858	-0.652960
PGD	A_23_P126623	0.05550293				2	-0.208963	-0.290404
NMNAT2	A_23_P354908	0.05838516				2	0.073662	-0.081734
RTN3	A_24_P335221	0.06141226				2	-0.009610	-0.079845
CASP1	A_23_P202978	0.06195873				3	-0.069865	-0.220455
APG12L	A_23_P18901	0.06318529				2	0.031877	-0.047205
INHBA	A_23_P122924	0.06321772				2	-0.157410	0.041009
VEGFB	A_23_P1594	0.06469543				3	0.024060	0.107438
SLC11A1	A_24_P88690	0.06584673				2	0.006128	-0.036147
PIK3R3	A_24_P156781	0.06893190				2	0.024095	0.105663
RAB3C	A_23_P44794	0.06940849				2	0.011703	-0.133660
NIPSNAP1	A_23_P120860	0.07367779				3	-0.193641	-0.117152
ITGA5	A_23_P36562	0.07799370				1	0.039815	0.008394
DNCLI1	A_23_P69141	0.08122765				2	0.073877	-0.006918
ZHX1	A_23_P43150	0.08206774				1	-0.001143	0.046223
BIN1	A_23_P165333	0.08466920				2	-0.026640	-0.103815
PES1	A_23_P132260	0.08483549				0	-0.020931	-0.056491
MLH1	A_23_P69058	0.08490762				3	0.005393	0.084422
ST8SIA4	A_23_P435601	0.08642510				2	-0.025720	0.042936
PTN	A_23_P170551	0.08707739				3	0.038721	0.097059
ARPC5	A_23_P126803	0.09050946				3	0.103805	0.044620
PPIG	A_23_P154411	0.09670466				3	0.071755	0.019560
hTERT_fullength	hTERT-fullengthO2	0.09739208				1	0.005461	-0.034426
SLC25A13	A_23_P82334	0.10684479				3	-0.017784	0.069620
NCAM2	A_23_P211028	0.10716038				3	0.053647	-0.025141
CCND1	A_23_P202837	0.10937083				2	-0.118068	-0.285584
ANGPT2	A_23_P60079	0.11802432				1	-0.119854	0.021816
S100A1	A_23_P383227	0.11824702				3	0.077795	0.038968
PRSS3	A_23_P135257	0.12025483				2	-0.100437	0.005475
TNFRSF6	A_23_P63896	0.12086218				3	0.041579	-0.017560
PCDHGC3	A_23_P218937	0.12356977				0	0.002615	0.029701
COX7A2	A_23_P81690	0.12859544				1	0.100264	0.167837
IGF1	A_24_P398572	0.12988964				4	-0.221122	-0.440053
GSTP1	A_23_P202658	0.13355261				1	-0.044476	0.106279
TNFSF13B	A_23_P14174	0.13587412				3	0.032330	-0.043627
ING1	A_24_P39211	0.13808867				0	-0.085185	-0.034579
TCEA1	A_23_P132444	0.14940408				3	0.006892	-0.033153
APAF1	A_23_P36611	0.15870322				2	0.018362	-0.032939
BAX	A_23_P346309	0.17721146				2	-0.138211	-0.079182
ID2	A_23_P143143	0.19473678				0	0.045564	0.157485
TNFSF10	A_23_P121253	0.19597040				3	-0.025312	-0.096166
HSPCB	A_23_P145089	0.19741270				2	-0.370348	-0.303308
KCNAB1	A_24_P182929	0.20501240				0	0.064551	-0.000467
BTN3A2	A_23_P391264	0.21650180				3	-0.159402	-0.284482
MCL1	A_24_P336754	0.22418626				7	0.137805	0.054452
CXCR4	A_23_P102000	0.23174620				2	-0.151060	0.001247
ITGB1	A_23_P104193	0.25273094				1	0.056375	-0.005675
SST	A_23_P252817	0.25283554				4	-0.768674	-0.532269
CDKN1A	A_24_P89457	0.25657990				0	0.029003	0.004713
CDH11	A_23_P152305	0.25669813				0	0.060556	-0.041006
SLC11A2	A_24_P381494	0.26854894				0	0.049371	0.027753
CALU	A_23_P122815	0.26898733				0	0.026723	0.053588
TP73	A_24_P413470	0.27632582				1	-0.044641	-0.015252
TIMP2	A_23_P107401	0.27736670				0	0.057315	-0.014594
LIF	A_24_P122137	0.27823460				3	0.049390	0.016582
GALGT2	A_23_P331211	0.28158087				0	0.053659	0.031613
ALX3	A_23_P85941	0.28816414				1	0.035202	0.008599
S100P	A_23_P58266	0.31295386				3	0.056570	0.014424
MAB21L2	A_24_P148907	0.32670766				1	-0.325287	-0.184591
TSC22D1	Hs.14360.1	0.33500904				0	0.110966	0.092173
SH2D1A	A_24_P203103	0.34030956				3	-0.082041	-0.140352
NELL1	A_23_P251151	0.34148955				2	-0.219575	-0.365392
CDH2	A_23_P38732	0.35079700				0	0.007304	-0.050984
CCL21	A_23_P112470	0.35792056				3	-0.075143	-0.118769
GALR1	A_23_P153155	0.36091530				0	-0.147743	-0.046320
NARS	A_23_P101185	0.36861408				2	0.040264	0.079810
QARS	A_32_P532216	0.36985430				2	-0.132781	-0.102413
TCEB3	A_23_P74097	0.37400780				0	0.007134	0.028205
PAX7	A_23_P126225	0.37762475				1	0.052547	0.023477
CHGA	A_32_P27046	0.38041880				2	-0.279497	-0.214021
MAEA	A_24_P334445	0.39207850				2	-0.018424	0.007397
DCX	A_23_P500328	0.39516196				0	-0.187299	-0.104671
UBE2L3	A_23_P166353	0.39876950				0	-0.023160	-0.000921
ISL1	A_23_P81529	0.42111886				1	-0.106372	-0.004056
MYST3	A_23_P407628	0.42155132				1	0.065673	0.033847
RARB	A_24_P3249	0.43688118				3	0.028238	0.075021
FLJ21195	A_24_P40626	0.44543573				3	-0.009162	-0.072003
CDC2L5	A_23_P215296	0.46086264				0	0.134269	0.117896
KLRC3	A_23_P128281	0.46533370				0	-0.172928	-0.249745
SSTR1	A_23_P48523	0.47096232				0	0.023315	0.015883
ST3GAL6	A_23_P250800	0.51375000				1	0.023285	0.072439
TGFA	A_23_P377291	0.52275735				0	0.041377	0.026830
PAX7	A_23_P500985	0.52776897				0	0.001718	-0.008618
CUTL1	A_23_P253375	0.52787465				1	-0.047047	-0.062839
CORTBP2	A_23_P215744	0.56303230				3	-0.207975	-0.275327
FGF2	A_24_P931472	0.56768110				0	0.052750	0.059937
NOL5A	A_23_P91328	0.58190584				0	-0.096471	-0.136769
MDM2	A_23_P502750	0.58488260				0	0.014533	0.027317
GPC3	A_24_P57631	0.61073670				0	-0.030206	-0.066520
CBFA2T2	A_24_P918157	0.61591770				0	0.007724	0.021963
NPY	A_23_P256470	0.62035440				1	-0.794267	-0.908733
CCR2	A_23_P212354	0.62293345				0	-0.096426	-0.128900
DDX42	A_24_P142531	0.63205075				0	-0.060213	-0.035089
MAOA	A_23_P83857	0.63310796				1	-0.238132	-0.193460
MMP2	A_23_P163787	0.64218950				0	-0.139761	-0.120548
NDRG2	A_24_P244800	0.64317954				0	-0.149040	-0.174253
BIG1	A_23_P82941	0.64960617				0	0.079602	0.065552
JPH1	A_23_P434253	0.65118130				0	0.041579	0.050450
TOP2B	A_23_P121095	0.66443680				0	0.033179	0.012970
VIP	A_23_P19650	0.66964954				0	-0.474015	-0.394627
NRAS	A_23_P63190	0.67627287				0	0.048739	0.024783
YAF2	A_23_P139825	0.68847600				0	0.058650	0.072643
YME1L1	A_24_P167052	0.72801524				0	-0.006074	-0.014857
MAPK1	A_24_P237265	0.74733340				3	-0.070746	-0.054055
CDKN2B	A_24_P360674	0.74887580				1	0.097737	0.079258
AKT1	A_23_P2960	0.76266450				0	-0.054244	-0.060822
CHD4	A_23_P53541	0.77113503				0	-0.239037	-0.229450
CTAG1	A_23_P148541	0.79609770				1	-1.151071	-1.202008
ITGB1	A_32_P95397	0.80280226				0	0.059015	0.044961
CHST10	A_23_P102351	0.80946480				0	-0.065135	-0.068864
CUTL1	A_24_P220454	0.81186414				0	0.106124	0.094493
LGALS1	A_23_P166459	0.81353550				1	0.185857	0.156454
MAGEA6	A_23_P136870	0.83385920				0	-0.330421	-0.310220
RAG1	A_23_P360744	0.87620324				0	-0.118047	-0.101861
IFNAR1	A_23_P17633	0.88009226				0	0.080642	0.073758
RB1	A_23_P204850	0.88452005				1	0.050470	0.042064
VEGF	A_23_P70398	0.89299583				0	0.008728	0.019869
IGF2	A_23_P421379	0.89770560				1	-0.031379	-0.026375
IL2RA	A_24_P230563	0.89952720				0	0.049221	0.053303
PCTK2	A_23_P33376	0.90083027				0	0.021812	0.026816
ST3GAL4	A_24_P181055	0.90324910				0	-0.060374	-0.056958
ZNF148	A_23_P139408	0.92711014				0	0.073925	0.070823
