NCBI.refseq	mouse.gene.symbol	chr	num.cellline.eligible	num.cellline.mono	num.cellline.mono.trend
NM_026503	1110058L19Rik	chr1	4	0	1
NM_025423	1110059E24Rik	chr19	4	0	0
NM_025419	1110059G10Rik	chr9	4	0	1
NM_001142727	1110065P20Rik	chr4	0	0	0
NM_173752	1110067D22Rik	chr11	4	0	2
NM_025427	1190002H23Rik	chr14	4	0	1
NM_001033145	1190002N15Rik	chr9	4	0	0
NM_026876	1190005F20Rik	chr1	4	0	0
NM_197988	1190005I06Rik	chr8	2	0	0
NM_001163721	1190007F08Rik	chr4	0	0	0
NM_001135567	1190007I07Rik	chr10	0	0	0
NM_028807	1200009I06Rik	chr12	0	0	0
NM_025817	1200009O22Rik	chr6	4	0	0
NM_026177	1200011I18Rik	chr14	4	0	0
NM_024262	1200011M11Rik	chr11	4	0	0
NM_025818	1200014J11Rik	chr11	4	0	0
NM_025819	1200016B10Rik	chr1	4	0	1
NM_001081158	1300001I01Rik	chr11	4	0	0
NM_198003	1300003B13Rik	chr17	2	0	1
NM_027906	1300010F03Rik	chr14	4	0	0
NM_025831	1300014I06Rik	chr13	4	0	2
NM_028200	1300018I17Rik	chr8	4	0	0
NM_027905	1300018J18Rik	chr15	4	0	1
NM_026894	1500001M20Rik	chr6	4	0	0
NM_028047	1500002O20Rik	chr7	4	0	1
NR_015498	1500004A13Rik	chr3	1	0	1
NM_001145198	1500009L16Rik	chr10	4	0	0
NR_027817	1500011B03Rik	chr5	4	0	0
NR_027818	1500011B03Rik	chr5	4	2	1
NM_026883	1500011H22Rik	chr5	4	0	0
NM_001081005	1500012F01Rik	chr2	4	0	0
NR_029432	1500015A07Rik	chr18	0	0	0
NM_025892	1500031L02Rik	chr16	4	0	0
NM_026914	1500032L24Rik	chr15	4	0	2
NM_023831	1500035H01Rik	chr9	4	0	0
NM_026547	1520402A15Rik	chr4	4	0	0
NM_027207	1600002K03Rik	chr10	2	0	0
NM_025904	1600012F09Rik	chr13	4	0	0
NM_001083882	1600012H06Rik	chr17	0	0	0
NM_177718	1600021P15Rik	chr16	4	0	0
NR_029433	1700003G18Rik	chr7	0	0	0
NM_027040	1700007K13Rik	chr2	2	1	0
NM_027050	1700008A04Rik	chr11	4	4	0
NR_024331	1700008J07Rik	chr7	0	0	0
NR_015551	1700012B15Rik	chr12	3	0	2
NR_015573	1700012D14Rik	chr7	0	0	0
NR_003639	1700013N18Rik	chr5	2	2	0
NM_028820	1700017B05Rik	chr9	1	0	0
NM_029601	1700019E19Rik	chr12	4	0	0
NM_029331	1700019G17Rik	chr6	0	0	0
NM_027966	1700019O17Rik	chr1	1	1	0
NM_026443	1700020C11Rik	chr11	2	1	0
NM_025492	1700020L24Rik	chr11	0	0	0
NM_027405	1700020O03Rik	chr12	4	0	0
NM_029801	1700021C14Rik	chr3	3	1	0
NM_026411	1700021F05Rik	chr10	4	0	0
NM_172615	1700021K19Rik	chr16	4	0	0
NM_029602	1700022C21Rik	chr17	4	0	1
NM_197990	1700025G04Rik	chr1	4	0	1
NM_183254	1700025K23Rik	chr10	4	0	0
NM_029368	1700029F09Rik	chr1	0	0	0
NM_027285	1700029I01Rik	chr4	0	0	0
NM_001033148	1700029J07Rik	chr8	0	0	0
NM_027103	1700030J22Rik	chr8	0	0	0
NM_025969	1700034H14Rik	chr18	4	0	0
NM_028484	1700037C18Rik	chr16	0	0	0
NM_026091	1700037H04Rik	chr2	4	0	0
NR_015458	1700047M11Rik	chr1	0	0	0
NR_033553	1700048O20Rik	chr9	0	0	0
NM_028538	1700049G17Rik	chr7	0	0	0
NR_027956	1700052K11Rik	chr11	1	0	1
NM_024261	1700052N19Rik	chr10	4	0	0
NM_028536	1700054N08Rik	chr8	1	0	0
NM_028546	1700066M21Rik	chr1	4	0	1
NM_001081045	1700081L11Rik	chr11	4	0	0
NR_030735	1700086L19Rik	chr12	0	0	0
NM_138581	1700088E04Rik	chr15	1	1	0
NM_028567	1700094D03Rik	chr3	0	0	0
NM_028576	1700106N22Rik	chr17	4	0	0
NM_021437	1700123O20Rik	chr14	4	0	0
NM_026919	1810006K21Rik	chr19	3	0	0
NM_133998	1810008A18Rik	chr10	4	0	0
NM_025463	1810009A15Rik	chr19	4	0	0
NM_001163473	1810010H24Rik	chr11	0	0	0
NM_001076681	1810012P15Rik	chr11	2	0	1
NM_001145433	1810013D10Rik	chr5	2	1	0
NM_001081400	1810013L24Rik	chr16	4	0	0
NR_015572	1810014B01Rik	chr10	1	0	0
NM_026928	1810014F10Rik	chr7	4	1	0
NM_001099674	1810022K09Rik	chr3	4	0	1
NM_178619	1810026J23Rik	chr9	4	0	0
NM_025465	1810029B16Rik	chr8	4	0	0
NM_025471	1810030N24Rik	chr4	4	0	0
NM_175141	1810030O07Rik	chrX	4	3	1
NM_026977	1810031K17Rik	chr1	4	0	0
NM_024461	1810037I17Rik	chr3	4	0	0
NM_001163145	1810041L15Rik	chr15	1	0	1
NM_026431	1810043G02Rik	chr10	4	0	0
NM_001110242	1810043H04Rik	chr11	4	0	1
NM_026327	1810048J11Rik	chr12	4	0	0
NM_025560	1810049H13Rik	chr11	4	0	0
NM_028077	1810055G02Rik	chr19	4	0	0
NR_033571	1810062O18Rik	chr14	0	0	0
NM_174987	1810063B05Rik	chr8	4	0	0
NM_026209	1810063B07Rik	chr14	2	1	0
NM_026194	1810074P20Rik	chr4	4	0	0
NR_015508	2010000I03Rik	chrX	0	0	0
NM_001163503	2010001E11Rik	chr10	0	0	0
NR_026688	2010001M06Rik	chr5	0	0	0
NM_134133	2010002N04Rik	chr18	3	0	1
NM_027242	2010007H12Rik	chr5	2	0	0
NM_025912	2010011I20Rik	chr2	2	0	2
NM_025563	2010012O05Rik	chr19	4	0	0
NM_001166029	2010015L04Rik	chr4	4	4	0
NM_023220	2010106G01Rik	chr2	4	0	0
NM_027251	2010107G23Rik	chr10	2	0	1
NR_024069	2010107H07Rik	chr14	4	0	1
NM_001162903	2010109K11Rik	chr12	3	0	0
NM_028079	2010111I01Rik	chr13	1	0	0
NM_028096	2010300C02Rik	chr1	0	0	0
NM_027250	2010305A19Rik	chr4	4	0	0
NR_029440	2010320M18Rik	chr8	4	1	1
NM_025617	2210012G02Rik	chr4	4	0	0
NR_028432	2210013O21Rik	chrX	4	4	0
NR_015577	2210015D19Rik	chr11	4	0	0
NM_027335	2210016F16Rik	chr13	0	0	0
NM_028211	2210016L21Rik	chr5	4	0	0
NM_172280	2210018M11Rik	chr7	4	0	2
NR_030711	2210403K04Rik	chr11	2	0	0
NM_001034891	2210404J11Rik	chr17	2	1	1
NM_001099917	2210404O07Rik	chr10	0	0	0
NM_001145676	2210408I21Rik	chr13	0	0	0
NM_027090	2300009A05Rik	chr9	0	0	0
NM_027977	2310001A20Rik	chr2	4	0	0
NM_145563	2310001H12Rik	chr5	3	0	0
NM_027981	2310002L09Rik	chr4	0	0	0
NM_029607	2310003C23Rik	chr2	4	0	0
NM_027980	2310003H01Rik	chr11	4	0	0
NM_027093	2310003L22Rik	chr2	4	0	0
NM_025510	2310004I24Rik	chr11	4	0	0
NM_027107	2310004N24Rik	chr11	4	0	3
NM_146068	2310008H04Rik	chr16	4	0	0
NM_023197	2310008H09Rik	chr7	3	0	0
NM_001081226	2310009B15Rik	chr1	2	0	0
NM_025521	2310011J03Rik	chr10	4	0	0
NM_029809	2310014L17Rik	chr7	0	0	0
NR_033514	2310015A10Rik	chr12	1	0	0
NM_023516	2310016C08Rik	chr6	4	0	1
NM_183256	2310016M24Rik	chr15	4	0	0
NM_027996	2310021P13Rik	chr14	4	0	0
NM_001122767	2310022A10Rik	chr7	0	0	0
NM_175107	2310022A10Rik	chr7	4	0	0
NM_175149	2310022B05Rik	chr8	4	0	0
NM_001085493	2310030N02Rik	chr4	4	0	0
NM_027129	2310035K24Rik	chr2	4	0	0
NM_133714	2310037I24Rik	chr15	4	0	0
NM_025966	2310039H08Rik	chr17	4	0	0
NM_172417	2310042D19Rik	chr4	0	0	0
NM_173735	2310044G17Rik	chr12	0	0	0
NR_033623	2310044G17Rik	chr12	0	0	0
NM_197991	2310044H10Rik	chr7	4	0	0
NM_027150	2310046A06Rik	chr9	0	0	0
NM_025870	2310047B19Rik	chr9	3	0	2
NM_028005	2310047M10Rik	chr11	4	1	0
NM_026655	2310057M21Rik	chr7	4	1	0
NM_001033630	2310061I04Rik	chr17	4	0	0
NR_027965	2310061J03Rik	chr16	0	0	0
NM_028014	2310067B10Rik	chr11	4	0	1
NM_030208	2310079F23Rik	chr5	1	0	0
NM_025636	2310079N02Rik	chr8	4	0	0
NM_025605	2400001E08Rik	chr7	4	0	0
NM_025542	2410001C21Rik	chr2	4	0	0
NM_025880	2410002F23Rik	chr7	4	0	0
NM_183137	2410002I01Rik	chr11	1	0	1
NM_001093759	2410002O22Rik	chr13	0	0	0
NM_001093760	2410002O22Rik	chr13	0	0	0
NR_003546	2410002O22Rik	chr13	0	0	0
NM_025555	2410004B18Rik	chr3	3	0	1
NR_030738	2410006H16Rik	chr11	4	0	0
NM_023633	2410016O06Rik	chr12	4	0	1
NM_026643	2410017P07Rik	chr10	0	0	0
NR_015504	2410018L13Rik	chr12	0	0	0
NM_025556	2410022L05Rik	chr8	4	0	0
NM_024254	2410042D21Rik	chr2	4	0	0
NM_026629	2410066E13Rik	chr6	2	0	0
NM_001162906	2410089E03Rik	chr15	4	0	0
NM_026120	2410127L17Rik	chr19	4	0	1
NM_001081236	2410131K14Rik	chr5	4	0	0
NM_023215	2500003M10Rik	chr3	4	0	0
NM_001033164	2510002D24Rik	chr16	2	1	0
NM_028197	2510003E04Rik	chr10	4	0	0
NM_001001881	2510009E07Rik	chr16	4	0	0
NM_027381	2510012J08Rik	chr10	3	0	0
NR_024619	2610001J05Rik	chr6	4	0	1
NM_001081381	2610002I17Rik	chr9	4	0	0
NM_001033134	2610002J02Rik	chr4	4	0	3
NM_025921	2610002M06Rik	chrX	4	4	0
NR_028428	2610005L07Rik	chr8	4	2	1
NM_001004362	2610008E11Rik	chr10	4	0	1
NR_027826	2610017I09Rik	chr1	4	0	0
NM_019836	2610024G14Rik	chr5	4	0	0
NM_026403	2610027L16Rik	chr14	4	0	0
NM_028228	2610028A01Rik	chr14	4	0	0
NM_026312	2610029G23Rik	chrX	2	0	1
NM_029840	2610029I01Rik	chr4	4	0	0
NM_001081356	2610030H06Rik	chrX	4	4	0
NM_027420	2610034B18Rik	chr7	4	0	0
NR_015556	2610035D17Rik	chr11	3	0	0
NM_029282	2610036D13Rik	chr2	4	0	0
NM_025642	2610039C10Rik	chr16	4	0	0
NM_153780	2610044O15Rik	chr17	2	0	0
NM_027426	2610109H07Rik	chr4	1	0	1
NR_015483	2610203C20Rik	chr9	0	0	0
NR_027972	2610204G22Rik	chr4	0	0	0
NM_026005	2610301B20Rik	chr4	4	0	0
NM_146055	2610301G19Rik	chr14	4	0	0
NR_028298	2610306M01Rik	chr6	4	0	0
NM_001002004	2610507B11Rik	chr11	4	0	0
NM_181075	2610524H06Rik	chr5	3	2	1
NM_025599	2610528E23Rik	chr16	4	0	0
NM_028299	2700029M09Rik	chr8	4	0	0
NR_033198	2700046G09Rik	chr19	1	0	0
NM_001163378	2700049A03Rik	chr12	0	0	0
NM_178115	2700050L05Rik	chr7	4	0	0
NM_026528	2700060E02Rik	chr14	4	0	0
NM_026529	2700062C07Rik	chr18	4	3	0
NM_028308	2700078K21Rik	chr7	4	0	0
NM_175381	2700081O15Rik	chr19	4	0	0
NM_001163445	2700089E24Rik	chr6	4	0	0
NR_027831	2810002D19Rik	chr2	3	3	0
NM_025615	2810004N23Rik	chr8	4	0	1
NM_001134717	2810006K23Rik	chr5	4	0	0
NR_027059	2810008D09Rik	chr11	4	0	1
NM_001048250	2810008M24Rik	chr13	4	0	0
NM_025479	2810021B07Rik	chr13	4	0	0
NM_001162922	2810021G02Rik	chr2	0	0	0
NR_027984	2810025M15Rik	chr1	4	0	1
NM_028317	2810030E01Rik	chr2	0	0	0
NM_173382	2810046L04Rik	chr3	2	0	0
NR_015598	2810047C21Rik1	chr7	3	1	2
NM_026038	2810055F11Rik	chr12	4	0	2
NM_028814	2810403A07Rik	chr3	4	0	0
NR_015493	2810403D21Rik	chrX	0	0	0
NM_001040396	2810407C02Rik	chr3	4	0	0
NM_001007581	2810408M09Rik	chr2	4	0	0
NM_198619	2810408P10Rik	chr4	4	0	2
NR_030682	2810410L24Rik	chr11	3	0	0
NM_026515	2810417H13Rik	chr9	4	0	1
NM_027279	2810422O20Rik	chr1	3	0	1
NM_027278	2810432D09Rik	chr4	4	0	0
NM_025944	2810432L12Rik	chr4	4	0	0
NM_133703	2810453I06Rik	chr5	0	0	0
NM_026054	2810474O19Rik	chr6	3	0	0
NM_028377	2900006K08Rik	chr12	0	0	0
NM_175190	2900010J23Rik	chr2	4	0	0
NM_144518	2900011O08Rik	chr16	3	1	1
NM_172884	2900026A02Rik	chr5	0	0	0
NM_029823	2900062L11Rik	chrX	4	4	0
NM_133749	2900064A13Rik	chr2	4	0	1
NM_026064	2900073G15Rik	chr17	4	0	0
NR_027891	2900092D14Rik	chr1	3	0	0
NM_030240	2900092E17Rik	chr7	4	0	0
NM_026543	3010026O09Rik	chr11	4	0	1
NM_025849	3110001D03Rik	chr4	4	0	0
NM_029623	3110002H16Rik	chr18	4	0	0
NM_028440	3110003A17Rik	chr10	3	1	2
NM_178399	3110035E14Rik	chr1	4	0	2
NM_026077	3110040N11Rik	chr7	4	0	1
NM_001081343	3110043O21Rik	chr4	4	0	0
NR_003549	3110048L19Rik	chr17	0	0	0
NM_026085	3110049J23Rik	chr10	0	0	0
NM_001166497	3110052M02Rik	chr17	1	0	0
NM_175195	3110056O03Rik	chr10	4	0	0
NM_026622	3110057O12Rik	chr3	4	0	2
NM_199145	3110062M04Rik	chr6	0	0	0
NM_028474	3110082D06Rik	chr17	1	0	1
NM_028469	3110082I17Rik	chr5	4	0	0
NM_025699	3230401D17Rik	chr2	4	0	0
NM_027017	3300002I08Rik	chr2	1	0	0
NM_178141	3830406C13Rik	chr14	0	0	0
NR_030715	3930402G23Rik	chr8	0	0	0
NM_198651	4430402I18Rik	chr19	1	0	1
NM_001081295	4631416L12Rik	chr3	4	0	0
NM_172652	4632411B12Rik	chr1	4	0	1
NR_027985	4632415L05Rik	chr3	4	0	4
NR_015510	4632427E13Rik	chr7	4	0	2
NM_001080995	4632434I11Rik	chr7	2	0	2
NM_172698	4732418C07Rik	chr4	4	0	0
NM_176987	4732471D19Rik	chr13	4	0	1
NR_030700	4831440E17Rik	chr5	0	0	0
NM_001113550	4833420G17Rik	chr13	0	0	0
NM_029425	4833424O15Rik	chr3	0	0	0
NM_133797	4833439L19Rik	chr13	4	0	0
NM_001033474	4921506J03Rik	chr10	4	0	0
NM_001081154	4921513D23Rik	chr16	4	0	0
NM_025722	4921524J17Rik	chr8	2	0	1
NM_199316	4922501C03Rik	chr9	4	0	0
NM_175176	4922501L14Rik	chr3	3	2	1
NM_029432	4930402H24Rik	chr2	4	0	0
NM_001014836	4930404N11Rik	chr10	1	0	1
NM_001081029	4930420K17Rik	chr5	4	4	0
NM_197997	4930422G04Rik	chr3	4	0	1
NM_001142943	4930422I07Rik	chr9	0	0	0
NM_134041	4930427A07Rik	chr12	1	0	0
NR_027966	4930429B21Rik	chr3	0	0	0
NM_001025373	4930432O21Rik	chr17	3	0	0
NM_029037	4930444A02Rik	chr8	4	0	0
NM_053264	4930444G20Rik	chr10	0	0	0
NM_028934	4930452B06Rik	chr14	3	1	2
NM_026273	4930453N24Rik	chr16	4	0	0
NM_024273	4930455C21Rik	chr16	4	0	3
NM_029115	4930455F23Rik	chr1	4	0	1
NM_175675	4930471M23Rik	chr5	4	0	0
NM_001081012	4930473A06Rik	chr4	0	0	0
NM_172967	4930503L19Rik	chr18	4	0	0
NM_001162896	4930523C07Rik	chr1	1	1	0
NR_033593	4930529C04Rik	chr3	0	0	0
NM_181815	4930534B04Rik	chr12	4	0	0
NM_029198	4930538K18Rik	chr4	0	0	0
NR_030689	4930539J05Rik	chr3	2	1	0
NM_029249	4930547N16Rik	chr10	0	0	0
NM_001163728	4930563E22Rik	chr11	0	0	0
NM_198607	4930572J05Rik	chr15	3	0	0
NM_001077684	4930578N16Rik	chr2	0	0	0
NM_029482	4930579G24Rik	chr3	4	0	0
NM_133732	4931406C07Rik	chr9	4	0	0
NM_172741	4931406P16Rik	chr7	4	0	0
NM_027627	4931408A02Rik	chr16	2	0	2
NM_028890	4931414P19Rik	chr14	4	0	2
NR_015524	4932415G12Rik	chr10	3	0	0
NM_172679	4932438A13Rik	chr3	4	0	0
NM_178935	4932441K18Rik	chrX	2	2	0
NM_001101519	4932443I19Rik	chr8	0	0	0
NM_153794	4933403F05Rik	chr18	4	0	0
NR_015555	4933404O12Rik	chr5	4	0	0
NM_001081101	4933407H18Rik	chr5	3	0	0
NR_029443	4933407K13Rik	chrX	0	0	0
NR_033123	4933409K07Rik	chr4	4	4	0
NM_025747	4933411K20Rik	chr8	4	0	0
NM_001039478	4933421E11Rik	chr3	0	0	0
NM_178682	4933426M11Rik	chr12	4	0	0
NM_028963	4933427D14Rik	chr11	4	0	0
NR_015459	4933431E20Rik	chr3	4	3	1
NM_029407	4933432B09Rik	chr15	0	0	0
NM_178613	4933433P14Rik	chr12	4	0	0
NM_025762	4933434E20Rik	chr3	4	0	0
NR_015585	4933439C10Rik	chr11	4	1	2
NM_025757	4933439F18Rik	chr11	4	0	0
NM_198642	5031414D18Rik	chr14	0	0	0
NR_027890	5031426D15Rik	chr2	0	0	0
NR_033624	5031434O11Rik	chr3	0	0	0
NM_001033273	5031439G07Rik	chr15	4	0	0
NM_026362	5033414D02Rik	chr19	4	0	0
NM_001048060	5133401N09Rik	chr13	0	0	0
NR_028300	5330426P16Rik	chr16	3	1	2
NR_015552	5330434G04Rik	chrX	0	0	0
NM_001160363	5430405G05Rik	chr2	0	0	0
NM_145509	5430435G22Rik	chr1	1	0	0
NM_026636	5430437P03Rik	chr8	4	0	0
NR_015467	5530601H04Rik	chrX	1	0	0
NM_025670	5730403B10Rik	chr16	4	0	0
NM_172738	5730403M16Rik	chr7	4	0	2
NR_027866	5730408K05Rik	chr19	3	0	1
NM_027457	5730437N04Rik	chr17	4	0	0
NM_001081075	5730455O13Rik	chr19	4	0	0
NM_027472	5730455P16Rik	chr11	4	0	0
NM_027464	5730469M10Rik	chr14	4	0	1
NM_001033157	5730507C01Rik	chr12	0	0	0
NM_027482	5730508B09Rik	chr3	1	0	0
NM_029086	5830415F09Rik	chr4	4	0	1
NR_028359	5830417I10Rik	chr3	4	0	0
NM_176976	5830418K08Rik	chr9	4	0	0
NM_026368	5830433M19Rik	chr4	4	0	2
NR_015517	5930412G12Rik	chr5	1	0	1
NM_029862	5930434B04Rik	chr2	4	0	0
NM_177854	6030405A18Rik	chr3	2	1	0
NM_176921	6030419C18Rik	chr9	4	0	1
NM_178801	6030446N20Rik	chr18	4	0	2
NM_029998	6030458C11Rik	chr15	4	0	0
NM_175234	6230409E13Rik	chr4	4	0	0
NM_001081227	6330403A02Rik	chr1	0	0	0
NM_134022	6330403K07Rik	chr11	1	0	1
NM_026138	6330407J23Rik	chr10	1	0	0
NM_177312	6330408A02Rik	chr7	0	0	0
NM_025697	6330409N04Rik	chr14	4	0	0
NM_144905	6330416G13Rik	chr4	1	0	0
NM_176962	6330416L07Rik	chr17	3	0	2
NM_172859	6330439K17Rik	chr2	0	0	0
NM_182995	6330503K22Rik	chr7	4	0	0
NM_001081174	6330545A04Rik	chr4	0	0	0
NR_003619	6330549D23Rik	chr3	0	0	0
NM_026377	6330577E15Rik	chr19	4	0	4
NM_198006	6330578E17Rik	chr1	4	0	0
NM_001033383	6430526N21Rik	chr7	3	0	1
NM_145836	6430527G18Rik	chr12	4	0	0
NM_001145351	6430550D23Rik	chr2	0	0	0
NM_175521	6430598A04Rik	chr5	0	0	0
NM_001142965	6430704M03Rik	chr4	0	0	0
NM_029541	6530401D17Rik	chrX	1	1	0
NM_029545	6530401N04Rik	chr12	4	0	3
NR_029460	6530402F18Rik	chr2	0	0	0
NM_001163356	6530418L21Rik	chr3	0	0	0
NM_175398	6530418L21Rik	chr3	3	0	0
NR_015505	6720401G13Rik	chrX	1	1	0
NM_133937	6720456B07Rik	chr6	4	2	2
NR_030708	6820431F20Rik	chr8	4	4	0
NM_178670	8030462N17Rik	chr18	4	0	0
NM_028984	8430406I07Rik	chr2	4	0	2
NM_173737	8430410A17Rik	chr6	4	0	0
NM_145609	8430410K20Rik	chr9	4	0	0
NM_001123370	9030025P20Rik	chr17	4	0	0
NM_144531	9030409G11Rik	chr4	1	0	0
NM_001081289	9030418K01Rik	chr2	2	0	0
NM_027823	9030420J04Rik	chr9	4	0	0
NM_027829	9030607L17Rik	chr10	1	0	0
NM_145448	9030617O03Rik	chr12	4	0	3
NM_027815	9030624J02Rik	chr7	4	0	0
NM_172488	9030625A04Rik	chr14	4	3	1
NM_198296	9130011E15Rik	chr19	4	0	0
NM_030226	9130019O22Rik	chr7	1	0	1
NM_177001	9130023H24Rik	chr7	4	1	0
NR_024325	9130024F11Rik	chr1	0	0	0
NM_029418	9130401M01Rik	chr15	4	3	1
NM_029960	9230104L09Rik	chr2	1	1	0
NM_199017	9230110C19Rik	chr9	4	0	0
NR_015537	9230114K14Rik	chr5	3	0	1
NR_028442	9330020H09Rik	chr15	0	0	0
NM_178799	9330129D05Rik	chr5	2	0	0
NR_015497	9330133O14Rik	chr8	0	0	0
NR_033222	9330151L19Rik	chr12	0	0	0
NM_001162537	9330159F19Rik	chr10	0	0	0
NM_172706	9330182L06Rik	chr5	4	2	1
NM_177205	9430015G10Rik	chr4	0	0	0
NM_001081181	9430016H08Rik	chr1	4	0	1
NM_001081963	9430020K01Rik	chr18	4	0	0
NM_026566	9430023L20Rik	chr15	4	0	0
NM_029886	9430038I01Rik	chr7	1	0	0
NR_033568	9430041J12Rik	chr7	0	0	0
NR_015606	9530009M10Rik	chr1	0	0	0
NM_001164655	9530053A07Rik	chr7	1	0	0
NR_015610	9530059O14Rik	chr9	0	0	0
NM_153117	9530068E07Rik	chr11	4	0	0
NM_026739	9530077C05Rik	chr9	2	0	0
NR_033299	9530091C08Rik	chr9	0	0	0
NR_015539	9630013A20Rik	chr14	1	0	0
NM_177003	9630033F20Rik	chr6	4	0	0
NM_001164663	9830001H06Rik	chr2	4	0	0
NM_030728	9930013L23Rik	chr7	0	0	0
NR_030696	9930014A18Rik	chr15	1	0	1
NM_172836	9930021J03Rik	chr19	4	0	0
NM_177573	9930104L06Rik	chr4	0	0	0
NR_027827	A030009H04Rik	chr11	3	0	0
NM_181048	A130010J15Rik	chr1	0	0	0
NM_175313	A130022J15Rik	chr6	2	1	0
NR_002860	A130040M12Rik	chr13	4	0	4
NM_172550	A130042E20Rik	chr10	0	0	0
NR_030676	A130049A11Rik	chr3	0	0	0
NM_001033375	A230046K03Rik	chr10	4	0	0
NM_175687	A230050P20Rik	chr9	0	0	0
NR_015495	A230056P14Rik	chr7	0	0	0
NR_015533	A230057D06Rik	chr7	0	0	0
NR_015600	A230072E10Rik	chrX	0	0	0
NM_145466	A2ld1	chr14	2	0	0
NM_175628	A2m	chr6	2	0	0
NM_172447	A330021E22Rik	chr5	0	0	0
NR_015566	A330023F24Rik	chr1	0	0	0
NR_015586	A330035P11Rik	chr14	0	0	0
NR_029456	A330050B17Rik	chr3	0	0	0
NR_015599	A330076H08Rik	chr7	3	0	1
NM_175287	A430005L14Rik	chr4	4	0	0
NM_183025	A430033K04Rik	chr5	4	0	1
NM_001081351	A430107O13Rik	chr6	1	0	1
NM_170757	A630007B06Rik	chr19	4	0	0
NM_001110254	A630033E08Rik	chr17	0	0	0
NM_001162932	A630055G03Rik	chr16	2	2	0
NR_030699	A630072M18Rik	chr5	0	0	0
NR_015491	A630089N07Rik	chr16	4	0	1
NM_172505	A730008H23Rik	chr1	0	0	0
NM_177394	A730011L01Rik	chr11	0	0	0
NR_015523	A730017L22Rik	chr2	2	1	1
NM_001007574	A830010M20Rik	chr5	0	0	0
NM_001033472	A830080D01Rik	chrX	2	2	0
NM_029870	A930001N09Rik	chr17	3	0	0
NR_028376	A930004D18Rik	chr2	0	0	0
NM_207277	A930005I04Rik	chr5	0	0	0
NR_026853	A930012L18Rik	chr18	0	0	0
NR_027886	A930013F10Rik	chr8	0	0	0
NR_015618	A930015D03Rik	chr17	2	0	2
NR_033609	A930017M01Rik	chr15	0	0	0
NR_033305	AA388235	chr17	0	0	0
NM_145415	AA408296	chr1	3	0	1
NM_001004178	AA415398	chr4	0	0	0
NR_028363	AA465934	chr11	0	0	0
NM_181066	AA881470	chr5	0	0	0
NM_133954	AA960436	chr8	4	0	0
NM_177604	AA986860	chr1	0	0	0
NM_153416	Aaas	chr15	4	0	0
NM_030210	Aacs	chr5	4	0	0
NM_025857	Aagab	chr9	4	0	0
NM_001040106	Aak1	chr6	0	0	0
NM_146110	Aamp	chr1	4	0	1
NM_175503	Aard	chr15	4	1	2
NM_198608	Aars2	chr17	4	0	0
