Gene Symbol	Probe ID	Gene BanK	FC	p-value
SR140	212058_at	AI184562	2.07	0.040738
SNN	218032_at	AF070673	-1.84	0.040979
DDX3Y	205001_s_at	AF000985	8.43	0.041104
TYRO3	211431_s_at	D50479	-1.58	0.042083
GFPT1	202722_s_at	NM_002056	1.51	0.04335
LIN7C	221568_s_at	AF090900	1.38	0.043555
MED14	202610_s_at	AF135802	1.48	0.043721
clone CS0DB003YD12	217721_at	BE551361	-2.97	0.043727
DHFR	202533_s_at	BC003584	2.44	0.04377
ARL6IP4	218216_x_at	NM_016638	-1.75	0.043802
DHX16	203694_s_at	NM_003587	1.49	0.044262
cDNA clone YR67C11	216101_at	AL049242	1.75	0.045547
SLC39A8	209267_s_at	AB040120	-1.81	0.046411
CNBP	206158_s_at	NM_003418	1.23	0.046828
SLC4A4	203908_at	NM_003759	1.77	0.047376
C5orf4	220751_s_at	NM_016348	-9.63	0.048167
KIAA0406	212898_at	AB007866	-1.24	0.048189
