symbol	operon_ID	unigene  ID	C.I. Low	Fold Change	C.I. Up	signal-Control group	signal T2DM group	backgr. Signal Control group	backgr. Signal T2DM group
LMO4	HSAC000848	Hs.436792	0.41	0.51	0.62	5874	4658	314	324
NET1	HSAC003484	Hs.25155	0.41	0.51	0.63	1078	724	320	304
SFRP1	HSAC001408	Hs.213424	0.37	0.51	0.69	837	690	275	266
RGS3	HSAC006922	Hs.494875	0.35	0.51	0.74	2250	1951	322	306
NA	HSAC017332	NA	0.37	0.51	0.71	1390	1124	253	258
PITX2	HSAC010533	Hs.92282	0.37	0.52	0.72	3585	2775	273	271
NA	HSAC007009	NA	0.34	0.52	0.78	15947	10954	448	385
COL8A1	HSAC004515	Hs.134830	0.4	0.52	0.68	9178	5681	269	267
HOXC10	HSAC004688	Hs.44276	0.36	0.52	0.74	2535	1809	277	275
GOLGA8A	HSAC008631	Hs.182982	0.36	0.52	0.76	2320	1802	285	298
PTGS2	HSAC014731	Hs.196384	0.28	0.52	0.96	1334	1087	281	279
ITGA4	HSAC004467	Hs.440955	0.39	0.52	0.71	1856	1415	265	259
ANTXR1	HSAC001714	Hs.165859	0.42	0.53	0.66	5974	5678	294	300
FBXO32	HSAC005449	Hs.403933	0.39	0.53	0.72	869	856	255	261
HTRA4	HSAC002740	Hs.322452	0.41	0.53	0.69	1113	832	316	289
EPOR	HSAC010343	Hs.127826	0.38	0.53	0.75	2944	2327	305	283
FBLIM1	HSAC001675	Hs.530101	0.41	0.53	0.69	1714	1425	273	265
SPHK1	HSAC005642	Hs.68061	0.43	0.54	0.68	1509	1270	354	335
SLC16A3	HSAC007165	Hs.500761	0.42	0.54	0.71	1722	1441	255	266
Q548C3	HSAC006150	NA	0.41	0.55	0.74	2039	1422	298	290
TRPS1	HSAC017228	Hs.253594	0.39	0.55	0.78	884	739	248	258
GALNT10	HSAC011501	Hs.558800	0.47	0.56	0.67	4241	2775	258	256
ANKRD44	HSAC002013	Hs.432706	0.46	0.56	0.69	623	513	240	250
PRICKLE1	HSAC001303	Hs.524348	0.43	0.56	0.74	902	812	306	306
TFF2	HSAC000716	Hs.2979	0.44	0.56	0.72	1013	817	254	245
ENC1	HSAC011338	Hs.104925	0.42	0.57	0.77	618	487	263	256
MYLK	HSAC009422	Hs.477375	-	0.57	-	11820	9528	288	305
MYH9	HSAC013567	Hs.474751	0.42	0.57	0.77	1301	1049	243	252
HS2ST1	HSAC018318	Hs.48823	0.46	0.57	0.72	726	605	256	258
ACTN1	HSAC012171	Hs.509765	0.45	0.57	0.73	18680	14887	432	419
SP4	HSAC010260	Hs.88013	0.45	0.57	0.73	1987	1565	242	241
GNB4	HSAC008062	Hs.270543	0.47	0.58	0.71	1407	1134	309	299
COL5A1	HSAC019498	Hs.210283	0.44	0.58	0.75	1043	780	260	260
ITGA11	HSAC016398	Hs.436416	0.48	0.58	0.7	10361	7730	278	275
ESM1	HSAC004539	Hs.129944	0.38	0.58	0.87	687	524	261	266
DUSP10	HSAC008265	Hs.497822	0.43	0.58	0.78	649	539	251	255
HOMER1	HSAC019838	Hs.129051	0.42	0.58	0.79	2762	2185	311	310
AFF3	HSAC012525	Hs.444414	0.36	0.58	0.94	1360	1032	309	281
NA	HSAC002805	NA	0.48	0.58	0.69	2196	1824	275	263
NA	HSAC013657	NA	0.42	0.58	0.79	1083	630	239	245
IL32	HSAC000253	Hs.943	0.46	0.58	0.74	640	605	263	278
LOXL3	HSAC019649	Hs.469045	0.46	0.58	0.74	1711	1197	250	260
IL1B	HSAC012600	Hs.126256	0.36	0.58	0.94	1251	1011	304	302
SFRS6	HSAC001325	Hs.6891	0.43	0.58	0.8	1436	942	312	293
COL8A1	HSAC011921	Hs.134830	0.46	0.59	0.75	843	509	250	247
PFTK1	HSAC005280	Hs.430742	0.48	0.59	0.72	1412	1246	255	259
CCL20	HSAC006117	Hs.75498	0.44	0.59	0.79	519	400	251	260
DSCR1	HSAC014257	Hs.282326	0.42	0.59	0.83	1975	1431	292	273
CLEC14A	HSAC009585	Hs.525307	0.45	0.59	0.78	1202	944	267	267
GPAM	HSAC004582	Hs.42586	0.46	0.59	0.77	1121	788	236	269
TSPAN13	HSAC008765	Hs.364544	0.48	0.6	0.75	586	402	249	237
UNC5B	HSAC002259	Hs.522997	0.5	0.6	0.72	1188	973	248	249
SRPX2	HSAC012627	Hs.306339	0.43	0.6	0.84	2317	1600	276	262
STK38L	HSAC014287	Hs.184523	0.48	0.6	0.76	770	586	288	258
NFATC1	HSAC010727	Hs.534074	0.52	0.6	0.7	944	789	262	264
PLXDC2	HSAC004215	Hs.549220	0.38	0.6	0.96	4454	4129	287	268
NTRI	HSAC009249	NA	0.47	0.6	0.77	968	685	280	278
TNS1	HSAC001864	Hs.471381	0.43	0.61	0.84	3949	2689	306	297
NP	HSAC006121	Hs.75514	0.46	0.61	0.81	1683	1232	277	259
39331	HSAC010462	NA	0.52	0.61	0.72	930	649	252	256
RAB3B	HSAC012427	Hs.123072	0.44	0.61	0.85	820	543	251	244
SHCBP1	HSAC012447	Hs.123253	0.46	0.61	0.81	808	505	277	262
KCNE4	HSAC020278	Hs.348522	0.53	0.61	0.7	716	673	246	245
ELTD1	HSAC005289	Hs.132314	0.47	0.61	0.81	3616	2674	297	301
TSC22D3	HSAC006106	Hs.534408	0.5	0.61	0.75	2686	2259	310	305
PSMD2	HSAC005975	Hs.518464	0.51	0.62	0.74	12887	10238	301	313
LTBP2	HSAC011386	Hs.512776	0.48	0.62	0.79	1017	828	263	252
UACA	HSAC004948	Hs.108049	0.47	0.62	0.81	8443	5870	412	384
SLC20A1	HSAC006512	Hs.187946	0.48	0.62	0.8	833	717	300	294
ZNF537	HSAC017275	Hs.278436	0.49	0.62	0.78	2956	1932	254	253
LIMS1	HSAC014579	Hs.469593	0.48	0.62	0.8	2965	2161	263	251
SULF1	HSAC005721	Hs.409602	0.49	0.62	0.79	3346	2658	296	292
ADCY7	HSAC008032	Hs.513578	0.48	0.62	0.8	2367	2020	282	281
NA	HSAC019080	NA	0.5	0.62	0.77	968	819	255	273
EPHA2	HSAC007978	Hs.171596	0.55	0.63	0.71	907	739	296	284
CCND1	HSAC006988	Hs.523852	0.42	0.63	0.93	32769	23277	528	378
NP_001006948.1	HSAC013861	NA	0.45	0.63	0.88	893	667	259	253
FGF2	HSAC008766	Hs.284244	0.41	0.63	0.96	15159	11815	287	295
C1QTNF3	HSAC008006	Hs.171929	0.45	0.63	0.89	912	727	258	256
PLOD2	HSAC004514	Hs.477866	0.47	0.63	0.85	23871	21479	360	363
TBAK	HSAC019697	NA	0.51	0.63	0.78	18342	14482	310	309
SMTN	HSAC013644	Hs.435168	0.48	0.63	0.84	2061	1634	274	297
OSTF1	HSAC010709	Hs.494192	0.49	0.63	0.81	4394	3363	293	278
ZPBP	HSAC011000	Hs.388841	0.48	0.64	0.83	3636	3175	253	253
LOXL2	HSAC007023	Hs.571480	0.44	0.64	0.93	18591	13453	347	349
DUSP3	HSAC008498	Hs.181046	0.52	0.64	0.79	3188	2656	257	269
MARCKS	HSAC006144	Hs.519909	0.52	0.64	0.79	29495	27520	368	352
HBEGF	HSAC000207	Hs.799	0.45	0.64	0.9	640	469	268	270
OACT2	HSAC021313	Hs.467634	0.51	0.64	0.8	4771	3567	310	302
DYNC1LI2	HSAC021325	Hs.369068	0.49	0.64	0.83	5134	3377	274	279
PAQR4	HSAC021141	Hs.351474	0.49	0.64	0.85	2014	1850	260	262
DLC1	HSAC013091	Hs.134296	0.47	0.64	0.87	983	673	246	246
CN132	HSAC007714	NA	0.49	0.64	0.85	1482	1309	317	327
NA	HSAC003153	NA	0.46	0.64	0.9	1643	1396	253	256
LRRC8A	HSAC008144	Hs.494419	0.5	0.64	0.83	2310	1975	252	260
ITGA5	HSAC013666	Hs.505654	0.48	0.65	0.86	4562	3025	278	274
TASP1	HSAC010272	Hs.369932	0.55	0.65	0.75	737	543	258	264
PDPK1	HSAC013990	Hs.459691	0.47	0.65	0.89	1440	880	248	248
TPM2	HSAC009920	Hs.300772	0.51	0.65	0.82	4617	3615	292	299
NA	HSAC018986	NA	0.44	0.65	0.95	1094	871	275	275
UPP1	HSAC006418	Hs.488240	0.52	0.65	0.8	1813	1233	292	285
NA	HSAC013088	NA	0.44	0.65	0.96	995	871	267	265
SLC1A3	HSAC006089	Hs.481918	0.52	0.65	0.81	547	428	244	239
COL11A1	HSAC013767	Hs.523446	0.51	0.65	0.83	843	664	256	250
TBX3	HSAC016583	Hs.129895	0.55	0.65	0.78	580	399	275	252
GLI2	HSAC011773	Hs.111867	0.59	0.65	0.73	584	484	276	278
ANKRD11	HSAC004572	Hs.335003	0.44	0.66	0.97	1707	1244	294	283
NA	HSAC018866	NA	0.5	0.66	0.86	1946	1412	262	266
CDC42BPA	HSAC004724	Hs.35433	0.45	0.66	0.96	1381	832	246	253
NM_004472.1	HSAC010720	NA	0.48	0.66	0.9	1288	778	271	254
STC1	HSAC003540	Hs.25590	0.45	0.66	0.95	922	766	250	249
GLCE	HSAC008633	Hs.183006	0.56	0.66	0.77	1036	904	293	298
PFKP	HSAC011012	Hs.26010	0.54	0.66	0.8	5794	4336	275	272
ADAM12	HSAC001691	Hs.386283	0.49	0.66	0.89	13139	12002	263	276
XE7	HSAC003045	Hs.522572	0.55	0.66	0.8	4093	3481	288	285
AZI1	HSAC015062	Hs.514578	0.52	0.66	0.84	1425	1206	261	265
DNASE1L1	HSAC006355	Hs.77091	0.51	0.66	0.87	839	827	253	270
TBAK	HSAC019697	NA	0.54	0.66	0.82	13323	10378	377	380
NA	HSAC007935	NA	0.56	0.67	0.79	2190	1856	257	253
ZNF281	HSAC005383	Hs.59757	0.54	0.67	0.82	706	562	260	262
FABP5	HSAC013854	Hs.408061	0.52	0.67	0.85	1138	871	264	276
POSTN	HSAC018400	Hs.136348	0.46	0.67	0.97	760	737	260	261
NP_055534.1	HSAC011518	NA	0.52	0.67	0.85	2010	1703	255	252
TAGLN	HSAC006194	Hs.503998	0.5	0.67	0.89	30746	23723	839	632
XRCC4	HSAC013727	Hs.567359	0.53	0.67	0.84	1256	970	268	252
MAPK8IP3	HSAC010278	Hs.207763	0.53	0.67	0.84	13454	12516	423	429
CN032	HSAC006835	NA	0.51	0.67	0.88	3106	2567	272	280
NA	HSAC006429	NA	0.53	0.67	0.84	1007	804	278	289
PSMB2	HSAC000363	Hs.471441	0.5	0.67	0.89	3302	2471	310	281
TBAK	HSAC019697	NA	0.53	0.67	0.84	11602	9275	334	337
ERO1L	HSAC003559	Hs.525339	0.52	0.67	0.87	3417	2761	260	268
NP_060508.1	HSAC017035	NA	0.51	0.67	0.89	3656	2777	265	265
Q6ZNM4	HSAC004428	NA	0.5	0.67	0.9	1785	1282	303	305
CLTCL1	HSAC014324	Hs.368266	0.53	0.67	0.85	1915	1439	260	267
PBX3	HSAC009625	Hs.428027	0.56	0.67	0.8	869	772	276	274
NA	HSAC014830	NA	0.54	0.67	0.84	1717	1570	262	271
MAB21L1	HSAC015658	Hs.532575	0.57	0.67	0.8	904	693	259	260
NP_004726.1	HSAC019155	NA	0.54	0.67	0.85	5515	4383	265	270
CS001	HSAC013874	NA	0.5	0.67	0.91	707	601	245	245
CALR	HSAC002580	Hs.515162	0.51	0.68	0.9	2793	2105	317	305
DOCK10	HSAC002975	Hs.46578	0.52	0.68	0.88	1361	1133	269	268
NA	HSAC004970	NA	0.58	0.68	0.8	4433	3225	337	310
SLC35D1	HSAC006962	Hs.213642	0.55	0.68	0.83	2068	1739	292	289
CDH11	HSAC009721	Hs.116471	0.54	0.68	0.86	786	727	273	278
VEGF	HSAC005862	Hs.73793	0.48	0.68	0.95	4163	3286	413	407
UBL3	HSAC008109	Hs.145575	0.56	0.68	0.82	5500	4566	265	286
KIAA1754	HSAC003843	Hs.523252	0.56	0.68	0.83	979	832	301	303
NP_079101.2	HSAC008223	NA	0.55	0.68	0.84	2033	1624	301	288
KLF6	HSAC008822	Hs.4055	0.49	0.68	0.94	11168	7801	335	289
PLEKHB2	HSAC015845	Hs.512380	0.55	0.68	0.84	979	810	253	261
LMBR1L	HSAC016959	Hs.272838	0.57	0.68	0.81	801	701	252	256
MAP3K4	HSAC004156	Hs.390428	0.48	0.68	0.97	770	687	259	257
39147	HSAC002879	NA	0.5	0.68	0.93	1962	1271	295	299
ACSL3	HSAC016612	Hs.471461	0.57	0.68	0.82	3407	2871	270	283
WNT5B	HSAC018196	Hs.306051	0.57	0.68	0.81	708	534	243	240
CSPG2	HSAC006853	Hs.443681	0.56	0.68	0.83	21771	17061	365	377
PRKAR2A	HSAC008890	Hs.517841	0.6	0.68	0.77	3175	2644	274	267
PPP1R3C	HSAC018150	Hs.303090	0.51	0.68	0.91	3388	2530	303	288
PPP1R12A	HSAC002586	Hs.49582	0.58	0.68	0.81	2808	2560	283	295
TBAK	HSAC019697	NA	0.56	0.68	0.84	24825	19962	369	369
NM_006289.2	HSAC002725	NA	0.55	0.69	0.86	1182	825	283	261
SOX4	HSAC021298	Hs.357901	0.55	0.69	0.86	3843	3451	290	284
NP_115557.1	HSAC019662	NA	0.56	0.69	0.85	3193	2425	250	254
PDGFC	HSAC004611	Hs.148162	0.55	0.69	0.86	2799	2404	247	250
MYADM	HSAC016234	Hs.380906	0.54	0.69	0.88	8640	6046	276	286
TPM1	HSAC006465	Hs.133892	0.58	0.69	0.82	516	405	250	244
RUNX2	HSAC004967	Hs.535845	0.59	0.69	0.8	709	625	252	244
LEPREL1	HSAC004599	Hs.374191	0.56	0.69	0.84	654	516	286	282
GOPC	HSAC014474	Hs.191539	0.53	0.69	0.89	614	523	253	256
PTPN12	HSAC000018	Hs.61812	0.55	0.69	0.87	5418	4650	275	265
Q8WTY6	HSAC010888	NA	0.58	0.69	0.82	2147	1676	251	269
PITPNC1	HSAC019377	Hs.567447	0.55	0.69	0.87	1236	982	250	244
NCOR2	HSAC009203	Hs.137510	0.56	0.69	0.84	12606	10804	285	303
PLAUR	HSAC008362	Hs.466871	0.52	0.69	0.92	13698	10480	392	384
CDK2	HSAC002801	Hs.19192	0.59	0.69	0.81	1041	911	301	329
SERPINB8	HSAC004543	Hs.368077	0.57	0.69	0.84	1614	1457	258	265
NEXN	HSAC015193	Hs.22370	0.58	0.69	0.83	821	743	283	301
GABBR1	HSAC007708	Hs.167017	0.55	0.69	0.87	1184	955	312	314
NA	HSAC009410	NA	0.55	0.69	0.87	904	852	303	288
GPC3	HSAC012217	Hs.567276	0.57	0.69	0.84	554	463	267	270
RAI14	HSAC002455	Hs.431400	0.53	0.69	0.92	8319	6650	357	366
TBAK	HSAC019697	NA	0.55	0.7	0.88	8741	7014	291	302
TGFBI	HSAC012145	Hs.369397	0.51	0.7	0.95	7395	4873	617	482
Q9H7K0	HSAC002317	NA	0.6	0.7	0.81	1014	917	258	271
HIF1A	HSAC014755	Hs.509554	0.5	0.7	0.98	27242	22891	445	412
COTL1	HSAC009478	Hs.289092	0.52	0.7	0.93	3807	2825	259	264
NA	HSAC015584	NA	0.56	0.7	0.87	961	906	315	306
ADRB1	HSAC011013	Hs.99913	0.53	0.7	0.92	4775	3821	333	341
CACNA2D1	HSAC009857	Hs.282151	0.56	0.7	0.88	3632	2991	257	259
PLDN	HSAC018892	Hs.573020	0.55	0.7	0.89	6483	4012	334	264
SIPA1L1	HSAC008030	Hs.208846	0.58	0.7	0.84	1020	750	268	258
OSBPL5	HSAC011781	Hs.436166	0.58	0.7	0.85	873	805	288	284
BTBD14A	HSAC012065	Hs.112895	0.61	0.7	0.81	671	623	243	239
TTC3	HSAC012086	Hs.368214	0.58	0.7	0.85	6922	5822	264	269
LRRC15	HSAC009256	Hs.288467	0.51	0.7	0.96	880	708	251	260
PKM2	HSAC014794	Hs.198281	0.54	0.7	0.92	19988	15461	277	274
NA	HSAC004824	NA	0.58	0.7	0.85	2602	2132	263	270
ATP13A2	HSAC012783	Hs.128866	0.59	0.7	0.84	4366	3427	310	302
TBAK	HSAC019697	NA	0.59	0.7	0.83	34255	28422	372	372
ARHGDIB	HSAC007049	Hs.504877	0.54	0.7	0.92	886	811	288	289
EDIL3	HSAC012846	Hs.482730	0.53	0.7	0.93	673	545	240	244
TBAK	HSAC019697	NA	0.59	0.7	0.85	20365	16266	507	463
TBAK	HSAC019697	NA	0.57	0.7	0.87	18051	14580	277	283
LOC162073	HSAC017897	NA	0.59	0.7	0.85	991	651	267	263
CALB2	HSAC011473	Hs.106857	-	0.7	-	1499	1005	271	270
IVNS1ABP	HSAC014750	Hs.497183	0.58	0.7	0.86	1656	1465	251	251
NMB	HSAC007017	Hs.386470	-	0.71	-	3379	3423	255	274
LOC283824	HSAC003208	NA	0.56	0.71	0.89	1876	1396	264	270
BAIAP2L1	HSAC003281	Hs.567541	0.59	0.71	0.84	767	624	261	262
WSB1	HSAC014385	Hs.446017	0.57	0.71	0.88	2351	1839	260	276
TBAK	HSAC019697	NA	0.56	0.71	0.9	12055	9584	286	291
KLK3	HSAC008015	Hs.171995	0.56	0.71	0.9	959	777	274	245
THY1	HSAC012552	Hs.134643	0.52	0.71	0.96	10502	8854	409	385
ITGAV	HSAC009638	Hs.436873	0.59	0.71	0.86	8340	7848	316	317
NRIP1	HSAC014013	Hs.155017	0.56	0.71	0.91	3025	2506	244	240
HTR2A	HSAC009873	Hs.424980	0.53	0.71	0.96	723	738	259	273
EHD4	HSAC005147	Hs.143703	0.56	0.71	0.91	1131	857	274	256
ITGB5	HSAC013675	Hs.13155	0.59	0.71	0.86	10651	8765	359	361
MRAS	HSAC020413	Hs.527021	0.56	0.71	0.91	3378	2504	296	269
PSME3	HSAC013839	Hs.152978	0.59	0.72	0.87	2504	2154	361	361
AK3L2	HSAC017180	Hs.10862	0.58	0.72	0.88	4146	3298	303	314
SDC1	HSAC006885	Hs.224607	0.59	0.72	0.87	859	747	269	278
OACT2	HSAC010450	Hs.467634	0.58	0.72	0.89	1963	1576	253	258
ABTB2	HSAC011555	Hs.23361	0.61	0.72	0.84	629	499	253	256
TBAK	HSAC019697	NA	0.57	0.72	0.9	29821	24715	491	410
LIMK1	HSAC004329	Hs.36566	-	0.72	-	2905	2475	259	269
EXOC5	HSAC019710	Hs.365863	0.59	0.72	0.87	2980	2716	250	254
CHN1	HSAC007884	Hs.380138	0.6	0.72	0.87	1113	940	264	289
ACTB	HSAC021328	Hs.520640	0.58	0.72	0.9	18797	14645	307	316
BTBD7	HSAC002326	Hs.525549	0.56	0.72	0.93	1582	1244	272	278
SGOL2	HSAC004687	Hs.44269	0.6	0.72	0.86	681	529	265	245
NA	HSAC004043	NA	0.58	0.72	0.9	600	480	262	251
DRC1A	HSAC007159	NA	0.61	0.72	0.85	1415	1250	365	346
IGSF9	HSAC010148	Hs.492155	0.54	0.72	0.97	5641	4457	274	265
TCP11L1	HSAC003138	Hs.533701	0.6	0.72	0.86	1389	1205	279	270
TNPO1	HSAC007751	Hs.482497	0.58	0.72	0.9	5413	4032	365	345
ACTB	HSAC021328	Hs.520640	0.59	0.72	0.89	21117	16846	383	362
FER	HSAC012332	Hs.221472	0.6	0.72	0.88	710	610	276	273
AADACL1	HSAC003215	Hs.444099	0.58	0.72	0.91	1871	1491	328	312
SH3KBP1	HSAC013858	Hs.444770	0.62	0.72	0.84	5697	4476	262	268
NP_060255.2	HSAC004165	NA	0.58	0.72	0.91	2367	2293	259	255
ADPN	HSAC016566	Hs.377087	0.61	0.72	0.86	586	459	260	249
TBAK	HSAC019697	NA	0.59	0.72	0.89	32554	26889	510	427
NA	HSAC020792	NA	0.56	0.72	0.94	2340	1993	295	272
GBAS	HSAC013823	Hs.437367	0.6	0.73	0.88	2366	2206	275	275
NP_001013005.1	HSAC004708	NA	0.61	0.73	0.87	4966	4360	274	277
ACTB	HSAC021328	Hs.520640	0.59	0.73	0.89	26479	20923	404	395
SEMA7A	HSAC003420	Hs.24640	0.56	0.73	0.94	670	496	252	255
NP_078991.2	HSAC011450	NA	0.58	0.73	0.91	1881	1452	309	290
DNAJB4	HSAC004533	Hs.380282	0.56	0.73	0.94	5845	4029	256	270
NA	HSAC019779	NA	-	0.73	-	1129	1071	268	270
PNMA1	HSAC014657	Hs.194709	0.62	0.73	0.86	5656	5217	262	265
NA	HSAC006994	NA	0.62	0.73	0.86	6464	4978	290	287
NA	HSAC018872	NA	0.59	0.73	0.91	22613	18550	300	292
TPM4	HSAC016222	Hs.466088	0.56	0.73	0.96	27038	22012	445	410
TBC1D1	HSAC017308	Hs.558918	0.61	0.73	0.87	964	808	275	296
ACLY	HSAC008203	Hs.387567	0.58	0.73	0.93	21523	18053	364	370
TBAK	HSAC019697	NA	0.59	0.73	0.92	19024	15451	301	311
SPBC25	HSAC002976	Hs.421956	0.56	0.73	0.96	508	395	248	257
GAPR1	HSAC018141	NA	0.62	0.73	0.87	2490	2091	247	254
NP_057094.1	HSAC012152	NA	0.56	0.74	0.97	1966	1344	269	251
LIMS1	HSAC011813	Hs.469593	0.59	0.74	0.92	674	490	267	264
ZNF652	HSAC014451	Hs.463375	0.58	0.74	0.94	721	595	268	266
STARD4	HSAC007538	Hs.93842	0.62	0.74	0.88	989	861	250	254
TULP3	HSAC007782	Hs.524187	0.61	0.74	0.89	1015	935	246	256
AURKB	HSAC008453	Hs.442658	0.58	0.74	0.94	641	504	267	260
ACTB	HSAC021328	Hs.520640	0.6	0.74	0.91	25439	20404	315	310
RNF38	HSAC006452	Hs.333503	0.61	0.74	0.89	4311	3744	322	329
YRDC	HSAC004794	Hs.301564	0.62	0.74	0.88	1397	1225	272	274
TCF3	HSAC011099	Hs.371282	0.6	0.74	0.9	793	723	240	246
FLG	HSAC016291	Hs.567270	0.57	0.74	0.96	730	514	256	256
NCOA4	HSAC011011	Hs.522932	0.55	0.74	0.99	12341	10233	397	344
SOCS6	HSAC005245	Hs.44439	0.64	0.74	0.85	1763	1428	274	280
AR	HSAC011014	Hs.496240	0.61	0.74	0.9	1325	1122	252	259
USPL1	HSAC013747	Hs.533831	0.64	0.74	0.86	694	622	264	260
CENPE	HSAC006135	Hs.75573	0.62	0.74	0.88	515	421	244	253
OSBPL3	HSAC014771	Hs.520259	0.61	0.74	0.9	995	955	242	241
ACTB	HSAC021328	Hs.520640	0.6	0.74	0.92	17787	14256	432	427
NXN	HSAC014558	Hs.527989	0.67	0.74	0.82	624	569	311	303
SMC4L1	HSAC005002	Hs.58992	0.59	0.74	0.93	1651	1519	279	283
TNFRSF10D	HSAC012861	Hs.213467	0.67	0.74	0.82	843	714	304	298
GOLGA4	HSAC014218	Hs.344151	0.57	0.74	0.97	3257	2815	295	304
LGMN	HSAC002701	Hs.18069	0.57	0.74	0.97	4512	3500	319	292
KIFC3	HSAC003243	Hs.23131	0.62	0.74	0.89	6724	5551	283	291
TRIO	HSAC008012	Hs.130031	0.65	0.74	0.84	2223	1812	297	298
MAP4K2	HSAC006993	Hs.534341	0.6	0.74	0.93	1371	1116	256	269
PFN1	HSAC006177	Hs.494691	0.58	0.74	0.95	13484	10997	367	359
NA	HSAC004912	NA	0.6	0.74	0.92	1686	1393	283	284
Q9UHT8	HSAC014743	NA	0.65	0.75	0.86	1471	1182	273	252
AKAP9	HSAC005298	Hs.527348	0.58	0.75	0.96	1998	1682	255	257
Q6ZWC0	HSAC019393	NA	0.63	0.75	0.89	1437	1239	243	266
MLLT11	HSAC006208	Hs.75823	0.59	0.75	0.94	1127	977	268	269
FLNB	HSAC006811	Hs.476448	0.62	0.75	0.9	3377	2455	280	275
SNRPN	HSAC005334	Hs.564847	0.6	0.75	0.94	2214	1896	257	267
MEIS1	HSAC007913	Hs.526754	0.66	0.75	0.85	965	885	258	261
CUTL1	HSAC013584	Hs.438974	0.63	0.75	0.89	900	798	265	273
TGFB1	HSAC000287	Hs.1103	0.57	0.75	0.99	3004	2508	263	254
NP_075568.1	HSAC007842	NA	0.62	0.75	0.92	7390	6552	290	305
BNIP3	HSAC006697	Hs.144873	0.58	0.75	0.98	4246	3641	282	281
NP_001009814.1	HSAC013757	NA	0.62	0.75	0.92	2796	2462	268	272
