Fold Change	Gene Title	Gene Symbol	Entrez Gene
6.73	fascin homolog 1, actin bundling protein (Strongylocentrotus) purpuratus)	Fscn1	14086
6.6	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Elavl4	15572
6.54	Widely-interspaced zinc finger motifs	Wiz	22404
6.49	villin 2	Vil2	22350
6.2	angiopoietin-like 2	Angptl2	26360
6.19	S100 calcium binding protein A6 (calcyclin)	S100a6	20200
6	minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	Mcm6	17219
5.98	gamma-glutamyltransferase-like 3	Ggtl3	207182
5.91	transgelin 2	Tagln2	21346
5.76	C1q domain containing 2	C1qdc2	67389
5.61	cyclin D1	Ccnd1	12443
5.52	membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)	Mpp6	56524
5.25	ring finger protein 157	Rnf157	217340
5.19	pleckstrin homology-like domain, family A, member 3	Phlda3	27280
5.16	mab-21-like 1 (C. elegans)	Mab21l1	17116
5.08	ectodermal-neural cortex 1	Enc1	13803
5.06	calpain 5	Capn5	12337
5.03	gamma-aminobutyric acid (GABA-B) receptor, 1	Gabbr1	54393
5.03	RPEL repeat containing 1	Rpel1	218194
4.99	ribosomal protein S9	Rps9	76846
4.94	ets variant gene 5	Etv5	104156
4.93	nudix (nucleoside diphosphate linked moiety X)-type motif 19	Nudt19	110959
4.86	phosphodiesterase 4B, cAMP specific	Pde4b	18578
4.82	beta-site APP-cleaving enzyme 2	Bace2	56175
4.8	synaptogyrin 3	Syngr3	20974
4.67	budding uninhibited by benzimidazoles 1 homolog, beta (S. cerevisiae)	Bub1b	12236
4.67	transmembrane 7 superfamily member 1	Tm7sf1	83924
4.66	fusion, derived from t(12;16) malignant liposarcoma (human)	Fus	233908
4.62	high mobility group box 2	Hmgb2	97165
4.6	reprimo, TP53 dependent G2 arrest mediator candidate	Rprm	67874
4.59	nucleoporin 93	Nup93	71805
4.55	golgi phosphoprotein 2	Golph2	105348
4.54	retinoblastoma-like 1 (p107)	Rbl1	19650
4.5	breast cancer 1	Brca1	12189
4.48	aspartate-beta-hydroxylase	Asph	65973
4.47	transferrin receptor	Trfr	22042
4.41	ribosomal protein S6 kinase, polypeptide 2	Rps6ka2	20112
4.41	dihydropyrimidinase-like 3	Dpysl3	22240
4.34	septin 3	Sept3	353036
4.33	transcription factor AP-2 beta	Tcfap2b	21419
4.33	wingless related MMTV integration site 10a	Wnt10a	22409
4.22	cell division cycle 45 homolog (S. cerevisiae)-like	Cdc45l	12544
4.17	complexin 1	Cplx1	12889
4.17	CD99 antigen	Cd99	66478
4.11	kinesin family member C5A	Kifc5a	94116
4.08	prostaglandin I receptor (IP)	Ptgir	19222
4.01	DIRAS family, GTP-binding RAS-like 1	Diras1	208666
4	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1	Pcmt1	18537
3.98	kinesin family member 22	Kif22	110033
3.92	Purkinje cell protein 4	Pcp4	18546
3.91	interferon-induced protein with tetratricopeptide repeats 2	Ifit2	15958
3.86	TH1-like homolog (Drosophila)	Th1l	57314
3.84	peptidylglycine alpha-amidating monooxygenase	Pam	18484
3.82	RNA imprinted and accumulated in nucleus	Rian	75745
3.81	peroxiredoxin 2	Prdx2	21672
3.8	enhancer of zeste homolog 2 (Drosophila)	Ezh2	14056
3.8	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)	Elavl3	15571
3.8	polypyrimidine tract binding protein 2	Ptbp2	56195
3.78	fatty acid binding protein 5, epidermal	Fabp5	16592
3.75	FK506 binding protein 7	Fkbp7	14231
3.74	MAD2 (mitotic arrest deficient, homolog)-like 1 (yeast)	Mad2l1	56150
3.7	holocytochrome c synthetase	Hccs	15159
3.68	neuro-oncological ventral antigen 1	Nova1	18134
3.68	coronin, actin binding protein 1C	Coro1c	23790
3.65	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	Cdkn2b	12579
3.65	ligase I, DNA, ATP-dependent	Lig1	16881
3.63	amiloride-sensitive cation channel 1, neuronal (degenerin)	Accn1	11418
3.61	minichromosome maintenance deficient 3 (S. cerevisiae)	Mcm3	17215
3.6	transient receptor potential cation channel, subfamily V, member 2	Trpv2	22368
3.58	aortic preferentially expressed gene 1	Apeg1	11790
3.54	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	Ppp2r2b	72930
3.53	methionine aminopeptidase-like 1	Metapl1	66559
3.52	replication factor C (activator 1) 4	Rfc4	106344
3.52	CDC42 effector protein (Rho GTPase binding) 3	Cdc42ep3	260409
3.45	valyl-tRNA synthetase 2	Vars2	22321
3.43	GTL2, imprinted maternally expressed untranslated mRNA	Gtl2	17263
3.43	GTP-binding protein 9 (putative)	Gtpbp9	67059
3.43	synaptotagmin 11	Syt11	229521
3.42	ISL1 transcription factor, LIM/homeodomain (islet 1)	Isl1	16392
3.4	apoptotic protease activating factor 1	Apaf1	11783
3.37	neuron specific gene family member 1	Nsg1	18196
3.35	TATA box binding protein-like 1	Tbpl1	237336
3.34	YY1 transcription factor	Yy1	22632
3.34	proline-rich coiled-coil 1	Prrc1	73137
3.32	PWP1 homolog (S. cerevisiae)	Pwp1	103136
3.32	StAR-related lipid transfer (START) domain containing 4	Stard4	170459
3.31	double C2, beta	Doc2b	13447
3.31	wild-type p53-induced gene 1	Wig1	22401
3.31	oral-facial-digital syndrome 1 gene homolog (human)	Ofd1	237222
3.3	adenylate cyclase activating polypeptide 1 receptor 1	Adcyap1r1	11517
3.3	eukaryotic translation initiation factor 4A2	Eif4a2	13682
3.25	hepatoma-derived growth factor, related protein 3	Hdgfrp3	29877
3.22	transducin-like enhancer of split 4, E(spl) homolog (Drosophila)	Tle4	21888
3.22	cell cycle exit and neuronal differentiation 1	Cend1	57754
3.2	sorting nexin 6	Snx6	72183
3.2	LIM domain only 1	Lmo1	109594
3.19	caspase 3, apoptosis related cysteine protease	Casp3	12367
3.19	T-complex expressed gene 1	Tce1	79043
3.18	solute carrier family 16 (monocarboxylic acid transporters), member 1	Slc16a1	20501
3.17	RAS p21 protein activator 3	Rasa3	19414
3.16	potassium voltage-gated channel, shaker-related subfamily, beta member 2	Kcnab2	16498
3.15	dimethylarginine dimethylaminohydrolase 2	Ddah2	51793
3.15	pyruvate dehydrogenase kinase, isoenzyme 1	Pdk1	228026
3.14	cytochrome P450, family 4, subfamily f, polypeptide 16	Cyp4f16	70101
3.11	cysteine and glycine-rich protein 1	Csrp1	13007
3.11	diacylglycerol kinase, gamma	Dgkg	110197
3.1	phospholipase C, beta 4	Plcb4	18798
3.1	zinc finger protein 297	Zfp297	81630
3.1	glucocorticoid induced gene 1	Gig1	170753
3.08	calcium channel, voltage-dependent, N type, alpha 1B subunit	Cacna1b	12287
3.08	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	Smarce1	57376
3.07	proteolipid protein 2	Plp2	18824
3.07	synapsin II	Syn2	20965
3.06	melanoma antigen, family D, 2	Maged2	80884
3.05	matrix metalloproteinase 16	Mmp16	17389
3.04	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)	Farp1	223254
3.03	polymerase (DNA directed), gamma 2, accessory subunit	Polg2	50776
3.02	RNA polymerase II transcriptional coactivator	Rpo2tc1	20024
3.01	protein tyrosine phosphatase, receptor type, S	Ptprs	19280
2.99	hyaluronan mediated motility receptor (RHAMM)	Hmmr	15366
2.98	ribonucleotide reductase M1	Rrm1	20133
2.97	prolylcarboxypeptidase (angiotensinase C)	Prcp	72461
2.97	Kruppel-like factor 7 (ubiquitous)	Klf7	93691
2.96	galactosylceramidase	Galc	14420
2.95	myelin transcription factor 1-like	Myt1l	17933
2.95	protein tyrosine phosphatase 4a3	Ptp4a3	19245
2.95	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	Hsd3b7	101502
2.94	cell growth regulator with EF hand domain 1	Cgref1	68567
2.92	arylsulfatase G	Arsg	74008
2.92	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1	U2af1	108121
2.91	src homology 2 domain-containing transforming protein C1	Shc1	20416
2.91	cytoglobin	Cygb	114886
2.9	kinesin family member 11	Kif11	16551
2.9	DNA primase, p49 subunit	Prim1	19075
2.89	guanine nucleotide binding protein, alpha o	Gnao	14681
2.88	non-catalytic region of tyrosine kinase adaptor protein 2	Nck2	17974
2.87	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	Asf1b	66929
2.87	bruno-like 4, RNA binding protein (Drosophila)	Brunol4	108013
2.86	Bcl-2-related ovarian killer protein	Bok	51800
2.85	eukaryotic translation initiation factor 4E like 3	Eif4el3	26987
2.85	solute carrier family 39 (metal ion transporter), member 11	Slc39a11	69806
2.83	vimentin	Vim	22352
2.83	catenin, beta like 1	Ctnnbl1	66642
2.83	chloride intracellular channel 1	Clic1	114584
2.83	metastasis suppressor 1	Mtss1	211401
2.82	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Tap1	21354
2.8	development and differentiation enhancing	Ddef1	13196
2.79	hairy/enhancer-of-split related with YRPW motif 2	Hey2	15214
2.79	SMC6 structural maintenance of chromosomes 6-like 1 (yeast)	Smc6l1	67241
2.78	poly(rC) binding protein 3	Pcbp3	59093
2.77	asparagine synthetase	Asns	27053
2.76	karyopherin (importin) alpha 2	Kpna2	16647
2.76	solute carrier family 19 (sodium/hydrogen exchanger), member 1	Slc19a1	20509
2.76	synaptotagmin-like 1	Sytl1	269589
2.75	annexin A11	Anxa11	11744
2.74	H3 histone, family 3B	H3f3b	15081
2.74	sulfotransferase family 4A, member 1	Sult4a1	29859
2.74	opioid growth factor receptor-like 1	Ogfrl1	70155
2.72	interleukin 3 receptor, alpha chain	Il3ra	16188
2.72	sin3 associated polypeptide	Sap30	60406
2.72	zinc finger and BTB domain containing 44	Zbtb44	235132
2.7	hemoglobin Y, beta-like embryonic chain	Hbb-y	15135
2.7	pericentriolar material 1	Pcm1	18536
2.69	X-linked myotubular myopathy gene 1	Mtm1	17772
2.69	zinc finger, DHHC domain containing 9	Zdhhc9	208884
2.67	GTP binding protein 2	Gtpbp2	56055
2.66	NEDD9 interacting protein with calponin homology and LIM domains	Nical	171580
2.65	transmembrane 6 superfamily member 1	Tm6sf1	107769
2.64	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	Elavl2	15569
2.64	S-phase kinase-associated protein 2 (p45)	Skp2	27401
2.64	gem (nuclear organelle) associated protein 8	Gemin8	237221
2.63	potassium channel tetramerisation domain containing 20	Kctd20	66989
2.61	heterogeneous nuclear ribonucleoprotein A1	Hnrpa1	15382
2.61	mitogen activated protein kinase 8 interacting protein	Mapk8ip	19099
2.6	origin recognition complex, subunit 6-like (S. cerevisiae)	Orc6l	56452
2.59	t-complex testis expressed 1	Tctex1	21648
2.59	ring finger protein 25	Rnf25	57751
2.59	isochorismatase domain containing 1	Isoc1	66307
2.58	fibroblast growth factor inducible 15	Fin15	14210
2.57	bone morphogenetic protein 1	Bmp1	12153
2.57	transforming, acidic coiled-coil containing protein 3	Tacc3	21335
2.57	tryptophanyl-tRNA synthetase	Wars	22375
2.57	enhancer of yellow 2 homolog (Drosophila)	Eny2	223527
2.56	UPF3 regulator of nonsense transcripts homolog B (yeast)	Upf3b	68134
2.56	thyroid hormone receptor interactor 13	Trip13	69716
2.55	catenin alpha 2	Catna2	12386
2.55	glypican 1	Gpc1	14733
2.55	TBC1 domain family, member 24	Tbc1d24	224617
2.54	basic leucine zipper and W2 domains 2	Bzw2	66912
2.53	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2	Ppfibp2	19024
2.52	nucleolin	Ncl	17975
2.51	lamin A	Lmna	16905
2.51	heterogeneous nuclear ribonucleoprotein D-like	Hnrpdl	50926
2.5	cyclin E2	Ccne2	12448
2.5	kinesin family member 2C	Kif2c	73804
2.5	transmembrane protein 38a	Tmem38a	74166
2.49	paired-like homeobox 2a	Phox2a	11859
2.49	calcium/calmodulin-dependent serine protein kinase	Cask	12361
2.49	phosphatidylinositol 4-kinase type 2 beta	Pi4k2b	67073
2.49	endothelial cell-specific molecule 1	Esm1	71690
2.48	histocompatibility 2, K region	H2-K	14972
2.48	integrator complex subunit 6	Ints6	18130
2.48	discs, large homolog-associated protein 4 (Drosophila)	Dlgap4	228836
2.47	prostaglandin-endoperoxide synthase 1	Ptgs1	19224
2.47	synapsin I	Syn1	20964
2.47	zinc finger protein 239	Zfp239	22685
2.47	survivor of motor neuron protein interacting protein 1	Sip1	66603
2.47	Bcl-2 binding component 3	Bbc3	170770
2.46	nucleosome assembly protein 1-like 1	Nap1l1	53605
2.45	septin 5	Sept5	18951
2.45	ELOVL family member 7, elongation of long chain fatty acids (yeast)	Elovl7	74559
2.43	armadillo repeat gene deleted in velo-cardio-facial syndrome	Arvcf	11877
2.43	neuron specific gene family member 2	Nsg2	18197
2.43	protein phosphatase 2a, catalytic subunit, alpha isoform	Ppp2ca	19052
2.43	solute carrier family 4 (anion exchanger), member 8	Slc4a8	59033
2.43	armadillo repeat containing, X-linked 2	Armcx2	67416
2.42	pyrophosphatase (inorganic) 1	Ppa1	67895
2.42	polyadenylate binding protein-interacting protein 1	Paip1	218693
2.4	SEC14-like 2 (S. cerevisiae)	Sec14l2	67815
2.4	tubulin, gamma complex associated protein 2	Tubgcp2	74237
2.4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	Elovl4	83603
2.39	kinesin family member 5A	Kif5a	16572
2.39	SET and MYND domain containing 2	Smyd2	226830
2.38	helicase, lymphoid specific	Hells	15201
2.38	phosphoribosyl pyrophosphate synthetase 2	Prps2	110639
2.37	protein phosphatase 3, catalytic subunit, alpha isoform	Ppp3ca	19055
2.37	tubulin, beta 5	Tubb5	22154
2.37	expressed sequence R74862	R74862	97423
2.36	adenylosuccinate lyase	Adsl	11564
2.36	cofilin 2, muscle	Cfl2	12632
2.36	origin recognition complex, subunit 2-like (S. cerevisiae)	Orc2l	18393
2.36	polymyositis/scleroderma autoantigen 1	Pmscl1	50911
2.36	cell division cycle associated 7 like	Cdca71	217946
2.35	ganglioside-induced differentiation-associated-protein 1	Gdap1	14545
2.35	tumor necrosis factor receptor superfamily, member 23	Tnfrsf23	79201
2.34	microtubule-associated protein 1 B	Mtap1b	17755
2.33	hexokinase 1	Hk1	15275
2.33	myelin transcription factor 1	Myt1	17932
2.33	peroxiredoxin 4	Prdx4	53381
2.33	nasal embryonic LHRH factor	Nelf	56876
2.33	solute carrier family 35, member B1	Slc35b1	73836
2.33	integrator complex subunit 7	Ints7	77065
2.32	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	Ddx21	56200
2.31	interleukin-1 receptor-associated kinase 1 binding protein 1	Irak1bp1	65099
2.31	Src homology 2 domain containing F	Shf	435684
2.3	Rho GTPase activating protein 6	Arhgap6	11856
2.3	kinesin family member 1A	Kif1a	16560
2.3	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Ywhaz	22631
2.3	ATP-binding cassette, sub-family E (OABP), member 1	Abce1	24015
2.28	signal recognition particle 9	Srp9	27058
2.28	topoisomerase (DNA) II beta binding protein	Topbp1	235559
2.27	transcription factor Dp 1	Tfdp1	21781
2.26	maternal embryonic leucine zipper kinase	Melk	17279
2.26	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	Smc4l1	70099
2.26	deoxyuridine triphosphatase	Dutp	110074
2.25	polo-like kinase (Drosophila)	Plk	18817
2.25	Rap2 interacting protein	Rap2ip	51799
2.25	MAP/microtubule affinity-regulating kinase 1	Mark1	226778
2.24	geranylgeranyl diphosphate synthase 1	Ggps1	14593
2.24	phytanoyl-CoA hydroxylase interacting protein-like	Phyhipl	70911
2.24	Josephin domain containing 3	Josd3	75316
2.24	SH3-domain binding protein 4	Sh3bp4	98402
2.24	achalasia, adrenocortical insufficiency, alacrimia	Aaas	223921
2.23	ring finger protein 1	Ring1	19763
2.23	H2A histone family, member Z	H2afz	51788
2.23	splicing factor, arginine/serine-rich 6	Sfrs6	67996
2.23	minichromosome maintenance deficient 10 (S. cerevisiae)	Mcm10	70024
2.23	ribosomal protein L17	Rpl17	319195
2.22	diacylglycerol kinase zeta	Dgkz	104418
2.21	calmodulin 3	Calm3	12315
2.21	kinesin family member 4	Kif4	16571
2.21	echinoderm microtubule associated protein like 5	Eml5	319670
2.2	ribonucleic acid binding protein S1	Rnps1	19826
2.2	solute carrier family 26, member 4	Slc26a4	23985
2.2	asparaginyl-tRNA synthetase	Nars	70223
2.19	Ttk protein kinase	Ttk	22137
2.19	replication protein A1	Rpa1	68275
2.19	HD domain containing 2	Hddc2	69692
2.18	deoxycytidine kinase	Dck	13178
2.18	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide-beta-1, 4-N-acetylgalactosaminyltransferase	Galgt1	14421
2.18	icos ligand	Icosl	50723
2.18	zinc finger protein 622	Zfp622	52521
2.18	glycyl-tRNA synthetase	Gars	353172
2.17	hematological and neurological expressed sequence 1	Hn1	15374
2.17	ets variant gene 4 (E1A enhancer binding protein, E1AF)	Etv4	18612
2.17	cytochrome c oxidase subunit VIIa polypeptide 2-like	Cox7a2l	20463
2.17	phosphatidylethanolamine binding protein	Pbp	23980
2.17	protocadherin beta 17	Pcdhb17	93888
2.17	papillary renal cell carcinoma (translocation-associated)	Prcc	94315
2.16	transforming growth factor, beta 3	Tgfb3	21809
2.16	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)	Dera	232449
2.15	Luc7 homolog (S. cerevisiae)-like	Luc7l	66978
2.15	taspase, threonine aspartase 1	Tasp1	75812
2.14	calmegin	Clgn	12745
2.14	hemoglobin alpha, adult chain 1	Hba-a1	15122
2.14	open reading frame 19	ORF19	68767
2.14	tetraspanin 17	Tspan17	74257
2.13	cell division cycle 25 homolog B (S. cerevisiae)	Cdc25b	12531
2.13	RAD21 homolog (S. pombe)	Rad21	19357
2.13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	Psmd13	23997
2.13	GRAM domain containing 1A	Gramd1a	52857
2.13	septin 9	Sept9	53860
2.13	dynactin 2	Dctn2	69654
2.12	lipin 1	Lpin1	14245
2.12	polymerase (DNA directed), epsilon	Pole	18973
2.12	transmembrane 4 superfamily member 6	Tm4sf6	56496
2.12	proline-rich polypeptide 3	Prr3	75210
2.12	immunoglobulin superfamily, member 8	Igsf8	140559
2.11	solute carrier family 30 (zinc transporter), member 4	Slc30a4	22785
2.11	Ngg1 interacting factor 3-like 1 (S. pombe)	Nif3l1	65102
2.11	lin-9 homolog (C. elegans)	Lin9	72568
2.1	histocompatibility 2, T region locus 10	H2-T10	15024
2.1	lectin, galactose binding, soluble 1	Lgals1	16852
2.1	thioredoxin-like 2	Txnl2	30926
2.1	HLA-B associated transcript 5	Bat5	193742
2.1	Mus musculus adult male thymus cDNA, RIKEN full-length enriched library, clone:5830410A10 product:mini chromosome maintenance deficient 7 (S. cerevisiae), full insert sequence	---	385659
2.09	oligonucleotide/oligosaccharide-binding fold containing 2B	Obfc2b	69917
2.09	proline-rich polypeptide 6	Prr6	73139
2.09	additional sex combs like 1	Asxl1	228790
2.08	eukaryotic translation initiation factor 3, subunit 1 alpha	Eif3s1	78655
2.08	CD276 antigen	Cd276	102657
2.07	lysosomal trafficking regulator	Lyst	17101
2.07	numb-like	Numbl	18223
2.07	U2 small nuclear ribonucleoprotein B	Snrpb2	20639
2.07	glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)	Grina	66168
2.07	solute carrier family 30 (zinc transporter), member 7	Slc30a7	66500
2.07	loop tail associated protein	Ltap	93840
2.07	nucleoporin 155	Nup155	170762
2.06	ring finger protein 12	Rnf12	19820
2.05	tubulin, alpha 1	Tuba1	22142
2.05	interleukin 25	Il25	28106
2.05	centrosomal protein 27	Cep27	66296
2.05	nucleoporin 107	Nup107	103468
2.04	protein kinase C and casein kinase substrate in neurons 3	Pacsin3	80708
2.03	adaptor-related protein complex 3, sigma 1 subunit	Ap3s1	11777
2.03	golgi transport 1 homolog B (S. cerevisiae)	Golt1b	66964
2.02	protein kinase C, beta	Prkcb	18751
2.02	trophinin	Tro	56191
2.02	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae)	Trmt1	212528
2.01	gene trap locus 6	Gtl6	14897
2.01	nuclear receptor co-repressor 1	Ncor1	20185
2.01	retinoic acid induced 2	Rai2	24004
2.01	potassium channel tetramerisation domain containing 5	Kctd5	69259
2	mitogen activated protein kinase kinase kinase 12	Map3k12	26404
2	RD RNA-binding protein	Rdbp	27632
2	UDP-Gal:betaGalNAc beta 1,3-galactosyltransferase, polypeptide 4	B3galt4	54218
2	cytochrome P450, family 39, subfamily a, polypeptide 1	Cyp39a1	56050
2	thioredoxin domain containing 9	Txndc9	98258
2	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae)	Ptrh1	329384
