Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
GALC	GALC	Homo sapiens galactosylceramidase (GALC), transcript variant 1, mRNA [NM_000153]	-1.784122415	0.00979
ACTB	ACTB	Homo sapiens actin, beta (ACTB), mRNA [NM_001101]	-1.774877937	0.00463
LAX1	LAX1	Homo sapiens lymphocyte transmembrane adaptor 1 (LAX1), mRNA [NM_017773]	-1.773430808	0.00475
	A_24_P919706	Unknown	-1.767934469	0.00409
SAG	SAG	Homo sapiens S-antigen; retina and pineal gland (arrestin) (SAG), mRNA [NM_000541]	-1.762669318	0.00205
SLC35E1	SLC35E1	Homo sapiens solute carrier family 35, member E1 (SLC35E1), mRNA [NM_024881]	-1.757106651	0.00993
PAG1	PAG1	Homo sapiens phosphoprotein associated with glycosphingolipid microdomains 1 (PAG1), mRNA [NM_018440]	-1.741955377	0.00646
SEMA7A	SEMA7A	Homo sapiens semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group) (SEMA7A), mRNA [NM_003612]	-1.734532954	0.00154
NEUROG3	NEUROG3	Homo sapiens neurogenin 3 (NEUROG3), mRNA [NM_020999]	-1.721913042	0.00484
	A_24_P272515	Unknown	-1.71420457	0.00996
	CB305794	CB305794 UI-CF-EN1-aeg-o-06-0-UI.s1 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-aeg-o-06-0-UI 3, mRNA sequence [CB305794]	-1.689990919	0.00118
PTPRB	PTPRB	Homo sapiens protein tyrosine phosphatase, receptor type, B (PTPRB), mRNA [NM_002837]	-1.683224135	0.00638
	A_23_P335398	Unknown	-1.672177771	0.00953
GALNT6	GALNT6	Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6) (GALNT6), mRNA [NM_007210]	-1.659124773	0.00863
CDCP1	CDCP1	Homo sapiens CUB domain containing protein 1 (CDCP1), transcript variant 2, mRNA [NM_178181]	-1.654668215	0.00825
GMEB1	GMEB1	Homo sapiens glucocorticoid modulatory element binding protein 1 (GMEB1), transcript variant 1, mRNA [NM_006582]	-1.650816233	0.00803
	MGC16384	Homo sapiens cDNA FLJ10195 fis, clone HEMBA1004771. [AK001057]	-1.648856006	0.00986
	A_24_P840868	Unknown	-1.647392589	0.00952
	M69012	Human guanine nucleotide-binding regulatory protein (G-y-2-alpha) mRNA, partial cds. [M69012]	-1.638870397	0.00027
AVPI1	AVPI1	Homo sapiens arginine vasopressin-induced 1 (AVPI1), mRNA [NM_021732]	-1.615681751	0.00758
MMP25	MMP25	Homo sapiens matrix metallopeptidase 25 (MMP25), mRNA [NM_022468]	-1.612553035	0.00682
LIN52	C14orf46	Homo sapiens chromosome 14 open reading frame 46, mRNA (cDNA clone IMAGE:3893542), partial cds. [BC009539]	-1.604585415	0.00997
MSRB1	SEPX1	Homo sapiens selenoprotein X, 1 (SEPX1), mRNA [NM_016332]	-1.599376272	0.00915
LBH	LBH	Homo sapiens limb bud and heart development homolog (mouse) (LBH), mRNA [NM_030915]	-1.596966285	0.00998
	LOC200383	Homo sapiens mRNA; cDNA DKFZp667K087 (from clone DKFZp667K087). [AL512706]	-1.596515069	0.00922
UAP1	UAP1	Homo sapiens UDP-N-acteylglucosamine pyrophosphorylase 1 (UAP1), mRNA [NM_003115]	-1.586855131	0.00215
	AK095841	Homo sapiens cDNA FLJ38522 fis, clone HCHON2000818. [AK095841]	-1.584478064	0.00785
	A_24_P786713	Unknown	-1.569764866	0.00649
PMM2	PMM2	Homo sapiens phosphomannomutase 2 (PMM2), mRNA [NM_000303]	-1.557491716	0.00952
TPM1	TPM1	Homo sapiens tropomyosin 1 (alpha) (TPM1), transcript variant 6, mRNA [NM_001018008]	-1.553338771	0.00878
KIF1B	KIF1B	Homo sapiens kinesin family member 1B (KIF1B), transcript variant 1, mRNA [NM_015074]	-1.544669502	0.00068
ZNF454	ZNF454	Homo sapiens zinc finger protein 454 (ZNF454), mRNA [NM_182594]	-1.53810916	0.00438
FAM210B	C20orf108	Homo sapiens chromosome 20 open reading frame 108 (C20orf108), mRNA [NM_080821]	-1.528724393	0.00727
	AI824599	AI824599 wc18g09.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:2315584 3, mRNA sequence [AI824599]	-1.523276849	0.00828
PPDPF	C20orf149	Homo sapiens chromosome 20 open reading frame 149 (C20orf149), mRNA [NM_024299]	-1.522232547	0.00506
	THC2735775	ALU8_HUMAN (P39195) Alu subfamily SX sequence contamination warning entry, partial (6%) [THC2735775]	-1.511442182	0.00947
FAM108A1	FAM108A1	Homo sapiens family with sequence similarity 108, member A1 (FAM108A1), mRNA [NM_031213]	-1.510254077	0.00741
	ENST00000370599	Homo sapiens fibroblast growth factor homologous factor 2 isoform 1Z+1Y (FHF-2) mRNA, partial cds. [AF199613]	-1.501038313	0.00955
PCK2	PCK2	Homo sapiens phosphoenolpyruvate carboxykinase 2 (mitochondrial) (PCK2), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA [NM_004563]	-1.495049215	0.00304
	A_24_P221928	Unknown	-1.484809367	0.00843
CUEDC1	CUEDC1	Homo sapiens CUE domain containing 1 (CUEDC1), mRNA [NM_017949]	-1.472871261	0.00714
GGT7	GGTL3	Homo sapiens cDNA FLJ42798 fis, clone BRAWH3008931. [AK124788]	-1.469053973	0.00463
	THC2554996	Unknown	-1.465456467	0.00028
MFAP3L	MFAP3L	Homo sapiens microfibrillar-associated protein 3-like (MFAP3L), transcript variant 1, mRNA [NM_021647]	-1.465013702	0.00953
RASL11B	RASL11B	Homo sapiens RAS-like, family 11, member B (RASL11B), mRNA [NM_023940]	-1.463154552	0.00887
	LOC652310	PREDICTED: Homo sapiens similar to Glycogenin-1 (LOC652310), mRNA [XR_019546]	-1.442353488	0.00579
	THC2648833	Q369Z4_9GAMM (Q369Z4) MSHA pilin protein MshA precursor, partial (11%) [THC2648833]	-1.430876374	0.00958
TUBA4A	TUBA1	Homo sapiens tubulin, alpha 1 (TUBA1), mRNA [NM_006000]	-1.410934729	0.00664
	AJ318805	AJ318805 Homo sapiens adipose tissue Homo sapiens cDNA clone 2040, mRNA sequence [AJ318805]	-1.388452949	0.00979
RNU12	RNU12	Homo sapiens RNA, U12 small nuclear (RNU12) on chromosome X [NR_000041]	-1.382790689	0.00468
LRFN3	LRFN3	Homo sapiens leucine rich repeat and fibronectin type III domain containing 3 (LRFN3), mRNA [NM_024509]	-1.375565723	0.00995
	FLJ12986	Homo sapiens cDNA FLJ12986 fis, clone NT2RP3000055. [AK023048]	-1.374702742	0.00482
	A_24_P212314	Unknown	-1.301932394	0.00554
UBE2F	UBE2F	Homo sapiens ubiquitin-conjugating enzyme E2F (putative) (UBE2F), mRNA [NM_080678]	-1.300277303	0.00772
KDELR1	KDELR1	Homo sapiens KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 (KDELR1), mRNA [NM_006801]	-1.27394974	0.00915
F2RL1	F2RL1	Homo sapiens coagulation factor II (thrombin) receptor-like 1 (F2RL1), mRNA [NM_005242]	-1.267100738	0.00992
	BU685399	UI-CF-DU1-aaw-b-19-0-UI.s2 UI-CF-DU1 Homo sapiens cDNA clone UI-CF-DU1-aaw-b-19-0-UI 3, mRNA sequence [BU685399]	-1.262288914	0.00699
	AL117528	Homo sapiens mRNA; cDNA DKFZp434P2450 (from clone DKFZp434P2450) [AL117528]	-1.259362302	0.00269
	CK818527	CK818527 ic28f11.y5 HR85 islet Homo sapiens cDNA clone IMAGE: 5, mRNA sequence [CK818527]	-1.255769263	0.00861
ETV7	ETV7	Homo sapiens ets variant gene 7 (TEL2 oncogene) (ETV7), mRNA [NM_016135]	-1.205362313	0.00579
ASTN2	ASTN2	Homo sapiens astrotactin 2 (ASTN2), transcript variant 4, mRNA [NM_198188]	-1.195236214	0.00972
	THC2499898	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (13%) [THC2499898]	-1.149533799	0.00813
EZR	VIL2	Homo sapiens UG0651E06 mRNA, complete cds. [AF351612]	-1.145199459	0.0034
SLC26A8	SLC26A8	Homo sapiens solute carrier family 26, member 8 (SLC26A8), transcript variant 1, mRNA [NM_052961]	-1.120640884	0.00267
	AI332866	AI332866 qq07b04.x1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:1931791 3, mRNA sequence [AI332866]	-1.004230381	0.00934
CRAMP1L	CRAMP1L	Homo sapiens Crm, cramped-like (Drosophila) (CRAMP1L), mRNA [NM_020825]	1.014497492	0.00708
GTF3C3	GTF3C3	Homo sapiens general transcription factor IIIC, polypeptide 3, 102kDa (GTF3C3), mRNA [NM_012086]	1.037193385	0.00696
CLASP2	CLASP2	Homo sapiens cytoplasmic linker associated protein 2 (CLASP2), mRNA [NM_015097]	1.0372152	0.00262
	LOC283537	Homo sapiens hypothetical protein LOC283537 (LOC283537), mRNA [NM_181785]	1.039233979	0.00355
	THC2664916	Unknown	1.063176962	0.00769
	LOC392555	PREDICTED: Homo sapiens similar to Melanoma-associated antigen C2 (MAGE-C2 antigen) (MAGE-E1 antigen) (Hepatocellular carcinoma-associated antigen 587) (Cancer-testis antigen 10) (CT10) (LOC392555), mRNA [XR_018206]	1.075190909	0.00965
CYSLTR1	CYSLTR1	Homo sapiens cysteinyl leukotriene receptor 1 (CYSLTR1), mRNA [NM_006639]	1.112638805	0.0066
	CA840930	CA840930 ip30g05.x1 HR85 islet Homo sapiens cDNA clone IMAGE:6219056 3, mRNA sequence [CA840930]	1.117589828	0.00929
ZSCAN2	ZSCAN2	Homo sapiens zinc finger and SCAN domain containing 2 (ZSCAN2), transcript variant 2, mRNA [NM_017894]	1.117959623	0.00514
	AF086041	Homo sapiens full length insert cDNA clone YX53E08. [AF086041]	1.129774031	0.00699
FUNDC1	FUNDC1	Homo sapiens FUN14 domain containing 1 (FUNDC1), mRNA [NM_173794]	1.134051025	0.00686
THAP8	THAP8	Homo sapiens THAP domain containing 8 (THAP8), mRNA [NM_152658]	1.136075564	0.00852
PLGLB1	PLGLB1	Homo sapiens plasminogen-like B1 (PLGLB1), mRNA [NM_001032392]	1.14044116	0.00839
	BE168511	BE168511 QV3-HT0514-220300-127-d06 HT0514 Homo sapiens cDNA, mRNA sequence [BE168511]	1.146103144	0.00786
TLE4	TLE4	Homo sapiens transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila) (TLE4), mRNA [NM_007005]	1.152025544	0.00355
	THC2658800	Q32Q92_MOUSE (Q32Q92) Acyl-CoA thioesterase 6  , partial (17%) [THC2658800]	1.164604405	0.00766
RUSC1-AS1	C1orf104	Homo sapiens cDNA FLJ43522 fis, clone PLACE5000260. [AK125510]	1.179410885	0.00947
	CK820941	ie09h05.y5 HR85 islet Homo sapiens cDNA clone IMAGE:5086712 5, mRNA sequence [CK820941]	1.180961432	0.00449
	LOC338799	Homo sapiens hypothetical locus LOC338799 (LOC338799) on chromosome 12 [NR_002809]	1.181706308	0.00539
DENND5B	MGC24039	Homo sapiens full length insert cDNA clone ZD50F09. [AF086301]	1.183827455	0.00982
	AI263083	AI263083 qz35a02.x1 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGE:2028842 3, mRNA sequence [AI263083]	1.186941912	0.00501
TBX19	TBX19	Homo sapiens T-box 19 (TBX19), mRNA [NM_005149]	1.197570123	0.00991
	THC2682661	Unknown	1.208604745	0.00361
CNOT1	CNOT1	Homo sapiens CCR4-NOT transcription complex, subunit 1 (CNOT1), transcript variant 1, mRNA [NM_016284]	1.231791327	0.00763
	BG114486	602285795F1 NIH_MGC_86 Homo sapiens cDNA clone IMAGE:4373207 5, mRNA sequence [BG114486]	1.234504611	0.00423
CAMKMT	C2orf34	Homo sapiens chromosome 2 open reading frame 34, mRNA (cDNA clone IMAGE:4673016), complete cds. [BC029359]	1.2363591	0.00915
SCD5	SCD5	Homo sapiens stearoyl-CoA desaturase 5 (SCD5), transcript variant 1, mRNA [NM_001037582]	1.241587395	0.0083
CCNG2	CCNG2	Homo sapiens cyclin G2 (CCNG2), mRNA [NM_004354]	1.242470712	0.00679
	THC2662587	Unknown	1.24321655	0.00527
JUP	JUP	Homo sapiens junction plakoglobin (JUP), transcript variant 1, mRNA [NM_002230]	1.264861157	0.00975
	AI076273	AI076273 oy87c10.x1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA clone IMAGE:1672818 3 similar to contains Alu repetitive element;contains element MER4 repetitive element ;, mRNA sequence [AI076273]	1.292129542	0.00929
ZDHHC21	ZDHHC21	Homo sapiens cDNA: FLJ22669 fis, clone HSI08594. [AK026322]	1.29263681	0.00779
SNRNP48	C6orf151	Homo sapiens chromosome 6 open reading frame 151 (C6orf151), mRNA [NM_152551]	1.303481001	0.00965
	THC2583059	BC007772 TMEM44 protein {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (22%) [THC2583059]	1.317233177	0.00762
RHOJ	RHOJ	Homo sapiens ras homolog gene family, member J (RHOJ), mRNA [NM_020663]	1.317413331	0.00285
LCORL	LCORL	Homo sapiens ligand dependent nuclear receptor corepressor-like (LCORL), mRNA [NM_153686]	1.337992901	0.00548
MTMR2	MTMR2	Homo sapiens myotubularin related protein 2 (MTMR2), transcript variant 2, mRNA [NM_201278]	1.338829596	0.00874
RCOR3	RCOR3	Homo sapiens REST corepressor 3 (RCOR3), mRNA [NM_018254]	1.341495693	0.00999
	THC2783834	Q4LUJ0_9BURK (Q4LUJ0) LrgB-like protein, partial (4%) [THC2783834]	1.352634751	0.00874
	A_24_P490463	Unknown	1.353894503	0.00552
	THC2643490	Unknown	1.355213872	0.00951
LRCH1	LRCH1	Homo sapiens leucine-rich repeats and calponin homology (CH) domain containing 1 (LRCH1), mRNA [NM_015116]	1.357185265	0.00017
	THC2476224	BM194369 TCAAP2D11983 Pediatric pre-B cell acute lymphoblastic leukemia Baylor-HGSC project=TCBA Homo sapiens cDNA clone TCAAP1198, mRNA sequence [BM194369]	1.360334205	0.00262
CHL1	CHL1	Homo sapiens cell adhesion molecule with homology to L1CAM (close homolog of L1) (CHL1), mRNA [NM_006614]	1.362183791	0.00054
	ENST00000314121	Zinc finger protein 541. [Source:Uniprot/SWISSPROT;Acc:Q9H0D2] [ENST00000314121]	1.364954673	0.00915
RPAP1	RPAP1	Homo sapiens RNA polymerase II associated protein 1 (RPAP1), mRNA [NM_015540]	1.36814793	0.0028
SAA2	SAA2	Homo sapiens cDNA clone IMAGE:4716555, partial cds. [BC058008]	1.382123895	0.00918
	A_24_P496089	Unknown	1.382867422	0.004
	AF220235	Homo sapiens FGF-2 activity-associated protein 3 (GAFA3) mRNA, complete cds. [AF220235]	1.396424117	0.00796
KCNJ1	KCNJ1	Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 1 (KCNJ1), transcript variant rom-k5, mRNA [NM_153767]	1.402215801	0.00829
BEND6	C6orf65	Homo sapiens chromosome 6 open reading frame 65 (C6orf65), mRNA [NM_152731]	1.405092399	0.00855
	THC2628739	Q5T9M3_HUMAN (Q5T9M3) Protein tyrosine phosphatase, receptor type, C, partial (55%) [THC2628739]	1.414404835	0.00434
RUNX2	RUNX2	Homo sapiens runt-related transcription factor 2 (RUNX2), transcript variant 3, mRNA [NM_004348]	1.423367674	0.00564
ZIC5	ZIC5	Homo sapiens Zic family member 5 (odd-paired homolog, Drosophila) (ZIC5), mRNA [NM_033132]	1.426755488	0.00673
	THC2536560	Unknown	1.427145117	0.00822
PUM1	PUM1	Homo sapiens pumilio homolog 1 (Drosophila) (PUM1), transcript variant 1, mRNA [NM_001020658]	1.428944787	0.00707
