Probe set ID	Gene symbol	Entrez gene ID	Biopsy Average signal intensity	Surgical Average signal intensity	Rethio (Biopsy/Surgical)
225894_at	SYNPO2	171024	67.97	290.16	4.27
204776_at	THBS4	7060	271.26	1156.22	4.26
243296_at	NAMPT	10135	3361.71	14266.86	4.24
202157_s_at	CUGBP2	10659	1202.23	5095.58	4.24
202765_s_at	FBN1	2200	148.39	627.57	4.23
216491_x_at	IGHM	3507	171.31	723.84	4.23
211796_s_at	TRBC1	28639	475.38	1995.31	4.2
216401_x_at	LOC652493 /// LOC652694	652493 /// 652694	962.7	4035.06	4.19
203645_s_at	CD163	9332	865.48	3626.84	4.19
204803_s_at	RRAD	6236	342.72	1429.88	4.17
205544_s_at	CR2	1380	183.36	763.44	4.16
212587_s_at	PTPRC	5788	1335.67	5558.86	4.16
212865_s_at	COL14A1	7373	340.27	1411.3	4.15
204273_at	EDNRB	1910	154.37	639.8	4.14
208131_s_at	PTGIS	5740	283.74	1174.94	4.14
206201_s_at	MEOX2	4223	48.55	200.18	4.12
209621_s_at	PDLIM3	27295	598.61	2463.12	4.11
211571_s_at	VCAN	1462	113.17	464.12	4.1
1555745_a_at	LYZ	4069	182.17	744.2	4.09
215049_x_at	CD163	9332	872.25	3560.63	4.08
204472_at	GEM	2669	975.78	3981.56	4.08
207651_at	GPR171	29909	216.32	877.96	4.06
217281_x_at	IGH@ /// IGHA1 /// IGHA2 /// IGHG1 /// IGHG2 /// IGHG3 /// IGHM /// IGHV4-31 /// LOC100126583 /// LOC100290036 /// LOC100290320 /// LOC100293211 /// LOC652494	100126583 /// 100290036 /// 100290320 /// 100293211 /// 28396 /// 3492 /// 3493 /// 3494 /// 3500 /// 3501 /// 3502 /// 3507 /// 652494	263.53	1068.49	4.05
209829_at	FAM65B	9750	147.39	596.68	4.05
1555349_a_at	ITGB2	3689	199.88	806.93	4.04
233813_at	PPP1R16B	26051	202.08	813.33	4.02
227260_at	ANKRD10	55608	1626.19	6539.18	4.02
204438_at	MRC1 /// MRC1L1	414308 /// 4360	759.24	3052.48	4.02
234411_x_at	CD44	960	95.26	382.8	4.02
205883_at	ZBTB16	7704	150.76	604.23	4.01
1555938_x_at	VIM	7431	243.29	969.26	3.98
201169_s_at	BHLHE40	8553	235.42	936.89	3.98
212588_at	PTPRC	5788	1833.98	7298.22	3.98
1555778_a_at	POSTN	10631	741.37	2948.01	3.98
205083_at	AOX1	316	152.09	604.77	3.98
238592_at	PDLIM3	27295	126.01	495.83	3.93
205987_at	CD1C	911	166.86	655.72	3.93
214319_at	FRY	10129	88.14	344.66	3.91
209959_at	NR4A3	8013	280.43	1093.23	3.9
204774_at	EVI2A	2123	658.37	2546.38	3.87
210982_s_at	HLA-DRA	3122	4226.75	16327.93	3.86
242946_at	CD53	963	174.4	673.16	3.86
218870_at	ARHGAP15	55843	269.35	1039.62	3.86
210084_x_at	TPSAB1	7177	83.33	321.19	3.85
211339_s_at	ITK	3702	286.85	1105.14	3.85
208335_s_at	DARC	2532	314.01	1202.47	3.83
209447_at	SYNE1	23345	281.87	1074.82	3.81
216510_x_at	IGHA1 /// IGHG1 /// IGHM /// IGHV3-23 /// IGHV4-31 /// LOC100132941 /// LOC100289290 /// LOC100291056 /// LOC100293211 /// LOC100293324	100132941 /// 100289290 /// 100291056 /// 100293211 /// 100293324 /// 28396 /// 28442 /// 3493 /// 3500 /// 3507	271.11	1031.98	3.81
229339_at	MYOCD	93649	123.2	467.99	3.8
200974_at	ACTA2	59	8200.44	31115.27	3.79
209821_at	IL33	90865	301.44	1141.24	3.79
216557_x_at	IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31 /// LOC100132941 /// LOC100289290 /// LOC100290036 /// LOC100290320 /// LOC100291190 /// LOC100293211 /// LOC100293324	100132941 /// 100289290 /// 100290036 /// 100290320 /// 100291190 /// 100293211 /// 100293324 /// 28396 /// 28442 /// 3493 /// 3495 /// 3500 /// 3502 /// 3507	341.7	1293.13	3.78
219607_s_at	MS4A4A	51338	480.28	1811.67	3.77
211645_x_at	---	---	1052.47	3962.37	3.76
205547_s_at	TAGLN	6876	1863.88	7015.3	3.76
220059_at	STAP1	26228	117.99	442.53	3.75
213160_at	DOCK2	1794	201.92	755.33	3.74
209305_s_at	GADD45B	4616	222.12	830.52	3.74
209392_at	ENPP2	5168	1361.19	5083.38	3.73
210299_s_at	FHL1	2273	270.85	1010.86	3.73
211813_x_at	DCN	1634	2903.16	10802.84	3.72
202388_at	RGS2	5997	4579.1	16923.48	3.7
208894_at	HLA-DRA	3122	4998.2	18472	3.7
209189_at	FOS	2353	2565.08	9450.7	3.68
213765_at	MFAP5	8076	163.93	603.95	3.68
201041_s_at	DUSP1	1843	15631.13	57209.12	3.66
230847_at	WRNIP1	56897	469.45	1715.01	3.65
215193_x_at	HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4	3123 /// 3125 /// 3126	4275.84	15589.67	3.65
203416_at	CD53	963	1574.31	5701.07	3.62
1555191_a_at	FHL5	9457	57.32	206.99	3.61
202803_s_at	ITGB2	3689	554.79	1999.03	3.6
210356_x_at	MS4A1	931	173.49	621.21	3.58
211734_s_at	FCER1A	2205	145.6	521.16	3.58
1555638_a_at	SAMSN1	64092	217.25	776.79	3.58
211908_x_at	IGHG1	3500	218.34	779.93	3.57
228527_s_at	SLC25A37	51312	57.01	203.26	3.57
206211_at	SELE	6401	592.37	2105.86	3.55
1552798_a_at	TLR4	7099	40.28	142.98	3.55
203760_s_at	SLA	6503	303.87	1077.67	3.55
205624_at	CPA3	1359	1226.84	4336.47	3.53
209994_s_at	ABCB1 /// ABCB4	5243 /// 5244	135.33	476.38	3.52
213714_at	CACNB2	783	99.87	351.43	3.52
1554309_at	EIF4G3	8672	127.96	450.03	3.52
209542_x_at	IGF1	3479	194.18	682.28	3.51
239144_at	B3GAT2	135152	119.13	417.26	3.5
215033_at	TM4SF1	4071	150.19	525.95	3.5
215077_at	---	---	76.89	269.18	3.5
238488_at	IPO11 /// LRRC70	100130733 /// 51194	127.94	447.46	3.5
228094_at	AMICA1	120425	222.49	777.43	3.49
228224_at	PRELP	5549	125.58	438.74	3.49
207957_s_at	PRKCB	5579	162.24	565.35	3.48
211742_s_at	EVI2B	2124	602.01	2096.13	3.48
207317_s_at	CASQ2	845	178.68	622.12	3.48
202902_s_at	CTSS	1520	728.92	2537.42	3.48
218469_at	GREM1	26585	2751.59	9572.12	3.48
210116_at	SH2D1A	4068	190.19	661.52	3.48
1562255_at	SYTL3	94120	173.82	603.09	3.47
214973_x_at	IGHD /// LOC100290059 /// LOC100292999	100290059 /// 100292999 /// 3495	376.01	1300.97	3.46
1554343_a_at	STAP1	26228	47.98	165.61	3.45
210915_x_at	TRBC1	28639	743.71	2562.29	3.45
203649_s_at	PLA2G2A	5320	123.47	424.98	3.44
209374_s_at	IGHM	3507	2213.08	7590.51	3.43
220330_s_at	SAMSN1	64092	592.6	2024.69	3.42
1552455_at	PRUNE2	158471	167.34	570.95	3.41
206093_x_at	TNXA /// TNXB	7146 /// 7148	123.77	422.22	3.41
1558662_s_at	BANK1	55024	227.11	774.72	3.41
211302_s_at	PDE4B	5142	104.44	356.08	3.41
218232_at	C1QA	712	391.07	1332.25	3.41
208763_s_at	TSC22D3	1831	1897.32	6436.53	3.39
232629_at	PROK2	60675	90.98	308.51	3.39
206682_at	CLEC10A	10462	194.52	659.2	3.39
204052_s_at	SFRP4	6424	247.46	837.74	3.39
1557166_at	PDCD4	27250	41.71	140.92	3.38
205158_at	RNASE4	6038	190.04	641.25	3.37
215379_x_at	IGL@ /// IGLV1-44	28823 /// 3535	14697.89	49578.73	3.37
1554779_s_at	PHLDB2	90102	119.21	401.98	3.37
236778_at	---	---	485.02	1633.54	3.37
207802_at	CRISP3	10321	954.58	3213.1	3.37
234103_at	KCNT2	343450	87.69	295.11	3.37
227762_at	---	---	284.51	956.19	3.36
209606_at	CYTIP	9595	737.84	2477.03	3.36
217148_x_at	LOC100293440	100293440	1337.32	4483.18	3.35
206978_at	CCR2	729230	186.86	624.13	3.34
228055_at	NAPSB	256236	144.23	480.46	3.33
219279_at	DOCK10	55619	299.85	998.62	3.33
204894_s_at	AOC3	8639	439.59	1463.02	3.33
210034_s_at	RPL5	6125	230.74	767.12	3.32
211748_x_at	PTGDS	5730	834.57	2771.37	3.32
213451_x_at	TNXA /// TNXB	7146 /// 7148	131.16	435.07	3.32
215382_x_at	TPSAB1	7177	107.41	355.86	3.31
209083_at	CORO1A	11151	393.62	1304.02	3.31
209312_x_at	HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5	3123 /// 3126 /// 3127	8137.84	26943.79	3.31
235777_at	ANKRD44	91526	88.24	292.11	3.31
209199_s_at	MEF2C	4208	733.82	2426.99	3.31
1555884_at	PSMD6	9861	52.71	173.86	3.3
200795_at	SPARCL1	8404	7765.44	25553.59	3.29
1562637_at	SAMD12	401474	58.14	190.79	3.28
213416_at	ITGA4	3676	408.93	1341.31	3.28
210954_s_at	TSC22D2	9819	51.69	169.02	3.27
210432_s_at	SCN3A	6328	68.92	225.28	3.27
203799_at	CD302	9936	467.43	1525.27	3.26
211794_at	FYB	2533	160.43	523.25	3.26
1569599_at	SAMSN1	64092	50.39	164.06	3.26
201289_at	CYR61	3491	3983.55	12955.99	3.25
205242_at	CXCL13	10563	944.12	3058.47	3.24
226103_at	NEXN	91624	436.55	1408.41	3.23
208791_at	CLU	1191	992.43	3193.93	3.22
228471_at	ANKRD44	91526	467.02	1501.42	3.21
230494_at	SLC20A1	6574	1413.68	4542.97	3.21
201058_s_at	MYL9	10398	819.42	2631.18	3.21
205132_at	ACTC1	70	268.88	862.46	3.21
204236_at	FLI1	2313	343.35	1096.27	3.19
242767_at	LMCD1	29995	138.86	441.32	3.18
206134_at	ADAMDEC1	27299	532.72	1692.63	3.18
204118_at	CD48	962	463.84	1471.38	3.17
206898_at	CDH19	28513	162.14	511.28	3.15
1556498_at	RPL5	6125	56.44	177.74	3.15
203697_at	FRZB	2487	328.07	1032.66	3.15
209924_at	CCL18	6362	1025.74	3222.34	3.14
211896_s_at	DCN	1634	4461.78	14014.86	3.14
205681_at	BCL2A1	597	246.96	775.72	3.14
228186_s_at	RSPO3	84870	305.39	955.05	3.13
216333_x_at	TNXA /// TNXB	7146 /// 7148	130.11	405.72	3.12
210656_at	EED	8726	246.41	765.93	3.11
204931_at	TCF21	6943	126.97	394.31	3.11
215051_x_at	AIF1	199	656.46	2038.09	3.1
202672_s_at	ATF3	467	2027.41	6271.52	3.09
209823_x_at	HLA-DQB1	3119	944.13	2916.84	3.09
1554602_at	RBM8A	9939	234.14	722.17	3.08
215925_s_at	CD72	971	68.43	211.01	3.08
221031_s_at	APOLD1	81575	1143.42	3517.21	3.08
205997_at	ADAM28	10863	324.59	997.72	3.07
224357_s_at	MS4A4A	51338	118.93	364.92	3.07
208792_s_at	CLU	1191	1790.85	5469.19	3.05
230130_at	---	---	450.24	1371.79	3.05
201137_s_at	HLA-DPB1	3115	5212.22	15869.76	3.04
227510_x_at	MALAT1	378938	1465.78	4454.66	3.04
204951_at	RHOH	399	255.72	775.62	3.03
203471_s_at	PLEK	5341	414.99	1257.96	3.03
223501_at	TNFSF13B	10673	894.46	2710.41	3.03
203698_s_at	FRZB	2487	285.41	864.17	3.03
202746_at	ITM2A	9452	459.81	1390.13	3.02
1554929_at	QSK	23387	51.88	156.47	3.02
224356_x_at	MS4A6A	64231	839.45	2527.56	3.01
209457_at	DUSP5	1847	796.81	2398.21	3.01
215646_s_at	VCAN	1462	170.58	513.31	3.01
1554741_s_at	FGF7 /// KGFLP1 /// KGFLP2	2252 /// 387628 /// 654466	432.15	1300.01	3.01
222043_at	CLU	1191	962.19	2893.19	3.01
243140_at	ACTA2	59	248.92	747.87	3
209683_at	FAM49A	81553	91.07	272.56	2.99
1556990_at	PERP	64065	62.63	187.09	2.99
235944_at	HMCN1	83872	434.56	1294.99	2.98
206398_s_at	CD19	930	115.89	345.11	2.98
223280_x_at	MS4A6A	64231	880.04	2620.23	2.98
212671_s_at	HLA-DQA1 /// HLA-DQA2 /// LOC100294224 /// LOC100294317	100294224 /// 100294317 /// 3117 /// 3118	3164.21	9381.23	2.96
232304_at	PELI1	57162	990.39	2933.55	2.96
225242_s_at	CCDC80	151887	1695.99	5023.37	2.96
226841_at	MPEG1	219972	665.36	1968.3	2.96
212827_at	IGHM	3507	277.32	818.96	2.95
210401_at	P2RX1	5023	96.97	286.27	2.95
206637_at	P2RY14	9934	534.21	1573.35	2.95
223343_at	MS4A7	58475	1038.49	3054.69	2.94
206214_at	PLA2G7	7941	533.87	1569.34	2.94
1555843_at	HNRNPM	4670	640.98	1883.81	2.94
205226_at	PDGFRL	5157	136.23	399.87	2.94
206392_s_at	RARRES1	5918	194.59	570.61	2.93
226641_at	---	---	808.85	2365.12	2.92
208885_at	LCP1	3936	608.74	1775.34	2.92
239328_at	---	---	143.37	417.98	2.92
201721_s_at	LAPTM5	7805	3006.16	8729.15	2.9
211577_s_at	IGF1	3479	174.93	506.61	2.9
219243_at	GIMAP4	55303	250.02	723.94	2.9
215784_at	CD1E	913	56.44	163.4	2.9
205922_at	VNN2	8875	354.07	1025.02	2.89
222142_at	CYLD	1540	280.9	812.25	2.89
206049_at	SELP	6403	440.21	1271.24	2.89
209960_at	HGF	3082	185.12	534.54	2.89
206715_at	TFEC	22797	230.01	663.81	2.89
204834_at	FGL2	10875	1007.79	2904.79	2.88
204959_at	MNDA	4332	570.66	1644.42	2.88
210322_x_at	UTY	7404	164.01	472.03	2.88
204890_s_at	LCK	3932	181.27	521.57	2.88
224126_at	SLC10A7	84068	52.11	149.9	2.88
219574_at	40969	55016	228.41	656.63	2.87
228071_at	GIMAP7	168537	423.67	1217.81	2.87
211470_s_at	SULT1C2	6819	128.89	370.19	2.87
214470_at	KLRB1	3820	196.66	564.74	2.87
211798_x_at	IGLJ3	28831	738.21	2118.29	2.87
206932_at	CH25H	9023	509.72	1461.27	2.87
211324_s_at	RGPD5 /// RGPD7 /// RGPD8	652919 /// 727851 /// 84220	47.57	136.16	2.86
203761_at	SLA	6503	798.98	2285.71	2.86
60084_at	CYLD	1540	227.09	647.83	2.85
205804_s_at	TRAF3IP3	80342	169.44	482.69	2.85
206496_at	FMO3	2328	213.99	608.81	2.85
210764_s_at	CYR61	3491	503.49	1431.1	2.84
208306_x_at	---	730415	11425.8	32453.94	2.84
208983_s_at	PECAM1	5175	194.46	552.11	2.84
240369_at	TTC7A	57217	111.92	317.57	2.84
239027_at	DOCK8	81704	94.26	267.12	2.83
201531_at	ZFP36	7538	2837.43	8030.32	2.83
218468_s_at	GREM1	26585	2489.55	7040.05	2.83
214927_at	ITGBL1	9358	286.03	808.71	2.83
205051_s_at	KIT	3815	454.43	1283.52	2.82
235778_s_at	ANKRD44	91526	72.56	204.48	2.82
227529_s_at	AKAP12	9590	166.61	469.37	2.82
211881_x_at	IGLJ3	28831	562.54	1584.01	2.82
205407_at	RECK	8434	551.91	1553.64	2.82
212998_x_at	HLA-DQB1 /// LOC100294318	100294318 /// 3119	1879.41	5272.35	2.81
223344_s_at	MS4A7	58475	181.77	509.77	2.8
227346_at	IKZF1	10320	846.1	2368.59	2.8
231124_x_at	LY9	4063	237.14	663.43	2.8
203473_at	SLCO2B1	11309	530.01	1480.77	2.79
217480_x_at	LOC100287723 /// LOC642424 /// LOC642838	100287723 /// 642424 /// 642838	921.88	2575.12	2.79
220532_s_at	TMEM176B	28959	740.38	2066.56	2.79
207574_s_at	GADD45B	4616	1819.02	5070.99	2.79
203708_at	PDE4B	5142	993.75	2769.89	2.79
213071_at	DPT	1805	209.89	585.02	2.79
221019_s_at	COLEC12	81035	325.63	906.76	2.78
230422_at	FPR3	2359	318.41	885.87	2.78
1555812_a_at	ARHGDIB	397	528.42	1469.36	2.78
202340_x_at	NR4A1	3164	423.05	1176.27	2.78
201893_x_at	DCN	1634	9236.23	25671.06	2.78
240052_at	ITPR1	3708	167.91	466.67	2.78
223987_at	CHRDL2	25884	104.76	290.53	2.77
219213_at	JAM2	58494	343.07	950.59	2.77
214340_at	ALOX12P2	245	153.67	425.32	2.77
202436_s_at	CYP1B1	1545	565.73	1565.49	2.77
1553856_s_at	P2RY10	27334	95.12	262.91	2.76
1555724_s_at	TAGLN	6876	308.5	850.65	2.76
204982_at	GIT2	9815	233.6	643.68	2.76
234308_at	TUBGCP6	85378	121.88	335.14	2.75
231093_at	FCRL3	115352	338.91	931.19	2.75
222915_s_at	BANK1	55024	104.04	285.72	2.75
219666_at	MS4A6A	64231	1014.35	2783.43	2.74
205159_at	CSF2RB	1439	1608.49	4410.4	2.74
219471_at	C13orf18	80183	299.68	821.49	2.74
225782_at	MSRB3	253827	1961.75	5349.67	2.73
223925_s_at	MTPN	136319	50.41	137.29	2.72
203088_at	FBLN5	10516	186.65	507.44	2.72
209656_s_at	TMEM47	83604	1271.87	3453.33	2.72
201540_at	FHL1	2273	6168.34	16723.84	2.71
231911_at	ERMN	57471	72.81	196.97	2.71
210889_s_at	FCGR2B	2213	216.12	584.42	2.7
210538_s_at	BIRC3	330	1342.79	3630.91	2.7
206618_at	IL18R1	8809	155.84	421.3	2.7
207547_s_at	FAM107A	11170	184.38	498.42	2.7
227058_at	C13orf33	84935	261.37	706.08	2.7
240413_at	PYHIN1	149628	96.18	259.8	2.7
230550_at	MS4A6A	64231	331.94	893.09	2.69
229127_at	---	---	250.37	672.92	2.69
243352_at	ALPK1	80216	309.87	830.52	2.68
238699_s_at	CASK	8573	112.24	300.69	2.68
1557257_at	BCL10	8915	272.02	727.77	2.68
203381_s_at	APOE	348	389.14	1039.42	2.67
1556474_a_at	FLJ38379	285097	102.28	272.13	2.66
222486_s_at	ADAMTS1	9510	95.72	254.58	2.66
205782_at	FGF7	2252	88.65	235.74	2.66
218805_at	GIMAP5	55340	482.01	1280.3	2.66
217022_s_at	IGH@ /// IGHA1 /// IGHA2 /// LOC100126583	100126583 /// 3492 /// 3493 /// 3494	21553.34	57237.64	2.66
1555728_a_at	MS4A4A	51338	192.21	509.47	2.65
215967_s_at	LY9	4063	86.23	228.45	2.65
204606_at	CCL21	6366	149.09	393.69	2.64
209436_at	SPON1	10418	881.14	2323.44	2.64
1554547_at	FAM13C	220965	510.74	1343.18	2.63
213566_at	RNASE6	6039	522.13	1371.09	2.63
205119_s_at	FPR1	2357	440.67	1155.77	2.62
233288_at	ATR	545	89.04	233.44	2.62
202664_at	WIPF1	7456	1697.26	4439.66	2.62
242734_x_at	GALT	2592	54.72	143.09	2.61
242814_at	SERPINB9	5272	1112.9	2910.07	2.61
231274_s_at	---	---	1001.28	2617.44	2.61
228410_at	GAB3	139716	157.24	410.38	2.61
213436_at	CNR1	1268	154.2	401.89	2.61
209685_s_at	PRKCB	5579	423.64	1103.62	2.61
224341_x_at	TLR4	7099	128.06	333.58	2.6
201957_at	PPP1R12B	4660	635.69	1655.08	2.6
209210_s_at	FERMT2	10979	3479.78	9054.26	2.6
214366_s_at	ALOX5	240	80.85	210.35	2.6
229725_at	ACSL6	23305	46.54	121.01	2.6
209901_x_at	AIF1	199	265.78	689.55	2.59
208077_at	C9orf38	29044	93.21	241.41	2.59
241616_at	---	---	62.82	162.47	2.59
227645_at	PIK3R5	23533	156.04	403.53	2.59
232568_at	MGC24103	158295	420.5	1086.03	2.58
1554676_at	SRGN	5552	72.21	186.11	2.58
202957_at	HCLS1	3059	1433.38	3684.56	2.57
214060_at	SSBP1	6742	271.94	699.02	2.57
1557080_s_at	ITGBL1	9358	207.75	533.89	2.57
1565754_x_at	FGD2	221472	205.98	528.67	2.57
205504_at	BTK	695	157.71	404.16	2.56
1554921_a_at	SCEL	8796	222.92	571.29	2.56
205357_s_at	AGTR1	185	129.74	332.47	2.56
201525_at	APOD	347	286.16	733.09	2.56
230836_at	ST8SIA4	7903	400.58	1025.96	2.56
230925_at	APBB1IP	54518	569.21	1456.65	2.56
202283_at	SERPINF1	5176	1529.41	3909.44	2.56
215602_at	FGD2	221472	102.93	262.96	2.55
242292_at	CXorf50B	653687	91.1	232.28	2.55
217757_at	A2M	2	5020.32	12760.67	2.54
220301_at	CCDC102B	79839	182.87	464.65	2.54
213375_s_at	N4BP2L1	90634	1041.61	2646.27	2.54
227530_at	AKAP12	9590	732.13	1859.66	2.54
242784_at	---	---	280.36	711.7	2.54
210815_s_at	CALCRL	10203	71.67	181.64	2.53
228728_at	C7orf58	79974	464.57	1175.42	2.53
205237_at	FCN1	2219	164.6	415.74	2.53
225442_at	DDR2	4921	909.14	2295.46	2.52
222513_s_at	SORBS1	10580	461.61	1162.22	2.52
232267_at	GPR133	283383	137.84	346.79	2.52
1569003_at	TMEM49	81671	3689.51	9277.85	2.51
236341_at	CTLA4	1493	476.13	1197.08	2.51
209894_at	LEPR	3953	605.85	1521.53	2.51
232204_at	EBF1	1879	211.03	527.38	2.5
201852_x_at	COL3A1	1281	12876.81	32083.7	2.49
223997_at	FNIP1	96459	92.03	229.17	2.49
209200_at	MEF2C	4208	728.86	1813.47	2.49
1555103_s_at	FGF7	2252	38.13	94.86	2.49
205270_s_at	LCP2	3937	308.26	766.69	2.49
205857_at	SLC18A2	6571	138.75	344.82	2.49
213975_s_at	LYZ	4069	7758.44	19259.02	2.48
210198_s_at	PLP1	5354	99.85	247.66	2.48
233011_at	ANXA1	301	171.37	424.76	2.48
203868_s_at	VCAM1	7412	2244.13	5548.46	2.47
235593_at	ZEB2	9839	140.39	346.93	2.47
204642_at	S1PR1	1901	331.16	818.16	2.47
1568768_s_at	LOC100302650 /// RBKS	100302650 /// 64080	119.67	295.54	2.47
214511_x_at	FCGR1B	2210	187.33	462.56	2.47
219371_s_at	KLF2	10365	695.06	1715.85	2.47
224856_at	FKBP5	2289	752.92	1856.83	2.47
219971_at	IL21R	50615	57.12	140.68	2.46
227368_at	---	---	814.88	2005.2	2.46
238189_at	SIN3A	25942	65.36	160.55	2.46
1555476_at	IREB2	3658	139.09	341.04	2.45
219778_at	ZFPM2	23414	245.71	602.16	2.45
