Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1453076_at	9130211I03Rik	RIKEN cDNA 9130211I03 gene	139	382	-2.8	0.0336
1434270_at	Npcd /// Nptxr	neuronal pentraxin receptor /// neuronal pentraxin with chromo domain	289	790	-2.7	0.0422
1431099_at	Hoxd8	homeo box D8	1004	2741	-2.7	0.0011
1433745_at	Trio	triple functional domain (PTPRF interacting)	830	2267	-2.7	0.0268
1452210_at	Dna2l	DNA2 DNA replication helicase 2-like (yeast)	189	516	-2.7	0.0006
1437869_at	3222402P14Rik	RIKEN cDNA 3222402P14 gene	75	204	-2.7	0.0393
1460223_a_at	Epb4.9	erythrocyte protein band 4.9	41	112	-2.7	0.0201
1436311_at	Gemin5	gem (nuclear organelle) associated protein 5	11	30	-2.7	0.0473
1434390_at	Hnrpu	Heterogeneous nuclear ribonucleoprotein U	34	91	-2.7	0.0219
1428808_at	Prickle2	prickle-like 2 (Drosophila)	184	493	-2.7	0.0425
1434116_at	Cbx2	chromobox homolog 2 (Drosophila Pc class)	28	76	-2.7	0.0057
1449363_at	Atf3	activating transcription factor 3	293	784	-2.7	0.0021
1416612_at	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1	1979	5261	-2.7	0.0141
1444947_at	Lasp1	LIM and SH3 protein 1	22	60	-2.7	0.0477
1456498_at	Itga4	integrin alpha 4	487	1286	-2.6	0.0110
1442082_at	C3ar1	complement component 3a receptor 1	103	273	-2.6	0.0095
1442845_at	C130075A20Rik	RIKEN cDNA C130075A20 gene	47	123	-2.6	0.0113
1447272_s_at	Atp10a	ATPase, class V, type 10A	88	229	-2.6	0.0348
1459713_s_at	Tmem16a	transmembrane protein 16A	848	2212	-2.6	0.0058
1427671_a_at	Fmn1	formin 1	50	130	-2.6	0.0276
1426782_at	Gpr125	G protein-coupled receptor 125	166	433	-2.6	0.0218
1452288_at	BB128963	expressed sequence BB128963	2401	6226	-2.6	0.0061
1456429_at	Malt1	mucosa associated lymphoid tissue lymphoma translocation gene 1	12	32	-2.6	0.0218
1428804_at	Mfap3l	microfibrillar-associated protein 3-like	2663	6857	-2.6	0.0144
1422914_at	Sp5	trans-acting transcription factor 5	5	12	-2.6	0.0295
1451382_at	Chac1	ChaC, cation transport regulator-like 1 (E. coli)	84	215	-2.6	0.0189
1442222_at	Ifnar1	interferon (alpha and beta) receptor 1	16	42	-2.6	0.0217
1416564_at	Sox7	SRY-box containing gene 7	713	1822	-2.6	0.0339
1429158_at	Fbxo28	F-box protein 28	158	402	-2.6	0.0278
1457522_at	Smek1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)	28	72	-2.5	0.0441
1423417_at	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	60	152	-2.5	0.0313
1438999_a_at	Nfat5	nuclear factor of activated T-cells 5	380	948	-2.5	0.0278
1450209_at	Hoxd4	homeo box D4	4	11	-2.5	0.0224
1448323_a_at	Bgn	biglycan	75	186	-2.5	0.0310
1437065_at	Zbtb20	zinc finger and BTB domain containing 20	153	381	-2.5	0.0071
1437745_at	Chd7	chromodomain helicase DNA binding protein 7	109	270	-2.5	0.0253
1434475_at	Ppig	peptidyl-prolyl isomerase G (cyclophilin G)	31	76	-2.5	0.0127
1426642_at	Fn1	fibronectin 1	9750	23923	-2.5	0.0136
1460056_at	1700109F18Rik	RIKEN cDNA 1700109F18 gene	387	949	-2.4	0.0408
1424086_at	Oaf	OAF homolog (Drosophila)	639	1565	-2.4	0.0196
1423721_at	Tpm1	tropomyosin 1, alpha	3646	8918	-2.4	0.0400
1418753_at	Gfpt2	glutamine fructose-6-phosphate transaminase 2	1341	3278	-2.4	0.0069
1424099_at	2310016C16Rik	RIKEN cDNA 2310016C16 gene	1072	2617	-2.4	0.0110
1417008_at	Crat	carnitine acetyltransferase	18	45	-2.4	0.0271
1429735_at	1110003F05Rik	RIKEN cDNA 1110003F05 gene	71	173	-2.4	0.0175
1421205_at	Atm	ataxia telangiectasia mutated homolog (human)	34	82	-2.4	0.0479
1438271_at	Lpp	LIM domain containing preferred translocation partner in lipoma	929	2233	-2.4	0.0479
1417175_at	Csnk1e	casein kinase 1, epsilon	59	141	-2.4	0.0354
1415892_at	Sgpl1	sphingosine phosphate lyase 1	47	113	-2.4	0.0273
1429183_at	Pkp2	plakophilin 2	146	348	-2.4	0.0070
1439794_at			157	375	-2.4	0.0393
1451924_a_at	Edn1	endothelin 1	1881	4447	-2.4	0.0418
1436003_at	Vcam1	vascular cell adhesion molecule 1	657	1549	-2.4	0.0470
1454877_at	Sertad4	SERTA domain containing 4	338	795	-2.4	0.0013
1428834_at	Dusp4	dual specificity phosphatase 4	1458	3404	-2.3	0.0195
1443534_at			242	566	-2.3	0.0419
1418350_at	Hbegf	heparin-binding EGF-like growth factor	2012	4688	-2.3	0.0189
1455649_at	Ttc9	tetratricopeptide repeat domain 9	1105	2571	-2.3	0.0179
1439488_at		7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430040N23 product:unclassifiable, full insert sequence	22	52	-2.3	0.0195
1424380_at	Vps37b	vacuolar protein sorting 37B (yeast)	66	152	-2.3	0.0446
1449314_at	Zfpm2	zinc finger protein, multitype 2	175	404	-2.3	0.0400
1455647_at	Ar	androgen receptor	72	167	-2.3	0.0418
1454788_at	Arl4c /// LOC632433	ADP-ribosylation factor-like 4C /// similar to ADP-ribosylation factor-like protein 7	740	1704	-2.3	0.0064
1426848_at	Sec24b	SEC24 related gene family, member B (S. cerevisiae)	145	333	-2.3	0.0310
1434967_at	Zswim6	zinc finger, SWIM domain containing 6	274	627	-2.3	0.0284
1435078_at	Tanc2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2	22	50	-2.3	0.0408
1449158_at	Kcnk2	potassium channel, subfamily K, member 2	75	171	-2.3	0.0221
1417476_at	Fbxw5	F-box and WD-40 domain protein 5	114	259	-2.3	0.0160
1426297_at	Tcfe2a	transcription factor E2a	98	223	-2.3	0.0357
1440195_at	Serbp1	Serpine1 mRNA binding protein 1	36	81	-2.3	0.0245
1417962_s_at	Ghr	growth hormone receptor	1585	3601	-2.3	0.0066
1419066_at	Ier5l	immediate early response 5-like	215	489	-2.3	0.0189
1426951_at	Crim1	cysteine rich transmembrane BMP regulator 1 (chordin like)	2759	6264	-2.3	0.0011
1455002_at	Ptp4a1	protein tyrosine phosphatase 4a1	3034	6877	-2.3	0.0219
1434797_at	6720469N11Rik	RIKEN cDNA 6720469N11 gene	153	348	-2.3	0.0291
1438673_at	Slc4a7	solute carrier family 4, sodium bicarbonate cotransporter, member 7	430	972	-2.3	0.0098
1433943_at	BC063749	cDNA sequence BC063749	211	477	-2.3	0.0195
1429809_at	Tmtc2	transmembrane and tetratricopeptide repeat containing 2	177	399	-2.3	0.0157
1438739_at	Cnbp	cellular nucleic acid binding protein	81	182	-2.3	0.0067
1419136_at	Akr1c18	aldo-keto reductase family 1, member C18	268	602	-2.2	0.0304
1421344_a_at	Jub	ajuba	1659	3715	-2.2	0.0075
1416981_at	Foxo1	forkhead box O1	275	611	-2.2	0.0272
1433645_at	Slc44a1	solute carrier family 44, member 1	454	1009	-2.2	0.0035
1438133_a_at	Cyr61	cysteine rich protein 61	3747	8326	-2.2	0.0315
1424005_at	B230219D22Rik	RIKEN cDNA B230219D22 gene	788	1748	-2.2	0.0305
1418606_at	Hoxd10	homeo box D10	75	166	-2.2	0.0451
1423269_a_at	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	465	1028	-2.2	0.0151
1418471_at	Pgf	placental growth factor	687	1517	-2.2	0.0439
1438816_at	Ahctf1	AT hook containing transcription factor 1	35	77	-2.2	0.0297
1437862_at	Rbm25	RNA binding motif protein 25	265	583	-2.2	0.0102
1441358_at	Pcdhb16	protocadherin beta 16	57	126	-2.2	0.0364
1426721_s_at	Tiparp	TCDD-inducible poly(ADP-ribose) polymerase	951	2091	-2.2	0.0006
1440355_at	Kctd12b	potassium channel tetramerisation domain containing 12b	610	1340	-2.2	0.0200
1435455_at	C79267	expressed sequence C79267	35	77	-2.2	0.0084
1434786_at	Ppp1r12b	protein phosphatase 1, regulatory (inhibitor) subunit 12B	51	111	-2.2	0.0252
1424659_at	Slit2	slit homolog 2 (Drosophila)	886	1925	-2.2	0.0147
1436037_at	Itga4	integrin alpha 4	662	1437	-2.2	0.0122
1416892_s_at	3110001A13Rik	RIKEN cDNA 3110001A13 gene	2681	5821	-2.2	0.0049
1456201_at	4632427E13Rik	RIKEN cDNA 4632427E13 gene	99	215	-2.2	0.0265
1434959_at	Dhh	desert hedgehog	224	484	-2.2	0.0033
1439364_a_at	Mmp2	matrix metallopeptidase 2	112	241	-2.2	0.0148
1423077_at	Snx9	sorting nexin 9	741	1600	-2.2	0.0200
1423967_at	Palm	paralemmin	97	209	-2.2	0.0103
1429621_at	Cand2	cullin-associated and neddylation-dissociated 2 (putative)	5	12	-2.2	0.0097
1448155_at	Pdcd6ip	programmed cell death 6 interacting protein	835	1797	-2.2	0.0098
1448128_at	Ctsa	cathepsin A	2593	5566	-2.1	0.0031
1420796_at	Ahrr	aryl-hydrocarbon receptor repressor	127	274	-2.1	0.0217
1438038_at	4930402H24Rik	RIKEN cDNA 4930402H24 gene	405	865	-2.1	0.0171
1450397_at	Mtap1b	microtubule-associated protein 1 B	145	308	-2.1	0.0498
1434186_at	Gpr23	G protein-coupled receptor 23	303	643	-2.1	0.0309
1454894_at	Smurf2	SMAD specific E3 ubiquitin protein ligase 2	4396	9327	-2.1	0.0211
1416658_at	Frzb	frizzled-related protein	10	20	-2.1	0.0357
1433599_at	Baz1a	bromodomain adjacent to zinc finger domain 1A	1454	3073	-2.1	0.0298
1457166_at	AA536749	Expressed sequence AA536749	19	39	-2.1	0.0340
1433937_at	Trp53bp2	transformation related protein 53 binding protein 2	52	109	-2.1	0.0474
1418058_at	Eltd1	EGF, latrophilin seven transmembrane domain containing 1	705	1480	-2.1	0.0298
1425271_at	Psmc3ip	proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein	141	296	-2.1	0.0219
1435867_at	ENSMUSG00000073143	predicted gene, ENSMUSG00000073143	144	302	-2.1	0.0236
1450669_at	Map3k11	mitogen activated protein kinase kinase kinase 11	157	329	-2.1	0.0222
1434071_a_at	Pelo	pelota homolog (Drosophila)	77	161	-2.1	0.0379
1428853_at	Ptch1	patched homolog 1	1084	2242	-2.1	0.0098
1455750_at	A230067G21Rik	RIKEN cDNA A230067G21 gene	181	374	-2.1	0.0297
1435284_at	Rtn4	reticulon 4	1413	2915	-2.1	0.0268
1448650_a_at	Pole	polymerase (DNA directed), epsilon	395	814	-2.1	0.0259
1422123_s_at	Ceacam1 /// Ceacam2	CEA-related cell adhesion molecule 1 /// CEA-related cell adhesion molecule 2	344	708	-2.1	0.0252
1424156_at	Rbl1	retinoblastoma-like 1 (p107)	595	1223	-2.1	0.0298
1418539_a_at	Ptpre	protein tyrosine phosphatase, receptor type, E	626	1284	-2.1	0.0061
1453069_at	Pik3cb	phosphatidylinositol 3-kinase, catalytic, beta polypeptide	80	164	-2.0	0.0241
1423165_a_at	Mta2	metastasis-associated gene family, member 2	340	695	-2.0	0.0356
1436838_x_at	Cotl1	coactosin-like 1 (Dictyostelium)	17	35	-2.0	0.0298
1438081_at	Mcc	mutated in colorectal cancers	350	714	-2.0	0.0356
1438211_s_at	Dbp	D site albumin promoter binding protein	590	1201	-2.0	0.0422
1435013_at	Heatr2	HEAT repeat containing 2	94	192	-2.0	0.0400
1429290_at	Cbx6	chromobox homolog 6	1418	2884	-2.0	0.0033
1454995_at	Ddah1	dimethylarginine dimethylaminohydrolase 1	2315	4700	-2.0	0.0037
1428615_at	P2ry5	purinergic receptor P2Y, G-protein coupled, 5	3366	6826	-2.0	0.0015
1448957_at	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	116	234	-2.0	0.0311
1433575_at	LOC672274	similar to Transcription factor SOX-4	1442	2908	-2.0	0.0190
1428395_at	LOC640390 /// Smurf1	SMAD specific E3 ubiquitin protein ligase 1 /// similar to Smad ubiquitination regulatory factor 1 (Ubiquitin--protein ligase SMURF1) (Smad-specific E3 ubiquitin ligase 1) (hSMURF1)	379	762	-2.0	0.0256
1427266_at	Pbrm1	polybromo 1	816	1640	-2.0	0.0492
1417487_at	Fosl1	fos-like antigen 1	1176	2361	-2.0	0.0035
1422437_at	Col5a2	procollagen, type V, alpha 2	4622	9269	-2.0	0.0126
1453107_s_at	4933413G19Rik /// Foxm1 /// Pebp1	forkhead box M1 /// phosphatidylethanolamine binding protein 1 /// RIKEN cDNA 4933413G19 gene	508	1015	-2.0	0.0402
1436460_at	BC030440	cDNA sequence BC030440	34	67	-2.0	0.0364
1455015_at	Tbc1d9	TBC1 domain family, member 9	159	317	-2.0	0.0452
1449419_at	Dock8	dedicator of cytokinesis 8	191	382	-2.0	0.0146
1438063_at	Mphosph9	M-phase phosphoprotein 9	23	46	-2.0	0.0495
1422631_at	Ahr	aryl-hydrocarbon receptor	846	1684	-2.0	0.0297
1436240_at	Sost	sclerostin	108	216	-2.0	0.0124
1439673_at	E230008O15Rik	RIKEN cDNA E230008O15 gene	31	62	-2.0	0.0245
1416749_at	Htra1	HtrA serine peptidase 1	403	800	-2.0	0.0342
1434177_at	Ece1	endothelin converting enzyme 1	132	262	-2.0	0.0472
1429560_at	Zfp422-rs1	zinc finger protein 422, related sequence 1	507	1004	-2.0	0.0183
1426206_at	Robo4	roundabout homolog 4 (Drosophila)	798	1578	-2.0	0.0272
1453111_a_at	Slc25a39	solute carrier family 25, member 39	280	554	-2.0	0.0418
1452833_at	Rapgef2	Rap guanine nucleotide exchange factor (GEF) 2	3637	7176	-2.0	0.0093
1427294_a_at	1810073N04Rik	RIKEN cDNA 1810073N04 gene	351	691	-2.0	0.0065
1451264_at	Frmd6	FERM domain containing 6	471	925	-2.0	0.0201
1455352_at	AU023006	expressed sequence AU023006	151	297	-2.0	0.0305
1423277_at	Ptprk	protein tyrosine phosphatase, receptor type, K	948	1855	-2.0	0.0069
1417292_at	Ifi47	interferon gamma inducible protein 47	696	1360	-2.0	0.0005
1454967_at		Transcribed locus	140	273	-1.9	0.0082
1454034_a_at	Usp21	ubiquitin specific peptidase 21	187	363	-1.9	0.0149
1424113_at	Lamb1-1	laminin B1 subunit 1	507	985	-1.9	0.0278
1419168_at	Mapk6	mitogen-activated protein kinase 6	203	393	-1.9	0.0465
1439111_at			23	44	-1.9	0.0418
1429897_a_at	D16Ertd472e	DNA segment, Chr 16, ERATO Doi 472, expressed	171	332	-1.9	0.0099
1448914_a_at	Csf1	colony stimulating factor 1 (macrophage)	231	447	-1.9	0.0211
1416308_at	Ugdh	UDP-glucose dehydrogenase	4958	9579	-1.9	0.0118
1448908_at	Ppap2b	phosphatidic acid phosphatase type 2B	750	1449	-1.9	0.0472
1426981_at	Pcsk6	proprotein convertase subtilisin/kexin type 6	97	187	-1.9	0.0236
1454656_at	Spata13	spermatogenesis associated 13	349	672	-1.9	0.0384
1436985_at	Zfp644	zinc finger protein 644	62	119	-1.9	0.0108
1417960_at	Cpeb1	cytoplasmic polyadenylation element binding protein 1	280	539	-1.9	0.0493
1435349_at	Nrp2	neuropilin 2	1694	3250	-1.9	0.0207
1438481_at	Prpf4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	24	46	-1.9	0.0393
1434576_at	Tsga14	testis specific gene A14	103	196	-1.9	0.0451
1425179_at	Shmt1	serine hydroxymethyltransferase 1 (soluble)	159	304	-1.9	0.0444
1416454_s_at	Acta2	actin, alpha 2, smooth muscle, aorta	546	1043	-1.9	0.0283
1455353_at	Tmcc1	transmembrane and coiled coil domains 1	159	304	-1.9	0.0093
1449195_s_at	Cxcl16	chemokine (C-X-C motif) ligand 16	58	112	-1.9	0.0397
1452521_a_at	Plaur	plasminogen activator, urokinase receptor	799	1523	-1.9	0.0386
1455197_at	Rnd1	Rho family GTPase 1	1072	2039	-1.9	0.0232
1417706_at	Naglu	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)	19	36	-1.9	0.0427
1428911_at	Ttll4	tubulin tyrosine ligase-like family, member 4	463	879	-1.9	0.0067
1429009_at	Snrp70	U1 small nuclear ribonucleoprotein polypeptide A	30	57	-1.9	0.0350
1427147_at	F730047E07Rik	RIKEN cDNA F730047E07 gene	92	174	-1.9	0.0481
1430309_at	Nipbl	Nipped-B homolog (Drosophila)	644	1220	-1.9	0.0110
1433909_at	Syt17	synaptotagmin XVII	352	666	-1.9	0.0271
1445037_at	6430510B20Rik	RIKEN cDNA 6430510B20 gene	42	80	-1.9	0.0456
1415703_at	Huwe1	HECT, UBA and WWE domain containing 1	577	1088	-1.9	0.0137
1455160_at	2610203C20Rik	RIKEN cDNA 2610203C20 gene	1186	2234	-1.9	0.0251
1430388_a_at	Sulf2	sulfatase 2	157	296	-1.9	0.0144
1456880_at	Sfrs8	Splicing factor, arginine/serine-rich 8	96	181	-1.9	0.0386
1424843_a_at	Gas5	growth arrest specific 5	47	88	-1.9	0.0345
1418090_at	Plvap	plasmalemma vesicle associated protein	6788	12753	-1.9	0.0043
1451601_a_at	BC011467	cDNA sequence BC011467	1691	3173	-1.9	0.0466
1428967_at	Igf1r	insulin-like growth factor I receptor	256	480	-1.9	0.0413
1422622_at	Nos3	nitric oxide synthase 3, endothelial cell	3517	6598	-1.9	0.0118
1429749_at	9330180L21Rik	RIKEN cDNA 9330180L21 gene	40	75	-1.9	0.0058
1430139_at	Hells	helicase, lymphoid specific	368	688	-1.9	0.0061
1422546_at	Ilf3	interleukin enhancer binding factor 3	45	85	-1.9	0.0251
1433460_at	Ttc7b	tetratricopeptide repeat domain 7B	817	1523	-1.9	0.0395
1427891_at	Gimap6	GTPase, IMAP family member 6	203	378	-1.9	0.0019
1452439_s_at	Sfrs2	splicing factor, arginine/serine-rich 2 (SC-35)	175	326	-1.9	0.0241
1456791_at	AA407452	EST AA407452	174	323	-1.9	0.0305
1430075_at	Sf3b3	splicing factor 3b, subunit 3	51	94	-1.9	0.0304
1418379_s_at	Gpr124	G protein-coupled receptor 124	459	849	-1.9	0.0276
1420682_at	Chrnb1	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)	162	300	-1.8	0.0454
1428951_at	Nol8	nucleolar protein 8	216	400	-1.8	0.0405
1452072_at	Myct1	myc target 1	877	1621	-1.8	0.0089
1424089_a_at	Tcf4	transcription factor 4	4317	7975	-1.8	0.0063
1431293_a_at	Cldnd1	claudin domain containing 1	842	1554	-1.8	0.0163
1434131_at	Rufy1	RUN and FYVE domain containing 1	115	212	-1.8	0.0297
1434740_at	Scarf2	scavenger receptor class F, member 2	13	24	-1.8	0.0309
1416818_at	Parva	parvin, alpha	495	908	-1.8	0.0246
1416214_at	Mcm4	minichromosome maintenance deficient 4 homolog (S. cerevisiae)	2326	4264	-1.8	0.0437
1422272_at	Phxr4	per-hexamer repeat gene 4	124	228	-1.8	0.0165
1426790_at	Ssrp1	structure specific recognition protein 1	2565	4690	-1.8	0.0478
1437896_at	Zcrb1	Zinc finger CCHC-type and RNA binding motif 1	20	37	-1.8	0.0194
1417947_at	Pcna	proliferating cell nuclear antigen	10255	18735	-1.8	0.0236
1452912_at	2600005O03Rik	RIKEN cDNA 2600005O03 gene	284	517	-1.8	0.0189
1418587_at	Traf3	Tnf receptor-associated factor 3	583	1060	-1.8	0.0170
1438700_at	Fnbp4	formin binding protein 4	5	10	-1.8	0.0256
1436520_at	AI450948	expressed sequence AI450948	3341	6067	-1.8	0.0095
1452821_at	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1	137	248	-1.8	0.0398
1423369_at	Fmr1	fragile X mental retardation syndrome 1 homolog	1076	1950	-1.8	0.0340
1448894_at	Akr1b8	aldo-keto reductase family 1, member B8	3148	5704	-1.8	0.0313
1424230_at	Exoc6	exocyst complex component 6	152	275	-1.8	0.0412
1417111_at	Man1a	mannosidase 1, alpha	1359	2454	-1.8	0.0223
1448325_at	Myd116	myeloid differentiation primary response gene 116	45	82	-1.8	0.0170
1438691_at	Zzef1	zinc finger, ZZ-type with EF hand domain 1	559	1008	-1.8	0.0412
1454136_a_at	4921524J17Rik	RIKEN cDNA 4921524J17 gene	1714	3092	-1.8	0.0309
1436248_at		Adult male spinal cord cDNA, RIKEN full-length enriched library, clone:A330033L11 product:unclassifiable, full insert sequence	848	1529	-1.8	0.0121
1437645_at	Atf7	activating transcription factor 7	182	327	-1.8	0.0441
1426238_at	Bmp1	bone morphogenetic protein 1	62	112	-1.8	0.0494
1449109_at	Socs2	suppressor of cytokine signaling 2	492	886	-1.8	0.0470
1428497_at	Secisbp2	SECIS binding protein 2	78	140	-1.8	0.0351
1449300_at	Cttnbp2nl	CTTNBP2 N-terminal like	345	620	-1.8	0.0197
1416812_at	Tia1	cytotoxic granule-associated RNA binding protein 1	336	604	-1.8	0.0073
1419853_a_at	P2rx7	purinergic receptor P2X, ligand-gated ion channel, 7	95	170	-1.8	0.0451
1429559_at	Gnaq	guanine nucleotide binding protein, alpha q polypeptide	2419	4342	-1.8	0.0159
