Gene ID	Gene Name	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value(%)
BI976622	Unidentified transcripts on BTA11 position 78353538-78354540	4.994915792	2275.127597	455.4886793	1.530363262	2.376451023
XM_597858	Bos taurus similar to Homo sapiens myosin XVIIIA (MYO18A), transcript variant 2	4.773822509	25597.42035	5362.038555	1.529945596	2.376451023
BE664511	Unidentified transcripts on BTA19 position 39429270-39430514	4.574459701	375.0111237	81.97932614	1.52868756	2.376451023
NM_174003	Bos taurus calpastatin (CAST), transcript variant 2	4.512699804	3471.31769	769.2330182	1.522928312	2.376451023
BF044189	Bos taurus similar to Homo sapiens nuclear receptor co-repressor 2 (NCOR2)	4.841716797	18066.31894	3731.386965	1.51938946	2.376451023
NM_001038071	Bos taurus similar to Homo sapiens mitogen-activated protein kinase kinase 2 (MAP2K2)	5.293462302	24568.26339	4641.246502	1.486194066	2.376451023
XM_584224	Bos taurus similar to Homo sapiens chromodomain protein, Y-like (CDYL), transcript variant 1	5.827919648	907.9311852	155.7899285	1.473125775	2.376451023
XM_615751	Bos taurus similar to Homo sapiens microtubule associated serine/threonine kinase 2 (MAST2)	4.868930001	11930.54645	2450.34257	1.441205846	2.376451023
AV594534	Bos taurus similar to Homo sapiens UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2 (GalNAc-T2) (GALNT2)	4.76099899	335.9180738	70.55621614	1.441093254	2.376451023
XM_591880	PREDICTED: Bos taurus similar to Y55F3BR.8a (LOC540159)	4.601058284	1669.123901	362.7695626	1.400024594	2.376451023
XM_588240	Bos taurus similar to Homo sapiens membrane protein, palmitoylated 1, 55kDa (MPP1)	4.882964698	1790.947826	366.7746823	1.395216973	2.376451023
AW477592	Bos taurus similar to Homo sapiens checkpoint suppressor 1 (CHES1)	4.648502036	5865.02157	1261.701409	1.347261081	2.376451023
AV590162	Bos taurus similar to Homo sapiens BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) (BAP1)	4.486120576	4338.101061	967.0050075	1.333291857	2.376451023
XM_871668	PREDICTED: Bos taurus similar to HECT, UBA and WWE domain containing 1, transcript variant 4 (LOC511826)	4.59318882	2628.268379	572.2099574	1.31130502	2.376451023
BI540524	Bos taurus similar to PREDICTED: Homo sapiens hypothetical protein LOC339287, transcript variant 2 (LOC339287)	4.958745737	1325.36137	267.2775417	1.304434623	2.376451023
XM_612059	Bos taurus similar to Homo sapiens ankyrin repeat domain 11 (ANKRD11)	5.065437415	1313.372134	259.28109	1.292332558	2.376451023
NM_181010	Bos taurus endothelin 1 (EDN1)	4.346923731	88.27633396	20.30777153	2.540206246	3.780717536
CB449370	Bos taurus similar to Homo sapiens SRY (sex determining region Y)-box 7 (SOX7)	4.318926002	159.4081084	36.90920112	2.220787966	3.780717536
XM_614523	Bos taurus similar to Homo sapiens neurexophilin 3 (NXPH3)	4.319410723	61.26213594	14.18298464	2.162126643	3.780717536
XM_584953	Bos taurus similar to Homo sapiens LATS, large tumor suppressor, homolog 2 (Drosophila) (LATS2)	4.228082931	1514.414604	358.1799669	1.783528943	3.780717536
AW654419	Bos taurus similar to Homo sapiens zinc finger, DHHC-type containing 2 (ZDHHC2)	4.396995073	13.99522618	3.182906951	1.772614468	3.780717536
BE808461	Unidentified transcripts on BTA15 position 19028022-19030294	4.325392189	343.9872337	79.52740901	1.674481808	3.780717536
XM_866042	Bos taurus similar to Homo sapiens MAX interactor 1 (MXI1), transcript variant 1	4.347570683	184.918404	42.53373148	1.645456078	3.780717536
XM_871229	PREDICTED: Bos taurus similar to Transcription factor MafK (Erythroid transcription factor NF-E2 p18 subunit) (LOC618914)	4.250966943	7098.846225	1669.936821	1.611308687	3.780717536
BE722947	Bos taurus similar to Homo sapiens WAS protein family, member 3 (WASF3)	4.388353801	819.4141414	186.7247215	1.487197282	3.780717536
XM_585307	Bos taurus similar to Homo sapiens nuclear protein localization 4 homolog (S. cerevisiae) (NPLOC4)	4.197099567	5759.228462	1372.192479	1.428534285	5.424507769
XM_604080	Bos taurus similar to PREDICTED: Homo sapiens similar to matrilin 2 precursor, transcript variant 1 (LOC285929)	4.028816449	34.55016326	8.575760078	3.533063738	5.545052386
XM_589325	Bos taurus similar to Homo sapiens insulin induced gene 1 (INSIG1), transcript variant 1	3.960073241	740.707686	187.043936	3.501641346	5.545052386
NM_001014923	Bos taurus nuclear factor (erythroid-derived 2), 45kDa (NFE2)	3.920048991	52.50825041	13.39479443	2.847623742	5.545052386
XM_864368	Bos taurus similar to Homo sapiens zinc finger protein 200 (ZNF200), transcript variant 1	3.979180691	12.50709188	3.143132431	2.62663769	5.545052386
XM_866174	Bos taurus similar to Homo sapiens steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) (SRD5A1)	4.025174267	17.10004954	4.248275579	2.532938387	5.545052386
BE721292	Unidentified transcripts on BTA13 position 8766653-8767316	3.996649518	185.2534081	46.35217755	2.410474285	5.545052386
BF603082	Unidentified transcripts on BTA20 position 13344063-13344846	4.113682397	220.2306252	53.53612749	2.388375466	5.545052386
XM_869332	Bos taurus similar to Homo sapiens delta-like 4 (Drosophila) (DLL4)	4.134769558	614.9473804	148.7259137	2.27016182	5.545052386
NM_181003	Bos taurus aquaporin 4 (AQP4)	4.056728706	3403.110561	838.8804893	2.158143875	5.545052386
XM_875169	Bos taurus similar to Homo sapiens polo-like kinase 2 (Drosophila) (PLK2)	3.877552169	18.34645452	4.73145266	2.09361945	5.545052386
BF074284	Unidentified transcripts on BTA10 position 27141957-27141274	3.944645806	663.3866693	168.1739507	1.989620153	5.545052386
NM_001034212	Bos taurus similar to Homo sapiens docking protein 4 (DOK4)	3.87596837	1243.429958	320.8049807	1.984719128	5.545052386
BF654260	Bos taurus similar to Homo sapiens SH3 domain protein D19 (SH3D19)	3.939208882	962.8951536	244.4387141	1.927109295	5.545052386
BG694096	Bos taurus similar to Homo sapiens egl nine homolog 3 (C. elegans) (EGLN3)	3.952897724	2113.798708	534.7466226	1.864106355	5.545052386
CB463655	Bos taurus similar to Homo sapiens pleckstrin homology domain containing, family F (with FYVE domain) member 1 (PLEKHF1)	3.886230633	1123.252442	289.0339117	1.790679242	5.545052386
XM_612961	Bos taurus similar to Homo sapiens protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma) (PPP3CC)	3.957428552	722.8325983	182.6520906	1.66921786	5.545052386
XM_870671	Bos taurus similar to Homo sapiens nuclear prelamin A recognition factor (NARF), transcript variant 1	3.885044968	1459.174666	375.5875874	1.657365224	5.545052386
XM_871496	PREDICTED: Bos taurus similar to Insulin-like growth factor 1 receptor precursor (Insulin-like growth factor I receptor) (CD221 antigen) (LOC619174), partial mRNA.	4.032130711	5.444835963	1.350361968	1.610390485	5.545052386
XM_599007	Bos taurus similar to Homo sapiens ring finger protein 10 (RNF10)	4.04643739	9860.385278	2436.806585	1.590965829	5.545052386
CB453812	Bos taurus similar to Homo sapiens cleavage and polyadenylation specific factor 6, 68kDa (CPSF6)	3.914892336	162.684526	41.55530013	1.580487481	5.545052386
BF600572	Bos taurus similar to PREDICTED: Homo sapiens hypothetical protein LOC146517 (LOC146517)	3.957608368	608.3482666	153.7161361	1.554214731	5.545052386
XM_598276	Bos taurus similar to Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 38 (DHX38)	3.88450684	724.0093257	186.3838463	1.51024656	5.545052386
CB166473	Bos taurus similar to Homo sapiens myosin regulatory light chain interacting protein (MYLIP)	4.106189707	591.1517795	143.9660176	1.482709332	5.545052386
XM_867724	Bos taurus similar to Homo sapiens family with sequence similarity 53, member C (FAM53C)	4.00325225	8012.49516	2001.496448	1.429972581	5.545052386
XM_867435	Bos taurus similar to Homo sapiens katanin p80 (WD repeat containing) subunit B 1 (KATNB1)	4.049392833	1152.00972	284.4894945	1.39614935	5.545052386
XM_582206	Bos taurus similar to Homo sapiens chromosome 14 open reading frame 43 (C14orf43)	4.024674334	369.9153193	91.9118638	1.347316287	5.545052386
XM_870848	PREDICTED: Bos taurus similar to BAFF receptor (LOC618516)	3.991204824	2.100872005	0.526375392	1.335816357	5.545052386
CB169018	Unidentified transcripts on BTA22 position 39242294-39240775	3.927169106	22171.91775	5645.77617	1.323208684	5.545052386
NM_174430	Bos taurus protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform (PPM1B)	4.142171955	5912.560444	1427.405841	1.319103412	5.545052386
BM435669	Bos taurus similar to PREDICTED: Homo sapiens EGF-like-domain, multiple 5 (EGFL5)	3.813293817	1107.561117	290.4473586	2.116056241	5.671076304
XM_866127	Bos taurus similar to Homo sapiens myotubularin related protein 3 (MTMR3), transcript variant 2	3.833458532	736.2318114	192.0542	2.067547917	5.671076304
XM_868884	Bos taurus similar to Homo sapiens beta-1,3-N-acetylgalactosaminyltransferase 2 (B3GALNT2)	3.798314229	604.2028043	159.0713058	1.501293735	5.671076304
XM_582913	Bos taurus similar to Homo sapiens like-glycosyltransferase (LARGE), transcript variant 2	3.79750111	5561.50454	1464.516896	1.407733301	5.671076304
CB465734	Bos taurus similar to Homo sapiens CREB regulated transcription coactivator 3 (CRTC3), transcript variant 1	3.839591593	1066.138966	277.6698876	1.304370448	5.671076304
XM_865290	Bos taurus similar to Homo sapiens HBS1-like (S. cerevisiae) (HBS1L)	3.848478127	2466.007693	640.7747717	1.271026638	5.671076304
