Column ID	Predicted by PITA	TargetScan	PicTar	miRanda	miRBase Targets	Total #	r	P-value
NMB	YES			YES	YES	3	-0.54	<0.001
NR5A2	YES					1	-0.36	0.035
NR6A1	YES	YES	YES	YES	YES	5	-0.43	0.01
NRIP1	YES					1	-0.37	0.027
NUDT4	YES	YES				2	-0.42	0.012
NUP210	YES			YES		2	-0.36	0.035
OPA3	YES	YES				2	-0.34	0.043
OSTM1	YES	YES				2	-0.36	0.034
PAK6	YES	YES				2	-0.39	0.02
PALLD	YES	YES	YES	YES		4	-0.4	0.017
PALM2-AKAP2		YES				1	-0.34	0.047
PBX3	YES	YES	YES	YES		4	-0.39	0.021
PCYT1B	YES	YES				2	-0.34	0.049
PDCD2	YES	YES				2	-0.44	0.009
PDGFD	YES	YES				2	-0.36	0.032
PEG10	YES					1	-0.36	0.032
PGAM1	YES	YES				2	-0.38	0.026
PGPEP1	YES	YES				2	-0.6	<0.001
PLA2G4A	YES	YES		YES	YES	4	-0.44	0.008
PLEKHH3					YES	1	-0.43	0.009
PLEKHJ1	YES	YES	YES		YES	4	-0.52	0.002
PLS1	YES	YES	YES			3	-0.45	0.006
PPCS	YES	YES		YES	YES	4	-0.4	0.018
PPP3R1	YES	YES	YES	YES		4	-0.47	0.005
PQLC1	YES	YES				2	-0.55	<0.001
PRDX5	YES					1	-0.57	<0.001
PRICKLE2	YES	YES		YES		3	-0.34	0.045
PRR6	YES	YES			YES	3	-0.4	0.017
PSAP	YES	YES	YES			3	-0.47	0.005
PSMA7	YES				YES	2	-0.34	0.046
QDPR	YES	YES				2	-0.54	<0.001
RAB1B	YES					1	-0.34	0.043
REEP3					YES	1	-0.45	0.006
RHOU	YES					1	-0.55	<0.001
RNF145		YES	YES		YES	3	-0.52	0.001
RNF2	YES	YES	YES			3	-0.38	0.025
RPL28	YES	YES				2	-0.42	0.013
RPS27A					YES	1	-0.38	0.026
RPS29	YES	YES		YES	YES	4	-0.46	0.005
SEC11A					YES	1	-0.36	0.033
SEMA3A	YES				YES	2	-0.44	0.007
SEPHS1	YES					1	-0.41	0.015
SIDT2	YES					1	-0.37	0.03
SKP1		YES				1	-0.36	0.034
SLC16A3	YES					1	-0.43	0.01
SLC35A4	YES	YES				2	-0.55	<0.001
SLC41A1	YES					1	-0.41	0.013
SMCR7L		YES				1	-0.34	0.045
SPG21	YES	YES		YES	YES	4	-0.43	0.01
SRGAP3	YES			YES		2	-0.39	0.021
SRPRB	YES					1	-0.42	0.012
ST7	YES					1	-0.51	0.002
STARD7	YES					1	-0.42	0.012
SYPL1	YES	YES				2	-0.57	<0.001
SYT4	YES	YES				2	-0.34	0.045
T	YES					1	-0.37	0.027
TAF7	YES	YES				2	-0.35	0.04
TGIF2	YES	YES		YES		3	-0.49	0.003
TK2	YES					1	-0.42	0.012
TOMM7	YES	YES				2	-0.45	0.006
TRPM6	YES	YES				2	-0.36	0.032
TRPS1	YES					1	-0.44	0.009
TSPYL1				YES		1	-0.4	0.017
TUFM		YES				1	-0.42	0.012
UBE2Z	YES					1	-0.33	0.05
UQCR	YES					1	-0.42	0.012
VDAC2				YES	YES	2	-0.56	<0.001
WDR23	YES	YES		YES		3	-0.55	<0.001
WDR82		YES				1	-0.41	0.013
WHDC1	YES	YES				2	-0.44	0.009
ZKSCAN1	YES	YES		YES		3	-0.34	0.046
ZNF521	YES			YES	YES	3	-0.6	<0.001
