Curated Gene Symbol	Accession No.	Gene name	Gene description	NIN–mean	SEM	Parental mean	SEM
S100A13	NM_005979.1	S100A13	Homo sapiens S100 calcium-binding protein A13 (S100A13)	2.59	0.5	-1.65	0.2
TAP1	BC014081.1	TAP1	Transporter 1 ATP-binding cassette subfamily B	2.53	0.52	-1.29	0.1
FSTL3	BC005839.1	FSTL3	Follistatin-like 3	2.51	0.31	-1.88	0.22
PSME1	BC000352.1	PSME1	Proteasome activator ? subunit (P28 ?)	2.51	0.04	-1.54	0.13
C7	J03507.1	C7	Complement component 7	2.5	0.44	-1.41	0.11
RIT1	NM_006912.1	RIT1	Homo sapiens Ras-like without CAAX 1 (RIT1)	2.47	0.45	-1.84	0.25
TRADD	AK090673.1	TRADD	TNFRSF1A-associated via death domain	2.41	0.27	-1.69	0.15
COL18A1	AF018081.1	COL18A1	Collagen type XVIII ?1 (endostatin)	2.41	0.2	-1.41	0.06
	NM_033546.1	MLC-B	Protein with very strong similarity to myosin regulatory light chain (human MLCB)	2.38	0.11	-1.88	0.05
PCOLCE	BC000574.1	PCOLCE	Pro-collagen C-endopeptidase enhancer	2.38	0.09	-1.8	0.06
MT2A	BC007034.1	MT2A	Metallothionein 2A	2.37	0.24	2	0.2
RRAD	BC011645.1	RRAD	Ras-related protein associated diabetes	2.34	0.46	-1.5	0.22
CDH11	D21254.1	CDH11	Cadherin-11 (OB-cadherin)	2.31	0.46	-1.52	0.24
ARPC1B	AF006084.1	ARPC1B	Actin-related protein 2/3 complex 1B	2.3	0.27	-1.62	0.21
SDCBP	AF006636.1	SDCBP	Syndecan-binding protein (syntenin)	2.28	0.14	-1.72	0.07
CD59	BC001506.1	CD59	CD59 antigen (protectin)	2.27	0.22	-1.57	0.17
FAM107B	AL136885.1	MGC11034	Protein with strong similarity to human TU3A	2.25	0.38	-1.75	0.29
SMO	U84401.1	SMO	Smoothened	2.25	0.45	-1.73	0.24
	L42283.1	I_1100649	Protein with strong similarity to heavy chain MHC class I molecule (human HLA-B)	2.22	0.21	-1.48	0.07
OPTN	AF061034.1	OPTN	Optineurin	2.22	0.26	-1.34	0.12
CASP3	BC016926.1	CASP3	Caspase 3 (apopain)	2.2	0.15	2.17	0.2
	D17041.1	I_943704	Protein with strong similarity to ribosomal protein L22 (human RPL22)	2.19	0.09	-1.98	0.18
SLC12A7	AF105365.1	SLC12A7	Solute carrier family 12 member 7	2.19	0.19	-1.14	0.13
CD99	BC024310.1	CD99	T-cell surface glycoprotein E2	2.18	0.18	-1.81	0.14
	AF229162.1	NLI-IF	Member of the NLI interacting factor family	2.18	0.12	-1.6	0.13
HIST1H2BK	BC000893.1	HIST1H2BK	Protein with strong similarity to histone H2B (S. cerevisiae Htb1p)	2.18	0.15	-1.28	0.02
LGALS3	BC015761.1	LGALS3	Lectin galactoside-binding soluble 3 binding protein (Mac-2 binding, galectin 3 binding)	2.17	0.13	-1.46	0.08
S100A16	BC010541.1	MGC17528	Protein containing an EF hand domain	2.16	0.27	-1.59	0.15
PON2	AF001601.1	PON2	Paraoxonase 2 (arylesterase 2)	2.15	0.27	-1.83	0.29
	NM_016479.1	I_951081	Retired, was protein of unknown function	2.15	0.29	-1.47	0.14
HIST1H1C	X57129.1	HIST1H1C	H1 histone family member 2	2.15	0.34	-1.35	0.11
POLR2L	BC018649.1	POLR2L	RNA polymerase II polypeptide l	2.15	0.07	-1.73	0.13
	AK093748.1	I_1100479	Protein of unknown function	2.14	0.1	-1.65	0.15
TBX2	AL832900.1	TBX2	T-box 2	2.13	0.11	-1.31	0.04
PDIA4	BC000425.1	ERP70	Protein disulfide isomerase0related protein (calcium-binding protein, intestinal related)	2.12	0.07	2	0.21
HLA-B	BC013187.1	HLA-B	Major histocompatibility complex, class I, B, an MHC heavy chain involved in the immune response	2.11	0.23	-1.52	0.07
CMTM6	AF479261.1	CKLFSF6	Protein of unknown function	2.09	0.14	-1.53	0.04
ADAM19	NM_033274.1	ADAM19	Homo sapiens a disintegrin and metalloproteinase domain 19 (meltrin ?) (ADAM19), transcript variant 2	2.08	0.34	-1.47	0.19
HIST2H2AA3	AY131971.1	HIST2H2AA	H2A histone family member O	2.07	0.17	-1.38	0.14
CDKN1C	NM_000076.1	CDKN1C	Homo sapiens cyclin-dependent kinase inhibitor 1C (p57, Kip2) (CDKN1C)	2.06	0.4	-1.46	0.22
HSPA5	BC020235.1	HSPA5	Heat-shock 70-kDa protein 5	2.03	0.09	-1.92	0.13
ANXA2	BC001388.1	ANXA2	Annexin A2	2.02	0.14	-1.78	0.18
ANXA5	BC018671.1	ANXA5	Annexin V	2.02	0.16	-1.55	0.06
HIST1H2BJ	NM_021058.3	HIST1H2BJ	H2B histone family member R	2.02	0.15	-1.25	0.07
RGS5	AB008109.1	RGS5	Regulator of G-protein signaling 5	2.01	0.15	-1.38	0.02
	BC001953.1	LOC56898	Member of the short-chain dehydrogenase-reductase family	2.01	0.28	-1.39	0.15
CDC42BPA	AJ518976.1	PK428	Protein of unknown function	-2.01	1	-1.05	0.01
	AK023199.1	I_942756	Protein of unknown function	-2.05	0.26	- 1.48	0.05
EIF1B	BC006996.1	GC20	Translation factor sui1 homolog	-2.07	0.16	- 1.43	0.12
PHOX2B	D82344.1	PHOX2B	Paired mesoderm homeobox 2B	-2.09	0.15	- 1.58	0.03
TFAP2B	NM_003221.1	TFAP2B	Transcription factor AP-2?	-2.1	0.3	- 1.42	0.19
STMN4	BC011520.1	STMN4	Stathmin-like 4	-2.11	0.06	- 1.48	0.03
GLS	AB020645.1	GLS	Kidney-type glutaminase	-2.17	0.4	- 1.27	0.07
CHST8	BC018723.1	CHST8	N-acetylgalactosamine-4-O-sulfotransferase 1	-2.17	0.25	- 1.34	0.02
ADM	BC015961.1	ADM	Precursor of adrenomedullin and pro-adrenomedullin-N20	-2.19	0.24	- 1.53	0.12
DCX	NM_000555.2	DCX	Homo sapiens doublecortex; lissencephaly, X-linked (doublecortin) (DCX), transcript variant 1	-2.2	0.4	- 1.37	0.1
COL16A1	M92642.1	COL16A1	Collagen type XVI (?1 subunit)	-2.22	0.35	- 1.20	0.01
PHGDH	BC011262.1	PHGDH	3-Phosphoglycerate dehydrogenase	-2.26	0.34	- 2.11	0.4
DDAH1	NM_012137.1	DDAH1	Dimethylarginine dimethylaminohydrolase 1	-2.27	0.29	- 1.25	0.09
VGF	NM_003378.2	VGF	Homo sapiens VGF nerve growth factor inducible (VGF)	-2.29	0.23	- 1.28	0.14
	NM_001043.1		Homo sapiens solute carrier family 6 (neurotransmitter transporter, norepinephrine), member 2 (SLC6A2)	-2.32	0.01	- 1.67	0.08
	NM_025056.1	FLJ23185	Protein of unknown function	-2.32	1.34	- 1.01	0.06
ZDHHC11	NM_024786.1	ZDHHC11	Protein containing a DHHC-type zinc finger (NEW1) domain	-2.32	0.31	- 1.52	0.1
DUSP26	AK055704.1	MGC1136	Protein with strong similarity to dual-specificity phosphatase 13 (human DUSP13)	-2.35	0.17	- 1.63	0.14
	AL512683.1	DKFZp547F072	Protein of unknown function	-2.36	0.32	- 1.50	0.05
KIF1B	NM_015074.1	KIF1B	Kinesin heavy chain member 1B	-2.37	0.43	- 1.47	0.1
BEX1	NM_018476.2	BEX1	Member of the brain expressed X-linked like family	-2.39	0.11	- 1.75	0.07
GNAZ	NM_002073.1	GNAZ	Homo sapiens guanine nucleotide-binding protein (G protein), ? z polypeptide (GNAZ)	-2.4	0.26	- 1.60	0.08
NKAIN1	NM_024522.1	FLJ12650	Protein of unknown function	-2.44	0.38	- 1.37	0.03
ACAT1	D90228.1	ACAT1	Acetyl co-enzyme A acetyltransferase 1 (mitochondrial acetoacetyl co-enzyme A thiolase)	-2.46	0.3	- 1.24	0.05
	BC015522.1		Member of the brain expressed X-linked like family	-2.49	0.15	- 1.79	0.1
	BC027972.1	DKFZp547M109	Protein with strong similarity to glypican 2 (rat Gpc2)	-2.5	0.36	- 1.39	0.06
	AK055741.1	I_1152026	Protein of unknown function	-2.54	0.28	- 1.40	0.07
	AB006631.2	I_1152158	Protein with strong similarity to cut (Drosophila)-like 2 (mouse Cutl2)	-2.6	0.23	- 1.61	0.22
FAM57B	NM_031478.2	DKFZP434I2117	Protein of unknown function	-2.67	0.51	- 1.53	0.08
STX1A	L37792.1	STX1A	Syntaxin 1A	-2.68	0.35	- 1.55	0.07
PCK2	BC001454.1	PCK2	Phosphoenolpyruvate carboxykinase 2	-2.72	0.22	- 2.05	0.18
CRMP1	BC000252.1	CRMP1	Collapsin response mediator protein 1	-2.79	0.62	- 1.44	0.12
	NM_033510.1		Homo sapiens dispatched B (DISPB)	-2.95	0.31	- 1.77	0.05
CTSL2	AB001928.1	CTSL2	Cathepsin L2 (cathepsin V)	-2.96	0.61	- 1.42	0.13
MTHFD2	BC017054.1	MTHFD2	NAD-dependent methylene tetrahydrofolate dehydrogenase-methenyltetrahydrofolate cyclohydrolase	-3.06	0.57	- 2.78	0.47
GARS	BC007722.1	GARS	Glycyl-tRNA synthetase	-3.13	0.27	- 2.48	0.18
	NM_153014.1		Homo sapiens hypothetical protein FLJ30634 (FLJ30634)	-3.23	0.44	- 1.70	0.17
INA	NM_032727.1	INA	?-Internexin	-3.29	0.68	- 1.62	0.1
ELAVL4	AY033998.1	ELAVL4	ELAV (embryonic lethal abnormal vision Drosophila)-like 4 (Hu antigen D)	-3.31	0.44	- 1.32	0.03
	NM_004485.2		Homo sapiens guanine nucleotide-binding protein (G protein), ?4 (GNG4)	-3.35	0.24	- 1.65	0.09
TBX3	BC025258.1	TBX3	T-box 3 (ulnar mammary syndrome)	-3.41	0.57	- 1.51	0.15
NEFM	Y00067.1	NEF3	Neurofilament 3 (150 kDa medium)	-3.43	0.39	- 1.90	0.25
CELF4	BC004167.1	BRUNOL4	Bruno-like 4 RNA-binding protein	-3.59	0.97	- 1.48	0.12
CXCR4	D10924.1	CXCR4	CXC chemokine receptor 4 (fusin)	-3.74	0.94	- 1.17	0.09
	NM_024572.1	I_932119	Retired, was protein with strong similarity to N-acetylgalactosaminyltransferase T-2 (human GALNT2)	-3.92	0.78	- 1.77	0.23
ASNS	BC014621.1	ASNS	Asparagine synthase	-4.11	0.57	- 3.41	0.51
DPYSL5	AF264015.1	CRMP5	Collapsin response mediator protein 5 (CRMP3-associated molecule)	-4.28	0.87	- 1.77	0.16
	NM_015973.2		Homo sapiens galanin (GAL)	-4.38	0.29	- 1.63	0.02
	BC017174.1		Dopamine ?-hydroxylase	-4.5	0.41	- 1.74	0.01
NEFH	NM_021076.1	NEFH	Homo sapiens neurofilament, heavy polypeptide (200 kDa) (NEFH)	-4.55	0.92	- 1.75	0.09
SYT4	NM_020783.1	SYT4	Synaptotagmin 4	-5.37	0.98	- 1.68	0.22
GAL	BC030241.1	GAL	Preprogalanin	-5.39	0.98	- 1.67	0.01
SCG3	AF453583.1	SCG3	Secretogranin III	-5.53	1.28	- 1.78	0.17
CHGA	BC012755.1	CHGA	Chromogranin A	-6.04	0.3	- 2.10	0.1
	NM_015980.1		Homo sapiens HMP19 protein (HMP19)	-6.07	1.5	- 1.92	0.03
DLK1	BC014015.1	DLK1	Delta-like 1 homolog (pre-adipocyte factor 1, fetal antigen 1)	-6.84	1.91	-1.1	0.09
	NM_152496.1		Homo sapiens hypothetical protein FLJ31434 (FLJ31434)	-8.98	2.68	- 2.05	0.21
