miRNA	Target symbol	Synonyms	Target description	chromosome	Entrez Gene
hsa-miR-10b|hsa-miR-30d	GALNT1	GALNAC-T1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	18	2589
hsa-miR-10b|hsa-miR-30d	HOXA1	BSAS|HOX1|HOX1F|MGC45232	homeobox A1	7	3198
hsa-miR-10b|hsa-miR-30d	ITSN1	ITSN|MGC134948|MGC134949|SH3D1A|SH3P17	intersectin 1 (SH3 domain protein)	21	6453
hsa-miR-10b|hsa-miR-30d	CEP350	CAP350|FLJ38282|FLJ44058|GM133|KIAA0480	centrosomal protein 350kDa	1	9857
hsa-miR-10b|hsa-miR-31	NR5A2	B1F|B1F2|CPF|FTF|FTZ-F1|FTZ-F1beta|LRH-1|hB1F|hB1F-2	nuclear receptor subfamily 5, group A, member 2	1	2494
hsa-miR-10b|hsa-miR-31	BACH2		BTB and CNC homology 1, basic leucine zipper transcription factor 2	6	60468
hsa-miR-10b|hsa-miR-31|hsa-miR-195	NARG1	Ga19|NATH|TBDN100	NMDA receptor regulated 1	4	80155
hsa-miR-10b|hsa-miR-7	CNNM4	ACDP4|FLJ42791|KIAA1592	cyclin M4	2	26504
hsa-miR-10b|hsa-miR-7	HCN1	BCNG-1|BCNG1|HAC-2	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	5	348980
hsa-miR-10b|hsa-miR-7	NR4A3	CHN|CSMF|MINOR|NOR1|TEC	nuclear receptor subfamily 4, group A, member 3	9	8013
hsa-miR-134	ABHD2	HS1-2|LABH2|MGC111112|MGC26249|PHPS1-2	abhydrolase domain containing 2	15	11057
hsa-miR-134	CSNK1G3		casein kinase 1, gamma 3	5	1456
hsa-miR-134	DMN	KIAA0353|SYN	desmuslin	15	23336
hsa-miR-134	PUM2	FLJ36528|KIAA0235|MGC138251|MGC138253|PUMH2|PUML2	pumilio homolog 2 (Drosophila)	2	23369
hsa-miR-134	RHOQ	ARHQ|RASL7A|TC10|TC10A	ras homolog gene family, member Q	2	23433
hsa-miR-134	PATZ1	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	POZ (BTB) and AT hook containing zinc finger 1	22	23598
hsa-miR-134	SLC25A5	2F1|AAC2|ANT2|T2|T3	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	X	292
hsa-miR-134	KPNA3	IPOA4|SRP1gamma|SRP4|hSRP1	karyopherin alpha 3 (importin alpha 4)	13	3839
hsa-miR-134	C6orf120	bA160E12.4	chromosome 6 open reading frame 120	6	387263
hsa-miR-134	C1orf32	RP4-782G3.2|dJ782G3.1	chromosome 1 open reading frame 32	1	387597
hsa-miR-134	SMAD6	HsT17432|MADH6|MADH7	SMAD family member 6	15	4091
hsa-miR-134	MBNL1	DKFZp686P06174|EXP|EXP35|EXP40|EXP42|KIAA0428|MBNL	muscleblind-like (Drosophila)	3	4154
hsa-miR-134	MEIS2	HsT18361|MGC2820|MRG1	Meis homeobox 2	15	4212
hsa-miR-134	OSBP	OSBP1	oxysterol binding protein	11	5007
hsa-miR-134	PPP1R7	SDS22	protein phosphatase 1, regulatory (inhibitor) subunit 7	2	5510
hsa-miR-134	STRBP	DKFZp434N214|FLJ11307|FLJ14223|FLJ14984|MGC21529|MGC3405|SPNR|p74	spermatid perinuclear RNA binding protein	9	55342
hsa-miR-134	DST	BP240|BPA|BPAG1|CATX-15|D6S1101|DKFZp564B2416|DMH|DT|FLJ46791|KIAA0465|KIAA1470|MACF2	dystonin	6	667
hsa-miR-134	ZNF711	CMPX1|ZNF4|ZNF5|ZNF6|Zfp711|dJ75N13.1	zinc finger protein 711	X	7552
hsa-miR-134	STK40	MGC4796|RP11-268J15.4|SHIK|SgK495	serine/threonine kinase 40	1	83931
hsa-miR-134	BANF1	BAF|BCRP1|D14S1460|MGC111161	barrier to autointegration factor 1	11	8815
hsa-miR-134	MED13	ARC250|DRIP250|HSPC221|KIAA0593|THRAP1|TRAP240	mediator complex subunit 13	17	9969
hsa-miR-134|hsa-miR-18a	PSD3	DKFZp761K1423|EFA6R|HCA67	pleckstrin and Sec7 domain containing 3	8	23362
hsa-miR-134|hsa-miR-193b	MYCN	MODED|N-myc|NMYC|ODED	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)	2	4613
hsa-miR-134|hsa-miR-195	EPHA7	EHK3|HEK11	EPH receptor A7	6	2045
hsa-miR-134|hsa-miR-195	VEGFA	MGC70609|VEGF|VEGF-A|VPF	vascular endothelial growth factor A	6	7422
hsa-miR-134|hsa-miR-195|hsa-miR-30d	FAM91A1	DKFZp666B104|FLJ23790	family with sequence similarity 91, member A1	8	157769
hsa-miR-134|hsa-miR-30d	EML4	C2orf2|DKFZp686P18118|ELP120|FLJ10942|FLJ32318|ROPP120	echinoderm microtubule associated protein like 4	2	27436
hsa-miR-134|hsa-miR-30d	GNAO1	DKFZp686O0962|G-ALPHA-o|GNAO	guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O	16	2775
hsa-miR-134|hsa-miR-34a	CDH9	MGC125386	cadherin 9, type 2 (T1-cadherin)	5	1007
hsa-miR-134|hsa-miR-34a	ACSL1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2	acyl-CoA synthetase long-chain family member 1	4	2180
hsa-miR-134|hsa-miR-7	LOC130074	MGC87527	p20	2	130074
hsa-miR-18a	INADL	Cipp|FLJ26982|InaD-like|PATJ	InaD-like (Drosophila)	1	10207
hsa-miR-18a	JARID1B	FLJ10538|FLJ12459|FLJ12491|FLJ16281|FLJ23670|KDM5B|PLU-1|PUT1|RBBP2H1A	jumonji, AT rich interactive domain 1B	1	10765
hsa-miR-18a	BTG3	ANA|MGC8928|TOB5|TOB55|TOFA	BTG family, member 3	21	10950
hsa-miR-18a	TRIOBP	DFNB28|FLJ39315|HRIHFB2122|KIAA1662|TARA|dJ37E16.4	TRIO and F-actin binding protein	22	11078
hsa-miR-18a	ADD3	ADDL	adducin 3 (gamma)	10	120
hsa-miR-18a	PIGU	CDC91L1|GAB1|MGC40420	phosphatidylinositol glycan anchor biosynthesis, class U	20	128869
hsa-miR-18a	CREBL2	MGC117311|MGC138362	cAMP responsive element binding protein-like 2	12	1389
hsa-miR-18a	CTGF	CCN2|HCS24|IGFBP8|MGC102839|NOV2	connective tissue growth factor	6	1490
hsa-miR-18a	EPB41L1	4.1N|DKFZp686H17242|KIAA0338|MGC11072	erythrocyte membrane protein band 4.1-like 1	20	2036
hsa-miR-18a	ESR1	DKFZp686N23123|ER|ESR|ESRA|Era|NR3A1	estrogen receptor 1	6	2099
hsa-miR-18a	DIP2C	FLJ44075|KIAA0934	DIP2 disco-interacting protein 2 homolog C (Drosophila)	10	22982
hsa-miR-18a	FBXL11	CXXC8|DKFZP434M1735|FBL11|FBL7|FLJ00115|FLJ46431|JHDM1A|KDM2A|KIAA1004|LILINA	F-box and leucine-rich repeat protein 11	11	22992
hsa-miR-18a	PDZD2	AIPC|KIAA0300|PAPIN|PDZK3|PIN1	PDZ domain containing 2	5	23037
hsa-miR-18a	FNBP1	FBP17|KIAA0554|MGC126804	formin binding protein 1	9	23048
hsa-miR-18a	CDC2L6	CDK11|KIAA1028|bA346C16.3	cell division cycle 2-like 6 (CDK8-like)	6	23097
hsa-miR-18a	CLCC1	KIAA0761|MCLC	chloride channel CLIC-like 1	1	23155
hsa-miR-18a	SH3BP4	BOG25|TTP	SH3-domain binding protein 4	2	23677
hsa-miR-18a	GAB1		GRB2-associated binding protein 1	4	2549
hsa-miR-18a	MDGA1	DKFZp686K0262|DKFZp686L0262|FLJ45018|GPIM|MAMDC3	MAM domain containing glycosylphosphatidylinositol anchor 1	6	266727
hsa-miR-18a	GCLC	GCS|GLCL|GLCLC	glutamate-cysteine ligase, catalytic subunit	6	2729
hsa-miR-18a	BHLHB5	Beta3|CAGL85|TNRC20	basic helix-loop-helix domain containing, class B, 5	8	27319
hsa-miR-18a	GLRB		glycine receptor, beta	4	2743
hsa-miR-18a	HIF1A	HIF-1alpha|HIF1|HIF1-ALPHA|MOP1|PASD8	hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	14	3091
hsa-miR-18a	HSF2	MGC117376|MGC156196|MGC75048	heat shock transcription factor 2	6	3298
hsa-miR-18a	IGF1	IGFI	insulin-like growth factor 1 (somatomedin C)	12	3479
hsa-miR-18a	KCNA1	AEMK|EA1|HBK1|HUK1|KV1.1|MBK1|MGC126782|MGC138385|MK1|RBK1	potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	12	3736
hsa-miR-18a	LOC399947		similar to expressed sequence AI593442	11	399947
hsa-miR-18a	SMAD2	JV18|JV18-1|MADH2|MADR2|MGC22139|MGC34440|hMAD-2|hSMAD2	SMAD family member 2	18	4087
hsa-miR-18a	NEDD9	CAS-L|CAS2|CASL|CASS2|HEF1|dJ49G10.2|dJ761I2.1	neural precursor cell expressed, developmentally down-regulated 9	6	4739
hsa-miR-18a	PHF1	PCL1|PHF2	PHD finger protein 1	6	5252
hsa-miR-18a	PHF2	GRC5|JHDM1E|KIAA0662|MGC176680	PHD finger protein 2	9	5253
hsa-miR-18a	ARL15	ARFRP2|FLJ20051	ADP-ribosylation factor-like 15	5	54622
hsa-miR-18a	ASXL2	ASXH2|DKFZp686C1968|FLJ10898|KIAA1685	additional sex combs like 2 (Drosophila)	2	55252
hsa-miR-18a	PRKACB	DKFZp781I2452|MGC41879|MGC9320|PKACB	protein kinase, cAMP-dependent, catalytic, beta	1	5567
hsa-miR-18a	MAP7D1	FLJ10350|FLJ39022|MGC117315|PARCC1|RPRC1	MAP7 domain containing 1	1	55700
hsa-miR-18a	ZBTB4	KAISO-L1|KIAA1538	zinc finger and BTB domain containing 4	17	57659
hsa-miR-18a	RAB5C	MGC117217|MGC138857|RAB5CL|RABL	RAB5C, member RAS oncogene family	17	5878
hsa-miR-18a	XYLT2	XT-II|XT2|xylT-II	xylosyltransferase II	17	64132
hsa-miR-18a	GIGYF1	GYF1|PERQ1	GRB10 interacting GYF protein 1	7	64599
hsa-miR-18a	SMAP2	RP1-228H13.3|SMAP1L	stromal membrane-associated GTPase-activating protein 2	1	64744
hsa-miR-18a	SIM2	MGC119447|SIM	single-minded homolog 2 (Drosophila)	21	6493
hsa-miR-18a	HMBOX1	FLJ21616|HNF1LA|PBHNF	homeobox containing 1	8	79618
hsa-miR-18a	FAM130A2	FLJ11703|FLJ32093|FLJ44141|TAIP-2|TAIP2	family with sequence similarity 130, member A2	2	80034
hsa-miR-18a	SORBS2	ARGBP2|KIAA0777|PRO0618	sorbin and SH3 domain containing 2	4	8470
hsa-miR-18a	FAM136A	FLJ14668	family with sequence similarity 136, member A	2	84908
hsa-miR-18a	NCOA1	F-SRC-1|KAT13A|MGC129719|MGC129720|NCoA-1|RIP160|SRC-1|SRC1	nuclear receptor coactivator 1	2	8648
hsa-miR-18a	C5orf30	FLJ25291	chromosome 5 open reading frame 30	5	90355
hsa-miR-18a	UBTD2	DC-UbP|DCUBP|MGC30022	ubiquitin domain containing 2	5	92181
hsa-miR-18a	SLC22A8	MGC24086|OAT3	solute carrier family 22 (organic anion transporter), member 8	11	9376
hsa-miR-18a	SOCS5	CIS6|CISH6|Cish5|KIAA0671|SOCS-5	suppressor of cytokine signaling 5	2	9655
hsa-miR-18a	CDC42	CDC42Hs|G25K	cell division cycle 42 (GTP binding protein, 25kDa)	1	998
hsa-miR-18a|hsa-miR-195	RAB11FIP2	KIAA0941|Rab11-FIP2|nRip11	RAB11 family interacting protein 2 (class I)	10	22841
hsa-miR-18a|hsa-miR-195	PHF19	MGC131698|MGC149712|MGC149713|MGC23929|PCL3	PHD finger protein 19	9	26147
hsa-miR-18a|hsa-miR-195	FRYL	DKFZp686E205|FLJ16177|KIAA0826	FRY-like	4	285527
hsa-miR-18a|hsa-miR-30d	ODZ1	ODZ3|TEN-M1|TNM|TNM1	odz, odd Oz/ten-m homolog 1(Drosophila)	X	10178
hsa-miR-18a|hsa-miR-30d	KLHL20	KHLHX|KLEIP|KLHLX|RP3-383J4.3	kelch-like 20 (Drosophila)	1	27252
hsa-miR-18a|hsa-miR-30d	CAMK2N1	MGC22256|PRO1489|RP11-401M16.1	calcium/calmodulin-dependent protein kinase II inhibitor 1	1	55450
hsa-miR-18a|hsa-miR-30d	ODZ3	FLJ10474|FLJ10886|KIAA1455|TNM3|Ten-m3	odz, odd Oz/ten-m homolog 3 (Drosophila)	4	55714
hsa-miR-18a|hsa-miR-30d	PTGFRN	CD315|CD9P-1|EWI-F|FLJ11001|FPRP|KIAA1436|SMAP-6	prostaglandin F2 receptor negative regulator	1	5738
hsa-miR-18a|hsa-miR-30d	RUNX1	AML1|AML1-EVI-1|AMLCR1|CBFA2|EVI-1|PEBP2aB	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	21	861
hsa-miR-18a|hsa-miR-30d	SLC12A6	ACCPN|DKFZP434D2135|KCC3|KCC3A|KCC3B	solute carrier family 12 (potassium/chloride transporters), member 6	15	9990
hsa-miR-18a|hsa-miR-7	LOC203547	MGC125514|MGC125516|MGC131652	hypothetical protein LOC203547	X	203547
hsa-miR-18a|hsa-miR-7	PDE4D	DPDE3|HSPDE4D|PDE4DN2|STRK1	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	5	5144
hsa-miR-18a|hsa-miR-7	SATB1		SATB homeobox 1	3	6304
hsa-miR-193b	ARPC5	ARC16|dJ127C7.3|p16-Arc	actin related protein 2/3 complex, subunit 5, 16kDa	1	10092
hsa-miR-193b	WDR68	AN11|HAN11	WD repeat domain 68	17	10238
hsa-miR-193b	BAZ2A	DKFZp781B109|FLJ13768|FLJ13780|FLJ45876|KIAA0314|TIP5|WALp3	bromodomain adjacent to zinc finger domain, 2A	12	11176
hsa-miR-193b	AP2M1	AP50|CLAPM1|mu2	adaptor-related protein complex 2, mu 1 subunit	3	1173
hsa-miR-193b	DIO2	5DII|D2|SelY|TXDI2	deiodinase, iodothyronine, type II	14	1734
hsa-miR-193b	E2F6	E2F-6|MGC111545	E2F transcription factor 6	2	1876
hsa-miR-193b	EN2	AUTS1|AUTS10	engrailed homeobox 2	7	2020
hsa-miR-193b	ETS1	ETS-1|EWSR2|FLJ10768	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	2113
hsa-miR-193b	ETV1	DKFZp781L0674|ER81|MGC104699|MGC120533|MGC120534	ets variant gene 1	7	2115
hsa-miR-193b	DMXL2	FLJ26672|KIAA0856|RC3	Dmx-like 2	15	23312
hsa-miR-193b	ARHGEF12	DKFZp686O2372|KIAA0382|LARG|PRO2792	Rho guanine nucleotide exchange factor (GEF) 12	11	23365
hsa-miR-193b	CBX7		chromobox homolog 7	22	23492
hsa-miR-193b	FLRT3		fibronectin leucine rich transmembrane protein 3	20	23767
hsa-miR-193b	CCDC28A	C6orf80|CCRL1AP|DKFZp586D0623|MGC131913	coiled-coil domain containing 28A	6	25901
hsa-miR-193b	SLC39A5	LZT-Hs7|MGC34778|ZIP5	solute carrier family 39 (metal ion transporter), member 5	12	283375
hsa-miR-193b	GRB7		growth factor receptor-bound protein 7	17	2886
hsa-miR-193b	HOXD13	BDE|BDSD|HOX4I|SPD	homeobox D13	2	3239
hsa-miR-193b	ITPR1	INSP3R1|IP3R|IP3R1|SCA15|SCA16	inositol 1,4,5-triphosphate receptor, type 1	3	3708
hsa-miR-193b	LAMC2	B2T|BM600|CSF|EBR2|EBR2A|LAMB2T|LAMNB2|MGC138491|MGC141938	laminin, gamma 2	1	3918
hsa-miR-193b	LAMP2	CD107b|LAMPB|LGP110	lysosomal-associated membrane protein 2	X	3920
hsa-miR-193b	STMN1	LAP18|Lag|OP18|PP17|PP19|PR22|SMN	stathmin 1/oncoprotein 18	1	3925
hsa-miR-193b	CAPRIN1	GPIAP1|GPIP137|M11S1|caprin-1|p137GPI	cell cycle associated protein 1	11	4076
hsa-miR-193b	MCL1	EAT|MCL1L|MCL1S|MGC104264|MGC1839|TM	myeloid cell leukemia sequence 1 (BCL2-related)	1	4170
hsa-miR-193b	MMP16	MMP-X2|MT-MMP2|MT-MMP3|MT3-MMP	matrix metallopeptidase 16 (membrane-inserted)	8	4325
hsa-miR-193b	MMP19	MMP18|RASI-1	matrix metallopeptidase 19	12	4327
hsa-miR-193b	CTDSPL2	FLJ10523|HSPC058|HSPC129	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2	15	51496
hsa-miR-193b	PLAU	ATF|UPA|URK|UROKINASE|u-PA	plasminogen activator, urokinase	10	5328
hsa-miR-193b	ALKBH5	FLJ20308|OFOXD|OFOXD1	alkB, alkylation repair homolog 5 (E. coli)	17	54890
hsa-miR-193b	SPATA7	DKFZp686D07199|HSD-3.1|HSD3|MGC102934	spermatogenesis associated 7	14	55812
hsa-miR-193b	MAPK10	FLJ12099|FLJ33785|JNK3|JNK3A|MGC50974|PRKM10|p493F12|p54bSAPK	mitogen-activated protein kinase 10	4	5602
hsa-miR-193b	C14orf4	EAP1|IRF2BPL|KIAA1865	chromosome 14 open reading frame 4	14	64207
hsa-miR-193b	SFRS2	PR264|SC-35|SC35|SFRS2A|SRp30b	splicing factor, arginine/serine-rich 2	17	6427
