Curated Gene Symbol	Gene name	Symbol	UniGene	Chromosome location	Exp_75	Exp_76	Exp_92	Average ratio	Function
EMP2	Epithelial membrane protein 2	EMP2	Hs.531561	16p13.2	12.99	32.271	5.628	16.963	Cell death and apoptosis
RAF1	V-raf-1 murine leukemia viral oncogene homolog 1	RAF1	Hs.159130	3p25	0.155	0.107	0.36	0.207	Kinases
MAP3K4	Mitogen-activated protein kinase kinase kinase 4	MAP3K4	Hs.390428	6q26	0.151	0.219	0.316	0.229	Kinases
MASTL	Microtubule-associated serine/threonine kinase-like	MASTL	Hs.276905	10p12.1	0.26	0.096	0.338	0.231	Kinases
MAP4K4	Mitogen-activated protein kinase kinase kinase kinase 4	MAP4K4	Hs.431550	2q11.2–q12	0.157	0.15	0.445	0.251	Kinases
NTRK2	Neurotrophic tyrosine kinase, receptor, type 2	NTRK2	Hs.494312	9q22.1	0.273	0.14	0.345	0.253	Kinases
RAB2B	RAB2B, member RAS oncogene family	RAB2B	Hs.22399	14q11.2	0.155	0.121	0.497	0.258	Kinases
PANK1	Pantothenate kinase 1	PANK1	Hs.376351	10q23.31	0.222	0.17	0.385	0.259	Kinases
PHKA2	Phosphorylase kinase, ?2 (liver)	PHKA2	Hs.54941	Xp22.2–p22.1	0.222	0.197	0.408	0.276	Kinases
PRKCD	Protein kinase C, ?	PRKCD	Hs.155342	3p21.31	0.17	0.354	0.392	0.305	Kinases
ALPK2	?-Kinase 2	ALPK2	Hs.656805	18q21.31	0.283	0.442	0.263	0.329	Kinases
CSNK1G3	Casein kinase 1, ?3	CSNK1G3	Hs.129206	5q23	0.204	0.492	0.319	0.338	Kinases
CAMK1D	Calcium/calmodulin-dependent protein kinase ID	CAMK1D	Hs.659517	10p13	0.146	0.391	0.489	0.342	Kinases
C17orf75	Chromosome 17 open reading frame 75	C17orf75	Hs.655257	17q11.2	2.706	2.216	1.528	2.15	Kinases
PAK6	P21(CDKN1A)-activated kinase 6	PAK6	Hs.513645	15q14	2.247	2.647	2.359	2.418	Kinases
PIK3C3	Phosphoinositide-3-kinase, class 3	PIK3C3	Hs.464971	18q12.3	4.011	2.429	2.064	2.835	Kinases
AKAP12	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	Hs.371240	6q24–q25	4.094	2.589	2.343	3.008	Kinases
CERK	Ceramide kinase	CERK	Hs.200668	22q13.31	6.858	2.398	2.053	3.77	Kinases
RPS6KA3	Ribosomal protein S6 kinase, 90-kDa, polypeptide 3	RPS6KA3	Hs.445387	Xp22.2–p22.1	5.441	2.342	3.753	3.846	Kinases
STK38	Serine/threonine kinase 38	STK38	Hs.409578	6p21	3.82	7.851	2.016	4.563	Kinases
PDPK1	3-Phosphoinositide-dependent protein kinase-1	PDPK1	Hs.459691	16p13.3	6.137	3.904	4.116	4.719	Kinases
PNCK	Pregnancy non-ubiquitously expressed CaM kinase	PNCK	Hs.436667	Xq28	5.097	4.121	5.899	5.039	Kinases
MAK	Male germ cell-associated kinase	MAK	Hs.446125	6q22	3.449	2.904	6.186	4.18	Kinases
MAPK9	Mitogen-activated protein kinase 9	MAPK9	Hs.654461	5q35	11.836	4.054	2.792	6.227	Kinases
PRKACA	Protein kinase, cAMP-dependent, catalytic, ?	PRKACA	Hs.631630	19p13.1	5.973	10.218	3.189	6.46	Kinases
RIOK3	RIO kinase 3 (yeast)	RIOK3	Hs.445511	18q11.2	7.108	7.975	5.546	6.877	Kinases
PTK2	PTK2 protein tyrosine kinase 2	PTK2	Hs.395482	8q24–qter	12.855	6.192	3.15	7.399	Kinases
MAP3K6	Mitogen-activated protein kinase kinase kinase 6	MAP3K6	Hs.194694	1p36.11	6.626	14.404	2.722	7.917	Kinases
CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	CCND1	Hs.523852	11q13	0.123	0.154	0.236	0.171	Cell cycle and DNA damage
PPP6C	Protein phosphatase 6, catalytic subunit	PPP6C	Hs.584019	9q34.11	0.136	0.09	0.317	0.181	Cell cycle and DNA damage
CCNA2	Cyclin A2	CCNA2	Hs.58974	4q25–q31	0.137	0.114	0.488	0.246	Cell cycle and DNA damage
S100A6	S100 calcium binding protein A6 (calcyclin)	S100A6	Hs.275243	1q21.3	0.275	0.191	0.296	0.254	Cell cycle and DNA damage
SEPT7	Septin 7	7-Sep	Hs.191346	7p14.3–p14.1	0.169	0.134	0.474	0.259	Cell cycle and DNA damage
DKC1	Dyskeratosis congenita 1, dyskerin	DKC1	Hs.4747	Xq28	0.138	0.187	0.489	0.271	Cell cycle and DNA damage
CDK9	Cyclin-dependent kinase 9 (CDC2-related kinase)	CDK9	Hs.557646	9q34.1	0.226	0.153	0.445	0.275	Cell cycle and DNA damage
S100A8	S100 calcium binding protein A8 (calgranulin A)	S100A8	Hs.416073	1q21.3	0.296	0.198	0.369	0.288	Cell cycle and DNA damage
GKN1	Gastrokine 1	GKN1	Hs.69319	2p13.3	0.245	0.253	0.397	0.298	Cell cycle and DNA damage
CUL4B	Cullin 4B	CUL4B	Hs.102914	Xq23	0.245	0.224	0.463	0.311	Cell cycle and DNA damage
CHFR	Checkpoint with forkhead and ring finger domains	CHFR	Hs.656770	12q24.33	0.236	0.286	0.437	0.319	Cell cycle and DNA damage
STAG2	Stromal antigen 2	STAG2	Hs.496710	Xq25	0.402	0.133	0.489	0.341	Cell cycle and DNA damage
CHEK1	CHK1 checkpoint homolog (Saccharomyces pombe)	CHEK1	Hs.24529	11q24–q24	0.25	0.384	0.415	0.35	Cell cycle and DNA damage
UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1	UBE2V1	Hs.420529	20q13.2	0.376	0.313	0.433	0.374	Cell cycle and DNA damage
PPP1R9B	Protein phosphatase 1, regulatory subunit 9B, spinophilin	PPP1R9B	Hs.514323	17q21.33	0.434	0.357	0.495	0.429	Cell cycle and DNA damage
CDC25A	Cell division cycle 25A	CDC25A	Hs.437705	3p21	7.844	5.12	1.67	4.879	Cell cycle and DNA damage
SPAG5	Sperm-associated antigen 5	SPAG5	Hs.514033	17q11.2	6.525	6.052	3.21	5.262	Cell cycle and DNA damage
SEPT5	Septin 5	5-Sep	Hs.283743	22q11.21	8.689	4.103	5.809	6.2	Cell cycle and DNA damage
CDK6	Cyclin-dependent kinase 6	CDK6	Hs.119882	7q21	4.971	11.717	2.069	6.252	Cell cycle and DNA damage
ZMYND8	Zinc finger, MYND-type containing 8	ZMYND8	Hs.446240	20q13.12	6.983	8.901	4.775	6.886	Cell cycle and DNA damage
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	NDC80	Hs.414407	18p11.32	8.283	8.95	3.963	7.065	Cell cycle and DNA damage
SEPT4	Septin 4	4-Sep	Hs.287518	17q22	6.234	14.012	2.395	7.547	Cell cycle and DNA damage
MSH6	MutS homolog 6 (E. coli)	MSH6	Hs.445052	2p16	11.965	16.78	3.123	10.623	Cell cycle and DNA damage
CDCA8	Cell division cycle associated 8	CDCA8	Hs.524571	1p34.3	17.886	10.739	4.471	11.032	Cell cycle and DNA damage
MNAT1	Menage-a-trois 1 (CAK assembly factor)	MNAT1	Hs.509523	14q23	12.591	17.966	5.669	12.076	Cell cycle and DNA damage
PARD3	Par-3 partitioning defective 3 homolog (Caenorhabditis elegans)	PARD3	Hs.131489	10p11.22	9.685	16.554	11.653	12.631	Cell cycle and DNA damage
STIM1	Stromal interaction molecule 1	STIM1	Hs.501735	11p15.5	23.391	16.045	3.178	14.204	Cell cycle and DNA damage
PAFAH1B1	Platelet-activating factor acetylhydrolase, isoform Ib	PAFAH1B1	Hs.77318	17p13.3	26.964	29.484	2.428	19.625	Cell cycle and DNA damage
APPL2	Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2	APPL2	Hs.506603	12q24.1	17.794	37.394	5.325	20.171	Cell cycle and DNA damage
TMF1	TATA element modulatory factor 1	TMF1	Hs.267632	3p21–p12	0.272	0.095	0.289	0.218	Transcription
ZNF24	Zinc finger protein 24 (KOX 17)	ZNF24	Hs.591057	18q12	0.178	0.095	0.385	0.22	Transcription
EIF1AY	Eukaryotic translation initiation factor 1A, Y-linked	EIF1AY	Hs.461178	Yq11.222	0.312	0.13	0.267	0.236	Transcription
ZNF516	Zinc finger protein 516	ZNF516	Hs.436973	18q23	0.22	0.129	0.386	0.245	Transcription
ZNF232	Zinc finger protein 232	ZNF232	Hs.279914	17p13–p12	0.118	0.193	0.459	0.257	Transcription
ID2	Inhibitor of DNA binding 2	ID2	Hs.180919	2p25	0.147	0.177	0.454	0.259	Transcription
CEBPG	CCAAT/enhancer binding protein (C/EBP), ?	CEBPG	Hs.429666	19q13.11	0.212	0.075	0.494	0.26	Transcription
TSC22D3	TSC22 domain family, member 3	TSC22D3	Hs.522074	Xq22.3	0.284	0.256	0.296	0.278	Transcription
ZNF148	Zinc finger protein 148 (pHZ-52)	ZNF148	Hs.592591	3q21	0.24	0.144	0.458	0.281	Transcription
NPAS2	Neuronal PAS domain protein 2	NPAS2	Hs.156832	2q11.2	0.185	0.284	0.383	0.284	Transcription
MECOM	Myelodysplasia syndrome 1	MDS1	Hs.659873	3q26	0.188	0.389	0.276	0.285	Transcription
GTF2A2	General transcription factor IIA, 2, 12 kDa	GTF2A2	Hs.512934	15q22.2	0.416	0.16	0.299	0.292	Transcription
KLF3	Kruppel-like factor 3 (basic)	KLF3	Hs.298658	4p14	0.343	0.091	0.485	0.306	Transcription
GTF3A	General transcription factor IIIA	GTF3A	Hs.445977	13q12.3–q13.1	0.414	0.123	0.448	0.328	Transcription
PAX8	Paired box gene 8	PAX8	Hs.469728	2q12–q14	0.151	0.484	0.482	0.372	Transcription
TCF7L1	Transcription factor 7-like 1 (T-cell-specific, HMG-box)	TCF7L1	Hs.516297	2p11.2	2.359	2.109	2.127	2.198	Transcription
NFE2L2	Nuclear factor (erythroid-derived 2)-like 2	NFE2L2	Hs.155396	2q31	2.604	2.685	2.322	2.537	Transcription
IRF2	Interferon regulatory factor 2	IRF2	Hs.654566	4q34.1–q35.1	6.693	2.011	2.165	3.623	Transcription
CREBBP	CREB binding protein (Rubinstein–Taybi syndrome)	CREBBP	Hs.459759	16p13.3	4.481	4.532	3.872	4.295	Transcription
NPAS3	Neuronal PAS domain protein 3	NPAS3	Hs.659456	14q12–q13	5.148	7.446	3.289	5.294	Transcription
POU2F2	POU domain, class 2, transcription factor 2	POU2F2	Hs.654420	19q13.2	5.152	4.584	6.295	5.344	Transcription
SMAD4	SMAD, mothers against DPP homolog 4 (Drosophila melanogaster)	SMAD4	Hs.75862	18q21.1	6.086	8.03	2.611	5.576	Transcription
ZNF195	Zinc finger protein 195	ZNF195	Hs.386294	11p15.5	5.427	7.606	4.887	5.973	Transcription
ZNF610	Zinc finger protein 610	ZNF610	Hs.357663	19q13.41	13.126	9.015	2.578	8.239	Transcription
FOXP1	Forkhead box P1	FOXP1	Hs.431498	3p14.1	9.008	12.841	6.069	9.306	Transcription
ZNF207	Zinc finger protein 207	ZNF207	Hs.500775	17q11.2	16.516	12.348	7.8	12.221	Transcription
THRA	Thyroid hormone receptor, ?	THRA	Hs.724	17q11.2	0.164	0.122	0.312	0.199	Oncogene/tumor suppressors
RAF1	V-raf-1 murine leukemia viral oncogene homolog 1	RAF1	Hs.159130	3p25	0.155	0.107	0.36	0.207	Oncogene/tumor suppressors
HIC2	Hypermethylated in cancer 2	HIC2	Hs.592456	22q11.21	0.156	0.162	0.344	0.221	Oncogene/tumor suppressors
RAB27B	RAB27B, member RAS oncogene family	RAB27B	Hs.25318	18q21.2	0.148	0.172	0.366	0.229	Oncogene/tumor suppressors
BCAS2	Breast carcinoma amplified sequence 2	BCAS2	Hs.22960	1p13.2	0.158	0.484	0.285	0.309	Oncogene/tumor suppressors
EGFR	Epidermal growth factor receptor	EGFR	Hs.488293	7p12	0.488	0.135	0.321	0.315	Oncogene/tumor suppressors
YES1	V-yes-1, Yamaguchi sarcoma viral oncogene homolog 1	YES1	Hs.194148	18p11.31–p11.2	0.409	0.239	0.324	0.324	Oncogene/tumor suppressors
LATS2	LATS, large tumor suppressor, homolog 2 (D. melanogaster)	LATS2	Hs.78960	13q11–q12	0.753	0.261	0.442	0.485	Oncogene/tumor suppressors
TOB1	Transducer of ERBB2, 1	TOB1	Hs.531550	17q21.1	2.705	3.092	2.334	2.712	Oncogene/tumor suppressors
RAB2B	RAB2B, member RAS oncogene family	RAB2B	Hs.22399	14q11.2	7.922	5.968	2.454	5.448	Oncogene/tumor suppressors
RAB6A	RAB6A, member RAS oncogene family	RAB6A	Hs.503222	11q13.3	10.773	4.367	2.284	5.808	Oncogene/tumor suppressors
RAB2A	RAB2A, member RAS oncogene family	RAB2A	Hs.369017	8q12.1	10.617	7.578	4.859	7.685	Oncogene/tumor suppressors
ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3	ERBB3	Hs.118681	12q13	12.264	15.224	2.325	9.938	Oncogene/tumor suppressors
KANK1	Ankyrin repeat domain 15	ANKRD15	Hs.306764	9p24.3	11.436	16.894	2.503	10.278	Oncogene/tumor suppressors
DAPK1	Death-associated protein kinase 1	DAPK1	Hs.380277	9q34.1	9.656	31.954	2.465	14.692	Oncogene/tumor suppressors
CD82	CD82 molecule	CD82	Hs.527778	11p11.2	11.791	40.345	4.214	18.783	Oncogene/tumor suppressors
