Accession Number	Gene Name	LPS (?g/ml)	Pearson Correlation Coefficient (r) Control (PBS)	1% H2O2	2% H2O2	3% H2O2	Function
NM_003087	synuclein, gamma (breast cancer-specific protein 1) (SNCG)	1	0.7776	0.966	0.9916	0.9996	Growth Factor and Related Protein Factors
NM_015906	tripartite motif-containing 33 (TRIM33),	1	0.7008	0.9303	0.9703	0.9898	Growth Factor and Related Protein Factors
NM_000222	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog (KIT)	1	0.6613	0.9091	0.9558	0.9807	Growth Factor and Related Protein Factors
Y12863	growth factor FIGF	5	0.7831	0.9683	0.9927	0.9998	Growth Factor and Related Protein Factors
NM_002086	growth factor receptor-bound protein 2 (GRB2)	1	0.6311	0.8919	0.9434	0.9722	Growth Factor and Related Protein Factors
M35410	insulin-like growth factor binding protein 2 (IGFBP2)	1	0.6801	0.9194	0.963	0.9854	Growth Factor and Related Protein Factors
NM_001050	somatostatin receptor 2 (SSTR2)	1	0.9252	0.9996	0.9871	0.9658	Growth Factor and Related Protein Factors
NM_016135	ets variant gene 7 (TEL2 oncogene) (ETV7)	5	0.681	0.9198	0.9633	0.9856	Growth Factor and Related Protein Factors
NM_006732	FBJ murine osteosarcoma viral oncogene homolog B (FOSB)	5	0.6889	0.924	0.9662	0.9873	Growth Factor and Related Protein Factors
NM_022963	fibroblast growth factor receptor 4 (FGFR4)	5	0.672	0.915	0.96	0.9834	Growth Factor and Related Protein Factors
NM_002957	retinoid × receptor, alpha (RXRA)	5	0.9264	0.9995	0.9866	0.965	Growth Factor and Related Protein Factors
NM_004630	splicing factor 1 (SF1)	5	0.8712	0.9955	0.9993	0.9904	Growth Factor and Related Protein Factors
NM_005252	v-fos FBJ murine osteosarcoma viral oncogene homolog (FOS)	5	0.8257	0.9837	0.9988	0.9986	Growth Factor and Related Protein Factors
NM_000624	peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 (SERPINA5)	1	0.6092	0.879	0.9339	0.9653	Hemostasis
NM_000963	cyclooxygenase-2 (COX2)	1	0.5186	0.8213	0.889	0.9308	Inflammation and Immunity
NM_016577	RAB6B, member RAS oncogene family (RAB6B)	1	0.7002	0.9299	0.9701	0.9897	Transfer of Cargo Between Intracellular Membrane Organelles
