Gene Symbol	Rank	Gene Name	P-Value	Q-Value
XPC	31	2663810_XPC	4.81078E-06	0.002903226
TOE1	32	2334319_TOE1	5.87984E-06	0.003142857
RBL2	33	3661065_RBL2	5.87984E-06	0.003142857
USP20	34	3191176_USP20	5.87984E-06	0.003142857
PARC	35	2907754_PARC	5.87984E-06	0.003142857
PPM1D	36	3729528_PPM1D	6.41437E-06	0.003243243
EDA2R	37	4011096_EDA2R	6.41437E-06	0.003243243
CTPS	38	2332144_CTPS	9.62155E-06	0.004615385
ASTN2	39	3222534_ASTN2	9.62155E-06	0.004615385
BLOC1S2	40	3303392_BLOC1S2	1.12251E-05	0.005227273
CALCOCO1	41	3456353_CALCOCO1	1.22942E-05	0.005227273
CCT5	42	2801526_CCT5	1.22942E-05	0.005227273
UBE2T	43	2451200_UBE2T	1.22942E-05	0.005227273
HIST1H3J	44	2947095_HIST1H3J	1.22942E-05	0.005227273
CSPG4	45	3633578_CSPG4	1.33633E-05	0.005555556
LAMP3	46	2707876_LAMP3	1.38978E-05	0.005625
CENTD2	47	3381241_CENTD2	1.44323E-05	0.005625
SULF2	48	3908358_SULF2	1.44323E-05	0.005625
BSCL2	49	3376054_BSCL2	1.7105E-05	0.006530612
PIGW	50	3719150_PIGW	1.92431E-05	0.007058824
GGT1	51	3939914_GGT1	1.92431E-05	0.007058824
LYAR	52	2758686_LYAR	2.03122E-05	0.007169811
DDB2	53	3329649_DDB2	2.03122E-05	0.007169811
UCP2	54	3381817_UCP2	2.08467E-05	0.007222222
LYK5	55	3766284_LYK5	2.19158E-05	0.007454545
LIG1	56	3866898_LIG1	2.40539E-05	0.008035714
DGKZ	57	3329247_DGKZ	2.51229E-05	0.008245614
E2F1	58	3903146_E2F1	2.67265E-05	0.00862069
MSH6	59	2481142_MSH6	2.93992E-05	0.009322034
ASPA	60	3706659_ASPA	3.04683E-05	0.0095
RRM2B	61	3147286_RRM2B	3.26064E-05	0.01
YWHAH	62	3943207_YWHAH	3.68826E-05	0.010923077
SLC7A1	63	3507710_SLC7A1	3.68826E-05	0.010923077
LOC644743	64	2409574_LOC644743	3.74172E-05	0.010923077
RNF139	65	3114618_RNF139	3.79517E-05	0.010923077
GINS2	66	3703112_GINS2	4.06243E-05	0.010985915
SFRS2	67	3771800_SFRS2	4.11589E-05	0.010985915
SLC12A4	68	3696057_SLC12A4	4.11589E-05	0.010985915
SLC7A6	69	3666146_SLC7A6	4.16934E-05	0.010985915
CEACAM1	70	3863669_CEACAM1	4.16934E-05	0.010985915
CYP4F2	71	3853609_CYP4F2	4.16934E-05	0.010985915
FABP5	72	3104933_FABP5	4.3297E-05	0.01125
GABARAP	73	3743486_GABARAP	4.75732E-05	0.012191781
GALT	74	3167511_GALT	4.97114E-05	0.012567568
ZNF561	75	3849797_ZNF561	5.1315E-05	0.012763158
ZBTB2	76	2979679_ZBTB2	5.18495E-05	0.012763158
FEN1	77	3333226_FEN1	5.39876E-05	0.013116883
TRMT6	78	3896524_TRMT6	5.71948E-05	0.013717949
DQX1	79	2560229_DQX1	5.98674E-05	0.014177215
ORAI3	80	3656665_ORAI3	6.20056E-05	0.0145
RETSAT	81	2562233_RETSAT	6.30746E-05	0.014567901
CYP4F3	82	3823304_CYP4F3	7.00235E-05	0.01597561
KLHL23	83	2514563_KLHL23	7.37652E-05	0.016547619
PCNA	84	3896200_PCNA	7.42998E-05	0.016547619
INPP1	85	2520113_INPP1	8.07141E-05	0.017764706
GINS3	86	3663228_GINS3	8.44559E-05	0.018372093
NCL	87	2603460_NCL	8.98012E-05	0.019310345
SLC7A5	88	3703885_SLC7A5	9.30083E-05	0.019662921
PRKAB1	89	3434142_PRKAB1	9.35429E-05	0.019662921
MOBKL2A	90	3845681_MOBKL2A	9.51465E-05	0.019777778
DUSP12	91	2363902_DUSP12	9.78191E-05	0.02010989
MDM2	92	3421300_MDM2	0.000102095	0.02076087
KIAA0513	93	3672059_KIAA0513	0.000107441	0.021368421
PIK3IP1	94	3957790_PIK3IP1	0.000107975	0.021368421
YPEL3	95	3687452_YPEL3	0.00010851	0.021368421
LMNB2	96	3845909_LMNB2	0.000116528	0.022244898
EXOSC2	97	3191695_EXOSC2	0.000116528	0.022244898
POLH	98	2908100_POLH	0.000116528	0.022244898
POLR1E	99	3168938_POLR1E	0.000133633	0.0252
RAD52	100	3439836_RAD52	0.000134702	0.0252
WDR57	101	2404377_WDR57	0.00014272	0.026132075
SASH3	102	3990512_SASH3	0.000143254	0.026132075
NAT11	103	3334087_NAT11	0.000148065	0.026132075
SFRS7	104	2548970_SFRS7	0.000148065	0.026132075
CDCA4	105	3581386_CDCA4	0.000148065	0.026132075
NUFIP1	106	3512449_NUFIP1	0.000148065	0.026132075
SEC31B	107	3303478_SEC31B	0.00015341	0.02682243
HIST1H2BI	108	2899261_HIST1H2BI	0.000165705	0.028623853
SFXN5	109	2559386_SFXN5	0.000166774	0.028623853
CENPA	110	2473991_CENPA	0.00018281	0.030900901
PPRC1	111	3261447_PPRC1	0.000183344	0.030900901
MRTO4	112	2323559_MRTO4	0.000186551	0.031160714
TEP1	113	3555340_TEP1	0.000190293	0.031315789
FBXO44	114	2320347_FBXO44	0.000190828	0.031315789
SLBP	115	2757319_SLBP	0.000196707	0.031724138
C1orf77	116	2359736_C1orf77	0.000196707	0.031724138
LDB1	117	3304215_LDB1	0.000202053	0.032016807
PLD3	118	3833443_PLD3	0.000203656	0.032016807
UBE2C	119	3887049_UBE2C	0.000203656	0.032016807
ITGAM	120	3656990_ITGAM	0.000210605	0.032833333
SFRS3	121	2905118_SFRS3	0.000212743	0.032892562
RABL2B	122	3966225_RABL2B	0.000219158	0.033333333
ZFP90	123	3666282_ZFP90	0.000219158	0.033333333
APOBEC3F	124	3945614_APOBEC3F	0.000226107	0.034112903
PDSS1	125	3239891_PDSS1	0.000238935	0.035634921
GNL2	126	2407191_GNL2	0.000240004	0.035634921
ANKRA2	127	2862380_ANKRA2	0.000247488	0.035984848
BTBD10	128	3363645_BTBD10	0.000249626	0.035984848
ZWINT	129	3290210_ZWINT	0.00025016	0.035984848
FABP5	130	3517694_FABP5	0.000253368	0.035984848
FUCA1	131	2401643_FUCA1	0.000253902	0.035984848
SFRS4	132	2403740_SFRS4	0.000253902	0.035984848
TNFRSF10C	133	3089816_TNFRSF10C	0.00025604	0.036015038
TMEM68	134	3136015_TMEM68	0.000265662	0.037089552
CHAF1A	135	3817501_CHAF1A	0.000271007	0.037153285
HNRNPA0	136	2877141_HNRNPA0	0.000271007	0.037153285
ZFP36L1	137	3569754_ZFP36L1	0.000272076	0.037153285
HIST1H2AK	138	2947063_HIST1H2AK	0.000275283	0.037318841
PAK1IP1	139	2894663_PAK1IP1	0.000283301	0.038129496
FABP5	140	3374833_FABP5	0.000291319	0.038794326
RFX3	141	3196842_RFX3	0.000292388	0.038794326
CROT	142	3011317_CROT	0.000294526	0.038802817
HIST2H2AC	143	2357952_HIST2H2AC	0.000298268	0.039020979
RIOK1	144	2893721_RIOK1	0.000300406	0.039027778
HSPA9	145	2877508_HSPA9	0.00030789	0.039220779
tcag7.1177	146	3063856_tcag7.1177	0.000310028	0.039220779
SMYD5	147	2488680_SMYD5	0.000315373	0.039220779
SESN2	148	2327391_SESN2	0.000315908	0.039220779
FLJ45909	149	3861658_FLJ45909	0.000315908	0.039220779
STARD5	150	3635553_STARD5	0.00031858	0.039220779
ZNF385A	151	3456700_ZNF385A	0.00031858	0.039220779
ZNF79	152	3189837_ZNF79	0.000319649	0.039220779
GMEB1	153	2327603_GMEB1	0.000322322	0.039220779
WDR63	154	2344731_WDR63	0.000322857	0.039220779
WDR12	155	2595443_WDR12	0.000334082	0.039820359
FGR	156	2403215_FGR	0.000337823	0.039820359
CTNNAL1	157	3219621_CTNNAL1	0.000339427	0.039820359
DENND1C	158	3847906_DENND1C	0.000341565	0.039820359
BCL7B	159	3056108_BCL7B	0.000343703	0.039820359
CDC6	160	3720896_CDC6	0.00034798	0.039820359
TWISTNB	161	3040454_TWISTNB	0.000348514	0.039820359
PRKX	162	3997946_PRKX	0.000350652	0.039820359
ABHD4	163	3528759_ABHD4	0.000350652	0.039820359
ARL6IP6	164	2510884_ARL6IP6	0.00035279	0.039820359
ZNF142	165	2599500_ZNF142	0.000354394	0.039820359
APAF1	166	3427876_APAF1	0.000354394	0.039820359
TACC3	167	2714955_TACC3	0.000355463	0.039820359
CSNK1G1	168	3629012_CSNK1G1	0.000359739	0.040059524
PPIF	169	3253880_PPIF	0.000365619	0.040473373
ZBTB4	170	3743763_ZBTB4	0.000371499	0.040882353
NOLC1	171	3261492_NOLC1	0.000389673	0.042383721
HMGB2	172	2793951_HMGB2	0.000389673	0.042383721
LANCL2	173	3002873_LANCL2	0.000392346	0.042427746
RASGRF1	174	3634852_RASGRF1	0.000407312	0.043714286
GPATCH4	175	2438344_GPATCH4	0.000408916	0.043714286
H2AFV	176	3048869_H2AFV	0.000412658	0.043863636
NHEJ1	177	2599823_NHEJ1	0.00042121	0.044519774
MICALL1	178	3945084_MICALL1	0.000424417	0.044606742
C19orf44	179	3823752_C19orf44	0.000440988	0.046089385
RBM41	180	4017245_RBM41	0.00046718	0.048555556
ZMAT3	181	2706791_ZMAT3	0.000475198	0.048846154
SLC37A4	182	3394092_SLC37A4	0.000475198	0.048846154
PML	183	3601387_PML	0.000480543	0.048972973
RABGGTA	184	3558071_RABGGTA	0.000484285	0.048972973
MCM4	185	3097152_MCM4	0.000484285	0.048972973
ACTL6A	186	2654023_ACTL6A	0.000494441	0.049414894
VWCE	187	3375192_VWCE	0.000496579	0.049414894
DHX15	188	2763805_DHX15	0.000496579	0.049414894
GNS	189	3460127_GNS	0.000520098	0.051481481
NUP35	190	2518743_NUP35	0.000528651	0.052052632
TFB2M	191	2465182_TFB2M	0.000550032	0.053419689
RECQL5	192	3770857_RECQL5	0.000550567	0.053419689
CABC1	193	2383356_CABC1	0.000551101	0.053419689
SLFN12	194	3753538_SLFN12	0.000564999	0.054484536
MYC	195	3115504_MYC	0.000568741	0.054564103
PGPEP1	196	3824963_PGPEP1	0.00058638	0.055969388
LTV1	197	2929036_LTV1	0.000596536	0.056633166
APOBEC3C	198	3945572_APOBEC3C	0.000599743	0.056633166
IMP4	199	2505501_IMP4	0.000602416	0.056633166
C14orf159	200	3548538_C14orf159	0.000609365	0.056732673
PODXL	201	3073013_PODXL	0.000610969	0.056732673
C13orf31	202	3487600_C13orf31	0.000612572	0.056732673
RFC4	203	2709486_RFC4	0.000618987	0.057044335
ZNF217	204	3910260_ZNF217	0.000628074	0.057512195
ESPL1	205	3415857_ESPL1	0.000630212	0.057512195
FLJ11286	206	3820310_FLJ11286	0.000642506	0.058349515
PSMD14	207	2512701_PSMD14	0.000651058	0.058421053
ITGA3	208	3726154_ITGA3	0.000652662	0.058421053
BBS2	209	3692928_BBS2	0.000652662	0.058421053
BBS4	210	3600960_BBS4	0.000660145	0.058544601
GPHN	211	3540862_GPHN	0.000663887	0.058544601
C15orf33	212	3623472_C15orf33	0.000664422	0.058544601
HMG1L1	213	2613804_HMG1L1	0.00066656	0.058544601
PRICKLE3	214	4007865_PRICKLE3	0.000671905	0.058738318
MCM5	215	3944147_MCM5	0.000678854	0.059069767
TAF5L	216	2459971_TAF5L	0.000686337	0.059444444
MCM6	217	2577896_MCM6	0.000692217	0.059677419
GSS	218	3903670_GSS	0.00070077	0.060137615
ZNF337	219	3902081_ZNF337	0.000704511	0.060182648
EEF1E1	220	2940920_EEF1E1	0.000720547	0.060852018
GGH	221	3137875_GGH	0.000721616	0.060852018
RUVBL1	222	2694123_RUVBL1	0.000723755	0.060852018
SMPD3	223	3696317_SMPD3	0.000725358	0.060852018
EIF4G1	224	2655688_EIF4G1	0.000739256	0.061327434
SESN1	225	2968652_SESN1	0.000740325	0.061327434
NT5DC3	226	3468743_NT5DC3	0.00074086	0.061327434
CDC25A	227	2673085_CDC25A	0.00075743	0.062422907
MR1	228	2370317_MR1	0.000762775	0.062587719
RFC2	229	3056414_RFC2	0.00076919	0.062832618
PLK1	230	3653072_PLK1	0.000775604	0.062832618
DONSON	231	3929775_DONSON	0.00077988	0.062832618
DHX33	232	3742727_DHX33	0.000782553	0.062832618
ACBD4	233	3723317_ACBD4	0.000782553	0.062832618
ZNF540	234	3831975_ZNF540	0.000790036	0.063162393
COPS3	235	3747717_COPS3	0.000796451	0.063404255
HIST1H2BL	236	2947032_HIST1H2BL	0.000806607	0.063940678
ZNF506	237	3855968_ZNF506	0.000826919	0.065
SRPRB	238	2643324_SRPRB	0.000826919	0.065
PLEKHF1	239	3828067_PLEKHF1	0.000832264	0.065
DKC1	240	3996667_DKC1	0.000833868	0.065
TRIM22	241	3318443_TRIM22	0.000840282	0.065228216
EXOSC9	242	2741768_EXOSC9	0.000845093	0.06526749
TIPIN	243	3630099_TIPIN	0.000847766	0.06526749
TMEM18	244	2537290_TMEM18	0.000864871	0.066311475
CHAF1B	245	3920003_CHAF1B	0.000873423	0.066693878
ZNF658	246	3206317_ZNF658	0.000880372	0.06695122
EZH1	247	3758078_EZH1	0.000903891	0.068461538
RAE1	248	3890555_RAE1	0.000924204	0.069717742
BCLAF1	249	2975680_BCLAF1	0.00094024	0.07015873
RBM13	250	3093259_RBM13	0.000942378	0.07015873
GATAD2A	251	3825713_GATAD2A	0.000944516	0.07015873
AGA	252	2794902_AGA	0.00094505	0.07015873
NOP5/NOP58	253	2523144_NOP5/NOP58	0.00096269	0.071185771
RNF26	254	3352130_RNF26	0.000969639	0.071411765
SH3GL1	255	3846742_SH3GL1	0.00097338	0.071411765
STMN1	256	2402459_STMN1	0.000981933	0.071511628
FAM111B	257	3331903_FAM111B	0.000985675	0.071511628
SLC2A3	258	3442854_SLC2A3	0.000986209	0.071511628
USP1	259	2339414_USP1	0.001012401	0.073127413
GCH1	260	3565524_GCH1	0.001020419	0.073180077
MCM10	261	3235789_MCM10	0.001020954	0.073180077
ZNF546	262	3833323_ZNF546	0.001061043	0.075763359
LYRM1	263	3651588_LYRM1	0.001080821	0.076029963
YTHDF2	264	2327630_YTHDF2	0.001081356	0.076029963
SPATA18	265	2726910_SPATA18	0.001082959	0.076029963
C17orf65	266	3758928_C17orf65	0.001084028	0.076029963
ACOX1	267	3771215_ACOX1	0.001085097	0.076029963
C8orf32	268	3114240_C8orf32	0.001097391	0.076604478
SLC2A14	269	3442812_SLC2A14	0.001110755	0.077249071
TRIM68	270	3360189_TRIM68	0.001117704	0.077380074
ATF4	271	3945914_ATF4	0.001120911	0.077380074
WDR22	272	3569926_WDR22	0.001169019	0.080404412
CDC20	273	2333136_CDC20	0.001176502	0.080583942
CTNND1	274	3331487_CTNND1	0.001180244	0.080583942
ODF2	275	3190463_ODF2	0.001235835	0.083949275
GRWD1	276	3837796_GRWD1	0.001238508	0.083949275
HERC2P2	277	3585749_HERC2P2	0.001243318	0.083971119
C9orf103	278	3176933_C9orf103	0.001264165	0.085
RPL27A	279	3319613_RPL27A	0.001268976	0.085
FAM149B1	280	3251648_FAM149B1	0.001272183	0.085
GPN1	281	2474681_GPN1	0.001294633	0.086192171
C14orf148	282	3573051_C14orf148	0.001314945	0.087183099
NY-SAR-48	283	3854218_NY-SAR-48	0.001321894	0.087183099
ING5	284	4046447_ING5	0.001323498	0.087183099
CCM2	285	3000167_CCM2	0.001337396	0.087657343
C12orf5	286	3401756_C12orf5	0.001340068	0.087657343
HSPA14	287	3236395_HSPA14	0.001363053	0.088419244
TRIM16	288	3746845_TRIM16	0.001369468	0.088419244
C10orf119	289	3309755_C10orf119	0.001373744	0.088419244
E2F8	290	3365776_E2F8	0.001374813	0.088419244
BXDC2	291	2806231_BXDC2	0.001375347	0.088419244
IL16	292	3604287_IL16	0.001381762	0.088527397
HELLS	293	3258910_HELLS	0.001413834	0.090067797
NLRX1	294	3352002_NLRX1	0.001417041	0.090067797
SAR1A	295	3293244_SAR1A	0.001420248	0.090067797
PGAP1	296	2593407_PGAP1	0.001441629	0.091006711
ZNF511	297	3272736_ZNF511	0.001445905	0.091006711
POLE	298	3479181_POLE	0.001449647	0.091006711
LRDD	299	3358425_LRDD	0.001457131	0.091170569
E2F7	300	3463112_E2F7	0.001483857	0.092393443
EIF1AX	301	2398540_EIF1AX	0.001488133	0.092393443
MRPL37	302	2337003_MRPL37	0.001496151	0.092393443
NUDC	303	2326799_NUDC	0.001503635	0.092393443
CYFIP1	304	3583638_CYFIP1	0.001506307	0.092393443
SNRPD1	305	3781082_SNRPD1	0.001506307	0.092393443
UCK2	306	2365210_UCK2	0.00152074	0.092973856
ZNF37A	307	3243164_ZNF37A	0.00154907	0.094397394
SNRPA1	308	3642162_SNRPA1	0.001567244	0.095194805
HIST2H2AA3	309	2434084_HIST2H2AA3	0.001588091	0.096148867
PTBP1	310	3815165_PTBP1	0.001612145	0.097234727
RUNDC2A	311	3648412_RUNDC2A	0.001616421	0.097234727
SQLE	312	3114832_SQLE	0.001630853	0.097788462
PRKD2	313	3866135_PRKD2	0.001658114	0.098698413
FRMPD2	314	3288224_FRMPD2	0.001661856	0.098698413
CEL	315	3192693_CEL	0.001661856	0.098698413
AKNA	316	3221916_AKNA	0.001672012	0.098987342
CHEK1	317	3354799_CHEK1	0.001677357	0.098990536
HIST1H3H	318	2900051_HIST1H3H	0.001700342	0.100031447
LUC7L2	319	3026988_LUC7L2	0.001711033	0.100344828
PWP1	320	3430552_PWP1	0.00172012	0.1005625
CCT6A	321	3003193_CCT6A	0.001754864	0.101956522
POLE3	322	3221646_POLE3	0.001754864	0.101956522
MCM2	323	2640855_MCM2	0.001766624	0.102321981
CES2	324	3664982_CES2	0.001775711	0.102523077
CPXM1	325	3895118_CPXM1	0.001781056	0.102523077
FANCA	326	3704980_FANCA	0.001789074	0.102652439
CHRAC1	327	3118451_CHRAC1	0.001796023	0.102652439
RPL12	328	2573786_RPL12	0.001799765	0.102652439
KIF22	329	3655628_KIF22	0.001806179	0.102705167
CYCS	330	3042001_CYCS	0.001825957	0.10347432
RBBP7	331	4000944_RBBP7	0.001830768	0.10347432
FAM98C	332	3832435_FAM98C	0.001838786	0.103614458
RAD23B	333	3183757_RAD23B	0.001872461	0.105195195
SLC25A45	334	3377569_SLC25A45	0.0018901	0.105868263
HIST1H3C	335	2899102_HIST1H3C	0.00190774	0.105982405
DCUN1D5	336	3388914_DCUN1D5	0.001910947	0.105982405
GPR108	337	3848118_GPR108	0.001911482	0.105982405
FDXR	338	3770457_FDXR	0.001920034	0.105982405
DAK	339	3332838_DAK	0.001920569	0.105982405
ZNF397OS	340	3803882_ZNF397OS	0.001928587	0.105982405
HIST1H4D	341	2946319_HIST1H4D	0.001931794	0.105982405
ABI3	342	3725602_ABI3	0.001959055	0.106909621
KIAA0430	343	3681956_KIAA0430	0.001960124	0.106909621
STK36	344	2527971_STK36	0.001977229	0.10752907
LONP2	345	3659306_LONP2	0.001995403	0.107672414
UQCC	346	3903889_UQCC	0.002000214	0.107672414
EIF2B3	347	2409904_EIF2B3	0.002000214	0.107672414
SORD	348	3592109_SORD	0.002002886	0.107672414
PPIH	349	2332711_PPIH	0.002008766	0.107679083
C11orf54	350	3344861_C11orf54	0.002018922	0.107914286
COG1	351	3733938_COG1	0.002035493	0.108295455
RBED1	352	2491523_RBED1	0.002037631	0.108295455
HIST1H2BH	353	2899251_HIST1H2BH	0.002076652	0.110056657
NOL9	354	2394784_NOL9	0.002087877	0.110253521
PGF	355	3572209_PGF	0.002092153	0.110253521
MECR	356	2403793_MECR	0.002105516	0.110448179
EID2B	357	3862068_EID2B	0.002107654	0.110448179
ZNF224	358	3835418_ZNF224	0.00212369	0.110977654
IPO13	359	2333599_IPO13	0.002130105	0.111002786
RABL2A	360	2501618_RABL2A	0.00215309	0.111648352
EBP	361	3976670_EBP	0.002154693	0.111648352
IGFBP4	362	3721010_IGFBP4	0.002160573	0.111648352
ZC3H15	363	2519140_ZC3H15	0.002166453	0.111648352
HIST1H2AL	364	2900091_HIST1H2AL	0.002172333	0.111648352
C1orf163	365	2412988_C1orf163	0.002192645	0.112334218
CD3EAP	366	3836243_CD3EAP	0.002198525	0.112334218
RBM28	367	3071636_RBM28	0.002208681	0.112334218
FUS	368	3656904_FUS	0.002218837	0.112334218
E2F6	369	2540578_E2F6	0.00222151	0.112334218
TTYH3	370	2987632_TTYH3	0.002238614	0.112334218
ASNSD1	371	2519860_ASNSD1	0.002238614	0.112334218
TMEM137	372	3336402_TMEM137	0.002241822	0.112334218
EIF2AK4	373	3589570_EIF2AK4	0.002253047	0.112334218
ZER1	374	3226661_ZER1	0.002258927	0.112334218
C18orf22	375	3795466_C18orf22	0.002261065	0.112334218
PAX5	376	3205293_PAX5	0.002263203	0.112334218
KIAA0101	377	3629103_KIAA0101	0.002263737	0.112334218
ROD1	378	3220977_ROD1	0.002282981	0.112989418
TRAF3IP1	379	2534810_TRAF3IP1	0.002289395	0.113007916
GTPBP4	380	3231774_GTPBP4	0.002313449	0.113894737
HAAO	381	2550339_HAAO	0.002323605	0.114094488
PRKY	382	4029152_PRKY	0.002356211	0.114909561
HIST1H2AI	383	2900047_HIST1H2AI	0.002364764	0.114909561
RAD51C	384	3728776_RAD51C	0.00236904	0.114909561
HIST1H4C	385	2899146_HIST1H4C	0.002372782	0.114909561
RPA3	386	3037944_RPA3	0.00237492	0.114909561
PCNX	387	3542689_PCNX	0.002377058	0.114909561
TSPAN31	388	3418492_TSPAN31	0.002408595	0.11596401
HNRNPA3	389	2517302_HNRNPA3	0.002411268	0.11596401
CARD8	390	3866958_CARD8	0.002420889	0.116128205
HIST1H2BB	391	2946225_HIST1H2BB	0.002432115	0.116368286
NUMA1	392	3380901_NUMA1	0.002458307	0.116901763
CYB5D1	393	3709213_CYB5D1	0.002458841	0.116901763
GAK	394	2756673_GAK	0.002462583	0.116901763
OSBPL3	395	3041875_OSBPL3	0.002472204	0.116901763
LATS2	396	3504526_LATS2	0.002478619	0.116901763
DHTKD1	397	3235373_DHTKD1	0.002480757	0.116901763
CLSPN	398	2406420_CLSPN	0.00248824	0.116959799
PHLDA3	399	2450855_PHLDA3	0.002525657	0.118233831
---	400	3459032_---	0.00252833	0.118233831
DCAKD	401	3759540_DCAKD	0.002539555	0.118233831
RRS1	402	3101622_RRS1	0.002540624	0.118233831
PANK1	403	3299705_PANK1	0.002553988	0.118560794
SF1	404	3377044_SF1	0.002583387	0.119607843
IFRD2	405	2675088_IFRD2	0.002592474	0.119607843
PAXIP1	406	3080843_PAXIP1	0.002607441	0.119607843
RBM15	407	2351393_RBM15	0.00260851	0.119607843
APOBEC3D	408	3945585_APOBEC3D	0.00260851	0.119607843
ZNF429	409	3826656_ZNF429	0.002626149	0.119927184
HIST1H2AB	410	2946219_HIST1H2AB	0.00263684	0.119927184
TNFRSF10B	411	3127703_TNFRSF10B	0.002640582	0.119927184
UMPS	412	2639874_UMPS	0.002641116	0.119927184
FNTB	413	3540398_FNTB	0.002669446	0.120674699
CHST6	414	3699616_CHST6	0.002674792	0.120674699
TMEM14B	415	2894711_TMEM14B	0.00267693	0.120674699
CCNE1	416	3828112_CCNE1	0.002703122	0.121350711
ADA	417	3907011_ADA	0.00271114	0.121350711
PEX7	418	2927255_PEX7	0.002716485	0.121350711
TMEM168	419	3068476_TMEM168	0.002724503	0.121350711
HIST2H4A	420	2357891_HIST2H4A	0.002725037	0.121350711
LGALS9	421	3713397_LGALS9	0.002734124	0.121350711
C1orf135	422	2402416_C1orf135	0.002737332	0.121350711
LOC401127	423	2724377_LOC401127	0.002756575	0.121914894
CSNK1G2	424	3816153_CSNK1G2	0.00277368	0.122382075
PHF2	425	3179975_PHF2	0.002783301	0.122517647
RAC2	426	3960061_RAC2	0.002797199	0.122840376
MIRHG1	427	3496366_MIRHG1	0.002817511	0.12317757
HIST1H4B	428	2946208_HIST1H4B	0.002818046	0.12317757
CCDC122	429	3512050_CCDC122	0.00285279	0.124139535
BXDC5	430	2344542_BXDC5	0.002853325	0.124139535
ISG20L1	431	3607232_ISG20L1	0.002877379	0.124761905
MAD2L1	432	2783715_MAD2L1	0.002895018	0.124761905
ANP32E	433	2434319_ANP32E	0.002897156	0.124761905
FAS	434	3257098_FAS	0.00290464	0.124761905
SIDT2	435	3350775_SIDT2	0.002909985	0.124761905
SLC35D1	436	2417095_SLC35D1	0.002916399	0.124761905
NSUN2	437	2847292_NSUN2	0.002920141	0.124761905
DNTTIP2	438	2423597_DNTTIP2	0.002927625	0.124761905
CCDC90B	439	3384471_CCDC90B	0.002939384	0.124761905
MAN2B1	440	3851545_MAN2B1	0.002939919	0.124761905
C10orf2	441	3260937_C10orf2	0.002940988	0.124761905
THAP2	442	3422215_THAP2	0.002974129	0.1250783
SP2	443	3724931_SP2	0.002974129	0.1250783
AGBL2	444	3372420_AGBL2	0.00297787	0.1250783
ISG20L2	445	2438482_ISG20L2	0.002979474	0.1250783
YPEL2	446	3729052_YPEL2	0.002982681	0.1250783
PREB	447	2545509_PREB	0.002988561	0.1250783
ZNF30	448	3829964_ZNF30	0.002997114	0.12515625
ACAD10	449	3432030_ACAD10	0.003009942	0.125412027
HIST1H2AJ	450	2947040_HIST1H2AJ	0.003025978	0.125609756
NEK2	451	2454444_NEK2	0.003028116	0.125609756
CCNL1	452	2702307_CCNL1	0.003040945	0.125862832
ISCU	453	3430776_ISCU	0.003055912	0.126069869
GADD45A	454	2341083_GADD45A	0.003064999	0.126069869
SMAD5	455	2830010_SMAD5	0.003070879	0.126069869
BAX	456	3838067_BAX	0.00307462	0.126069869
RUNDC2C	457	3655213_RUNDC2C	0.003081035	0.126069869
PCMT1	458	2930863_PCMT1	0.00308638	0.126069869
RP4-692D3.1	459	2332583_RP4-692D3.1	0.003104554	0.126535948
LRRC59	460	3762355_LRRC59	0.003119521	0.126544276
