Probe Set ID	Unigene(Avadis)	Gene Title	Gene Symbol	Fold change	p-value
204470_at	Hs.789	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	17.192766	0.000100706
209437_s_at	Hs.445818	spondin 1, extracellular matrix protein	SPON1	15.999648	0.005044948
1554675_a_at	Hs.501586	chromosome 10 open reading frame 94	C10orf94	15.988359	0.011072372
205660_at	Hs.118633	2-5-oligoadenylate synthetase-like	OASL	15.670391	0.006327902
1553710_at	Hs.178648	hypothetical protein FLJ31659	FLJ31659	14.750173	0.048443496
219106_s_at	Hs.50550	kelch repeat and BTB (POZ) domain containing 10	KBTBD10	14.749353	0.0313755
214576_at	Hs.248189	keratin, hair, acidic, 6	KRTHA6	14.56824	0.004248859
219085_s_at	Hs.466919	gem (nuclear organelle) associated protein 7	GEMIN7	14.464086	0.014860542
209211_at	Hs.508234	Kruppel-like factor 5 (intestinal)	KLF5	14.359758	0.015809624
210390_s_at	Hs.272493	chemokine (C-C motif) ligand 14 /// chemokine (C-C motif) ligand 15	CCL14 /// CCL15	13.735457	0.002113537
207901_at	Hs.674	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	IL12B	13.677894	0.038233742
237687_at	Hs.31795	hypothetical protein LOC283737	LOC283737	13.2509165	0.001935543
1554911_at	Hs.335891	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	ABCC11	13.035548	0.006785525
242041_at	Hs.370147	hypothetical protein FLJ22490	FLJ22490	12.899283	0.038207956
206932_at	Hs.47357	cholesterol 25-hydroxylase	CH25H	12.820813	0.037306406
229158_at	Hs.105448	WNK lysine deficient protein kinase 4	WNK4	12.077913	0.01145359
215992_s_at	Hs.113912	Rap guanine nucleotide exchange factor (GEF) 2	RAPGEF2	11.848835	0.031863447
244725_at	Hs.371976	DMRT-like family A1	DMRTA1	11.712225	0.04199268
206596_s_at	Hs.89606	neural retina leucine zipper	NRL	11.69571	0.012229406
227180_at	Hs.274256	ELOVL family member 7, elongation of long chain fatty acids (yeast)	ELOVL7	11.378991	0.029088898
218810_at	Hs.471918	hypothetical protein FLJ23231	FLJ23231	11.283609	0.014143812
218995_s_at	Hs.506423	endothelin 1	EDN1	11.192674	0.000613008
219211_at	Hs.38260	ubiquitin specific protease 18	USP18	10.991138	0.009144569
36564_at	Hs.546478	IBR domain containing 3	IBRDC3	10.89219	0.023743782
220104_at	Hs.133512	zinc finger CCCH type, antiviral 1	ZC3HAV1	10.782928	0.029456308
233178_at	Hs.112148	TGFB-induced factor 2-like, Y-linked	TGIF2LY	10.55463	0.000846357
203915_at	Hs.77367	chemokine (C-X-C motif) ligand 9	CXCL9	10.5042095	0.017535955
236474_at	Hs.435535	Zinc finger protein 395	ZNF395	9.749284	0.013040413
236655_at	Hs.368433	Tumor protein D52	TPD52	9.711865	0.021288004
220266_s_at	Hs.376206	Kruppel-like factor 4 (gut)	KLF4	9.4066	0.007754059
234158_at	Hs.523329	EPH receptor B2	EPHB2	9.243886	0.029712288
238567_at	Hs.210043	sphingosine-1-phosphate phosphotase 2	SGPP2	9.185395	0.024721248
1554929_at	Hs.167451	KIAA0999 protein	KIAA0999	8.730819	0.03341759
202509_s_at	Hs.525607	tumor necrosis factor, alpha-induced protein 2	TNFAIP2	8.673425	0.02121235
219863_at	Hs.26663	hect domain and RLD 5	HERC5	8.412219	0.003843023
205483_s_at	Hs.458485	interferon, alpha-inducible protein (clone IFI-15K)	G1P2	8.333184	0.004296656
225316_at	Hs.75668	hypothetical protein FLJ14490	FLJ14490	8.23108	0.016991585
244326_at	Hs.250632	Hypothetical protein FLJ11078	FLJ11078	8.184466	0.007187371
205912_at	Hs.501135	pancreatic lipase	PNLIP	8.155562	0.017157366
242329_at		hypothetical LOC401317	LOC401317	7.9762764	0.014339952
225934_at	Hs.515698	hypothetical protein LOC148413 /// similar to hypothetical protein LOC148413	LOC148413 /// LOC440746	7.953602	0.014976647
213568_at	Hs.253247	odd-skipped related 2 (Drosophila)	OSR2	7.789702	0.006407622
214038_at	Hs.271387	chemokine (C-C motif) ligand 8	CCL8	7.5765533	0.042614188
228377_at	Hs.446164	kelch-like 14 (Drosophila)	KLHL14	7.5133185	0.019647501
233047_at	Hs.170776	hypothetical protein LOC90167	LOC90167	7.478502	0.045762237
209706_at	Hs.55999	NK3 transcription factor related, locus 1 (Drosophila)	NKX3-1	7.4080477	0.011863587
211586_s_at	Hs.268942	ATPase, Ca++ transporting, plasma membrane 2	ATP2B2	7.369013	0.002741423
214059_at	Hs.82316	Interferon-induced protein 44	IFI44	7.3447213	0.0183592
228153_at	Hs.148741	IBR domain containing 2	IBRDC2	7.3404512	0.029026313
220804_s_at	Hs.192132	tumor protein p73	TP73	7.168919	0.017035479
241252_at	Hs.99480	Hypothetical protein LOC157570	LOC157570	7.0160403	0.008316555
218943_s_at	Hs.190622	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	DDX58	7.010638	0.01769658
1562447_a_at	Hs.533260	KIAA0649	KIAA0649	7.00889	0.005025132
201631_s_at	Hs.76095	immediate early response 3	IER3	6.9327946	0.003449376
205767_at	Hs.115263	epiregulin	EREG	6.8805146	0.038094174
209098_s_at	Hs.224012	jagged 1 (Alagille syndrome)	JAG1	6.8794947	0.03642541
232666_at	Hs.528634	2-5-oligoadenylate synthetase 3, 100kDa	OAS3	6.8305106	0.016477434
202638_s_at	Hs.515126	intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ICAM1	6.7822123	0.002370263
230061_at	Hs.22026	Hypothetical protein BC014339	LOC116441	6.5660386	0.011396267
214955_at	Hs.370885	transmembrane protease, serine 6	TMPRSS6	6.419547	0.004611601
242537_at	Hs.446240	Protein kinase C binding protein 1	PRKCBP1	6.4068737	0.04547841
242542_at	Hs.102471	Phosphatase and actin regulator 2	PHACTR2	6.2921247	0.01963214
235682_s_at	Hs.502612	heat shock 27kDa protein family, member 7 (cardiovascular)	HSPB7	6.291922	0.02345043
213524_s_at	Hs.432132	putative lymphocyte G0/G1 switch gene	G0S2	6.288318	0.009177334
221345_at	Hs.248056	G protein-coupled receptor 43	GPR43	6.2699876	0.01785761
208571_at	Hs.458747	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member D /// acidic (leucine-rich) nuclear phosphoprotein 32 family, member C	ANP32A /// ANP32D /// ANP32C	6.215926	0.00866976
224337_s_at	Hs.19545	frizzled homolog 4 (Drosophila) /// frizzled homolog 4 (Drosophila)	FZD4	6.153537	0.020027872
204747_at	Hs.47338	interferon-induced protein with tetratricopeptide repeats 3	IFIT3	6.0791183	0.023288004
205990_s_at	Hs.152213	wingless-type MMTV integration site family, member 5A	WNT5A	6.0085073	0.031666536
241107_at	Hs.132868	Ubiquitin specific protease 32	USP32	5.9793186	0.014099683
206186_at	Hs.396566	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)	MPP3	5.9555016	0.018537994
205816_at	Hs.285724	integrin, beta 8	ITGB8	5.9119396	0.03930535
236892_s_at	Hs.463349	Hypothetical LOC404266	LOC404266	5.8878226	0.029392045
220977_x_at	Hs.369232	erythrocyte membrane protein band 4.1 like 5 /// erythrocyte membrane protein band 4.1 like 5	EPB41L5	5.8818107	0.04709573
217517_x_at	Hs.285197	SFRS protein kinase 2	SRPK2	5.7547064	0.004628241
1563692_at	Hs.1650	Solute carrier family 26, member 3	SLC26A3	5.694847	0.043758832
1562792_at	Hs.134190	Hypothetical protein LOC152519	LOC152519	5.6625223	0.002924225
1555464_at	Hs.163173	interferon induced with helicase C domain 1	IFIH1	5.602933	0.026552957
208265_at	Hs.283092	hypothetical protein DKFZp547H025	DKFZp547H025	5.548789	0.02003581
1558010_s_at	Hs.502338	solute carrier family 1 (glial high affinity glutamate transporter), member 2	SLC1A2	5.5032225	0.021094467
212561_at	Hs.501857	RAB6 interacting protein 1	RAB6IP1	5.463706	0.007696196
1559136_s_at	Hs.303154	Iduronate 2-sulfatase (Hunter syndrome) /// Clone 161455-2-3 B cell expressed mRNA from chromosome X.	IDS	5.4467936	0.00656527
227845_s_at	Hs.7423	src homology 2 domain-containing transforming protein D	SHD	5.445813	0.021651743
215716_s_at	Hs.506276	ATPase, Ca++ transporting, plasma membrane 1	ATP2B1	5.3233995	0.03607022
230578_at	Hs.230188	Zinc finger protein 471	ZNF471	5.2154727	0.040969163
1555053_at	Hs.177193	synaptotagmin IX	SYT9	5.2096605	0.004147377
1570359_at	Hs.99120	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DDX3Y	5.142226	0.001679754
234772_s_at	Hs.534509	keratin associated protein 2-2 /// keratin associated protein 2.1B	KRTAP2-2 /// KAP2.1B	4.9486623	0.006087275
200800_s_at	Hs.520028	heat shock 70kDa protein 1A /// heat shock 70kDa protein 1B	HSPA1A /// HSPA1B	4.9364247	0.000754925
1569377_at	Hs.116240	hypothetical protein MGC26979	MGC26979	4.927046	0.036555063
217299_s_at	Hs.492208	Nijmegen breakage syndrome 1 (nibrin)	NBS1	4.9253426	0.029359285
219102_at	Hs.439184	reticulocalbin 3, EF-hand calcium binding domain	RCN3	4.8898597	0.028794067
206040_s_at	Hs.57732	mitogen-activated protein kinase 11	MAPK11	4.8358808	0.000705589
233479_at	Hs.229988	GPI deacylase	PGAP1	4.826077	0.011332546
219497_s_at	Hs.370549	B-cell CLL/lymphoma 11A (zinc finger protein)	BCL11A	4.8244805	0.033558648
231779_at	Hs.424542	interleukin-1 receptor-associated kinase 2	IRAK2	4.8145604	0.049624104
211843_x_at	Hs.111944	cytochrome P450, family 3, subfamily A, polypeptide 7	CYP3A7	4.782993	0.015969636
230188_at	Hs.4285	hypothetical protein LOC348938	LOC348938	4.7054806	0.004904146
209999_x_at	Hs.50640	suppressor of cytokine signaling 1	SOCS1	4.663502	0.036163807
230170_at	Hs.248156	oncostatin M	OSM	4.657613	0.018666018
210722_at	Hs.73923	pancreatic lipase-related protein 1	PNLIPRP1	4.650799	0.018544246
1552917_at	Hs.406745	interleukin 29 (interferon, lambda 1)	IL29	4.604399	0.013733025
1559433_at	Hs.517144	Hypothetical protein LOC149773	LOC149773	4.5905485	0.0494217
202628_s_at	Hs.414795	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	4.5494432	0.00484633
211520_s_at	Hs.519693	glutamate receptor, ionotropic, AMPA 1	GRIA1	4.534852	0.039752226
1557895_at	Hs.375092	FLJ35934 protein	FLJ35934	4.4868073	0.040838163
1561537_at	Hs.369054	hypothetical gene supported by BC039496	LOC388906	4.4502263	0.002000378
239884_at	Hs.127013	Ca2+-dependent secretion activator	CADPS	4.4421024	0.030793631
207560_at	Hs.459187	solute carrier family 28 (sodium-coupled nucleoside transporter), member 1	SLC28A1	4.4348035	0.022051636
231070_at	Hs.310225	chromosome 6 open reading frame 71	C6orf71	4.4139557	0.023718074
234919_s_at	Hs.157284	syntrophin, gamma 1	SNTG1	4.4061933	0.002625287
1554923_at	Hs.406890	sterile alpha motif domain containing 6	SAMD6	4.396295	0.018761646
234713_x_at		putative microtubule-binding protein	HSA251708	4.3926964	0.017147906
205373_at	Hs.167368	catenin (cadherin-associated protein), alpha 2	CTNNA2	4.388809	0.018348813
204057_at	Hs.137427	Interferon regulatory factor 8 /// Interferon regulatory factor 8	IRF8	4.3521757	0.01752627
203304_at	Hs.533336	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	BAMBI	4.3099546	0.011014187
229221_at	Hs.502328	CD44 antigen (homing function and Indian blood group system)	CD44	4.302329	0.02459083
209636_at	Hs.73090	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	NFKB2	4.2905455	0.018642467
1569466_at	Hs.139369	chromosome 20 open reading frame 152	C20orf152	4.2700424	0.024648607
206036_s_at	Hs.370620	v-rel reticuloendotheliosis viral oncogene homolog (avian)	REL	4.269113	0.037767082
1555689_at	Hs.838	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	CD80	4.2334933	0.02422797
202912_at	Hs.441047	adrenomedullin	ADM	4.2229204	0.027041009
1558333_at	Hs.116254	chromosome 22 open reading frame 15	C22orf15	4.1892924	0.022915931
242387_at	Hs.289293	hypothetical protein INM01	INM01	4.175566	0.025141142
1555912_at		ST7 overlapping transcript 1 (antisense non-coding RNA)	ST7OT1	4.1561556	0.009411068
237673_at	Hs.507916	Transforming growth factor beta 1 induced transcript 4	TGFB1I4	4.1558843	0.033990268
221801_x_at	Hs.521461	neurofilament, light polypeptide 68kDa	NEFL	4.1349144	0.04025291
206907_at	Hs.1524	tumor necrosis factor (ligand) superfamily, member 9	TNFSF9	4.1185136	0.016507704
1563808_at	Hs.170422	MCF.2 cell line derived transforming sequence-like	MCF2L	4.0936637	0.029768862
1559953_at	Hs.8765	DEAD (Asp-Glu-Ala-Asp) box polypeptide 42	DDX42	4.067846	0.034051396
209614_at	Hs.2523	alcohol dehydrogenase 1A (class I), alpha polypeptide /// alcohol dehydrogenase IB (class I), beta polypeptide /// alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1A /// ADH1B /// ADH1C	4.064177	0.034977574
238235_at	Hs.416108	CDC2-related protein kinase 7	CRK7	4.027769	0.016836029
219736_at	Hs.519514	tripartite motif-containing 36	TRIM36	3.9874158	0.041185558
218033_s_at	Hs.459952	stannin	SNN	3.9839811	0.04008038
1553523_at	Hs.449637	NACHT, leucine rich repeat and PYD containing 14	NALP14	3.97402	0.008182403
1556740_at	Hs.20103	Hypothetical protein FLJ39155	FLJ39155	3.9330733	0.015966786
225186_at	Hs.471162	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	3.857508	0.046472818
202734_at	Hs.515094	thyroid hormone receptor interactor 10	TRIP10	3.8476558	0.03581626
1561523_at	Hs.512805	NYD-SP28 protein	NYD-SP28	3.8206472	0.046810094
217612_at	Hs.355819	translocase of inner mitochondrial membrane 50 homolog (yeast)	TIMM50	3.8101976	0.030466229
209892_at	Hs.390420	fucosyltransferase 4 (alpha (1,3) fucosyltransferase, myeloid-specific)	FUT4	3.7676148	0.027174152
243890_at	Hs.497626	Plexin A2	PLXNA2	3.7628603	0.04335916
204103_at	Hs.75703	chemokine (C-C motif) ligand 4	CCL4	3.7594085	0.011865561
238893_at	Hs.136888	hypothetical protein LOC338758	LOC338758	3.7588682	0.000492596
237607_at	Hs.167046	Adenosine A2b receptor	ADORA2B	3.754119	0.034664817
204452_s_at	Hs.94234	frizzled homolog 1 (Drosophila)	FZD1	3.7472486	0.027141256
204681_s_at	Hs.174768	Rap guanine nucleotide exchange factor (GEF) 5	RAPGEF5	3.737313	0.043241117
217128_s_at	Hs.199068	calcium/calmodulin-dependent protein kinase IG	CAMK1G	3.7213542	0.03930858
210626_at	Hs.463506	A kinase (PRKA) anchor protein 1	AKAP1	3.7204247	0.010279939
220146_at	Hs.179152	toll-like receptor 7	TLR7	3.716445	0.01373791
220146_at	Hs.179152	toll-like receptor 7	TLR7	3.716445	0.01373791
202014_at	Hs.76556	protein phosphatase 1, regulatory (inhibitor) subunit 15A	PPP1R15A	3.7164311	0.047202032
230678_at	Hs.24950	Regulator of G-protein signalling 5	RGS5	3.6833856	0.035986222
202759_s_at	Hs.259461	PALM2-AKAP2 protein	PALM2-AKAP2	3.6781023	0.027635582
1570479_at	Hs.382188	ADP-ribosyltransferase 1	ART1	3.6666722	0.025862625
235639_at	Hs.42771	Cadherin 19, type 2	CDH19	3.662877	0.009067536
240313_at	Hs.131654	DMRT-like family B with proline-rich C-terminal, 1	DMRTB1	3.6562054	0.000656252
210628_x_at	Hs.466766	latent transforming growth factor beta binding protein 4	LTBP4	3.5782676	0.01129801
1565149_at	Hs.503721	dynein, cytoplasmic, heavy polypeptide 2	DNCH2	3.5702205	0.045849096
240074_at	Hs.445097	Snf2-related CBP activator protein	SRCAP	3.5454361	0.017138395
226968_at	Hs.97858	kinesin family member 1B	KIF1B	3.5405498	0.03459374
208100_x_at	Hs.516316	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C /// sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6C	SEMA6C	3.5216074	0.025643414
206327_s_at	Hs.148090	cadherin 15, M-cadherin (myotubule)	CDH15	3.5210114	0.028575754
201925_s_at	Hs.527653	decay accelerating factor for complement (CD55, Cromer blood group system)	DAF	3.5023034	0.029243115
1562957_at	Hs.406990	FLJ39739 protein	FLJ39739	3.4995706	0.042610753
1561708_at	Hs.344080	chromosome 6 open reading frame 150	C6orf150	3.4929607	0.003851373
225344_at	Hs.171426	nuclear receptor coactivator 7	NCOA7	3.4734874	0.028413178
239150_at	Hs.130704	similar to hypothetical protein A430083B19	LOC132203	3.4729762	0.042681426
217176_s_at	Hs.370424	zinc finger protein, X-linked	ZFX	3.471869	0.035237316
208436_s_at	Hs.166120	interferon regulatory factor 7	IRF7	3.449437	0.02663226
217475_s_at	Hs.474596	LIM domain kinase 2	LIMK2	3.4472742	0.021741915
214453_s_at	Hs.82316	interferon-induced protein 44	IFI44	3.4426374	0.022856373
231677_at	Hs.486074	Absent in melanoma 1	AIM1	3.4304266	0.039448373
1563082_at	Hs.434660	Hypothetical protein LOC285045	LOC285045	3.4128354	0.020880723
1558540_s_at	Hs.531906	solute carrier family 2 (facilitated glucose transporter), member 11	SLC2A11	3.4007392	0.000347827
244027_at	Hs.370480	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABCB7	3.3924537	0.015280963
224043_s_at	Hs.474388	ureidopropionase, beta	UPB1	3.3889608	0.014934883
237718_at	Hs.249718	eukaryotic translation initiation factor 4E	EIF4E	3.3708842	0.029861182
239513_at	Hs.197029	Adenosine A2a receptor	ADORA2A	3.3684988	0.002094964
239400_at	Hs.434138	Tachykinin 4 (hemokinin)	TAC4	3.367897	0.003683307
209239_at	Hs.431926	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	NFKB1	3.3669376	0.01403462
1553585_a_at	Hs.546265	melanoma antigen family A, 5	MAGEA5	3.365152	0.003420861
1562235_s_at	Hs.493096	Pre-B-cell leukemia transcription factor 1	PBX1	3.3483243	0.035804924
208105_at	Hs.251412	gastric inhibitory polypeptide receptor	GIPR	3.3464642	0.048811335
210239_at	Hs.435730	iroquois homeobox protein 5	IRX5	3.3440042	0.020201711
202948_at	Hs.516249	interleukin 1 receptor, type I	IL1R1	3.3183832	0.034203023
212012_at	Hs.332197	Melanoma associated gene	D2S448	3.316689	0.02096093
1557705_a_at	Hs.435767	Phosphate cytidylyltransferase 1, choline, alpha isoform	PCYT1A	3.312381	0.006419701
1553241_at	Hs.491856	hypothetical protein FLJ39630	FLJ39630	3.2879672	0.046440303
1553886_at	Hs.528323	hypothetical protein MGC35338	MGC35338	3.2770026	0.047144108
1554319_at	Hs.510225	ribosomal protein S6 kinase, 90kDa, polypeptide 5	RPS6KA5	3.2671978	0.028705297
232863_at	Hs.372707	hypothetical protein FLJ38969	FLJ38969	3.2617812	0.048295222
209355_s_at	Hs.405156	phosphatidic acid phosphatase type 2B	PPAP2B	3.2582366	0.000647893
214530_x_at	Hs.175437	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	EPB41	3.2561665	0.011625004
228230_at	Hs.517180	peroxisomal proliferator-activated receptor A interacting complex 285	PRIC285	3.2486475	0.005606567
232261_at	Hs.520287	Chromosome 6 open reading frame 111	C6orf111	3.2405167	0.03459099
219773_at	Hs.371036	NADPH oxidase 4	NOX4	3.2377017	0.019539967
1555167_s_at	Hs.489615	pre-B-cell colony enhancing factor 1	PBEF1	3.2316015	0.04853073
222940_at	Hs.479898	sulfotransferase family 1E, estrogen-preferring, member 1	SULT1E1	3.2191002	0.043965638
231899_at	Hs.376289	KIAA1726 protein	KIAA1726	3.2027054	0.047339946
219480_at	Hs.48029	snail homolog 1 (Drosophila)	SNAI1	3.1947353	0.034434244
241784_x_at	Hs.480101	DNA helicase HEL308	HEL308	3.1805515	0.008332035
225557_at	Hs.370950	AXIN1 up-regulated 1	AXUD1	3.1496282	0.01346031
1553319_at	Hs.352218	oxoglutarate (alpha-ketoglutarate) receptor 1	OXGR1	3.1424193	0.039411224
220556_at	Hs.292599	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	ATP1B4	3.139116	0.039557926
1564601_at	Hs.322826	hypothetical protein LOC286123	LOC286123	3.1361287	0.003001745
209597_s_at	Hs.521466	paraneoplastic antigen MA2	PNMA2	3.1335444	0.025916273
211014_s_at	Hs.526464	promyelocytic leukemia	PML	3.1334403	0.031115247
213684_s_at	Hs.480311	PDZ and LIM domain 5	PDLIM5	3.1285317	0.04352162
215110_at	Hs.102310	mannose-binding lectin (protein A) 1, pseudogene 1	MBL1P1	3.1090238	0.025627991
216627_s_at	Hs.272011	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	B4GALT1	3.0962236	0.007879652
203438_at	Hs.233160	Stanniocalcin 2	STC2	3.0817428	0.015789686
239914_at	Hs.277035	Monoglyceride lipase	MGLL	3.0807698	0.010656088
1559510_at	Hs.4276	Basic helix-loop-helix domain containing, class B, 9	BHLHB9	3.0759373	0.01805357
1564931_at	Hs.383564	KIAA0574 protein	KIAA0574	3.0757618	0.009393628
235225_at	Hs.129783	sodium channel, voltage-gated, type II, beta	SCN2B	3.0617087	0.005861861
221376_at	Hs.248192	fibroblast growth factor 17	FGF17	3.045998	0.042939257
207690_at	Hs.169577	aristaless-like homeobox 3	ALX3	3.0400481	0.032285783
221792_at	Hs.147164	RAB6B, member RAS oncogene family	RAB6B	3.0255125	0.033365004
231655_x_at	Hs.519523	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	SERPINB6	3.0207243	0.03857941
213172_at	Hs.79170	tetratricopeptide repeat domain 9	TTC9	3.0171182	0.049343146
203010_at	Hs.437058	signal transducer and activator of transcription 5A	STAT5A	2.9950182	0.05082251
240283_at		LOC440008	LOC440008	2.9912813	0.005073753
201235_s_at	Hs.519162	BTG family, member 2	BTG2	2.982328	0.016448708
1562892_at	Hs.375707	Coiled-coil-helix-coiled-coil-helix domain containing 5	CHCHD5	2.9814384	0.020102499
230412_at	Hs.509113	Neuronal PAS domain protein 3	NPAS3	2.9810174	0.031523086
1570130_at	Hs.146679	spermatogenesis associated, serine-rich 2	SPATS2	2.9797761	0.00216998
207281_x_at	Hs.278906	variable charge, X-linked /// variable charge, X-linked 2 /// variable charge, X-linked 3A /// variably charged X-C	VCX /// VCX2 /// VCX3A /// VCX-C	2.9683664	0.043396
219684_at	Hs.43388	28kD interferon responsive protein	IFRG28	2.9681306	0.035389695
200799_at	Hs.520028	heat shock 70kDa protein 1A	HSPA1A	2.9666588	0.021990184
1553454_at	Hs.376144	hypothetical protein FLJ39117	FLJ39117	2.9585228	0.04834599
1564010_at	Hs.440961	Calpastatin	CAST	2.9537077	0.021086162
221101_at		chromosome 14 open reading frame 113	C14orf113	2.9531136	0.034416325
204707_s_at	Hs.433728	mitogen-activated protein kinase 4	MAPK4	2.9427063	0.007410544
1552652_at	Hs.474436	Hermansky-Pudlak syndrome 4	HPS4	2.9030306	0.04290738
243290_at	Hs.484047	KIBRA protein	KIBRA	2.9004898	0.036269624
209327_s_at	Hs.529475	hypothetical protein HSPC111	HSPC111	2.899797	0.04898235
237750_at	Hs.20797	Hypothetical protein LOC63929	LOC63929	2.8837214	0.005990812
1553888_at	Hs.196580	lactate dehydrogenase A-like 6A	LDHAL6A	2.8753722	0.010416113
242925_at	Hs.529656	ring finger protein 148	RNF148	2.8718536	0.003862336
1552995_at	Hs.528111	interleukin 27	IL27	2.8642192	0.04437637
233429_at	Hs.298863	KPL2 protein	FLJ23577	2.85202	0.037856843
213324_at	Hs.195659	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC	2.8508396	0.028237574
231600_at	Hs.127937	macrophage antigen h	UNQ5782	2.8492937	0.032991964
223767_at	Hs.306199	G protein-coupled receptor 84	GPR84	2.836677	0.034575365
235731_at	Hs.279887	aryl hydrocarbon receptor interacting protein-like 1	AIPL1	2.8306766	0.011829026
207406_at	Hs.1644	cytochrome P450, family 7, subfamily A, polypeptide 1	CYP7A1	2.7955513	0.036970917
208224_at	Hs.99992	homeo box B1	HOXB1	2.7936313	0.029568264
240518_at	Hs.129278	GGA binding partner	FLJ11088	2.7793982	0.022767803
209596_at	Hs.369422	adlican	DKFZp564I1922	2.7770183	0.011885078
206195_x_at	Hs.406754	growth hormone 2	GH2	2.7763813	0.012200308
221432_s_at	Hs.403790	solute carrier family 25, member 28 /// solute carrier family 25, member 28	SLC25A28	2.772031	0.0391541
215929_at	Hs.119207	hypothetical protein LOC283079	LOC283079	2.771693	0.033350885
238933_at	Hs.471508	Insulin receptor substrate 1	IRS1	2.765938	0.015314217
228607_at	Hs.414332	2-5-oligoadenylate synthetase 2, 69/71kDa	OAS2	2.764419	0.04899328
243300_at	Hs.509414	Kinectin 1 (kinesin receptor)	KTN1	2.7644184	0.013873518
207080_s_at	Hs.169249	peptide YY	PYY	2.7632668	0.04361195
1556627_at	Hs.159291	Dystrophin related protein 2	DRP2	2.7617862	0.014430967
