Fold Change	Gene Title_Affymetrix	Gene Symbol_Affymetrix	Entez Gene
4.31	solute carrier family 16 (monocarboxylic acid transporters), member 2	Slc16a2	20502
4.23	pleiotrophin	Ptn	19242
4.22	lipopolysaccharide binding protein	Lbp	16803
4.22	retinoic acid receptor responder (tazarotene induced) 2	Rarres2	71660
4.19	DNA methyltransferase 3A	Dnmt3a	13435
4.05	T-cell lymphoma invasion and metastasis 1	Tiam1	21844
4.05	vascular cell adhesion molecule 1	Vcam1	22329
3.89	kinesin family member C3	Kifc3	16582
3.85	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	Ptplb	70757
3.82	glutathione S-transferase, mu 1	Gstm1	14862
3.82	hairy and enhancer of split 6 (Drosophila)	Hes6	55927
3.82	follistatin-like 3	Fstl3	83554
3.81	Matrilin-2	matn2	17181
3.80	adenosine kinase	Adk	11534
3.79	adenylate cyclase 9	Adcy9	11515
3.73	signal transducer and activator of transcription 5B	Stat5b	20851
3.72	Olfactomedin 3	Olfm3	229759
3.71	CAP, adenylate cyclase-associated protein 1 (yeast)	Cap1	12331
3.71	glutathione S-transferase omega 1	Gsto1	14873
3.66	N-acylsphingosine amidohydrolase 2	Asah2	54447
3.64	growth factor receptor bound protein 10	Grb10	14783
3.62	arginine vasopressin-induced 1	Avpi1	69534
3.61	histocompatibility 2, class II antigen A, alpha	H2-Aa	14960
3.61	solute carrier family 4 (anion exchanger), member 2	Slc4a2	20535
3.59	phosphatidic acid phosphatase 2a	Ppap2a	19012
3.59	phosphatidic acid phosphatase type 2B	Ppap2b	67916
3.55	laminin gamma 3	Lamc3	23928
3.54	myosin IB	Myo1b	17912
3.46	apolipoprotein E	Apoe	11816
3.46	WW domain containing transcription regulator 1	Wwtr1	97064
3.46	Nur77 downstream gene 2	Ndg2	103172
3.45	mannosidase 1, alpha	Man1a	17155
3.44	junction adhesion molecule 3	Jam3	83964
3.43	camello-like 1	Cml1	66116
3.42	serine protease inhibitor, Kunitz type 2	Spint2	20733
3.41	tissue factor pathway inhibitor	Tfpi	21788
3.39	myristoylated alanine rich protein kinase C substrate	Marcks	17118
3.38	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11	Galnt11	231050
3.34	cytochrome P450, family 2, subfamily d, polypeptide 22	Cyp2d22	56448
3.31	insulin-like growth factor binding protein 4	Igfbp4	16010
3.31	necdin	Ndn	17984
3.27	protein phosphatase 1M	Ppm1m	67905
3.20	sialyltransferase 9 (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase)	Siat9	20454
3.18	chemokine-like factor super family 6	Cklfsf6	67213
3.16	nucleoporin 88	Nup88	19069
3.15	potassium channel, subfamily K, member 2	Kcnk2	16526
3.10	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	Smarcd3	66993
3.10	FERM domain containing 6	Frmd6	319710
3.09	nuclear receptor binding protein 2	Nrbp2	223649
3.08	CD59a antigen	Cd59a	12509
3.08	glutathione S-transferase, theta 2	Gstt2	14872
3.08	homeo box B5	Hoxb5	15413
3.07	SPARC-like 1 (mast9, hevin)	Sparcl1	13602
3.07	DNA segment, Chr 11, ERATO Doi 18, expressed	D11Ertd18e	52466
3.06	interferon consensus sequence binding protein 1	Icsbp1	15900
3.06	interleukin 11 receptor, alpha chain 1	Il11ra1	16157
3.02	embryonic epithelial gene 1	Eeg1	58207
3.01	cyclin D3	Ccnd3	12445
3.00	glucosamine-6-phosphate deaminase 1	Gnpda1	26384
2.97	multiple PDZ domain protein	Mpdz	17475
2.94	G0/G1 switch gene 2	G0s2	14373
2.94	nemo like kinase	Nlk	18099
2.91	hairy and enhancer of split 1 (Drosophila)	Hes1	15205
2.90	natriuretic peptide receptor 1	Npr1	18160
2.89	solute carrier family 22 (organic cation transporter), member 5	Slc22a5	20520
2.88	solute carrier family 35 (CMP-sialic acid transporter), member 1	Slc35a1	24060
2.88	ethylmalonic encephalopathy 1	Ethe1	66071
2.85	annexin A3	Anxa3	11745
2.84	lysosomal-associated protein transmembrane 4B	Laptm4b	114128
2.82	down-regulated by Ctnnb1, a	Drctnnb1a	84652
2.82	FN5 protein	Fn5	170748
2.81	mannose-6-phosphate receptor binding protein 1	M6prbp1	66905
2.80	glucocorticoid-induced leucine zipper	Gilz	14605
2.80	3-phosphoadenosine 5-phosphosulfate synthase 2	Papss2	23972
2.80	solute carrier family 25, member 44	Slc25a44	229517
2.79	cysteine rich protein 2	Crip2	68337
2.78	kinesin family member 1C	Kif1c	16562
2.77	proprotein convertase subtilisin/kexin type 2	Pcsk2	18549
2.76	GM2 ganglioside activator protein	Gm2a	14667
2.76	non-catalytic region of tyrosine kinase adaptor protein 1	Nck1	17973
2.76	neuronatin	Nnat	18111
2.76	serine (or cysteine) proteinase inhibitor, clade I, member 1	Serpini1	20713
2.74	procollagen, type XIV, alpha 1	Col14a1	12818
2.74	homeo box A5	Hoxa5	15402
2.73	microfibrillar-associated protein 2	Mfap2	17150
2.73	suppressor of variegation 4-20 homolog 1 (Drosophila)	Suv420h1	225888
2.69	cAMP-regulated phosphoprotein 19	Arpp19	59046
2.68	timeless homolog (Drosophila)	Timeless	21853
2.67	pre B-cell leukemia transcription factor 1	Pbx1	18514
2.67	dehydrogenase/reductase (SDR family) member 8	Dhrs8	114664
2.65	abhydrolase domain containing 1	Abhd1	57742
2.64	transmembrane 4 superfamily member 7	Tm4sf7	64540
2.64	potassium channel tetramerisation domain containing 12	Kctd12	239217
2.63	activin A receptor, type 1	Acvr1	11477
2.63	ATP-binding cassette, sub-family G (WHITE), member 2	Abcg2	26357
2.63	transmembrane protein 68	Tmem68	72098
2.63	tudor domain containing 7	Tdrd7	100121
2.62	catenin alpha 1	Catna1	12385
2.61	tripartite motif protein 30	Trim30	20128
2.58	abhydrolase domain containing 6	Abhd6	66082
2.55	annexin A2	Anxa2	12306
2.55	myosin IC	Myo1c	17913
2.54	hect domain and RLD 4	Herc4	67345
2.54	f-box only protein 9	Fbxo9	71538
2.53	AU RNA binding protein/enoyl-coenzyme A hydratase	Auh	11992
2.53	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	Mccc1	72039
2.51	tripartite motif protein 25	Trim25	22660
2.49	S-adenosylmethionine decarboxylase 1	Amd1	11702
2.49	ciliary neurotrophic factor receptor	Cntfr	12804
2.49	tumor differentially expressed 1	Tde1	26943
2.49	isovaleryl coenzyme A dehydrogenase	Ivd	56357
2.48	syndecan 2	Sdc2	15529
2.48	lymphocyte cytosolic protein 1	Lcp1	18826
2.48	CLIP associating protein 2	Clasp2	76499
2.47	proteolipid protein (myelin)	Plp	18823
2.47	reversion-inducing-cysteine-rich protein with kazal motifs	Reck	53614
2.44	Ras association (RalGDS/AF-6) domain family 5	Rassf5	54354
2.44	CDC42 effector protein (Rho GTPase binding) 4	Cdc42ep4	56699
2.44	protein disulfide isomerase associated 5	Pdia5	72599
2.43	epidermal growth factor-containing fibulin-like extracellular matrix protein 1	Efemp1	216616
2.42	aconitase 1	Aco1	11428
2.42	gene rich cluster, C3f gene	Grcc3f	14792
2.42	SAC1 (supressor of actin mutations 1, homolog)-like (S. cerevisiae)	Sacm1l	83493
2.42	inhibitor of Bruton agammaglobulinemia tyrosine kinase	Ibtk	108837
2.41	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	B4galt1	14595
2.41	serine/threonine kinase 10	Stk10	20868
2.41	tetraspanin 14	Tspan14	52588
2.41	mitochondrial translation optimization 1 homolog (S. cerevisiae)	Mto1	68291
2.41	solute carrier family 18 (vesicular monoamine), member 1	Slc18a1	110877
2.41	transmembrane protein 87A	Tmem87a	211499
2.41	myosin XVIIIa	Myo18a	360013
2.39	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, beta	Nfkbib	18036
2.37	Bernardinelli-Seip congenital lipodystrophy 2 homolog (human)	Bscl2	14705
2.37	Yamaguchi sarcoma viral (v-yes-1) oncogene homolog	Lyn	17096
2.37	endothelial cell-specific adhesion molecule	Esam1	69524
2.37	guanylate binding protein 6	Gpb6	229900
2.36	nudix (nucleoside diphosphate linked moiety X)-type motif 9	Nudt9	74167
2.36	secernin 3	Scrn3	74616
2.35	dynactin 3	Dctn3	53598
2.35	peptidase (mitochondrial processing) beta	Pmpcb	73078
2.35	phosphohistidine phosphatase 1	Phpt1	75454
2.35	protein O-fucosyltransferase 2	Pofut2	80294
2.34	2-5 oligoadenylate synthetase-like 2	Oasl2	23962
2.33	latent transforming growth factor beta binding protein 4	Ltbp4	108075
2.32	heat shock protein 1 (chaperonin 10)	Hspe1	15528
2.32	GrpE-like 1, mitochondrial	Grpel1	17713
2.32	UDP-glucose dehydrogenase	Ugdh	22235
2.31	thioredoxin domain containing 4 (endoplasmic reticulum)	Txndc4	76299
2.30	annexin A6	Anxa6	11749
2.30	Sloan-Kettering viral oncogene homolog	Ski	20481
2.29	RME8 protein	Rme8	235567
2.29	polymerase (RNA) II (DNA directed) polypeptide L	Polr21	66491
2.28	SET domain containing (lysine methyltransferase) 8	Setd8	67956
2.28	RAB3B, member RAS oncogene family	Rab3b	69908
2.28	PTC7 protein phosphatase homolog (S. cerevisiae)	Pptc7	320717
2.26	cytochrome P450, family 1, subfamily b, polypeptide 1	Cyp1b1	13078
2.26	pitrilysin metalloprotease 1	Pitrm1	69617
2.25	microtubule-actin crosslinking factor 1	Macf1	11426
2.25	branched chain ketoacid dehydrogenase E1, beta polypeptide	Bckdhb	12040
2.25	vinculin	Vcl	22330
2.25	cytochrome c oxidase, subunit XVII assembly protein homolog (yeast)	Cox17	12856
2.24	formin 2	Fmn2	54418
2.24	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	Slc25a20	57279
2.24	CAAX box 1 homolog C (human)	Cxx1c	72865
2.24	gelsolin	Gsn	227753
2.23	diazepam binding inhibitor	Dbi	13167
2.23	glycine-, glutamate-, thienylcyclohexylpiperidine-binding protein	A930027E11	230967
2.22	preimplantation protein 3	Prei3	19070
2.22	solute carrier family 41, member 3	Slc41a3	71699
2.21	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Taf6	21343
2.21	transforming growth factor, beta receptor I	Tgfbr1	21812
2.20	nuclear factor of activated T-cells, cytoplasmic 3	Nfatc3	18021
2.20	ubiquitin specific protease 31	Usp31	170707
2.19	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	Kdelr2	66913
2.19	oxidative-stress responsive 1	Oxsr1	108737
2.19	proviral integration site 3	Pim3	223775
2.18	hexosaminidase A	Hexa	15211
2.18	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	Mpp5	56217
2.18	membrane-spanning 4-domains, subfamily A, member 11	Ms4a11	64382
2.18	cell division cycle 37 homolog (S. cerevisiae)-like	Cdc37l	67072
2.17	activated leukocyte cell adhesion molecule	Alcam	11658
2.17	LPS-induced TN factor	Litaf	56722
2.15	DNA segment, Chr 6, Wayne State University 176, expressed (Fam3c)	D6Wsu176e	27999
2.15	vacuolar protein sorting 33B (yeast)	Vps33b	233405
2.14	nuclear transcription factor-Y gamma	Nfyc	18046
2.14	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	Spg20	229285
2.13	ATPase, H+ transporting, V1 subunit A, isoform 1	Atp6v1a1	11964
2.13	Max protein	Max	17187
2.13	pumilio 1 (Drosophila)	Pum1	80912
2.13	similar to Caenorhabditis elegans protein C42C1.9	Keo4	226144
2.12	heat shock protein 4	Hspa4	15525
2.12	phosphatidylethanolamine binding protein	Pbp	23980
2.12	UDP-GalNAc:betaGlcNAc beta 1,3-galactosaminyltransferase, polypeptide 2	B3galnt2	97884
2.12	leucine-rich repeat-containing 8	Lrrc8	241296
2.11	dystroglycan 1	Dag1	13138
2.11	CD97 antigen	Cd97	26364
2.11	jumonji domain containing 2C	Jmjd2c	76804
2.11	vaccinia related kinase 3	Vrk3	101568
2.11	beta-glucuronidase	Gus	110006
2.10	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	Hadha	97212
2.09	integrin beta 5	Itgb5	16419
2.09	syndecan 3	Sdc3	20970
2.09	sorting nexin 1	Snx1	56440
2.09	Tensin 1	Tns1	21961
2.08	MIC2 (monoclonal Imperial Cancer Research Fund 2)-like 1	Mic2l1	171486
2.07	membrane-bound transcription factor protease, site 1	Mbtps1	56453
2.07	glycine cleavage system protein H (aminomethyl carrier)	Gcsh	68133
2.07	NADH dehydrogenase (ubiquinone) Fe-S protein 8	Ndufs8	225887
2.06	glycerol-3-phosphate acyltransferase, mitochondrial	Gpam	14732
2.06	Cd27 binding protein (Hindu God of destruction)	Siva	30954
2.06	ATPase, class VI, type 11A	Atp11a	50770
2.06	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3	Ndufa3	66091
2.06	acetoacetyl-CoA synthetase	Aacs	78894
2.05	N-myc downstream regulated 1	Ndr1	17988
2.04	RAB4A, member RAS oncogene family	Rab4a	19341
2.04	methyltransferase-like 3	Mettl3	56335
2.04	chemokine (C-X-C motif) ligand 14	Cxcl14	57266
2.04	plexin D1	Plxnd1	67784
2.04	NADH dehydrogenase (ubiquinone) Fe-S protein 5	Ndufs5	170658
2.03	solute carrier family 31, member 2	Slc31a2	20530
2.03	serine racemase	Srr	27364
2.03	signal recognition particle receptor (docking protein)	Srpr	67398
2.03	methyltransferase like 7A	Mettl7a	70152
2.02	Mpv17 transgene, kidney disease mutant	Mpv17	17527
2.02	stromal cell derived factor 4	Sdf4	20318
2.02	ankyrin repeat domain 47	Ankrd47	80880
2.01	protein kinase inhibitor, gamma	Pkig	18769
2.01	F-box only protein 6b	Fbxo6b	50762
2.01	penta-EF hand domain containing 1	Pef1	67898
2.01	vacuolar protein sorting 11 (yeast)	Vps11	71732
2.01	ERBB receptor feedback inhibitor 1	Errfi1	74155
2.00	SNF related kinase	Snrk	20623
2.00	pantothenate kinase 3	Pank3	211347
