Location	Fold Change	ProbeSet ID	UniGene ID	Gene Symbol	Gene Name
Plasma Membrane	2.1	201656_at	Hs.133397	ITGA6	integrin, alpha 6
Plasma Membrane	2.1	209737_at	Hs.654788	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2
Plasma Membrane	2.1	224964_s_at	Hs.187772	GNG2	guanine nucleotide binding protein (G protein), gamma 2
Plasma Membrane	2.1	215707_s_at	Hs.472010	PRNP	prion protein
Plasma Membrane	2	215856_at	Hs.287692	SIGLEC15	sialic acid binding Ig-like lectin 15
Plasma Membrane	2	201719_s_at	Hs.486470	EPB41L2	erythrocyte membrane protein band 4.1-like 2
Plasma Membrane	2	204359_at	Hs.533710	FLRT2	fibronectin leucine rich transmembrane protein 2
Cytoplasm	4.2	208891_at	Hs.298654	DUSP6	dual specificity phosphatase 6
Cytoplasm	4.1	212538_at	Hs.654825	DOCK9	dedicator of cytokinesis 9
Cytoplasm	3.8	239108_at	Hs.714804	FAR2	fatty acyl CoA reductase 2
Cytoplasm	3.8	200965_s_at	Hs.438236	ABLIM1	actin binding LIM protein 1
Cytoplasm	3.8	208892_s_at	Hs.298654	DUSP6	dual specificity phosphatase 6
Cytoplasm	3.4	204748_at	Hs.196384	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
Cytoplasm	3.4	226432_at	Hs.29464	ETNK1	ethanolamine kinase 1
Cytoplasm	3.2	204154_at	Hs.442378	CDO1	cysteine dioxygenase, type I
Cytoplasm	3.2	206129_s_at	Hs.149103	ARSB	arylsulfatase B
Cytoplasm	3.1	225738_at	Hs.127897	RAPGEF1	Rap guanine nucleotide exchange factor (GEF) 1
Cytoplasm	3.1	204061_at	Hs.390788	PRKX	protein kinase, X-linked
Cytoplasm	3.1	34408_at	Hs.47517	RTN2	reticulon 2
Cytoplasm	3.1	228772_at	Hs.42151	HNMT	histamine N-methyltransferase
Cytoplasm	3	236140_at	Hs.315562	GCLM	glutamate-cysteine ligase, modifier subunit
Cytoplasm	3	216899_s_at	Hs.200770	SKAP2	src kinase associated phosphoprotein 2
Cytoplasm	3	205139_s_at	Hs.657370	UST	uronyl-2-sulfotransferase
Cytoplasm	2.9	227850_x_at	Hs.415791	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5
Cytoplasm	2.9	229958_at	Hs.127675	CLN8	ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)
Cytoplasm	2.8	216250_s_at	Hs.125474	LPXN	leupaxin
Cytoplasm	2.8	203722_at	Hs.77448	ALDH4A1	aldehyde dehydrogenase 4 family, member A1
Cytoplasm	2.8	1552789_at	Hs.592561	SEC62	SEC62 homolog (S. cerevisiae)
Cytoplasm	2.7	221994_at	Hs.480311	PDLIM5	PDZ and LIM domain 5
Cytoplasm	2.7	231832_at	Hs.713979	GALNT4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)
Cytoplasm	2.7	227135_at	Hs.437365	NAAA	N-acylethanolamine acid amidase
Cytoplasm	2.7	226181_at	Hs.34851	TUBE1	tubulin, epsilon 1
Cytoplasm	2.7	219843_at	Hs.699548	IPP	intracisternal A particle-promoted polypeptide
Cytoplasm	2.6	214045_at	Hs.550502	LIAS	lipoic acid synthetase
Cytoplasm	2.5	213562_s_at	Hs.71465	SQLE	squalene epoxidase
Cytoplasm	2.5	204493_at	Hs.591054	BID	BH3 interacting domain death agonist
Cytoplasm	2.5	206665_s_at	Hs.516966	BCL2L1	BCL2-like 1
Cytoplasm	2.5	222846_at	Hs.389733	RAB8B	RAB8B, member RAS oncogene family
Cytoplasm	2.5	227417_at	Hs.369042	MOSC2	MOCO sulphurase C-terminal domain containing 2
Cytoplasm	2.5	205842_s_at	Hs.656213	JAK2	Janus kinase 2 (a protein tyrosine kinase)
Cytoplasm	2.5	1558014_s_at	Hs.501991	FAR1	fatty acyl CoA reductase 1
Cytoplasm	2.5	225290_at	Hs.29464	ETNK1	ethanolamine kinase 1
Cytoplasm	2.4	1568763_s_at	Hs.714877	PDCD6	programmed cell death 6
Cytoplasm	2.4	214221_at	Hs.184720	ALMS1	Alstrom syndrome 1
Cytoplasm	2.4	215743_at	Hs.60339	NMT2	N-myristoyltransferase 2
Cytoplasm	2.4	1559190_s_at	Hs.327631 /// Hs.632973	RDH13	retinol dehydrogenase 13 (all-trans/9-cis)
Cytoplasm	2.4	212990_at	Hs.473632	SYNJ1	synaptojanin 1
Cytoplasm	2.4	238013_at	Hs.369123	PLEKHA2	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2
Cytoplasm	2.4	223465_at	Hs.270437	COL4A3BP	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein
Cytoplasm	2.4	221268_s_at	Hs.24678	SGPP1	sphingosine-1-phosphate phosphatase 1
Cytoplasm	2.4	218501_at	Hs.476402	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3
Cytoplasm	2.4	236208_at	Hs.163645	MOCS2	molybdenum cofactor synthesis 2
Cytoplasm	2.4	216593_s_at	Hs.188456	PIGC	phosphatidylinositol glycan anchor biosynthesis, class C
Cytoplasm	2.3	213572_s_at	Hs.381167	SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1
Cytoplasm	2.3	227997_at	Hs.150725	IL17RD	interleukin 17 receptor D
Cytoplasm	2.3	208868_s_at	Hs.524250	GABARAPL1	GABA(A) receptor-associated protein like 1
Cytoplasm	2.3	218748_s_at	Hs.655158	EXOC5	exocyst complex component 5
Cytoplasm	2.3	33322_i_at	Hs.523718	SFN	stratifin
Cytoplasm	2.3	203285_s_at	Hs.48823	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
Cytoplasm	2.3	214260_at	Hs.531713	COPS8	COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)
Cytoplasm	2.3	214855_s_at	Hs.113150	GARNL1	GTPase activating Rap/RanGAP domain-like 1
Cytoplasm	2.3	226602_s_at	Hs.318898	BCR	breakpoint cluster region
Cytoplasm	2.3	229331_at	Hs.527090	SPATA18	spermatogenesis associated 18 homolog (rat)
Cytoplasm	2.2	220038_at	Hs.656798	SGK3	serum/glucocorticoid regulated kinase family, member 3
Cytoplasm	2.2	205083_at	Hs.406238	AOX1	aldehyde oxidase 1
Cytoplasm	2.2	235722_at	Hs.443661	SYNJ2BP	synaptojanin 2 binding protein
Cytoplasm	2.2	235103_at	Hs.432822	MAN2A1	mannosidase, alpha, class 2A, member 1
Cytoplasm	2.2	212221_x_at	Hs.460960	IDS	iduronate 2-sulfatase
Cytoplasm	2.2	203910_at	Hs.483238	ARHGAP29	Rho GTPase activating protein 29
Cytoplasm	2.2	40148_at	Hs.479602	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2
Cytoplasm	2.2	219062_s_at	Hs.114191	ZCCHC2	zinc finger, CCHC domain containing 2
Cytoplasm	2.2	213750_at	Hs.401842	RSL1D1	ribosomal L1 domain containing 1
Cytoplasm	2.2	213552_at	Hs.183006	GLCE	glucuronic acid epimerase
Cytoplasm	2.2	230174_at	Hs.657617	LYPLAL1	lysophospholipase-like 1
Cytoplasm	2.2	235320_at	Hs.373801	ARL6	ADP-ribosylation factor-like 6
Cytoplasm	2.2	221589_s_at	Hs.293970	ALDH6A1	aldehyde dehydrogenase 6 family, member A1
Cytoplasm	2.1	202660_at	Hs.512235	ITPR2	inositol 1,4,5-triphosphate receptor, type 2
Cytoplasm	2.1	206113_s_at	Hs.475663	RAB5A	RAB5A, member RAS oncogene family
Cytoplasm	2.1	223263_s_at	Hs.591162	FGFR1OP2	FGFR1 oncogene partner 2
Cytoplasm	2.1	226335_at	Hs.445387	RPS6KA3	ribosomal protein S6 kinase, 90kDa, polypeptide 3
Cytoplasm	2.1	203921_at	Hs.8786	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
Cytoplasm	2.1	218700_s_at	Hs.115325	RAB7L1	RAB7, member RAS oncogene family-like 1
Cytoplasm	2.1	243438_at	Hs.652367	PDE7B	phosphodiesterase 7B
Cytoplasm	2.1	234988_at	Hs.632066	VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1
Cytoplasm	2.1	1554053_at	Hs.90458	SPTLC1	serine palmitoyltransferase, long chain base subunit 1
Cytoplasm	2.1	218313_s_at	Hs.548088	GALNT7	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)
Cytoplasm	2.1	36920_at	Hs.655056	MTM1	myotubularin 1
Cytoplasm	2	224898_at	Hs.497873	WDR26	WD repeat domain 26
Cytoplasm	2	212414_s_at	Hs.387255	6-Sep	septin 6
Cytoplasm	2	52285_f_at	Hs.236940	CEP76	centrosomal protein 76kDa
Cytoplasm	2	235635_at	Hs.592313	ARHGAP5	Rho GTPase activating protein 5
Cytoplasm	2	225478_at	Hs.379414	MFHAS1	malignant fibrous histiocytoma amplified sequence 1
Nucleus	5.3	230438_at	Hs.146196	TBX15	T-box 15
Nucleus	4.7	236313_at	Hs.72901	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)
Nucleus	4.3	215071_s_at	Hs.484950	HIST1H2AC	histone cluster 1, H2ac
Nucleus	3.5	212148_at	Hs.654412	PBX1	pre-B-cell leukemia homeobox 1
Nucleus	3.5	231929_at	Hs.604950	IKZF2	IKAROS family zinc finger 2 (Helios)
Nucleus	3.1	233819_s_at	Hs.288773	RNF160	ring finger protein 160
Nucleus	3	211090_s_at	Hs.159014	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B (yeast)
Nucleus	3	218362_s_at	Hs.643464	DIS3	DIS3 mitotic control homolog (S. cerevisiae)
Nucleus	3	206115_at	Hs.534313	EGR3	early growth response 3
Nucleus	3	230063_at	Hs.515634	ZNF264	zinc finger protein 264
Nucleus	2.9	230291_s_at	Hs.644095	NFIB	nuclear factor I/B
Nucleus	2.8	225061_at	Hs.513053	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4
Nucleus	2.7	1558254_s_at	Hs.285197	SRPK2	SFRS protein kinase 2
Nucleus	2.6	231975_s_at	Hs.657594	MIER3	mesoderm induction early response 1, family member 3
Nucleus	2.5	209290_s_at	Hs.644095	NFIB	nuclear factor I/B
Nucleus	2.5	221911_at	Hs.22634	ETV1	ets variant 1
Nucleus	2.5	203347_s_at	Hs.31016	MTF2	metal response element binding transcription factor 2
Nucleus	2.5	206511_s_at	Hs.101937	SIX2	SIX homeobox 2
Nucleus	2.4	222762_x_at	Hs.193370	LIMD1	LIM domains containing 1
Nucleus	2.4	204622_x_at	Hs.563344	NR4A2	nuclear receptor subfamily 4, group A, member 2
Nucleus	2.4	212731_at	Hs.530199	ANKRD46	ankyrin repeat domain 46
Nucleus	2.4	205372_at	Hs.14968	PLAG1	pleiomorphic adenoma gene 1
Nucleus	2.4	202221_s_at	Hs.517517	EP300	E1A binding protein p300
Nucleus	2.4	231188_at	Hs.594023	ZSCAN2	zinc finger and SCAN domain containing 2
Nucleus	2.4	242794_at	Hs.586165	MAML3	mastermind-like 3 (Drosophila)
Nucleus	2.3	1557950_at	Hs.655964	SDCCAG1	serologically defined colon cancer antigen 1
Nucleus	2.3	206510_at	Hs.101937	SIX2	SIX homeobox 2
Nucleus	2.3	209289_at	Hs.644095	NFIB	nuclear factor I/B
Nucleus	2.3	226352_at	Hs.482605	JMY	junction mediating and regulatory protein, p53 cofactor
Nucleus	2.3	226366_at	Hs.124537	SHPRH	SNF2 histone linker PHD RING helicase
Nucleus	2.3	210253_at	Hs.90753	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa
Nucleus	2.2	212594_at	Hs.711490	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
Nucleus	2.2	232103_at	Hs.406134	BPNT1	3(2), 5-bisphosphate nucleotidase 1
Nucleus	2.2	211352_s_at	Hs.592142	NCOA3	nuclear receptor coactivator 3
Nucleus	2.2	213147_at	Hs.592166	HOXA10	homeobox A10
Nucleus	2.2	223651_x_at	Hs.153546	CDC23 (includes EG:8697)	cell division cycle 23 homolog (S. cerevisiae)
Nucleus	2.2	214684_at	Hs.268675	MEF2A (includes EG:4205)	myocyte enhancer factor 2A
Nucleus	2.2	203845_at	Hs.533055	KAT2B	K(lysine) acetyltransferase 2B
Nucleus	2.2	212593_s_at	Hs.711490	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
Nucleus	2.2	211105_s_at	Hs.534074	NFATC1	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 1
Nucleus	2.2	217526_at	Hs.513470	NFATC2IP	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2 interacting protein
Nucleus	2.2	207108_s_at	Hs.481927	NIPBL	Nipped-B homolog (Drosophila)
Nucleus	2.2	216248_s_at	Hs.563344	NR4A2	nuclear receptor subfamily 4, group A, member 2
Nucleus	2.1	227020_at	Hs.463613	YPEL2	yippee-like 2 (Drosophila)
Nucleus	2.1	229317_at	Hs.182971	KPNA5	karyopherin alpha 5 (importin alpha 6)
Nucleus	2.1	209211_at	Hs.508234	KLF5	Kruppel-like factor 5 (intestinal)
Nucleus	2.1	235409_at	Hs.187569	MGA	MAX gene associated
Nucleus	2.1	209049_s_at	Hs.446240	ZMYND8	zinc finger, MYND-type containing 8
Nucleus	2.1	208740_at	Hs.524899	SAP18	Sin3A-associated protein, 18kDa
Nucleus	2.1	202730_s_at	Hs.711490	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
Nucleus	2.1	208859_s_at	Hs.533526	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)
Nucleus	2.1	209348_s_at	Hs.709603	MAF (includes EG:4094)	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
Nucleus	2.1	227934_at	Hs.182971	KPNA5	karyopherin alpha 5 (importin alpha 6)
Nucleus	2.1	224847_at	Hs.119882	CDK6	cyclin-dependent kinase 6
Nucleus	2	224848_at	Hs.119882	CDK6	cyclin-dependent kinase 6
Nucleus	2	217427_s_at	Hs.474206	HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)
Nucleus	2	226069_at	Hs.524348	PRICKLE1	prickle homolog 1 (Drosophila)
Nucleus	2	222636_at	Hs.434075	MED28	mediator complex subunit 28
Unknown	6.6	226558_at		LOC653071	similar to CG32820-PA, isoform A
Unknown	4.4	244640_at	Hs.406307	LOC342892	zinc finger protein 850 pseudogene
Unknown	4.2	226490_at	Hs.652741	NHSL1	NHS-like 1
Unknown	4	204160_s_at	Hs.643497	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function)
Unknown	3.4	224568_x_at	Hs.642877	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
Unknown	3	232080_at	Hs.654742	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
Unknown	3	1554140_at	Hs.49421	WDR78	WD repeat domain 78
Unknown	2.9	228152_s_at	Hs.535011	DDX60L	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60-like
Unknown	2.9	1553106_at	Hs.406549	C5ORF24	chromosome 5 open reading frame 24
Unknown	2.8	227777_at	Hs.699500	C10ORF18	chromosome 10 open reading frame 18
Unknown	2.8	218967_s_at	Hs.714420	PTER	phosphotriesterase related
Unknown	2.8	219094_at	Hs.266826	ARMC8	armadillo repeat containing 8
Unknown	2.7	1569129_s_at	Hs.518099	C3ORF38	chromosome 3 open reading frame 38
Unknown	2.7	243982_at	Hs.653206	KLHL28	kelch-like 28 (Drosophila)
Unknown	2.7	209343_at	Hs.516769	EFHD1	EF-hand domain family, member D1
Unknown	2.7	232112_at	Hs.709811	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
Unknown	2.6	228608_at	Hs.525146	NALCN	sodium leak channel, non-selective
Unknown	2.6	225166_at	Hs.486458	ARHGAP18	Rho GTPase activating protein 18
Unknown	2.6	1558943_x_at	Hs.710250	ZNF765	zinc finger protein 765
Unknown	2.6	235061_at	Hs.291000	PPM1K	protein phosphatase 1K (PP2C domain containing)
Unknown	2.6	225922_at	Hs.709500	FNIP2 (includes EG:57600)	folliculin interacting protein 2
Unknown	2.6	225487_at	Hs.43899	TMEM18	transmembrane protein 18
Unknown	2.6	226533_at	Hs.72325	HINT3	histidine triad nucleotide binding protein 3
Unknown	2.5	229748_x_at	Hs.487562	LOC100132288	hypothetical protein LOC100132288
Unknown	2.5	225957_at	Hs.484195	C5ORF41	chromosome 5 open reading frame 41
Unknown	2.5	226919_at	Hs.177275	LYRM2	LYR motif containing 2
Unknown	2.5	239960_x_at	Hs.115467	LYRM7	Lyrm7 homolog (mouse)
Unknown	2.5	203354_s_at	Hs.434255	PSD3	pleckstrin and Sec7 domain containing 3
Unknown	2.5	243606_at	Hs.595933	FAM55C	family with sequence similarity 55, member C
Unknown	2.5	235004_at	Hs.519904	RBM24	RNA binding motif protein 24
Unknown	2.5	243042_at	Hs.632419	FAM73A	family with sequence similarity 73, member A
Unknown	2.4	214778_at	Hs.132483	MEGF8	multiple EGF-like-domains 8
Unknown	2.4	230569_at	Hs.535734	KIAA1430	KIAA1430
Unknown	2.4	229101_at	Hs.48353	LOC150166	hypothetical protein LOC150166
Unknown	2.4	213316_at	Hs.533953	KIAA1462	KIAA1462
Unknown	2.4	227268_at	Hs.531701	RNFT1	ring finger protein, transmembrane 1
Unknown	2.4	205761_s_at	Hs.97627	DUS4L	dihydrouridine synthase 4-like (S. cerevisiae)
Unknown	2.4	213224_s_at	Hs.232543	NCRNA00081	non-protein coding RNA 81
Unknown	2.4	218180_s_at	Hs.55016	EPS8L2	EPS8-like 2
Unknown	2.3	235675_at	Hs.448003	DHFRL1	dihydrofolate reductase-like 1
Unknown	2.3	220329_s_at	Hs.486835	RMND1	required for meiotic nuclear division 1 homolog (S. cerevisiae)
Unknown	2.3	214791_at	Hs.662198	SP140L	SP140 nuclear body protein-like
Unknown	2.3	225989_at	Hs.51891	HERC4	hect domain and RLD 4
Unknown	2.3	213248_at	Hs.7921	LOC730101	hypothetical LOC730101
Unknown	2.3	207703_at	Hs.439199	NLGN4Y	neuroligin 4, Y-linked
Unknown	2.3	235182_at	Hs.559353	ISM1	isthmin 1 homolog (zebrafish)
Unknown	2.3	1558508_a_at	Hs.61329	C1ORF53	chromosome 1 open reading frame 53
Unknown	2.3	227840_at	Hs.99488	C2ORF76	chromosome 2 open reading frame 76
Unknown	2.3	229126_at	Hs.688627	TMEM19	transmembrane protein 19
Unknown	2.3	225155_at	Hs.292457	SNHG5	small nucleolar RNA host gene 5 (non-protein coding)
Unknown	2.3	231899_at	Hs.376289	ZC3H12C	zinc finger CCCH-type containing 12C
Unknown	2.3	223178_s_at	Hs.520341	NT5DC1	5-nucleotidase domain containing 1
Unknown	2.3	220172_at	Hs.659439	C2ORF37	chromosome 2 open reading frame 37
Unknown	2.2	219793_at	Hs.492121	SNX16	sorting nexin 16
Unknown	2.2	238762_at	Hs.479954	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
Unknown	2.2	227330_x_at	Hs.487562	LOC100132288	hypothetical protein LOC100132288
Unknown	2.2	203364_s_at	Hs.127403	KIAA0652	KIAA0652
Unknown	2.2	227514_at	Hs.648523	ITPRIPL2	inositol 1,4,5-triphosphate receptor interacting protein-like 2
Unknown	2.2	238860_at	Hs.227457	C6ORF130	chromosome 6 open reading frame 130
Unknown	2.2	204759_at	Hs.657385	RCBTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2
Unknown	2.1	235016_at	Hs.499833	REEP3	receptor accessory protein 3
Unknown	2.1	225028_at	Hs.355559	LOC550643	hypothetical LOC550643
Unknown	2.1	227247_at	Hs.233495	PLEKHA8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8
Unknown	2.1	213142_x_at	Hs.186649	PION	pigeon homolog (Drosophila)
Unknown	2.1	235606_at	Hs.655735	LOC344595	hypothetical LOC344595
Unknown	2.1	218521_s_at	Hs.708021	UBE2W	ubiquitin-conjugating enzyme E2W (putative)
Unknown	2.1	1554549_a_at	Hs.36859	WDR20	WD repeat domain 20
Unknown	2.1	243648_at		LOC100131402	hypothetical protein LOC100131402
Unknown	2.1	225561_at	Hs.369052	SELT	selenoprotein T
Unknown	2.1	229256_at	Hs.26612	PGM2L1	phosphoglucomutase 2-like 1
Unknown	2.1	241933_at	Hs.406917	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
Unknown	2.1	234491_s_at	Hs.642842	SAV1	salvador homolog 1 (Drosophila)
Unknown	2	226436_at	Hs.522895	RASSF4	Ras association (RalGDS/AF-6) domain family member 4
Unknown	2	220241_at	Hs.317593	TMCO3	transmembrane and coiled-coil domains 3
Unknown	2	218610_s_at	Hs.460002	FLJ11151	hypothetical protein FLJ11151
Unknown	2	228749_at	Hs.110489	ZDBF2	zinc finger, DBF-type containing 2
Unknown	2	225956_at	Hs.484195	C5ORF41	chromosome 5 open reading frame 41
Unknown	2	235484_at	Hs.714854	PTAR1	protein prenyltransferase alpha subunit repeat containing 1
Unknown	2	223167_s_at	Hs.473370	USP25	ubiquitin specific peptidase 25
	6.9	236089_at	Hs.633212
	5.1	1558605_at	Hs.597446
	4.9	212444_at	Hs.632997
	3.8	235427_at	Hs.611075
	3.8	1558236_at
	3.7	235230_at	Hs.655022
	3.6	235556_at	Hs.656072
	3.5	221590_s_at	Hs.663176 /// Hs.708053
	3.4	227051_at	Hs.43047
	3.3	226192_at	Hs.76704
	3.3	217540_at	Hs.598134
	3.2	242245_at	Hs.533853
	3.2	1558105_a_at	Hs.91389
	3.1	228740_at	Hs.26766
	3.1	215287_at	Hs.128434
	2.9	230161_at	Hs.495605
	2.8	238178_at	Hs.559668
	2.6	243299_at	Hs.666703
	2.6	227368_at	Hs.663281
	2.5	235046_at	Hs.176376
	2.5	242289_at
	2.5	234986_at	Hs.596052
	2.4	226197_at	Hs.76704
	2.4	228333_at	Hs.621487
	2.4	225055_at	Hs.655146
	2.3	244663_at	Hs.156256
	2.3	1556346_at	Hs.660628
	2.3	234987_at	Hs.660221
	2.3	222111_at	Hs.595286
	2.3	235782_at	Hs.527515
	2.3	238658_at	Hs.444083
	2.3	228812_at	Hs.633900
	2.3	229885_at	Hs.572073
	2.2	AFFX-r2-Bs-phe-5_at
	2.2	235010_at	Hs.706957
	2.2	229130_at	Hs.400256
	2.1	235505_s_at	Hs.40966
	2.1	226520_at	Hs.658311
	2.1	230300_at	Hs.586550
	2.1	213158_at	Hs.592414
	2.1	232429_at	Hs.594784
	2	239866_at	Hs.119940
	2	1558401_at	Hs.408497
