Gene Name	Symbol	Accesion No.	Log (base 2)	FDR
carboxylesterase 2-like	Ces2l	NM_133586	1.275	0.044
carboxylesterase 3	Ces3	NM_133295	1.991	0.037
carboxymethylenebutenolidase homolog (Pseudomonas)	Cmbl	NM_001008770	1.553	0.036
carboxypeptidase A1	Cpa1	NM_016998	1.494	0.044
carnitine O-octanoyltransferase	Crot	NM_031987	0.828	0.036
carnitine palmitoyltransferase 1b, muscle	Cpt1b	NM_013200	1.103	0.036
carnosine dipeptidase 1 (metallopeptidase M20 family)	Cndp1	NM_001007687	0.81	0.042
cathepsin B	Ctsb	NM_022597	0.731	0.037
CCAAT/enhancer binding protein (C/EBP), gamma	Cebpg	X64403	0.763	0.039
CD151 molecule (Raph blood group)	Cd151	NM_022523	0.723	0.042
CD36 molecule (thrombospondin receptor)	Cd36	NM_031561	1.238	0.036
CD93 molecule	Cd93	NM_053383	1.083	0.036
cell adhesion molecule 3	Cadm3	XM_341157	0.683	0.045
cell death-inducing DFFA-like effector a	Cidea	XM_214551	1.664	0.038
centrosomal protein 68kDa	Cep68	XM_214106	0.597	0.046
centrosomal protein 72kDa	Cep72	XM_217737	0.699	0.041
ceroid-lipofuscinosis, neuronal 5	Cln5	BF287551	1.207	0.042
cholinergic receptor, nicotinic, alpha 7	Chrna7	NM_012832	0.623	0.043
chondroitin sulfate N-acetylgalactosaminyltransferase 1	Csgalnact1	BF559843	1.129	0.046
clathrin, light chain (Lcb)	Cltb	NM_053835	0.601	0.04
coagulation factor VIII, procoagulant component	F8	NM_183331	0.699	0.042
coagulation factor XIII, A1 polypeptide	F13a1	NM_021698	0.724	0.043
coenzyme Q3 homolog, methyltransferase (S. cerevisiae)	Coq3	NM_019187	0.64	0.047
cofilin 2, muscle	Cfl2	XM_345674	0.904	0.037
coiled-coil domain containing 80	Ccdc80	XM_573284	1.129	0.036
coiled-coil-helix-coiled-coil-helix domain containing 3	Chchd3	XM_238346	0.755	0.043
collagen, type I, alpha 2	Col1a2	NM_053356	0.855	0.037
colony stimulating factor 1 (macrophage)	Csf1	NM_023981	0.873	0.043
complement component 4 binding protein, alpha	C4bpa	NM_012516	1.641	0.049
complement component 4B (Childo blood group)	C4b	NM_031504	0.926	0.043
complement factor D (adipsin)	Cfd	XM_343169	1.033	0.045
COX11 homolog, cytochrome c oxidase assembly protein (yeast)	Cox11	XM_213433	0.776	0.037
crystallin, alpha B	Cryab	NM_012935	0.877	0.036
CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	Chtf8	AI070955	0.627	0.044
CTP synthase II	Ctps2	AW917696	0.74	0.037
C-type lectin domain family 11, member a	Clec11a	NM_001012459	0.677	0.038
cyclin M4	Cnnm4	XM_343554	0.809	0.036
cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	Cdkn2c	NM_131902	1.075	0.048
cystatin C	Cst3	NM_012837	0.773	0.041
cysteine sulfinic acid decarboxylase	Csad	NM_021750	1.003	0.036
cysteine/tyrosine-rich 1	Cyyr1	NM_001013980	0.907	0.038
cytochrome c oxidase subunit VIIb	Cox7b	NM_182819	0.586	0.045
cytochrome c, somatic	Cycs	NM_012839	1.148	0.044
cytochrome P450, family 1, subfamily b, polypeptide 1	Cyp1b1	NM_012940	1.72	0.037
cytochrome P450, family 2, subfamily J, polypeptide 4	Cyp2j4	NM_023025	0.83	0.042
cytochrome P450, family 27, subfamily b, polypeptide 1	Cyp27b1	NM_053763	0.674	0.037
death-associated protein	Dap	NM_022526	0.658	0.04
dehydrogenase E1 and transketolase domain containing 1	Dhtkd1	NM_001025720	1.058	0.045
deiodinase, iodothyronine, type I	Dio1	NM_021653	0.656	0.05
deleted in malignant brain tumors 1	Dmbt1	XM_574572	0.844	0.037
diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	Dbi	NM_031853	1.223	0.037
dihydrolipoamide branched chain transacylase E2	Dbt	AI556228	1.285	0.044
DnaJ (Hsp40) homolog, subfamily A, member 1	Dnaja1	NM_022934	0.646	0.043
dolichyl pyrophosphate phosphatase 1	Dolpp1	AW143320	0.703	0.044
doublecortin	Dcx	NM_053379	1.127	0.037
doublecortin-like kinase 1	Dclk1	AF030089	0.872	0.042
doublecortin-like kinase 3	Dclk3	BF563650	0.842	0.036
dual specificity phosphatase 22	Dusp22	XM_341523	0.832	0.037
early B-cell factor 1	Ebf1	NM_053820	0.765	0.048
EF-hand domain family, member D1	Efhd1	XM_576608	1.128	0.041
EH-domain containing 2	Ehd2	NM_001024897	0.869	0.04
electron-transferring-flavoprotein dehydrogenase	Etfdh	NM_198742	0.838	0.036
endonuclease/exonuclease/phosphatase family domain containing 1	Eepd1	NM_001014088	1.33	0.047
endothelial cell-specific molecule 1	Esm1	NM_022604	1.334	0.036
epithelial membrane protein 1	Emp1	NM_012843	0.938	0.037
eukaryotic translation initiation factor 4E binding protein 1	Eif4ebp1	NM_053857	0.797	0.037
exocyst complex component 6	Exoc6	NM_019277	0.68	0.037
family with sequence similarity 108, member C1	Fam108c1	XM_341879	0.83	0.042
family with sequence similarity 84, member A	Fam84a	XM_234036	0.662	0.046
fasciculation and elongation protein zeta 2 (zygin II)	Fez2	AF120111	0.783	0.047
fibroblast growth factor receptor-like 1	Fgfrl1	NM_199114	1.128	0.048
follistatin	Fst	NM_012561	1.374	0.037
forkhead box A2	Foxa2	NM_012743	0.738	0.042
four and a half LIM domains 1	Fhl1	BC061782	1.034	0.037
four and a half LIM domains 4	Fhl4	NM_001013172	0.886	0.036
gastric inhibitory polypeptide receptor	Gipr	NM_012714	0.828	0.041
gephyrin	Gphn	NM_022865	0.978	0.037
GIPC PDZ domain containing family, member 2	Gipc2	XM_342359	1.342	0.041
glutamate-ammonia ligase (glutamine synthetase)	Glul	M29579	0.655	0.043
glutathione peroxidase 3	Gpx3	D00680	1.684	0.042
glutathione S-transferase kappa 1	Gstk1	NM_181371	1.148	0.042
glutathione S-transferase theta 1	Gstt1	NM_053293	1.104	0.048
glycogenin 1	Gyg1	NM_031043	0.598	0.043
G-protein coupled receptor 12	Gpcr12	NM_030831	0.664	0.044
growth hormone receptor	Ghr	NM_017094	2.086	0.045
guanine deaminase	Gda	NM_031776	1.341	0.044
guanine nucleotide binding protein (G protein), alpha inhibiting 1	Gnai1	NM_013145	1.404	0.037
guanine nucleotide binding protein (G protein), beta 5	Gnb5	NM_031770	1.143	0.037
guanylate cyclase 1, soluble, beta 3	Gucy1b3	NM_012769	1.465	0.037
guanylate cyclase 2F	Gucy2f	NM_053831	0.646	0.047
haptoglobin	Hp	M34232	0.838	0.046
HEAT repeat containing 5B	Heatr5b	XM_343000	0.619	0.042
heat shock protein 12B	Hspa12b	AW918874	1.014	0.048
heat shock protein 90, alpha (cytosolic), class A member 1	Hsp90aa1	NM_175761	0.733	0.041
HIG1 hypoxia inducible domain family, member 1A	Higd1a	NM_080902	0.935	0.037
hippocampus abundant transcript-like 1	Hiatl1	XM_225093	0.704	0.042
homeo box A10	Hoxa10	XM_347220	0.969	0.04
homeo box A4	Hoxa4	L03557	1.03	0.037
hydroxyacyl glutathione hydrolase	Hagh	NM_033349	0.946	0.036
hydroxysteroid (17-beta) dehydrogenase 7	Hsd17b7	NM_017235	0.623	0.037
hydroxysteroid 11-beta dehydrogenase 2	Hsd11b2	NM_017081	0.941	0.036
indolethylamine N-methyltransferase	Inmt	XM_347233	1.305	0.036
Inositol (myo)-1(or 4)-monophosphatase 1	Impa1	NM_032057	0.641	0.037
insulin-like growth factor 1	Igf1	NM_178866	0.824	0.038
integrin, beta-like 1	Itgbl1	NM_001017505	1.394	0.042
interferon activated gene 204	Ifi204	NM_001012029	0.973	0.036
interleukin 1 receptor, type II	Il1r2	NM_053953	1.446	0.037
isovaleryl coenzyme A dehydrogenase	Ivd	NM_012592	1.088	0.046
jagged 1	Jag1	NM_019147	0.743	0.038
JNK1/MAPK8-associated membrane protein	Jkamp	XM_216728	0.753	0.037
junctional adhesion molecule 2	Jam2	AW918113	0.896	0.036
kelch-like 29 (Drosophila)	Klhl29	XM_233955	0.869	0.041
kidney androgen regulated protein	Kap	NM_052802	0.794	0.036
Kruppel-like factor 4 (gut)	Klf4	NM_053713	0.938	0.04
Kruppel-like factor 9	Klf9	AW144489	1.061	0.044
lactamase, beta 2	Lactb2	NM_001024247	0.869	0.044
laminin, alpha 4	Lama4	XM_228209	0.921	0.037
laminin, gamma 1	Lamc1	AW141503	0.681	0.047
lectin, galactoside-binding, soluble, 3	Lgals3	NM_031832	0.982	0.043
leucine rich repeat containing 8 family, member D	Lrrc8d	NM_001008338	1.046	0.036
low density lipoprotein receptor-related protein 11	Lrp11	XM_238072	0.745	0.037
low density lipoprotein-related protein 12	Lrp12	XM_235261	1.158	0.037
LYR motif containing 1	Lyrm1	XM_344957	1.286	0.042
Macrophage stimulating 1 (hepatocyte growth factor-like)	Mst1	NM_024352	1.465	0.037
MAS-related GPR, member E	Mrgpre	NM_001002288	0.587	0.044
matrix metallopeptidase 23	Mmp23	NM_053606	0.979	0.036
matrix-remodelling associated 8	Mxra8	NM_001007002	0.592	0.047
MDS1 and EVI1 complex locus	Mecom	XM_226987	1.226	0.036
mechanistic target of rapamycin (serine/threonine kinase)	Mtor	NM_019906	0.702	0.037
membrane-bound transcription factor peptidase, site 2	Mbtps2	CB548264	0.608	0.045
microfibrillar associated protein 5	Mfap5	XM_342750	0.704	0.043
microtubule-associated protein tau	Mapt	NM_017212	1.2	0.048
mitochondrial ribosomal protein L42	Mrpl42	XM_216882	0.837	0.037
mitochondrial ribosomal protein S36	Mrps36	XM_215468	0.656	0.044
mitofusin 2	Mfn2	NM_130894	0.67	0.043
molybdenum cofactor synthesis 2	Mocs2	NM_001007633	0.823	0.042
motile sperm domain containing 1	Mospd1	NM_001014107	1.334	0.037
Mpv17 transgene, kidney disease mutant-like	Mpv17l	XM_340739	0.967	0.041
mucin 19	Muc19	XM_235593	0.94	0.038
multiple inositol polyphosphate histidine phosphatase 1	Minpp1	XM_342044	0.659	0.043
MyoD family inhibitor domain containing	Mdfic	XM_342643	1.271	0.037
myosin ID	Myo1d	NM_012983	0.822	0.045
myosin VIIA and Rab interacting protein	Myrip	BF524140	0.652	0.037
N-acetyltransferase 1 (arylamine N-acetyltransferase)	Nat1	NM_053853	0.756	0.042
NAD(P)H dehydrogenase, quinone 2	Nqo2	NM_001004214	0.829	0.038
natriuretic peptide precursor A	Nppa	NM_012612	1.237	0.037
NCK-associated protein 1	Nckap1	X80029	0.78	0.037
NEL-like 1 (chicken)	Nell1	NM_031069	0.854	0.044
N-ethylmaleimide-sensitive factor attachment protein, gamma	Napg	AW918600	0.615	0.046
netrin 2-like (chicken)	Ntn2l	XM_343867	0.671	0.041
neurexin 1	Nrxn1	NM_021767	0.891	0.05
neuroepithelial cell transforming 1	Net1	BF555763	0.941	0.036
neuroplastin	Nptn	NM_019380	0.794	0.036
neurotrophic tyrosine kinase, receptor, type 2	Ntrk2	NM_012731	1.637	0.042
N-terminal EF-hand calcium binding protein 1	Necab1	NM_022302	0.611	0.043
nuclear factor related to kappa B binding protein	Nfrkb	BM388975	0.665	0.042
nuclear factor, interleukin 3 regulated	Nfil3	NM_053727	0.719	0.048
nuclear receptor subfamily 1, group H, member 3	Nr1h3	NM_031627	0.726	0.042
nuclear receptor subfamily 3, group C, member 1	Nr3c1	NM_012576	0.807	0.043
nudix (nucleoside diphosphate linked moiety X)-type motif 19	Nudt19	NM_001004258	0.709	0.044
odz, odd Oz/ten-m homolog 4 (Drosophila)	Odz4	XM_218927	1.433	0.038
olfactory receptor 1077	Olr1077	NM_001000941	0.652	0.04
olfactory receptor 728	Olr728	NM_001000363	0.605	0.044
oxoglutarate dehydrogenase-like	Ogdhl	XM_214261	0.766	0.046
palmdelphin	Palmd	NM_001025688	1.24	0.036
paraneoplastic antigen like 5	Pnma5	XM_219735	0.661	0.039
paraoxonase 3	Pon3	NM_001004086	1.833	0.04
PDZ domain containing RING finger 3	Pdzrn3	XM_232226	1.039	0.042
perilipin	Plin	NM_013094	1.705	0.036
peroxisomal biogenesis factor 7	Pex7	AW141902	0.894	0.037
peroxisomal membrane protein 3	Pxmp3	NM_017234	0.719	0.037
phosphatidylethanolamine N-methyltransferase	Pemt	NM_013003	1.11	0.036
phosphatidylinositol glycan anchor biosynthesis, class Y	Pigy	NM_001024370	1.141	0.045
phosphatidylinositol glycan, class K	Pigk	NM_001011953	0.648	0.042
phosphodiesterase 4D interacting protein	Pde4dip	NM_022382	1.535	0.037
phosphoenolpyruvate carboxykinase 1 (soluble)	Pck1	NM_198780	1.592	0.036
phosphoglucomutase 2	Pgm2	XM_214047	0.609	0.045
phospholipase C, epsilon 1	Plce1	NM_053758	0.949	0.036
phospholipase D1	Pld1	AF017251	0.592	0.043
phospholipid scramblase 4	Plscr4	XM_576448	0.916	0.036
phospholysine phosphohistidine inorganic pyrophosphate phosphatase	Lhpp	NM_001009706	0.808	0.037
phosphoprotein enriched in astrocytes 15A	Pea15a	NM_001013231	0.892	0.046
phosphotyrosine interaction domain containing 1	Pid1	XM_576601	1.662	0.038
pleiomorphic adenoma gene-like 1	Plagl1	NM_012760	1.085	0.044
plexin A2	Plxna2	XM_223080	1.061	0.036
polymerase (RNA) II (DNA directed) polypeptide F	Polr2f	NM_031335	0.996	0.044
potassium channel, subfamily K, member 3	Kcnk3	NM_033376	1.196	0.037
potassium voltage-gated channel, KQT-like subfamily, member 1	Kcnq1	NM_032073	0.695	0.042
potential ligand-binding protein	RY2G5	X60660	0.862	0.044
procollagen C-endopeptidase enhancer 2	PCOLCE2	BF285037	1.956	0.036
proprotein convertase subtilisin/kexin type 5	Pcsk5	L14933	0.826	0.037
prostate transmembrane protein, androgen induced 1	Pmepa1	XM_230899	1.285	0.037
proteasome (prosome, macropain) 26S subunit, ATPase, 1	Psmc1	NM_057123	0.709	0.044
proteasome (prosome, macropain) assembly chaperone 2	Psmg2	XM_214550	0.604	0.042
protein disulfide isomerase family A, member 6	Pdia6	XM_576132	0.859	0.036
protein kinase (cAMP-dependent, catalytic) inhibitor alpha	Pkia	BF567508	0.788	0.038
protein kinase, AMP-activated, gamma 2 non-catalytic subunit	Prkag2	NM_184051	0.605	0.047
protein phosphatase 1, regulatory (inhibitor) subunit 1A	Ppp1r1a	NM_022676	1.355	0.036
protein tyrosine phosphatase 4a1	Ptp4a1	NM_031579	1.205	0.042
protein tyrosine phosphatase, receptor type, B	Ptprb	XM_235156	0.85	0.037
protein tyrosine phosphatase, receptor type, D	Ptprd	CB547962	1.036	0.05
protein tyrosine phosphatase, receptor type, O	Ptpro	BF555373	0.776	0.037
protein tyrosine phosphatase, receptor type, R	Ptprr	NM_053594	1.159	0.036
pyrophosphatase (inorganic) 1	Ppa1	XM_215416	0.852	0.036
RAB18, member RAS oncogene family	Rab18	NM_001012468	0.936	0.045
RAB38, member RAS oncogene family	Rab38	NM_145774	0.888	0.044
RAB5B, member RAS oncogene family	Rab5b	BF550034	0.626	0.043
Rap guanine nucleotide exchange factor (GEF) 2	Rapgef2	XM_227301	0.914	0.046
Ras-like without CAAX 2	Rit2	NM_001013060	0.868	0.038
Ras-related associated with diabetes	Rrad	NM_053338	0.931	0.037
rearranged L-myc fusion	Rlf	XM_233485	0.693	0.041
regulator of G-protein signaling 5	Rgs5	NM_019341	1.028	0.044
reticulon 3	Rtn3	NM_001009953	1.008	0.036
reticulon 4	Rtn4	NM_031831	1.083	0.036
retinal pigment epithelium 65	Rpe65	NM_053562	0.788	0.038
retinoic acid receptor responder (tazarotene induced) 2	Rarres2	NM_001013427	0.872	0.043
Rho family GTPase 1	Rnd1	NM_001013222	1.085	0.037
ribonuclease, RNase A family 4	Rnase4	NM_020082	0.97	0.046
ring finger protein 217	Rnf217	XM_238063	0.7	0.037
ring finger protein 8	Rnf8	NM_001025727	0.682	0.042
RNA (guanine-9-) methyltransferase domain containing 1	Rg9mtd1	NM_001008337	0.649	0.038
saccharopine dehydrogenase (putative)	Sccpdh	BC061579	0.708	0.043
sarcoglycan, epsilon	Sgce	NM_001002023	0.733	0.04
sarcoglycan, gamma (dystrophin-associated glycoprotein)	Sgcg	NM_001006993	1.458	0.037
scavenger receptor class A, member 5 (putative)	Scara5	XM_224299	0.756	0.037
SEC22 vesicle trafficking protein homolog A (S. cerevisiae)	Sec22a	NM_057147	0.776	0.045
selectin P	Selp	NM_013114	0.871	0.044
selenoprotein P, plasma, 1	Sepp1	NM_019192	0.909	0.044
selenoprotein T	Selt	XM_574949	0.731	0.044
serine (or cysteine) peptidase inhibitor, clade A, member 3N	Serpina3n	NM_031531	1.657	0.037
serine/threonine kinase 39, STE20/SPS1 homolog (yeast)	Stk39	NM_019362	0.692	0.04
serum deprivation response	Sdpr	NM_001007712	1.003	0.049
small EDRK-rich factor 2	Serf2	XM_215807	0.662	0.04
solute carrier family 2 (facilitated glucose transporter), member 13	Slc2a13	NM_133611	1.125	0.045
solute carrier family 22 (organic anion transporter), member 8	Slc22a8	NM_031332	0.598	0.044
solute carrier family 3, member 1	Slc3a1	AI136350	0.805	0.036
solute carrier family 39 (zinc transporter), member 3	Slc39a3	NM_001008356	0.737	0.036
solute carrier family 46, member 2	Slc46a2	CB547809	0.593	0.044
sorbin and SH3 domain containing 1	Sorbs1	AW917667	1.407	0.037
spectrin, beta, non-erythrocytic 1	Sptbn1	AJ242018	1.103	0.037
spermatogenesis associated 2	Spata2	NM_053675	0.599	0.046
sphingomyelin phosphodiesterase, acid-like 3A	Smpdl3a	NM_001005539	1.402	0.048
splA/ryanodine receptor domain and SOCS box containing 1	Spsb1	XM_233686	0.886	0.044
SRY (sex determining region Y)-box 17	Sox17	XM_232640	0.743	0.042
ST3 beta-galactoside alpha-2,3-sialyltransferase 3	St3gal3	NM_031697	0.737	0.044
starch binding domain 1	Stbd1	NM_001013988	0.718	0.036
sterol regulatory element binding transcription factor 2	Srebf2	BF555125	0.682	0.047
succinate dehydrogenase complex, subunit C, integral membrane protein	Sdhc	NM_001005534	0.948	0.037
sulfatase 2	Sulf2	XM_230861	0.801	0.04
sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	Sult1a1	NM_031834	1.963	0.043
suppression of tumorigenicity 13	St13	NM_031122	0.587	0.043
synapse associated protein 1	Syap1	NM_001004253	0.794	0.045
synaptotagmin XVII	Syt17	NM_138849	0.929	0.037
TBC1 domain family, member 14	Tbc1d14	NM_001012152	0.76	0.037
testis specific 10	Tsga10	AF092091	0.637	0.042
tetraspanin 12	Tspan12	NM_001015026	1.284	0.048
tetratricopeptide repeat domain 18	Ttc18	XM_341281	0.658	0.037
thioredoxin 2	Txn2	NM_053331	0.703	0.037
thyroid stimulating hormone receptor	Tshr	NM_012888	0.934	0.044
transgelin 3	Tagln3	NM_031676	0.812	0.042
trans-golgi network protein	Tgoln1	NM_138840	0.829	0.041
transient receptor potential cation channel, subfamily C, member 1	Trpc1	NM_053558	0.759	0.048
transmembrane protein 109	Tmem109	NM_001007736	0.621	0.045
transmembrane protein 45b	Tmem45b	XM_236010	0.779	0.039
transmembrane protein 70	Tmem70	XM_575742	1.437	0.037
transmembrane protein 85	Tmem85	XM_215797	0.772	0.046
transmembrane protein with EGF-like and two follistatin-like domains 2	Tmeff2	XM_343566	1.453	0.042
triosephosphate isomerase 1	Tpi1	NM_022922	1.006	0.037
tryptophan rich basic protein	Wrb	NM_199373	0.774	0.038
tubulointerstitial nephritis antigen-like 1	Tinagl1	NM_053582	0.838	0.037
ubiquinol-cytochrome c reductase binding protein	Uqcrb	XM_343225	1.068	0.045
ubiquitin specific peptidase 14	Usp14	NM_001008301	0.677	0.042
ubiquitination factor E4A	Ube4a	NM_207610	0.846	0.042
upper zone of growth plate and cartilage matrix associated	Ucma	AA957467	0.692	0.045
USO1 homolog, vesicle docking protein (yeast)	Uso1	NM_019379	0.652	0.04
vacuolar protein sorting 39 homolog (S. cerevisiae)	Vps39	NM_001012186	1.352	0.043
very low density lipoprotein receptor	Vldlr	NM_013155	0.92	0.038
vitamin K epoxide reductase complex, subunit 1-like 1	Vkorc1l1	NM_203338	1.19	0.037
vitronectin	Vtn	NM_019156	1.198	0.037
von Hippel-Lindau tumor suppressor	Vhl	NM_052801	0.616	0.037
zinc finger protein 423	Zfp423	NM_053583	1.633	0.037
