Gene Description	DU145	PC3	Function
Heat shock protein HSP 90 alpha	-	+	Regulatory protein/second messenger/interactor
C4/C2 activating component of Ra -reactive factor	NA	NA	Regulatory protein/second messenger/interactor
Human mRNA for suppressor for yeast	NA	NA	Regulatory protein/second messenger/interactor
MKR2 protein for yeast mutant	NA	NA	Regulatory protein/second messenger/interactor
Gephyrin	NA	NA	Regulatory protein/second messenger/interactor
Serum albumin precursor	NA	NA	Growth factor/ligand/hormone
Coagulation factor XIII, A1 polypeptide	NA	NA	Growth factor/ligand/hormone
Coagulation factor XII (Hageman factor)	-	+	Growth factor/ligand/hormone
HLA class II histocompatibility antigen, DR alpha chain precursor	-	+	Immune system
Human biliverdin-IX alpha reductase	ND	ND	Metabolism/energy generating system
Cytochrome P450, subfamily XXI	NA	NA	Metabolism/energy generating system
Ubiquinol-cytochrome c reductase core protein I	+	+	Metabolism/energy generating system
Glycerol kinase	+	+	Metabolism/energy generating system
Creatine kinase B	-	+	Metabolism/energy generating system
Thiopurine S-methyltransferase	NA	NA	Metabolism/energy generating system
UDP-glucuronosyltransferase2b7 precursor, microsomal	NA	NA	Metabolism/energy generating system
Human ras-related small GTP- binding protein Rab5 (rab5)	-	-	Metabolism/energy generating system
Human DAP-1	+	-	Metabolism/energy generating system
Ubiquitin carboxyl-terminal hydrolase	NA	NA	Metabolism/energy generating system
Human adenylyl cyclase-associated protein homolog CAP2	-	ND	Metabolism/energy generating system
Human osteoclast stimulating factor	-	-	Metabolism/energy generating system
Human protein kinase (MLK-3)	+	+	Metabolism/energy generating system
Human FUSE-binding protein	+	+	Metabolism/energy generating system
Human semaphorin-III (Hsema-I)	-	-	Metabolism/energy generating system
Exostoses (multiple) 2	-	-	Metabolism/energy generating system
D-beta-hydroxybutyrate dehydrogenase precursor	NA	NA	Metabolism/energy generating system
Human sulfite oxidase	+	+	Metabolism/energy generating system
Human liver glutamate dehydrogenase	NA	NA	Metabolism/energy generating system
Succinate dehydrogenase	-	-	Metabolism/energy generating system
Monoamine oxidase A	-	-	Metabolism/energy generating system
5 nucleotidase (CD73)	+	-	Metabolism/energy generating system
Glutathione S-transferase M2 (muscle)	NA	NA	Metabolism/energy generating system
Glutamine-fructose-6-phosphate transaminase	NA	NA	Metabolism/energy generating system
Glutamate decarboxylase 2	+	+	Metabolism/energy generating system
Human beta-1, 2-N-acetyl-glucosaminyltransferase II (MGAT2) gene	NA	NA	Metabolism/energy generating system
Glycyl-tRNA synthetase	NA	NA	Metabolism/energy generating system
Human HnRNP F protein	ND	ND	Splicing
Heterogeneous nuclear ribonucleoprotein A2/B1	NA	NA	Splicing
TUP1-like enhancer of split gene 1	NA	NA	Cell cycle regulatory protein
P80-coilin	NA	NA	Cell cycle regulatory protein
Human protease M	-	-	Proteinase
Homo sapiens mRNA for aminopeptidase	+	+	Proteinase
Human Lon protease-like protein	ND	ND	Proteinase
Membrane metallo-endopeptidase	NA	NA	Proteinase
Tripeptidyl peptidase II	ND	ND	Proteinase
Protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	NA	NA	Phosphatase
