# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|51225|51225	hgnc_symbol|ABI3|ABI3
entrezgene|4050|4050	hgnc_symbol|LTB|LTB
entrezgene|4099|4099	hgnc_symbol|MAG|MAG
entrezgene|4155|4155	hgnc_symbol|MBP|MBP
entrezgene|4193|4193	hgnc_symbol|MDM2|MDM2
entrezgene|150365|150365	hgnc_symbol|MEI1|MEI1
entrezgene|399818|399818	hgnc_symbol|METTL10|METTL10
entrezgene|4286|4286	hgnc_symbol|MITF|MITF
entrezgene|84689|84689	hgnc_symbol|MS4A14|MS4A14
entrezgene|4635|4635	hgnc_symbol|MYL4|MYL4
entrezgene|58484|58484	hgnc_symbol|NLRC4|NLRC4
entrezgene|10762|10762	hgnc_symbol|NUP50|NUP50
entrezgene|64805|64805	hgnc_symbol|P2RY12|P2RY12
entrezgene|54852|54852	hgnc_symbol|PAQR5|PAQR5
entrezgene|79668|79668	hgnc_symbol|PARP8|PARP8
entrezgene|5141|5141	hgnc_symbol|PDE4A|PDE4A
entrezgene|5209|5209	hgnc_symbol|PFKFB3|PFKFB3
entrezgene|5294|5294	hgnc_symbol|PIK3CG|PIK3CG
entrezgene|113791|113791	hgnc_symbol|PIK3IP1|PIK3IP1
entrezgene|26034|26034	hgnc_symbol|PIP3-E|PIP3-E
entrezgene|5305|5305	hgnc_symbol|PIP4K2A|PIP4K2A
entrezgene|51316|51316	hgnc_symbol|PLAC8|PLAC8
entrezgene|80301|80301	hgnc_symbol|PLEKHO2|PLEKHO2
entrezgene|5961|5961	hgnc_symbol|PRPH2|PRPH2
entrezgene|9595|9595	hgnc_symbol|PSCDBP|PSCDBP
entrezgene|5777|5777	hgnc_symbol|PTPN6|PTPN6
entrezgene|5860|5860	hgnc_symbol|QDPR|QDPR
entrezgene|27342|27342	hgnc_symbol|RABGEF1|RABGEF1
entrezgene|92241|92241	hgnc_symbol|RCSD1|RCSD1
entrezgene|54509|54509	hgnc_symbol|RHOF|RHOF
entrezgene|8635|8635	hgnc_symbol|RNASET2|RNASET2
entrezgene|6404|6404	hgnc_symbol|SELPLG|SELPLG
entrezgene|10507|10507	hgnc_symbol|SEMA4D|SEMA4D
entrezgene|5414|5414	hgnc_symbol|4-Sep|4-Sep
entrezgene|149345|149345	hgnc_symbol|SHISA4|SHISA4
entrezgene|6503|6503	hgnc_symbol|SLA|SLA
entrezgene|84174|84174	hgnc_symbol|SLA2|SLA2
entrezgene|26503|26503	hgnc_symbol|SLC17A5|SLC17A5
entrezgene|6518|6518	hgnc_symbol|SLC2A5|SLC2A5
entrezgene|1318|1318	hgnc_symbol|SLC31A2|SLC31A2
entrezgene|6622|6622	hgnc_symbol|SNCA|SNCA
entrezgene|6775|6775	hgnc_symbol|STAT4|STAT4
entrezgene|56670|56670	hgnc_symbol|SUCNR1|SUCNR1
entrezgene|203328|203328	hgnc_symbol|SUSD3|SUSD3
entrezgene|117289|117289	hgnc_symbol|TAGAP|TAGAP
entrezgene|8887|8887	hgnc_symbol|TAX1BP1|TAX1BP1
entrezgene|22797|22797	hgnc_symbol|TFEC|TFEC
entrezgene|7097|7097	hgnc_symbol|TLR2|TLR2
entrezgene|51284|51284	hgnc_symbol|TLR7|TLR7
entrezgene|51311|51311	hgnc_symbol|TLR8|TLR8
entrezgene|8794|8794	hgnc_symbol|TNFRSF10C|TNFRSF10C
entrezgene|3604|3604	hgnc_symbol|TNFRSF9|TNFRSF9
entrezgene|25777|25777	hgnc_symbol|UNC84B|UNC84B
entrezgene|7472|7472	hgnc_symbol|WNT2|WNT2
entrezgene|6375|6375	hgnc_symbol|XCL1|XCL1
