rank	Probe set	Gene symbol	Parameric p-value	FDR	Geom mean of intensities in ABC	Geom mean of intensities in GCB	Ratio of geom means ABC/GCB	log2 ratio ABC/GCB	Description
39	219874_at	SLC12A8	1.00E-07	0.0001139	76.8425048	420.418707	0.1827761	-2.451850661	solute carrier family 12 (potassium/chloride transporters), member 8
40	226811_at	FAM46C	1.00E-07	0.0001139	2369.148025	692.9567262	3.4188975	1.773531171	family with sequence similarity 46, member C
41	212386_at	TCF4	1.00E-07	0.0001139	14549.87308	6617.121101	2.1988222	1.13673095	transcription factor 4
42	213174_at	TTC9	1.00E-07	0.0001139	47.2351315	230.5310027	0.2048971	-2.287028529	tetratricopeptide repeat domain 9
43	244467_at	C22:CTA-250D10.9	1.00E-07	0.0001139	78.1918632	437.9359154	0.1785464	-2.485629049	transmembrane protein 46-like
44	229588_at	DNAJC10	1.00E-07	0.0001139	229.9233739	554.3385338	0.4147707	-1.269614111	DnaJ (Hsp40) homolog, subfamily C, member 10
45	212311_at	KIAA0746 /// SERINC2	1.00E-07	0.0001139	1016.432756	2981.142263	0.3409541	-1.552350561	KIAA0746 protein /// serine incorporator 2
46	207160_at	IL12A	1.00E-07	0.0001139	200.84782	56.2582167	3.5701064	1.835967072	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)
47	223159_s_at	NEK6	1.00E-07	0.0001139	298.1097774	873.4789176	0.3412902	-1.550929106	NIMA (never in mitosis gene a)-related kinase 6
48	222631_at	PI4K2B	1.00E-07	0.0001139	1624.635033	1015.794719	1.5993734	0.677506799	phosphatidylinositol 4-kinase type 2 beta
49	244413_at	CLECL1	2.00E-07	0.0002103	8468.36046	1844.477009	4.5911987	2.198870871	C-type lectin-like 1
50	220448_at	KCNK12	2.00E-07	0.0002103	23.7868997	229.1087032	0.1038236	-3.267793677	potassium channel, subfamily K, member 12
51	218076_s_at	ARHGAP17	2.00E-07	0.0002103	3454.902526	1284.936047	2.6887739	1.426948444	Rho GTPase activating protein 17
52	228661_s_at		2.00E-07	0.0002103	1041.437167	423.4483644	2.4594195	1.298317835	CDNA FLJ11489 fis, clone HEMBA1001915
53	212058_at	SR140	3.00E-07	0.0002982	6000.48782	3521.110389	1.7041465	0.769049365	U2-associated SR140 protein
54	221781_s_at	DNAJC10	3.00E-07	0.0002982	743.4773443	1543.737228	0.4816087	-1.054066641	DnaJ (Hsp40) homolog, subfamily C, member 10
55	209827_s_at	IL16	3.00E-07	0.0002982	6282.273377	2641.957797	2.3778856	1.249679309	interleukin 16 (lymphocyte chemoattractant factor)
56	204681_s_at	RAPGEF5	4.00E-07	0.0003645	466.7276722	1350.374578	0.3456283	-1.532706745	Rap guanine nucleotide exchange factor (GEF) 5
57	201599_at	OAT	4.00E-07	0.0003645	2429.238532	4901.278996	0.4956336	-1.012654101	ornithine aminotransferase (gyrate atrophy)
58	218922_s_at	LASS4	4.00E-07	0.0003645	67.7729961	266.6208261	0.2541924	-1.976007198	LAG1 homolog, ceramide synthase 4
59	209108_at	TSPAN6	4.00E-07	0.0003645	146.3693108	347.1392544	0.4216444	-1.245901301	tetraspanin 6
60	212387_at	TCF4	4.00E-07	0.0003645	4681.747218	1976.219693	2.3690419	1.244303715	transcription factor 4
61	223013_at	TBL1XR1	5.00E-07	0.0004271	13738.29652	7483.192617	1.8358871	0.876477341	transducin (beta)-like 1 X-linked receptor 1
62	212382_at	TCF4	5.00E-07	0.0004271	4440.843349	1799.010272	2.4684925	1.303630262	transcription factor 4
63	226683_at	SNX18	5.00E-07	0.0004271	4796.885982	2188.423852	2.1919364	1.132205938	sorting nexin 18
64	244367_at		5.00E-07	0.0004271	11.5805086	65.6982503	0.1762681	-2.504156687	Transcribed locus
65	221782_at	DNAJC10	6.00E-07	0.0004824	865.8912166	1726.114834	0.5016417	-0.995270815	DnaJ (Hsp40) homolog, subfamily C, member 10
66	212975_at	DENND3	6.00E-07	0.0004824	243.5734374	940.2309179	0.259057	-1.948658528	DENN/MADD domain containing 3
67	208820_at	PTK2	6.00E-07	0.0004824	643.5665962	1684.822541	0.3819789	-1.388435147	PTK2 protein tyrosine kinase 2
68	211671_s_at	NR3C1	6.00E-07	0.0004824	3229.276798	5234.743913	0.616893	-0.696907819	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
69	219753_at	STAG3	7.00E-07	0.0005172	589.9362201	3779.378842	0.1560934	-2.679518557	stromal antigen 3
70	238484_s_at		7.00E-07	0.0005172	29.1811916	109.8936468	0.2655403	-1.912997265	MRNA; clone CD 43T7
71	215734_at	C19orf36	7.00E-07	0.0005172	74.1783621	321.4619931	0.2307531	-2.115578065	chromosome 19 open reading frame 36
72	213523_at	CCNE1	7.00E-07	0.0005172	968.4354504	527.806135	1.8348317	0.875647738	cyclin E1
73	227607_at	STAMBPL1	7.00E-07	0.0005172	4146.008784	2107.768577	1.9670133	0.976006712	STAM binding protein-like 1
74	1557049_at	LOC149478	7.00E-07	0.0005172	402.8837999	130.3136587	3.0916468	1.62837551	Hypothetical protein LOC149478
75	213262_at	SACS	8.00E-07	0.0005832	1125.51094	503.5773448	2.2350309	1.160294777	spastic ataxia of Charlevoix-Saguenay (sacsin)
76	218633_x_at	ABHD10	9.00E-07	0.0006229	2556.644813	1478.914011	1.7287312	0.789713562	abhydrolase domain containing 10
77	219471_at	C13orf18 /// LOC728970	9.00E-07	0.0006229	6331.624092	1349.848845	4.6906171	2.229777737	chromosome 13 open reading frame 18 /// hypothetical LOC728970
78	233483_at	TBC1D27	9.00E-07	0.0006229	594.7888047	130.4227899	4.5604668	2.189181503	TBC1 domain family, member 27
79	215165_x_at	UMPS	9.00E-07	0.0006229	1916.591429	1241.291001	1.5440307	0.626701438	uridine monophosphate synthetase
80	225307_at	ZNF511	1.00E-06	0.0006668	2241.168937	1112.950834	2.0137178	1.00986152	zinc finger protein 511
81	207655_s_at	BLNK	1.00E-06	0.0006668	11596.83064	5859.165525	1.9792632	0.984963473	B-cell linker
82	225630_at	EEPD1	1.00E-06	0.0006668	87.5649427	268.6824665	0.3259049	-1.617477052	endonuclease/exonuclease/phosphatase family domain containing 1
83	223514_at	CARD11	1.10E-06	0.0007076	1345.206826	455.2968843	2.9545707	1.562948522	caspase recruitment domain family, member 11
84	204529_s_at	TOX	1.10E-06	0.0007076	1252.156883	4470.582432	0.2800881	-1.836047405	thymocyte selection-associated high mobility group box
85	223422_s_at	ARHGAP24	1.10E-06	0.0007076	1503.460386	575.2661052	2.6135042	1.385985478	Rho GTPase activating protein 24
86	232103_at	BPNT1	1.20E-06	0.0007372	569.4678605	1255.13048	0.4537121	-1.14015096	3(2), 5-bisphosphate nucleotidase 1
87	230509_at	SNX22	1.20E-06	0.0007372	294.3139072	788.5335158	0.3732421	-1.42181637	sorting nexin 22
88	212123_at	TCTN3	1.20E-06	0.0007372	1039.876329	677.0159943	1.5359701	0.619150132	tectonic family member 3
89	213188_s_at	MINA	1.20E-06	0.0007372	2509.902229	1537.386008	1.6325778	0.707151745	MYC induced nuclear antigen
90	212385_at	TCF4	1.30E-06	0.0007898	3544.445104	1436.292824	2.4677733	1.303209869	transcription factor 4
91	227606_s_at	STAMBPL1	1.40E-06	0.0008412	1303.125912	721.0782172	1.8071908	0.853748831	STAM binding protein-like 1
92	218523_at	LHPP	1.50E-06	0.0008819	138.1927208	423.1452796	0.3265846	-1.614471332	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
93	204269_at	PIM2	1.50E-06	0.0008819	1938.896309	880.7504855	2.2014138	1.138430354	pim-2 oncogene
94	203988_s_at	FUT8	1.60E-06	0.0009306	1367.356003	539.6521507	2.5337729	1.341287223	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
95	218781_at	SMC6	1.70E-06	0.0009582	2716.665083	1510.901526	1.7980425	0.846427122	structural maintenance of chromosomes 6
96	231049_at	LMO2	1.70E-06	0.0009582	21.8217422	240.937094	0.0905703	-3.464818153	LIM domain only 2 (rhombotin-like 1)
97	1553380_at	PARP15	1.70E-06	0.0009582	304.0157748	64.6300805	4.7039362	2.233868493	poly (ADP-ribose) polymerase family, member 15
98	216060_s_at	DAAM1	1.80E-06	0.0010042	1069.152971	3238.577905	0.3301304	-1.5988921	dishevelled associated activator of morphogenesis 1
99	202670_at	MAP2K1	1.90E-06	0.0010493	1233.723684	2095.937261	0.5886262	-0.764576336	mitogen-activated protein kinase kinase 1
100	214955_at	TMPRSS6	2.00E-06	0.0010617	451.7706631	151.6158891	2.9797053	1.575169652	transmembrane protease, serine 6
101	203761_at	SLA	2.00E-06	0.0010617	7336.214335	3192.298426	2.2980979	1.200440259	Src-like-adaptor
102	44790_s_at	C13orf18 /// LOC728970	2.00E-06	0.0010617	6454.806203	1340.685067	4.8145581	2.267403388	chromosome 13 open reading frame 18 /// hypothetical LOC728970
103	209939_x_at	CFLAR	2.00E-06	0.0010617	9829.177656	4652.67703	2.1125854	1.079009663	CASP8 and FADD-like apoptosis regulator
104	201387_s_at	UCHL1	2.10E-06	0.0010935	105.7103819	694.1013419	0.1522982	-2.715029204	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
105	200599_s_at	HSP90B1	2.10E-06	0.0010935	15096.11378	8779.192261	1.7195333	0.782017055	heat shock protein 90kDa beta (Grp94), member 1
106	230425_at	EPHB1	2.20E-06	0.0011348	509.6820858	82.2940987	6.1934221	2.630736773	EPH receptor B1
107	212689_s_at	JMJD1A	2.30E-06	0.0011644	1506.147252	2634.277482	0.5717497	-0.806544391	jumonji domain containing 1A
108	203537_at	PRPSAP2	2.30E-06	0.0011644	2243.137448	4694.083868	0.4778648	-1.065325594	phosphoribosyl pyrophosphate synthetase-associated protein 2
109	238861_at		2.40E-06	0.0012039	39.8230375	145.2120592	0.2742406	-1.866485924	MRNA; clone CD 43T7
110	220306_at	FAM46C	2.60E-06	0.0012923	671.4247375	262.0768097	2.5619388	1.357236013	family with sequence similarity 46, member C
111	203753_at	TCF4	2.70E-06	0.0013064	7504.399653	3605.98565	2.0810953	1.057343032	transcription factor 4
112	235444_at	FOXP1	2.70E-06	0.0013064	1277.751809	488.7883919	2.6141206	1.3863257	forkhead box P1
113	224761_at	GNA13	2.70E-06	0.0013064	8490.307415	13353.93716	0.6357906	-0.653376408	guanine nucleotide binding protein (G protein), alpha 13
114	217977_at	SEPX1	3.10E-06	0.0014868	2171.129609	1198.879383	1.8109658	0.856759301	selenoprotein X, 1
115	201865_x_at	NR3C1	3.20E-06	0.0015214	4579.149413	6973.741607	0.6566273	-0.606853362	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)
116	227417_at	MOSC2	3.30E-06	0.0015421	81.4372679	302.7656909	0.2689779	-1.894440453	MOCO sulphurase C-terminal domain containing 2
117	222746_s_at	BSPRY	3.30E-06	0.0015421	410.0191687	107.7431139	3.8055255	1.928095687	B-box and SPRY domain containing
118	203768_s_at	STS	3.40E-06	0.0015754	83.5673221	210.1746451	0.397609	-1.330577682	steroid sulfatase (microsomal), isozyme S
119	227354_at	PAG1	3.60E-06	0.0016402	553.1821865	1538.799601	0.3594894	-1.475978863	phosphoprotein associated with glycosphingolipid microdomains 1
120	222942_s_at	TIAM2	3.60E-06	0.0016402	80.1472617	328.6481235	0.2438695	-2.035818759	T-cell lymphoma invasion and metastasis 2
121	222146_s_at	TCF4	3.80E-06	0.001703	5314.491426	2335.266356	2.2757539	1.186344553	transcription factor 4
122	218699_at	RAB7L1	3.80E-06	0.001703	5957.16827	2610.57242	2.2819395	1.190260543	RAB7, member RAS oncogene family-like 1
123	1558996_at	FOXP1	4.00E-06	0.0017637	849.7008036	305.4451587	2.7818441	1.476041571	forkhead box P1
124	226001_at	KLHL5	4.00E-06	0.0017637	1398.423232	2220.622109	0.6297439	-0.667162852	kelch-like 5 (Drosophila)
125	202695_s_at	STK17A	4.10E-06	0.0017791	658.5119844	1186.941274	0.5547974	-0.849967068	serine/threonine kinase 17a
126	201678_s_at	C3orf37	4.10E-06	0.0017791	632.949793	1822.958932	0.3472101	-1.52611918	chromosome 3 open reading frame 37
127	227703_s_at	SYTL4	4.30E-06	0.0018512	29.7557067	228.5693203	0.1301824	-2.941393678	synaptotagmin-like 4 (granuphilin-a)
128	235353_at	KIAA0746	4.40E-06	0.0018649	200.3168065	643.2032987	0.3114362	-1.682991448	KIAA0746 protein
129	232739_at	SPIB	4.40E-06	0.0018649	964.3172071	374.1829271	2.5771278	1.365764082	Spi-B transcription factor (Spi-1/PU.1 related)
130	212121_at	TCTN3	4.50E-06	0.0018926	1588.747296	930.6299847	1.707174	0.771610109	tectonic family member 3
131	206698_at	XK	4.70E-06	0.0019616	488.5112325	69.7436187	7.0043861	2.808258611	X-linked Kx blood group (McLeod syndrome)
132	227300_at	TMEM119	4.80E-06	0.0019882	188.6016437	774.7815918	0.2434256	-2.038447197	transmembrane protein 119
133	202694_at	STK17A	4.90E-06	0.0020143	168.3947432	334.4621906	0.5034792	-0.989995917	serine/threonine kinase 17a
134	239973_at		5.00E-06	0.0020401	1004.182526	401.7735988	2.4993741	1.321566857	Transcribed locus
135	232499_at	ITPKB	5.10E-06	0.0020655	59.6456085	193.8737049	0.3076519	-1.700629193	inositol 1,4,5-trisphosphate 3-kinase B
136	235890_at		5.20E-06	0.0020698	531.8603133	285.5673628	1.8624688	0.897216258	Transcribed locus
137	201834_at	PRKAB1	5.20E-06	0.0020698	634.392708	1059.068835	0.5990099	-0.739348248	protein kinase, AMP-activated, beta 1 non-catalytic subunit
138	203869_at	USP46	5.30E-06	0.0020698	363.4085209	212.8282765	1.7075199	0.771902392	ubiquitin specific peptidase 46
139	203285_s_at	HS2ST1	5.30E-06	0.0020698	511.4677161	1051.275341	0.4865212	-1.039425424	heparan sulfate 2-O-sulfotransferase 1
140	226267_at	JDP2	5.30E-06	0.0020698	878.3651099	520.8991077	1.6862481	0.753816818	Jun dimerization protein 2
141	228434_at	BTNL9	5.40E-06	0.0020792	259.8829957	1189.204779	0.2185351	-2.194063078	butyrophilin-like 9
142	212458_at	SPRED2	5.40E-06	0.0020792	316.7988591	941.3930133	0.3365214	-1.571229844	sprouty-related, EVH1 domain containing 2
143	222634_s_at	TBL1XR1	5.50E-06	0.0020883	1342.674637	607.265324	2.2110181	1.144710835	transducin (beta)-like 1 X-linked receptor 1
144	219360_s_at	TRPM4	5.50E-06	0.0020883	402.8521988	44.9076311	8.9706847	3.165218105	transient receptor potential cation channel, subfamily M, member 4
145	225174_at	DNAJC10	5.60E-06	0.0021116	2161.096943	3788.783975	0.5703933	-0.809971059	DnaJ (Hsp40) homolog, subfamily C, member 10
146	223218_s_at	NFKBIZ	5.80E-06	0.002172	8667.982366	3717.242113	2.3318315	1.221463542	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
147	219117_s_at	FKBP11	5.90E-06	0.0021944	6245.567999	3273.317918	1.9080236	0.932079016	FK506 binding protein 11, 19 kDa
148	204984_at	GPC4	6.10E-06	0.0022535	37.8550512	146.7759222	0.2579105	-1.955057586	glypican 4
149	212589_at	RRAS2	6.30E-06	0.0023118	1546.992372	3680.607229	0.420309	-1.250477746	related RAS viral (r-ras) oncogene homolog 2
150	213189_at	MINA	6.40E-06	0.0023328	1786.44054	930.6554996	1.9195508	0.940768741	MYC induced nuclear antigen
151	226841_at	MPEG1	6.60E-06	0.0023898	5563.420874	2467.146902	2.2550019	1.173128649	macrophage expressed gene 1
152	201516_at	SRM	6.70E-06	0.00241	1832.784119	1029.866201	1.7796332	0.831579918	spermidine synthase
153	237297_at	FAM53B	6.80E-06	0.00243	40.9057393	185.8041139	0.2201552	-2.183407174	Family with sequence similarity 53, member B
154	202806_at	DBN1	6.90E-06	0.0024497	600.4888027	208.6833765	2.8775114	1.524821644	drebrin 1
155	204891_s_at	LCK	7.00E-06	0.0024692	1792.484505	4355.886216	0.4115086	-1.281005513	lymphocyte-specific protein tyrosine kinase
156	219118_at	FKBP11	7.10E-06	0.0024884	2174.308597	978.5045814	2.222073	1.151906213	FK506 binding protein 11, 19 kDa
157	203767_s_at	STS	7.30E-06	0.0025422	283.7120984	627.0021404	0.4524898	-1.144042823	steroid sulfatase (microsomal), isozyme S
158	1554306_at	ITPKB	7.40E-06	0.0025607	87.2585261	290.8129961	0.3000503	-1.736723723	inositol 1,4,5-trisphosphate 3-kinase B
159	202119_s_at	CPNE3	7.50E-06	0.002579	2463.60291	5873.972563	0.41941	-1.253566835	copine III
160	81737_at		7.60E-06	0.0025971	240.4916736	753.0982368	0.3193364	-1.646851085	Homo sapiens, clone IMAGE:4271781
161	203140_at	BCL6	7.70E-06	0.0026149	3500.604912	8333.622509	0.420058	-1.251339551	B-cell CLL/lymphoma 6 (zinc finger protein 51)
162	202716_at	PTPN1	7.80E-06	0.0026325	2239.027349	1089.579601	2.0549461	1.039100553	protein tyrosine phosphatase, non-receptor type 1
163	218696_at	EIF2AK3	7.90E-06	0.0026499	1027.85393	1702.688833	0.6036652	-0.72817946	eukaryotic translation initiation factor 2-alpha kinase 3
164	205174_s_at	QPCT	8.50E-06	0.0028338	610.2483677	1578.032434	0.3867147	-1.370658489	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
165	230992_at	BTNL9	9.10E-06	0.0029972	106.4655332	441.3529665	0.2412254	-2.05154627	butyrophilin-like 9
166	210550_s_at	RASGRF1	9.10E-06	0.0029972	408.4473788	106.1261715	3.8486961	1.944369758	Ras protein-specific guanine nucleotide-releasing factor 1
167	201811_x_at	SH3BP5	9.40E-06	0.0030775	8135.364839	3308.968521	2.4585803	1.297825476	SH3-domain binding protein 5 (BTK-associated)
168	224946_s_at	CCDC115	9.80E-06	0.0031894	1270.426875	1942.259503	0.6540974	-0.612422615	coiled-coil domain containing 115
169	236491_at	BCL2L10	1.02E-05	0.0032999	229.5167221	48.4852889	4.7337394	2.242980286	BCL2-like 10 (apoptosis facilitator)
170	201259_s_at	SYPL1	1.06E-05	0.0034091	2036.018289	4237.097949	0.4805219	-1.057325911	synaptophysin-like 1
171	225214_at	PSMB7	1.08E-05	0.0034532	303.1156262	798.212159	0.3797432	-1.396903964	proteasome (prosome, macropain) subunit, beta type, 7
172	241993_x_at		1.10E-05	0.0034967	1928.203037	812.8134068	2.3722579	1.246260861	Transcribed locus
173	229566_at	LOC645638	1.15E-05	0.0036345	941.4815856	118.3417957	7.9556135	2.991973189	similar to WDNM1-like protein
174	223217_s_at	NFKBIZ	1.17E-05	0.0036764	4646.035732	1826.786364	2.5432836	1.346692345	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta
175	230983_at	FAM129C	1.18E-05	0.0036867	3915.215463	1075.791941	3.6393798	1.863692616	family with sequence similarity 129, member C
176	222449_at	PMEPA1	1.30E-05	0.0040385	140.2028073	476.8308214	0.2940305	-1.76596228	prostate transmembrane protein, androgen induced 1
177	217230_at	EZR	1.34E-05	0.004116	28.8023864	99.7579867	0.2887226	-1.792244055	ezrin
178	210563_x_at	CFLAR	1.34E-05	0.004116	6688.703821	2968.842362	2.252967	1.171826182	CASP8 and FADD-like apoptosis regulator
179	209496_at	RARRES2	1.36E-05	0.004131	739.1382857	2159.719282	0.3422381	-1.546927717	retinoic acid receptor responder (tazarotene induced) 2
180	217887_s_at	EPS15	1.36E-05	0.004131	4800.814771	7241.931131	0.6629191	-0.593095275	epidermal growth factor receptor pathway substrate 15
181	1569034_a_at	LOC440864	1.39E-05	0.0041988	17.7392933	84.6910528	0.2094589	-2.255260909	hypothetical gene supported by BC040724
182	226666_at	DAAM1	1.42E-05	0.0042659	695.995747	1716.723536	0.405421	-1.302507275	dishevelled associated activator of morphogenesis 1
183	202693_s_at	STK17A	1.47E-05	0.0043681	7219.902138	13912.98122	0.5189328	-0.946380368	serine/threonine kinase 17a
184	203870_at	USP46	1.47E-05	0.0043681	434.0861343	240.49781	1.8049484	0.851957594	ubiquitin specific peptidase 46
185	239231_at		1.51E-05	0.0044627	3803.75208	2088.726607	1.8210866	0.86479953	CDNA FLJ41910 fis, clone PEBLM2007834
186	217886_at	EPS15	1.56E-05	0.0045278	1579.772093	2379.618702	0.6638761	-0.59101408	epidermal growth factor receptor pathway substrate 15
187	226930_at	FNDC1	1.57E-05	0.0045278	145.3373508	449.5038501	0.3233284	-1.628927861	fibronectin type III domain containing 1
188	1555137_a_at	FGD6	1.59E-05	0.0045278	78.7379825	252.6882318	0.3116013	-1.682226843	FYVE, RhoGEF and PH domain containing 6
189	228585_at	ENTPD1	1.59E-05	0.0045278	789.2530706	305.9649545	2.5795538	1.367121536	ectonucleoside triphosphate diphosphohydrolase 1
190	230179_at	LOC285812	1.59E-05	0.0045278	367.3327612	813.7924115	0.4513839	-1.147573134	hypothetical protein LOC285812
191	232080_at	HECW2	1.59E-05	0.0045278	215.6363478	434.2057179	0.4966225	-1.009778469	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
192	231851_at	RAVER2	1.59E-05	0.0045278	160.0254891	29.2450188	5.4718887	2.452038886	ribonucleoprotein, PTB-binding 2
193	213891_s_at	TCF4	1.63E-05	0.0046176	9805.537232	5021.352174	1.9527683	0.965520781	transcription factor 4
194	202107_s_at	MCM2	1.64E-05	0.004622	4358.10147	2201.005367	1.9800504	0.985537153	minichromosome maintenance complex component 2
195	212129_at	NIPA2	1.66E-05	0.0046306	4914.505174	3215.566393	1.5283482	0.611973267	non imprinted in Prader-Willi/Angelman syndrome 2
196	223624_at	ANUBL1	1.66E-05	0.0046306	92.1906504	261.4243845	0.3526475	-1.503701283	AN1, ubiquitin-like, homolog (Xenopus laevis)
197	202561_at	TNKS	1.67E-05	0.0046349	321.8605585	717.9651806	0.4482955	-1.157478077	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
198	203760_s_at	SLA	1.71E-05	0.0047219	3051.253942	1405.199825	2.1714022	1.118626975	Src-like-adaptor
199	230174_at	LYPLAL1	1.76E-05	0.0048356	547.4948826	1074.271502	0.5096429	-0.972441371	lysophospholipase-like 1
200	208296_x_at	TNFAIP8	1.77E-05	0.0048387	9238.698317	5876.980939	1.5720143	0.652614341	tumor necrosis factor, alpha-induced protein 8
