Rank	Parametric p-value	FDR	Geom mean of intensities in Controls	Geom mean of intensities 1.25 Gy	Geom mean of intensities 3.75 Gy	Unique id	Description	Gene symbol
27	< 1e-07	< 1e-07	1477.507065	3068.150223	2579.040074	A_23_P81770	Homo sapiens protein tyrosine phosphatase type IVA, member 1 (PTP4A1), mRNA [NM_003463]	PTP4A1
28	< 1e-07	< 1e-07	432.1533849	807.7268229	795.9662995	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	CCNG1
29	< 1e-07	< 1e-07	2141.656916	4422.111461	4864.52403	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
30	< 1e-07	< 1e-07	102.675494	292.0067014	240.7867976	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898
31	< 1e-07	< 1e-07	402.4518703	781.3136198	722.0795027	A_32_P150030	Homo sapiens protein phosphatase 1D magnesium-dependent, delta isoform (PPM1D), mRNA [NM_003620]	PPM1D
32	< 1e-07	< 1e-07	1910.409714	2806.304519	4448.48994	A_23_P366216	Homo sapiens histone cluster 1, H2bh (HIST1H2BH), mRNA [NM_003524]	HIST1H2BH
33	< 1e-07	< 1e-07	3868.822238	2570.390755	6469.12603	A_23_P12514	Homo sapiens ras homolog gene family, member C (RHOC), transcript variant 1, mRNA [NM_175744]	RHOC
34	< 1e-07	< 1e-07	54.353041	148.4210047	168.4385924	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	TNFRSF10B
35	< 1e-07	< 1e-07	347.3288326	555.5727689	937.6296097	A_23_P93180	Homo sapiens histone cluster 1, H2bc (HIST1H2BC), mRNA [NM_003526]	HIST1H2BC
36	< 1e-07	< 1e-07	110.9859336	308.3934313	209.7475745	A_32_P69492	Homo sapiens cDNA: FLJ21978 fis, clone HEP06046, highly similar to AF158185 Homo sapiens xeroderma pigmentosum variant RAD30 (RAD30) mRNA. [AK025631]	POLH
37	< 1e-07	< 1e-07	279.674007	297.6639043	1023.076911	A_23_P128230	Homo sapiens nuclear receptor subfamily 4, group A, member 1 (NR4A1), transcript variant 1, mRNA [NM_002135]	NR4A1
38	< 1e-07	< 1e-07	702.1968479	1316.898166	1193.519871	A_23_P128486	Homo sapiens chromosome 12 open reading frame 5 (C12orf5), mRNA [NM_020375]	C12orf5
39	< 1e-07	< 1e-07	1587.770051	2367.901829	3838.471658	A_23_P59069	Homo sapiens histone cluster 1, H2bo (HIST1H2BO), mRNA [NM_003527]	HIST1H2BO
40	< 1e-07	< 1e-07	2636.120769	2260.327455	4556.868652	A_23_P39074	Homo sapiens related RAS viral (r-ras) oncogene homolog (RRAS), mRNA [NM_006270]	RRAS
41	< 1e-07	< 1e-07	13.0572722	32.5243856	28.2813536	A_23_P46673	PREDICTED: Homo sapiens similar to protein tyrosine phosphatase 4a1 (LOC731989), mRNA [XM_001134097]	LOC731989
42	< 1e-07	< 1e-07	11.9229436	38.6404988	91.1857038	A_32_P52153	PREDICTED: Homo sapiens hypothetical protein LOC730999 (LOC730999), mRNA [XM_001131389]	LOC730999
43	< 1e-07	< 1e-07	220.0172681	710.3021322	666.2786595	A_24_P925664	Unknown	THC2545454
44	< 1e-07	< 1e-07	158.2894515	269.485449	389.8052959	A_24_P220786	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 1, mRNA [NM_198229]	RGS12
45	< 1e-07	< 1e-07	1349.61111	1074.80375	2375.129526	A_23_P39076	Homo sapiens related RAS viral (r-ras) oncogene homolog (RRAS), mRNA [NM_006270]	RRAS
46	< 1e-07	< 1e-07	3401.709982	8533.839721	8304.292943	A_23_P208706	Homo sapiens BCL2-associated X protein (BAX), transcript variant epsilon, mRNA [NM_138764]	BAX
47	< 1e-07	< 1e-07	2547.953606	3644.046057	5655.22515	A_23_P8013	Homo sapiens histone cluster 1, H2bl (HIST1H2BL), mRNA [NM_003519]	HIST1H2BL
48	< 1e-07	< 1e-07	129.3779274	463.5919758	531.6362464	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445
49	< 1e-07	< 1e-07	121.2930014	223.7020187	280.9327961	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245
50	< 1e-07	< 1e-07	20.078251	69.778876	85.8072934	A_24_P917549	Unknown	A_24_P917549
51	< 1e-07	< 1e-07	503.9625592	786.5629722	1062.361447	A_24_P156911	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
52	< 1e-07	< 1e-07	302.8129413	186.2535832	117.3262256	A_23_P6293	Homo sapiens ubiquitin associated and SH3 domain containing, A (UBASH3A), transcript variant 1, mRNA [NM_018961]	UBASH3A
53	< 1e-07	< 1e-07	466.2404158	312.9779833	159.7838834	A_23_P90696	Homo sapiens tribbles homolog 2 (Drosophila) (TRIB2), mRNA [NM_021643]	TRIB2
54	< 1e-07	< 1e-07	302.4187011	477.7109934	691.5029255	A_23_P167997	Homo sapiens histone cluster 1, H2bg (HIST1H2BG), mRNA [NM_003518]	HIST1H2BG
55	< 1e-07	< 1e-07	760.234471	1198.192054	1303.762028	A_23_P37535	Homo sapiens RAB8B, member RAS oncogene family (RAB8B), mRNA [NM_016530]	RAB8B
56	< 1e-07	< 1e-07	225.1924838	549.3426118	442.0469989	A_23_P93562	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	SESN1
57	< 1e-07	< 1e-07	924.9563983	1434.830352	1821.537928	A_24_P3783	Homo sapiens histone cluster 1, H2bm (HIST1H2BM), mRNA [NM_003521]	HIST1H2BM
58	< 1e-07	< 1e-07	1973.529102	2788.035225	4393.881759	A_23_P42178	Homo sapiens histone cluster 1, H2bf (HIST1H2BF), mRNA [NM_003522]	HIST1H2BF
59	< 1e-07	< 1e-07	350.5846008	543.39786	737.9831492	A_23_P40470	Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]	HIST1H2BE
60	< 1e-07	< 1e-07	34.5556103	83.9744494	62.1962671	A_24_P252043	Homo sapiens protein tyrosine phosphatase type IVA, member 1 (PTP4A1), mRNA [NM_003463]	PTP4A1
61	< 1e-07	< 1e-07	2008.233883	1362.973966	846.4731276	A_24_P261734	Homo sapiens solute carrier family 38, member 1 (SLC38A1), transcript variant 1, mRNA [NM_030674]	SLC38A1
62	< 1e-07	< 1e-07	276.7433163	504.629961	624.8477029	A_23_P218555	Homo sapiens FOS-like antigen 2 (FOSL2), mRNA [NM_005253]	FOSL2
63	< 1e-07	< 1e-07	292.2933425	1271.064022	1135.660872	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	CD70
64	< 1e-07	< 1e-07	311.9615379	708.9138345	715.5280426	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	BAX
65	< 1e-07	< 1e-07	10829.39175	18543.6199	23911.29262	A_23_P86330	Homo sapiens immediate early response 5 (IER5), mRNA [NM_016545]	IER5
66	< 1e-07	< 1e-07	225.2069899	626.8395844	446.4532687	A_32_P96692	Q9BX12_HUMAN (Q9BX12) GTP binding protein 2 (Fragment), partial (26%) [THC2532504]	THC2532504
67	< 1e-07	< 1e-07	985.0709282	1464.772446	2699.769542	A_23_P309381	Homo sapiens histone cluster 2, H2aa4 (HIST2H2AA4), mRNA [NM_001040874]	HIST2H2AA4
68	< 1e-07	< 1e-07	177.6998862	336.9725004	340.4537664	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	XPC
69	< 1e-07	< 1e-07	1532.403524	2097.601747	3298.500737	A_23_P30776	Homo sapiens histone cluster 1, H2be (HIST1H2BE), mRNA [NM_003523]	HIST1H2BE
70	< 1e-07	< 1e-07	392.040882	629.488913	922.6656592	A_24_P146211	Homo sapiens histone cluster 1, H2bd (HIST1H2BD), transcript variant 1, mRNA [NM_021063]	HIST1H2BD
71	< 1e-07	< 1e-07	95.8781804	192.575568	172.4402811	A_23_P303763	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	ZNF79
72	< 1e-07	< 1e-07	589.4893263	480.8549108	1184.234072	A_23_P138492	Homo sapiens neuralized homolog (Drosophila) (NEURL), mRNA [NM_004210]	NEURL
73	< 1e-07	< 1e-07	364.6952263	240.464944	153.6893259	A_23_P404481	Homo sapiens endothelial differentiation, sphingolipid G-protein-coupled receptor, 1 (EDG1), mRNA [NM_001400]	EDG1
74	< 1e-07	< 1e-07	156.4200407	283.7283038	250.4580263	A_23_P35082	Homo sapiens sestrin 2 (SESN2), mRNA [NM_031459]	SESN2
75	< 1e-07	< 1e-07	8716.070965	12582.01209	23347.9103	A_23_P428184	Homo sapiens histone cluster 1, H2ad (HIST1H2AD), mRNA [NM_021065]	HIST1H2AD
76	< 1e-07	< 1e-07	986.3714449	1468.992579	1908.918168	A_23_P34396	Homo sapiens chromosome 1 open reading frame 63 (C1orf63), mRNA [NM_020317]	C1orf63
77	< 1e-07	< 1e-07	102.9050945	242.0192161	300.0792407	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	TNFSF4
78	< 1e-07	< 1e-07	191.1815106	376.6344046	325.3529697	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	FBXO22
79	< 1e-07	< 1e-07	8039.666652	5037.349418	3424.408879	A_23_P126844	Homo sapiens tumor necrosis factor receptor superfamily, member 25 (TNFRSF25), transcript variant 1, mRNA [NM_148965]	TNFRSF25
80	< 1e-07	< 1e-07	2377.676101	1460.418066	1042.181434	A_23_P8424	Homo sapiens poliovirus receptor related immunoglobulin domain containing (PVRIG), mRNA [NM_024070]	PVRIG
81	< 1e-07	< 1e-07	476.3873078	397.6044124	237.1131597	A_23_P410613	Homo sapiens chromosome 12 open reading frame 23 (C12orf23), mRNA [NM_152261]	C12orf23
82	< 1e-07	< 1e-07	2812.890314	1735.264429	1413.172027	A_24_P9090	Homo sapiens heterogeneous nuclear ribonucleoprotein D-like (HNRPDL), transcript variant 2, mRNA [NM_031372]	HNRPDL
83	< 1e-07	< 1e-07	2170.905522	3404.701258	5365.545735	A_24_P66027	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B (APOBEC3B), mRNA [NM_004900]	APOBEC3B
84	< 1e-07	< 1e-07	1809.359098	3447.610379	4692.775609	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	CDC42EP2
85	< 1e-07	< 1e-07	78.4000447	42.9371301	24.626906	A_32_P119704	Unknown	THC2677229
86	< 1e-07	< 1e-07	835.8554218	1179.145315	1960.030608	A_24_P394510	Homo sapiens histone cluster 1, H2aj (HIST1H2AJ), mRNA [NM_021066]	HIST1H2AJ
87	< 1e-07	< 1e-07	107.9047198	208.7690678	196.5449228	A_24_P128312	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	ZNF79
88	< 1e-07	< 1e-07	4222.12793	3204.698785	1955.236576	A_23_P39682	Homo sapiens zeta-chain (TCR) associated protein kinase 70kDa (ZAP70), transcript variant 1, mRNA [NM_001079]	ZAP70
89	< 1e-07	< 1e-07	345.9233863	251.5480875	163.7866307	A_23_P88439	Homo sapiens membrane targeting (tandem) C2 domain containing 1 (MTAC2D1), mRNA [NM_152332]	MTAC2D1
90	< 1e-07	< 1e-07	385.0908432	665.1891391	1014.598239	A_24_P148321	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
91	< 1e-07	< 1e-07	38.6895738	56.1848695	124.333249	A_32_P12994	full-length cDNA clone CS0DI015YJ05 of Placenta Cot 25-normalized of Homo sapiens (human). [CR601322]	CR601322
92	< 1e-07	< 1e-07	4663.684171	5802.909956	8644.708203	A_23_P165136	Homo sapiens leucine rich repeat containing 25 (LRRC25), mRNA [NM_145256]	LRRC25
93	< 1e-07	< 1e-07	725.0283642	446.7772231	333.5165345	A_23_P41280	Homo sapiens phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS), transcript variant 1, mRNA [NM_001079525]	PAICS
94	< 1e-07	< 1e-07	528.6489699	330.290332	186.9377516	A_23_P91095	Homo sapiens CD28 molecule (CD28), mRNA [NM_006139]	CD28
95	< 1e-07	< 1e-07	721.3199676	1088.034169	1422.688026	A_23_P111041	Homo sapiens histone cluster 1, H2bi (HIST1H2BI), mRNA [NM_003525]	HIST1H2BI
96	< 1e-07	< 1e-07	583.3240275	797.7230031	1135.129961	A_23_P111054	Homo sapiens histone cluster 1, H2bb (HIST1H2BB), mRNA [NM_021062]	HIST1H2BB
97	< 1e-07	< 1e-07	49.3770591	90.3399942	140.0916838	A_23_P149545	Homo sapiens histone cluster 2, H2be (HIST2H2BE), mRNA [NM_003528]	HIST2H2BE
98	< 1e-07	< 1e-07	72.3979783	53.0904272	35.0762599	A_23_P134014	Homo sapiens deaminase domain containing 1 (DEADC1), mRNA [NM_182503]	DEADC1
99	< 1e-07	< 1e-07	968.3156604	962.4943794	1607.498975	A_23_P406424	Homo sapiens ras homolog gene family, member C (RHOC), transcript variant 1, mRNA [NM_175744]	RHOC
100	< 1e-07	< 1e-07	961.2049762	1267.391229	1598.890744	A_23_P213069	Homo sapiens transmembrane protein 33 (TMEM33), mRNA [NM_018126]	TMEM33
101	< 1e-07	< 1e-07	3790.606957	5253.579553	8880.890903	A_23_P149301	Homo sapiens histone cluster 3, H2a (HIST3H2A), mRNA [NM_033445]	HIST3H2A
102	< 1e-07	< 1e-07	215.8628123	171.5304784	402.0400477	A_23_P322562	Homo sapiens neuralized homolog (Drosophila) (NEURL), mRNA [NM_004210]	NEURL
103	< 1e-07	< 1e-07	4925.24117	7035.229308	12399.3033	A_24_P68631	Homo sapiens histone cluster 2, H2ab (HIST2H2AB), mRNA [NM_175065]	HIST2H2AB
104	< 1e-07	< 1e-07	327.3965841	145.9747077	104.584166	A_32_P17343	Unknown	THC2667726
105	< 1e-07	< 1e-07	469.2572785	774.976236	904.0895435	A_24_P544661	Homo sapiens cDNA clone IMAGE:6380649, containing frame-shift errors. [BC068044]	BC068044
106	< 1e-07	< 1e-07	1719.963858	2107.586247	3604.272096	A_24_P383450	Homo sapiens immediate early response 5-like (IER5L), mRNA [NM_203434]	IER5L
107	< 1e-07	< 1e-07	284.7315483	478.0691044	643.8059347	A_32_P170736	Homo sapiens cDNA FLJ25556 fis, clone JTH02629. [AK098422]	AK098422
108	< 1e-07	< 1e-07	120.9137026	253.4827219	184.9933425	A_23_P208768	Homo sapiens Fc fragment of IgA, receptor for (FCAR), transcript variant 1, mRNA [NM_002000]	FCAR
109	< 1e-07	< 1e-07	1411.774056	1953.212581	2510.042907	A_23_P113825	Homo sapiens BTB (POZ) domain containing 14A (BTBD14A), mRNA [NM_144653]	BTBD14A
110	< 1e-07	< 1e-07	53.052291	55.4738145	117.2850889	A_23_P32454	Homo sapiens thyroglobulin (TG), mRNA [NM_003235]	TG
111	< 1e-07	< 1e-07	1168.813785	4280.987975	4315.795122	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	RPS27L
112	< 1e-07	< 1e-07	453.1763471	988.9304173	1200.378209	A_23_P406616	Homo sapiens hypothetical protein FLJ36031 (FLJ36031), mRNA [NM_175884]	FLJ36031
113	< 1e-07	< 1e-07	36.1072268	53.9663254	70.6898316	A_24_P374634	Homo sapiens cDNA FLJ11290 fis, clone PLACE1009622, weakly similar to MATERNAL EFFECT PROTEIN STAUFEN. [AK002152]	STAU2
114	< 1e-07	< 1e-07	834.8091536	1066.802715	1578.613829	A_23_P205997	Homo sapiens anterior pharynx defective 1 homolog B (C. elegans) (APH1B), mRNA [NM_031301]	APH1B
115	< 1e-07	< 1e-07	104.6876312	204.4403499	293.5477367	A_23_P156609	Unknown	A_23_P156609
116	< 1e-07	< 1e-07	1885.253009	3077.828285	3001.118338	A_23_P62901	Homo sapiens BTG family, member 2 (BTG2), mRNA [NM_006763]	BTG2
117	< 1e-07	< 1e-07	106.7392709	71.6243051	47.0128089	A_23_P110802	Homo sapiens centromere protein H (CENPH), mRNA [NM_022909]	CENPH
118	< 1e-07	< 1e-07	3071.795864	1908.48743	1046.232863	A_23_P200866	Homo sapiens stathmin 1/oncoprotein 18 (STMN1), transcript variant 1, mRNA [NM_203401]	STMN1
119	< 1e-07	< 1e-07	718.2076696	1097.250968	1524.038926	A_23_P402081	Homo sapiens histone cluster 1, H2bn (HIST1H2BN), mRNA [NM_003520]	HIST1H2BN
120	< 1e-07	< 1e-07	4319.470916	2845.959242	2096.460055	A_23_P100730	Homo sapiens src kinase associated phosphoprotein 1 (SKAP1), transcript variant 1, mRNA [NM_003726]	SKAP1
121	< 1e-07	< 1e-07	656.7396739	980.9858544	1286.6181	A_23_P332992	Homo sapiens histone cluster 3, H2bb (HIST3H2BB), mRNA [NM_175055]	HIST3H2BB
122	< 1e-07	< 1e-07	123.190214	89.8277721	61.4017043	A_23_P47790	Homo sapiens methyltransferase like 1 (METTL1), transcript variant 1, mRNA [NM_005371]	METTL1
123	< 1e-07	< 1e-07	2770.005307	1619.972969	1287.709224	A_32_P185229	Homo sapiens ATPase, Class I, type 8B, member 2 (ATP8B2), transcript variant 1, mRNA [NM_020452]	ATP8B2
124	< 1e-07	< 1e-07	32582.15398	48166.95571	60681.74443	A_23_P411296	Homo sapiens CCAAT/enhancer binding protein (C/EBP), beta (CEBPB), mRNA [NM_005194]	CEBPB
125	< 1e-07	< 1e-07	241.6124667	157.0096842	110.9373435	A_32_P7502	Homo sapiens CD96 molecule (CD96), transcript variant 1, mRNA [NM_198196]	CD96
126	< 1e-07	< 1e-07	564.241713	364.6447309	312.0659769	A_23_P90419	Homo sapiens pre-B-cell leukemia transcription factor 4 (PBX4), mRNA [NM_025245]	PBX4
127	< 1e-07	< 1e-07	50.6358376	71.361953	158.9600197	A_23_P103433	Homo sapiens chromosome 1 open reading frame 102 (C1orf102), transcript variant 1, mRNA [NM_145047]	C1orf102
128	< 1e-07	< 1e-07	198.9539505	113.0579734	80.6553819	A_23_P216257	Homo sapiens tumor protein D52 (TPD52), transcript variant 1, mRNA [NM_001025252]	TPD52
129	< 1e-07	< 1e-07	21922.51306	30948.72661	57890.48902	A_23_P103981	Homo sapiens histone cluster 2, H2aa4 (HIST2H2AA4), mRNA [NM_001040874]	HIST2H2AA4
130	< 1e-07	< 1e-07	701.7095014	986.9184304	1206.388699	A_24_P379765	Homo sapiens MOB1, Mps One Binder kinase activator-like 1B (yeast) (MOBK1B), mRNA [NM_018221]	MOBK1B
131	< 1e-07	< 1e-07	2727.765305	4899.322274	4470.653801	A_23_P51646	Homo sapiens polo-like kinase 3 (Drosophila) (PLK3), mRNA [NM_004073]	PLK3
132	< 1e-07	< 1e-07	106.3675078	83.279646	36.4595824	A_24_P240166	Homo sapiens pleckstrin homology-like domain, family B, member 2 (PHLDB2), mRNA [NM_145753]	PHLDB2
133	< 1e-07	< 1e-07	70.4954794	75.3031312	116.3647821	A_32_P206618	Unknown	THC2656077
134	< 1e-07	< 1e-07	2333.166124	1666.727824	3659.0832	A_23_P203351	Homo sapiens membrane-spanning 4-domains, subfamily A, member 7 (MS4A7), transcript variant 1, mRNA [NM_021201]	MS4A7
135	< 1e-07	< 1e-07	277.2535668	735.0267324	404.5790773	A_23_P138262	Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA [NM_012387]	PADI4
136	0.0000001	0.0000122	386.751935	514.7860455	818.0068893	A_23_P38505	Homo sapiens chemokine (C-X-C motif) ligand 16 (CXCL16), mRNA [NM_022059]	CXCL16
137	0.0000001	0.0000122	148.0087188	632.099795	187.3482932	A_23_P74609	Homo sapiens G0/G1switch 2 (G0S2), mRNA [NM_015714]	G0S2
138	0.0000001	0.0000122	3154.022312	1822.659276	1377.378323	A_23_P121702	Homo sapiens OCIA domain containing 2 (OCIAD2), transcript variant 1, mRNA [NM_001014446]	OCIAD2
139	0.0000001	0.0000122	213.7068542	123.9878405	105.6234767	A_32_P112078	Unknown	THC2538534
140	0.0000001	0.0000122	2086.366579	2950.831558	5401.151977	A_23_P59045	Homo sapiens histone cluster 1, H2ae (HIST1H2AE), mRNA [NM_021052]	HIST1H2AE
141	0.0000001	0.0000122	1065.917631	711.2000996	414.146328	A_32_P206479	Uncharacterized protein C20orf174. [Source:Uniprot/SWISSPROT;Acc:Q5JPB2] [ENST00000371030]	C20orf174
142	0.0000001	0.0000122	269.8924888	409.8729624	470.8983719	A_23_P131771	Homo sapiens tumor protein D52-like 2 (TPD52L2), transcript variant 1, mRNA [NM_199360]	TPD52L2
143	0.0000001	0.0000122	160.9591731	458.9076467	447.26319	A_24_P916853	Unknown	A_24_P916853
144	0.0000001	0.0000122	697.4580014	693.0163045	1114.923266	A_23_P129188	Homo sapiens calmodulin-like 4 (CALML4), transcript variant 1, mRNA [NM_033429]	CALML4
145	0.0000001	0.0000122	863.7065967	652.9401881	449.716607	A_23_P80129	Homo sapiens DNA segment on chromosome 21 (unique) 2056 expressed sequence (D21S2056E), mRNA [NM_003683]	D21S2056E
146	0.0000001	0.0000122	152.1869103	163.538534	259.275361	A_23_P32233	Homo sapiens Kruppel-like factor 4 (gut) (KLF4), mRNA [NM_004235]	KLF4
147	0.0000001	0.0000122	5658.137006	11638.91257	5589.440785	A_24_P347378	Homo sapiens arachidonate 5-lipoxygenase-activating protein (ALOX5AP), mRNA [NM_001629]	ALOX5AP
148	0.0000001	0.0000122	1340.61921	809.729816	580.4260514	A_23_P251881	Homo sapiens natural cytotoxicity triggering receptor 3 (NCR3), mRNA [NM_147130]	NCR3
149	0.0000001	0.0000122	131.6794183	62.4692074	41.5064506	A_32_P57810	Homo sapiens ring finger protein 157 (RNF157), mRNA [NM_052916]	RNF157
150	0.0000001	0.0000122	7011.993855	4882.854043	3502.237492	A_23_P13604	Homo sapiens phosphatidylethanolamine binding protein 1 (PEBP1), mRNA [NM_002567]	PEBP1
151	0.0000001	0.0000122	1684.602965	2555.3901	2923.404151	A_24_P188377	Homo sapiens CD55 molecule, decay accelerating factor for complement (Cromer blood group) (CD55), mRNA [NM_000574]	CD55
152	0.0000001	0.0000122	814.5828535	573.3515533	318.2504593	A_24_P931443	Homo sapiens G protein-coupled receptor 68 (GPR68), mRNA [NM_003485]	GPR68
