miRNA	Case vs LITA p-value	Case vs LITA FC	Carotis vs. LITA p-value	Carotis vs. LITA FC	Aorta vs. LITA p-value	Aorta vs. LITA FC	Femoralis vs. LITA p-value	Femoralis vs. LITA FC
hsa-miR-106b	0.592	-1.11	0.043	-1.66	0.694	1.1	0.696	1.1
hsa-miR-106b	0.745	-1.03	0.88	-1.02	0.779	-1.04	0.751	-1.04
hsa-miR-107	0.454	1.22	0.748	-1.14	0.376	1.41	0.307	1.49
hsa-miR-10a	0.596	-1.35	0.004	-6.36	0.139	2.32	0.845	1.11
hsa-miR-10a	0.304	-1.17	NA	NA	0.33	1.16	0.7	-1.05
hsa-miR-10b	0.827	-1.2	<0.001	-16.38	0.017	4.3	0.15	2.21
hsa-miR-10b	0.123	-1.36	<0.001	-2.38	0.433	1.11	0.228	-1.16
hsa-miR-1180	0.888	-1.01	0.835	-1.03	0.954	1.01	0.866	-1.02
hsa-miR-1181	0.002	-2.23	<0.001	-2.91	0.101	-1.7	0.004	-2.25
hsa-miR-1182	0.864	-1.04	0.036	-1.42	0.753	1.1	0.618	1.14
hsa-miR-1183	0.098	1.64	0.453	1.17	0.119	1.8	0.036	2.09
hsa-miR-1201	0.898	1.01	0.22	-1.13	0.873	1.03	0.112	1.15
hsa-miR-1202	0.005	1.97	0.033	2	0.054	1.76	0.023	2.17
hsa-miR-1207-3p	0.018	-1.3	0.046	-1.39	0.134	-1.24	0.056	-1.28
hsa-miR-1207-5p	0.098	1.67	0.272	1.36	0.229	1.62	0.045	2.13
hsa-miR-1208	0.475	1.1	0.981	-1	0.369	1.19	0.418	1.13
hsa-miR-1224-5p	0.462	1.18	0.664	-1.09	0.333	1.32	0.212	1.36
hsa-miR-1225-3p	0.709	1.04	0.403	-1.1	0.688	1.06	0.215	1.16
hsa-miR-1225-5p	0.189	1.42	0.92	1.02	0.143	1.57	0.086	1.78
hsa-miR-1226	0.594	1.14	0.276	-1.22	0.477	1.24	0.171	1.44
hsa-miR-1227	0.463	-1.05	0.331	-1.1	0.617	-1.05	0.935	1.01
hsa-miR-1228	0.166	1.18	0.484	1.08	0.25	1.19	0.092	1.28
hsa-miR-1228	0.808	-1.03	0.323	-1.12	0.924	1.02	0.863	1.02
hsa-miR-1229	<0.001	-1.59	<0.001	-1.86	0.032	-1.36	<0.001	-1.58
hsa-miR-1234	0.306	1.1	0.843	-1.02	0.289	1.14	0.1	1.21
hsa-miR-1236	0.465	-1.05	0.398	-1.1	0.661	-1.05	0.881	-1.01
hsa-miR-1237	0.315	1.1	0.958	1.01	0.469	1.09	0.089	1.2
hsa-miR-1238	0.271	1.08	0.974	-1	0.369	1.09	0.104	1.16
hsa-miR-1246	0.111	2.21	0.357	-1.32	0.023	3.52	0.002	4.01
hsa-miR-1249	0.115	1.28	0.23	1.19	0.187	1.28	0.092	1.39
hsa-miR-1254	0.037	-1.51	NA	NA	0.554	-1.17	0.013	-1.48
hsa-miR-125a-3p	0.093	2.28	0.366	1.41	0.245	2.22	0.023	3.82
hsa-miR-125a-5p	0.489	1.18	0.798	1.1	0.545	1.22	0.581	1.21
hsa-miR-125b	0.611	1.14	0.493	1.32	0.717	1.14	0.99	-1
hsa-miR-125b-1	0.205	1.54	0.86	-1.04	0.289	1.61	0.026	2.36
hsa-miR-125b-2	0.238	-1.22	0.002	-1.51	0.377	-1.2	0.958	1.01
hsa-miR-126	0.742	-1.18	0.008	-4.22	0.508	1.39	0.187	1.86
hsa-miR-126	0.621	-1.19	0.003	-3.03	0.574	1.22	0.227	1.46
hsa-miR-1260	0.901	-1.03	0.189	-1.39	0.439	1.24	0.87	1.04
hsa-miR-1267	0.637	-1.03	0.607	-1.05	0.353	-1.08	0.569	1.05
hsa-miR-1268	0.341	1.26	0.696	-1.08	0.186	1.46	0.168	1.48
hsa-miR-1271	0.844	1.02	0.431	-1.15	0.553	1.1	0.447	1.12
hsa-miR-127-3p	0.08	1.59	0.004	2.23	0.563	1.15	0.114	1.56
hsa-miR-1274a	0.013	1.53	0.199	1.25	0.002	2.07	0.065	1.37
hsa-miR-1274b	0.013	1.58	0.132	1.34	0.004	2.1	0.083	1.39
hsa-miR-1275	0.439	-1.24	0.008	-1.65	0.862	-1.06	0.797	-1.08
hsa-miR-128	0.025	1.63	0.323	1.38	0.029	1.91	0.065	1.65
hsa-miR-1280	0.082	1.18	0.691	1.05	0.045	1.3	0.119	1.21
hsa-miR-1281	0.69	1.02	0.832	-1.02	0.672	1.03	0.572	1.04
hsa-miR-1285	0.311	1.13	0.609	-1.06	0.273	1.2	0.042	1.29
hsa-miR-1287	0.257	1.11	0.748	1.04	0.038	1.27	0.689	1.04
hsa-miR-1288	0.563	-1.1	0.066	-1.35	0.893	-1.03	0.805	1.04
hsa-miR-129	0.207	-1.11	0.36	-1.11	0.147	-1.17	0.772	-1.03
hsa-miR-1290	0.019	2.64	0.623	1.11	0.005	3.77	<0.001	4.42
hsa-miR-1291	0.352	1.11	0.566	1.08	0.602	1.09	0.315	1.17
hsa-miR-129-3p	0.068	-1.28	0.121	-1.38	0.238	-1.27	0.395	-1.18
hsa-miR-1295	0.221	-1.19	0.006	-1.45	0.77	-1.05	0.517	-1.11
hsa-miR-129-5p	0.184	-1.11	0.296	-1.13	0.23	-1.16	0.689	-1.05
hsa-miR-1299	0.984	1	0.084	-1.25	0.839	1.05	0.294	1.2
hsa-miR-1300	0.466	1.14	0.731	1.07	0.429	1.2	0.538	1.15
hsa-miR-1301	0.716	-1.03	NA	NA	0.833	1.02	0.695	1.04
hsa-miR-1305	0.657	-1.08	0.093	-1.33	0.962	-1.01	0.601	1.08
hsa-miR-1306	0.072	-1.2	0.146	-1.24	0.357	-1.14	0.11	-1.23
hsa-miR-1307	0.24	1.15	0.939	1.01	0.265	1.18	0.093	1.26
hsa-miR-1308	<0.001	3	0.011	2	<0.001	3.71	<0.001	3.65
hsa-miR-130a	0.567	1.13	0.338	1.37	0.574	1.18	0.715	-1.11
hsa-miR-130b	0.046	1.4	0.852	1.03	0.033	1.48	<0.001	1.78
hsa-miR-132	0.044	1.59	0.872	-1.04	0.006	2.05	0.015	2.02
hsa-miR-132	0.142	1.2	0.603	-1.07	0.031	1.36	0.076	1.34
hsa-miR-1321	0.165	-1.25	0.408	-1.21	0.418	-1.21	0.192	-1.34
hsa-miR-1323	0.917	1.01	0.439	-1.09	0.952	1.01	0.409	1.12
hsa-miR-133a	0.012	-1.76	0.158	-1.43	0.025	-2.06	0.03	-1.86
hsa-miR-133b	0.039	-1.91	0.327	-1.39	0.042	-2.4	0.058	-2.11
hsa-miR-134	0.233	1.45	0.996	-1	0.301	1.5	0.044	2.04
hsa-miR-135a	0.004	-2.43	<0.001	-3.72	0.128	-1.71	0.008	-2.26
hsa-miR-136	0.667	1.07	0.039	1.43	0.463	-1.13	0.823	-1.04
hsa-miR-138-2	0.818	1.03	0.798	-1.04	0.471	1.12	0.978	1
hsa-miR-139-3p	0.172	-1.2	0.017	-1.38	0.444	-1.16	0.586	-1.08
hsa-miR-139-5p	0.005	-2.18	<0.001	-3.67	0.022	-1.83	0.168	-1.55
hsa-miR-140-3p	0.683	-1.12	0.03	1.79	0.07	-1.56	0.058	-1.62
hsa-miR-140-5p	0.353	1.34	0.058	2.17	0.839	1.08	0.937	1.03
hsa-miR-142-3p	0.101	1.92	0.396	-1.37	0.004	3.32	0.007	2.9
hsa-miR-142-5p	0.54	1.19	0.071	-1.71	0.012	1.9	0.095	1.54
hsa-miR-143	0.166	-1.59	0.316	-1.49	0.283	-1.69	0.24	-1.59
hsa-miR-143	0.005	-1.93	0.01	-1.54	0.011	-2.36	0.002	-1.96
hsa-miR-144	0.035	-1.88	0.003	-3.05	0.623	-1.18	0.045	-1.85
hsa-miR-144	0.544	1.31	0.201	-1.99	0.206	2.02	0.136	2.19
hsa-miR-145	0.016	-2.11	0.191	-1.41	0.014	-2.54	0.01	-2.63
hsa-miR-145	0.679	-1.12	0.873	-1.06	0.628	-1.22	0.762	-1.09
hsa-miR-1469	0.042	-1.36	0.001	-1.71	0.237	-1.24	0.273	-1.2
hsa-miR-146a	<0.001	4.15	0.07	1.76	<0.001	5.79	<0.001	6.98
hsa-miR-146b-5p	0.001	5.14	0.269	1.73	<0.001	9.85	<0.001	7.96
hsa-miR-1470	0.669	-1.03	0.554	-1.06	0.549	-1.06	0.728	1.03
hsa-miR-1471	0.039	-1.85	<0.001	-3.11	0.324	-1.36	0.148	-1.49
hsa-miR-148a	0.289	1.49	0.357	-1.52	0.023	2.82	0.16	1.8
hsa-miR-148b	0.036	1.42	0.6	1.12	0.042	1.59	0.039	1.59
hsa-miR-149	0.648	-1.06	0.866	-1.03	0.425	-1.12	0.911	-1.02
hsa-miR-149	0.524	1.1	0.943	-1.01	0.539	1.14	0.282	1.2
hsa-miR-150	0.28	1.71	0.166	-1.92	0.021	3.2	0.008	3
hsa-miR-150	0.091	1.54	0.508	1.15	0.068	1.82	0.061	1.76
hsa-miR-151-3p	0.486	-1.08	0.749	-1.05	0.459	-1.11	0.475	-1.09
hsa-miR-151-5p	0.218	1.4	0.79	1.12	0.241	1.6	0.276	1.54
hsa-miR-152	0.072	1.41	0.274	1.33	0.109	1.44	0.154	1.47
hsa-miR-1539	0.444	1.04	0.811	-1.02	0.6	1.04	0.196	1.1
hsa-miR-154	0.229	1.22	0.177	1.32	0.621	1.09	0.173	1.27
hsa-miR-155	<0.001	3.01	0.043	2.01	<0.001	4.18	<0.001	3.25
hsa-miR-15a	0.134	1.63	0.949	-1.03	0.106	2.16	0.123	2.08
hsa-miR-15a	0.87	-1.01	NA	NA	0.723	1.03	0.36	1.07
hsa-miR-15b	0.719	1.13	0.241	-1.66	0.429	1.43	0.241	1.66
hsa-miR-15b	0.83	-1.02	0.245	-1.13	0.884	-1.02	0.333	1.1
hsa-miR-16	0.337	1.48	0.583	-1.37	0.224	2.05	0.182	2.18
hsa-miR-16-2	0.979	1	0.176	-1.26	0.661	1.08	0.276	1.18
hsa-miR-17	0.669	-1.11	0.169	-1.62	0.806	1.08	0.76	1.1
hsa-miR-17	0.034	-1.26	0.146	-1.25	0.137	-1.22	0.029	-1.32
hsa-miR-181a	0.161	1.28	0.875	1.04	0.087	1.44	0.093	1.4
hsa-miR-181a	0.005	1.51	0.297	1.12	0.004	1.68	<0.001	1.82
hsa-miR-181a-2	0.533	-1.09	0.928	-1.02	0.507	-1.12	0.568	-1.13
hsa-miR-181b	0.188	1.17	0.951	-1.01	0.058	1.35	0.192	1.2
hsa-miR-181c	0.058	1.39	0.018	1.76	0.13	1.34	0.52	1.13
hsa-miR-181c	0.17	1.19	0.039	1.42	0.463	1.11	0.596	1.07
hsa-miR-181d	0.494	1.09	0.18	1.26	0.537	1.1	0.605	-1.07
hsa-miR-182	0.25	-1.28	0.018	-1.89	0.881	-1.04	0.83	-1.06
hsa-miR-1825	0.346	-1.05	0.409	-1.08	0.4	-1.07	0.871	-1.01
hsa-miR-1826	0.666	-1.09	0.252	-1.24	0.612	-1.16	0.611	1.11
hsa-miR-183	0.339	-1.2	NA	NA	0.901	1.03	0.954	-1.01
hsa-miR-183	0.401	-1.12	NA	NA	0.835	-1.03	0.973	1
hsa-miR-184	0.5	1.08	0.952	1.01	0.832	1.03	0.12	1.21
hsa-miR-185	0.83	-1.06	0.014	-2.01	0.669	1.12	0.107	1.52
hsa-miR-186	0.884	1.02	0.63	-1.08	0.458	1.12	0.97	1
hsa-miR-187	0.222	1.35	0.633	-1.09	0.224	1.46	0.023	1.85
hsa-miR-188-5p	0.562	-1.17	0.103	-1.54	0.89	-1.05	0.952	1.02
hsa-miR-18a	0.799	-1.05	0.099	-1.58	0.615	1.13	0.473	1.19
hsa-miR-18b	0.196	-1.22	0.012	-1.69	0.674	-1.08	0.98	-1
hsa-miR-18b	0.599	1.05	0.874	1.02	0.95	-1.01	0.237	1.14
hsa-miR-190	0.88	1.02	NA	NA	0.387	1.17	NA	NA
hsa-miR-1909	0.873	-1.01	0.818	-1.03	0.752	-1.04	0.843	1.02
hsa-miR-191	0.769	1.03	0.577	-1.09	0.713	1.05	0.338	1.13
hsa-miR-191	0.294	1.06	0.96	-1	0.507	1.06	0.093	1.14
hsa-miR-1914	0.923	-1.02	0.068	-1.41	0.71	1.1	0.39	1.21
hsa-miR-1915	0.063	1.53	0.187	1.36	0.159	1.47	0.034	1.8
hsa-miR-192	0.459	1.16	0.47	-1.22	0.309	1.3	0.153	1.48
hsa-miR-193a-3p	0.093	1.37	0.002	1.87	0.218	1.32	0.825	1.04
hsa-miR-193a-5p	0.902	-1.02	0.553	1.12	0.947	1.01	0.301	-1.2
hsa-miR-193b	0.064	-1.47	0.188	-1.46	0.186	-1.47	0.126	-1.48
hsa-miR-193b	0.004	-1.4	0.023	-1.37	0.088	-1.36	0.003	-1.48
hsa-miR-194	0.979	1	0.234	-1.28	0.431	1.17	0.628	1.11
hsa-miR-194	0.068	-1.17	0.176	-1.18	0.278	-1.15	0.144	-1.17
hsa-miR-195	0.061	1.82	0.306	1.67	0.163	1.97	0.196	1.83
hsa-miR-195	0.853	-1.02	0.373	1.11	0.313	-1.13	0.752	-1.03
hsa-miR-196a	0.056	3.4	NA	NA	<0.001	8.96	<0.001	10.02
hsa-miR-196b	0.618	1.25	NA	NA	0.002	2.72	<0.001	2.49
hsa-miR-197	0.554	1.05	0.565	-1.07	0.503	1.07	0.126	1.15
hsa-miR-198	0.379	1.32	0.34	-1.19	0.328	1.54	0.037	1.8
hsa-miR-199a-3p	0.01	2.42	0.24	1.81	0.032	2.91	0.037	2.7
hsa-miR-199a-5p	0.018	1.62	0.111	1.64	0.06	1.71	0.106	1.52
hsa-miR-199b-5p	0.28	-1.85	0.003	-5.68	0.597	-1.42	0.634	1.27
hsa-miR-19a	0.841	1.04	0.297	-1.32	0.087	1.43	0.859	1.04
hsa-miR-19b	0.848	-1.04	0.285	-1.32	0.354	1.21	0.915	-1.02
hsa-miR-19b-1	0.18	-1.11	0.174	-1.19	0.436	-1.06	0.392	-1.07
hsa-miR-200a	0.259	1.15	0.528	1.1	0.681	1.08	0.072	1.29
hsa-miR-200b	0.194	1.15	0.246	1.18	0.549	1.1	0.187	1.18
hsa-miR-202	0.036	1.75	0.033	2.23	0.372	1.41	0.105	1.7
hsa-miR-204	0.437	1.3	0.628	1.29	0.444	1.43	0.719	1.18
hsa-miR-205	0.502	-1.15	0.478	-1.25	0.826	-1.07	0.722	-1.12
hsa-miR-20a	0.734	1.11	0.342	-1.53	0.38	1.46	0.394	1.45
hsa-miR-20a	0.875	1.03	0.776	-1.07	0.622	1.11	0.834	1.04
hsa-miR-20b	0.914	1.03	0.211	-1.7	0.452	1.36	0.427	1.38
hsa-miR-21	<0.001	8.18	<0.001	4.69	<0.001	10.95	<0.001	10.67
hsa-miR-21	<0.001	4.82	<0.001	4.04	<0.001	5.72	<0.001	4.85
hsa-miR-210	<0.001	5.01	<0.001	4.13	<0.001	5.97	<0.001	5.11
hsa-miR-212	0.01	1.37	0.13	1.25	0.038	1.38	0.004	1.49
hsa-miR-214	0.058	1.41	0.073	1.64	0.203	1.37	0.335	1.24
hsa-miR-214	0.006	1.66	0.111	1.54	0.036	1.73	0.028	1.71
hsa-miR-215	0.331	1.19	0.519	-1.16	0.206	1.32	0.097	1.48
hsa-miR-216a	0.007	1.79	0.001	1.83	0.031	1.53	0.017	2.03
hsa-miR-218	0.453	1.19	0.573	-1.2	0.162	1.54	0.328	1.34
hsa-miR-22	0.681	1.05	0.606	1.09	0.946	1.01	0.731	1.05
hsa-miR-22	0.056	1.4	0.768	1.07	0.042	1.54	0.034	1.66
hsa-miR-221	<0.001	2.09	0.051	1.68	0.005	2.27	0.002	2.39
hsa-miR-221	0.077	1.4	0.949	-1.02	0.038	1.67	0.037	1.67
hsa-miR-222	0.124	1.17	0.094	1.25	0.362	1.13	0.162	1.14
hsa-miR-223	0.088	2.52	0.469	-1.44	0.016	4.5	0.01	5.14
hsa-miR-224	0.292	-1.39	0.057	-2.4	0.866	-1.07	0.94	-1.03
hsa-miR-23a	0.113	1.48	0.279	1.52	0.307	1.38	0.21	1.52
hsa-miR-23a	0.397	1.15	0.881	-1.02	0.345	1.25	0.253	1.24
hsa-miR-23b	0.963	1.01	0.522	1.29	0.841	-1.08	0.713	-1.15
hsa-miR-23b	0.996	-1	0.647	1.09	0.507	-1.11	0.961	1.01
hsa-miR-24	0.243	1.25	0.136	1.5	0.642	1.11	0.533	1.16
hsa-miR-24-1	0.841	1.04	0.465	1.21	0.971	-1.01	0.816	-1.06
hsa-miR-25	0.835	-1.06	0.053	-1.99	0.6	1.2	0.337	1.39
hsa-miR-26a	0.878	1.03	0.614	1.13	0.709	1.1	0.572	-1.14
hsa-miR-26b	0.098	1.91	0.717	1.23	0.092	2.57	0.126	2.21
hsa-miR-26b	0.935	1.01	0.589	-1.08	0.741	1.04	0.593	1.06
hsa-miR-27a	0.012	1.62	0.053	1.75	0.172	1.43	0.054	1.69
hsa-miR-27b	0.211	1.38	0.191	1.62	0.543	1.25	0.422	1.31
hsa-miR-27b	0.186	-1.18	0.565	1.07	0.009	-1.44	0.133	-1.24
hsa-miR-28-3p	0.555	-1.05	0.699	-1.04	0.161	-1.17	0.617	1.05
hsa-miR-28-5p	0.233	1.41	0.814	1.1	0.251	1.61	0.235	1.57
hsa-miR-296-5p	0.19	1.18	0.571	1.08	0.263	1.19	0.11	1.29
hsa-miR-298	0.004	-1.45	<0.001	-1.69	0.132	-1.31	0.009	-1.38
hsa-miR-299-5p	0.174	1.28	0.3	1.29	0.456	1.12	0.051	1.45
hsa-miR-29a	0.241	1.23	0.746	1.09	0.157	1.41	0.404	1.22
hsa-miR-29a	0.463	-1.04	0.851	-1.01	0.753	-1.03	0.297	-1.08
hsa-miR-29b	0.016	1.6	0.044	1.71	0.054	1.75	0.214	1.37
hsa-miR-29b-1	0.176	1.19	0.904	1.02	0.2	1.24	0.085	1.34
hsa-miR-29b-2	0.323	-1.11	0.724	-1.06	0.252	-1.17	0.366	-1.11
hsa-miR-29c	0.295	1.19	0.236	1.33	0.282	1.27	0.966	1.01
hsa-miR-29c	0.986	1	0.193	1.3	0.787	-1.06	0.194	-1.22
hsa-miR-301a	0.744	1.05	0.643	-1.1	0.279	1.22	0.807	1.04
hsa-miR-30a	0.016	-1.69	0.477	-1.15	0.004	-2.1	<0.001	-2
hsa-miR-30a	0.088	-1.46	0.638	-1.14	0.108	-1.63	0.08	-1.65
hsa-miR-30b	0.432	1.28	0.966	1.02	0.34	1.57	0.556	1.3
hsa-miR-30b	0.436	-1.08	0.367	-1.13	0.671	-1.06	0.695	-1.05
hsa-miR-30c	0.984	1.01	0.759	-1.13	0.765	1.13	0.955	1.02
hsa-miR-30c-1	0.621	-1.05	0.115	-1.2	0.871	1.02	0.987	1
hsa-miR-30c-2	0.593	-1.07	0.606	-1.08	0.759	-1.06	0.694	-1.06
hsa-miR-30d	0.063	-1.32	0.563	-1.12	0.066	-1.45	0.058	-1.4
hsa-miR-30d	0.171	-1.07	0.365	-1.07	0.277	-1.08	NA	NA
hsa-miR-30e	0.364	1.11	0.978	-1	0.147	1.25	0.448	1.11
hsa-miR-30e	0.656	1.08	0.945	-1.02	0.562	1.18	0.713	1.1
hsa-miR-32	0.729	-1.04	0.013	-1.36	0.301	1.14	0.644	1.06
hsa-miR-320a	0.815	-1.03	0.388	1.14	0.394	-1.16	0.578	-1.08
hsa-miR-320b	0.845	1.03	0.536	1.17	0.76	-1.07	0.968	1.01
hsa-miR-320c	0.875	1.05	0.055	-1.48	0.517	1.31	0.323	1.31
hsa-miR-320d	0.84	1.04	0.637	1.14	0.814	-1.05	0.891	1.03
hsa-miR-324-3p	0.457	1.1	0.956	-1.01	0.534	1.13	0.273	1.19
hsa-miR-324-5p	0.422	1.17	0.804	1.08	0.609	1.16	0.411	1.28
hsa-miR-326	0.476	1.08	0.373	-1.11	0.376	1.13	0.043	1.23
hsa-miR-328	0.17	-1.14	0.571	-1.08	0.245	-1.18	0.194	-1.17
hsa-miR-330-3p	0.563	1.07	0.857	-1.03	0.665	1.08	0.236	1.18
hsa-miR-331-3p	0.378	1.24	0.6	1.22	0.415	1.34	0.667	1.16
hsa-miR-335	0.051	-1.84	NA	NA	0.573	-1.19	0.403	-1.3
hsa-miR-335	0.001	-1.65	NA	NA	0.036	-1.52	0.077	-1.42
hsa-miR-337-3p	0.172	1.25	0.401	1.21	0.254	1.14	0.038	1.41
hsa-miR-337-5p	0.026	1.46	0.005	1.72	0.199	1.2	0.044	1.5
hsa-miR-338-3p	0.428	1.25	0.193	-1.53	0.078	1.77	0.104	1.68
hsa-miR-338-5p	0.051	-1.26	0.001	-1.48	0.369	-1.16	0.167	-1.17
hsa-miR-339-3p	0.147	-1.14	0.042	-1.27	0.403	-1.12	0.61	-1.05
hsa-miR-339-5p	0.153	-1.12	0.159	-1.2	0.395	-1.11	0.56	-1.07
hsa-miR-33a	0.02	-1.3	0.063	-1.3	0.291	-1.17	NA	NA
hsa-miR-33b	0.184	1.12	0.515	1.07	0.373	1.13	0.172	1.16
hsa-miR-340	0.014	1.66	0.536	1.11	<0.001	2.02	0.005	2.04
hsa-miR-340	0.067	1.42	0.99	1	0.062	1.57	0.012	1.82
hsa-miR-342-3p	0.003	1.84	0.079	1.51	0.03	1.93	0.008	2.14
hsa-miR-342-5p	0.01	1.59	0.344	1.19	0.025	1.81	0.003	1.88
hsa-miR-345	0.002	-1.69	<0.001	-2.08	0.141	-1.38	0.004	-1.69
hsa-miR-34a	<0.001	4.32	<0.001	3.9	<0.001	4.42	<0.001	4.69
hsa-miR-34a	<0.001	2.22	<0.001	2.17	<0.001	2.2	<0.001	2.3
hsa-miR-34b	<0.001	3.8	<0.001	3.29	<0.001	4.07	<0.001	4.08
hsa-miR-34c-3p	0.568	-1.06	0.165	-1.2	0.78	-1.04	0.694	1.04
hsa-miR-361-3p	0.295	1.21	0.706	-1.1	0.094	1.49	0.263	1.29
hsa-miR-361-5p	0.825	1.04	0.98	1.01	0.746	1.09	0.899	1.03
hsa-miR-362-3p	0.054	1.42	0.864	-1.03	0.002	1.69	0.01	1.74
hsa-miR-362-5p	0.643	1.07	0.385	-1.21	0.314	1.21	0.252	1.24
hsa-miR-363	0.818	1.09	0.213	-1.9	0.37	1.57	0.344	1.58
hsa-miR-365	0.632	1.17	0.936	1.04	0.555	1.32	0.75	1.16
hsa-miR-370	0.075	-1.47	0.004	-1.8	0.231	-1.44	0.289	-1.24
hsa-miR-371-5p	0.161	1.33	0.605	1.09	0.156	1.48	0.084	1.44
hsa-miR-373	0.638	1.06	0.273	-1.15	0.453	1.14	0.189	1.21
hsa-miR-374a	0.062	1.63	0.724	1.14	0.059	2.01	0.073	1.88
hsa-miR-374b	0.326	1.31	0.991	1	0.287	1.51	0.306	1.49
hsa-miR-376a	0.049	1.48	0.006	1.75	0.332	1.24	0.049	1.51
hsa-miR-376c	0.051	1.56	0.002	1.99	0.391	1.2	0.071	1.58
hsa-miR-377	0.033	1.4	0.035	1.58	0.051	1.28	0.054	1.35
hsa-miR-378	0.11	-1.65	<0.001	-3.12	0.289	-1.42	0.988	-1
hsa-miR-378	0.185	-1.28	NA	NA	0.517	-1.14	0.713	1.06
hsa-miR-379	0.241	1.2	0.077	1.34	0.958	-1.01	0.163	1.29
hsa-miR-381	0.324	1.21	0.018	1.56	0.622	-1.09	0.257	1.24
hsa-miR-382	0.14	1.28	0.125	1.34	0.425	1.13	0.133	1.38
hsa-miR-409-3p	0.01	1.57	0.01	1.66	0.086	1.31	0.011	1.78
hsa-miR-421	0.382	1.11	0.902	-1.02	0.69	1.06	0.066	1.31
hsa-miR-422a	0.933	-1.02	0.058	-1.38	0.696	1.12	0.469	1.17
hsa-miR-423-3p	0.436	-1.06	0.336	-1.11	0.898	-1.01	0.587	-1.05
hsa-miR-423-5p	0.712	-1.07	0.053	-1.37	0.857	1.05	0.788	1.05
hsa-miR-424	0.026	2.38	0.872	-1.06	<0.001	4.1	0.001	3.46
hsa-miR-424	0.192	-1.3	0.014	-1.77	0.189	-1.24	0.992	-1
hsa-miR-425	0.586	1.16	0.278	-1.46	0.35	1.41	0.166	1.62
hsa-miR-425	0.922	1.01	0.494	-1.06	0.973	-1	0.288	1.08
hsa-miR-431	0.371	-1.08	0.944	1.01	NA	NA	NA	NA
hsa-miR-432	0.059	1.31	0.147	1.3	0.252	1.19	0.019	1.47
hsa-miR-450a	0.079	1.25	NA	NA	0.02	1.39	0.003	1.52
hsa-miR-451	0.384	1.55	0.383	-1.77	0.185	2.4	0.122	2.76
hsa-miR-452	0.002	-1.59	0.005	-1.88	0.134	-1.36	0.024	-1.57
