# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|5243|5243	hgnc_symbol|ABCB1|ABCB1
entrezgene|81706|81706	hgnc_symbol|PPP1R14C|PPP1R14C
entrezgene|58510|58510	hgnc_symbol|PRODH2|PRODH2
entrezgene|84249|84249	hgnc_symbol|PSD2|PSD2
entrezgene|115827|115827	hgnc_symbol|RAB3C|RAB3C
entrezgene|284654|284654	hgnc_symbol|RSPO1|RSPO1
entrezgene|148398|148398	hgnc_symbol|SAMD11|SAMD11
entrezgene|9805|9805	hgnc_symbol|SCRN1|SCRN1
entrezgene|10110|10110	hgnc_symbol|SGK2|SGK2
entrezgene|6563|6563	hgnc_symbol|SLC14A1|SLC14A1
entrezgene|5172|5172	hgnc_symbol|SLC26A4|SLC26A4
entrezgene|11001|11001	hgnc_symbol|SLC27A2|SLC27A2
entrezgene|219855|219855	hgnc_symbol|SLC37A2|SLC37A2
entrezgene|6519|6519	hgnc_symbol|SLC3A1|SLC3A1
entrezgene|6520|6520	hgnc_symbol|SLC3A2|SLC3A2
entrezgene|115584|115584	hgnc_symbol|SLC5A11|SLC5A11
entrezgene|23657|23657	hgnc_symbol|SLC7A11|SLC7A11
entrezgene|6578|6578	hgnc_symbol|SLCO2A1|SLCO2A1
entrezgene|6696|6696	hgnc_symbol|SPP1|SPP1
entrezgene|342667|342667	hgnc_symbol|STAC2|STAC2
entrezgene|8614|8614	hgnc_symbol|STC2|STC2
entrezgene|55359|55359	hgnc_symbol|STYK1|STYK1
entrezgene|6783|6783	hgnc_symbol|SULT1E1|SULT1E1
entrezgene|90019|90019	hgnc_symbol|SYT8|SYT8
entrezgene|389932|389932	hgnc_symbol|tAKR|tAKR
entrezgene|79816|79816	hgnc_symbol|TLE6|TLE6
entrezgene|8600|8600	hgnc_symbol|TNFSF11|TNFSF11
entrezgene|7136|7136	hgnc_symbol|TNNI2|TNNI2
entrezgene|11074|11074	hgnc_symbol|TRIM31|TRIM31
entrezgene|114088|114088	hgnc_symbol|TRIM9|TRIM9
entrezgene|79054|79054	hgnc_symbol|TRPM8|TRPM8
entrezgene|25987|25987	hgnc_symbol|TSKU|TSKU
entrezgene|219699|219699	hgnc_symbol|UNC5B|UNC5B
entrezgene|7378|7378	hgnc_symbol|UPP1|UPP1
entrezgene|257313|257313	hgnc_symbol|UTS2D|UTS2D
entrezgene|7429|7429	hgnc_symbol|VIL1|VIL1
entrezgene|8565|8565	hgnc_symbol|YARS|YARS
entrezgene|79413|79413	hgnc_symbol|ZBED2|ZBED2
entrezgene|84215|84215	hgnc_symbol|ZNF541|ZNF541
