Type	Genes down-regulated by <2folds
Transcription	HBZ
Transcription	HMGA1
Transcription	ID3
Transcription	IRAK1
Transcription	ITGB1
Transcription	LOC339344
Transcription	MAPKAPK2
Transcription	MAZ
Transcription	MLXIP
Transcription	MYBBP1A
Transcription	NR2F2
Transcription	NR2F6
Transcription	PA2G4
Transcription	PAK2
Transcription	PATZ1
Transcription	PBX2
Transcription	PHF12
Transcription	PITX1
Transcription	POLR2A
Transcription	PRDM2
Transcription	PRKACA
Transcription	RBM14
Transcription	SLC2A4RG
Transcription	SMARCA4
Transcription	SORBS3
Transcription	SOS1
Transcription	SPEN
Transcription	SRCAP
Transcription	SRF
Transcription	TCF3
Transcription	TRRAP
Transcription	UBTF
Transcription	YY1
Transcription	ZNF326
