Specific function 	Biological process 	Description 	Entrez gene ID	Gene symbol 	SV40  	TAg	N136 	3213	D44N 	
Not Classified	Interferon-induced 	Interferon gamma inducible protein 47 	15953	Ifi47 	9	4.2	0.9	0.9	1.9	 
Helicase 	Interferon-induced 	Interferon-induced with helicase C domain 1 	71586	Ifih1 	22.6	8.9	3	0.6	4.7	 
Helicase 	Interferon type I biosynthetic process 	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 	230073	Ddx58/RIG-I 	5.5	4.2	1.2	0.9	1.6	 
Catalytic activity 	Virus response 	Radical S-adenosyl methionine domain containing 2 	58185	Rsad2 	37.9	12.4	1.5	1.2	6.7	 
GTPase 	Interferon-induced 	Myxovirus (influenza virus) resistance 1 	17857	Mx1 	11.4	4.1	1.1	0.9	1.8	 
GTPase 	Interferon-induced 	Myxovirus (influenza virus) resistance 2 	17858	Mx2 	8	3.2	0.9	1	2.5	 
GTPase 	Interferon-induced 	"GTPase, very large interferon inducible 1 "	74558	Gvin1 	3.4	2.5	1.7	0.5	1.1	 
GTPase 	Interferon-induced 	Interferon inducible GTPase 1 	60440	Iigp1 	23.2	6.8	0.3	0.3	2.8	 
GTPase 	Interferon-induced 	Interferon inducible GTPase 2 	54396	Iigp2 	10.1	8.5	1	0.6	4.4	 
GTPase 	Interferon-induced 	Interferon gamma induced GTPase 	16145	Igtp 	15	8.1	1.7	0.8	4	 
Protein kinase 	Interferon-induced 	Eukaryotic translation initiation factor 2-alpha kinase 2 	19106	Eif2ak2/PKR 	3.1	2.3	1.1	0.9	2	 
Ubiquitin like/protein binding 	Interferon-induced 	"Interferon, alpha-inducible protein "	100038882	Isg15 	33.2	9.8	1.7	0.4	4.1	 
Exonuclease 	Interferon-induced 	Interferon-stimulated protein 	57444	Isg20 	3.8	1.9	1.1	1.6	1.8	 
Adenosine deaminase 	Interferon-induced 	"Adenosine deaminase, RNA-specific "	56417	Adar 	5.2	5	1.8	0.9	2.5	 
Receptor 	Response to microbial infections 	Toll-like receptor 3 	142980	Tlr3 	3.4	3.9	1.8	1.1	2.6	 
Receptor 	Cell adhesion 	"Lectin, galactose binding, soluble 9 "	16859	Lgals9 	3.5	3.9	0.9	1.1	2.4	 
Receptor 	Cell proliferation 	CD274 antigen 	60533	Cd274 	2.4	2.6	1.3	1.3	1.2	 
Receptor 	Interferon-induced 	RIKEN cDNA 5830458K16 gene 	67775	Rtp4 	28.3	7.4	1.6	0.4	4.3	 
Endopeptidase 	Antigen presentation 	"Proteosome (prosome and macropain) subunit, beta type 8 (large multifunctional peptidase 7) "	16913	Psmb8 	10.6	5.5	1.5	0.4	2.6	 
Endopeptidase 	Antigen presentation 	"Proteosome (prosome and macropain) subunit, beta type 9 (large multifunctional peptidase 2) "	16912	Psmb9 	4.1	6.3	3.6	0.6	2.4	 
MHC class II presentation 	Antigen presentation 	Ia-associated invariant chain 	16149	Cd74 	1.1	2.1	0.8	1.9	1.4	 
MHC class I presentation 	Antigen presentation 	"Histocompatibility 2, K1, K region "	14972	H2-K1 	6.1	4.5	2	1.6	3.4	 
MHC class I presentation 	Antigen presentation 	"Histocompatibility 2, D region locus 1 "	14964	H2-D1 	3.5	4.2	3	1.5	2.5	 
MHC class I presentation 	Antigen presentation 	"Histocompatibility 2, K1, K region "	100044874	LOC100044874 	6.9	5.2	2	1.8	3.9	 
MHC class I presentation 	Antigen presentation 	"Histocompatibility 2, T region locus 23 "	15040	H2-T23 	5.1	3.6	3	0.9	2	 
MHC class I presentation 	Antigen presentation 	"Histocompatibility 2, D region locus 1 "	14980	H2-L 	2.4	2.2	1.6	0.9	1.5	 
GTP binding 	Interferon-induced 	Guanylate nucleotide binding protein 2 	14469	Gbp2 	11.7	2.8	1.8	0.5	1.6	 
GTP binding 	Interferon-induced 	Macrophage activation 2 like 	100702	Mpa2l 	18.3	8.5	0.8	0.6	3.1	 
Transferase activity 	Protein localization 	"Poly (ADP-ribose) polymerase family, member 9 "	80285	Parp9 	5.3	4	1.2	0.5	2.3	 
Transferase activity 	Virus response 	"Zinc finger CCCH type, antiviral 1 "	78781	Zc3hav1 	3.8	2.8	1	1.2	2.1	 
Cyclic-nucleotide phosphodiesterase activity 	IFN-induced 	"SAM domain and HD domain, 1 "	56045	Samhd1 	2.5	2.3	1.4	1.8	2	 
dTTP biosynthesis 	LPS response 	Thymidylate kinase family LPS-inducible member 	22169	Tyki 	39.6	8.5	0.7	0.8	4.6	 
dTTP biosynthesis 	LPS response 	Placenta-specific 8 	231507	Plac8 	11.9	2	0.1	0.5	0.3	 
Phospholipid binding 	Defense response 	"Lymphocyte antigen 6 complex, locus E "	17069	Ly6e 	3.5	2.3	1.1	1.7	1.4	 
Ubiquitin ligase 	Interferon-induced 	Deltex 3-like (Drosophila) 	209200	Dtx3l 	6.5	3.7	1.3	0.7	2.6	 
Peptidase 	Interferon-induced 	Ubiquitin specific peptidase 18 	24110	Usp18 	49	20.4	1.8	0.7	9.7	 
Protein/nucleic acid binding 	Interferon-induced 	Tripartite motif protein 34 	94094	Trim34 	3.4	2.2	1.2	0.8	0.9	 
