Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_013750_at	Phlda3	pleckstrin homology-like domain, family A, member 3	10.94	P	9.21	P	9.72	P	1.73	0.001	cytoplasmic
NM_008393_at	Irx3	Iroquois related homeobox 3 (Drosophila)	10.1	P	8.4	P	8.12	P	1.7	0.001	cytoplasmic
NM_183221_at	Fat4	FAT tumor suppressor homolog 4 (Drosophila)	8.12	P	6.47	P	6.72	P	1.65	0.002	cytoplasmic, secreted
NM_029924_at	Mbd5	methyl-CpG binding domain protein 5	5.9	P	4.27	P	4.59	P	1.63	0.002	cytoplasmic
NM_130861_at	Slco1a5	solute carrier organic anion transporter family, member 1a5	6.87	P	5.26	! PPA	5.27	! PA	1.6	0.003	multipass
NM_010863_at	Myo1b	myosin IB	5.69	P	4.11	A	4.26	A	1.57	0.003	cytoplasmic
NM_010226_at	Foxs1	forkhead box S1	7.06	P	5.49	A	5.58	A	1.56	0.003	cytoplasmic
NM_007403_at	Adam8	a disintegrin and metallopeptidase domain 8	7.22	P	5.64	P	5.94	P	1.58	0.003	type I
NM_145602_at	Ndrg4	N-myc downstream regulated gene 4	8.53	P	6.98	P	7.31	P	1.55	0.003	type II
NM_028608_at	Glipr1	GLI pathogenesis-related 1 (glioma)	12.51	P	10.97	P	11	P	1.55	0.003	multipass
NM_013560_at	Hspb1	heat shock protein 1	11.31	P	9.79	P	9.3	P	1.52	0.003	cytoplasmic
NM_030712_at	Cxcr6	chemokine (C-X-C motif) receptor 6	5.69	P	4.15	! MAA	3.74	A	1.53	0.004	multipass
NM_007729_at	Col11a1	collagen, type XI, alpha 1	5.44	P	3.89	! PAP	3.7	! PA	1.56	0.003	secreted
NM_029083_at	Ddit4	DNA-damage-inducible transcript 4	10.63	P	9.18	P	9.22	P	1.45	0.004	cytoplasmic
NM_001111287_at	Gm4659	predicted gene 4659	8.37	P	6.88	P	7.1	P	1.49	0.005	multipass
NM_010118_at	Egr2	early growth response 2	6.72	P	5.26	! PPA	5.25	P	1.47	0.006	cytoplasmic
NM_013473_at	Anxa8	annexin A8	8.29	P	6.92	P	6.87	P	1.37	0.006	cytoplasmic
NM_028889_at	Efhd1	EF hand domain containing 1	5.64	P	4.25	! MPM	4.28	A	1.39	0.007	cytoplasmic
NM_016762_at	Matn2	matrilin 2	7.27	P	5.91	P	5.46	P	1.36	0.007	secreted
NM_020275_at	Tnfrsf10b	tumor necrosis factor receptor superfamily, member 10b	7.42	P	6.14	P	6.09	P	1.28	0.009	multipass
NM_146162_at	Tmem119	transmembrane protein 119	7.91	P	6.63	! PPM	6.28	A	1.28	0.009	type I
NM_030598_at	Rcan2	regulator of calcineurin 2	7.33	P	6.04	P	6.1	P	1.3	0.01	cytoplasmic
NM_011111_at	Serpinb2	serine (or cysteine) peptidase inhibitor, clade B, member 2	9.64	P	8.25	P	7.68	P	1.39	0.01	cytoplasmic
NM_153510_at	Pilra	paired immunoglobin-like type 2 receptor alpha	5.45	P	4.23	! PAP	4.25	A	1.23	0.011	type I, type II
NM_001017983_at	Foxred2	FAD-dependent oxidoreductase domain containing 2	6.23	P	5	! PAP	4.84	A	1.23	0.011	cytoplasmic, secreted
NM_013586_at	Loxl3	lysyl oxidase-like 3	9.87	P	8.66	P	8.22	P	1.22	0.011	secreted, type I
NM_013743_at	Pdk4	pyruvate dehydrogenase kinase, isoenzyme 4	5.96	P	4.73	! PAP	4.1	! MA	1.23	0.011	cytoplasmic
NM_028478_at	Rassf6	Ras association (RalGDS/AF-6) domain family member 6	7.2	P	6	! PMA	4.67	A	1.2	0.015	cytoplasmic
NM_018887_at	Cyp39a1	cytochrome P450, family 39, subfamily a, polypeptide 1	5.96	P	4.81	P	4.76	! PA	1.16	0.016	multipass
NM_024223_at	Crip2	cysteine rich protein 2	8.91	P	7.75	P	7.35	P	1.16	0.016	cytoplasmic
NM_001039103_at	Rasa4	RAS p21 protein activator 4	8.05	P	6.93	P	6.89	! PA	1.13	0.017	cytoplasmic
NM_011401_at	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3	5.98	P	4.84	P	4.56	! PA	1.13	0.018	multipass
NM_011864_at	Papss2	3-phosphoadenosine 5-phosphosulfate synthase 2	6.99	P	5.89	P	5.43	! PA	1.1	0.021	cytoplasmic
NM_146008_at	Tcp11l2	t-complex 11 (mouse) like 2	8.41	P	7.31	P	6.91	P	1.11	0.021	cytoplasmic
NM_023422_at	Hist1h2bc	histone cluster 1, H2bc	8.39	P	7.28	P	5.82	P	1.12	0.021	cytoplasmic
NM_001033711_at	Evi2a	ecotropic viral integration site 2a	8.83	P	7.76	P	7.56	P	1.08	0.024	type I
NM_010234_at	Fos	FBJ osteosarcoma oncogene	9.01	P	7.91	P	7.26	P	1.1	0.025	cytoplasmic
NM_145852_at	Ropn1l	ropporin 1-like	6.34	P	5.27	! PPA	4.4	! MA	1.07	0.025	cytoplasmic
NM_015776_at	Mfap5	microfibrillar associated protein 5	7.36	P	6.31	P	5.59	P	1.05	0.029	secreted
NM_001102436_at	Acbd5	acyl-Coenzyme A binding domain containing 5	9.66	! MMM	8.61	! MMM	8.27	! MM	1.05	0.029	type II
NM_029270_at	Arhgap24	Rho GTPase activating protein 24	7.14	P	6.16	P	5.94	P	0.99	0.033	cytoplasmic, type II
NM_177157_at	Gchfr	GTP cyclohydrolase I feedback regulator	9.21	P	8.22	P	7.91	P	0.99	0.033	cytoplasmic
NM_018827_at	Crlf1	cytokine receptor-like factor 1	9.85	P	8.81	P	7.88	P	1.04	0.033	cytoplasmic, secreted
NM_008760_at	Ogn	osteoglycin	10.07	P	9	P	8.82	P	1.08	0.033	secreted
NM_007621_at	Cbr2	carbonyl reductase 2	9.8	P	8.81	P	8.48	P	0.99	0.035	cytoplasmic
NM_146249_at	BC031441	cDNA sequence BC031441	5.55	P	4.55	! PPA	3.99	P	0.99	0.04	cytoplasmic
NM_013534_at	Leprel2	leprecan-like 2	7.89	P	6.97	P	6.55	P	0.92	0.042	cytoplasmic, secreted
NM_053169_at	Trim16	tripartite motif-containing 16	8.21	P	7.28	P	7	P	0.92	0.042	cytoplasmic
NM_001082536_at	Mkl1	MKL (megakaryoblastic leukemia)/myocardin-like 1	10.24	P	9.34	P	9.03	P	0.9	0.045	cytoplasmic
NM_013759_at	Sepx1	selenoprotein X 1	10.43	P	9.54	P	8.99	P	0.89	0.048	cytoplasmic
NM_001033208_at	Gcom1	GRINL1A complex locus	5.32	P	4.4	P	3.96	! AP	0.91	0.049	cytoplasmic
