Symbol	probe set	Description	CP1	CP4	CP4 vs CP1
Dhdh	1453487_at	dihydrodiol dehydrogenase (dimeric)	145.9	330.3	2.263879369
Dhrs7c	1444504_at	dehydrogenase/reductase (SDR family) member 7C	635.3	1425.2	2.243349599
Dock6	1427422_at	dedicator of cytokinesis 6	320.5	715.4	2.232137285
E2f5	1447625_at	E2F transcription factor 5	939.9	2068.4	2.200659645
Eef1a2	1418062_at	eukaryotic translation elongation factor 1 alpha 2	1363.3	2963.7	2.173916233
Elovl3	1420722_at	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	6617.2	14337.8	2.166747265
Elovl6	1417404_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	216.4	467.4	2.159889094
Eno3	1417951_at	enolase 3, beta muscle	557.4	1202.8	2.157875852
Fcgr1	1417876_at	Fc receptor, IgG, high affinity I	444.5	945.9	2.128008999
Gm106	1457429_s_at	gene model 106, (NCBI)	181.5	382.7	2.108539945
Gpd2	1452741_s_at	glycerol phosphate dehydrogenase 2, mitochondrial	154.4	325.5	2.108160622
Gpr23	1434186_at	G protein-coupled receptor 23	439.3	924.5	2.104484407
Gys2	1424815_at	glycogen synthase 2	1385.1	2913.2	2.103241643
Has2	1449169_at	hyaluronan synthase 2	145.6	304.6	2.092032967
Hfe2	1454137_s_at	hemochromatosis type 2 (juvenile) (human homolog)	267.4	556.6	2.081525804
Hrc	1419109_at	histidine rich calcium binding protein	289.6	601.4	2.076657459
Hspa9a	1447728_x_at	heat shock protein 9A	399.6	826.3	2.067817818
Igh-1a	1451632_a_at	immunoglobulin heavy chain 1a (serum IgG2a)	260.4	535.7	2.057219662
Igh-4	1425324_x_at	immunoglobulin heavy chain 4 (serum IgG1)	116.2	237.5	2.043889845
Ighg	1424631_a_at	Immunoglobulin heavy chain (gamma polypeptide)	659.3	1344.9	2.039890793
Igh-VJ558	1425763_x_at	immunoglobulin heavy chain (J558 family)	279.8	569.9	2.036812009
Igj	1424305_at	immunoglobulin joining chain	222.5	452.3	2.032808989
Igk	1425738_at	immunoglobulin kappa chain complex	6451	13092.3	2.029499302
Igk-V8	1452463_x_at	immunoglobulin kappa chain variable 8 (V8)	322	653.1	2.02826087
Igl-V1	1430523_s_at	immunoglobulin lambda chain, variable 1	124.9	250.3	2.004003203
Igsf6	1421408_at	immunoglobulin superfamily, member 6	671.6	1345.4	2.003275759
Kcnb1	1423180_at	potassium voltage gated channel, Shab-related subfamily, member 1	139.6	279.3	2.000716332
Kcnh3	1459107_at	potassium voltage-gated channel, subfamily H (eag-related), member 3	627.9	1255.9	2.000159261
Kcnj15	1435354_at	potassium inwardly-rectifying channel, subfamily J, member 15	254.4	508.5	1.998820755
Klhdc5	1426988_at	kelch domain containing 5	4323.8	8539.9	1.975091355
Kng1	1416676_at	kininogen 1	1012.3	1977.7	1.953669861
Ldb3	1416752_at	LIM domain binding 3	508.5	24.3	-20.92592593
Lepr	1456156_at	leptin receptor	151.2	10.5	-14.4
Mbp	1454651_x_at	myelin basic protein	110.4	8.7	-12.68965517
Med18	1460462_at	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	196.6	17.4	-11.29885057
Mitf	1422025_at	microphthalmia-associated transcription factor	2160.2	192	-11.25104167
Mod1	1430307_a_at	malic enzyme, supernatant	374.4	33.6	-11.14285714
Mosc1	1428005_at	MOCO sulphurase C-terminal domain containing 1	1608.5	152	-10.58223684
Mrps14	1420488_at	mitochondrial ribosomal protein S14	101.8	9.9	-10.28282828
Muc10	1449587_a_at	mucin 10, submandibular gland salivary mucin	6222.6	661.1	-9.412494328
Mup3	1426154_s_at	major urinary protein 3	2515.4	299.6	-8.395861148
Mybpc2	1455736_at	myosin binding protein C, fast-type	3856.3	467.2	-8.254066781
Myh1	1427520_a_at	myosin, heavy polypeptide 1, skeletal muscle, adult	7832.7	970.8	-8.06829419
Myh4	1427026_at	myosin, heavy polypeptide 4, skeletal muscle	4564	601.2	-7.591483699
Myh8	1458368_at	myosin, heavy polypeptide 8, skeletal muscle, perinatal	847.1	122.4	-6.920751634
Myl1	1452651_a_at	myosin, light polypeptide 1	3502.3	540.4	-6.480940044
Mylpf	1448371_at	myosin light chain, phosphorylatable, fast skeletal muscle	285.1	44	-6.479545455
Myom1	1420693_at	myomesin 1	865.4	136.6	-6.335285505
Myom2	1457435_x_at	myomesin 2	870	137.9	-6.308919507
Myoz1	1460202_at	myozenin 1	1863.6	298.6	-6.241125251
Ndufab1	1428160_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1	325.6	58.6	-5.556313993
Neb	1435355_at	nebulin	536.7	97.3	-5.515930113
Nelf	1439398_x_at	nasal embryonic LHRH factor	309.7	61.9	-5.003231018
Nol3	1451503_at	nucleolar protein 3 (apoptosis repressor with CARD domain)	252	52.8	-4.772727273
Otop1	1438448_at	otopetrin 1	729.4	154.9	-4.708844416
Pcx	AFFX-PyruCarbMur/L09192_5_at	pyruvate carboxylase	8012.4	1728.5	-4.635464275
Pdhb	1448214_at	pyruvate dehydrogenase (lipoamide) beta	420.6	92.6	-4.542116631
Pdk4	1417273_at	pyruvate dehydrogenase kinase, isoenzyme 4	545	120.8	-4.511589404
Pgam2	1418373_at	phosphoglycerate mutase 2	2040.1	458.3	-4.451451015
Pgd	1438627_x_at	phosphogluconate dehydrogenase	280.2	67.5	-4.151111111
Pml	1456103_at	promyelocytic leukemia	1346.5	328.1	-4.103931728
Ppara	1449051_at	peroxisome proliferator activated receptor alpha	158.7	38.9	-4.079691517
Pvalb	1417653_at	parvalbumin	157.2	38.7	-4.062015504
Pygm	1448602_at	muscle glycogen phosphorylase	347.8	92.4	-3.764069264
Rhbdd3	1438548_x_at	rhomboid domain containing 3	356	97.5	-3.651282051
Rpl27a	1437729_at	ribosomal protein L27a	341.5	94.9	-3.598524763
Rpl3l	1449398_at	ribosomal protein L3-like	595.9	166.7	-3.574685063
Rragd	1434909_at	Ras-related GTP binding D	217.8	61.2	-3.558823529
Rspo1	1449319_at	R-spondin homolog (Xenopus laevis)	79.3	24.1	-3.290456432
Ryr1	1427306_at	ryanodine receptor 1, skeletal muscle	149.5	46.1	-3.242950108
Scd1	1415823_at	stearoyl-Coenzyme A desaturase 1	159.4	49.5	-3.22020202
Scp2	1419974_at	sterol carrier protein 2, liver	7258.3	2283.5	-3.178585505
Scrn3	1426916_at	secernin 3	3515.6	1121.9	-3.133612621
Serpine1	1419149_at	serine (or cysteine) peptidase inhibitor, clade E, member 1	728	238.4	-3.053691275
Sh3bgr	1422644_at	SH3-binding domain glutamic acid-rich protein	534.5	177.5	-3.011267606
Slc1a3	1443749_x_at	solute carrier family 1 (glial high affinity glutamate transporter), member 3	292.4	99.8	-2.929859719
Slc2a5	1416639_at	solute carrier family 2 (facilitated glucose transporter), member 5	337.1	116.6	-2.891080617
Smpd1	1447874_x_at	sphingomyelin phosphodiesterase 1, acid lysosomal	655.3	232.9	-2.813653929
Smpx	1418095_at	small muscle protein, X-linked	143.6	51.2	-2.8046875
Snrpn	1435716_x_at	small nuclear ribonucleoprotein N	474.8	172.5	-2.752463768
Snx27	1433614_at	sorting nexin family member 27	433.4	157.8	-2.746514575
Sox4	1449370_at	SRY-box containing gene 4	205.2	75.2	-2.728723404
Spon1	1441226_at	spondin 1, (f-spondin) extracellular matrix protein	7449.9	2753.9	-2.705218054
Spp1	1449254_at	secreted phosphoprotein 1	382.3	142.4	-2.684691011
Spt2	1420466_at	salivary protein 2	876.4	336.4	-2.605231867
Sts	1421500_at	steroid sulfatase	102.1	39.5	-2.584810127
Sycp3	1449534_at	synaptonemal complex protein 3	365.9	141.7	-2.582215949
Tatdn1	1444644_x_at	TatD DNase domain containing 1	4548.2	1774.2	-2.563521587
Tax1bp1	1420175_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	375.3	149.4	-2.512048193
Tcap	1423145_a_at	titin-cap	532.1	216.9	-2.453204242
Tcf4	1446953_at	transcription factor 4	220.3	91	-2.420879121
Tkt	1451015_at	transketolase	492.4	204.3	-2.410181106
Tmem45a	1422587_at	transmembrane protein 45a	1107.4	472.6	-2.343207787
Tmem69	1446160_x_at	transmembrane protein 69	203.8	87.9	-2.3185438
Tmod1	1422754_at	tropomodulin 1	363.9	159.2	-2.28580402
Tmod4	1449969_at	tropomodulin 4	5682.7	2497.3	-2.275537581
Tnnc2	1417464_at	troponin C2, fast	686.8	302.7	-2.268913115
Tnni2	1438609_x_at	troponin I, skeletal, fast 2	581.5	258.4	-2.250386997
Tnnt3	1450118_a_at	troponin T3, skeletal, fast	354.1	158.5	-2.234069401
Tpm1	1423049_a_at	tropomyosin 1, alpha	1183.9	532.5	-2.223286385
Tpm2	1449577_x_at	tropomyosin 2, beta	590	272.9	-2.161964089
Trdn	1426143_at	triadin	326.1	153.2	-2.128590078
Ttn	1427445_a_at	titin	1086.1	518	-2.096718147
Tubb2c	1456470_x_at	tubulin, beta 2c	2050.9	1004.7	-2.041305862
Txlnb	1418952_at	taxilin beta	327.4	160.7	-2.037336652
Ube2h	1447374_at	ubiquitin-conjugating enzyme E2H	364.6	180.9	-2.015478165
Ucp1	1418197_at	uncoupling protein 1 (mitochondrial, proton carrier)	139.8	69.4	-2.014409222
Wisp2	1419015_at	WNT1 inducible signaling pathway protein 2	602.5	301.2	-2.000332005
Xbp1	1420012_at	X-box binding protein 1	827.2	419	-1.974224344
