Ensembl ID	Gene Name	Description	RefSeq ID	Fold Change	FDR
ENSG00000123933	MXD4	Homo sapiens MAX dimerization protein 4 (MXD4), mRNA	NM_006454	-1.5	-48.823
ENSG00000141526	SLC16A3	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 3 (SLC16A3), mRNA	NM_004207	-1.6	-45.974
ENSG00000160888	IER2	Homo sapiens immediate early response 2 (IER2), mRNA	NM_004907	-1.6	-54.609
ENSG00000090432	FLJ12875	Homo sapiens hypothetical protein FLJ12875 (FLJ12875), mRNA	NM_024544	-1.6	-22.700
ENSG00000108551	RASD1	Homo sapiens RAS, dexamethasone-induced 1 (RASD1), mRNA	NM_016084	-1.6	-15.024
ENSG00000137161	TNRC5	Homo sapiens trinucleotide repeat containing 5 (TNRC5), mRNA	NM_006586	-1.6	-17.448
ENSG00000178401	FLJ13236	Homo sapiens hypothetical protein FLJ13236 (FLJ13236), mRNA	NM_024902	-1.6	-67.070
ENSG00000139318	DUSP6	Homo sapiens dual specificity phosphatase 6 (DUSP6), transcript variant 1, mRNA	NM_001946	-1.6	-46.115
ENSG00000105404	RABAC1	Homo sapiens Rab acceptor 1 (prenylated) (RABAC1), mRNA	NM_006423	-1.6	-23.478
ENSG00000163739	CXCL1	Homo sapiens chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) (CXCL1), mRNA	NM_001511	-1.6	-16.016
ENSG00000173545	ZNF622	Homo sapiens zinc finger protein 622 (ZNF622), mRNA	NM_033414	-1.7	-20.913
ENSG00000156381	ANKRD9	Homo sapiens ankyrin repeat domain 9 (ANKRD9), mRNA	NM_152326	-1.7	-13.774
ENSG00000169241	LOC55974	Homo sapiens stromal cell protein (LOC55974), mRNA	NM_018845	-1.7	-19.675
ENSG00000184436	THAP7	Homo sapiens THAP domain containing 7 (THAP7), transcript variant 1, mRNA	NM_030573	-1.7	-15.368
ENSG00000069011	PITX1	Homo sapiens paired-like homeodomain transcription factor 1 (PITX1), mRNA	NM_002653	-1.8	-14.139
ENSG00000213445	SIPA1	Homo sapiens signal-induced proliferation-associated gene 1 (SIPA1), transcript variant 1, mRNA	NM_153253	-1.8	-17.623
ENSG00000178996	SNAG1	Homo sapiens sorting nexin associated golgi protein 1 (SNAG1), mRNA	NM_052870	-1.9	-19.313
ENSG00000132661	NXT1	Homo sapiens NTF2-like export factor 1 (NXT1), mRNA	NM_013248	-1.9	-21.709
ENSG00000099330	FLJ22709	Homo sapiens hypothetical protein FLJ22709 (FLJ22709), mRNA	NM_024578	-2.0	-15.325
ENSG00000119630	PGF	Homo sapiens placental growth factor, vascular endothelial growth factor-related protein (PGF), mRNA	NM_002632	-2.0	-13.664
ENSG00000117266	PCTK3	Homo sapiens PCTAIRE protein kinase 3 (PCTK3), transcript variant 3, mRNA	NM_002596	-2.1	-13.949
ENSG00000151353	TMEM18	Homo sapiens transmembrane protein 18 (TMEM18), mRNA	NM_152834	-2.2	-17.709
ENSG00000162344	FGF19	Homo sapiens fibroblast growth factor 19 (FGF19), mRNA	NM_005117	-2.3	-40.791
ENSG00000143224	PPOX	Homo sapiens protoporphyrinogen oxidase (PPOX), nuclear gene encoding mitochondrial protein, mRNA	NM_000309	-2.4	-15.806
ENSG00000212916	KIAA1383	Homo sapiens mRNA for KIAA1383 protein, partial cds.	AB037804	-2.4	-16.984
ENSG00000131470	TBPIP	Homo sapiens TBP-1 interacting protein (TBPIP), mRNA	NM_013290	-2.8	-17.884
ENSG00000153266	ZNF312	Homo sapiens zinc finger protein 312 (ZNF312), mRNA	NM_018008	-3.9	-116.993
ENSG00000120738	EGR1	Homo sapiens early growth response 1 (EGR1), mRNA	NM_001964	-5.3	-259.326
ENSG00000182687	GALR2	Homo sapiens galanin receptor 2 (GALR2), mRNA	NM_003857	-6.2	-17.138
ENSG00000178695	KCTD12	Homo sapiens potassium channel tetramerisation domain containing 12 (KCTD12), mRNA	NM_138444	-8.1	-41.921
ENSG00000164588	HCN1	Homo sapiens mRNA; cDNA DKFZp686O1082 (from clone DKFZp686O1082).	BX537747	-15.6	-23.385
