Gene Symbol	Mean	p-value	Std Dev	Std Error	Min	Max
AP4E1	-0.178363	0.000580113	0.0850364	0.0300649	-0.295757	-0.034849
APC	-0.360925	0.00394472	0.242003	0.085561	-0.711279	-0.0729415
APLP2	-0.812696	0.000604946	0.390197	0.137955	-1.1124	-0.0298543
APOL4	-1.44025	2.6224E-06	0.297696	0.105251	-1.98962	-1.08181
APOL6	-2.28658	3.73031E-06	0.497908	0.176037	-2.93593	-1.64212
APPBP2	-0.856187	3.54498E-06	0.185035	0.0654197	-1.10715	-0.629044
APPL2	-0.362215	0.00395081	0.242939	0.085892	-0.797511	0.00176972
ARF1	-0.312088	0.0035375	0.204965	0.072466	-0.533543	0.00446226
ARFGEF1	-0.454823	4.74587E-06	0.102639	0.0362883	-0.60639	-0.308599
ARFGEF2	-0.315768	5.12332E-06	0.0720734	0.0254818	-0.433707	-0.199102
ARHGAP5	-0.555486	1.58836E-05	0.150192	0.0531009	-0.769463	-0.334974
ARHGAP35	-0.138938	0.0137174	0.12026	0.0425184	-0.293795	0.0646956
ARID1B	-0.190972	0.000537536	0.0898937	0.0317822	-0.374231	-0.0990959
ARID3A	-0.474075	2.18939E-05	0.134559	0.0475738	-0.692382	-0.291247
ARID4B	-0.552444	0.00107609	0.292628	0.10346	-0.828518	-0.129421
ARL4C	-0.95335	4.56952E-05	0.302798	0.107055	-1.39083	-0.577532
ARL6IP1	-0.215511	0.00234947	0.131165	0.0463739	-0.370496	0.00337158
ARL6IP5	-0.201456	8.71456E-05	0.0707266	0.0250056	-0.289669	-0.103922
ARL8B	-0.375055	0.023021	0.365934	0.129377	-0.954695	-0.0761002
ARRDC3	-1.03368	9.80813E-05	0.369686	0.130704	-1.6221	-0.501499
ASAP2	-0.737708	2.8065E-06	0.154017	0.0544534	-0.939288	-0.532421
ASB1	-0.728794	1.52644E-05	0.195872	0.0692513	-0.978217	-0.400023
ASCC2	-0.627927	1.32628E-05	0.165226	0.0584164	-0.835134	-0.401248
ATF6	-1.11278	4.68346E-09	0.0918786	0.032484	-1.26493	-1.01846
ATF7	-0.438224	0.0172768	0.399592	0.141277	-1.04914	0.169476
ATG3	-0.167015	0.0168367	0.151392	0.0535253	-0.321023	0.0671625
ATG12	-0.469053	0.00422703	0.318701	0.112678	-0.954897	-0.053664
ATG14	-0.647552	3.79679E-07	0.100851	0.0356562	-0.790677	-0.501768
ATG2B	-0.40391	0.000118773	0.148872	0.052634	-0.674067	-0.196166
ATP11A	-0.724403	0.000358779	0.318915	0.112754	-1.20459	-0.291284
ATP11B	-0.917253	3.62393E-06	0.19888	0.0703145	-1.18542	-0.650252
ATP11C	-0.310726	0.000140583	0.117621	0.0415854	-0.498524	-0.200349
ATP2B4	-1.36579	1.95906E-08	0.138533	0.0489789	-1.58788	-1.15947
ATP2C1	-0.56689	9.00249E-06	0.140739	0.0497587	-0.840764	-0.433309
ATP6AP2	-0.364697	2.10974E-05	0.102934	0.0363925	-0.499144	-0.231969
ATP6V0E1	-0.488344	2.76968E-05	0.143655	0.0507896	-0.698743	-0.290711
ATXN1	-0.888987	1.03123E-06	0.160194	0.0566372	-1.0649	-0.634942
ATXN3	-0.582432	4.74637E-05	0.186074	0.065787	-0.826302	-0.2686
AZIN1	-0.25378	4.74181E-05	0.081065	0.0286608	-0.390531	-0.142194
B2M	-1.13758	1.02918E-06	0.20493	0.0724537	-1.49457	-0.952891
B4GALT1	-0.877177	4.72892E-09	0.0725263	0.0256419	-0.960255	-0.752652
B4GALT3	-0.471018	2.22579E-05	0.134027	0.0473855	-0.599508	-0.169019
B4GALT5	-0.229698	0.000148546	0.0877131	0.0310112	-0.345637	-0.0720248
BAG5	-0.252169	0.00102948	0.132553	0.0468645	-0.372265	-0.0287011
BAZ1B	-0.483809	0.000424476	0.218975	0.0774192	-0.771773	-0.162201
BAZ2B	-0.46857	5.80802E-05	0.154439	0.0546023	-0.710514	-0.245512
BCL3	-1.0951	1.91775E-05	0.304648	0.107709	-1.38574	-0.561883
BCL11A	-0.803783	0.000289644	0.341702	0.12081	-1.25922	-0.166575
BCL7A	-0.183531	0.00936959	0.146311	0.0517289	-0.37127	0.0180216
BMI1	-0.387728	2.30724E-05	0.11093	0.0392198	-0.556628	-0.193099
BNIP1	-0.535139	3.51646E-05	0.163267	0.0577236	-0.824005	-0.298864
BNIP3L	-0.551441	9.56132E-05	0.19643	0.0694486	-0.886945	-0.305082
BOD1L	-0.188576	0.000101294	0.0677844	0.0239654	-0.250385	-0.0332652
BRAF	-0.149985	0.0178072	0.137719	0.0486911	-0.372828	-0.00361827
BRD4	-0.75588	2.23496E-06	0.152598	0.0539515	-0.949583	-0.505874
BRPF3	-0.377003	0.000952163	0.195521	0.0691271	-0.68397	-0.139647
BRWD1	-0.633604	5.87611E-05	0.20921	0.073967	-0.938333	-0.335941
BSDC1	-0.441199	0.00381571	0.293955	0.103929	-0.737885	0.108056
BTBD7	-0.934094	1.21219E-06	0.172358	0.0609378	-1.14708	-0.598134
BTN2A1	-0.613169	5.11536E-06	0.139922	0.04947	-0.816744	-0.364676
BTN2A2	-0.204903	0.000524101	0.0960446	0.0339569	-0.361027	-0.0951231
BTN3A2	-0.49936	0.00128136	0.272683	0.0964078	-0.89801	-0.118241
C10orf118	-0.325004	6.75923E-05	0.10967	0.0387741	-0.452917	-0.190377
C10orf140	-0.926447	5.19406E-05	0.300123	0.10611	-1.29658	-0.498453
C11orf54	-0.372257	1.03666E-05	0.0943928	0.0333729	-0.499845	-0.240971
C12orf28	-2.5579	9.56951E-07	0.455912	0.161189	-3.54668	-2.08461
C12orf35	-0.770552	4.51021E-07	0.123054	0.0435062	-0.920914	-0.60583
C12orf51	-0.359036	0.0031934	0.231295	0.0817753	-0.783099	-0.0366175
C13orf23	-0.335904	0.00144871	0.18743	0.0662664	-0.589048	-0.119005
C14orf1	-0.924547	0.0002306	0.378794	0.133924	-1.5245	-0.414081
C14orf28	-0.871781	0.000263793	0.365027	0.129056	-1.4942	-0.494514
C14orf43	-0.618676	7.53568E-07	0.106484	0.0376478	-0.761909	-0.441751
C14orf135	-0.548215	2.58934E-05	0.159622	0.0564348	-0.766069	-0.327914
C14orf166	-0.380566	0.000142622	0.144388	0.0510488	-0.619888	-0.23355
C15orf17	-0.841617	0.000381292	0.374241	0.132314	-1.28171	-0.125119
C19orf10	-0.492916	2.04631E-07	0.0701726	0.0248098	-0.633062	-0.412222
C19orf42	-0.270552	0.00268318	0.168735	0.0596568	-0.468943	0.0438957
C19orf43	-0.225131	0.00532405	0.159993	0.0565659	-0.414602	0.0281075
C1orf9	-0.479965	1.35638E-05	0.126721	0.0448025	-0.634385	-0.220761
C20orf3	-0.736653	4.57597E-05	0.234022	0.0827394	-1.01574	-0.434923
C20orf112	-1.60092	8.21997E-06	0.392082	0.138622	-1.9889	-0.800649
C2orf18	-1.04674	3.96896E-10	0.0606647	0.0214482	-1.13877	-0.959805
C2orf49	-0.388406	0.000175964	0.152375	0.0538726	-0.637341	-0.210192
C5orf28	-0.599172	0.000397887	0.268309	0.0948615	-1.00604	-0.292972
C5orf30	-0.204679	0.0229046	0.199457	0.0705186	-0.564157	0.0193183
C5orf32	-1.48746	1.87006E-08	0.149868	0.0529862	-1.7199	-1.33013
C6orf48	-1.57341	2.06147E-07	0.224234	0.0792787	-1.85396	-1.22283
C6orf62	-0.662885	5.32245E-06	0.152162	0.0537974	-0.923935	-0.470825
C7orf43	-0.638168	0.000010129	0.161258	0.0570133	-0.809062	-0.381691
C9orf91	-0.705758	4.12755E-05	0.220679	0.0780217	-0.999167	-0.408081
CA13	-0.850823	1.19139E-06	0.156595	0.0553647	-1.09954	-0.61592
CALCOCO1	-0.408791	0.00108658	0.2169	0.0766858	-0.631049	0.0327086
CALCRL	-0.990735	1.99143E-05	0.277193	0.0980027	-1.41733	-0.572605
CANT1	-0.320929	0.000695193	0.157742	0.0557701	-0.602279	-0.0748178
CANX	-0.174646	0.000700113	0.0859438	0.0303857	-0.306227	-0.0537794
CAPRIN2	-1.75218	9.56239E-07	0.312269	0.110404	-2.13192	-1.25803
CARD8	-1.15658	7.14646E-07	0.19753	0.0698374	-1.31393	-0.780493
CARD16	-2.39186	9.09412E-05	0.845347	0.298875	-3.39492	-1.24303
CASC4	-0.31455	2.52032E-05	0.0912104	0.0322478	-0.431865	-0.132987
CASD1	-1.10023	6.78982E-07	0.186506	0.0659399	-1.35066	-0.839177
CASP3	-0.324026	0.000498235	0.150605	0.0532471	-0.519379	-0.125506
CASP7	-0.685081	0.000209125	0.276301	0.0976871	-1.00814	-0.300427
CASP10	-0.316234	0.00124667	0.171856	0.0607603	-0.511503	-0.0251368
CAST	-0.98374	8.66577E-10	0.0637627	0.0225435	-1.06019	-0.89801
CAV1	-0.49905	0.00254756	0.308278	0.108993	-0.771447	0.0305299
CBFA2T2	-0.74941	0.0046013	0.517606	0.183002	-1.29737	0.0811372
CBFB	-0.226198	2.09542E-05	0.0637771	0.0225486	-0.285523	-0.0965925
CCDC6	-0.316792	0.000602725	0.152006	0.0537423	-0.590708	-0.153896
CCDC88A	-0.466486	1.33939E-05	0.122928	0.0434617	-0.60322	-0.264023
CCND2	-0.682968	0.000954793	0.354368	0.125288	-1.10776	-0.194666
CCNG2	-0.820418	9.45362E-06	0.205178	0.0725413	-1.02994	-0.503559
CCNL1	-0.183338	1.11912E-05	0.0470257	0.0166261	-0.275515	-0.123825
CD59	-0.671294	0.000212733	0.271486	0.0959849	-1.15587	-0.343588
CD97	-0.632195	4.34438E-05	0.199239	0.0704416	-0.955288	-0.359734
CD2BP2	-0.390278	0.000692877	0.19172	0.0677831	-0.692972	-0.158192
CDADC1	-0.344175	0.0204153	0.326293	0.115362	-0.751421	0.0925534
CDC37L1	-0.138007	6.6445E-06	0.0327428	0.0115763	-0.198307	-0.0938572
CDK6	-0.557114	0.000161911	0.215677	0.0762534	-0.847386	-0.302112
CDK19	-1.10617	1.41527E-08	0.10707	0.037855	-1.26089	-0.94765
CDKN3	-0.332147	0.0156898	0.296281	0.104751	-0.653856	0.0153322
CDKN1A	-0.398679	0.000839999	0.202365	0.0715467	-0.706317	-0.0565664
CDKN1B	-0.369978	0.000026615	0.108177	0.0382463	-0.524225	-0.246027
CDS1	-0.46983	0.000709452	0.231724	0.0819267	-0.744579	-0.0802884
CDS2	-0.501996	0.000023332	0.143867	0.0508647	-0.747589	-0.363413
CDV3	-0.274439	0.000208699	0.110648	0.03912	-0.489039	-0.143785
CEP68	-0.452339	0.000384131	0.201387	0.071201	-0.820376	-0.150455
CEP120	-0.172813	0.0140072	0.150277	0.0531311	-0.343381	0.0755497
CFLAR	-0.270028	0.00360325	0.177962	0.062919	-0.413772	0.0137498
CHD2	-0.537016	4.06566E-05	0.167527	0.0592297	-0.720811	-0.249139
CHD7	-0.28206	0.0012616	0.153604	0.0543071	-0.451234	-0.0485093
CHD9	-0.493657	0.0250697	0.491766	0.173866	-1.03688	0.218883
CHIC2	-0.58835	0.000319054	0.254091	0.0898348	-0.918063	-0.173297
CHURC1	-2.01384	4.27976E-05	0.633208	0.223873	-3.36093	-1.45373
CLCC1	-0.451419	1.33207E-05	0.11886	0.0420233	-0.570005	-0.221642
CLCN3	-0.843176	0.000002874	0.176656	0.0624573	-1.02156	-0.573332
CLCN4	-0.572061	8.14007E-05	0.198708	0.0702539	-0.865439	-0.347675
CLEC16A	-0.475076	9.16626E-06	0.118264	0.0418125	-0.630199	-0.312431
CLIC4	-1.56248	6.80675E-09	0.136128	0.0481283	-1.72873	-1.2856
CLIP1	-0.391575	1.29601E-07	0.0521741	0.0184463	-0.461868	-0.329113
CLSTN1	-0.241224	0.0226126	0.234342	0.0828525	-0.43754	0.157686
CMPK1	-0.393974	9.08221E-05	0.139213	0.0492191	-0.582048	-0.234233
CMTM6	-0.157609	0.00354383	0.103546	0.0366089	-0.248964	0.0675566
CNOT4	-0.142087	0.0112523	0.117774	0.0416394	-0.315146	0.0304108
CNOT6	-0.539565	0.000106497	0.195482	0.0691132	-0.825513	-0.292416
CNTRL	-1.12755	3.55439E-06	0.243775	0.0861876	-1.48798	-0.730881
COBLL1	-0.436132	0.000155201	0.167707	0.0592933	-0.723008	-0.21521
COG5	-0.513664	2.46315E-07	0.0751213	0.0265594	-0.617751	-0.415624
COL27A1	-1.04144	1.66553E-07	0.1439	0.0508763	-1.3091	-0.924703
COL4A5	-0.681887	4.64906E-06	0.15341	0.0542385	-0.932394	-0.476318
COL4A3BP	-0.536077	8.42432E-07	0.0937834	0.0331574	-0.699896	-0.415077
COPZ1	-0.248649	0.00438436	0.17014	0.0601535	-0.435093	0.0434856
COX11	-0.450043	5.86096E-05	0.148541	0.0525171	-0.647466	-0.258018
CPEB2	-2.444	2.04052E-05	0.686324	0.242652	-3.55568	-1.44936
CPEB3	-0.929784	6.24621E-05	0.309926	0.109576	-1.3091	-0.503144
CPEB4	-0.869872	3.54418E-05	0.265711	0.093943	-1.19403	-0.387912
CREB3L4	-0.421942	0.00157654	0.23899	0.0844958	-0.697266	-0.108368
CREBBP	-0.796973	1.04195E-06	0.143831	0.050852	-0.936675	-0.532647
CREBZF	-0.334915	0.00156407	0.189431	0.0669739	-0.554586	0.00228118
CREG1	-0.608124	1.8508E-08	0.0611798	0.0216303	-0.696202	-0.505739
CSDE1	-0.226828	0.00944038	0.181114	0.0640336	-0.478867	-0.015557
CSGALNACT2	-0.3286	0.000299748	0.140475	0.0496655	-0.568324	-0.119212
CSNK1A1	-1.4958	1.48258E-07	0.203224	0.0718506	-1.77391	-1.21222
CSNK1G3	-0.0869672	0.0128909	0.0742502	0.0262514	-0.187963	-0.00226499
CSNK2A1	-0.385911	0.00185439	0.225014	0.0795544	-0.569205	0.105278
CSRNP2	-0.433192	0.000234078	0.177912	0.0629013	-0.734791	-0.206524
CSRP1	-0.617723	4.21768E-06	0.136981	0.0484299	-0.870925	-0.448113
CTNNA1	-0.58501	3.85075E-06	0.127988	0.0452506	-0.78141	-0.426929
CTSC	-0.393104	7.12561E-05	0.133743	0.0472853	-0.681551	-0.269081
CTSL2	-0.193863	5.81239E-06	0.0450871	0.0159407	-0.258987	-0.119489
CUX1	-0.538354	0.000139067	0.203437	0.0719259	-0.921604	-0.292922
CXCR4	-1.35266	1.98589E-05	0.378296	0.133748	-1.98359	-0.657394
CXCR7	-0.630421	0.0114444	0.52446	0.185425	-1.44957	0.238422
CYLD	-0.234196	0.00150256	0.131524	0.0465008	-0.421275	-0.0850661
CYTH2	-0.591597	0.000023578	0.169817	0.0600392	-0.875272	-0.414764
DAZAP2	-0.649388	0.00130048	0.355529	0.125699	-1.29061	-0.183807
DCAF5	-0.136624	0.00561142	0.0981069	0.034686	-0.339439	-0.0389628
DCAF10	-0.1219	0.0223877	0.118138	0.0417681	-0.342055	0.0386058
DCBLD1	-0.451064	0.019301	0.422014	0.149205	-1.10859	-0.0208427
DCP1A	-0.331074	9.14036E-05	0.117103	0.0414023	-0.489098	-0.205158
DCTN4	-0.123624	0.0173555	0.112844	0.0398964	-0.294549	0.0260984
DCUN1D1	-0.360765	0.0131575	0.309403	0.10939	-0.841673	0.0622197
DGKD	-1.22168	2.05446E-06	0.243594	0.0861235	-1.51937	-0.824309
DICER1	-0.445112	0.000710432	0.219584	0.0776348	-0.756995	-0.135758
DIDO1	-0.440372	7.65591E-05	0.151509	0.0535664	-0.645234	-0.263633
DLG5	-0.250599	1.04276E-05	0.0636001	0.022486	-0.322479	-0.116557
DMWD	-0.154301	0.00435265	0.105434	0.0372765	-0.266894	-0.034849
DMXL1	-0.346748	4.35613E-05	0.109324	0.038652	-0.496787	-0.208071
DNAJB9	-0.715114	2.383E-07	0.104081	0.0367983	-0.857034	-0.581232
DNAJB11	-0.332697	8.10032E-07	0.0578704	0.0204603	-0.396822	-0.241918
DNAJC16	-0.620554	2.65967E-06	0.128534	0.0454437	-0.827201	-0.399786
DNAJC27	-0.256145	0.000385119	0.114087	0.0403359	-0.403444	-0.0567533
DNM1L	-0.863975	0.00389764	0.577974	0.204345	-1.29999	0.121364
DNMT3A	-0.582904	1.79747E-06	0.113963	0.040292	-0.785705	-0.43256
DRAM1	-0.451804	1.01044E-07	0.0580687	0.0205304	-0.523269	-0.358261
DSE	-0.87965	2.73615E-05	0.258284	0.0913173	-1.19719	-0.465223
DSG2	-0.45845	0.000382781	0.20399	0.0721212	-0.607393	-0.028477
DTX3L	-0.621294	1.13637E-05	0.159727	0.0564719	-0.83042	-0.431805
DUSP16	-0.314769	0.00343056	0.20553	0.0726659	-0.591278	0.00287036
DUSP28	-0.29329	0.0191238	0.27381	0.0968063	-0.727818	0.0742268
DVL3	-0.399548	0.00035346	0.175469	0.0620377	-0.584053	-0.034816
DYNC1LI2	-0.116796	0.0239514	0.115057	0.0406788	-0.326872	-0.00443245
DYRK1A	-0.192025	0.00754968	0.146376	0.0517516	-0.359517	0.0215951
EDEM3	-0.65374	9.62638E-06	0.163938	0.0579607	-0.817435	-0.37277
EDF1	-0.674282	1.92302E-07	0.0951308	0.0336338	-0.7967	-0.514369
EEA1	-0.176076	0.000426483	0.0797551	0.0281977	-0.25742	-0.0547053
EEF1A1	-0.694016	0.000392552	0.310089	0.109633	-0.986683	-0.223755
EGR1	-2.80609	2.62667E-07	0.414229	0.146452	-3.34824	-2.1057
EHF	-2.06805	0.000104506	0.747023	0.264112	-3.09487	-1.19619
EIF1	-1.23346	2.00958E-09	0.0901962	0.0318892	-1.36217	-1.11785
EIF5	-0.278168	0.00309475	0.178149	0.0629852	-0.567484	-0.0295598
EIF2AK3	-0.301005	0.000807683	0.151766	0.0536575	-0.586657	-0.100273
EIF2C1	-0.383471	0.00409384	0.258954	0.091554	-0.756121	0.0104837
EIF2C4	-0.346249	0.00776786	0.265483	0.0938624	-0.674409	-0.0579108
EIF2S1	-0.50121	0.00826217	0.389217	0.137609	-1.13132	-0.0553397
EIF4A2	-0.413889	0.00108262	0.219466	0.0775928	-0.602178	-0.0491832
EIF4B	-0.221267	2.59489E-05	0.0644464	0.0227852	-0.317975	-0.119064
EIF4G1	-0.220609	0.0149423	0.194632	0.0688129	-0.503476	0.13554
EIF4G2	-0.361067	0.00143519	0.201137	0.0711126	-0.684189	-0.140821
EIF4G3	-0.195174	0.004751	0.135645	0.0479577	-0.335634	0.046287
ELL	-0.228617	0.00258282	0.141582	0.0500568	-0.409285	-0.0257236
EMP3	-0.508106	3.21835E-07	0.0772531	0.0273131	-0.615131	-0.369551
ENTPD4	-0.235064	0.00339335	0.153171	0.054154	-0.402426	0.00292255
EPB41	-0.875924	2.12171E-06	0.175483	0.0620426	-1.14478	-0.646745
EPDR1	-1.34988	0.000239792	0.556559	0.196773	-2.12775	-0.71815
EPRS	-0.889929	8.96518E-07	0.157111	0.0555472	-1.14015	-0.647068
EPS15	-0.247978	0.000803239	0.124913	0.0441633	-0.471278	-0.0878017
ERBB2IP	-0.87874	5.60886E-06	0.203289	0.0718736	-1.10065	-0.600667
ERLIN2	-0.150378	0.0197096	0.141386	0.0499876	-0.408479	-0.0157874
ERO1L	-0.863189	7.01909E-06	0.206477	0.0730006	-1.17729	-0.654735
ETHE1	-0.256369	0.00123373	0.139068	0.0491681	-0.471244	-0.0554848
ETNK1	-0.1958	0.0101665	0.15881	0.0561478	-0.478741	-0.0505782
ETV6	-0.54238	0.000516408	0.253604	0.0896625	-0.873942	-0.246294
EWSR1	-0.500234	0.000714233	0.247	0.0873278	-0.812097	-0.219622
EXD2	-0.986769	1.65022E-06	0.190513	0.0673564	-1.1814	-0.609206
EXOC6	-0.630863	0.000585026	0.301196	0.106489	-1.11511	-0.290817
EZH1	-0.425579	0.0157038	0.3797	0.134244	-0.941996	0.222083
EZH2	-1.16312	3.77201E-08	0.129658	0.0458409	-1.33834	-0.993675
EZR	-0.599461	3.91111E-05	0.185898	0.0657248	-0.852277	-0.316897
FAF2	-0.506608	2.9126E-06	0.10635	0.0376005	-0.66252	-0.320832
FAM107B	-1.10076	2.08923E-08	0.112691	0.0398421	-1.25646	-0.933723
FAM120C	-0.517773	0.00162576	0.294878	0.104255	-0.963625	-0.0890854
FAM126B	-0.125923	0.00212714	0.0752639	0.0266098	-0.205439	0.00862257
FAM134A	-0.334751	0.00501777	0.235144	0.0831361	-0.597323	0.0601936
FAM135A	-0.456551	4.80945E-06	0.103233	0.0364983	-0.557629	-0.272178
FAM160A2	-0.424784	1.65926E-05	0.115613	0.0408753	-0.568627	-0.241952
FAM169A	-0.815235	3.36394E-07	0.12475	0.0441057	-0.957722	-0.580773
FAM174A	-2.94988	0.000033704	0.894161	0.316133	-4.27865	-1.61826
FAM177A1	-0.784045	6.60154E-06	0.185838	0.0657036	-1.06735	-0.561883
FAM178A	-0.812068	0.0130751	0.695489	0.245893	-1.76788	0.329466
FAM189B	-0.192654	0.0112359	0.159639	0.0564408	-0.334387	0.157869
FAM204A	-1.11955	1.3084E-06	0.208905	0.0738591	-1.3145	-0.655673
FAM46C	-0.71684	0.00125529	0.390034	0.137898	-1.36078	-0.326532
FAM76A	-0.145249	0.0013141	0.0796671	0.0281666	-0.254049	0.00402023
FBXL20	-0.264843	0.0197999	0.249276	0.0881324	-0.552199	0.126505
FBXO11	-0.236713	0.00409414	0.159852	0.0565162	-0.473058	0.0196482
FBXO21	-0.145357	0.00239028	0.0887472	0.0313769	-0.301588	-0.0503146
FEZ2	-0.368245	0.00124575	0.200095	0.0707443	-0.709447	-0.177298
FGD4	-0.547847	0.000289861	0.232928	0.0823524	-0.977025	-0.247845
FGD6	-0.374575	0.000217558	0.152034	0.053752	-0.584172	-0.17637
FLOT1	-0.645248	3.2947E-06	0.137945	0.048771	-0.823031	-0.356377
FNBP4	-0.262342	2.64744E-06	0.0543015	0.0191985	-0.347675	-0.20232
FNDC3A	-0.890875	3.08085E-06	0.188576	0.0666717	-1.20682	-0.658541
FOXJ2	-0.49637	0.000241478	0.204886	0.072438	-0.794681	-0.163502
FOXJ3	-0.199264	0.000664621	0.0971995	0.0343652	-0.320354	-0.0308964
FOXK1	-0.148409	0.00162624	0.084525	0.0298841	-0.309745	-0.0532357
FOXK2	-0.466138	2.00451E-06	0.0926081	0.0327419	-0.662426	-0.332397
FOXO3	-0.900572	4.68267E-07	0.144606	0.0511261	-1.10658	-0.674355
FOXP1	-0.432629	2.79685E-05	0.127455	0.045062	-0.614168	-0.225966
FRMD5	-0.315688	0.0194234	0.295795	0.104579	-0.756714	-0.00430914
FYCO1	-0.559725	8.94649E-06	0.138831	0.049084	-0.76101	-0.312645
FZD5	-0.3669	0.000236718	0.150959	0.0533719	-0.479557	-0.0850297
G3BP1	-0.159767	0.0153639	0.14184	0.0501481	-0.369234	0.0530102
GAB1	-0.200158	0.00817169	0.15508	0.054829	-0.464701	-0.0717307
GADD45A	-1.26578	3.63881E-07	0.195919	0.0692678	-1.66714	-1.04816
GALNT5	-2.50952	1.27437E-05	0.656375	0.232064	-3.52189	-1.65203
GALNT7	-0.193354	0.00237741	0.117935	0.0416962	-0.373114	-0.0349501
GALNT10	-1.11771	0.000013146	0.293713	0.103843	-1.60968	-0.782852
GARS	-1.31914	2.10919E-05	0.372306	0.13163	-1.80605	-0.769636
GATAD1	-0.520116	0.000400311	0.233141	0.0824277	-0.739665	-0.144046
GBP3	-3.016	2.06103E-08	0.308159	0.108951	-3.46336	-2.62292
GFOD1	-1.27324	8.59896E-09	0.114718	0.0405588	-1.44287	-1.10776
GLS	-0.572419	0.0091151	0.453704	0.160409	-1.03468	0.0525511
GLT25D2	-3.16959	2.06678E-07	0.451883	0.159765	-4.00905	-2.74903
GLUL	-1.19488	6.52287E-07	0.201367	0.0711939	-1.53391	-0.956132
GM2A	-0.316823	3.15205E-05	0.0950563	0.0336075	-0.46145	-0.198086
GMEB2	-0.489034	7.79003E-06	0.118812	0.0420065	-0.660345	-0.302374
GNAS	-0.382755	0.000437226	0.174087	0.0615491	-0.649521	-0.116364
GNPNAT1	-0.162494	0.00298279	0.103353	0.0365409	-0.285633	-0.0197312
GNPTAB	-0.897614	8.1266E-07	0.156208	0.0552279	-1.15447	-0.749557
GOLGA1	-0.534828	0.000033168	0.161719	0.0571762	-0.747981	-0.295209
GOPC	-0.426817	3.81175E-05	0.131838	0.0466117	-0.697385	-0.252385
GORAB	-0.160408	0.00275169	0.100509	0.0355355	-0.268811	-0.00750791
GOSR1	-0.184098	0.0137335	0.15939	0.0563529	-0.44219	0.0213162
GPATCH2	-0.202798	0.0163338	0.182559	0.0645444	-0.548472	0.00571357
GPHN	-1.25445	3.66458E-05	0.385149	0.136171	-1.65853	-0.76232
GRPEL2	-0.602738	0.000411983	0.27146	0.0959756	-0.895475	-0.202655
HADHB	-0.417787	3.06385E-06	0.0883629	0.031241	-0.60322	-0.347105
HCFC2	-1.00943	1.13533E-05	0.259477	0.091739	-1.44957	-0.658136
HECTD1	-0.672983	1.16895E-05	0.173752	0.0614305	-0.868784	-0.458469
