Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value
Igfbpl1	insulin-like growth factor binding protein-like 1	A_52_P633353	Embryo:4.92662112314996	Embryo:1.33012181337982e-06	Pup:2.53473124666716	Pup:0.00351180315564637
Kcna5	potassium voltage-gated channel, shaker-related subfamily, member 5	A_52_P58283	Embryo:2.52401293797435	Embryo:0.00290009209528585	Pup:4.6454867161134	Pup:1.21695812845378e-06
Cbln2	cerebellin 2 precursor protein	A_52_P233701	Embryo:2.45172909335884	Embryo:0.000253549344488271	Pup:4.70897172996208	Pup:1.16084712748611e-08
Vit	vitrin	A_51_P298107	Embryo:3.96465829068889	Embryo:0.000105731299789489	Pup:2.94080454710064	Pup:0.00216473235331061
Syt12	synaptotagmin XII	A_51_P384831	Embryo:3.34463903398967	Embryo:1.76983006251807e-10	Pup:3.49190894440127	Pup:6.12245856090724e-11
Slc32a1	solute carrier family 32 (GABA vesicular transporter), member 1	A_52_P138926	Embryo:5.31032070223079	Embryo:3.03728397018932e-11	Pup:1.37193054930568	Pup:0.00612508426576621
Lhx2	LIM homeobox protein 2	A_51_P257419	Embryo:4.95993371653558	Embryo:7.93302385837928e-07	Pup:1.69087205804931	Pup:0.0422349642188383
Ctnna2	catenin (cadherin associated protein), alpha 2	A_51_P438841	Embryo:3.78430930613281	Embryo:1.18019659394995e-05	Pup:2.83511355107595	Pup:0.00037158073947426
P2rx5	purinergic receptor P2X, ligand-gated ion channel, 5	A_51_P519420	Embryo:3.2161121386857	Embryo:2.2123810102816e-06	Pup:3.30652049930401	Pup:1.18597070163552e-06
Zic4	zinc finger protein of the cerebellum 4	A_52_P502228	Embryo:3.57550394369861	Embryo:0.000264125961831777	Pup:2.92924625667014	Pup:0.00171500146931664
Dclk1	doublecortin-like kinase 1	A_52_P563818	Embryo:4.15900411259021	Embryo:1.13921357620902e-05	Pup:2.32294766314255	Pup:0.00581387846001063
Zcchc18	zinc finger, CCHC domain containing 18	A_51_P350748	Embryo:4.22773671355753	Embryo:1.20404275284358e-05	Pup:2.21359618085727	Pup:0.00965282754457207
Fam171b	family with sequence similarity 171, member B	A_51_P393654	Embryo:4.28386545180375	Embryo:4.82344226638296e-05	Pup:2.08505052992123	Pup:0.0288653838550302
Cplx1	complexin 1	A_52_P465980	Embryo:3.80616436418016	Embryo:1.22516974268447e-05	Pup:2.47682857596275	Pup:0.00161414491218895
Fezf2	Fez family zinc finger 2	A_51_P206489	Embryo:4.13480345002505	Embryo:1.266745853342e-05	Pup:2.13010006449855	Pup:0.0111342690849687
Helt	Hey-like transcription factor (zebrafish)	A_52_P268852	Embryo:3.72097614705942	Embryo:1.52716217233951e-06	Pup:2.49835611513136	Pup:0.00027500630360977
Plekhh1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1	A_51_P287617	Embryo:3.8815489957329	Embryo:2.88265447657902e-11	Pup:2.32748508491836	Pup:1.62164418721711e-07
Rgs17	regulator of G-protein signaling 17	A_51_P244792	Embryo:4.58895200554485	Embryo:9.17223432097069e-08	Pup:1.60061759405856	Pup:0.0177005890948545
Mogat2	monoacylglycerol O-acyltransferase 2	A_51_P411345	Embryo:3.41101569545337	Embryo:2.24066129549491e-08	Pup:2.75101738949775	Pup:6.02468833520356e-07
Adm	adrenomedullin	A_51_P265571	Embryo:3.40061015840978	Embryo:1.00409967016399e-10	Pup:2.75858127835443	Pup:3.11119467925158e-09
Apln	apelin	A_51_P209327	Embryo:3.00380481067738	Embryo:1.16758551455504e-07	Pup:3.132582300753	Pup:4.33948838855537e-08
Atcay	ataxia, cerebellar, Cayman type homolog (human)	A_51_P209697	Embryo:4.6359909794997	Embryo:1.40681590748572e-08	Pup:1.49127337128097	Pup:0.0144918785706681
Chst1	carbohydrate (keratan sulfate Gal-6) sulfotransferase 1	A_51_P157840	Embryo:3.95995289923	Embryo:2.00679328404159e-10	Pup:2.11727022371481	Pup:5.67080210332185e-06
Kcnn2	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 2	A_51_P309854	Embryo:3.63729565147056	Embryo:0.00190133506385919	Pup:2.4329953416123	Pup:0.0297127230020464
4933407L21Rik	RIKEN cDNA 4933407L21 gene	A_52_P5905	Embryo:2.5645965046029	Embryo:0.000898024925085504	Pup:3.45853988837101	Pup:1.92758597746592e-05
1700001C19Rik	RIKEN cDNA 1700001C19 gene	A_51_P439645	Embryo:3.23347806668386	Embryo:1.72694451585697e-09	Pup:2.69498505385301	Pup:2.99242291219533e-08
Rufy3	RUN and FYVE domain containing 3	A_52_P249544	Embryo:3.93342607018098	Embryo:2.44143588921864e-07	Pup:1.97493472199041	Pup:0.00167907380717811
Cntnap2	contactin associated protein-like 2	A_51_P260850	Embryo:1.84775715879701	Embryo:0.0142014445573065	Pup:4.02748174473016	Pup:1.97347395897974e-06
Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	A_52_P106620	Embryo:3.03942252543129	Embryo:3.91572208930045e-09	Pup:2.77624548543993	Pup:1.4137221343705e-08
Cdkn2b	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	A_52_P498241	Embryo:2.85257342345246	Embryo:9.7291172314386e-10	Pup:2.96054948073277	Pup:3.68917542130744e-10
AI646023	expressed sequence AI646023	A_52_P151393	Embryo:3.79452661664392	Embryo:3.40548463152061e-07	Pup:1.93902517182175	Pup:0.0017195246000872
Dbndd1	dysbindin (dystrobrevin binding protein 1) domain containing 1	A_51_P497280	Embryo:4.10782079927825	Embryo:1.10266274470644e-09	Pup:1.61964476025408	Pup:0.000810165516559416
Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	A_51_P401974	Embryo:3.61832797730782	Embryo:4.85734656568274e-12	Pup:2.07953908440907	Pup:5.76114576949819e-08
Ap3b2	adaptor-related protein complex 3, beta 2 subunit	A_51_P486681	Embryo:4.12323867233765	Embryo:7.53206441915206e-12	Pup:1.51396910929164	Pup:7.14475755604518e-05
Celf4	CUGBP, Elav-like family member 4	A_51_P166258	Embryo:3.71172508863156	Embryo:5.89062899927233e-07	Pup:1.88631851595169	Pup:0.00244849159334558
Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3	A_52_P379277	Embryo:2.5800519144184	Embryo:1.08741641594062e-07	Pup:3.00725129640091	Pup:6.01376747125519e-09
Rnf182	ring finger protein 182	A_51_P500661	Embryo:3.21913532927871	Embryo:9.39168372979885e-05	Pup:2.36560698186432	Pup:0.00216825823325905
Cadps	Ca2+-dependent secretion activator	A_51_P273626	Embryo:4.06044653494454	Embryo:2.93754074193064e-07	Pup:1.51474021218346	Pup:0.0182409121391707
Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	A_52_P575176	Embryo:3.04405489015066	Embryo:0.000382266063263366	Pup:2.50026051969019	Pup:0.00226880787454028
Tekt1	tektin 1	A_51_P328889	Embryo:2.25347457837863	Embryo:0.00229258231650291	Pup:3.2723457986596	Pup:2.63892618626748e-05
Galntl2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 2	A_51_P462428	Embryo:2.41322602348845	Embryo:0.000253786711540391	Pup:3.07281498911046	Pup:8.53094727208514e-06
2610034M16Rik	RIKEN cDNA 2610034M16 gene	A_51_P443819	Embryo:2.27252264680871	Embryo:0.00502087191684953	Pup:3.20145733572633	Pup:0.000124802644195156
Frzb	frizzled-related protein	A_51_P286748	Embryo:3.03004481879926	Embryo:5.66128563191388e-05	Pup:2.34398310644779	Pup:0.000892464607007511
Sept3	septin 3	A_51_P263473	Embryo:3.53998204499438	Embryo:5.67289555343623e-05	Pup:1.72880804143653	Pup:0.0303270777759167
1110012J17Rik	RIKEN cDNA 1110012J17 gene	A_51_P402575	Embryo:3.55144526316033	Embryo:2.9745751359802e-11	Pup:1.70007356187386	Pup:5.82008219941445e-06
Actr3b	ARP3 actin-related protein 3 homolog B (yeast)	A_51_P320668	Embryo:3.02053963131633	Embryo:0.00552013701928633	Pup:2.08113785542181	Pup:0.0479454759034698
Prtg	protogenin homolog (Gallus gallus)	A_51_P483639	Embryo:2.37243293731984	Embryo:4.58044705240715e-05	Pup:2.72748037838315	Pup:5.30031123634347e-06
St8sia1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	A_52_P108850	Embryo:1.83176621806902	Embryo:3.03492214952881e-05	Pup:3.23112489554987	Pup:2.75602863188333e-09
Pde8b	phosphodiesterase 8B	A_51_P125338	Embryo:3.29809633415684	Embryo:2.96984647379217e-05	Pup:1.7046908922701	Pup:0.0162591619318135
BC068157	cDNA sequence BC068157	A_52_P263076	Embryo:3.60750569584427	Embryo:9.0130655672402e-07	Pup:1.36796375923488	Pup:0.0249455937137785
Nox4	NADPH oxidase 4	A_52_P617638	Embryo:2.53574710711345	Embryo:0.000890691560810912	Pup:2.43519375374878	Pup:0.00106220946990238
Cxcr4	chemokine (C-X-C motif) receptor 4	A_52_P585124	Embryo:3.75796435158297	Embryo:1.89040599161905e-08	Pup:1.17706494825999	Pup:0.0191657784146991
Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	A_51_P363947	Embryo:3.15162720921291	Embryo:2.81721462543076e-11	Pup:1.68661363252825	Pup:9.78314472484295e-07
Kcnd2	potassium voltage-gated channel, Shal-related family, member 2	A_52_P124472	Embryo:2.32977954962682	Embryo:0.0174778701712188	Pup:2.48432202156621	Pup:0.0090669316411533
Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	A_52_P665675	Embryo:2.36314965372536	Embryo:1.89103150767453e-09	Pup:2.44795322625685	Pup:7.46000749252825e-10
AU021092	expressed sequence AU021092	A_52_P159429	Embryo:2.49878068616208	Embryo:8.85163845161042e-08	Pup:2.30545469723038	Pup:2.53162837443328e-07
Rybp	RING1 and YY1 binding protein	A_51_P279505	Embryo:2.1140893831024	Embryo:1.18572545832922e-06	Pup:2.68552415160074	Pup:1.77234756476121e-08
Rimkla	ribosomal modification protein rimK-like family member A	A_52_P69194	Embryo:3.71773983955894	Embryo:6.02660359640187e-09	Pup:1.07063314119839	Pup:0.021546796134565
Cchcr1	coiled-coil alpha-helical rod protein 1	A_52_P669964	Embryo:2.18865730538827	Embryo:3.30434607637583e-09	Pup:2.55142242851001	Pup:1.56640826791182e-10
Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	A_52_P370760	Embryo:2.16693830475461	Embryo:2.14186706577263e-07	Pup:2.56309468808056	Pup:9.59954904432068e-09
Nkd1	naked cuticle 1 homolog (Drosophila)	A_51_P124285	Embryo:3.57491585263147	Embryo:7.0295618068209e-13	Pup:1.15482032192543	Pup:5.52556148489719e-05
Fgf12	fibroblast growth factor 12	A_51_P126337	Embryo:2.40927369109424	Embryo:0.000472879235472469	Pup:2.28819086305146	Pup:0.000655765379205357
Wnt7a	wingless-related MMTV integration site 7A	A_52_P79782	Embryo:3.2767256882124	Embryo:2.07239839088469e-05	Pup:1.40439891152111	Pup:0.0409107276193586
Cpsf4l	cleavage and polyadenylation specific factor 4-like	A_51_P377557	Embryo:2.3474936358965	Embryo:7.18715743814406e-06	Pup:2.31577168713625	Pup:6.97125925808625e-06
Itga11	integrin alpha 11	A_51_P417720	Embryo:2.41655623734264	Embryo:1.10474967961233e-06	Pup:2.2318355397301	Pup:2.99196925045204e-06
Cnih3	cornichon homolog 3 (Drosophila)	A_51_P424471	Embryo:2.89442385022409	Embryo:0.000259000026303644	Pup:1.7412344369659	Pup:0.0183145257936118
Meox1	mesenchyme homeobox 1	A_52_P327923	Embryo:2.20988499695601	Embryo:3.93923940770072e-06	Pup:2.40080961668726	Pup:8.9300357363899e-07
Lrrc24	leucine rich repeat containing 24	A_52_P11402	Embryo:2.76883107930966	Embryo:0.00316283546499943	Pup:1.82693353451237	Pup:0.0428618444905433
Diap2	diaphanous homolog 2 (Drosophila)	A_51_P192162	Embryo:2.0784737975134	Embryo:4.40483454949273e-05	Pup:2.51116858901804	Pup:2.41444738960784e-06
Fsip1	fibrous sheath-interacting protein 1	A_51_P153614	Embryo:2.87385502842159	Embryo:0.000561070914264069	Pup:1.71045518989665	Pup:0.0290266969436737
Abhd15	abhydrolase domain containing 15	A_51_P386503	Embryo:3.13183209731388	Embryo:1.18244038025136e-07	Pup:1.43591633688073	Pup:0.00258201854547775
Dact1	dapper homolog 1, antagonist of beta-catenin (xenopus)	A_51_P175567	Embryo:2.73372860412499	Embryo:0.00117336587077846	Pup:1.83200000770467	Pup:0.0221268559278843
Syt11	synaptotagmin XI	A_51_P260730	Embryo:2.52879211357325	Embryo:1.29842464058114e-07	Pup:1.94235250016407	Pup:6.36767214795068e-06
Ttc39b	tetratricopeptide repeat domain 39B	A_52_P153302	Embryo:1.76242092732461	Embryo:1.08901624745921e-05	Pup:2.69773126725453	Pup:9.12359770235268e-09
Lhfpl4	lipoma HMGIC fusion partner-like protein 4	A_51_P271425	Embryo:3.10455105325336	Embryo:4.66272069444121e-08	Pup:1.3080691714945	Pup:0.00327519871331198
Fsd1	fibronectin type 3 and SPRY domain-containing protein	A_52_P377693	Embryo:2.82427085525671	Embryo:6.30363723895522e-07	Pup:1.58336574197869	Pup:0.0010088574102887
Adora2b	adenosine A2b receptor	A_52_P419455	Embryo:2.67941564261213	Embryo:3.85854723065962e-08	Pup:1.72419014218048	Pup:2.72161296744701e-05
Pltp	phospholipid transfer protein	A_51_P226655	Embryo:2.76022722254188	Embryo:1.05472610976588e-07	Pup:1.61397494215556	Pup:0.000195866106799416
Fbll1	fibrillarin-like 1	A_52_P387882	Embryo:3.09459424859458	Embryo:1.10302526693222e-10	Pup:1.27471056647428	Pup:0.000122351966991163
Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	A_52_P610885	Embryo:2.8365719291821	Embryo:5.62750888875126e-06	Pup:1.52899104040293	Pup:0.00526543830223711
Slc38a2	solute carrier family 38, member 2	A_52_P676686	Embryo:1.56206903847124	Embryo:2.58138063608164e-07	Pup:2.75906406102221	Pup:8.1531589869194e-12
Ina	internexin neuronal intermediate filament protein, alpha	A_52_P366860	Embryo:3.29616233303906	Embryo:3.42433900773912e-08	Pup:1.00258190511592	Pup:0.0280380110822984
Atat1	alpha tubulin acetyltransferase 1	A_52_P480266	Embryo:3.03101098953563	Embryo:1.19619846030989e-06	Pup:1.25786887401823	Pup:0.0161959633803464
Pid1	phosphotyrosine interaction domain containing 1	A_52_P269158	Embryo:2.25454485378475	Embryo:0.000370718602844166	Pup:1.98797734285884	Pup:0.00112586843323589
Dpf1	D4, zinc and double PHD fingers family 1	A_51_P131442	Embryo:2.22236679734261	Embryo:1.06005881850918e-09	Pup:2.01136789473554	Pup:4.55264667387493e-09
Nlrc3	NLR family, CARD domain containing 3	A_52_P603129	Embryo:1.79759472257408	Embryo:0.00983586664385482	Pup:2.42848518497063	Pup:0.000530272449789093
Tmsb4x	thymosin, beta 4, X chromosome	A_51_P224843	Embryo:2.3767556443973	Embryo:1.36371046793649e-07	Pup:1.8385136948929	Pup:6.0169725365424e-06
Itga1	integrin alpha 1	A_52_P459929	Embryo:2.70692984996122	Embryo:2.10297934264055e-07	Pup:1.50549815755099	Pup:0.00055032903147571
Osmr	oncostatin M receptor	A_51_P319460	Embryo:2.02209846459144	Embryo:2.61156089989124e-07	Pup:2.15478293421779	Pup:7.02005514972726e-08
Rassf2	Ras association (RalGDS/AF-6) domain family member 2	A_51_P339023	Embryo:2.34096408785932	Embryo:3.12849204933943e-05	Pup:1.83557467437746	Pup:0.00049037043492149
Tmem130	transmembrane protein 130	A_52_P101399	Embryo:2.82606925140501	Embryo:1.09820300968591e-05	Pup:1.34291931530175	Pup:0.0175341732061612
Insr	insulin receptor	A_52_P494514	Embryo:1.93566970090794	Embryo:0.000353822814878085	Pup:2.21193909805375	Pup:5.63400199162585e-05
Lphn3	latrophilin 3	A_52_P576258	Embryo:2.7908240014479	Embryo:4.80451971969073e-09	Pup:1.35043557859205	Pup:0.00021653250673264
Asphd2	aspartate beta-hydroxylase domain containing 2	A_51_P285779	Embryo:2.36102384463836	Embryo:8.33105305422594e-06	Pup:1.78011433628173	Pup:0.000264088595996635
Dll3	delta-like 3 (Drosophila)	A_51_P504494	Embryo:2.58033926994187	Embryo:1.17479593516559e-05	Pup:1.52207220869207	Pup:0.0037980879709916
Dusp2	dual specificity phosphatase 2	A_52_P399934	Embryo:1.55422440750456	Embryo:0.000240181759570864	Pup:2.53102703809476	Pup:1.78071355875098e-07
2900092D14Rik	RIKEN cDNA 2900092D14 gene	A_52_P590765	Embryo:2.25463864345023	Embryo:0.00308020453796546	Pup:1.82880788879501	Pup:0.0127277804735109
Scn8a	sodium channel, voltage-gated, type VIII, alpha	A_52_P183239	Embryo:2.34631970643967	Embryo:3.45671019642264e-05	Pup:1.68404649717203	Pup:0.0013024886113959
Tmem121	transmembrane protein 121	A_52_P402394	Embryo:2.22670817075245	Embryo:0.000334682815946235	Pup:1.78912798881782	Pup:0.00248266034742902
Cadm4	cell adhesion molecule 4	A_51_P477716	Embryo:1.81828092651234	Embryo:9.55415829558956e-05	Pup:2.17208022401967	Pup:6.91253092539118e-06
Fut4	fucosyltransferase 4	A_52_P200458	Embryo:2.15904420699213	Embryo:4.45914656601119e-05	Pup:1.81239238339405	Pup:0.000309518023667072
Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2	A_51_P386182	Embryo:2.30851808992723	Embryo:0.00209882669612573	Pup:1.65259446911957	Pup:0.0214476709482136
Lrp4	low density lipoprotein receptor-related protein 4	A_52_P635078	Embryo:2.80716059462413	Embryo:4.05599191575479e-08	Pup:1.1489960490296	Pup:0.00391080265380681
Pbx4	pre-B-cell leukemia homeobox 4	A_51_P428773	Embryo:2.44142403247323	Embryo:3.38383178373176e-05	Pup:1.4478472741106	Pup:0.00671595704560031
Cdh20	cadherin 20	A_51_P471386	Embryo:2.24880074480503	Embryo:3.76983639759176e-10	Pup:1.63371119385422	Pup:7.52401307126613e-08
Stra6	stimulated by retinoic acid gene 6	A_51_P471177	Embryo:1.712311069006	Embryo:0.000146237805847505	Pup:2.16889083019498	Pup:4.82968068240286e-06
Ppp1r1a	protein phosphatase 1, regulatory (inhibitor) subunit 1A	A_51_P293538	Embryo:2.44405382173772	Embryo:0.00010191277421031	Pup:1.39561551304819	Pup:0.0157712724660176
Bambi	BMP and activin membrane-bound inhibitor, homolog (Xenopus laevis)	A_51_P248819	Embryo:1.62723201136333	Embryo:3.76983639759176e-10	Pup:2.18056433693329	Pup:1.27683758562378e-12
9630041G16Rik	RIKEN cDNA 9630041G16 gene	A_51_P165304	Embryo:2.50453219817483	Embryo:0.000364165300027305	Pup:1.29609391531056	Pup:0.049092443303664
C77370	expressed sequence C77370	A_52_P462472	Embryo:1.84378905589306	Embryo:0.0200136775848314	Pup:1.93796679800318	Pup:0.0116051980276265
Pfn2	profilin 2	A_51_P391466	Embryo:2.49707414089889	Embryo:9.44440243357986e-06	Pup:1.28298779494847	Pup:0.00977762122460855
Fam20c	family with sequence similarity 20, member C	A_51_P117865	Embryo:1.99982477863235	Embryo:2.20333762782762e-09	Pup:1.77330781028338	Pup:1.34002951492401e-08
Prdm1	PR domain containing 1, with ZNF domain	A_51_P338746	Embryo:2.44498881947921	Embryo:7.01179147900373e-08	Pup:1.3238488731735	Pup:0.000356247134527268
Btbd11	BTB (POZ) domain containing 11	A_51_P217509	Embryo:1.78069557703938	Embryo:0.0448738171354457	Pup:1.98580140990387	Pup:0.0197973127716938
Mgat3	mannoside acetylglucosaminyltransferase 3	A_51_P385697	Embryo:2.05068705490017	Embryo:0.00374589247951377	Pup:1.71315141742947	Pup:0.0121139623649138
Scrn1	secernin 1	A_52_P201206	Embryo:2.47567463637213	Embryo:8.13385189974197e-08	Pup:1.26968088938971	Pup:0.000698637240837171
Gabbr1	gamma-aminobutyric acid (GABA) B receptor, 1	A_52_P16232	Embryo:1.86391130225326	Embryo:9.92301376600314e-05	Pup:1.8772920663095	Pup:7.43146376412258e-05
Lor	loricrin	A_51_P495269	Embryo:1.54693093752541	Embryo:0.0290915231252739	Pup:2.18118883115677	Pup:0.00180916839489886
1700007K13Rik	RIKEN cDNA 1700007K13 gene	A_52_P30632	Embryo:2.22913307184122	Embryo:0.00165912649567337	Pup:1.48459249633173	Pup:0.0280380110822984
Fam69b	family with sequence similarity 69, member B	A_51_P264527	Embryo:2.10537755665936	Embryo:2.26500479582575e-08	Pup:1.59295890346595	Pup:1.68888263842863e-06
Mkl2	MKL/myocardin-like 2	A_52_P5338	Embryo:2.00299674520215	Embryo:0.0162344130072909	Pup:1.68142022319067	Pup:0.036611427107175
Ppp2r2c	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), gamma isoform	A_51_P461779	Embryo:1.69960807933496	Embryo:0.0250601751734431	Pup:1.94208435082657	Pup:0.0083805395252443
Styk1	serine/threonine/tyrosine kinase 1	A_51_P116245	Embryo:1.29711572963912	Embryo:0.0116358791802554	Pup:2.34312667079286	Pup:1.99579159749973e-05
Synpr	synaptoporin	A_51_P376656	Embryo:1.99354951621243	Embryo:0.0185314369124846	Pup:1.61748031066582	Pup:0.0481832981144551
Paqr7	progestin and adipoQ receptor family member VII	A_51_P430973	Embryo:1.89808410209303	Embryo:1.54280005961697e-06	Pup:1.70831179479598	Pup:6.07041800602605e-06
Rhod	ras homolog gene family, member D	A_52_P506217	Embryo:1.29758589411854	Embryo:1.97027637442721e-05	Pup:2.30526731969458	Pup:1.41312478389111e-09
Olig2	oligodendrocyte transcription factor 2	A_52_P223626	Embryo:1.35488345325596	Embryo:0.00282404376928369	Pup:2.23357159831103	Pup:6.07459667225624e-06
Csrp2	cysteine and glycine-rich protein 2	A_51_P300337	Embryo:1.77660232916787	Embryo:1.13203230305045e-06	Pup:1.8003831757603	Pup:7.28464345505618e-07
Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2	A_52_P426605	Embryo:1.75910297695286	Embryo:0.0028521674631322	Pup:1.80920858171012	Pup:0.00178738387513629
Dusp27	dual specificity phosphatase 27 (putative)	A_51_P235088	Embryo:1.82195800263844	Embryo:0.000178198530989547	Pup:1.72881862798293	Pup:0.000263973675737969
Wscd1	WSC domain containing 1	A_51_P458008	Embryo:2.05388501584657	Embryo:0.00770544102265435	Pup:1.4854800728572	Pup:0.0463461721567674
Abca4	ATP-binding cassette, sub-family A (ABC1), member 4	A_51_P413614	Embryo:1.83935315781234	Embryo:0.0023377564845463	Pup:1.69426028910076	Pup:0.00389658067315312
Fam124b	family with sequence similarity 124, member B	A_52_P103569	Embryo:1.81453945937248	Embryo:0.000909886270366807	Pup:1.70212054591949	Pup:0.00135793302622037
Samsn1	SAM domain, SH3 domain and nuclear localization signals, 1	A_52_P646832	Embryo:1.38710837704211	Embryo:0.000220928829847356	Pup:2.11751149171158	Pup:4.49403877580884e-07
Dok4	docking protein 4	A_51_P415475	Embryo:1.60087530407386	Embryo:5.74123604247028e-08	Pup:1.90327948563499	Pup:2.14681255839413e-09
Wwtr1	WW domain containing transcription regulator 1	A_51_P502608	Embryo:1.89283141632889	Embryo:4.81685134327303e-05	Pup:1.60568647497637	Pup:0.000294005695845515
T	brachyury	A_51_P285725	Embryo:2.22512447409679	Embryo:1.80026242328316e-09	Pup:1.26863757162098	Pup:1.27002971183677e-05
Ces2b	carboxyesterase 2B	A_52_P627269	Embryo:2.0605408563687	Embryo:3.69632826385146e-06	Pup:1.42952086845959	Pup:0.000367098634026107
Frmd6	FERM domain containing 6	A_51_P199968	Embryo:2.06003100727869	Embryo:3.44914868861228e-08	Pup:1.40130070332623	Pup:1.15480096848639e-05
1500004A13Rik	RIKEN cDNA 1500004A13 gene	A_52_P354974	Embryo:2.23998053483901	Embryo:1.60724998966382e-05	Pup:1.21794123200796	Pup:0.0085935472459467
